sequence,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukBzgBfnB0iBKq?BFrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFzfBChB0iBmmBFq?BXrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFCgBOmB0iBXlBzm?B1vB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFFgBXhB0iBWqBzm?ByvB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukB3gB1mB0iBTq?BirB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukBFhB0iBKqBfr?BzrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFzfBulB3hB1nBUq?BirB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFGgBKmBfnB0iBzk?B1vB
TZJOLIS,X,O,O,O,O,O,O,X
TZJOLSI,X,O,O,O,O,O,O,X
TZJOSIL,X,O,O,O,X,X,O,O
TZJOSLI,X,O,O,O,X,X,O,O
TZSILJO,O,O,O,X,X,O,O,O
TZSILOJ,O,O,O,X,X,O,O,O
TZSIJLO,O,O,O,X,X,O,O,O
TZSIJOL,O,O,O,X,X,X,O,O
TZSIOLJ,O,O,O,X,X,O,O,O
TZSIOJL,O,O,O,X,X,X,O,O
TZSLIJO,O,O,O,X,X,O,O,O
TZSLIOJ,O,O,O,X,X,O,O,O
TZSLJIO,O,O,O,X,X,O,O,O
TZSLJOI,O,O,O,X,X,O,O,O
TZSLOIJ,O,O,O,X,X,O,O,O
TZSLOJI,O,O,O,X,X,O,O,O
TZSJILO,O,O,O,X,X,O,O,O
TZSJIOL,O,O,O,X,X,X,O,O
TZSJLIO,O,O,O,X,X,O,O,O
TZSJLOI,O,O,O,X,X,O,O,O
TZSJOIL,O,O,O,X,X,X,O,O
TZSJOLI,O,O,O,X,X,X,O,O
TZSOILJ,O,O,O,X,X,O,O,O
TZSOIJL,O,O,O,X,X,X,O,O
TZSOLIJ,O,O,O,X,X,O,O,O
TZSOLJI,O,O,O,X,X,O,O,O
TZSOJIL,O,O,O,X,X,X,O,O
TZSOJLI,O,O,O,X,X,X,O,O
TZOILJS,O,O,O,O,O,O,O,O
TZOILSJ,O,O,O,O,O,O,O,O
TZOIJLS,X,O,O,O,O,O,O,O
TZOIJSL,X,O,O,O,X,O,O,O
TZOISLJ,O,O,O,O,X,O,O,O
TZOISJL,O,O,O,O,X,O,O,O
TZOLIJS,O,O,O,O,O,O,O,O
TZOLISJ,O,O,O,O,O,O,O,O
TZOLJIS,O,O,O,O,O,O,O,O
TZOLJSI,O,O,O,O,O,O,O,O
TZOLSIJ,O,O,O,O,O,O,O,O
TZOLSJI,O,O,O,O,O,O,O,O
TZOJILS,X,O,O,O,O,O,O,O
TZOJISL,X,O,O,O,X,O,O,O
TZOJLIS,X,O,O,O,O,O,O,O
TZOJLSI,X,O,O,O,O,O,O,O
TZOJSIL,X,O,O,O,X,O,O,O
TZOJSLI,X,O,O,O,X,O,O,O
TZOSILJ,O,O,O,O,X,O,O,O
TZOSIJL,O,O,O,O,X,O,O,O
TZOSLIJ,O,O,O,O,X,O,O,O
TZOSLJI,O,O,O,O,X,O,O,O
TZOSJIL,O,O,O,O,X,O,O,O
TZOSJLI,O,O,O,O,X,O,O,O
TOILJSZ,O,O,O,O,O,O,X,O
TOILJZS,O,O,O,O,O,O,X,O
TOILSJZ,O,O,O,O,O,O,O,O
TOILSZJ,O,O,O,O,O,O,O,O
TOILZJS,O,O,O,O,O,O,O,O
TOILZSJ,O,O,O,O,O,O,O,O
TOIJLSZ,O,O,O,O,O,O,X,O
TOIJLZS,O,O,O,O,O,O,X,O
TOIJSLZ,O,O,O,O,O,O,X,O
TOIJSZL,O,O,O,O,X,O,X,O
TOIJZLS,X,O,O,O,O,O,X,O
TOIJZSL,X,O,O,O,X,O,X,O
TOISLJZ,O,O,O,O,O,O,O,O
TOISLZJ,O,O,O,O,O,O,O,O
TOISJLZ,O,O,O,O,O,O,X,O
TOISJZL,O,O,O,O,X,O,O,O
TOISZLJ,O,O,O,O,X,O,O,O
TOISZJL,O,O,O,O,X,O,O,O
TOIZLJS,O,O,O,O,O,O,O,O
TOIZLSJ,O,O,O,O,O,O,O,O
TOIZJLS,X,O,O,O,O,O,O,O
TOIZJSL,X,O,O,O,X,O,O,O
TOIZSLJ,O,O,O,O,X,O,O,O
TOIZSJL,O,O,O,O,X,O,O,O
TOLIJSZ,O,O,O,O,O,O,X,O
TOLIJZS,O,O,O,O,O,O,X,O
TOLISJZ,O,O,O,O,O,O,O,O
TOLISZJ,O,O,O,O,O,O,O,O
TOLIZJS,O,O,O,O,O,O,O,O
TOLIZSJ,O,O,O,O,O,O,O,O
TOLJISZ,O,O,O,O,O,O,X,O
TOLJIZS,O,O,O,O,O,O,X,O
TOLJSIZ,O,O,O,O,O,O,X,O
TOLJSZI,O,O,O,O,O,O,X,O
TOLJZIS,O,O,O,O,O,O,X,O
TOLJZSI,O,O,O,O,O,O,X,O
TOLSIJZ,O,O,O,O,O,O,O,O
TOLSIZJ,O,O,O,O,O,O,O,O
TOLSJIZ,O,O,O,O,O,O,O,O
TOLSJZI,O,O,O,O,O,O,X,O
TOLSZIJ,O,O,O,O,O,O,O,O
TOLSZJI,O,O,O,O,O,O,O,O
TOLZIJS,O,O,O,O,O,O,O,O
TOLZISJ,O,O,O,O,O,O,O,O
TOLZJIS,O,O,O,O,O,O,O,O
TOLZJSI,O,O,O,O,O,O,O,O
TOLZSIJ,O,O,O,O,O,O,O,O
TOLZSJI,O,O,O,O,O,O,O,O
TOJILSZ,O,O,O,O,O,O,X,O
TOJILZS,O,O,O,O,O,O,X,O
TOJISLZ,O,O,O,O,O,O,X,O
TOJISZL,O,O,O,O,X,O,X,O
TOJIZLS,X,O,O,O,O,O,X,O
TOJIZSL,X,O,O,O,X,O,X,O
TOJLISZ,O,O,O,O,O,O,X,O
TOJLIZS,O,O,O,O,O,O,X,O
TOJLSIZ,O,O,O,O,O,O,X,O
TOJLSZI,O,O,O,O,O,O,X,O
TOJLZIS,O,O,O,O,O,O,X,O
TOJLZSI,O,O,O,O,O,O,X,O
TOJSILZ,O,O,O,O,O,O,X,O
TOJSIZL,O,O,O,O,X,O,X,O
TOJSLIZ,O,O,O,O,O,O,X,O
TOJSLZI,O,O,O,O,O,O,X,O
TOJSZIL,O,O,O,O,X,O,X,O
TOJSZLI,O,O,O,O,X,O,X,O
TOJZILS,X,O,O,O,O,O,X,O
TOJZISL,X,O,O,O,X,O,X,O
TOJZLIS,X,O,O,O,O,O,X,O
TOJZLSI,X,O,O,O,O,O,X,O
TOJZSIL,X,O,O,O,X,O,X,O
TOJZSLI,X,O,O,O,X,O,X,O
TOSILJZ,O,O,O,O,O,O,O,O
TOSILZJ,O,O,O,O,O,O,O,O
TOSIJLZ,O,O,O,O,O,O,X,O
TOSIJZL,O,O,O,O,X,O,O,O
TOSIZLJ,O,O,O,O,X,O,O,O
TOSIZJL,O,O,O,O,X,O,O,O
TOSLIJZ,O,O,O,O,O,O,O,O
TOSLIZJ,O,O,O,O,O,O,O,O
TOSLJIZ,O,O,O,O,O,O,O,O
TOSLJZI,O,O,O,O,O,O,X,O
TOSLZIJ,O,O,O,O,O,O,O,O
TOSLZJI,O,O,O,O,O,O,O,O
TOSJILZ,O,O,O,O,O,O,X,O
TOSJIZL,O,O,O,O,X,O,O,O
TOSJLIZ,O,O,O,O,O,O,X,O
TOSJLZI,O,O,O,O,O,O,X,O
TOSJZIL,O,O,O,O,X,O,X,O
TOSJZLI,O,O,O,O,X,O,X,O
TOSZILJ,O,O,O,O,X,O,O,O
TOSZIJL,O,O,O,O,X,O,O,O
TOSZLIJ,O,O,O,O,X,O,O,O
TOSZLJI,O,O,O,O,X,O,O,O
TOSZJIL,O,O,O,O,X,O,O,O
TOSZJLI,O,O,O,O,X,O,O,O
TOZILJS,O,O,O,O,O,O,O,O
TOZILSJ,O,O,O,O,O,O,O,O
TOZIJLS,X,O,O,O,O,O,O,O
TOZIJSL,X,O,O,O,X,O,O,O
TOZISLJ,O,O,O,O,X,O,O,O
TOZISJL,O,O,O,O,X,O,O,O
TOZLIJS,O,O,O,O,O,O,O,O
TOZLISJ,O,O,O,O,O,O,O,O
TOZLJIS,O,O,O,O,O,O,O,O
TOZLJSI,O,O,O,O,O,O,O,O
TOZLSIJ,O,O,O,O,O,O,O,O
TOZLSJI,O,O,O,O,O,O,O,O
TOZJILS,X,O,O,O,O,O,O,O
TOZJISL,X,O,O,O,X,O,O,O
TOZJLIS,X,O,O,O,O,O,O,O
TOZJLSI,X,O,O,O,O,O,O,O
TOZJSIL,X,O,O,O,X,O,O,O
TOZJSLI,X,O,O,O,X,O,O,O
TOZSILJ,O,O,O,O,X,O,O,O
TOZSIJL,O,O,O,O,X,O,O,O
TOZSLIJ,O,O,O,O,X,O,O,O
TOZSLJI,O,O,O,O,X,O,O,O
TOZSJIL,O,O,O,O,X,O,O,O
TOZSJLI,O,O,O,O,X,O,O,O
ITLJSZO,O,O,O,O,O,O,O,O
ITLJSOZ,O,O,O,O,O,O,O,O
ITLJZSO,O,O,O,O,O,O,O,O
ITLJZOS,O,O,X,O,O,O,O,X
ITLJOSZ,O,O,X,O,O,O,X,O
ITLJOZS,O,O,X,O,O,O,X,O
ITLSJZO,O,O,O,O,O,O,O,O
ITLSJOZ,O,O,O,O,O,O,O,O
ITLSZJO,O,O,O,O,O,O,O,O
ITLSZOJ,O,O,O,O,O,O,O,O
ITLSOJZ,O,O,O,X,O,O,O,O
ITLSOZJ,O,O,O,O,O,O,O,O
ITLZJSO,O,O,O,O,O,O,O,O
ITLZJOS,O,O,X,O,O,O,O,X
ITLZSJO,O,O,O,O,O,O,O,O
ITLZSOJ,O,O,O,O,O,O,O,O
ITLZOJS,O,O,O,X,O,O,O,O
ITLZOSJ,O,O,O,X,O,O,O,O
ITLOJSZ,O,O,O,O,O,O,X,O
ITLOJZS,O,O,O,O,O,O,X,O
ITLOSJZ,O,O,O,O,O,O,O,O
ITLOSZJ,O,O,O,O,O,O,O,O
ITLOZJS,O,O,O,O,O,O,O,O
ITLOZSJ,O,O,O,O,O,O,O,O
ITJLSZO,O,O,O,O,O,O,O,O
ITJLSOZ,O,O,O,O,O,O,O,O
ITJLZSO,O,O,O,O,O,O,O,O
ITJLZOS,O,O,X,O,O,O,O,X
ITJLOSZ,O,O,X,O,O,O,X,O
ITJLOZS,O,O,X,O,O,O,X,O
ITJSLZO,O,O,O,O,X,X,O,O
ITJSLOZ,O,O,O,X,X,X,O,O
ITJSZLO,O,O,O,O,X,X,O,O
ITJSZOL,O,O,O,O,X,X,O,O
ITJSOLZ,O,O,O,O,X,X,X,O
ITJSOZL,O,O,O,O,X,X,O,O
ITJZLSO,O,O,O,O,O,O,O,O
ITJZLOS,X,O,X,O,O,O,O,X
ITJZSLO,O,O,O,O,X,X,O,O
ITJZSOL,X,O,O,O,X,X,O,O
ITJZOLS,X,O,O,O,O,O,O,X
ITJZOSL,X,O,O,O,X,X,O,O
ITJOLSZ,O,O,O,O,O,O,X,O
ITJOLZS,O,O,O,O,O,O,X,O
ITJOSLZ,O,O,O,O,O,X,X,O
ITJOSZL,O,O,O,O,X,X,X,O
ITJOZLS,X,O,O,O,O,O,X,O
ITJOZSL,X,O,O,O,X,X,X,O
ITSLJZO,O,O,O,X,X,O,O,O
ITSLJOZ,O,O,O,X,X,O,O,O
ITSLZJO,O,O,O,X,X,O,O,O
ITSLZOJ,O,O,O,X,X,O,O,O
ITSLOJZ,O,O,O,X,X,O,O,O
ITSLOZJ,O,O,O,X,X,O,O,O
ITSJLZO,O,O,O,X,X,O,O,O
ITSJLOZ,O,O,O,X,X,O,O,O
ITSJZLO,O,O,O,X,X,O,O,O
ITSJZOL,O,O,O,X,X,X,O,O
ITSJOLZ,O,O,O,X,X,X,X,O
ITSJOZL,O,O,O,X,X,X,O,O
ITSZLJO,O,O,O,X,X,O,O,O
ITSZLOJ,O,O,O,X,X,O,O,O
ITSZJLO,O,O,O,X,X,O,O,O
ITSZJOL,O,O,O,X,X,X,O,O
ITSZOLJ,O,O,O,X,X,O,O,O
ITSZOJL,O,O,O,X,X,X,O,O
ITSOLJZ,O,O,O,X,X,O,O,O
ITSOLZJ,O,O,O,X,X,O,O,O
ITSOJLZ,O,O,O,X,X,O,X,O
ITSOJZL,O,O,O,X,X,O,O,O
ITSOZLJ,O,O,O,X,X,O,O,O
ITSOZJL,O,O,O,X,X,O,O,O
ITZLJSO,O,O,O,O,O,O,O,O
ITZLJOS,O,O,X,O,O,O,O,X
ITZLSJO,O,O,O,O,O,O,O,O
ITZLSOJ,O,O,O,O,O,O,O,O
ITZLOJS,O,O,O,X,O,O,O,O
ITZLOSJ,O,O,O,X,O,O,O,O
ITZJLSO,O,O,O,O,O,O,O,O
ITZJLOS,X,O,X,O,O,O,O,X
ITZJSLO,O,O,O,O,X,X,O,O
ITZJSOL,X,O,O,O,X,X,O,O
ITZJOLS,X,O,O,O,O,O,O,X
ITZJOSL,X,O,O,O,X,X,O,O
ITZSLJO,O,O,O,X,X,O,O,O
ITZSLOJ,O,O,O,X,X,O,O,O
ITZSJLO,O,O,O,X,X,O,O,O
ITZSJOL,O,O,O,X,X,X,O,O
ITZSOLJ,O,O,O,X,X,O,O,O
ITZSOJL,O,O,O,X,X,X,O,O
ITZOLJS,O,O,O,O,O,O,O,O
ITZOLSJ,O,O,O,O,O,O,O,O
ITZOJLS,X,O,O,O,O,O,O,O
ITZOJSL,X,O,O,O,X,O,O,O
ITZOSLJ,O,O,O,O,X,O,O,O
ITZOSJL,O,O,O,O,X,O,O,O
ITOLJSZ,O,O,O,O,O,O,X,O
ITOLJZS,O,O,O,O,O,O,X,O
ITOLSJZ,O,O,O,O,O,O,O,O
ITOLSZJ,O,O,O,O,O,O,O,O
ITOLZJS,O,O,O,O,O,O,O,O
ITOLZSJ,O,O,O,O,O,O,O,O
ITOJLSZ,O,O,O,O,O,O,X,O
ITOJLZS,O,O,O,O,O,O,X,O
ITOJSLZ,O,O,O,O,O,O,X,O
ITOJSZL,O,O,O,O,X,O,X,O
ITOJZLS,X,O,O,O,O,O,X,O
ITOJZSL,X,O,O,O,X,O,X,O
ITOSLJZ,O,O,O,O,O,O,O,O
ITOSLZJ,O,O,O,O,O,O,O,O
ITOSJLZ,O,O,O,O,O,O,X,O
ITOSJZL,O,O,O,O,X,O,O,O
ITOSZLJ,O,O,O,O,X,O,O,O
ITOSZJL,O,O,O,O,X,O,O,O
ITOZLJS,O,O,O,O,O,O,O,O
ITOZLSJ,O,O,O,O,O,O,O,O
ITOZJLS,X,O,O,O,O,O,O,O
ITOZJSL,X,O,O,O,X,O,O,O
ITOZSLJ,O,O,O,O,X,O,O,O
ITOZSJL,O,O,O,O,X,O,O,O
ILTJSZO,O,O,O,O,O,O,O,O
ILTJSOZ,O,O,O,O,O,O,O,O
ILTJZSO,O,O,O,O,O,O,O,O
ILTJZOS,O,O,X,O,O,O,O,X
ILTJOSZ,O,O,X,O,O,O,X,O
ILTJOZS,O,O,X,O,O,O,X,O
ILTSJZO,O,O,O,O,O,O,O,O
ILTSJOZ,O,O,O,O,O,O,O,O
ILTSZJO,O,O,O,O,O,O,O,O
ILTSZOJ,O,O,O,O,O,O,O,O
ILTSOJZ,O,O,O,X,O,O,O,O
ILTSOZJ,O,O,O,O,O,O,O,O
ILTZJSO,O,O,O,O,O,O,O,O
ILTZJOS,O,O,X,O,O,O,O,X
ILTZSJO,O,O,O,O,O,O,O,O
ILTZSOJ,O,O,O,O,O,O,O,O
ILTZOJS,O,O,O,X,O,O,O,O
ILTZOSJ,O,O,O,X,O,O,O,O
ILTOJSZ,O,O,O,O,O,O,X,O
ILTOJZS,O,O,O,O,O,O,X,O
ILTOSJZ,O,O,O,O,O,O,O,O
ILTOSZJ,O,O,O,O,O,O,O,O
ILTOZJS,O,O,O,O,O,O,O,O
ILTOZSJ,O,O,O,O,O,O,O,O
ILJTSZO,O,O,X,O,O,O,O,X
ILJTSOZ,O,O,X,O,O,O,O,X
ILJTZSO,O,O,X,O,O,O,O,X
ILJTZOS,O,O,X,O,O,O,O,X
ILJTOSZ,O,O,X,O,O,O,X,X
ILJTOZS,O,O,X,O,O,O,X,X
ILJSTZO,O,O,X,O,O,O,X,X
ILJSTOZ,O,O,X,O,O,O,X,X
ILJSZTO,O,O,X,O,O,O,X,X
ILJSZOT,O,O,X,O,X,O,X,X
ILJSOTZ,O,O,X,O,X,O,X,X
ILJSOZT,O,O,X,O,X,O,X,X
ILJZTSO,O,O,X,O,O,O,O,X
ILJZTOS,O,O,X,O,O,O,O,X
ILJZSTO,O,O,X,O,O,O,O,X
ILJZSOT,O,O,X,O,X,O,O,X
ILJZOTS,X,O,X,O,O,O,O,X
ILJZOST,O,O,X,O,O,O,O,X
ILJOTSZ,O,O,X,O,O,O,X,X
ILJOTZS,O,O,X,O,O,O,X,X
ILJOSTZ,O,O,X,O,O,O,X,X
ILJOSZT,O,O,X,O,O,O,X,X
ILJOZTS,X,O,X,O,O,O,X,X
ILJOZST,O,O,X,O,O,O,X,X
ILSTJZO,O,O,X,O,O,O,O,O
ILSTJOZ,O,O,X,O,O,O,O,O
ILSTZJO,O,O,X,O,O,O,O,O
ILSTZOJ,O,O,X,O,O,O,O,O
ILSTOJZ,O,O,X,X,O,O,O,O
ILSTOZJ,O,O,X,O,O,O,O,O
ILSJTZO,O,O,X,O,O,O,X,X
ILSJTOZ,O,O,X,O,O,O,X,X
ILSJZTO,O,O,X,O,O,O,X,X
ILSJZOT,O,O,X,O,X,O,X,X
ILSJOTZ,O,O,X,O,X,O,X,X
ILSJOZT,O,O,X,O,X,O,X,X
ILSZTJO,O,O,X,O,O,O,O,O
ILSZTOJ,O,O,X,O,O,O,O,O
ILSZJTO,O,O,X,O,O,O,O,X
ILSZJOT,O,O,X,O,X,O,O,X
ILSZOTJ,O,X,X,O,O,O,O,X
ILSZOJT,O,X,X,O,O,O,O,X
ILSOTJZ,O,X,X,O,O,O,X,X
ILSOTZJ,O,X,X,O,O,O,X,X
ILSOJTZ,O,X,X,O,O,O,X,X
ILSOJZT,O,X,X,O,O,O,X,X
ILSOZTJ,O,X,X,O,O,O,X,X
ILSOZJT,O,X,X,O,O,O,X,X
ILZTJSO,O,O,O,O,O,O,O,X
ILZTJOS,O,O,X,O,O,O,O,X
ILZTSJO,O,O,O,O,O,O,O,O
ILZTSOJ,O,O,O,O,O,O,O,O
ILZTOJS,O,O,O,X,O,O,O,X
ILZTOSJ,O,O,O,X,O,O,O,O
ILZJTSO,O,O,X,O,O,O,O,X
ILZJTOS,O,O,X,O,O,O,O,X
ILZJSTO,O,O,X,O,O,O,O,X
ILZJSOT,O,O,X,O,X,O,O,X
ILZJOTS,X,O,X,O,O,O,O,X
ILZJOST,O,O,X,O,O,O,O,X
ILZSTJO,O,O,X,O,O,O,O,O
ILZSTOJ,O,O,X,O,O,O,O,O
ILZSJTO,O,O,X,O,O,O,O,X
ILZSJOT,O,O,X,O,X,O,O,X
ILZSOTJ,O,X,X,O,O,O,O,X
ILZSOJT,O,X,X,O,O,O,O,X
ILZOTJS,X,X,O,O,O,O,O,X
ILZOTSJ,X,X,O,O,O,O,O,X
ILZOJTS,X,X,X,O,O,O,O,X
ILZOJST,O,X,X,O,O,O,O,X
ILZOSTJ,O,X,X,O,O,O,O,X
ILZOSJT,O,X,X,O,O,O,O,X
ILOTJSZ,O,X,O,O,O,O,X,X
ILOTJZS,O,X,O,O,O,O,X,X
ILOTSJZ,O,X,O,O,O,O,O,X
ILOTSZJ,O,X,O,O,O,O,O,X
ILOTZJS,O,X,O,O,O,O,O,X
ILOTZSJ,O,X,O,O,O,O,O,X
ILOJTSZ,O,X,X,O,O,O,X,X
ILOJTZS,O,X,X,O,O,O,X,X
ILOJSTZ,O,X,X,O,O,O,X,X
ILOJSZT,O,X,X,O,O,O,X,X
ILOJZTS,X,X,X,O,O,O,X,X
ILOJZST,O,X,X,O,O,O,X,X
ILOSTJZ,O,X,X,O,O,O,X,X
ILOSTZJ,O,X,X,O,O,O,X,X
ILOSJTZ,O,X,X,O,O,O,X,X
ILOSJZT,O,X,X,O,O,O,X,X
ILOSZTJ,O,X,X,O,O,O,X,X
ILOSZJT,O,X,X,O,O,O,X,X
ILOZTJS,X,X,O,O,O,O,O,X
ILOZTSJ,X,X,O,O,O,O,O,X
ILOZJTS,X,X,X,O,O,O,O,X
ILOZJST,O,X,X,O,O,O,O,X
ILOZSTJ,O,X,X,O,O,O,O,X
ILOZSJT,O,X,X,O,O,O,O,X
IJTLSZO,O,O,O,O,O,O,O,O
IJTLSOZ,O,O,O,O,O,O,O,O
IJTLZSO,O,O,O,O,O,O,O,O
IJTLZOS,O,O,X,O,O,O,O,X
IJTLOSZ,O,O,X,O,O,O,X,O
IJTLOZS,O,O,X,O,O,O,X,O
IJTSLZO,O,O,O,O,X,X,O,O
IJTSLOZ,O,O,O,X,X,X,O,O
IJTSZLO,O,O,O,O,X,X,O,O
IJTSZOL,O,O,O,O,X,X,O,O
IJTSOLZ,O,O,O,O,X,X,X,O
IJTSOZL,O,O,O,O,X,X,O,O
IJTZLSO,O,O,O,O,O,O,O,O
IJTZLOS,X,O,X,O,O,O,O,X
IJTZSLO,O,O,O,O,X,X,O,O
IJTZSOL,X,O,O,O,X,X,O,O
IJTZOLS,X,O,O,O,O,O,O,X
IJTZOSL,X,O,O,O,X,X,O,O
IJTOLSZ,O,O,O,O,O,O,X,O
IJTOLZS,O,O,O,O,O,O,X,O
IJTOSLZ,O,O,O,O,O,X,X,O
IJTOSZL,O,O,O,O,X,X,X,O
IJTOZLS,X,O,O,O,O,O,X,O
IJTOZSL,X,O,O,O,X,X,X,O
IJLTSZO,O,O,X,O,O,O,O,X
IJLTSOZ,O,O,X,O,O,O,O,X
IJLTZSO,O,O,X,O,O,O,O,X
IJLTZOS,O,O,X,O,O,O,O,X
IJLTOSZ,O,O,X,O,O,O,X,X
IJLTOZS,O,O,X,O,O,O,X,X
IJLSTZO,O,O,X,O,O,O,X,X
IJLSTOZ,O,O,X,O,O,O,X,X
IJLSZTO,O,O,X,O,O,O,X,X
IJLSZOT,O,O,X,O,X,O,X,X
IJLSOTZ,O,O,X,O,X,O,X,X
IJLSOZT,O,O,X,O,X,O,X,X
IJLZTSO,O,O,X,O,O,O,O,X
IJLZTOS,O,O,X,O,O,O,O,X
IJLZSTO,O,O,X,O,O,O,O,X
IJLZSOT,O,O,X,O,X,O,O,X
IJLZOTS,X,O,X,O,O,O,O,X
IJLZOST,O,O,X,O,O,O,O,X
IJLOTSZ,O,O,X,O,O,O,X,X
IJLOTZS,O,O,X,O,O,O,X,X
IJLOSTZ,O,O,X,O,O,O,X,X
IJLOSZT,O,O,X,O,O,O,X,X
IJLOZTS,X,O,X,O,O,O,X,X
IJLOZST,O,O,X,O,O,O,X,X
IJSTLZO,O,O,X,O,X,O,X,O
IJSTLOZ,O,O,X,X,X,O,X,O
IJSTZLO,O,O,X,O,X,O,X,O
IJSTZOL,O,O,X,O,X,X,X,O
IJSTOLZ,O,O,X,O,X,X,X,O
IJSTOZL,O,O,X,O,X,X,X,O
IJSLTZO,O,O,X,O,O,O,X,X
IJSLTOZ,O,O,X,O,O,O,X,X
IJSLZTO,O,O,X,O,O,O,X,X
IJSLZOT,O,O,X,O,X,O,X,X
IJSLOTZ,O,O,X,O,X,O,X,X
IJSLOZT,O,O,X,O,X,O,X,X
IJSZTLO,O,O,X,O,X,O,X,O
IJSZTOL,O,O,X,O,X,X,X,O
IJSZLTO,O,O,X,O,O,O,X,X
IJSZLOT,O,O,X,O,X,O,X,X
IJSZOTL,X,O,X,O,X,X,X,X
IJSZOLT,O,O,X,O,O,O,X,X
IJSOTLZ,X,O,X,O,O,O,X,X
IJSOTZL,X,O,X,O,X,O,X,X
IJSOLTZ,O,O,X,O,O,O,X,X
IJSOLZT,O,O,X,O,O,O,X,X
IJSOZTL,X,O,X,O,X,O,X,X
IJSOZLT,O,O,X,O,O,O,X,X
IJZTLSO,O,O,O,O,O,O,O,X
IJZTLOS,X,O,X,O,O,O,O,X
IJZTSLO,O,O,O,O,X,X,O,O
IJZTSOL,X,O,O,O,X,X,O,O
IJZTOLS,X,O,O,O,O,O,O,X
IJZTOSL,X,O,O,O,X,X,O,O
IJZLTSO,O,O,X,O,O,O,O,X
IJZLTOS,O,O,X,O,O,O,O,X
IJZLSTO,O,O,X,O,O,O,O,X
IJZLSOT,O,O,X,O,X,O,O,X
IJZLOTS,X,O,X,O,O,O,O,X
IJZLOST,O,O,X,O,O,O,O,X
IJZSTLO,O,O,X,O,X,O,O,O
IJZSTOL,O,O,X,O,X,X,O,O
IJZSLTO,O,O,X,O,O,O,O,X
IJZSLOT,O,O,X,O,X,O,O,X
IJZSOTL,X,O,X,O,X,X,O,X
IJZSOLT,O,O,X,O,O,O,O,X
IJZOTLS,X,O,O,O,O,O,O,X
IJZOTSL,X,O,O,O,X,O,O,X
IJZOLTS,X,O,X,O,O,O,O,X
IJZOLST,O,O,X,O,O,O,O,X
IJZOSTL,X,O,X,O,X,O,O,X
IJZOSLT,O,O,X,O,O,O,O,X
IJOTLSZ,X,O,O,O,O,O,X,X
IJOTLZS,X,O,O,O,O,O,X,X
IJOTSLZ,X,O,O,O,O,O,X,X
IJOTSZL,X,O,O,O,X,O,X,X
IJOTZLS,X,O,O,O,O,O,X,X
IJOTZSL,X,O,O,O,X,O,X,X
IJOLTSZ,O,O,X,O,O,O,X,X
IJOLTZS,O,O,X,O,O,O,X,X
IJOLSTZ,O,O,X,O,O,O,X,X
IJOLSZT,O,O,X,O,O,O,X,X
IJOLZTS,X,O,X,O,O,O,X,X
IJOLZST,O,O,X,O,O,O,X,X
IJOSTLZ,X,O,X,O,O,O,X,X
IJOSTZL,X,O,X,O,X,O,X,X
IJOSLTZ,O,O,X,O,O,O,X,X
IJOSLZT,O,O,X,O,O,O,X,X
IJOSZTL,X,O,X,O,X,O,X,X
IJOSZLT,O,O,X,O,O,O,X,X
IJOZTLS,X,O,O,O,O,O,X,X
IJOZTSL,X,O,O,O,X,O,X,X
IJOZLTS,X,O,X,O,O,O,X,X
IJOZLST,O,O,X,O,O,O,X,X
IJOZSTL,X,O,X,O,X,O,X,X
IJOZSLT,O,O,X,O,O,O,X,X
ISTLJZO,O,O,O,X,X,O,O,O
ISTLJOZ,O,O,O,X,X,O,O,O
ISTLZJO,O,O,O,X,X,O,O,O
ISTLZOJ,O,O,O,X,X,O,O,O
ISTLOJZ,O,O,O,X,X,O,O,O
ISTLOZJ,O,O,O,X,X,O,O,O
ISTJLZO,O,O,O,X,X,O,O,O
ISTJLOZ,O,O,O,X,X,O,O,O
ISTJZLO,O,O,O,X,X,O,O,O
ISTJZOL,O,O,O,X,X,X,O,O
ISTJOLZ,O,O,O,X,X,X,X,O
ISTJOZL,O,O,O,X,X,X,O,O
ISTZLJO,O,O,O,X,X,O,O,O
ISTZLOJ,O,O,O,X,X,O,O,O
ISTZJLO,O,O,O,X,X,O,O,O
ISTZJOL,O,O,O,X,X,X,O,O
ISTZOLJ,O,O,O,X,X,O,O,O
ISTZOJL,O,O,O,X,X,X,O,O
ISTOLJZ,O,O,O,X,X,O,O,O
ISTOLZJ,O,O,O,X,X,O,O,O
ISTOJLZ,O,O,O,X,X,O,X,O
ISTOJZL,O,O,O,X,X,O,O,O
ISTOZLJ,O,O,O,X,X,O,O,O
ISTOZJL,O,O,O,X,X,O,O,O
ISLTJZO,O,O,X,O,O,O,O,O
ISLTJOZ,O,O,X,O,O,O,O,O
ISLTZJO,O,O,X,O,O,O,O,O
ISLTZOJ,O,O,X,O,O,O,O,O
