sequence,v115@/gA8IeB8FeD8FeE8OeT/IvhFamB5mBXjB9tB0sBOsB,v115@/gA8IeB8FeD8FeE8OeT/IvhFUhBXjByrB9tBGnBRxB,v115@/gA8IeB8FeD8FeE8OeT/IvhFGhBaoB5oB/rB0sBNsB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB2rB3sBCsBUtB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB2rBUtBCsB3sB,v115@/gA8IeB8FeD8FeE8OeT/IvhFamB5mBNnBGtBctB3sB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhBtnBmmB0rBXtB6tB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB/rBisBGsBUtB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB/rBasBUtBusB,v115@/gA8IeB8FeD8FeE8OeT/IvhFamBRiBurBcsBXtB9tB,v115@/gA8IeB8FeD8FeE8OeT/IvhFamB5mBGjB/tB0sBNsB
TSZILJO,O,O,O,X,X,X,X,X,O,X,O
TSZILOJ,O,O,O,X,X,X,X,X,O,X,O
TSZIJLO,O,O,X,X,X,X,O,X,X,X,X
TSZIJOL,O,O,X,X,X,X,O,X,X,X,X
TSZIOLJ,O,O,O,X,X,X,X,X,O,X,O
TSZIOJL,O,O,X,X,X,X,O,X,X,X,X
TSZLIJO,O,X,O,X,X,X,X,X,O,X,O
TSZLIOJ,O,O,O,X,X,X,X,X,O,X,O
TSZLJIO,O,X,X,X,X,X,O,X,O,O,X
TSZLJOI,O,O,X,X,X,X,O,X,O,O,X
TSZLOIJ,O,O,O,X,X,X,X,X,O,X,O
TSZLOJI,O,O,X,X,X,X,O,X,O,O,X
TSZJILO,O,X,X,O,X,X,O,X,X,X,X
TSZJIOL,O,X,X,O,X,X,O,X,X,X,X
TSZJLIO,O,X,X,O,X,X,O,X,O,O,X
TSZJLOI,O,O,X,O,X,X,O,X,O,O,X
TSZJOIL,O,X,X,O,X,X,O,X,X,X,X
TSZJOLI,O,O,X,O,X,X,O,X,O,O,X
TSZOILJ,O,O,O,X,X,X,X,X,O,X,O
TSZOIJL,O,O,X,X,X,X,O,X,X,X,X
TSZOLIJ,O,O,O,X,X,X,X,X,O,X,O
TSZOLJI,O,O,X,X,X,X,O,X,O,O,X
TSZOJIL,O,X,X,O,X,X,O,X,X,X,X
TSZOJLI,O,O,X,O,X,X,O,X,O,O,X
TSOILJZ,X,O,X,X,X,X,X,O,X,X,X
TSOILZJ,O,O,X,X,X,X,X,O,O,X,O
TSOIJLZ,X,O,X,O,X,X,X,X,X,X,X
TSOIJZL,X,O,X,O,X,X,X,X,X,X,X
TSOIZLJ,O,O,O,X,X,X,X,X,X,X,O
TSOIZJL,O,O,X,X,X,X,O,X,X,X,X
TSOLIJZ,X,O,X,X,X,X,X,O,X,X,X
TSOLIZJ,O,O,X,X,X,X,X,O,O,X,O
TSOLJIZ,X,X,X,O,X,X,X,O,X,X,X
TSOLJZI,O,O,X,O,X,X,X,O,X,X,X
TSOLZIJ,O,O,X,X,X,X,X,O,O,X,O
TSOLZJI,O,O,X,X,X,X,O,O,O,O,X
TSOJILZ,X,O,X,O,X,X,X,X,X,X,X
TSOJIZL,X,O,X,O,X,X,X,X,X,X,X
TSOJLIZ,X,X,X,O,X,X,X,X,X,X,X
TSOJLZI,O,O,X,O,X,X,X,X,X,X,X
TSOJZIL,O,X,X,O,X,X,O,X,X,X,X
TSOJZLI,O,O,X,O,X,X,O,X,X,X,X
TSOZILJ,O,O,O,X,X,X,X,X,O,X,O
TSOZIJL,O,O,X,X,X,X,O,X,X,X,X
TSOZLIJ,O,O,O,X,X,X,X,X,O,X,O
TSOZLJI,O,O,X,X,X,X,O,X,O,O,X
TSOZJIL,O,X,X,O,X,X,O,X,X,X,X
TSOZJLI,O,O,X,O,X,X,O,X,O,O,X
TZILJSO,O,O,X,X,X,X,X,X,X,X,X
TZILJOS,O,O,X,X,X,X,X,X,X,X,X
TZILSJO,O,O,O,X,X,X,X,X,X,X,O
TZILSOJ,O,O,O,X,X,X,X,X,X,X,O
TZILOJS,O,O,X,X,X,X,X,X,X,X,X
TZILOSJ,O,O,O,X,X,X,X,X,X,X,O
TZIJLSO,O,O,X,X,O,X,X,X,X,X,X
TZIJLOS,O,O,X,X,O,X,X,X,X,X,X
TZIJSLO,O,O,X,X,O,X,O,X,X,X,X
TZIJSOL,O,O,X,X,O,X,O,X,X,X,X
TZIJOLS,O,O,X,X,O,X,X,X,X,X,X
TZIJOSL,O,O,X,X,O,X,O,X,X,X,X
TZISLJO,O,O,O,X,X,X,X,X,O,X,O
TZISLOJ,O,O,O,X,X,X,X,X,O,X,O
TZISJLO,O,O,X,X,X,X,O,X,X,X,X
TZISJOL,O,O,X,X,X,X,O,X,X,X,X
TZISOLJ,O,O,O,X,X,X,X,X,O,X,O
TZISOJL,O,O,X,X,X,X,O,X,X,X,X
TZIOLJS,O,O,X,X,X,X,X,X,X,X,X
TZIOLSJ,O,O,O,X,X,X,X,X,X,X,O
TZIOJLS,O,O,X,X,O,X,X,X,X,X,X
TZIOJSL,O,O,X,X,O,X,O,X,X,X,X
TZIOSLJ,O,O,O,X,X,X,X,X,O,X,O
TZIOSJL,O,O,X,X,X,X,O,X,X,X,X
TZLIJSO,O,O,X,X,X,X,X,X,X,X,X
TZLIJOS,O,O,X,X,X,X,X,X,X,X,X
TZLISJO,O,O,O,X,X,X,X,X,X,X,O
TZLISOJ,O,O,O,X,X,X,X,X,X,X,O
TZLIOJS,O,O,X,X,X,X,X,X,X,X,X
TZLIOSJ,O,O,O,X,X,X,X,X,X,X,O
TZLJISO,O,X,X,X,O,X,X,X,X,X,X
TZLJIOS,O,X,X,X,O,X,X,X,X,X,X
TZLJSIO,O,X,X,X,O,X,X,X,X,O,X
TZLJSOI,O,O,X,X,O,X,X,X,X,O,X
TZLJOIS,O,X,X,X,O,X,X,X,X,X,X
TZLJOSI,O,O,X,X,O,X,X,X,X,O,X
TZLSIJO,O,X,O,X,X,X,X,X,O,X,O
TZLSIOJ,O,O,O,X,X,X,X,X,O,X,O
TZLSJIO,O,X,X,X,X,X,X,X,O,O,X
TZLSJOI,O,O,X,X,X,X,X,X,O,O,X
TZLSOIJ,O,O,O,X,X,X,X,X,O,X,O
TZLSOJI,O,O,X,X,X,X,X,X,O,O,X
TZLOIJS,O,O,X,X,X,X,X,X,X,X,X
TZLOISJ,O,O,O,X,X,X,X,X,X,X,O
TZLOJIS,O,X,X,X,O,X,X,X,X,X,X
TZLOJSI,O,O,X,X,O,X,X,X,X,O,X
TZLOSIJ,O,O,O,X,X,X,X,X,O,X,O
TZLOSJI,O,O,X,X,X,X,X,X,O,O,X
TZJILSO,O,X,X,X,O,X,X,X,X,X,X
TZJILOS,O,X,X,X,O,X,X,X,X,X,X
TZJISLO,O,X,X,X,O,X,O,X,X,X,X
TZJISOL,O,X,X,X,O,X,O,X,X,X,X
TZJIOLS,O,X,X,X,O,X,X,X,X,X,X
TZJIOSL,O,X,X,X,O,X,O,X,X,X,X
TZJLISO,O,X,X,X,O,X,X,X,X,X,X
TZJLIOS,O,X,X,X,O,X,X,X,X,X,X
TZJLSIO,O,X,X,X,O,X,X,X,X,O,X
TZJLSOI,O,O,X,X,O,X,X,X,X,O,X
TZJLOIS,O,X,X,X,O,X,X,X,X,X,X
TZJLOSI,O,O,X,X,O,X,X,X,X,O,X
TZJSILO,O,X,X,X,O,X,O,X,X,X,X
TZJSIOL,O,X,X,X,O,X,O,X,X,X,X
TZJSLIO,O,X,X,X,O,X,O,X,O,O,X
TZJSLOI,O,O,X,X,O,X,O,X,O,O,X
TZJSOIL,O,X,X,X,O,X,O,X,X,X,X
TZJSOLI,O,O,X,X,O,X,O,X,O,O,X
TZJOILS,O,X,X,X,O,X,X,X,X,X,X
TZJOISL,O,X,X,X,O,X,O,X,X,X,X
TZJOLIS,O,X,X,X,O,X,X,X,X,X,X
TZJOLSI,O,O,X,X,O,X,X,X,X,O,X
TZJOSIL,O,X,X,X,O,X,O,X,X,X,X
TZJOSLI,O,O,X,X,O,X,O,X,O,O,X
TZSILJO,O,O,O,X,X,X,X,X,O,X,O
TZSILOJ,O,O,O,X,X,X,X,X,O,X,O
TZSIJLO,O,O,X,X,X,X,O,X,X,X,X
TZSIJOL,O,O,X,X,X,X,O,X,X,X,X
TZSIOLJ,O,O,O,X,X,X,X,X,O,X,O
TZSIOJL,O,O,X,X,X,X,O,X,X,X,X
TZSLIJO,O,X,O,X,X,X,X,X,O,X,O
TZSLIOJ,O,O,O,X,X,X,X,X,O,X,O
TZSLJIO,O,X,X,X,X,X,O,X,O,O,X
TZSLJOI,O,O,X,X,X,X,O,X,O,O,X
TZSLOIJ,O,O,O,X,X,X,X,X,O,X,O
TZSLOJI,O,O,X,X,X,X,O,X,O,O,X
TZSJILO,O,X,X,X,O,X,O,X,X,X,X
TZSJIOL,O,X,X,X,O,X,O,X,X,X,X
TZSJLIO,O,X,X,X,O,X,O,X,O,O,X
TZSJLOI,O,O,X,X,O,X,O,X,O,O,X
TZSJOIL,O,X,X,X,O,X,O,X,X,X,X
TZSJOLI,O,O,X,X,O,X,O,X,O,O,X
TZSOILJ,O,O,O,X,X,X,X,X,O,X,O
TZSOIJL,O,O,X,X,X,X,O,X,X,X,X
TZSOLIJ,O,O,O,X,X,X,X,X,O,X,O
TZSOLJI,O,O,X,X,X,X,O,X,O,O,X
TZSOJIL,O,X,X,X,O,X,O,X,X,X,X
TZSOJLI,O,O,X,X,O,X,O,X,O,O,X
TZOILJS,O,O,X,X,X,X,X,X,X,X,X
TZOILSJ,O,O,O,X,X,X,X,X,X,X,O
TZOIJLS,O,O,X,X,O,X,X,X,X,X,X
TZOIJSL,O,O,X,X,O,X,O,X,X,X,X
TZOISLJ,O,O,O,X,X,X,X,X,O,X,O
TZOISJL,O,O,X,X,X,X,O,X,X,X,X
TZOLIJS,O,O,X,X,X,X,X,X,X,X,X
TZOLISJ,O,O,O,X,X,X,X,X,X,X,O
TZOLJIS,O,X,X,X,O,X,X,X,X,X,X
TZOLJSI,O,O,X,X,O,X,X,X,X,O,X
TZOLSIJ,O,O,O,X,X,X,X,X,O,X,O
TZOLSJI,O,O,X,X,X,X,X,X,O,O,X
TZOJILS,O,X,X,X,O,X,X,X,X,X,X
TZOJISL,O,X,X,X,O,X,O,X,X,X,X
TZOJLIS,O,X,X,X,O,X,X,X,X,X,X
TZOJLSI,O,O,X,X,O,X,X,X,X,O,X
TZOJSIL,O,X,X,X,O,X,O,X,X,X,X
TZOJSLI,O,O,X,X,O,X,O,X,O,O,X
TZOSILJ,O,O,O,X,X,X,X,X,O,X,O
TZOSIJL,O,O,X,X,X,X,O,X,X,X,X
TZOSLIJ,O,O,O,X,X,X,X,X,O,X,O
TZOSLJI,O,O,X,X,X,X,O,X,O,O,X
TZOSJIL,O,X,X,X,O,X,O,X,X,X,X
TZOSJLI,O,O,X,X,O,X,O,X,O,O,X
TOILJSZ,X,O,X,X,X,O,X,X,X,X,X
TOILJZS,O,O,X,X,X,O,X,X,X,X,X
TOILSJZ,X,O,X,X,X,X,X,X,X,X,X
TOILSZJ,O,O,X,X,X,X,X,X,X,X,O
TOILZJS,O,O,X,X,X,X,X,X,X,X,X
TOILZSJ,O,O,X,X,X,X,X,X,X,X,O
TOIJLSZ,X,O,X,X,X,O,X,X,X,X,X
TOIJLZS,O,O,X,X,X,O,X,X,X,X,X
TOIJSLZ,X,O,X,O,X,O,X,X,X,X,X
TOIJSZL,X,O,X,O,X,X,X,X,X,X,X
TOIJZLS,O,O,X,X,O,O,X,X,X,X,X
TOIJZSL,O,O,X,X,O,X,X,X,X,X,X
TOISLJZ,X,O,X,X,X,X,X,O,X,X,X
TOISLZJ,O,O,X,X,X,X,X,O,O,X,O
TOISJLZ,X,O,X,X,X,X,X,X,X,X,X
TOISJZL,X,O,X,X,X,X,X,X,X,X,X
TOISZLJ,O,O,O,X,X,X,X,X,X,X,O
TOISZJL,O,O,X,X,X,X,O,X,X,X,X
TOIZLJS,O,O,X,X,X,X,X,X,X,X,X
TOIZLSJ,O,O,O,X,X,X,X,X,X,X,O
TOIZJLS,O,O,X,X,X,X,X,X,X,X,X
TOIZJSL,O,O,X,X,X,X,O,X,X,X,X
TOIZSLJ,O,O,O,X,X,X,X,X,X,X,O
TOIZSJL,O,O,X,X,X,X,O,X,X,X,X
TOLIJSZ,X,O,X,X,X,O,X,X,X,X,X
TOLIJZS,O,O,X,X,X,O,X,X,X,X,X
TOLISJZ,X,O,X,X,X,X,X,O,X,X,X
TOLISZJ,O,O,X,X,X,X,X,O,X,X,O
TOLIZJS,O,O,X,X,X,X,X,X,X,X,X
TOLIZSJ,O,O,X,X,X,X,X,X,X,X,O
TOLJISZ,X,X,X,X,X,O,X,X,X,X,X
TOLJIZS,O,X,X,X,X,O,X,X,X,X,X
TOLJSIZ,X,X,X,X,X,O,X,O,X,X,X
TOLJSZI,O,O,X,X,X,X,X,O,X,X,X
TOLJZIS,O,X,X,X,X,O,X,X,X,X,X
TOLJZSI,O,O,X,X,X,X,X,X,X,O,X
TOLSIJZ,X,O,X,X,X,X,X,O,X,X,X
TOLSIZJ,O,O,X,X,X,X,X,O,X,X,O
TOLSJIZ,X,X,X,X,X,X,X,O,X,X,X
TOLSJZI,O,O,X,X,X,X,X,O,X,X,X
TOLSZIJ,O,O,X,X,X,X,X,O,X,X,O
TOLSZJI,O,O,X,X,X,X,X,O,X,O,X
TOLZIJS,O,O,X,X,X,X,X,X,X,X,X
TOLZISJ,O,O,X,X,X,X,X,X,X,X,O
TOLZJIS,O,X,X,X,X,X,X,X,X,X,X
TOLZJSI,O,O,X,X,X,X,X,X,X,O,X
TOLZSIJ,O,O,X,X,X,X,X,O,X,X,O
TOLZSJI,O,O,X,X,X,X,X,O,X,O,X
TOJILSZ,X,O,X,X,X,O,X,X,X,X,X
TOJILZS,O,O,X,X,X,O,X,X,X,X,X
TOJISLZ,X,O,X,O,X,O,X,X,X,X,X
TOJISZL,X,O,X,O,X,X,X,X,X,X,X
TOJIZLS,O,O,X,X,O,O,X,X,X,X,X
TOJIZSL,O,O,X,X,O,X,X,X,X,X,X
TOJLISZ,X,X,X,X,X,O,X,X,X,X,X
TOJLIZS,O,X,X,X,X,O,X,X,X,X,X
TOJLSIZ,X,X,X,X,X,O,X,X,X,X,X
TOJLSZI,O,O,X,X,X,X,X,X,X,X,X
TOJLZIS,O,X,X,X,X,O,X,X,X,X,X
TOJLZSI,O,O,X,X,X,X,X,X,X,O,X
TOJSILZ,X,O,X,O,X,O,X,X,X,X,X
TOJSIZL,X,O,X,O,X,X,X,X,X,X,X
TOJSLIZ,X,X,X,O,X,O,X,X,X,X,X
TOJSLZI,O,O,X,O,X,X,X,X,X,X,X
TOJSZIL,O,X,X,O,X,X,X,X,X,X,X
TOJSZLI,O,O,X,O,X,X,X,X,X,X,X
TOJZILS,O,X,X,X,O,O,X,X,X,X,X
TOJZISL,O,X,X,X,O,X,X,X,X,X,X
TOJZLIS,O,X,X,X,O,O,X,X,X,X,X
TOJZLSI,O,O,X,X,O,X,X,X,X,O,X
TOJZSIL,O,X,X,X,O,X,X,X,X,X,X
TOJZSLI,O,O,X,X,O,X,X,X,X,O,X
TOSILJZ,X,O,X,X,X,X,X,O,X,X,X
TOSILZJ,O,O,X,X,X,X,X,O,O,X,O
TOSIJLZ,X,O,X,O,X,X,X,X,X,X,X
TOSIJZL,X,O,X,O,X,X,X,X,X,X,X
TOSIZLJ,O,O,O,X,X,X,X,X,X,X,O
TOSIZJL,O,O,X,X,X,X,O,X,X,X,X
TOSLIJZ,X,O,X,X,X,X,X,O,X,X,X
TOSLIZJ,O,O,X,X,X,X,X,O,O,X,O
TOSLJIZ,X,X,X,O,X,X,X,O,X,X,X
TOSLJZI,O,O,X,O,X,X,X,O,X,X,X
TOSLZIJ,O,O,X,X,X,X,X,O,O,X,O
TOSLZJI,O,O,X,X,X,X,O,O,O,O,X
TOSJILZ,X,O,X,O,X,X,X,X,X,X,X
TOSJIZL,X,O,X,O,X,X,X,X,X,X,X
TOSJLIZ,X,X,X,O,X,X,X,X,X,X,X
TOSJLZI,O,O,X,O,X,X,X,X,X,X,X
TOSJZIL,O,X,X,O,X,X,O,X,X,X,X
TOSJZLI,O,O,X,O,X,X,O,X,X,X,X
TOSZILJ,O,O,O,X,X,X,X,X,O,X,O
TOSZIJL,O,O,X,X,X,X,O,X,X,X,X
TOSZLIJ,O,O,O,X,X,X,X,X,O,X,O
TOSZLJI,O,O,X,X,X,X,O,X,O,O,X
TOSZJIL,O,X,X,O,X,X,O,X,X,X,X
TOSZJLI,O,O,X,O,X,X,O,X,O,O,X
TOZILJS,O,O,X,X,X,X,X,X,X,X,X
TOZILSJ,O,O,O,X,X,X,X,X,X,X,O
TOZIJLS,O,O,X,X,O,X,X,X,X,X,X
TOZIJSL,O,O,X,X,O,X,O,X,X,X,X
TOZISLJ,O,O,O,X,X,X,X,X,O,X,O
TOZISJL,O,O,X,X,X,X,O,X,X,X,X
TOZLIJS,O,O,X,X,X,X,X,X,X,X,X
TOZLISJ,O,O,O,X,X,X,X,X,X,X,O
TOZLJIS,O,X,X,X,O,X,X,X,X,X,X
TOZLJSI,O,O,X,X,O,X,X,X,X,O,X
TOZLSIJ,O,O,O,X,X,X,X,X,O,X,O
TOZLSJI,O,O,X,X,X,X,X,X,O,O,X
TOZJILS,O,X,X,X,O,X,X,X,X,X,X
TOZJISL,O,X,X,X,O,X,O,X,X,X,X
TOZJLIS,O,X,X,X,O,X,X,X,X,X,X
TOZJLSI,O,O,X,X,O,X,X,X,X,O,X
TOZJSIL,O,X,X,X,O,X,O,X,X,X,X
TOZJSLI,O,O,X,X,O,X,O,X,O,O,X
TOZSILJ,O,O,O,X,X,X,X,X,O,X,O
TOZSIJL,O,O,X,X,X,X,O,X,X,X,X
TOZSLIJ,O,O,O,X,X,X,X,X,O,X,O
TOZSLJI,O,O,X,X,X,X,O,X,O,O,X
TOZSJIL,O,X,X,X,O,X,O,X,X,X,X
TOZSJLI,O,O,X,X,O,X,O,X,O,O,X
ITLJSZO,X,O,X,X,X,O,X,X,X,X,X
ITLJSOZ,X,O,X,X,X,O,X,X,X,X,X
ITLJZSO,O,O,X,X,X,O,X,X,X,X,X
ITLJZOS,O,O,X,X,X,O,X,X,X,X,X
ITLJOSZ,X,O,X,X,X,O,X,X,X,X,X
ITLJOZS,O,O,X,X,X,O,X,X,X,X,X
ITLSJZO,X,O,X,X,X,X,X,X,X,X,X
ITLSJOZ,X,O,X,X,X,X,X,X,X,X,X
ITLSZJO,O,O,X,X,X,X,X,X,X,X,O
ITLSZOJ,O,O,X,X,X,X,X,X,X,X,O
ITLSOJZ,X,O,X,X,X,X,X,X,X,X,X
ITLSOZJ,O,O,X,X,X,X,X,X,X,X,O
ITLZJSO,O,O,X,X,X,X,X,X,X,X,X
ITLZJOS,O,O,X,X,X,X,X,X,X,X,X
ITLZSJO,O,O,X,X,X,X,X,X,X,X,O
ITLZSOJ,O,O,X,X,X,X,X,X,X,X,O
ITLZOJS,O,O,X,X,X,X,X,X,X,X,X
ITLZOSJ,O,O,X,X,X,X,X,X,X,X,O
ITLOJSZ,X,O,X,X,X,O,X,X,X,X,X
ITLOJZS,O,O,X,X,X,O,X,X,X,X,X
ITLOSJZ,X,O,X,X,X,X,X,X,X,X,X
ITLOSZJ,O,O,X,X,X,X,X,X,X,X,O
ITLOZJS,O,O,X,X,X,X,X,X,X,X,X
ITLOZSJ,O,O,X,X,X,X,X,X,X,X,O
ITJLSZO,X,O,X,X,X,O,X,X,X,X,X
ITJLSOZ,X,O,X,X,X,O,X,X,X,X,X
ITJLZSO,O,O,X,X,X,O,X,X,X,X,X
ITJLZOS,O,O,X,X,X,O,X,X,X,X,X
ITJLOSZ,X,O,X,X,X,O,X,X,X,X,X
ITJLOZS,O,O,X,X,X,O,X,X,X,X,X
ITJSLZO,X,O,X,O,X,O,X,X,X,X,X
ITJSLOZ,X,O,X,O,X,O,X,X,X,X,X
ITJSZLO,X,O,X,O,X,X,X,X,X,X,X
ITJSZOL,X,O,X,O,X,X,X,X,X,X,X
ITJSOLZ,X,O,X,O,X,O,X,X,X,X,X
ITJSOZL,X,O,X,O,X,X,X,X,X,X,X
ITJZLSO,O,O,X,X,O,O,X,X,X,X,X
ITJZLOS,O,O,X,X,O,O,X,X,X,X,X
ITJZSLO,O,O,X,X,O,X,X,X,X,X,X
ITJZSOL,O,O,X,X,O,X,X,X,X,X,X
ITJZOLS,O,O,X,X,O,O,X,X,X,X,X
ITJZOSL,O,O,X,X,O,X,X,X,X,X,X
ITJOLSZ,X,O,X,X,X,O,X,X,X,X,X
ITJOLZS,O,O,X,X,X,O,X,X,X,X,X
ITJOSLZ,X,O,X,O,X,O,X,X,X,X,X
ITJOSZL,X,O,X,O,X,X,X,X,X,X,X
ITJOZLS,O,O,X,X,O,O,X,X,X,X,X
ITJOZSL,O,O,X,X,O,X,X,X,X,X,X
ITSLJZO,X,O,X,X,X,X,X,O,X,X,X
ITSLJOZ,X,O,X,X,X,X,X,O,X,X,X
ITSLZJO,O,O,X,X,X,X,X,O,O,X,O
ITSLZOJ,O,O,X,X,X,X,X,O,O,X,O
ITSLOJZ,X,O,X,X,X,X,X,O,X,X,X
ITSLOZJ,O,O,X,X,X,X,X,O,O,X,O
ITSJLZO,X,O,X,X,X,X,X,X,X,X,X
ITSJLOZ,X,O,X,X,X,X,X,X,X,X,X
ITSJZLO,X,O,X,X,X,X,X,X,X,X,X
ITSJZOL,X,O,X,X,X,X,X,X,X,X,X
ITSJOLZ,X,O,X,X,X,X,X,X,X,X,X
ITSJOZL,X,O,X,X,X,X,X,X,X,X,X
ITSZLJO,O,O,O,X,X,X,X,X,X,X,O
ITSZLOJ,O,O,O,X,X,X,X,X,X,X,O
ITSZJLO,O,O,X,X,X,X,O,X,X,X,X
ITSZJOL,O,O,X,X,X,X,O,X,X,X,X
ITSZOLJ,O,O,O,X,X,X,X,X,X,X,O
ITSZOJL,O,O,X,X,X,X,O,X,X,X,X
ITSOLJZ,X,O,X,X,X,X,X,O,X,X,X
ITSOLZJ,O,O,X,X,X,X,X,O,O,X,O
ITSOJLZ,X,O,X,X,X,X,X,X,X,X,X
ITSOJZL,X,O,X,X,X,X,X,X,X,X,X
ITSOZLJ,O,O,O,X,X,X,X,X,X,X,O
ITSOZJL,O,O,X,X,X,X,O,X,X,X,X
ITZLJSO,O,O,X,X,X,X,X,X,X,X,X
ITZLJOS,O,O,X,X,X,X,X,X,X,X,X
ITZLSJO,O,O,O,X,X,X,X,X,X,X,O
ITZLSOJ,O,O,O,X,X,X,X,X,X,X,O
ITZLOJS,O,O,X,X,X,X,X,X,X,X,X
ITZLOSJ,O,O,O,X,X,X,X,X,X,X,O
ITZJLSO,O,O,X,X,X,X,X,X,X,X,X
ITZJLOS,O,O,X,X,X,X,X,X,X,X,X
ITZJSLO,O,O,X,X,X,X,O,X,X,X,X
ITZJSOL,O,O,X,X,X,X,O,X,X,X,X
ITZJOLS,O,O,X,X,X,X,X,X,X,X,X
ITZJOSL,O,O,X,X,X,X,O,X,X,X,X
ITZSLJO,O,O,O,X,X,X,X,X,X,X,O
ITZSLOJ,O,O,O,X,X,X,X,X,X,X,O
ITZSJLO,O,O,X,X,X,X,O,X,X,X,X
ITZSJOL,O,O,X,X,X,X,O,X,X,X,X
ITZSOLJ,O,O,O,X,X,X,X,X,X,X,O
ITZSOJL,O,O,X,X,X,X,O,X,X,X,X
ITZOLJS,O,O,X,X,X,X,X,X,X,X,X
ITZOLSJ,O,O,O,X,X,X,X,X,X,X,O
ITZOJLS,O,O,X,X,X,X,X,X,X,X,X
ITZOJSL,O,O,X,X,X,X,O,X,X,X,X
ITZOSLJ,O,O,O,X,X,X,X,X,X,X,O
ITZOSJL,O,O,X,X,X,X,O,X,X,X,X
ITOLJSZ,X,O,X,X,X,O,X,X,X,X,X
ITOLJZS,O,O,X,X,X,O,X,X,X,X,X
ITOLSJZ,X,O,X,X,X,X,X,X,X,X,X
ITOLSZJ,O,O,X,X,X,X,X,X,X,X,O
ITOLZJS,O,O,X,X,X,X,X,X,X,X,X
ITOLZSJ,O,O,X,X,X,X,X,X,X,X,O
ITOJLSZ,X,O,X,X,X,O,X,X,X,X,X
ITOJLZS,O,O,X,X,X,O,X,X,X,X,X
ITOJSLZ,X,O,X,O,X,O,X,X,X,X,X
ITOJSZL,X,O,X,O,X,X,X,X,X,X,X
ITOJZLS,O,O,X,X,O,O,X,X,X,X,X
ITOJZSL,O,O,X,X,O,X,X,X,X,X,X
ITOSLJZ,X,O,X,X,X,X,X,O,X,X,X
ITOSLZJ,O,O,X,X,X,X,X,O,O,X,O
ITOSJLZ,X,O,X,X,X,X,X,X,X,X,X
ITOSJZL,X,O,X,X,X,X,X,X,X,X,X
ITOSZLJ,O,O,O,X,X,X,X,X,X,X,O
ITOSZJL,O,O,X,X,X,X,O,X,X,X,X
ITOZLJS,O,O,X,X,X,X,X,X,X,X,X
ITOZLSJ,O,O,O,X,X,X,X,X,X,X,O
ITOZJLS,O,O,X,X,X,X,X,X,X,X,X
ITOZJSL,O,O,X,X,X,X,O,X,X,X,X
ITOZSLJ,O,O,O,X,X,X,X,X,X,X,O
ITOZSJL,O,O,X,X,X,X,O,X,X,X,X
ILTJSZO,X,O,X,X,X,O,X,X,X,X,X
ILTJSOZ,X,O,X,X,X,O,X,X,X,X,X
ILTJZSO,O,O,X,X,X,O,X,X,X,X,X
ILTJZOS,O,O,X,X,X,O,X,X,X,X,X
ILTJOSZ,X,O,X,X,X,O,X,X,X,X,X
ILTJOZS,O,O,X,X,X,O,X,X,X,X,X
ILTSJZO,X,O,X,X,X,X,X,O,X,X,X
ILTSJOZ,X,O,X,X,X,X,X,O,X,X,X
ILTSZJO,O,O,X,X,X,X,X,O,X,X,O
ILTSZOJ,O,O,X,X,X,X,X,O,X,X,O
ILTSOJZ,X,O,X,X,X,X,X,O,X,X,X
ILTSOZJ,O,O,X,X,X,X,X,O,X,X,O
ILTZJSO,O,O,X,X,X,X,X,X,X,X,X
ILTZJOS,O,O,X,X,X,X,X,X,X,X,X
ILTZSJO,O,O,X,X,X,X,X,X,X,X,O
ILTZSOJ,O,O,X,X,X,X,X,X,X,X,O
ILTZOJS,O,O,X,X,X,X,X,X,X,X,X
ILTZOSJ,O,O,X,X,X,X,X,X,X,X,O
ILTOJSZ,X,O,X,X,X,O,X,X,X,X,X
ILTOJZS,O,O,X,X,X,O,X,X,X,X,X
ILTOSJZ,X,O,X,X,X,X,X,O,X,X,X
ILTOSZJ,O,O,X,X,X,X,X,O,X,X,O
ILTOZJS,O,O,X,X,X,X,X,X,X,X,X
ILTOZSJ,O,O,X,X,X,X,X,X,X,X,O
ILJTSZO,X,O,X,X,X,O,X,X,X,X,X
ILJTSOZ,X,O,X,X,X,O,X,X,X,X,X
ILJTZSO,O,O,X,X,X,O,X,X,X,X,X
ILJTZOS,O,O,X,X,X,O,X,X,X,X,X
ILJTOSZ,X,O,X,X,X,O,X,X,X,X,X
ILJTOZS,O,O,X,X,X,O,X,X,X,X,X
ILJSTZO,X,X,X,O,X,O,X,X,X,X,X
ILJSTOZ,X,X,X,O,X,O,X,X,X,X,X
ILJSZTO,X,X,X,X,X,X,X,X,X,X,O
ILJSZOT,X,X,X,X,X,X,X,X,X,X,O
ILJSOTZ,X,X,X,O,X,O,X,X,X,X,X
ILJSOZT,X,X,X,X,X,X,X,X,X,X,O
ILJZTSO,O,O,X,X,O,O,X,X,X,X,X
ILJZTOS,O,O,X,X,O,O,X,X,X,X,X
ILJZSTO,X,X,X,X,X,X,X,X,X,O,O
