sequence,v115@HhA8IeF8DeB8CeC8Lel/IvhF3gBzhBGjBxsByvBUtB,v115@HhA8IeF8DeB8CeC8Le0/IvhFlgBfnBxiBznB+tByvB,v115@HhA8IeF8DeB8CeC8Lel/IvhFymBziB5oBmsBcqBXrB,v115@HhA8IeF8DeB8CeC8Le0/IvhFmgBzhBxsBftB6tB1vB,v115@HhA8IeF8DeB8CeC8Lel/IvhFzgBfnBxiBStB2vBUtB,v115@HhA8IeF8DeB8CeC8Le0/IvhFzgBfnB5oBatBlnB2vB,v115@HhA8IeF8DeB8CeC8Lel/IvhFymBziBxsBcqB+tBXrB,v115@HhA8IeF8DeB8CeC8Lel/IvhFRiBSoBUnBTtBmqB3qB,v115@HhA8IeF8DeB8CeC8Le0/IvhFmgBfnBxiBCoBTtB1vB
TLZSJIO,X,O,X,X,O,X,X,X,X
TLZSJOI,X,O,X,X,O,X,X,X,X
TLZSOIJ,X,X,X,X,O,O,X,X,X
TLZSOJI,X,X,X,X,O,X,X,X,X
TLZOIJS,X,X,X,X,X,X,X,O,X
TLZOISJ,X,X,X,X,X,O,X,O,X
TLZOJIS,X,X,X,X,X,X,X,O,X
TLZOJSI,X,X,X,X,X,X,X,O,X
TLZOSIJ,X,X,X,X,O,O,X,O,X
TLZOSJI,X,X,X,X,O,X,X,O,X
TLOIJSZ,O,X,O,X,X,X,O,X,X
TLOIJZS,O,X,O,X,X,X,O,X,X
TLOISJZ,O,X,X,X,O,X,X,X,X
TLOISZJ,O,X,X,X,O,O,X,X,X
TLOIZJS,O,X,X,X,X,X,O,O,X
TLOIZSJ,O,X,X,X,X,O,X,O,X
TLOJISZ,X,X,O,X,X,X,X,X,X
TLOJIZS,X,X,O,X,X,X,X,X,X
TLOJSIZ,X,X,O,X,O,X,X,X,X
TLOJSZI,X,X,X,X,O,X,X,X,X
TLOJZIS,X,X,O,X,X,X,X,O,X
TLOJZSI,X,X,X,X,X,X,X,O,X
TLOSIJZ,X,X,X,X,O,X,X,X,X
TLOSIZJ,O,X,X,X,O,O,X,X,X
TLOSJIZ,X,X,X,X,O,X,X,X,X
TLOSJZI,X,X,X,X,O,X,X,X,X
TLOSZIJ,X,X,X,X,O,O,X,O,X
TLOSZJI,X,X,X,X,O,X,X,O,X
TLOZIJS,X,X,X,X,X,X,X,O,X
TLOZISJ,X,X,X,X,X,O,X,O,X
TLOZJIS,X,X,X,X,X,X,X,O,X
TLOZJSI,X,X,X,X,X,X,X,O,X
TLOZSIJ,X,X,X,X,O,O,X,O,X
TLOZSJI,X,X,X,X,O,X,X,O,X
TJILSZO,O,X,O,X,X,X,O,X,X
TJILSOZ,O,X,O,X,X,X,O,X,X
TJILZSO,O,X,O,X,X,X,O,X,X
TJILZOS,O,X,O,X,X,X,O,X,X
TJILOSZ,O,X,O,X,X,X,O,X,X
TJILOZS,O,X,O,X,X,X,O,X,X
TJISLZO,X,O,O,X,X,X,O,X,X
TJISLOZ,X,X,O,X,X,X,O,X,X
TJISZLO,X,O,O,X,X,X,O,X,X
TJISZOL,X,O,O,X,X,X,O,X,X
TJISOLZ,X,O,O,X,X,X,O,X,X
TJISOZL,X,O,O,X,X,X,O,X,X
TJIZLSO,O,X,O,X,X,X,O,X,X
TJIZLOS,O,X,O,X,X,X,O,X,X
TJIZSLO,O,O,O,X,X,X,O,X,X
TJIZSOL,O,O,O,X,X,X,O,X,X
TJIZOLS,O,X,O,X,X,X,O,X,X
TJIZOSL,O,O,O,X,X,X,O,X,X
TJIOLSZ,O,X,O,X,X,X,O,X,X
TJIOLZS,O,X,O,X,X,X,O,X,X
TJIOSLZ,X,O,O,X,X,X,O,X,X
TJIOSZL,X,O,O,X,X,X,O,X,X
TJIOZLS,O,X,O,X,X,X,O,X,X
TJIOZSL,O,O,O,X,X,X,O,X,X
TJLISZO,X,X,O,X,X,X,O,X,X
TJLISOZ,X,X,O,X,X,X,O,X,X
TJLIZSO,X,X,O,X,X,X,O,X,X
TJLIZOS,X,X,O,X,X,X,O,X,X
TJLIOSZ,X,X,O,X,X,X,O,X,X
TJLIOZS,X,X,O,X,X,X,O,X,X
TJLSIZO,X,O,O,X,O,X,X,X,X
TJLSIOZ,X,X,O,X,O,X,X,X,X
TJLSZIO,X,O,X,X,O,X,X,X,X
TJLSZOI,X,O,X,X,O,X,X,X,X
TJLSOIZ,X,O,O,X,O,X,X,X,X
TJLSOZI,X,O,X,X,O,X,X,X,X
TJLZISO,X,X,O,X,X,X,X,X,X
TJLZIOS,X,X,O,X,X,X,X,X,X
TJLZSIO,X,O,X,X,X,X,X,X,X
TJLZSOI,X,O,X,X,X,X,X,X,X
TJLZOIS,X,X,O,X,X,X,X,X,X
TJLZOSI,X,O,X,X,X,X,X,X,X
TJLOISZ,X,X,O,X,X,X,X,X,X
TJLOIZS,X,X,O,X,X,X,X,X,X
TJLOSIZ,X,O,O,X,O,X,X,X,X
TJLOSZI,X,O,X,X,O,X,X,X,X
TJLOZIS,X,X,O,X,X,X,X,X,X
TJLOZSI,X,O,X,X,X,X,X,X,X
TJSILZO,X,O,O,X,X,X,X,X,X
TJSILOZ,X,X,O,X,X,X,X,X,X
TJSIZLO,O,O,O,X,X,X,X,X,X
TJSIZOL,O,O,O,X,X,X,X,X,X
TJSIOLZ,X,O,O,X,O,X,X,X,X
TJSIOZL,O,O,O,X,X,X,X,X,X
TJSLIZO,X,O,O,X,O,X,X,X,X
TJSLIOZ,X,X,O,X,O,X,X,X,X
TJSLZIO,X,O,X,X,O,X,X,X,X
TJSLZOI,X,O,X,X,O,X,X,X,X
TJSLOIZ,X,O,O,X,O,X,X,X,X
TJSLOZI,X,O,X,X,O,X,X,X,X
TJSZILO,X,O,X,X,X,X,X,X,X
TJSZIOL,X,O,X,X,X,X,X,X,X
TJSZLIO,X,O,X,X,X,X,X,X,X
TJSZLOI,X,O,X,X,X,X,X,X,X
TJSZOIL,X,O,X,X,X,X,X,X,X
TJSZOLI,X,O,X,X,X,X,X,X,X
TJSOILZ,X,O,O,X,O,X,X,X,X
TJSOIZL,O,O,O,X,X,X,X,X,X
TJSOLIZ,X,O,O,X,O,X,X,X,X
TJSOLZI,X,O,X,X,O,X,X,X,X
TJSOZIL,X,O,X,X,X,X,X,X,X
TJSOZLI,X,O,X,X,X,X,X,X,X
TJZILSO,X,X,O,X,X,X,X,X,X
TJZILOS,X,X,O,X,X,X,X,X,X
TJZISLO,X,O,O,X,X,X,X,X,X
TJZISOL,X,O,O,X,X,X,X,X,X
TJZIOLS,X,X,O,X,X,X,X,X,X
TJZIOSL,X,O,O,X,X,X,X,X,X
TJZLISO,X,X,O,X,X,X,X,X,X
TJZLIOS,X,X,O,X,X,X,X,X,X
TJZLSIO,X,O,X,X,X,X,X,X,X
TJZLSOI,X,O,X,X,X,X,X,X,X
TJZLOIS,X,X,O,X,X,X,X,X,X
TJZLOSI,X,O,X,X,X,X,X,X,X
TJZSILO,X,O,X,X,X,X,X,X,X
TJZSIOL,X,O,X,X,X,X,X,X,X
TJZSLIO,X,O,X,X,X,X,X,X,X
TJZSLOI,X,O,X,X,X,X,X,X,X
TJZSOIL,X,O,X,X,X,X,X,X,X
TJZSOLI,X,O,X,X,X,X,X,X,X
TJZOILS,X,X,O,X,X,X,X,O,X
TJZOISL,X,O,O,X,X,X,X,O,X
TJZOLIS,X,X,O,X,X,X,X,O,X
TJZOLSI,X,O,X,X,X,X,X,O,X
TJZOSIL,X,O,X,X,X,X,X,O,X
TJZOSLI,X,O,X,X,X,X,X,O,X
TJOILSZ,O,X,O,X,X,X,X,X,X
TJOILZS,O,X,O,X,X,X,X,X,X
TJOISLZ,X,O,O,X,X,X,X,X,X
TJOISZL,X,O,O,X,X,X,X,X,X
TJOIZLS,O,X,O,X,X,X,X,X,X
TJOIZSL,O,O,O,X,X,X,X,X,X
TJOLISZ,X,X,O,X,X,X,X,X,X
TJOLIZS,X,X,O,X,X,X,X,X,X
TJOLSIZ,X,O,O,X,O,X,X,X,X
TJOLSZI,X,O,X,X,O,X,X,X,X
TJOLZIS,X,X,O,X,X,X,X,O,X
TJOLZSI,X,O,X,X,X,X,X,O,X
TJOSILZ,X,O,O,X,O,X,X,X,X
TJOSIZL,O,O,O,X,X,X,X,X,X
TJOSLIZ,X,O,O,X,O,X,X,X,X
TJOSLZI,X,O,X,X,O,X,X,X,X
TJOSZIL,X,O,X,X,X,X,X,X,X
TJOSZLI,X,O,X,X,X,X,X,X,X
TJOZILS,X,X,O,X,X,X,X,O,X
TJOZISL,X,O,O,X,X,X,X,O,X
TJOZLIS,X,X,O,X,X,X,X,O,X
TJOZLSI,X,O,X,X,X,X,X,O,X
TJOZSIL,X,O,X,X,X,X,X,O,X
TJOZSLI,X,O,X,X,X,X,X,O,X
TSILJZO,O,X,O,X,O,X,O,X,X
TSILJOZ,O,X,O,X,O,X,O,X,X
TSILZJO,O,O,X,X,O,X,O,X,X
TSILZOJ,O,X,X,X,O,O,X,X,X
TSILOJZ,O,X,X,X,O,X,X,X,X
TSILOZJ,O,X,X,X,O,O,X,X,X
TSIJLZO,X,O,O,X,X,X,O,X,X
TSIJLOZ,X,X,O,X,X,X,O,X,X
TSIJZLO,O,O,O,X,X,X,O,X,X
TSIJZOL,O,O,O,X,X,X,O,X,X
TSIJOLZ,X,O,O,X,O,X,O,X,X
TSIJOZL,O,O,O,X,X,X,O,X,X
TSIZLJO,O,O,X,X,X,X,O,X,X
TSIZLOJ,O,X,X,X,X,O,X,X,X
TSIZJLO,O,O,X,X,X,X,O,X,X
TSIZJOL,O,O,X,X,X,X,O,X,X
TSIZOLJ,O,X,X,X,O,O,X,X,X
TSIZOJL,O,O,X,X,X,X,X,X,X
TSIOLJZ,O,X,X,X,O,X,X,X,X
TSIOLZJ,O,X,X,X,O,O,X,X,X
TSIOJLZ,X,X,X,X,O,X,X,X,X
TSIOJZL,O,X,X,X,X,X,X,X,X
TSIOZLJ,O,X,X,X,O,O,X,X,X
TSIOZJL,O,O,X,X,X,X,X,X,X
TSLIJZO,X,X,O,X,O,X,O,X,X
TSLIJOZ,X,X,O,X,O,X,O,X,X
TSLIZJO,O,O,X,X,O,X,O,X,X
TSLIZOJ,O,X,X,X,O,O,X,X,X
TSLIOJZ,X,X,X,X,O,X,X,X,X
TSLIOZJ,O,X,X,X,O,O,X,X,X
TSLJIZO,X,O,O,X,O,X,X,X,X
TSLJIOZ,X,X,O,X,O,X,X,X,X
TSLJZIO,X,O,X,X,O,X,X,X,X
TSLJZOI,X,O,X,X,O,X,X,X,X
TSLJOIZ,X,O,O,X,O,X,X,X,X
TSLJOZI,X,O,X,X,O,X,X,X,X
TSLZIJO,X,O,X,X,O,X,X,X,X
TSLZIOJ,X,X,X,X,O,O,X,X,X
TSLZJIO,X,O,X,X,O,X,X,X,X
TSLZJOI,X,O,X,X,O,X,X,X,X
TSLZOIJ,X,X,X,X,O,O,X,X,X
TSLZOJI,X,X,X,X,O,X,X,X,X
TSLOIJZ,X,X,X,X,O,X,X,X,X
TSLOIZJ,O,X,X,X,O,O,X,X,X
TSLOJIZ,X,X,X,X,O,X,X,X,X
TSLOJZI,X,X,X,X,O,X,X,X,X
TSLOZIJ,X,X,X,X,O,O,X,X,X
TSLOZJI,X,X,X,X,O,X,X,X,X
TSJILZO,X,O,O,X,X,X,X,X,X
TSJILOZ,X,X,O,X,X,X,X,X,X
TSJIZLO,O,O,O,X,X,X,X,X,X
TSJIZOL,O,O,O,X,X,X,X,X,X
TSJIOLZ,X,O,O,X,O,X,X,X,X
TSJIOZL,O,O,O,X,X,X,X,X,X
TSJLIZO,X,O,O,X,O,X,X,X,X
TSJLIOZ,X,X,O,X,O,X,X,X,X
