sequence,v115@IhB8HeB8FeD8CeD8JeOEJvhFlgBRiBcoBXmBTnBSwB,v115@IhB8HeB8FeD8CeD8JeOEJvhFxgBXiBTjB1sBCrBUrB,v115@IhB8HeB8FeD8CeD8JeOEJvhFlgBSnBTjB8qBRsB3rB,v115@IhB8HeB8FeD8CeD8JeOEJvhF0gBxiBFnBXoBCrBTrB,v115@IhB8HeB8FeD8CeD8JeOEJvhF0gBxiBFnBXoB6rBzqB,v115@IhB8HeB8FeD8CeD8JeOEJvhFxgBTjBCmBXnB0nBVwB
TOJZLSI,O,O,X,X,O,O
TOJZSIL,O,O,O,O,O,X
TOJZSLI,X,O,X,O,O,O
TOSILJZ,X,O,X,O,O,O
TOSILZJ,X,O,X,O,O,O
TOSIJLZ,X,O,X,O,O,O
TOSIJZL,X,O,X,O,O,X
TOSIZLJ,X,X,X,X,O,X
TOSIZJL,X,O,X,O,O,X
TOSLIJZ,X,O,X,O,O,O
TOSLIZJ,X,O,X,O,O,O
TOSLJIZ,X,O,X,O,O,O
TOSLJZI,X,O,X,O,O,O
TOSLZIJ,X,O,X,O,O,O
TOSLZJI,X,O,X,O,O,O
TOSJILZ,X,O,X,O,O,O
TOSJIZL,X,O,X,O,O,X
TOSJLIZ,X,O,X,O,O,O
TOSJLZI,X,O,X,O,O,O
TOSJZIL,O,O,O,O,O,X
TOSJZLI,X,O,X,O,O,O
TOSZILJ,X,X,O,X,O,X
TOSZIJL,O,O,O,O,O,X
TOSZLIJ,X,O,X,X,O,O
TOSZLJI,X,O,X,X,O,O
TOSZJIL,O,O,O,O,O,X
TOSZJLI,X,O,X,O,O,O
TOZILJS,O,O,O,X,X,X
TOZILSJ,O,O,O,X,X,X
TOZIJLS,O,O,O,X,X,X
TOZIJSL,O,O,O,X,O,X
TOZISLJ,X,X,O,X,O,X
TOZISJL,O,O,O,X,O,X
TOZLIJS,O,O,O,X,X,O
TOZLISJ,O,O,O,X,X,O
TOZLJIS,O,O,O,X,X,O
TOZLJSI,O,O,X,X,O,O
TOZLSIJ,O,O,X,X,O,O
TOZLSJI,O,O,X,X,O,O
TOZJILS,O,O,O,X,X,X
TOZJISL,O,O,O,X,O,X
TOZJLIS,O,O,O,X,X,O
TOZJLSI,O,O,X,X,O,O
TOZJSIL,O,O,O,O,O,X
TOZJSLI,X,O,X,O,O,O
TOZSILJ,X,X,O,X,O,X
TOZSIJL,O,O,O,O,O,X
TOZSLIJ,X,O,X,X,O,O
TOZSLJI,X,O,X,X,O,O
TOZSJIL,O,O,O,O,O,X
TOZSJLI,X,O,X,O,O,O
ITLJSZO,X,O,X,O,X,O
ITLJSOZ,X,O,X,O,X,O
ITLJZSO,O,O,O,O,X,O
ITLJZOS,O,O,O,X,X,O
ITLJOSZ,X,O,X,X,X,O
ITLJOZS,O,O,O,X,X,O
ITLSJZO,X,O,X,O,X,O
ITLSJOZ,X,O,X,O,X,O
ITLSZJO,X,O,X,O,X,O
ITLSZOJ,X,O,X,O,X,O
ITLSOJZ,X,O,X,O,X,O
ITLSOZJ,X,O,X,O,X,O
ITLZJSO,O,O,O,O,X,O
ITLZJOS,O,O,O,X,X,O
ITLZSJO,O,O,O,O,X,O
ITLZSOJ,X,O,O,O,X,O
ITLZOJS,O,O,O,X,X,O
ITLZOSJ,O,O,O,X,X,O
ITLOJSZ,X,O,X,X,X,O
ITLOJZS,O,O,O,X,X,O
ITLOSJZ,X,O,X,X,X,O
ITLOSZJ,X,O,X,X,X,O
ITLOZJS,O,O,O,X,X,O
ITLOZSJ,O,O,O,X,X,O
ITJLSZO,X,O,X,O,X,O
ITJLSOZ,X,O,X,O,X,O
ITJLZSO,O,O,O,O,X,O
ITJLZOS,O,O,O,X,X,O
ITJLOSZ,X,O,X,X,X,O
ITJLOZS,O,O,O,X,X,O
ITJSLZO,X,O,X,O,O,O
ITJSLOZ,X,O,X,O,O,O
ITJSZLO,X,X,X,O,O,X
ITJSZOL,X,O,X,O,O,X
ITJSOLZ,X,O,X,O,O,O
ITJSOZL,X,O,X,O,O,X
ITJZLSO,O,O,O,X,X,X
ITJZLOS,O,O,O,X,X,X
ITJZSLO,O,X,O,O,O,X
ITJZSOL,O,O,O,O,O,X
ITJZOLS,O,O,O,X,X,X
ITJZOSL,O,O,O,X,X,X
ITJOLSZ,X,O,X,X,X,O
ITJOLZS,X,O,O,X,X,O
ITJOSLZ,X,O,X,X,O,O
ITJOSZL,X,O,X,X,O,X
ITJOZLS,O,O,O,X,X,X
ITJOZSL,O,O,O,X,O,X
ITSLJZO,X,O,X,O,O,O
ITSLJOZ,X,O,X,O,O,O
ITSLZJO,X,O,X,O,O,O
ITSLZOJ,X,O,X,O,X,O
ITSLOJZ,X,O,X,O,O,O
ITSLOZJ,X,O,X,O,O,O
ITSJLZO,X,O,X,O,O,O
ITSJLOZ,X,O,X,O,O,O
ITSJZLO,X,X,X,O,O,X
ITSJZOL,X,O,X,O,O,X
ITSJOLZ,X,O,X,O,O,O
ITSJOZL,X,O,X,O,O,X
ITSZLJO,X,X,X,O,O,X
ITSZLOJ,X,X,X,O,X,X
ITSZJLO,X,X,X,O,O,X
ITSZJOL,X,O,X,O,O,X
ITSZOLJ,X,X,X,X,O,X
ITSZOJL,X,O,X,O,O,X
ITSOLJZ,X,O,X,O,O,O
ITSOLZJ,X,O,X,O,O,O
ITSOJLZ,X,O,X,O,O,O
ITSOJZL,X,O,X,O,O,X
ITSOZLJ,X,X,X,X,O,X
ITSOZJL,X,O,X,O,O,X
ITZLJSO,O,O,O,X,X,X
ITZLJOS,O,O,O,X,X,X
ITZLSJO,O,O,O,X,X,X
ITZLSOJ,X,O,O,X,X,X
ITZLOJS,O,O,O,X,X,X
ITZLOSJ,O,O,O,X,X,X
ITZJLSO,O,O,O,X,X,X
ITZJLOS,O,O,O,X,X,X
ITZJSLO,O,X,O,O,O,X
ITZJSOL,O,O,O,O,O,X
ITZJOLS,O,O,O,X,X,X
ITZJOSL,O,O,O,X,X,X
ITZSLJO,X,X,O,O,O,X
ITZSLOJ,X,X,O,X,X,X
ITZSJLO,O,X,O,O,O,X
ITZSJOL,O,O,O,O,O,X
ITZSOLJ,X,X,O,X,X,X
ITZSOJL,X,O,O,O,O,X
ITZOLJS,O,O,O,X,X,X
ITZOLSJ,X,O,O,X,X,X
ITZOJLS,O,O,O,X,X,X
ITZOJSL,O,O,O,X,X,X
ITZOSLJ,X,X,O,X,X,X
ITZOSJL,O,O,O,X,X,X
ITOLJSZ,X,O,X,X,X,O
ITOLJZS,X,O,O,X,X,O
ITOLSJZ,X,O,X,X,X,O
ITOLSZJ,X,O,X,X,X,O
ITOLZJS,X,O,O,X,X,O
ITOLZSJ,X,O,O,X,X,O
ITOJLSZ,X,O,X,X,X,O
ITOJLZS,X,O,O,X,X,O
ITOJSLZ,X,O,X,X,O,O
ITOJSZL,X,O,X,X,O,X
ITOJZLS,O,O,O,X,X,X
ITOJZSL,O,O,O,X,O,X
ITOSLJZ,X,O,X,X,O,O
ITOSLZJ,X,O,X,X,O,O
ITOSJLZ,X,O,X,X,O,O
ITOSJZL,X,O,X,X,O,X
ITOSZLJ,X,X,X,X,O,X
ITOSZJL,X,O,X,X,O,X
ITOZLJS,O,O,O,X,X,X
ITOZLSJ,X,O,O,X,X,X
ITOZJLS,O,O,O,X,X,X
ITOZJSL,O,O,O,X,O,X
ITOZSLJ,X,X,O,X,O,X
ITOZSJL,O,O,O,X,O,X
ILTJSZO,X,O,X,O,X,X
ILTJSOZ,X,O,X,O,X,X
ILTJZSO,O,O,O,O,X,X
ILTJZOS,O,O,O,X,X,X
ILTJOSZ,X,O,X,X,X,X
ILTJOZS,O,O,O,X,X,X
ILTSJZO,X,O,X,O,X,X
ILTSJOZ,X,O,X,O,X,X
ILTSZJO,X,O,X,O,X,X
ILTSZOJ,X,O,X,O,X,X
ILTSOJZ,X,O,X,O,X,X
ILTSOZJ,X,O,X,O,X,X
ILTZJSO,O,O,O,O,X,X
ILTZJOS,O,O,O,X,X,X
ILTZSJO,O,O,O,O,X,X
ILTZSOJ,X,O,O,O,X,X
ILTZOJS,O,O,O,X,X,X
ILTZOSJ,O,O,O,X,X,X
ILTOJSZ,X,O,X,X,X,X
ILTOJZS,O,O,O,X,X,X
ILTOSJZ,X,O,X,X,X,X
ILTOSZJ,X,O,X,X,X,X
ILTOZJS,O,O,O,X,X,X
ILTOZSJ,O,O,O,X,X,X
ILJTSZO,X,O,X,O,X,X
ILJTSOZ,X,O,X,O,X,X
ILJTZSO,O,O,O,O,X,X
ILJTZOS,O,O,O,X,X,X
ILJTOSZ,X,O,X,X,X,X
ILJTOZS,O,O,O,X,X,X
ILJSTZO,O,O,X,O,X,X
ILJSTOZ,O,O,X,O,X,X
ILJSZTO,O,X,O,O,X,X
ILJSZOT,O,X,O,X,X,X
ILJSOTZ,O,X,X,X,X,X
ILJSOZT,O,X,O,X,X,X
ILJZTSO,O,O,O,O,X,X
ILJZTOS,O,O,O,X,X,X
ILJZSTO,O,X,O,O,X,X
ILJZSOT,O,X,O,X,X,X
ILJZOTS,O,X,O,X,X,X
ILJZOST,O,X,O,X,X,X
ILJOTSZ,X,O,X,X,X,X
ILJOTZS,O,O,O,X,X,X
ILJOSTZ,O,X,X,X,X,X
ILJOSZT,O,X,O,X,X,X
ILJOZTS,O,X,O,X,X,X
ILJOZST,O,X,O,X,X,X
ILSTJZO,O,O,X,O,X,X
ILSTJOZ,O,O,X,O,X,X
ILSTZJO,O,O,X,O,X,X
ILSTZOJ,O,O,X,O,X,X
ILSTOJZ,O,O,X,O,X,X
ILSTOZJ,O,O,X,O,X,X
ILSJTZO,O,O,X,O,X,X
ILSJTOZ,O,O,X,O,X,X
ILSJZTO,O,X,O,O,X,X
ILSJZOT,O,X,O,X,X,X
ILSJOTZ,O,X,X,X,X,X
ILSJOZT,O,X,O,X,X,X
ILSZTJO,O,X,O,O,X,X
ILSZTOJ,O,X,O,O,X,X
ILSZJTO,O,X,O,O,X,X
ILSZJOT,O,X,O,X,X,X
ILSZOTJ,O,X,O,X,X,X
ILSZOJT,O,X,O,X,X,X
ILSOTJZ,O,X,X,X,X,X
ILSOTZJ,O,X,X,X,X,X
ILSOJTZ,O,X,X,X,X,X
ILSOJZT,O,X,O,X,X,X
ILSOZTJ,O,X,O,X,X,X
ILSOZJT,O,X,O,X,X,X
ILZTJSO,O,O,O,O,X,X
ILZTJOS,O,O,O,X,X,X
ILZTSJO,O,O,O,O,X,X
ILZTSOJ,O,O,O,O,X,X
ILZTOJS,O,O,O,X,X,X
ILZTOSJ,O,O,O,X,X,X
ILZJTSO,O,O,O,O,X,X
ILZJTOS,O,O,O,X,X,X
ILZJSTO,O,X,O,O,X,X
ILZJSOT,O,X,O,X,X,X
ILZJOTS,O,X,O,X,X,X
ILZJOST,O,X,O,X,X,X
ILZSTJO,O,X,O,O,X,X
ILZSTOJ,O,X,O,O,X,X
ILZSJTO,O,X,O,O,X,X
ILZSJOT,O,X,O,X,X,X
ILZSOTJ,O,X,O,X,X,X
ILZSOJT,O,X,O,X,X,X
ILZOTJS,O,X,O,X,X,X
ILZOTSJ,O,X,O,X,X,X
ILZOJTS,O,X,O,X,X,X
ILZOJST,O,X,O,X,X,X
ILZOSTJ,O,X,O,X,X,X
ILZOSJT,O,X,O,X,X,X
ILOTJSZ,X,O,X,X,X,X
ILOTJZS,O,O,O,X,X,X
ILOTSJZ,X,O,X,X,X,X
ILOTSZJ,X,O,X,X,X,X
ILOTZJS,O,O,O,X,X,X
ILOTZSJ,O,O,O,X,X,X
ILOJTSZ,X,O,X,X,X,X
ILOJTZS,O,O,O,X,X,X
ILOJSTZ,O,X,X,X,X,X
ILOJSZT,O,X,O,X,X,X
ILOJZTS,O,X,O,X,X,X
ILOJZST,O,X,O,X,X,X
ILOSTJZ,O,X,X,X,X,X
ILOSTZJ,O,X,X,X,X,X
ILOSJTZ,O,X,X,X,X,X
ILOSJZT,O,X,O,X,X,X
ILOSZTJ,O,X,O,X,X,X
ILOSZJT,O,X,O,X,X,X
ILOZTJS,O,X,O,X,X,X
ILOZTSJ,O,X,O,X,X,X
ILOZJTS,O,X,O,X,X,X
ILOZJST,O,X,O,X,X,X
ILOZSTJ,O,X,O,X,X,X
ILOZSJT,O,X,O,X,X,X
IJTLSZO,X,O,X,O,X,O
IJTLSOZ,X,O,X,O,X,O
IJTLZSO,O,O,O,O,X,O
IJTLZOS,O,O,O,X,X,O
IJTLOSZ,X,O,X,X,X,O
IJTLOZS,O,O,O,X,X,O
IJTSLZO,X,O,X,O,O,O
IJTSLOZ,X,O,X,O,O,O
IJTSZLO,X,X,X,O,O,X
IJTSZOL,X,O,X,O,O,X
IJTSOLZ,X,O,X,O,O,O
IJTSOZL,X,O,X,O,O,X
IJTZLSO,O,O,O,X,X,X
IJTZLOS,O,O,O,X,X,X
IJTZSLO,O,X,O,O,O,X
IJTZSOL,O,O,O,O,O,X
IJTZOLS,O,O,O,X,X,X
IJTZOSL,O,O,O,X,X,X
IJTOLSZ,X,O,X,X,X,O
IJTOLZS,X,O,O,X,X,O
IJTOSLZ,X,O,X,X,O,O
IJTOSZL,X,O,X,X,O,X
IJTOZLS,O,O,O,X,X,X
IJTOZSL,O,O,O,X,O,X
IJLTSZO,X,O,X,O,X,X
IJLTSOZ,X,O,X,O,X,X
IJLTZSO,O,O,O,O,X,X
IJLTZOS,O,O,O,X,X,X
IJLTOSZ,X,O,X,X,X,X
IJLTOZS,O,O,O,X,X,X
IJLSTZO,O,O,X,O,X,X
IJLSTOZ,O,O,X,O,X,X
IJLSZTO,O,X,O,O,X,X
IJLSZOT,O,X,O,X,X,X
IJLSOTZ,O,X,X,X,X,X
IJLSOZT,O,X,O,X,X,X
IJLZTSO,O,O,O,O,X,X
IJLZTOS,O,O,O,X,X,X
IJLZSTO,O,X,O,O,X,X
IJLZSOT,O,X,O,X,X,X
IJLZOTS,O,X,O,X,X,X
IJLZOST,O,X,O,X,X,X
IJLOTSZ,X,O,X,X,X,X
IJLOTZS,O,O,O,X,X,X
IJLOSTZ,O,X,X,X,X,X
IJLOSZT,O,X,O,X,X,X
IJLOZTS,O,X,O,X,X,X
IJLOZST,O,X,O,X,X,X
IJSTLZO,X,O,X,O,O,O
IJSTLOZ,X,O,X,O,O,O
IJSTZLO,X,X,X,O,O,X
IJSTZOL,X,O,X,O,O,X
IJSTOLZ,X,O,X,O,O,O
IJSTOZL,X,O,X,O,O,X
IJSLTZO,X,O,X,O,O,X
IJSLTOZ,X,O,X,O,O,X
IJSLZTO,X,X,O,O,X,X
IJSLZOT,X,X,O,X,X,X
IJSLOTZ,X,X,X,X,O,X
IJSLOZT,X,X,O,X,X,X
IJSZTLO,X,X,O,O,O,X
IJSZTOL,X,X,O,O,O,X
IJSZLTO,X,X,O,O,X,X
IJSZLOT,X,X,O,X,X,X
IJSZOTL,X,X,O,X,O,X
IJSZOLT,X,X,O,X,X,X
IJSOTLZ,X,O,X,O,O,O
IJSOTZL,X,O,X,O,O,X
IJSOLTZ,X,X,X,X,O,X
IJSOLZT,X,X,O,X,X,X
IJSOZTL,X,X,O,X,O,X
IJSOZLT,X,X,O,X,X,X
IJZTLSO,O,O,O,X,X,X
IJZTLOS,O,O,O,X,X,X
IJZTSLO,O,X,O,O,O,X
IJZTSOL,O,O,O,O,O,X
IJZTOLS,O,O,O,X,X,X
IJZTOSL,O,O,O,X,X,X
IJZLTSO,O,O,O,O,X,X
IJZLTOS,O,O,O,X,X,X
IJZLSTO,O,X,O,O,X,X
IJZLSOT,O,X,O,X,X,X
IJZLOTS,O,X,O,X,X,X
IJZLOST,O,X,O,X,X,X
IJZSTLO,O,X,O,O,O,X
IJZSTOL,O,X,O,O,O,X
IJZSLTO,O,X,O,O,X,X
IJZSLOT,O,X,O,X,X,X
IJZSOTL,O,X,O,X,X,X
IJZSOLT,O,X,O,X,X,X
IJZOTLS,O,O,O,X,X,X
IJZOTSL,O,O,O,X,X,X
IJZOLTS,O,X,O,X,X,X
IJZOLST,O,X,O,X,X,X
IJZOSTL,O,X,O,X,X,X
IJZOSLT,O,X,O,X,X,X
IJOTLSZ,X,O,X,X,X,O
IJOTLZS,X,O,O,X,X,O
IJOTSLZ,X,O,X,X,O,O
IJOTSZL,X,O,X,X,O,X
IJOTZLS,O,O,O,X,X,X
IJOTZSL,O,O,O,X,O,X
IJOLTSZ,X,O,X,X,X,X
IJOLTZS,O,O,O,X,X,X
IJOLSTZ,O,X,X,X,X,X
IJOLSZT,O,X,O,X,X,X
IJOLZTS,O,X,O,X,X,X
IJOLZST,O,X,O,X,X,X
IJOSTLZ,X,O,X,X,O,O
IJOSTZL,X,O,X,X,O,X
IJOSLTZ,X,X,X,X,O,X
IJOSLZT,X,X,O,X,X,X
IJOSZTL,X,X,O,X,O,X
IJOSZLT,X,X,O,X,X,X
IJOZTLS,O,O,O,X,X,X
IJOZTSL,O,O,O,X,O,X
IJOZLTS,O,X,O,X,X,X
IJOZLST,O,X,O,X,X,X
IJOZSTL,O,X,O,X,O,X
IJOZSLT,O,X,O,X,X,X
ISTLJZO,X,O,X,O,O,O
ISTLJOZ,X,O,X,O,O,O
ISTLZJO,X,O,X,O,O,O
ISTLZOJ,X,O,X,O,X,O
ISTLOJZ,X,O,X,O,O,O
ISTLOZJ,X,O,X,O,O,O
ISTJLZO,X,O,X,O,O,O
ISTJLOZ,X,O,X,O,O,O
ISTJZLO,X,X,X,O,O,X
ISTJZOL,X,O,X,O,O,X
ISTJOLZ,X,O,X,O,O,O
ISTJOZL,X,O,X,O,O,X
ISTZLJO,X,X,X,O,O,X
ISTZLOJ,X,X,X,O,X,X
ISTZJLO,X,X,X,O,O,X
ISTZJOL,X,O,X,O,O,X
ISTZOLJ,X,X,X,X,O,X
ISTZOJL,X,O,X,O,O,X
ISTOLJZ,X,O,X,O,O,O
ISTOLZJ,X,O,X,O,O,O
ISTOJLZ,X,O,X,O,O,O
ISTOJZL,X,O,X,O,O,X
ISTOZLJ,X,X,X,X,O,X
ISTOZJL,X,O,X,O,O,X
ISLTJZO,X,O,X,O,O,X
ISLTJOZ,X,O,X,O,O,X
ISLTZJO,X,O,X,O,O,X
ISLTZOJ,X,O,X,O,X,X
ISLTOJZ,X,O,X,O,O,X
ISLTOZJ,X,O,X,O,O,X
ISLJTZO,X,O,X,O,O,X
ISLJTOZ,X,O,X,O,O,X
ISLJZTO,X,X,O,O,X,X
ISLJZOT,X,X,O,X,X,X
ISLJOTZ,X,X,X,X,O,X
ISLJOZT,X,X,O,X,X,X
ISLZTJO,X,X,O,O,X,X
ISLZTOJ,X,X,O,O,X,X
ISLZJTO,X,X,O,O,X,X
ISLZJOT,X,X,O,X,X,X
ISLZOTJ,X,X,O,X,X,X
ISLZOJT,X,X,O,X,X,X
ISLOTJZ,X,X,X,X,O,X
ISLOTZJ,X,X,X,X,O,X
ISLOJTZ,X,X,X,X,O,X
ISLOJZT,X,X,O,X,X,X
ISLOZTJ,X,X,O,X,X,X
ISLOZJT,X,X,O,X,X,X
ISJTLZO,X,O,X,O,O,O
ISJTLOZ,X,O,X,O,O,O
ISJTZLO,X,X,X,O,O,X
ISJTZOL,X,O,X,O,O,X
ISJTOLZ,X,O,X,O,O,O
ISJTOZL,X,O,X,O,O,X
ISJLTZO,X,O,X,O,O,X
ISJLTOZ,X,O,X,O,O,X
ISJLZTO,X,X,O,O,X,X
ISJLZOT,X,X,O,X,X,X
ISJLOTZ,X,X,X,X,O,X
ISJLOZT,X,X,O,X,X,X
ISJZTLO,X,X,O,O,O,X
ISJZTOL,X,X,O,O,O,X
ISJZLTO,X,X,O,O,X,X
ISJZLOT,X,X,O,X,X,X
ISJZOTL,X,X,O,X,O,X
ISJZOLT,X,X,O,X,X,X
ISJOTLZ,X,O,X,O,O,O
ISJOTZL,X,O,X,O,O,X
ISJOLTZ,X,X,X,X,O,X
ISJOLZT,X,X,O,X,X,X
ISJOZTL,X,X,O,X,O,X
ISJOZLT,X,X,O,X,X,X
ISZTLJO,X,X,O,O,O,X
ISZTLOJ,X,X,O,O,X,X
ISZTJLO,X,X,O,O,O,X
ISZTJOL,X,X,O,O,O,X
ISZTOLJ,X,X,O,X,O,X
ISZTOJL,X,X,O,O,O,X
ISZLTJO,X,X,O,O,X,X
ISZLTOJ,X,X,O,O,X,X
ISZLJTO,X,X,O,O,X,X
ISZLJOT,X,X,O,X,X,X
ISZLOTJ,X,X,O,X,X,X
ISZLOJT,X,X,O,X,X,X
ISZJTLO,X,X,O,O,O,X
ISZJTOL,X,X,O,O,O,X
ISZJLTO,X,X,O,O,X,X
ISZJLOT,X,X,O,X,X,X
ISZJOTL,X,X,O,X,O,X
ISZJOLT,X,X,O,X,X,X
ISZOTLJ,X,X,O,X,O,X
ISZOTJL,X,X,O,X,O,X
ISZOLTJ,X,X,O,X,X,X
ISZOLJT,X,X,O,X,X,X
ISZOJTL,X,X,O,X,O,X
ISZOJLT,X,X,O,X,X,X
ISOTLJZ,X,O,X,O,O,O
ISOTLZJ,X,O,X,O,O,O
ISOTJLZ,X,O,X,O,O,O
ISOTJZL,X,O,X,O,O,X
ISOTZLJ,X,X,X,X,O,X
ISOTZJL,X,O,X,O,O,X
ISOLTJZ,X,X,X,X,O,X
ISOLTZJ,X,X,X,X,O,X
ISOLJTZ,X,X,X,X,O,X
ISOLJZT,X,X,O,X,X,X
ISOLZTJ,X,X,O,X,X,X
ISOLZJT,X,X,O,X,X,X
ISOJTLZ,X,O,X,O,O,O
ISOJTZL,X,O,X,O,O,X
ISOJLTZ,X,X,X,X,O,X
ISOJLZT,X,X,O,X,X,X
ISOJZTL,X,X,O,X,O,X
ISOJZLT,X,X,O,X,X,X
ISOZTLJ,X,X,O,X,O,X
ISOZTJL,X,X,O,X,O,X
ISOZLTJ,X,X,O,X,X,X
ISOZLJT,X,X,O,X,X,X
ISOZJTL,X,X,O,X,O,X
ISOZJLT,X,X,O,X,X,X
IZTLJSO,O,O,O,X,X,X
IZTLJOS,O,O,O,X,X,X
IZTLSJO,O,O,O,X,X,X
IZTLSOJ,O,O,O,X,X,X
IZTLOJS,O,O,O,X,X,X
IZTLOSJ,O,O,O,X,X,X
IZTJLSO,O,O,O,X,X,X
IZTJLOS,O,O,O,X,X,X
IZTJSLO,O,X,O,O,O,X
IZTJSOL,O,O,O,O,O,X
IZTJOLS,O,O,O,X,X,X
IZTJOSL,O,O,O,X,X,X
IZTSLJO,X,X,O,O,O,X
IZTSLOJ,X,X,O,X,X,X
IZTSJLO,O,X,O,O,O,X
IZTSJOL,O,O,O,O,O,X
IZTSOLJ,X,X,O,X,X,X
IZTSOJL,X,O,O,O,O,X
IZTOLJS,O,O,O,X,X,X
IZTOLSJ,O,O,O,X,X,X
IZTOJLS,O,O,O,X,X,X
IZTOJSL,O,O,O,X,X,X
IZTOSLJ,X,X,O,X,X,X
IZTOSJL,O,O,O,X,X,X
IZLTJSO,O,O,O,O,X,X
IZLTJOS,O,O,O,X,X,X
IZLTSJO,O,O,O,O,X,X
IZLTSOJ,O,O,O,O,X,X
IZLTOJS,O,O,O,X,X,X
IZLTOSJ,O,O,O,X,X,X
IZLJTSO,O,O,O,O,X,X
IZLJTOS,O,O,O,X,X,X
IZLJSTO,O,X,O,O,X,X
IZLJSOT,O,X,O,X,X,X
IZLJOTS,O,X,O,X,X,X
IZLJOST,O,X,O,X,X,X
IZLSTJO,O,X,O,O,X,X
IZLSTOJ,O,X,O,O,X,X
IZLSJTO,O,X,O,O,X,X
IZLSJOT,O,X,O,X,X,X
IZLSOTJ,O,X,O,X,X,X
IZLSOJT,O,X,O,X,X,X
IZLOTJS,O,X,O,X,X,X
IZLOTSJ,O,X,O,X,X,X
IZLOJTS,O,X,O,X,X,X
IZLOJST,O,X,O,X,X,X
IZLOSTJ,O,X,O,X,X,X
IZLOSJT,O,X,O,X,X,X
IZJTLSO,O,O,O,X,X,X
IZJTLOS,O,O,O,X,X,X
IZJTSLO,O,X,O,O,O,X
IZJTSOL,O,O,O,O,O,X
IZJTOLS,O,O,O,X,X,X
IZJTOSL,O,O,O,X,X,X
IZJLTSO,O,O,O,O,X,X
IZJLTOS,O,O,O,X,X,X
IZJLSTO,O,X,O,O,X,X
IZJLSOT,O,X,O,X,X,X
IZJLOTS,O,X,O,X,X,X
IZJLOST,O,X,O,X,X,X
IZJSTLO,O,X,O,O,O,X
IZJSTOL,O,X,O,O,O,X
IZJSLTO,O,X,O,O,X,X
IZJSLOT,O,X,O,X,X,X
IZJSOTL,O,X,O,X,X,X
IZJSOLT,O,X,O,X,X,X
IZJOTLS,O,O,O,X,X,X
IZJOTSL,O,O,O,X,X,X
IZJOLTS,O,X,O,X,X,X
IZJOLST,O,X,O,X,X,X
IZJOSTL,O,X,O,X,X,X
IZJOSLT,O,X,O,X,X,X
IZSTLJO,X,X,O,O,O,X
IZSTLOJ,X,X,O,X,X,X
IZSTJLO,O,X,O,O,O,X
IZSTJOL,O,X,O,O,O,X
IZSTOLJ,X,X,O,X,X,X
IZSTOJL,X,X,O,O,O,X
IZSLTJO,O,X,O,O,X,X
IZSLTOJ,O,X,O,O,X,X
IZSLJTO,O,X,O,O,X,X
IZSLJOT,O,X,O,X,X,X
IZSLOTJ,O,X,O,X,X,X
IZSLOJT,O,X,O,X,X,X
IZSJTLO,O,X,O,O,O,X
IZSJTOL,O,X,O,O,O,X
IZSJLTO,O,X,O,O,X,X
IZSJLOT,O,X,O,X,X,X
IZSJOTL,O,X,O,X,X,X
IZSJOLT,O,X,O,X,X,X
IZSOTLJ,X,X,O,X,X,X
IZSOTJL,O,X,O,X,X,X
IZSOLTJ,O,X,O,X,X,X
IZSOLJT,O,X,O,X,X,X
IZSOJTL,O,X,O,X,X,X
IZSOJLT,O,X,O,X,X,X
IZOTLJS,O,O,O,X,X,X
IZOTLSJ,O,O,O,X,X,X
IZOTJLS,O,O,O,X,X,X
IZOTJSL,O,O,O,X,X,X
IZOTSLJ,X,X,O,X,X,X
IZOTSJL,O,O,O,X,X,X
IZOLTJS,O,X,O,X,X,X
IZOLTSJ,O,X,O,X,X,X
IZOLJTS,O,X,O,X,X,X
IZOLJST,O,X,O,X,X,X
IZOLSTJ,O,X,O,X,X,X
IZOLSJT,O,X,O,X,X,X
IZOJTLS,O,O,O,X,X,X
IZOJTSL,O,O,O,X,X,X
IZOJLTS,O,X,O,X,X,X
IZOJLST,O,X,O,X,X,X
IZOJSTL,O,X,O,X,X,X
IZOJSLT,O,X,O,X,X,X
IZOSTLJ,X,X,O,X,X,X
IZOSTJL,O,X,O,X,X,X
IZOSLTJ,O,X,O,X,X,X
IZOSLJT,O,X,O,X,X,X
IZOSJTL,O,X,O,X,X,X
IZOSJLT,O,X,O,X,X,X
IOTLJSZ,X,O,X,X,X,O
IOTLJZS,X,O,O,X,X,O
IOTLSJZ,X,O,X,X,X,O
IOTLSZJ,X,O,X,X,X,O
IOTLZJS,X,O,O,X,X,O
IOTLZSJ,X,O,O,X,X,O
IOTJLSZ,X,O,X,X,X,O
IOTJLZS,X,O,O,X,X,O
IOTJSLZ,X,O,X,X,O,O
IOTJSZL,X,O,X,X,O,X
IOTJZLS,O,O,O,X,X,X
IOTJZSL,O,O,O,X,O,X
IOTSLJZ,X,O,X,X,O,O
IOTSLZJ,X,O,X,X,O,O
IOTSJLZ,X,O,X,X,O,O
IOTSJZL,X,O,X,X,O,X
IOTSZLJ,X,X,X,X,O,X
IOTSZJL,X,O,X,X,O,X
IOTZLJS,O,O,O,X,X,X
IOTZLSJ,X,O,O,X,X,X
IOTZJLS,O,O,O,X,X,X
IOTZJSL,O,O,O,X,O,X
IOTZSLJ,X,X,O,X,O,X
IOTZSJL,O,O,O,X,O,X
IOLTJSZ,X,O,X,X,X,X
