sequence,v115@GhA8IeA8EeC8AeB8DeE8JeT/IvhF/lBUhBRiBmnBlp?ByvB,v115@GhA8IeA8EeC8AeB8DeE8JeT/IvhFUiBaoBxlBlpB3q?BmqB,v115@GhA8IeA8EeC8AeB8DeE8JeOEJvhFlgBUiBaoBzkBXm?BRvB,v115@GhA8IeA8EeC8AeB8DeE8Jex/IvhFXhBVnBaoBmkB0p?BzqB,v115@GhA8IeA8EeC8AeB8DeE8Jel/IvhFUhBRiB/pBTlBmn?ByvB
TJSLIOZ,O,O,X,O,O
TJSLZIO,O,O,O,O,O
TJSLZOI,O,O,O,O,O
TJSLOIZ,O,O,X,O,O
TJSLOZI,O,O,O,O,O
TJSZILO,O,O,O,O,O
TJSZIOL,O,O,X,O,O
TJSZLIO,O,O,O,O,O
TJSZLOI,O,O,O,O,O
TJSZOIL,O,O,X,O,O
TJSZOLI,O,O,O,O,X
TJSOILZ,O,O,X,O,O
TJSOIZL,O,O,X,X,O
TJSOLIZ,O,O,X,O,O
TJSOLZI,O,O,O,O,O
TJSOZIL,O,O,X,O,O
TJSOZLI,O,O,O,O,X
TJZILSO,O,X,O,O,O
TJZILOS,O,O,O,O,O
TJZISLO,O,X,O,O,O
TJZISOL,O,X,O,O,O
TJZIOLS,O,O,O,O,X
TJZIOSL,O,X,O,O,X
TJZLISO,O,X,O,O,O
TJZLIOS,O,O,O,O,O
TJZLSIO,O,O,O,O,O
TJZLSOI,O,O,O,O,O
TJZLOIS,O,O,X,O,O
TJZLOSI,O,O,X,O,O
TJZSILO,O,O,O,O,O
TJZSIOL,O,O,X,O,O
TJZSLIO,O,O,O,O,O
TJZSLOI,O,O,O,O,O
TJZSOIL,O,O,X,O,O
TJZSOLI,O,O,O,O,X
TJZOILS,O,O,X,O,X
TJZOISL,O,X,X,O,X
TJZOLIS,O,O,X,O,X
TJZOLSI,O,O,X,O,X
TJZOSIL,O,O,X,O,X
TJZOSLI,O,O,X,O,X
TJOILSZ,O,X,X,X,X
TJOILZS,O,O,X,X,X
TJOISLZ,O,X,X,X,X
TJOISZL,O,X,X,X,X
TJOIZLS,O,O,X,X,X
TJOIZSL,O,X,X,X,X
TJOLISZ,O,X,X,X,X
TJOLIZS,O,O,X,X,X
TJOLSIZ,O,O,X,O,X
TJOLSZI,O,O,X,O,X
TJOLZIS,O,O,X,O,X
TJOLZSI,O,O,X,O,X
TJOSILZ,O,O,X,O,X
TJOSIZL,O,O,X,X,X
TJOSLIZ,O,O,X,O,X
TJOSLZI,O,O,X,O,X
TJOSZIL,O,O,X,O,X
TJOSZLI,O,O,X,O,X
TJOZILS,O,O,X,O,X
TJOZISL,O,X,X,O,X
TJOZLIS,O,O,X,O,X
TJOZLSI,O,O,X,O,X
TJOZSIL,O,O,X,O,X
TJOZSLI,O,O,X,O,X
TSILJZO,X,O,O,O,O
TSILJOZ,X,O,O,O,O
TSILZJO,X,O,O,O,O
TSILZOJ,X,O,O,O,O
TSILOJZ,X,O,O,O,X
TSILOZJ,X,O,O,O,X
TSIJLZO,O,O,O,O,O
TSIJLOZ,O,O,O,O,O
TSIJZLO,O,O,O,X,O
TSIJZOL,O,O,O,X,O
TSIJOLZ,O,O,O,X,O
TSIJOZL,O,O,O,X,O
TSIZLJO,X,O,O,O,O
TSIZLOJ,O,O,O,O,O
TSIZJLO,O,O,O,O,O
TSIZJOL,O,O,O,O,O
TSIZOLJ,O,O,O,O,O
TSIZOJL,O,O,O,X,O
TSIOLJZ,X,O,O,O,X
TSIOLZJ,X,O,O,O,X
TSIOJLZ,O,O,O,O,X
TSIOJZL,O,O,O,X,X
TSIOZLJ,O,O,O,O,X
TSIOZJL,O,O,O,O,X
TSLIJZO,O,O,O,O,O
TSLIJOZ,O,O,O,O,O
TSLIZJO,O,O,O,O,O
TSLIZOJ,O,O,O,O,O
TSLIOJZ,O,O,O,O,X
TSLIOZJ,O,O,O,O,X
TSLJIZO,O,O,O,O,O
TSLJIOZ,O,O,O,O,O
TSLJZIO,O,O,O,O,O
TSLJZOI,O,O,O,O,O
TSLJOIZ,O,O,X,O,O
TSLJOZI,O,O,O,O,O
TSLZIJO,O,O,O,O,O
TSLZIOJ,O,O,O,O,O
TSLZJIO,O,O,O,O,O
TSLZJOI,O,O,O,O,O
TSLZOIJ,O,O,O,O,O
TSLZOJI,O,O,O,O,O
TSLOIJZ,O,O,O,O,O
TSLOIZJ,O,O,O,O,O
TSLOJIZ,O,O,X,O,O
