sequence,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFFgBXhBTjBW?qByvBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFukBFhBTjBK?qBfrBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFFgBOmBTjBf?qBqqBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFCgBOmBTjBX?lB1vBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFCgBTjBmlBF?qBUtBXrB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFukB1lBTjBi?qBUtBXrB
TSZLJOI,O,O,O,O,O,X
TSZLOIJ,O,O,O,O,O,X
TSZLOJI,O,O,O,O,O,X
TSZJILO,O,O,O,O,O,X
TSZJIOL,O,O,O,O,O,X
TSZJLIO,O,O,O,O,O,X
TSZJLOI,O,O,O,O,O,X
TSZJOIL,O,O,O,O,O,X
TSZJOLI,O,O,O,O,O,X
TSZOILJ,O,O,O,O,O,X
TSZOIJL,O,O,O,O,O,X
TSZOLIJ,O,O,O,O,O,X
TSZOLJI,O,O,O,O,O,X
TSZOJIL,O,O,O,O,O,X
TSZOJLI,O,O,O,O,O,X
TSOILJZ,O,O,O,O,X,X
TSOILZJ,O,O,O,O,X,X
TSOIJLZ,O,O,O,O,X,X
TSOIJZL,O,X,X,O,X,X
TSOIZLJ,O,O,X,O,X,X
TSOIZJL,O,O,X,O,X,X
TSOLIJZ,O,O,O,O,X,X
TSOLIZJ,O,O,O,O,X,X
TSOLJIZ,O,O,O,O,X,X
TSOLJZI,O,O,O,O,X,X
TSOLZIJ,O,O,O,O,X,X
TSOLZJI,X,O,O,O,X,X
TSOJILZ,O,O,O,O,X,X
TSOJIZL,O,X,X,O,X,X
TSOJLIZ,O,O,O,O,X,X
TSOJLZI,X,O,O,O,X,X
TSOJZIL,O,X,X,O,X,X
TSOJZLI,X,X,X,O,X,X
TSOZILJ,O,O,X,O,X,X
TSOZIJL,O,O,X,O,X,X
TSOZLIJ,O,O,X,O,X,X
TSOZLJI,X,O,X,O,X,X
TSOZJIL,O,O,X,O,X,X
TSOZJLI,X,O,X,O,X,X
TZILJSO,O,O,O,O,O,O
TZILJOS,O,O,O,O,O,O
TZILSJO,O,O,O,O,O,O
TZILSOJ,O,O,O,O,O,O
TZILOJS,O,O,O,O,O,O
TZILOSJ,O,O,O,O,O,O
