sequence,v115@PhA8AeA8GeE8AeA8AeD8Je/EJvhFUgBRhBGjB6rBTn?BlqB,v115@PhA8AeA8GeE8AeA8AeD8Jex/IvhFThB/nBGjB0kB6q?BlrB,v115@PhA8AeA8GeE8AeA8AeD8JeyEJvhF5lBThB/nBGjB0k?BlrB,v115@PhA8AeA8GeE8AeA8AeD8Jex/IvhFlhBGjB0kB6qB/r?BTsB,v115@PhA8AeA8GeE8AeA8AeD8JeT/IvhFUiBGjBVqBxrB6q?B/rB
TZIOJSL,X,O,X,O,O
TZIOSLJ,X,O,O,O,O
TZIOSJL,X,O,O,O,O
TZLIJSO,O,O,X,O,X
TZLIJOS,X,O,X,O,X
TZLISJO,O,O,O,O,X
TZLISOJ,O,O,O,O,X
TZLIOJS,X,O,X,O,X
TZLIOSJ,X,O,O,O,X
TZLJISO,O,O,X,O,X
TZLJIOS,X,O,X,O,X
TZLJSIO,O,O,X,O,X
TZLJSOI,O,O,X,O,X
TZLJOIS,X,O,X,O,X
TZLJOSI,X,O,X,O,X
TZLSIJO,O,O,O,O,X
TZLSIOJ,O,O,O,O,X
TZLSJIO,O,O,O,O,X
TZLSJOI,O,O,O,O,X
TZLSOIJ,O,O,O,O,X
TZLSOJI,O,O,O,O,X
TZLOIJS,O,O,X,O,X
TZLOISJ,O,O,O,O,X
TZLOJIS,O,O,X,O,X
TZLOJSI,O,O,X,O,X
TZLOSIJ,O,O,O,O,X
TZLOSJI,O,O,O,O,X
TZJILSO,X,X,X,X,O
TZJILOS,X,X,X,X,O
TZJISLO,X,O,X,O,O
TZJISOL,X,O,X,O,O
TZJIOLS,X,X,X,X,O
TZJIOSL,X,O,X,O,O
TZJLISO,O,O,X,O,X
TZJLIOS,X,O,X,O,X
TZJLSIO,O,O,X,O,X
TZJLSOI,O,O,X,O,X
TZJLOIS,X,O,X,O,X
TZJLOSI,X,O,X,O,X
TZJSILO,O,O,X,O,X
TZJSIOL,O,O,X,O,X
TZJSLIO,O,O,X,O,X
TZJSLOI,O,O,X,O,X
TZJSOIL,O,O,X,O,X
TZJSOLI,O,O,X,O,X
TZJOILS,X,X,X,X,O
TZJOISL,O,O,X,O,O
TZJOLIS,O,O,X,O,X
TZJOLSI,O,O,X,O,X
TZJOSIL,O,O,X,O,X
TZJOSLI,O,O,X,O,X
TZSILJO,O,O,O,O,X
TZSILOJ,O,O,O,O,X
TZSIJLO,O,O,O,O,X
TZSIJOL,O,O,O,O,X
TZSIOLJ,O,O,O,O,X
TZSIOJL,O,O,O,O,X
TZSLIJO,O,O,O,O,X
TZSLIOJ,O,O,O,O,X
TZSLJIO,O,O,O,O,X
TZSLJOI,O,O,O,O,X
TZSLOIJ,O,O,O,O,X
TZSLOJI,O,O,O,O,X
TZSJILO,O,O,O,O,X
TZSJIOL,O,O,O,O,X
TZSJLIO,O,O,O,O,X
TZSJLOI,O,O,O,O,X
TZSJOIL,O,O,O,O,X
TZSJOLI,O,O,O,O,X
TZSOILJ,O,O,O,O,X
TZSOIJL,O,O,O,O,X
TZSOLIJ,O,O,O,O,X
TZSOLJI,O,O,O,O,X
TZSOJIL,O,O,O,O,X
TZSOJLI,O,O,O,O,X
TZOILJS,X,O,X,X,O
TZOILSJ,X,O,O,X,O
TZOIJLS,X,X,X,X,O
TZOIJSL,O,O,X,O,O
TZOISLJ,O,O,O,O,O
TZOISJL,O,O,O,O,O
TZOLIJS,O,O,X,O,X
TZOLISJ,O,O,O,O,X
TZOLJIS,O,O,X,O,X
TZOLJSI,O,O,X,O,X
TZOLSIJ,O,O,O,O,X
TZOLSJI,O,O,O,O,X
TZOJILS,X,X,X,X,O
TZOJISL,O,O,X,O,O
TZOJLIS,O,O,X,O,X
TZOJLSI,O,O,X,O,X
TZOJSIL,O,O,X,O,X
TZOJSLI,O,O,X,O,X
TZOSILJ,O,O,O,O,X
TZOSIJL,O,O,O,O,X
TZOSLIJ,O,O,O,O,X
TZOSLJI,O,O,O,O,X
TZOSJIL,O,O,O,O,X
TZOSJLI,O,O,O,O,X
TOILJSZ,O,O,O,X,O
TOILJZS,O,X,X,X,O
TOILSJZ,O,O,O,X,O
TOILSZJ,O,O,O,X,O
TOILZJS,O,O,X,X,O
TOILZSJ,O,O,O,X,O
TOIJLSZ,O,X,O,X,O
TOIJLZS,O,X,X,X,O
TOIJSLZ,O,X,O,X,O
TOIJSZL,O,X,O,X,O
TOIJZLS,X,X,X,X,O
TOIJZSL,O,X,X,X,O
TOISLJZ,O,O,O,X,O
TOISLZJ,O,O,O,X,O
TOISJLZ,O,O,O,X,O
TOISJZL,O,O,O,X,O
TOISZLJ,O,O,O,X,O
TOISZJL,O,O,O,X,O
TOIZLJS,X,O,X,X,O
TOIZLSJ,X,O,O,X,O
TOIZJLS,X,X,X,X,O
TOIZJSL,O,O,X,X,O
TOIZSLJ,O,O,O,X,O
TOIZSJL,O,O,O,X,O
TOLIJSZ,O,O,O,O,O
TOLIJZS,O,X,X,X,O
TOLISJZ,O,O,O,O,O
TOLISZJ,O,O,O,O,O
TOLIZJS,O,O,X,X,O
TOLIZSJ,O,O,O,X,O
TOLJISZ,O,O,O,O,O
TOLJIZS,O,X,X,X,O
TOLJSIZ,O,O,O,O,X
TOLJSZI,O,O,O,O,X
TOLJZIS,O,O,X,O,X
TOLJZSI,O,O,X,O,X
TOLSIJZ,O,O,O,O,X
TOLSIZJ,O,O,O,O,X
TOLSJIZ,O,O,O,O,X
TOLSJZI,O,O,O,O,X
TOLSZIJ,O,O,O,O,X
TOLSZJI,O,O,O,O,X
TOLZIJS,O,O,X,O,X
TOLZISJ,O,O,O,O,X
TOLZJIS,O,O,X,O,X
TOLZJSI,O,O,X,O,X
TOLZSIJ,O,O,O,O,X
TOLZSJI,O,O,O,O,X
TOJILSZ,O,X,O,X,O
TOJILZS,O,X,X,X,O
TOJISLZ,O,X,O,X,O
TOJISZL,O,X,O,X,O
TOJIZLS,X,X,X,X,O
TOJIZSL,O,X,X,X,O
TOJLISZ,O,O,O,O,O
TOJLIZS,O,X,X,X,O
TOJLSIZ,O,O,O,O,X
TOJLSZI,O,O,O,O,X
TOJLZIS,O,O,X,O,X
TOJLZSI,O,O,X,O,X
TOJSILZ,O,O,O,O,O
TOJSIZL,O,O,O,O,O
TOJSLIZ,O,O,O,O,X
TOJSLZI,O,O,O,O,X
TOJSZIL,O,O,O,O,X
TOJSZLI,O,O,O,O,X
TOJZILS,X,X,X,X,O
TOJZISL,O,O,X,O,O
TOJZLIS,O,O,X,O,X
TOJZLSI,O,O,X,O,X
TOJZSIL,O,O,X,O,X
TOJZSLI,O,O,X,O,X
TOSILJZ,O,O,O,O,O
TOSILZJ,O,O,O,O,O
TOSIJLZ,O,O,O,O,O
TOSIJZL,O,O,O,O,O
TOSIZLJ,O,O,O,O,O
TOSIZJL,O,O,O,O,O
TOSLIJZ,O,O,O,O,X
TOSLIZJ,O,O,O,O,X
TOSLJIZ,O,O,O,O,X
TOSLJZI,O,O,O,O,X
TOSLZIJ,O,O,O,O,X
TOSLZJI,O,O,O,O,X
TOSJILZ,O,O,O,O,O
TOSJIZL,O,O,O,O,O
TOSJLIZ,O,O,O,O,X
TOSJLZI,O,O,O,O,X
TOSJZIL,O,O,O,O,X
TOSJZLI,O,O,O,O,X
TOSZILJ,O,O,O,O,X
TOSZIJL,O,O,O,O,X
TOSZLIJ,O,O,O,O,X
TOSZLJI,O,O,O,O,X
TOSZJIL,O,O,O,O,X
TOSZJLI,O,O,O,O,X
TOZILJS,X,O,X,X,O
TOZILSJ,X,O,O,X,O
TOZIJLS,X,X,X,X,O
TOZIJSL,O,O,X,O,O
TOZISLJ,O,O,O,O,O
TOZISJL,O,O,O,O,O
TOZLIJS,O,O,X,O,X
TOZLISJ,O,O,O,O,X
TOZLJIS,O,O,X,O,X
TOZLJSI,O,O,X,O,X
TOZLSIJ,O,O,O,O,X
TOZLSJI,O,O,O,O,X
TOZJILS,X,X,X,X,O
TOZJISL,O,O,X,O,O
TOZJLIS,O,O,X,O,X
TOZJLSI,O,O,X,O,X
