sequence,v115@JhA8GeC8DeA8BeC8BeD8KeT/IvhF0gBOnBdoB5oBSr?BXrB,v115@JhA8GeC8DeA8BeC8BeD8KeT/IvhF6lB0hBdoB5oBer?BXsB,v115@JhA8GeC8DeA8BeC8BeD8KeT/IvhFUiBGjB/tBRrB6q?BNrB
OSJZILT,X,O,O
OSJZLTI,O,O,X
OSJZLIT,X,O,O
OSZTILJ,O,X,O
OSZTIJL,O,X,O
OSZTLIJ,O,X,X
OSZTLJI,O,X,X
OSZTJIL,O,X,O
OSZTJLI,O,X,X
OSZITLJ,O,X,O
OSZITJL,O,X,O
OSZILTJ,O,X,O
OSZILJT,X,X,O
OSZIJTL,X,X,O
OSZIJLT,X,X,O
OSZLTIJ,O,X,X
OSZLTJI,O,X,X
OSZLITJ,O,X,O
OSZLIJT,X,X,O
OSZLJTI,O,X,X
OSZLJIT,X,X,O
OSZJTIL,O,X,O
OSZJTLI,O,X,X
OSZJITL,X,X,O
OSZJILT,X,X,O
OSZJLTI,O,X,X
OSZJLIT,X,X,O
OZTILJS,O,O,X
OZTILSJ,O,X,X
OZTIJLS,O,O,X
OZTIJSL,O,O,X
OZTISLJ,O,X,O
OZTISJL,O,X,O
OZTLIJS,O,O,X
OZTLISJ,O,X,X
OZTLJIS,O,O,X
OZTLJSI,O,O,X
OZTLSIJ,O,X,X
OZTLSJI,O,X,X
OZTJILS,O,O,X
OZTJISL,O,O,X
OZTJLIS,O,O,X
OZTJLSI,O,O,X
OZTJSIL,O,O,X
OZTJSLI,O,O,X
OZTSILJ,O,X,O
OZTSIJL,O,X,O
OZTSLIJ,O,X,X
OZTSLJI,O,X,X
OZTSJIL,O,X,O
OZTSJLI,O,X,X
OZITLJS,O,O,X
OZITLSJ,O,X,X
OZITJLS,O,O,X
OZITJSL,O,O,X
OZITSLJ,O,X,O
OZITSJL,O,X,O
OZILTJS,O,O,X
OZILTSJ,O,X,X
OZILJTS,O,O,X
OZILJST,X,O,X
OZILSTJ,O,X,O
OZILSJT,X,X,O
OZIJTLS,O,O,X
OZIJTSL,O,O,X
OZIJLTS,O,O,X
OZIJLST,X,O,X
OZIJSTL,X,O,O
OZIJSLT,X,O,O
OZISTLJ,O,X,O
OZISTJL,O,X,O
OZISLTJ,O,X,O
OZISLJT,X,X,O
OZISJTL,X,X,O
OZISJLT,X,X,O
OZLTIJS,O,O,X
OZLTISJ,O,X,X
OZLTJIS,O,O,X
OZLTJSI,O,O,X
OZLTSIJ,O,X,X
OZLTSJI,O,X,X
OZLITJS,O,O,X
OZLITSJ,O,X,X
OZLIJTS,O,O,X
OZLIJST,X,O,X
OZLISTJ,O,X,O
OZLISJT,X,X,O
OZLJTIS,O,O,X
OZLJTSI,O,O,X
OZLJITS,O,O,X
OZLJIST,X,O,X
OZLJSTI,O,O,X
OZLJSIT,X,O,X
OZLSTIJ,O,X,X
OZLSTJI,O,X,X
OZLSITJ,O,X,O
OZLSIJT,X,X,O
OZLSJTI,O,X,X
OZLSJIT,X,X,O
OZJTILS,O,O,X
OZJTISL,O,O,X
OZJTLIS,O,O,X
OZJTLSI,O,O,X
OZJTSIL,O,O,X
OZJTSLI,O,O,X
OZJITLS,O,O,X
OZJITSL,O,O,X
OZJILTS,O,O,X
OZJILST,X,O,X
OZJISTL,X,O,O
OZJISLT,X,O,O
OZJLTIS,O,O,X
OZJLTSI,O,O,X
OZJLITS,O,O,X
OZJLIST,X,O,X
OZJLSTI,O,O,X
OZJLSIT,X,O,X
OZJSTIL,O,O,O
OZJSTLI,O,O,X
OZJSITL,X,O,O
OZJSILT,X,O,O
OZJSLTI,O,O,X
OZJSLIT,X,O,O
OZSTILJ,O,X,O
OZSTIJL,O,X,O
OZSTLIJ,O,X,X
OZSTLJI,O,X,X
OZSTJIL,O,X,O
OZSTJLI,O,X,X
OZSITLJ,O,X,O
OZSITJL,O,X,O
OZSILTJ,O,X,O
OZSILJT,X,X,O
OZSIJTL,X,X,O
OZSIJLT,X,X,O
OZSLTIJ,O,X,X
OZSLTJI,O,X,X
OZSLITJ,O,X,O
OZSLIJT,X,X,O
OZSLJTI,O,X,X
OZSLJIT,X,X,O
OZSJTIL,O,X,O
OZSJTLI,O,X,X
OZSJITL,X,X,O
OZSJILT,X,X,O
OZSJLTI,O,X,X
OZSJLIT,X,X,O
