sequence,v115@QhB8CeA8BeH8DeA8Jei/IvhFulBFiBXjBzkB0mBRxB,v115@QhB8CeA8BeH8DeA8Je/EJvhFRgBUiBFjBTlB6rB2xB,v115@QhB8CeA8BeH8DeA8Je2EJvhFRgB3hBFjBSqBzrB0sB,v115@QhB8CeA8BeH8DeA8JeT/IvhFelBRhBCmB8rB3sBFtB,v115@QhB8CeA8BeH8DeA8Je2EJvhFRgB1nBSqB0mBzrBXtB,v115@QhB8CeA8BeH8DeA8JeXDJvhFlkBRmBmkBCmBzrB0sB,v115@QhB8CeA8BeH8DeA8Jex/IvhF0kBllBXnB6rBOtBTsB,v115@QhB8CeA8BeH8DeA8JeT/IvhF0gBVqBRnB6rBOsBXtB
TZJOSLI,O,O,O,X,X,X,X,X
TZSILJO,O,O,X,X,X,X,O,X
TZSILOJ,X,O,X,X,X,X,O,X
TZSIJLO,O,O,X,X,X,X,O,X
TZSIJOL,O,O,X,X,X,O,O,X
TZSIOLJ,O,O,X,X,X,O,O,O
TZSIOJL,O,O,X,X,X,O,O,O
TZSLIJO,O,O,X,X,O,X,O,X
TZSLIOJ,X,O,X,X,X,X,O,X
TZSLJIO,O,O,X,X,O,X,O,X
TZSLJOI,O,O,X,X,O,X,O,X
TZSLOIJ,O,O,X,X,X,X,O,X
TZSLOJI,O,O,X,X,X,X,O,X
TZSJILO,O,O,X,X,X,X,O,X
TZSJIOL,O,O,X,X,X,X,O,X
TZSJLIO,O,O,X,X,O,X,O,X
TZSJLOI,O,O,X,X,O,X,O,X
TZSJOIL,O,O,X,X,X,X,O,X
TZSJOLI,O,O,X,X,X,X,O,X
TZSOILJ,O,O,X,X,X,O,O,O
TZSOIJL,O,O,X,X,X,O,O,O
TZSOLIJ,O,O,X,X,X,X,O,X
TZSOLJI,O,O,X,X,X,X,O,X
TZSOJIL,O,O,X,X,X,X,O,X
TZSOJLI,O,O,X,X,X,X,O,X
TZOILJS,O,X,X,X,X,X,X,O
TZOILSJ,O,X,X,X,X,X,X,O
TZOIJLS,O,X,X,X,X,X,X,O
TZOIJSL,O,X,X,X,X,X,X,O
TZOISLJ,O,O,X,X,X,O,O,O
TZOISJL,O,O,X,X,X,O,O,O
TZOLIJS,O,X,O,X,O,X,X,O
TZOLISJ,O,O,O,X,X,X,X,O
TZOLJIS,O,X,O,O,O,X,X,X
TZOLJSI,O,O,O,O,O,X,X,X
TZOLSIJ,O,O,O,X,X,X,X,X
TZOLSJI,O,O,O,X,X,X,X,X
TZOJILS,O,X,X,X,X,X,X,O
TZOJISL,O,O,O,X,X,X,X,O
TZOJLIS,O,O,O,O,O,X,X,X
TZOJLSI,O,O,O,O,O,X,X,X
TZOJSIL,O,O,O,X,X,X,X,X
TZOJSLI,O,O,O,X,X,X,X,X
TZOSILJ,O,O,X,X,X,O,O,O
TZOSIJL,O,O,O,X,X,O,O,O
TZOSLIJ,O,O,O,X,X,X,O,X
TZOSLJI,O,O,O,X,X,X,O,X
TZOSJIL,O,O,O,X,X,X,O,X
TZOSJLI,O,O,O,X,X,X,O,X
TOILJSZ,X,X,O,X,X,X,X,X
TOILJZS,X,X,O,X,X,X,X,X
TOILSJZ,X,O,O,X,X,O,X,X
TOILSZJ,X,O,O,X,X,O,X,X
TOILZJS,X,X,O,X,X,X,X,O
TOILZSJ,X,O,O,X,X,X,X,O
TOIJLSZ,X,O,O,X,X,X,X,X
TOIJLZS,X,O,O,X,X,X,X,X
TOIJSLZ,X,O,O,X,X,O,X,X
TOIJSZL,X,O,O,X,X,O,X,X
TOIJZLS,X,X,X,X,X,X,X,O
TOIJZSL,X,O,O,X,X,X,X,O
TOISLJZ,X,O,O,X,X,O,X,X
TOISLZJ,X,O,O,X,X,O,X,X
TOISJLZ,X,O,O,X,X,O,X,X
TOISJZL,X,O,O,X,X,O,X,X
TOISZLJ,X,O,X,X,X,O,X,O
TOISZJL,X,O,O,X,X,O,X,O
TOIZLJS,X,X,X,X,X,X,X,O
TOIZLSJ,X,X,X,X,X,X,X,O
TOIZJLS,X,X,X,X,X,X,X,O
TOIZJSL,X,X,X,X,X,X,X,O
TOIZSLJ,X,O,X,X,X,O,X,O
TOIZSJL,X,O,X,X,X,O,X,O
TOLIJSZ,O,X,O,X,X,X,X,X
TOLIJZS,O,X,O,X,O,X,X,X
TOLISJZ,O,O,O,X,X,O,X,X
TOLISZJ,O,O,O,X,X,O,X,X
TOLIZJS,O,X,O,X,O,X,X,O
TOLIZSJ,O,O,O,X,X,X,X,O
TOLJISZ,O,O,O,X,X,X,X,X
TOLJIZS,O,O,O,X,O,X,X,X
TOLJSIZ,O,O,O,X,X,X,X,X
TOLJSZI,O,O,O,X,X,X,X,X
TOLJZIS,O,O,O,O,O,X,X,X
TOLJZSI,O,O,O,O,O,X,X,X
TOLSIJZ,O,O,O,X,X,O,X,X
TOLSIZJ,O,O,O,X,X,O,X,X
TOLSJIZ,O,O,O,X,X,X,X,X
TOLSJZI,O,O,O,X,X,X,X,X
TOLSZIJ,O,O,O,X,X,X,X,X
TOLSZJI,O,O,O,X,X,X,X,X
TOLZIJS,O,X,O,X,O,X,X,O
TOLZISJ,O,O,O,X,X,X,X,O
TOLZJIS,O,X,O,O,O,X,X,X
TOLZJSI,O,O,O,O,O,X,X,X
TOLZSIJ,O,O,O,X,X,X,X,X
TOLZSJI,O,O,O,X,X,X,X,X
TOJILSZ,O,O,O,X,X,X,X,X
TOJILZS,O,O,O,X,X,X,X,X
TOJISLZ,O,O,O,X,X,O,X,X
TOJISZL,O,O,O,X,X,O,X,X
TOJIZLS,O,X,X,X,X,X,X,O
TOJIZSL,O,O,O,X,X,X,X,O
TOJLISZ,O,O,O,X,X,X,X,X
TOJLIZS,O,O,O,X,O,X,X,X
TOJLSIZ,O,O,O,X,X,X,X,X
TOJLSZI,O,O,O,X,X,X,X,X
TOJLZIS,O,O,O,O,O,X,X,X
TOJLZSI,O,O,O,O,O,X,X,X
TOJSILZ,O,O,O,X,X,O,X,X
TOJSIZL,O,O,O,X,X,O,X,X
TOJSLIZ,O,O,O,X,X,X,X,X
TOJSLZI,O,O,O,X,X,X,X,X
TOJSZIL,O,O,O,X,X,X,X,X
TOJSZLI,O,O,O,X,X,X,X,X
TOJZILS,O,X,X,X,X,X,X,O
TOJZISL,O,O,O,X,X,X,X,O
TOJZLIS,O,O,O,O,O,X,X,X
TOJZLSI,O,O,O,O,O,X,X,X
TOJZSIL,O,O,O,X,X,X,X,X
TOJZSLI,O,O,O,X,X,X,X,X
TOSILJZ,O,O,O,X,X,O,X,X
TOSILZJ,O,O,O,X,X,O,X,X
TOSIJLZ,O,O,O,X,X,O,X,X
TOSIJZL,O,O,O,X,X,O,X,X
TOSIZLJ,O,O,X,X,X,O,X,O
TOSIZJL,O,O,O,X,X,O,X,O
TOSLIJZ,O,O,O,X,X,O,X,X
TOSLIZJ,O,O,O,X,X,O,X,X
TOSLJIZ,O,O,O,X,X,X,X,X
TOSLJZI,O,O,O,X,X,X,X,X
TOSLZIJ,O,O,O,X,X,X,X,X
TOSLZJI,O,O,O,X,X,X,X,X
TOSJILZ,O,O,O,X,X,O,X,X
TOSJIZL,O,O,O,X,X,O,X,X
TOSJLIZ,O,O,O,X,X,X,X,X
TOSJLZI,O,O,O,X,X,X,X,X
TOSJZIL,O,O,O,X,X,X,X,X
TOSJZLI,O,O,O,X,X,X,X,X
TOSZILJ,O,O,X,X,X,O,O,O
TOSZIJL,O,O,O,X,X,O,O,O
TOSZLIJ,O,O,O,X,X,X,O,X
TOSZLJI,O,O,O,X,X,X,O,X
TOSZJIL,O,O,O,X,X,X,O,X
TOSZJLI,O,O,O,X,X,X,O,X
TOZILJS,O,X,X,X,X,X,X,O
TOZILSJ,O,X,X,X,X,X,X,O
TOZIJLS,O,X,X,X,X,X,X,O
TOZIJSL,O,X,X,X,X,X,X,O
TOZISLJ,O,O,X,X,X,O,O,O
TOZISJL,O,O,X,X,X,O,O,O
TOZLIJS,O,X,O,X,O,X,X,O
TOZLISJ,O,O,O,X,X,X,X,O
TOZLJIS,O,X,O,O,O,X,X,X
TOZLJSI,O,O,O,O,O,X,X,X
TOZLSIJ,O,O,O,X,X,X,X,X
TOZLSJI,O,O,O,X,X,X,X,X
TOZJILS,O,X,X,X,X,X,X,O
TOZJISL,O,O,O,X,X,X,X,O
TOZJLIS,O,O,O,O,O,X,X,X
TOZJLSI,O,O,O,O,O,X,X,X
TOZJSIL,O,O,O,X,X,X,X,X
TOZJSLI,O,O,O,X,X,X,X,X
TOZSILJ,O,O,X,X,X,O,O,O
TOZSIJL,O,O,O,X,X,O,O,O
TOZSLIJ,O,O,O,X,X,X,O,X
TOZSLJI,O,O,O,X,X,X,O,X
TOZSJIL,O,O,O,X,X,X,O,X
TOZSJLI,O,O,O,X,X,X,O,X
ITLJSZO,X,X,X,X,O,X,X,X
ITLJSOZ,X,X,O,X,X,X,X,X
ITLJZSO,X,X,X,X,O,X,X,X
ITLJZOS,X,X,O,X,O,X,X,X
ITLJOSZ,X,X,O,X,X,X,X,X
ITLJOZS,X,X,O,X,O,X,X,X
ITLSJZO,X,O,X,X,O,X,X,X
ITLSJOZ,X,X,O,X,X,O,X,X
ITLSZJO,X,O,X,X,O,X,X,X
ITLSZOJ,X,O,X,X,X,X,X,X
ITLSOJZ,X,O,O,X,X,O,X,X
ITLSOZJ,X,O,O,X,X,O,X,X
ITLZJSO,X,X,X,X,O,X,X,X
ITLZJOS,X,X,O,X,O,X,X,X
ITLZSJO,X,O,X,X,O,X,X,X
ITLZSOJ,X,O,X,X,X,X,X,X
ITLZOJS,X,X,O,X,O,X,X,O
ITLZOSJ,X,O,O,X,X,X,X,O
ITLOJSZ,X,X,O,X,X,X,X,X
ITLOJZS,X,X,O,X,O,X,X,X
ITLOSJZ,X,O,O,X,X,X,X,X
ITLOSZJ,X,O,O,X,X,X,X,X
ITLOZJS,X,X,O,X,O,X,X,O
ITLOZSJ,X,O,O,X,X,X,X,O
ITJLSZO,X,O,X,X,O,X,X,X
ITJLSOZ,X,O,O,X,X,X,X,X
ITJLZSO,X,O,X,X,O,X,X,X
ITJLZOS,X,O,O,X,O,X,X,X
ITJLOSZ,X,O,O,X,X,X,X,X
ITJLOZS,X,O,O,X,O,X,X,X
ITJSLZO,X,O,X,X,X,X,X,X
ITJSLOZ,X,O,X,X,X,O,X,X
ITJSZLO,X,O,X,X,X,X,X,X
ITJSZOL,X,O,X,X,X,O,X,X
ITJSOLZ,X,O,O,X,X,O,X,X
ITJSOZL,X,O,O,X,X,O,X,X
ITJZLSO,X,X,X,X,O,X,X,X
ITJZLOS,X,X,X,X,O,X,X,X
ITJZSLO,X,O,X,X,X,X,X,X
ITJZSOL,X,O,X,X,X,X,X,X
ITJZOLS,X,X,X,X,X,X,X,O
ITJZOSL,X,O,O,X,X,X,X,O
ITJOLSZ,X,O,O,X,X,X,X,X
ITJOLZS,X,O,O,X,X,X,X,X
ITJOSLZ,X,O,O,X,X,X,X,X
ITJOSZL,X,O,O,X,X,X,X,X
ITJOZLS,X,X,X,X,X,X,X,O
ITJOZSL,X,O,O,X,X,X,X,O
ITSLJZO,X,O,X,X,X,X,X,X
ITSLJOZ,X,X,X,X,X,O,X,X
ITSLZJO,X,O,X,X,X,X,X,X
ITSLZOJ,X,O,X,X,X,X,X,X
ITSLOJZ,X,O,X,X,X,O,X,X
ITSLOZJ,X,O,X,X,X,O,X,X
ITSJLZO,X,O,X,X,X,X,X,X
ITSJLOZ,X,O,X,X,X,O,X,X
ITSJZLO,X,O,X,X,X,X,X,X
ITSJZOL,X,O,X,X,X,O,X,X
ITSJOLZ,X,O,X,X,X,O,X,X
ITSJOZL,X,O,X,X,X,O,X,X
ITSZLJO,X,O,X,X,X,X,O,X
ITSZLOJ,X,O,X,X,X,X,O,X
ITSZJLO,X,O,X,X,X,X,O,X
ITSZJOL,X,O,X,X,X,O,O,X
ITSZOLJ,X,O,X,X,X,O,O,O
ITSZOJL,X,O,X,X,X,O,O,O
ITSOLJZ,X,O,X,X,X,O,X,X
ITSOLZJ,X,O,X,X,X,O,X,X
ITSOJLZ,X,O,X,X,X,O,X,X
ITSOJZL,X,O,X,X,X,O,X,X
ITSOZLJ,X,O,X,X,X,O,X,O
ITSOZJL,X,O,X,X,X,O,X,O
ITZLJSO,X,X,X,X,O,X,X,X
ITZLJOS,X,X,X,X,O,X,X,X
ITZLSJO,X,X,X,X,O,X,O,X
ITZLSOJ,X,X,X,X,X,X,O,X
ITZLOJS,X,X,X,X,O,X,X,O
ITZLOSJ,X,X,X,X,X,X,X,O
ITZJLSO,X,X,X,X,O,X,X,X
ITZJLOS,X,X,X,X,O,X,X,X
ITZJSLO,X,X,X,X,X,X,O,X
ITZJSOL,X,X,X,X,X,X,O,X
ITZJOLS,X,X,X,X,X,X,X,O
ITZJOSL,X,X,X,X,X,X,X,O
ITZSLJO,X,O,X,X,X,X,O,X
ITZSLOJ,X,O,X,X,X,X,O,X
ITZSJLO,X,O,X,X,X,X,O,X
ITZSJOL,X,O,X,X,X,O,O,X
ITZSOLJ,X,O,X,X,X,O,O,O
ITZSOJL,X,O,X,X,X,O,O,O
ITZOLJS,X,X,X,X,X,X,X,O
ITZOLSJ,X,X,X,X,X,X,X,O
ITZOJLS,X,X,X,X,X,X,X,O
ITZOJSL,X,X,X,X,X,X,X,O
ITZOSLJ,X,O,X,X,X,X,O,O
ITZOSJL,X,O,X,X,X,X,O,O
ITOLJSZ,X,X,O,X,X,X,X,X
ITOLJZS,X,X,O,X,X,X,X,X
ITOLSJZ,X,O,O,X,X,O,X,X
ITOLSZJ,X,O,O,X,X,O,X,X
ITOLZJS,X,X,O,X,X,X,X,O
ITOLZSJ,X,O,O,X,X,X,X,O
ITOJLSZ,X,O,O,X,X,X,X,X
ITOJLZS,X,O,O,X,X,X,X,X
ITOJSLZ,X,O,O,X,X,O,X,X
ITOJSZL,X,O,O,X,X,O,X,X
ITOJZLS,X,X,X,X,X,X,X,O
ITOJZSL,X,O,O,X,X,X,X,O
ITOSLJZ,X,O,O,X,X,O,X,X
ITOSLZJ,X,O,O,X,X,O,X,X
ITOSJLZ,X,O,O,X,X,O,X,X
ITOSJZL,X,O,O,X,X,O,X,X
ITOSZLJ,X,O,X,X,X,O,X,O
ITOSZJL,X,O,O,X,X,O,X,O
ITOZLJS,X,X,X,X,X,X,X,O
ITOZLSJ,X,X,X,X,X,X,X,O
ITOZJLS,X,X,X,X,X,X,X,O
ITOZJSL,X,X,X,X,X,X,X,O
ITOZSLJ,X,O,X,X,X,O,X,O
ITOZSJL,X,O,X,X,X,O,X,O
ILTJSZO,O,X,X,X,O,X,X,X
ILTJSOZ,O,X,O,X,X,X,X,X
ILTJZSO,O,X,X,X,O,X,X,X
ILTJZOS,O,X,O,X,O,X,X,X
ILTJOSZ,X,X,O,X,X,X,X,X
ILTJOZS,X,X,O,X,O,X,X,X
ILTSJZO,O,O,X,X,O,X,X,X
ILTSJOZ,O,X,O,X,X,O,X,X
ILTSZJO,O,O,X,X,O,X,X,X
ILTSZOJ,O,O,X,X,X,X,X,X
ILTSOJZ,O,O,O,X,X,O,X,X
ILTSOZJ,X,O,O,X,X,O,X,X
ILTZJSO,O,X,X,X,O,X,X,X
ILTZJOS,O,X,O,X,O,X,X,X
ILTZSJO,O,O,X,X,O,X,X,X
ILTZSOJ,O,O,X,X,X,X,X,X
ILTZOJS,O,X,O,X,O,X,X,O
ILTZOSJ,O,O,O,X,X,X,X,O
ILTOJSZ,X,X,O,X,X,X,X,X
ILTOJZS,X,X,O,X,O,X,X,X
ILTOSJZ,X,O,O,X,X,X,X,X
ILTOSZJ,X,O,O,X,X,X,X,X
ILTOZJS,X,X,O,X,O,X,X,O
ILTOZSJ,X,O,O,X,X,X,X,O
ILJTSZO,O,O,X,X,O,X,X,X
ILJTSOZ,O,O,O,X,X,X,X,X
ILJTZSO,O,O,X,X,O,X,X,X
ILJTZOS,O,O,O,X,O,X,X,X
ILJTOSZ,X,O,O,X,X,X,X,X
ILJTOZS,X,O,O,X,O,X,X,X
ILJSTZO,O,O,X,X,O,X,X,X
ILJSTOZ,O,O,O,X,X,X,X,X
ILJSZTO,O,O,X,X,X,X,X,X
ILJSZOT,O,O,X,X,X,X,X,X
ILJSOTZ,O,O,O,X,X,X,X,X
ILJSOZT,O,O,O,X,X,X,X,X
ILJZTSO,O,O,X,O,O,X,X,X
ILJZTOS,O,O,O,O,O,X,X,X
ILJZSTO,O,O,X,O,X,X,X,X
ILJZSOT,O,O,X,O,X,X,X,X
ILJZOTS,O,O,O,O,X,X,X,X
ILJZOST,O,O,O,O,X,X,X,X
ILJOTSZ,X,O,O,X,X,X,X,X
ILJOTZS,X,O,O,X,O,X,X,X
ILJOSTZ,O,O,O,X,X,X,X,X
ILJOSZT,O,O,O,X,X,X,X,X
ILJOZTS,O,O,O,O,X,X,X,X
ILJOZST,O,O,O,O,X,X,X,X
ILSTJZO,O,O,X,X,O,X,X,X
ILSTJOZ,O,O,O,X,X,O,X,X
ILSTZJO,O,O,X,X,O,X,X,X
ILSTZOJ,O,O,X,X,X,X,X,X
ILSTOJZ,O,O,O,X,X,O,X,X
ILSTOZJ,X,O,O,X,X,O,X,X
ILSJTZO,O,O,X,X,O,X,X,X
ILSJTOZ,O,O,O,X,X,X,X,X
ILSJZTO,O,O,X,X,X,X,X,X
ILSJZOT,O,O,X,X,X,X,X,X
ILSJOTZ,O,O,O,X,X,X,X,X
ILSJOZT,O,O,O,X,X,X,X,X
ILSZTJO,O,O,X,X,X,X,X,X
ILSZTOJ,O,O,X,X,X,X,X,X
ILSZJTO,O,O,X,X,X,X,X,X
ILSZJOT,O,O,X,X,X,X,X,X
ILSZOTJ,O,O,X,X,X,X,X,X
ILSZOJT,O,O,X,X,X,X,X,X
ILSOTJZ,O,O,O,X,X,X,X,X
ILSOTZJ,X,O,O,X,X,X,X,X
ILSOJTZ,O,O,O,X,X,X,X,X
ILSOJZT,O,O,O,X,X,X,X,X
ILSOZTJ,O,O,O,X,X,X,X,X
ILSOZJT,O,O,O,X,X,X,X,X
ILZTJSO,O,X,X,O,O,X,X,X
ILZTJOS,O,X,O,O,O,X,X,X
ILZTSJO,O,O,X,X,O,X,X,X
ILZTSOJ,O,O,X,X,X,X,X,X
ILZTOJS,O,X,O,X,O,X,X,X
ILZTOSJ,O,O,O,X,X,X,X,X
ILZJTSO,O,X,X,O,O,X,X,X
ILZJTOS,O,X,O,O,O,X,X,X
ILZJSTO,O,X,X,O,X,X,X,X
ILZJSOT,O,X,X,O,X,X,X,X
ILZJOTS,O,X,O,O,X,X,X,X
ILZJOST,O,X,O,O,X,X,X,X
ILZSTJO,O,O,X,X,X,X,X,X
ILZSTOJ,O,O,X,X,X,X,X,X
ILZSJTO,O,O,X,O,X,X,X,X
ILZSJOT,O,X,X,O,X,X,X,X
ILZSOTJ,O,O,X,X,X,X,X,X
ILZSOJT,O,O,X,X,X,X,X,X
ILZOTJS,O,X,O,X,X,X,X,X
ILZOTSJ,O,O,O,X,X,X,X,X
ILZOJTS,O,X,O,O,X,X,X,X
ILZOJST,O,X,O,O,X,X,X,X
ILZOSTJ,O,O,O,X,X,X,X,X
ILZOSJT,O,O,O,X,X,X,X,X
ILOTJSZ,X,X,O,X,X,X,X,X
ILOTJZS,X,X,O,X,O,X,X,X
ILOTSJZ,X,O,O,X,X,X,X,X
ILOTSZJ,X,O,O,X,X,X,X,X
ILOTZJS,X,X,O,X,O,X,X,X
ILOTZSJ,X,O,O,X,X,X,X,X
ILOJTSZ,X,O,O,X,X,X,X,X
ILOJTZS,X,O,O,X,O,X,X,X
ILOJSTZ,O,O,O,X,X,X,X,X
ILOJSZT,O,O,O,X,X,X,X,X
ILOJZTS,O,O,O,O,X,X,X,X
ILOJZST,O,O,O,O,X,X,X,X
ILOSTJZ,O,O,O,X,X,X,X,X
ILOSTZJ,X,O,O,X,X,X,X,X
ILOSJTZ,O,O,O,X,X,X,X,X
ILOSJZT,O,O,O,X,X,X,X,X
ILOSZTJ,O,O,O,X,X,X,X,X
ILOSZJT,O,O,O,X,X,X,X,X
ILOZTJS,O,X,O,X,X,X,X,X
ILOZTSJ,O,O,O,X,X,X,X,X
ILOZJTS,O,X,O,O,X,X,X,X
ILOZJST,O,X,O,O,X,X,X,X
ILOZSTJ,O,O,O,X,X,X,X,X
ILOZSJT,O,O,O,X,X,X,X,X
IJTLSZO,O,O,X,X,O,X,X,X
IJTLSOZ,O,O,O,X,X,X,X,X
IJTLZSO,O,O,X,X,O,X,X,X
IJTLZOS,O,O,O,X,O,X,X,X
IJTLOSZ,X,O,O,X,X,X,X,X
IJTLOZS,X,O,O,X,O,X,X,X
IJTSLZO,O,O,X,X,X,X,X,X
IJTSLOZ,O,O,X,X,X,O,X,X
IJTSZLO,O,O,X,X,X,X,X,X
IJTSZOL,O,O,X,X,X,O,X,X
IJTSOLZ,O,O,O,X,X,O,X,X
IJTSOZL,O,O,O,X,X,O,X,X
IJTZLSO,O,X,X,X,O,X,X,X
IJTZLOS,O,X,X,X,O,X,X,X
IJTZSLO,O,O,X,X,X,X,X,X
IJTZSOL,O,O,X,X,X,X,X,X
IJTZOLS,O,X,X,X,X,X,X,O
IJTZOSL,O,O,O,X,X,X,X,O
IJTOLSZ,O,O,O,X,X,X,X,X
IJTOLZS,O,O,O,X,X,X,X,X
IJTOSLZ,O,O,O,X,X,X,X,X
IJTOSZL,O,O,O,X,X,X,X,X
IJTOZLS,O,X,X,X,X,X,X,O
IJTOZSL,O,O,O,X,X,X,X,O
IJLTSZO,O,O,X,X,O,X,X,X
IJLTSOZ,O,O,O,X,X,X,X,X
IJLTZSO,O,O,X,X,O,X,X,X
IJLTZOS,O,O,O,X,O,X,X,X
IJLTOSZ,X,O,O,X,X,X,X,X
IJLTOZS,X,O,O,X,O,X,X,X
IJLSTZO,O,O,X,X,O,X,X,X
IJLSTOZ,O,O,O,X,X,X,X,X
IJLSZTO,O,O,X,X,X,X,X,X
IJLSZOT,O,O,X,X,X,X,X,X
IJLSOTZ,O,O,O,X,X,X,X,X
IJLSOZT,O,O,O,X,X,X,X,X
IJLZTSO,O,O,X,O,O,X,X,X
IJLZTOS,O,O,O,O,O,X,X,X
IJLZSTO,O,O,X,O,X,X,X,X
IJLZSOT,O,O,X,O,X,X,X,X
IJLZOTS,O,O,O,O,X,X,X,X
IJLZOST,O,O,O,O,X,X,X,X
IJLOTSZ,O,O,O,X,X,X,X,X
IJLOTZS,O,O,O,X,O,X,X,X
IJLOSTZ,O,O,O,X,X,X,X,X
IJLOSZT,O,O,O,X,X,X,X,X
IJLOZTS,O,O,O,O,X,X,X,X
IJLOZST,O,O,O,O,X,X,X,X
IJSTLZO,O,O,X,X,X,X,X,X
IJSTLOZ,O,O,X,X,X,O,X,X
IJSTZLO,O,O,X,X,X,X,X,X
IJSTZOL,O,O,X,X,X,O,X,X
IJSTOLZ,O,O,O,X,X,O,X,X
IJSTOZL,O,O,O,X,X,O,X,X
IJSLTZO,O,O,X,X,X,X,X,X
IJSLTOZ,O,O,X,X,X,X,X,X
IJSLZTO,O,O,X,X,X,X,X,X
IJSLZOT,O,O,X,X,X,X,X,X
IJSLOTZ,O,O,X,X,X,X,X,X
IJSLOZT,O,O,X,X,X,X,X,X
IJSZTLO,O,O,X,X,X,X,X,X
IJSZTOL,O,O,X,X,X,X,X,X
IJSZLTO,O,O,X,X,X,X,X,X
IJSZLOT,O,X,X,X,X,X,X,X
IJSZOTL,O,O,X,X,X,X,X,X
IJSZOLT,O,O,X,X,X,X,X,X
IJSOTLZ,O,O,O,X,X,X,X,X
IJSOTZL,O,O,O,X,X,X,X,X
IJSOLTZ,O,O,O,X,X,X,X,X
IJSOLZT,O,O,X,X,X,X,X,X
IJSOZTL,O,O,O,X,X,X,X,X
IJSOZLT,O,O,X,X,X,X,X,X
IJZTLSO,O,X,X,X,O,X,X,X
IJZTLOS,O,X,X,X,O,X,X,X
IJZTSLO,O,O,X,X,X,X,X,X
IJZTSOL,O,O,X,X,X,X,X,X
IJZTOLS,O,X,X,X,X,X,X,X
IJZTOSL,O,O,O,X,X,X,X,X
IJZLTSO,O,X,X,O,X,X,X,X
IJZLTOS,O,X,X,O,X,X,X,X
IJZLSTO,O,X,X,O,X,X,X,X
IJZLSOT,O,X,X,O,X,X,X,X
IJZLOTS,O,X,X,O,X,X,X,X
IJZLOST,O,X,X,O,X,X,X,X
IJZSTLO,O,O,X,X,X,X,X,X
IJZSTOL,O,O,X,X,X,X,X,X
IJZSLTO,O,O,X,X,X,X,X,X
IJZSLOT,O,X,X,X,X,X,X,X
IJZSOTL,O,O,X,X,X,X,X,X
IJZSOLT,O,O,X,X,X,X,X,X
IJZOTLS,O,X,X,X,X,X,X,X
IJZOTSL,O,O,O,X,X,X,X,X
IJZOLTS,O,X,X,O,X,X,X,X
IJZOLST,O,X,X,O,X,X,X,X
IJZOSTL,O,O,O,X,X,X,X,X
IJZOSLT,O,O,X,X,X,X,X,X
IJOTLSZ,O,O,O,X,X,X,X,X
IJOTLZS,O,O,O,X,X,X,X,X
IJOTSLZ,O,O,O,X,X,X,X,X
IJOTSZL,O,O,O,X,X,X,X,X
IJOTZLS,O,X,X,X,X,X,X,X
IJOTZSL,O,O,O,X,X,X,X,X
IJOLTSZ,O,O,O,X,X,X,X,X
IJOLTZS,O,O,O,X,X,X,X,X
IJOLSTZ,O,O,O,X,X,X,X,X
IJOLSZT,O,O,O,X,X,X,X,X
IJOLZTS,O,O,O,O,X,X,X,X
IJOLZST,O,O,O,O,X,X,X,X
IJOSTLZ,O,O,O,X,X,X,X,X
IJOSTZL,O,O,O,X,X,X,X,X
IJOSLTZ,O,O,O,X,X,X,X,X
IJOSLZT,O,O,O,X,X,X,X,X
IJOSZTL,O,O,O,X,X,X,X,X
IJOSZLT,O,O,X,X,X,X,X,X
IJOZTLS,O,X,X,X,X,X,X,X
IJOZTSL,O,O,O,X,X,X,X,X
IJOZLTS,O,X,X,O,X,X,X,X
IJOZLST,O,X,X,O,X,X,X,X
IJOZSTL,O,O,O,X,X,X,X,X
IJOZSLT,O,O,X,X,X,X,X,X
ISTLJZO,O,O,X,X,X,X,X,X
ISTLJOZ,O,O,X,X,X,O,X,X
ISTLZJO,X,O,X,X,X,X,X,X
ISTLZOJ,X,O,X,X,X,X,X,X
ISTLOJZ,X,O,X,X,X,O,X,X
ISTLOZJ,X,O,X,X,X,O,X,X
ISTJLZO,O,O,X,X,X,X,X,X
ISTJLOZ,O,O,X,X,X,O,X,X
ISTJZLO,X,O,X,X,X,X,X,X
ISTJZOL,X,O,X,X,X,O,X,X
ISTJOLZ,O,O,X,X,X,O,X,X
ISTJOZL,X,O,X,X,X,O,X,X
ISTZLJO,X,O,X,X,X,X,O,X
ISTZLOJ,X,O,X,X,X,X,O,X
ISTZJLO,X,O,X,X,X,X,O,X
ISTZJOL,X,O,X,X,X,O,O,X
ISTZOLJ,X,O,X,X,X,O,O,O
ISTZOJL,X,O,X,X,X,O,O,O
ISTOLJZ,O,O,X,X,X,O,X,X
ISTOLZJ,X,O,X,X,X,O,X,X
ISTOJLZ,O,O,X,X,X,O,X,X
ISTOJZL,X,O,X,X,X,O,X,X
ISTOZLJ,X,O,X,X,X,O,X,O
ISTOZJL,X,O,X,X,X,O,X,O
ISLTJZO,O,O,X,X,X,X,X,X
ISLTJOZ,O,O,X,X,X,O,X,X
ISLTZJO,O,O,X,X,X,X,X,X
ISLTZOJ,O,O,X,X,X,X,X,X
ISLTOJZ,O,O,X,X,X,O,X,X
ISLTOZJ,X,O,X,X,X,O,X,X
ISLJTZO,O,O,X,X,X,X,X,X
ISLJTOZ,O,O,X,X,X,X,X,X
ISLJZTO,O,O,X,X,X,X,X,X
