sequence,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFXhBVnBaoBT?kBeqB0sB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeKEJvhFUhBGiBZoBF?lB/sBzpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFXhBliBikBU?nBetBzpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFXhBmiBypBF?nBzsB0pB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeUBJvhFRiB/pBFlBi?nBzsBmpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeT/IvhFXhBZoBUnBl?pBOqB6sB,v115@GhA8IeA8CeC8CeB8BeD8BeA8Jex/IvhFVmBUiBikBe?tB3nBzpB,v115@GhA8IeA8CeC8CeB8BeD8BeA8JeOFJvhFXhBZoBTkBF?nB6sB0pB
TZJSOLI,O,X,X,X,X,X,O,X
TZJOILS,O,X,X,X,X,O,O,X
TZJOISL,O,X,X,X,X,O,X,X
TZJOLIS,O,X,X,X,X,X,O,X
TZJOLSI,O,X,X,X,X,X,O,X
TZJOSIL,O,X,X,X,X,O,X,X
TZJOSLI,O,X,X,X,X,X,O,X
TZSILJO,O,O,X,X,X,O,X,X
TZSILOJ,O,O,X,X,O,O,X,X
TZSIJLO,O,O,X,X,X,O,X,X
TZSIJOL,O,X,X,X,X,O,X,O
TZSIOLJ,O,X,X,X,O,O,X,X
TZSIOJL,X,X,X,X,X,O,X,O
TZSLIJO,O,O,X,X,X,O,X,X
TZSLIOJ,O,O,X,X,O,O,X,X
TZSLJIO,O,O,X,X,X,X,X,X
TZSLJOI,O,O,X,X,O,X,X,X
TZSLOIJ,O,O,X,X,O,O,X,X
TZSLOJI,O,O,X,X,O,X,X,X
TZSJILO,O,O,X,X,X,O,X,X
TZSJIOL,O,X,X,X,X,O,X,O
TZSJLIO,O,O,X,X,X,X,X,X
TZSJLOI,O,O,X,X,O,X,X,X
TZSJOIL,O,X,X,X,X,O,X,O
TZSJOLI,O,X,X,X,O,X,X,X
TZSOILJ,O,X,X,X,O,O,X,X
TZSOIJL,X,X,X,X,X,O,X,O
TZSOLIJ,O,X,X,X,O,O,X,X
TZSOLJI,O,X,X,X,O,X,X,X
TZSOJIL,O,X,X,X,X,O,X,O
TZSOJLI,O,X,X,X,O,X,X,X
TZOILJS,O,X,X,X,X,O,X,X
TZOILSJ,X,X,X,X,X,O,X,X
TZOIJLS,O,X,X,X,X,O,X,X
TZOIJSL,O,X,X,X,X,O,X,X
TZOISLJ,X,X,X,X,X,O,X,X
TZOISJL,X,X,X,X,X,O,X,O
TZOLIJS,O,X,X,X,X,O,O,X
TZOLISJ,X,X,X,X,O,O,X,X
TZOLJIS,O,X,X,X,X,X,O,X
TZOLJSI,O,X,X,X,X,X,O,X
TZOLSIJ,O,X,X,X,O,O,X,X
TZOLSJI,O,X,X,X,O,X,X,X
TZOJILS,O,X,X,X,X,O,O,X
TZOJISL,O,X,X,X,X,O,X,X
TZOJLIS,O,X,X,X,X,X,O,X
TZOJLSI,O,X,X,X,X,X,O,X
TZOJSIL,O,X,X,X,X,O,X,X
TZOJSLI,O,X,X,X,X,X,O,X
TZOSILJ,O,X,X,X,O,O,X,X
TZOSIJL,X,X,X,X,X,O,X,O
TZOSLIJ,O,X,X,X,O,O,X,X
TZOSLJI,O,X,X,X,O,X,X,X
TZOSJIL,O,X,X,X,X,O,X,O
TZOSJLI,O,X,X,X,O,X,X,X
TOILJSZ,O,X,X,O,X,X,O,X
TOILJZS,O,X,X,O,X,X,O,X
TOILSJZ,X,X,X,O,X,X,O,O
TOILSZJ,X,X,X,O,X,O,X,X
TOILZJS,X,X,X,O,X,O,O,X
TOILZSJ,X,X,X,O,X,O,X,X
TOIJLSZ,O,X,X,O,X,X,O,X
TOIJLZS,O,X,X,O,X,X,O,X
TOIJSLZ,O,X,X,O,X,X,X,O
TOIJSZL,O,X,X,O,X,O,X,O
TOIJZLS,O,X,X,X,X,O,O,X
TOIJZSL,O,X,X,X,X,O,X,X
TOISLJZ,X,X,X,O,X,X,X,O
TOISLZJ,X,X,X,O,X,O,X,X
TOISJLZ,X,X,X,O,X,X,X,O
TOISJZL,X,X,X,O,X,O,X,O
TOISZLJ,X,X,X,X,X,O,X,X
TOISZJL,X,X,X,O,X,O,X,O
TOIZLJS,O,X,X,X,X,O,X,X
TOIZLSJ,X,X,X,X,X,O,X,X
TOIZJLS,O,X,X,X,X,O,X,X
TOIZJSL,O,X,X,X,X,O,X,X
TOIZSLJ,X,X,X,X,X,O,X,X
TOIZSJL,X,X,X,X,X,O,X,O
TOLIJSZ,O,X,O,O,X,X,O,X
TOLIJZS,O,X,O,O,X,X,O,X
TOLISJZ,X,X,O,O,O,X,O,O
TOLISZJ,X,X,X,O,O,O,X,X
TOLIZJS,X,X,X,O,X,O,O,X
TOLIZSJ,X,X,X,O,O,O,X,X
TOLJISZ,O,X,O,O,X,X,O,X
TOLJIZS,O,X,O,O,X,X,O,X
TOLJSIZ,O,X,O,O,X,X,O,X
TOLJSZI,O,X,O,O,X,X,O,X
TOLJZIS,O,X,O,O,X,X,O,X
TOLJZSI,O,X,O,O,X,X,O,X
TOLSIJZ,O,X,O,O,O,X,O,O
TOLSIZJ,X,X,X,O,O,O,X,X
TOLSJIZ,O,X,O,O,O,X,O,O
TOLSJZI,O,X,O,O,O,X,O,X
TOLSZIJ,X,X,X,O,O,O,X,X
TOLSZJI,X,X,X,O,O,X,X,X
TOLZIJS,O,X,X,O,X,O,O,X
TOLZISJ,X,X,X,O,O,O,X,X
TOLZJIS,O,X,X,O,X,X,O,X
TOLZJSI,O,X,X,O,X,X,O,X
TOLZSIJ,X,X,X,O,O,O,X,X
TOLZSJI,O,X,X,O,O,X,X,X
TOJILSZ,O,X,O,O,X,X,O,X
TOJILZS,O,X,O,O,X,X,O,X
TOJISLZ,O,X,O,O,X,X,X,O
TOJISZL,O,X,O,O,X,O,X,O
TOJIZLS,O,X,X,X,X,O,O,X
TOJIZSL,O,X,X,X,X,O,X,X
TOJLISZ,O,X,O,O,X,X,O,X
TOJLIZS,O,X,O,O,X,X,O,X
TOJLSIZ,O,X,O,O,X,X,O,X
TOJLSZI,O,X,O,O,X,X,O,X
TOJLZIS,O,X,O,O,X,X,O,X
TOJLZSI,O,X,O,O,X,X,O,X
TOJSILZ,O,X,O,O,X,X,X,O
TOJSIZL,O,X,O,O,X,O,X,O
TOJSLIZ,O,X,O,O,X,X,O,O
TOJSLZI,O,X,O,O,X,X,O,X
TOJSZIL,O,X,O,O,X,O,X,O
TOJSZLI,O,X,O,O,X,X,O,X
TOJZILS,O,X,O,X,X,O,O,X
TOJZISL,O,X,O,X,X,O,X,X
TOJZLIS,O,X,O,O,X,X,O,X
TOJZLSI,O,X,O,O,X,X,O,X
TOJZSIL,O,X,O,O,X,O,X,X
TOJZSLI,O,X,O,O,X,X,O,X
TOSILJZ,O,X,X,O,O,X,X,O
TOSILZJ,X,X,X,O,O,O,X,X
TOSIJLZ,X,X,O,O,X,X,X,O
TOSIJZL,X,X,O,O,X,O,X,O
TOSIZLJ,O,X,X,X,O,O,X,X
TOSIZJL,X,X,X,O,X,O,X,O
TOSLIJZ,O,X,O,O,O,X,O,O
TOSLIZJ,X,X,X,O,O,O,X,X
TOSLJIZ,O,X,O,O,O,X,O,O
TOSLJZI,O,X,O,O,O,X,O,X
TOSLZIJ,X,X,X,O,O,O,X,X
TOSLZJI,X,X,X,O,O,X,X,X
TOSJILZ,O,X,O,O,X,X,X,O
TOSJIZL,O,X,O,O,X,O,X,O
TOSJLIZ,O,X,O,O,O,X,O,O
TOSJLZI,O,X,O,O,O,X,O,X
TOSJZIL,O,X,O,O,X,O,X,O
TOSJZLI,O,X,O,O,O,X,O,X
TOSZILJ,O,X,X,X,O,O,X,X
TOSZIJL,X,X,X,O,X,O,X,O
TOSZLIJ,O,X,X,O,O,O,X,X
TOSZLJI,O,X,X,O,O,X,X,X
TOSZJIL,O,X,X,O,X,O,X,O
TOSZJLI,O,X,X,O,O,X,X,X
TOZILJS,O,X,X,X,X,O,X,X
TOZILSJ,X,X,X,X,X,O,X,X
TOZIJLS,O,X,X,X,X,O,X,X
TOZIJSL,O,X,X,X,X,O,X,X
TOZISLJ,X,X,X,X,X,O,X,X
TOZISJL,X,X,X,X,X,O,X,O
TOZLIJS,O,X,X,O,X,O,O,X
TOZLISJ,X,X,X,O,O,O,X,X
TOZLJIS,O,X,X,O,X,X,O,X
TOZLJSI,O,X,X,O,X,X,O,X
TOZLSIJ,O,X,X,O,O,O,X,X
TOZLSJI,O,X,X,O,O,X,X,X
TOZJILS,O,X,X,X,X,O,O,X
TOZJISL,O,X,X,X,X,O,X,X
TOZJLIS,O,X,X,O,X,X,O,X
TOZJLSI,O,X,X,O,X,X,O,X
TOZJSIL,O,X,X,O,X,O,X,X
TOZJSLI,O,X,X,O,X,X,O,X
TOZSILJ,O,X,X,X,O,O,X,X
TOZSIJL,X,X,X,O,X,O,X,O
TOZSLIJ,O,X,X,O,O,O,X,X
TOZSLJI,O,X,X,O,O,X,X,X
TOZSJIL,O,X,X,O,X,O,X,O
TOZSJLI,O,X,X,O,O,X,X,X
ITLJSZO,O,O,X,X,X,X,O,X
ITLJSOZ,O,O,X,X,X,X,X,X
ITLJZSO,O,O,X,X,X,X,O,X
ITLJZOS,X,X,X,X,X,X,O,X
ITLJOSZ,O,X,X,X,X,X,X,X
ITLJOZS,O,X,X,X,X,X,O,X
ITLSJZO,O,O,X,X,X,X,O,X
ITLSJOZ,O,O,X,X,X,X,X,O
ITLSZJO,O,O,X,X,X,O,X,X
ITLSZOJ,X,O,X,X,X,O,X,X
ITLSOJZ,O,O,X,X,X,X,X,O
ITLSOZJ,X,O,X,X,X,O,X,X
ITLZJSO,X,O,X,X,X,O,O,X
ITLZJOS,X,X,X,X,X,O,O,X
ITLZSJO,X,O,X,X,X,O,X,X
ITLZSOJ,X,O,X,X,X,O,X,X
ITLZOJS,X,X,X,X,X,O,X,X
ITLZOSJ,X,O,X,X,X,O,X,X
ITLOJSZ,O,X,X,X,X,X,X,X
ITLOJZS,O,X,X,X,X,X,O,X
ITLOSJZ,X,O,X,X,X,X,X,O
ITLOSZJ,X,O,X,X,X,O,X,X
ITLOZJS,X,X,X,X,X,O,X,X
ITLOZSJ,X,O,X,X,X,O,X,X
ITJLSZO,O,X,X,X,X,X,O,X
ITJLSOZ,O,X,X,X,X,X,X,X
ITJLZSO,O,X,X,X,X,X,O,X
ITJLZOS,O,X,X,X,X,X,O,X
ITJLOSZ,O,X,X,X,X,X,X,X
ITJLOZS,O,X,X,X,X,X,O,X
ITJSLZO,O,X,X,X,X,X,X,X
ITJSLOZ,O,X,X,X,X,X,X,O
ITJSZLO,O,X,X,X,X,O,X,X
ITJSZOL,O,X,X,X,X,O,X,O
ITJSOLZ,O,X,X,X,X,X,X,O
ITJSOZL,O,X,X,X,X,O,X,O
ITJZLSO,O,X,X,X,X,O,O,X
ITJZLOS,O,X,X,X,X,O,O,X
ITJZSLO,O,X,X,X,X,O,X,X
ITJZSOL,O,X,X,X,X,O,X,X
ITJZOLS,O,X,X,X,X,O,O,X
ITJZOSL,O,X,X,X,X,O,X,X
ITJOLSZ,O,X,X,X,X,X,O,X
ITJOLZS,O,X,X,X,X,X,O,X
ITJOSLZ,O,X,X,X,X,X,X,O
ITJOSZL,O,X,X,X,X,O,X,O
ITJOZLS,O,X,X,X,X,O,O,X
ITJOZSL,O,X,X,X,X,O,X,X
ITSLJZO,O,O,X,X,X,X,X,X
ITSLJOZ,O,O,X,X,X,X,X,O
ITSLZJO,O,O,X,X,X,O,X,X
ITSLZOJ,O,O,X,X,X,O,X,X
ITSLOJZ,O,O,X,X,X,X,X,O
ITSLOZJ,X,O,X,X,X,O,X,X
ITSJLZO,O,O,X,X,X,X,X,X
ITSJLOZ,O,O,X,X,X,X,X,O
ITSJZLO,O,O,X,X,X,O,X,X
ITSJZOL,O,X,X,X,X,O,X,O
ITSJOLZ,O,X,X,X,X,X,X,O
ITSJOZL,O,X,X,X,X,O,X,O
ITSZLJO,O,O,X,X,X,O,X,X
ITSZLOJ,O,O,X,X,X,O,X,X
ITSZJLO,O,O,X,X,X,O,X,X
ITSZJOL,O,X,X,X,X,O,X,O
ITSZOLJ,O,X,X,X,X,O,X,X
ITSZOJL,X,X,X,X,X,O,X,O
ITSOLJZ,O,X,X,X,X,X,X,O
ITSOLZJ,X,X,X,X,X,O,X,X
ITSOJLZ,X,X,X,X,X,X,X,O
ITSOJZL,X,X,X,X,X,O,X,O
ITSOZLJ,O,X,X,X,X,O,X,X
ITSOZJL,X,X,X,X,X,O,X,O
ITZLJSO,O,O,X,X,X,O,X,X
ITZLJOS,O,X,X,X,X,O,X,X
ITZLSJO,O,O,X,X,X,O,X,X
ITZLSOJ,O,O,X,X,X,O,X,X
ITZLOJS,O,X,X,X,X,O,X,X
ITZLOSJ,X,O,X,X,X,O,X,X
ITZJLSO,O,X,X,X,X,O,X,X
ITZJLOS,O,X,X,X,X,O,X,X
ITZJSLO,O,X,X,X,X,O,X,X
ITZJSOL,O,X,X,X,X,O,X,X
ITZJOLS,O,X,X,X,X,O,X,X
ITZJOSL,O,X,X,X,X,O,X,X
ITZSLJO,O,O,X,X,X,O,X,X
ITZSLOJ,O,O,X,X,X,O,X,X
ITZSJLO,O,O,X,X,X,O,X,X
ITZSJOL,O,X,X,X,X,O,X,O
ITZSOLJ,O,X,X,X,X,O,X,X
ITZSOJL,X,X,X,X,X,O,X,O
ITZOLJS,O,X,X,X,X,O,X,X
ITZOLSJ,X,X,X,X,X,O,X,X
ITZOJLS,O,X,X,X,X,O,X,X
ITZOJSL,O,X,X,X,X,O,X,X
ITZOSLJ,X,X,X,X,X,O,X,X
ITZOSJL,X,X,X,X,X,O,X,O
ITOLJSZ,O,X,X,X,X,X,O,X
ITOLJZS,O,X,X,X,X,X,O,X
ITOLSJZ,X,X,X,X,X,X,O,O
ITOLSZJ,X,X,X,X,X,O,X,X
ITOLZJS,X,X,X,X,X,O,O,X
ITOLZSJ,X,X,X,X,X,O,X,X
ITOJLSZ,O,X,X,X,X,X,O,X
ITOJLZS,O,X,X,X,X,X,O,X
ITOJSLZ,O,X,X,X,X,X,X,O
ITOJSZL,O,X,X,X,X,O,X,O
ITOJZLS,O,X,X,X,X,O,O,X
ITOJZSL,O,X,X,X,X,O,X,X
ITOSLJZ,X,X,X,X,X,X,X,O
ITOSLZJ,X,X,X,X,X,O,X,X
ITOSJLZ,X,X,X,X,X,X,X,O
ITOSJZL,X,X,X,X,X,O,X,O
ITOSZLJ,X,X,X,X,X,O,X,X
ITOSZJL,X,X,X,X,X,O,X,O
ITOZLJS,O,X,X,X,X,O,X,X
ITOZLSJ,X,X,X,X,X,O,X,X
ITOZJLS,O,X,X,X,X,O,X,X
ITOZJSL,O,X,X,X,X,O,X,X
ITOZSLJ,X,X,X,X,X,O,X,X
ITOZSJL,X,X,X,X,X,O,X,O
ILTJSZO,X,O,O,X,X,X,O,X
ILTJSOZ,X,O,O,X,X,X,X,X
ILTJZSO,X,O,O,X,X,X,O,X
ILTJZOS,X,X,O,X,X,X,O,X
ILTJOSZ,X,X,O,X,X,X,X,X
ILTJOZS,X,X,X,X,X,X,O,X
ILTSJZO,X,O,O,X,X,X,O,X
ILTSJOZ,X,O,O,X,X,X,X,O
ILTSZJO,X,O,X,X,X,O,X,X
ILTSZOJ,X,O,X,X,X,O,X,X
ILTSOJZ,X,O,X,O,X,X,X,O
ILTSOZJ,X,O,X,O,X,O,X,X
ILTZJSO,X,O,X,X,X,O,O,X
ILTZJOS,X,X,X,X,X,O,O,X
ILTZSJO,X,O,X,X,X,O,X,X
ILTZSOJ,X,O,X,X,X,O,X,X
ILTZOJS,X,X,X,X,X,O,X,X
ILTZOSJ,X,O,X,X,X,O,X,X
ILTOJSZ,X,X,X,O,X,X,X,X
ILTOJZS,X,X,X,O,X,X,O,X
ILTOSJZ,X,O,X,O,X,X,X,O
ILTOSZJ,X,O,X,O,X,O,X,X
ILTOZJS,X,X,X,O,X,O,X,X
ILTOZSJ,X,O,X,O,X,O,X,X
ILJTSZO,X,O,O,X,X,X,O,X
ILJTSOZ,X,O,O,X,X,X,X,X
ILJTZSO,X,O,O,X,X,X,O,X
ILJTZOS,X,X,O,X,X,X,O,X
ILJTOSZ,X,X,O,X,X,X,X,X
ILJTOZS,X,X,X,X,X,X,O,X
ILJSTZO,X,O,O,X,X,X,O,X
ILJSTOZ,X,O,O,X,X,X,X,X
ILJSZTO,X,O,O,X,X,X,X,X
ILJSZOT,X,O,O,X,X,X,X,X
ILJSOTZ,X,O,O,O,X,X,X,X
ILJSOZT,X,O,O,O,X,X,X,X
ILJZTSO,X,O,O,X,X,X,O,X
ILJZTOS,X,X,O,X,X,X,O,X
ILJZSTO,X,O,O,X,X,X,X,X
ILJZSOT,X,O,O,X,X,X,X,X
ILJZOTS,X,X,O,X,X,X,X,X
ILJZOST,X,X,O,X,X,X,X,X
ILJOTSZ,X,X,O,O,X,X,X,X
ILJOTZS,X,X,X,O,X,X,O,X
ILJOSTZ,X,X,O,O,X,X,X,X
ILJOSZT,X,X,O,O,X,X,X,X
ILJOZTS,X,X,O,O,X,X,X,X
ILJOZST,X,X,O,O,X,X,X,X
ILSTJZO,X,O,O,X,X,X,O,X
ILSTJOZ,X,O,O,X,X,X,X,O
ILSTZJO,X,O,X,X,X,O,X,X
ILSTZOJ,X,O,X,X,O,O,X,X
ILSTOJZ,X,O,X,O,X,X,X,O
ILSTOZJ,X,O,X,O,X,O,X,X
ILSJTZO,X,O,O,X,X,X,O,X
ILSJTOZ,X,O,O,X,X,X,X,O
ILSJZTO,X,O,O,X,X,X,X,X
ILSJZOT,X,O,O,X,X,X,X,X
ILSJOTZ,X,O,O,O,X,X,X,O
ILSJOZT,X,O,O,O,X,X,X,X
ILSZTJO,X,O,X,X,X,O,X,X
ILSZTOJ,X,O,X,X,O,O,X,X
ILSZJTO,X,O,O,X,X,X,X,X
ILSZJOT,X,O,O,X,X,X,X,X
ILSZOTJ,X,O,X,O,X,X,X,X
ILSZOJT,X,O,X,O,X,X,X,X
ILSOTJZ,X,O,X,O,X,X,X,O
ILSOTZJ,X,O,X,O,X,X,X,X
ILSOJTZ,X,O,O,O,X,X,X,O
ILSOJZT,X,O,O,O,X,X,X,X
ILSOZTJ,X,O,X,O,X,X,X,X
ILSOZJT,X,O,X,O,X,X,X,X
ILZTJSO,X,O,X,X,X,O,O,X
ILZTJOS,X,X,X,X,X,O,O,X
ILZTSJO,X,O,X,X,X,O,X,X
ILZTSOJ,X,O,X,X,X,O,X,X
ILZTOJS,X,X,X,X,X,O,X,X
ILZTOSJ,X,O,X,X,X,O,X,X
ILZJTSO,X,O,O,X,X,X,O,X
ILZJTOS,X,X,O,X,X,X,O,X
ILZJSTO,X,O,O,X,X,X,X,X
ILZJSOT,X,O,O,X,X,X,X,X
ILZJOTS,X,X,O,X,X,X,X,X
ILZJOST,X,X,O,X,X,X,X,X
ILZSTJO,X,O,X,X,X,O,X,X
ILZSTOJ,X,O,X,X,O,O,X,X
ILZSJTO,X,O,O,X,X,X,X,X
ILZSJOT,X,O,O,X,X,X,X,X
ILZSOTJ,X,O,X,O,X,X,X,X
ILZSOJT,X,O,X,O,X,X,X,X
ILZOTJS,X,X,X,O,X,X,X,X
ILZOTSJ,X,O,X,O,X,X,X,X
ILZOJTS,X,X,X,O,X,X,X,X
ILZOJST,X,X,X,O,X,X,X,X
ILZOSTJ,X,O,X,O,X,X,X,X
ILZOSJT,X,O,X,O,X,X,X,X
ILOTJSZ,X,X,X,O,X,X,X,X
ILOTJZS,X,X,X,O,X,X,O,X
ILOTSJZ,X,O,X,O,X,X,X,O
ILOTSZJ,X,O,X,O,X,X,X,X
ILOTZJS,X,X,X,O,X,X,X,X
ILOTZSJ,X,O,X,O,X,X,X,X
ILOJTSZ,X,X,O,O,X,X,X,X
ILOJTZS,X,X,X,O,X,X,O,X
ILOJSTZ,X,X,O,O,X,X,X,X
ILOJSZT,X,X,O,O,X,X,X,X
ILOJZTS,X,X,O,O,X,X,X,X
ILOJZST,X,X,O,O,X,X,X,X
ILOSTJZ,X,O,X,O,X,X,X,O
ILOSTZJ,X,O,X,O,X,X,X,X
ILOSJTZ,X,O,O,O,X,X,X,O
ILOSJZT,X,O,O,O,X,X,X,X
ILOSZTJ,X,O,X,O,X,X,X,X
ILOSZJT,X,O,X,O,X,X,X,X
ILOZTJS,X,X,X,O,X,X,X,X
ILOZTSJ,X,O,X,O,X,X,X,X
ILOZJTS,X,X,X,O,X,X,X,X
ILOZJST,X,X,X,O,X,X,X,X
ILOZSTJ,X,O,X,O,X,X,X,X
ILOZSJT,X,O,X,O,X,X,X,X
IJTLSZO,O,X,O,X,X,X,O,X
IJTLSOZ,O,X,O,X,X,X,X,X
IJTLZSO,O,X,O,X,X,X,O,X
IJTLZOS,O,X,X,X,X,X,O,X
IJTLOSZ,O,X,O,X,X,X,X,X
IJTLOZS,O,X,X,X,X,X,O,X
IJTSLZO,O,X,O,X,X,X,X,X
IJTSLOZ,O,X,O,X,X,X,X,O
IJTSZLO,O,X,O,X,X,O,X,X
IJTSZOL,O,X,O,X,X,O,X,O
IJTSOLZ,O,X,O,X,X,X,X,O
IJTSOZL,O,X,O,X,X,O,X,O
IJTZLSO,O,X,X,X,X,O,O,X
IJTZLOS,O,X,X,X,X,O,O,X
IJTZSLO,O,X,X,X,X,O,X,X
IJTZSOL,O,X,X,X,X,O,X,X
IJTZOLS,O,X,X,X,X,O,O,X
IJTZOSL,O,X,X,X,X,O,X,X
IJTOLSZ,O,X,O,X,X,X,O,X
IJTOLZS,O,X,O,X,X,X,O,X
IJTOSLZ,O,X,O,X,X,X,X,O
IJTOSZL,O,X,O,X,X,O,X,O
IJTOZLS,O,X,X,X,X,O,O,X
IJTOZSL,O,X,X,X,X,O,X,X
IJLTSZO,O,O,O,X,X,X,O,X
IJLTSOZ,O,O,O,X,X,X,X,X
IJLTZSO,O,O,O,X,X,X,O,X
IJLTZOS,O,X,O,X,X,X,O,X
IJLTOSZ,O,X,O,X,X,X,X,X
IJLTOZS,X,X,X,X,X,X,O,X
IJLSTZO,O,O,O,X,X,X,O,X
IJLSTOZ,O,O,O,X,X,X,X,X
IJLSZTO,O,O,O,X,X,X,X,X
IJLSZOT,X,O,O,X,X,X,X,X
IJLSOTZ,X,O,O,X,X,X,X,X
IJLSOZT,X,O,O,X,X,X,X,X
IJLZTSO,O,O,O,X,X,X,O,X
IJLZTOS,O,X,O,X,X,X,O,X
IJLZSTO,O,O,O,X,X,X,X,X
IJLZSOT,X,O,O,X,X,X,X,X
IJLZOTS,O,X,O,X,X,X,X,X
IJLZOST,X,X,O,X,X,X,X,X
IJLOTSZ,X,X,O,X,X,X,X,X
IJLOTZS,X,X,X,X,X,X,O,X
IJLOSTZ,X,X,O,X,X,X,X,X
IJLOSZT,X,X,O,X,X,X,X,X
IJLOZTS,X,X,O,X,X,X,X,X
IJLOZST,X,X,O,X,X,X,X,X
IJSTLZO,O,O,O,X,X,X,X,X
IJSTLOZ,O,O,O,X,X,X,X,O
IJSTZLO,O,O,O,X,X,O,X,X
IJSTZOL,O,X,O,X,X,O,X,O
IJSTOLZ,O,X,O,X,X,X,X,O
IJSTOZL,O,X,O,X,X,O,X,O
IJSLTZO,O,O,O,X,X,X,X,X
IJSLTOZ,O,O,O,X,X,X,X,O
IJSLZTO,O,O,O,X,X,X,X,X
IJSLZOT,X,O,O,X,X,X,X,X
IJSLOTZ,X,O,O,X,X,X,X,O
IJSLOZT,X,O,O,X,X,X,X,X
IJSZTLO,O,O,O,X,X,O,X,X
IJSZTOL,O,X,O,X,X,O,X,O
IJSZLTO,O,O,O,X,X,X,X,X
IJSZLOT,X,O,O,X,X,X,X,X
IJSZOTL,O,X,O,X,X,X,X,O
IJSZOLT,O,O,O,X,X,X,X,X
IJSOTLZ,O,X,O,X,X,X,X,O
IJSOTZL,O,X,O,X,X,X,X,O
IJSOLTZ,O,O,O,X,X,X,X,O
IJSOLZT,O,O,O,X,X,X,X,X
IJSOZTL,O,X,O,X,X,X,X,O
IJSOZLT,O,O,O,X,X,X,X,X
IJZTLSO,O,X,O,X,X,O,X,X
IJZTLOS,O,X,O,X,X,O,X,X
IJZTSLO,O,X,O,X,X,O,X,X
IJZTSOL,O,X,O,X,X,O,X,X
IJZTOLS,O,X,O,X,X,O,X,X
IJZTOSL,O,X,O,X,X,O,X,X
IJZLTSO,O,O,O,X,X,X,X,X
IJZLTOS,O,X,O,X,X,X,X,X
IJZLSTO,O,O,O,X,X,X,X,X
IJZLSOT,X,O,O,X,X,X,X,X
IJZLOTS,O,X,O,X,X,X,X,X
IJZLOST,O,X,O,X,X,X,X,X
IJZSTLO,O,O,O,X,X,O,X,X
IJZSTOL,O,X,O,X,X,O,X,X
IJZSLTO,O,O,O,X,X,X,X,X
IJZSLOT,X,O,O,X,X,X,X,X
IJZSOTL,O,X,O,X,X,X,X,X
IJZSOLT,O,O,O,X,X,X,X,X
IJZOTLS,O,X,O,X,X,X,X,X
IJZOTSL,O,X,O,X,X,X,X,X
IJZOLTS,O,X,O,X,X,X,X,X
IJZOLST,O,X,O,X,X,X,X,X
IJZOSTL,O,X,O,X,X,X,X,X
IJZOSLT,O,X,O,X,X,X,X,X
IJOTLSZ,O,X,O,X,X,X,O,X
IJOTLZS,O,X,O,X,X,X,O,X
IJOTSLZ,O,X,O,X,X,X,X,O
IJOTSZL,O,X,O,X,X,X,X,O
IJOTZLS,O,X,X,X,X,X,O,X
IJOTZSL,O,X,X,X,X,X,X,X
IJOLTSZ,O,X,O,X,X,X,O,X
IJOLTZS,O,X,O,X,X,X,O,X
IJOLSTZ,O,X,O,X,X,X,O,X
IJOLSZT,O,X,O,X,X,X,X,X
IJOLZTS,O,X,O,X,X,X,O,X
IJOLZST,O,X,O,X,X,X,X,X
IJOSTLZ,O,X,O,X,X,X,X,O
IJOSTZL,O,X,O,X,X,X,X,O
IJOSLTZ,O,X,O,X,X,X,X,O
IJOSLZT,O,X,O,X,X,X,X,X
IJOSZTL,O,X,O,X,X,X,X,O
IJOSZLT,O,X,O,X,X,X,X,X
IJOZTLS,O,X,O,X,X,X,X,X
IJOZTSL,O,X,O,X,X,X,X,X
IJOZLTS,O,X,O,X,X,X,X,X
IJOZLST,O,X,O,X,X,X,X,X
IJOZSTL,O,X,O,X,X,X,X,X
IJOZSLT,O,X,O,X,X,X,X,X
ISTLJZO,O,O,X,X,X,X,X,X
ISTLJOZ,O,O,X,X,X,X,X,O
ISTLZJO,O,O,X,X,X,O,X,X
ISTLZOJ,O,O,X,X,O,O,X,X
ISTLOJZ,O,O,X,X,X,X,X,O
ISTLOZJ,X,O,X,X,X,O,X,X
ISTJLZO,O,O,O,X,X,X,X,X
ISTJLOZ,O,O,O,X,X,X,X,O
ISTJZLO,O,O,O,X,X,O,X,X
ISTJZOL,O,X,O,X,X,O,X,O
ISTJOLZ,O,X,O,X,X,X,X,O
ISTJOZL,O,X,O,X,X,O,X,O
ISTZLJO,O,O,X,X,X,O,X,X
ISTZLOJ,O,O,X,X,O,O,X,X
ISTZJLO,O,O,X,X,X,O,X,X
ISTZJOL,O,X,X,X,X,O,X,O
ISTZOLJ,O,X,X,X,O,O,X,X
ISTZOJL,X,X,X,X,X,O,X,O
ISTOLJZ,O,X,X,O,O,X,X,O
ISTOLZJ,X,X,X,X,O,O,X,X
ISTOJLZ,X,X,X,O,X,X,X,O
ISTOJZL,X,X,X,O,X,O,X,O
ISTOZLJ,O,X,X,X,O,O,X,X
ISTOZJL,X,X,X,O,X,O,X,O
