sequence,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeT/IvhFlhB3iB5oBy?sB0pBWxB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeOEJvhFlhB3iB5oBq?pB8sBzrB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeOEJvhFlhBziB5oBq?pB8rB3sB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KelBJvhF3iB5oBTkBy?sBWxB0pB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KexBJvhFTkBFnBXoB6?tBWxB0pB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeT/IvhFlhBeoB5oBX?nB0pBSxB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KemCJvhF5oBTkBFnB6?rB3sB0pB
TZOSJLI,O,O,X,X,X,X,X
TOILJSZ,X,O,X,O,X,X,X
TOILJZS,X,O,O,O,X,X,X
TOILSJZ,X,O,X,X,X,X,X
TOILSZJ,O,O,X,X,X,X,X
TOILZJS,O,O,O,X,X,X,X
TOILZSJ,O,O,O,X,X,X,X
TOIJLSZ,O,O,X,O,O,X,X
TOIJLZS,O,O,X,O,X,X,X
TOIJSLZ,X,X,X,O,O,X,X
TOIJSZL,X,X,X,X,O,X,X
TOIJZLS,O,O,X,O,X,X,X
TOIJZSL,O,O,X,X,O,X,X
TOISLJZ,X,O,X,X,X,X,O
TOISLZJ,X,O,X,X,X,X,X
TOISJLZ,X,X,X,O,X,X,O
TOISJZL,X,X,X,X,X,X,O
TOISZLJ,X,O,X,X,X,X,X
TOISZJL,X,O,X,X,X,X,O
TOIZLJS,O,O,O,X,X,X,X
TOIZLSJ,O,O,O,X,X,X,X
TOIZJLS,O,O,X,O,X,X,X
TOIZJSL,O,O,X,X,X,X,X
TOIZSLJ,O,O,O,X,X,X,X
TOIZSJL,O,O,O,X,X,X,X
TOLIJSZ,X,O,X,O,X,X,X
TOLIJZS,X,O,O,O,X,X,X
TOLISJZ,X,O,X,X,X,X,X
TOLISZJ,O,O,X,X,X,X,X
TOLIZJS,O,O,O,X,X,X,X
TOLIZSJ,O,O,O,X,X,X,X
TOLJISZ,X,O,X,O,X,X,X
TOLJIZS,X,O,O,O,X,X,X
TOLJSIZ,X,O,X,O,X,X,X
TOLJSZI,X,O,X,O,X,X,X
TOLJZIS,X,O,O,O,X,X,X
TOLJZSI,X,O,X,O,X,X,X
TOLSIJZ,X,O,X,X,X,X,X
TOLSIZJ,O,O,X,X,X,X,X
TOLSJIZ,X,O,X,X,X,X,X
TOLSJZI,X,O,X,X,X,X,X
TOLSZIJ,O,O,X,X,X,X,X
TOLSZJI,O,O,X,X,X,X,X
TOLZIJS,O,O,O,X,X,X,X
TOLZISJ,O,O,O,X,X,X,X
TOLZJIS,O,O,O,X,X,X,X
TOLZJSI,O,O,X,X,X,X,X
TOLZSIJ,O,O,X,X,X,X,X
TOLZSJI,O,O,X,X,X,X,X
TOJILSZ,O,O,X,O,O,X,X
TOJILZS,O,O,X,O,X,X,X
TOJISLZ,X,X,X,O,O,X,X
TOJISZL,X,X,X,X,O,X,X
TOJIZLS,O,O,X,O,X,X,X
TOJIZSL,O,O,X,X,O,X,X
TOJLISZ,O,O,X,O,O,X,X
TOJLIZS,O,O,X,O,X,X,X
TOJLSIZ,O,O,X,O,O,X,X
TOJLSZI,O,O,X,O,O,X,X
TOJLZIS,O,O,X,O,X,X,X
TOJLZSI,O,O,X,O,X,X,X
TOJSILZ,X,X,X,O,O,X,X
TOJSIZL,X,X,X,X,O,X,X
TOJSLIZ,X,X,X,O,O,X,X
TOJSLZI,X,X,X,O,O,X,X
TOJSZIL,X,X,X,X,O,X,X
TOJSZLI,X,X,X,X,O,X,X
TOJZILS,O,O,X,O,X,X,X
TOJZISL,O,O,X,X,O,X,X
TOJZLIS,O,O,X,O,X,X,X
TOJZLSI,O,O,X,O,X,X,X
TOJZSIL,O,O,X,X,O,X,X
TOJZSLI,O,O,X,X,O,X,X
TOSILJZ,X,O,X,X,O,X,O
TOSILZJ,X,O,X,X,X,X,X
TOSIJLZ,X,X,X,O,O,X,O
TOSIJZL,X,X,X,X,O,X,O
TOSIZLJ,X,O,X,X,X,X,X
TOSIZJL,X,O,X,X,X,X,O
TOSLIJZ,X,O,X,X,O,X,O
TOSLIZJ,X,O,X,X,X,X,X
TOSLJIZ,X,O,X,X,O,X,O
TOSLJZI,X,O,X,X,O,X,X
TOSLZIJ,X,O,X,X,X,X,X
TOSLZJI,X,O,X,X,O,X,X
TOSJILZ,X,X,X,O,O,X,O
TOSJIZL,X,X,X,X,O,X,O
TOSJLIZ,X,X,X,O,O,X,O
TOSJLZI,X,X,X,O,O,X,X
TOSJZIL,X,X,X,X,O,X,O
TOSJZLI,X,X,X,X,O,X,X
TOSZILJ,X,O,X,X,X,X,X
TOSZIJL,X,O,X,X,X,X,O
TOSZLIJ,X,O,X,X,X,X,X
TOSZLJI,X,O,X,X,O,X,X
TOSZJIL,X,O,X,X,O,X,O
TOSZJLI,X,O,X,X,O,X,X
TOZILJS,O,O,O,X,X,X,X
TOZILSJ,O,O,O,X,X,X,X
TOZIJLS,O,O,X,O,X,X,X
TOZIJSL,O,O,X,X,X,X,X
TOZISLJ,O,O,O,X,X,X,X
TOZISJL,O,O,O,X,X,X,X
TOZLIJS,O,O,O,X,X,X,X
TOZLISJ,O,O,O,X,X,X,X
TOZLJIS,O,O,O,X,X,X,X
TOZLJSI,O,O,X,X,X,X,X
TOZLSIJ,O,O,X,X,X,X,X
TOZLSJI,O,O,X,X,X,X,X
TOZJILS,O,O,X,O,X,X,X
TOZJISL,O,O,X,X,X,X,X
TOZJLIS,O,O,X,O,X,X,X
TOZJLSI,O,O,X,O,X,X,X
TOZJSIL,O,O,X,X,X,X,X
TOZJSLI,O,O,X,X,X,X,X
TOZSILJ,O,O,X,X,X,X,X
TOZSIJL,O,O,X,X,X,X,X
TOZSLIJ,O,O,X,X,X,X,X
TOZSLJI,O,O,X,X,X,X,X
TOZSJIL,O,O,X,X,X,X,X
TOZSJLI,O,O,X,X,X,X,X
ITLJSZO,O,O,O,O,X,X,X
ITLJSOZ,O,O,O,O,X,X,X
ITLJZSO,O,O,O,O,X,X,X
ITLJZOS,O,O,O,O,X,X,X
ITLJOSZ,O,O,X,O,X,X,X
ITLJOZS,O,O,O,O,X,X,X
ITLSJZO,O,O,O,X,X,X,X
ITLSJOZ,X,O,O,X,X,X,X
ITLSZJO,O,O,O,X,X,X,X
ITLSZOJ,O,O,O,X,X,X,X
ITLSOJZ,X,O,O,X,X,X,X
ITLSOZJ,O,O,O,X,X,X,X
ITLZJSO,O,O,O,X,X,X,X
ITLZJOS,O,O,O,X,X,X,X
ITLZSJO,O,O,O,X,X,X,X
ITLZSOJ,O,O,O,X,X,X,X
ITLZOJS,O,O,O,X,X,X,X
ITLZOSJ,O,O,O,X,X,X,X
ITLOJSZ,X,O,X,O,X,X,X
ITLOJZS,X,O,O,O,X,X,X
ITLOSJZ,X,O,X,X,X,X,X
ITLOSZJ,O,O,X,X,X,X,X
ITLOZJS,O,O,O,X,X,X,X
ITLOZSJ,O,O,O,X,X,X,X
ITJLSZO,O,O,O,O,X,X,X
ITJLSOZ,O,O,X,O,O,X,X
ITJLZSO,O,O,O,O,X,X,X
ITJLZOS,O,O,O,O,X,X,X
ITJLOSZ,O,O,X,O,O,X,X
ITJLOZS,O,O,O,O,X,X,X
ITJSLZO,O,X,X,O,X,O,X
ITJSLOZ,O,X,X,O,O,X,X
ITJSZLO,O,X,X,X,X,O,X
ITJSZOL,O,X,X,X,O,O,X
ITJSOLZ,X,X,X,O,O,X,X
ITJSOZL,X,X,X,X,O,O,X
ITJZLSO,O,O,O,O,X,X,X
ITJZLOS,O,O,O,O,X,X,X
ITJZSLO,O,O,O,X,X,O,X
ITJZSOL,O,X,O,X,O,O,X
ITJZOLS,O,X,X,O,X,X,X
ITJZOSL,O,X,X,X,O,O,X
ITJOLSZ,O,O,X,O,O,X,X
ITJOLZS,O,O,X,O,X,X,X
ITJOSLZ,X,X,X,O,O,X,X
ITJOSZL,X,X,X,X,O,X,X
ITJOZLS,O,O,X,O,X,X,X
ITJOZSL,O,O,X,X,O,X,X
ITSLJZO,O,O,O,X,X,X,X
ITSLJOZ,X,O,O,X,X,X,O
ITSLZJO,O,O,O,X,X,X,X
ITSLZOJ,O,O,O,X,X,X,X
ITSLOJZ,X,O,O,X,X,X,O
ITSLOZJ,O,O,O,X,X,X,X
ITSJLZO,O,X,X,O,X,X,X
ITSJLOZ,O,X,X,O,X,X,O
ITSJZLO,O,X,X,X,X,X,X
ITSJZOL,O,X,X,X,X,X,O
ITSJOLZ,X,X,X,O,X,X,O
ITSJOZL,X,X,X,X,X,X,O
ITSZLJO,O,O,O,X,X,X,X
ITSZLOJ,O,O,O,X,X,X,X
ITSZJLO,O,O,O,X,X,X,X
ITSZJOL,O,X,O,X,X,X,O
ITSZOLJ,O,O,O,X,X,X,X
ITSZOJL,O,X,O,X,X,X,O
ITSOLJZ,X,O,O,X,X,X,O
ITSOLZJ,X,O,O,X,X,X,X
ITSOJLZ,X,X,X,O,X,X,O
ITSOJZL,X,X,X,X,X,X,O
ITSOZLJ,X,O,O,X,X,X,X
ITSOZJL,X,O,O,X,X,X,O
ITZLJSO,O,O,O,X,X,X,X
ITZLJOS,O,O,O,X,X,X,X
ITZLSJO,O,O,O,X,X,X,X
ITZLSOJ,O,O,O,X,X,X,X
ITZLOJS,O,O,O,X,X,X,X
ITZLOSJ,O,O,O,X,X,X,X
ITZJLSO,O,O,O,O,X,X,X
ITZJLOS,O,O,O,O,X,X,X
ITZJSLO,O,O,O,X,X,O,X
ITZJSOL,O,X,O,X,X,O,X
ITZJOLS,O,X,X,O,X,X,X
ITZJOSL,O,X,X,X,X,O,X
ITZSLJO,O,O,O,X,X,X,X
ITZSLOJ,O,O,O,X,X,X,X
ITZSJLO,O,O,O,X,X,X,X
ITZSJOL,O,X,O,X,X,X,X
ITZSOLJ,O,O,O,X,X,X,X
ITZSOJL,O,X,O,X,X,X,X
ITZOLJS,O,O,O,X,X,X,X
ITZOLSJ,O,O,O,X,X,X,X
ITZOJLS,O,O,X,O,X,X,X
ITZOJSL,O,O,X,X,X,O,X
ITZOSLJ,O,O,O,X,X,X,X
ITZOSJL,O,O,O,X,X,X,X
ITOLJSZ,X,O,X,O,X,X,X
ITOLJZS,X,O,O,O,X,X,X
ITOLSJZ,X,O,X,X,X,X,X
ITOLSZJ,O,O,X,X,X,X,X
ITOLZJS,O,O,O,X,X,X,X
ITOLZSJ,O,O,O,X,X,X,X
ITOJLSZ,O,O,X,O,O,X,X
ITOJLZS,O,O,X,O,X,X,X
ITOJSLZ,X,X,X,O,O,X,X
ITOJSZL,X,X,X,X,O,X,X
ITOJZLS,O,O,X,O,X,X,X
ITOJZSL,O,O,X,X,O,X,X
ITOSLJZ,X,O,X,X,X,X,O
ITOSLZJ,X,O,X,X,X,X,X
ITOSJLZ,X,X,X,O,X,X,O
ITOSJZL,X,X,X,X,X,X,O
ITOSZLJ,X,O,X,X,X,X,X
ITOSZJL,X,O,X,X,X,X,O
ITOZLJS,O,O,O,X,X,X,X
ITOZLSJ,O,O,O,X,X,X,X
ITOZJLS,O,O,X,O,X,X,X
ITOZJSL,O,O,X,X,X,X,X
ITOZSLJ,O,O,O,X,X,X,X
ITOZSJL,O,O,O,X,X,X,X
ILTJSZO,O,O,O,O,X,X,X
ILTJSOZ,O,O,O,O,X,X,X
ILTJZSO,O,O,O,O,X,X,X
ILTJZOS,O,O,O,O,X,X,X
ILTJOSZ,O,O,X,O,X,X,X
ILTJOZS,O,O,O,O,X,X,X
ILTSJZO,O,O,O,X,X,X,X
ILTSJOZ,X,O,O,X,X,X,X
ILTSZJO,O,O,O,X,X,X,X
ILTSZOJ,O,O,O,X,X,X,X
ILTSOJZ,X,O,O,X,X,X,X
ILTSOZJ,O,O,O,X,X,X,X
ILTZJSO,O,O,O,X,X,X,X
ILTZJOS,O,O,O,X,X,X,X
ILTZSJO,O,O,O,X,X,X,X
ILTZSOJ,O,O,O,X,X,X,X
ILTZOJS,O,O,O,X,X,X,X
ILTZOSJ,O,O,O,X,X,X,X
ILTOJSZ,X,O,X,O,X,X,X
ILTOJZS,X,O,O,O,X,X,X
ILTOSJZ,X,O,X,X,X,X,X
ILTOSZJ,O,O,X,X,X,X,X
ILTOZJS,O,O,O,X,X,X,X
ILTOZSJ,O,O,O,X,X,X,X
ILJTSZO,O,O,O,O,X,X,X
ILJTSOZ,O,O,O,O,O,X,X
ILJTZSO,O,O,O,O,X,X,X
ILJTZOS,O,O,O,O,X,X,X
ILJTOSZ,O,O,X,O,O,X,X
ILJTOZS,O,O,O,O,X,X,X
ILJSTZO,O,O,O,O,X,O,X
ILJSTOZ,O,O,O,O,X,X,X
ILJSZTO,O,O,O,O,X,O,X
ILJSZOT,O,O,O,O,X,O,X
ILJSOTZ,O,O,O,O,X,X,X
ILJSOZT,O,O,O,O,X,X,X
ILJZTSO,O,O,O,O,X,X,X
ILJZTOS,O,O,O,O,X,X,X
ILJZSTO,O,O,O,O,X,O,X
ILJZSOT,O,O,O,O,X,O,X
ILJZOTS,O,O,O,O,X,X,X
ILJZOST,O,O,O,O,X,O,X
ILJOTSZ,O,O,X,O,O,X,X
ILJOTZS,O,O,O,O,X,X,X
ILJOSTZ,O,O,O,O,X,X,X
ILJOSZT,O,O,O,O,X,X,X
ILJOZTS,O,O,O,O,X,X,X
ILJOZST,O,O,O,O,X,X,X
ILSTJZO,O,O,O,X,X,X,X
ILSTJOZ,X,O,O,X,X,X,O
ILSTZJO,O,O,O,X,X,X,X
ILSTZOJ,O,O,O,X,X,X,X
ILSTOJZ,X,O,O,X,X,X,O
ILSTOZJ,O,O,O,X,X,X,X
ILSJTZO,O,O,O,O,X,X,X
ILSJTOZ,O,O,O,O,X,X,X
ILSJZTO,O,O,O,O,X,X,X
ILSJZOT,O,O,O,O,X,X,X
ILSJOTZ,O,O,O,O,X,X,X
ILSJOZT,O,O,O,O,X,X,X
ILSZTJO,O,O,O,X,X,X,X
ILSZTOJ,O,O,O,X,X,X,X
ILSZJTO,O,O,O,X,X,X,X
ILSZJOT,O,O,O,X,X,X,X
ILSZOTJ,O,O,O,X,X,X,X
ILSZOJT,O,O,O,X,X,X,X
ILSOTJZ,X,O,O,X,X,X,O
ILSOTZJ,O,O,O,X,X,X,X
ILSOJTZ,X,O,O,O,X,X,X
ILSOJZT,X,O,O,O,X,X,X
ILSOZTJ,O,O,O,X,X,X,X
ILSOZJT,O,O,O,X,X,X,X
ILZTJSO,O,O,O,X,X,X,X
ILZTJOS,O,O,O,X,X,X,X
ILZTSJO,O,O,O,X,X,X,X
ILZTSOJ,O,O,O,X,X,X,X
ILZTOJS,O,O,O,X,X,X,X
ILZTOSJ,O,O,O,X,X,X,X
ILZJTSO,O,O,O,O,X,X,X
ILZJTOS,O,O,O,O,X,X,X
ILZJSTO,O,O,O,O,X,O,X
ILZJSOT,O,O,O,O,X,O,X
ILZJOTS,O,O,O,O,X,X,X
ILZJOST,O,O,O,O,X,O,X
ILZSTJO,O,O,O,X,X,X,X
ILZSTOJ,O,O,O,X,X,X,X
ILZSJTO,O,O,O,X,X,X,X
ILZSJOT,O,O,O,X,X,X,X
ILZSOTJ,O,O,O,X,X,X,X
ILZSOJT,O,O,O,X,X,X,X
ILZOTJS,O,O,O,X,X,X,X
ILZOTSJ,O,O,O,X,X,X,X
ILZOJTS,O,O,O,O,X,X,X
ILZOJST,O,O,O,O,X,O,X
ILZOSTJ,O,O,O,X,X,X,X
ILZOSJT,O,O,O,X,X,X,X
ILOTJSZ,X,O,X,O,X,X,X
ILOTJZS,X,O,O,O,X,X,X
ILOTSJZ,X,O,X,X,X,X,X
ILOTSZJ,O,O,X,X,X,X,X
ILOTZJS,O,O,O,X,X,X,X
ILOTZSJ,O,O,O,X,X,X,X
ILOJTSZ,O,O,X,O,O,X,X
ILOJTZS,O,O,O,O,X,X,X
ILOJSTZ,O,O,O,O,X,X,X
ILOJSZT,O,O,O,O,X,X,X
ILOJZTS,O,O,O,O,X,X,X
ILOJZST,O,O,O,O,X,X,X
ILOSTJZ,X,O,O,X,X,X,O
ILOSTZJ,O,O,O,X,X,X,X
ILOSJTZ,X,O,O,O,X,X,X
ILOSJZT,X,O,O,O,X,X,X
ILOSZTJ,O,O,O,X,X,X,X
ILOSZJT,O,O,O,X,X,X,X
ILOZTJS,O,O,O,X,X,X,X
ILOZTSJ,O,O,O,X,X,X,X
ILOZJTS,O,O,O,O,X,X,X
ILOZJST,O,O,O,O,X,X,X
ILOZSTJ,O,O,O,X,X,X,X
ILOZSJT,O,O,O,X,X,X,X
IJTLSZO,O,O,O,O,X,X,X
IJTLSOZ,O,O,X,O,O,X,X
IJTLZSO,O,O,O,O,X,X,X
IJTLZOS,O,O,O,O,X,X,X
IJTLOSZ,O,O,X,O,O,X,X
IJTLOZS,O,O,O,O,X,X,X
IJTSLZO,O,X,X,O,X,O,X
IJTSLOZ,O,X,X,O,O,X,X
IJTSZLO,O,X,X,X,X,O,X
IJTSZOL,O,X,X,X,O,O,X
IJTSOLZ,X,X,X,O,O,X,X
IJTSOZL,X,X,X,X,O,O,X
IJTZLSO,O,O,O,O,X,X,X
IJTZLOS,O,O,O,O,X,X,X
IJTZSLO,O,O,O,X,X,O,X
IJTZSOL,O,X,O,X,O,O,X
IJTZOLS,O,X,X,O,X,X,X
IJTZOSL,O,X,X,X,O,O,X
IJTOLSZ,O,O,X,O,O,X,X
IJTOLZS,O,O,X,O,X,X,X
IJTOSLZ,X,X,X,O,O,X,X
IJTOSZL,X,X,X,X,O,X,X
IJTOZLS,O,O,X,O,X,X,X
IJTOZSL,O,O,X,X,O,X,X
IJLTSZO,O,O,O,O,X,X,X
IJLTSOZ,O,O,O,O,O,X,X
IJLTZSO,O,O,O,O,X,X,X
IJLTZOS,O,O,O,O,X,X,X
IJLTOSZ,O,O,X,O,O,X,X
IJLTOZS,O,O,O,O,X,X,X
IJLSTZO,O,O,O,O,X,O,X
IJLSTOZ,O,O,O,O,X,X,X
IJLSZTO,O,O,O,O,X,O,X
IJLSZOT,O,O,O,O,X,O,X
IJLSOTZ,O,O,O,O,X,X,X
IJLSOZT,O,O,O,O,X,X,X
IJLZTSO,O,O,O,O,X,X,X
IJLZTOS,O,O,O,O,X,X,X
IJLZSTO,O,O,O,O,X,O,X
IJLZSOT,O,O,O,O,X,O,X
IJLZOTS,O,O,O,O,X,X,X
IJLZOST,O,O,O,O,X,O,X
IJLOTSZ,O,O,X,O,O,X,X
IJLOTZS,O,O,O,O,X,X,X
IJLOSTZ,O,O,O,O,X,X,X
IJLOSZT,O,O,O,O,X,X,X
IJLOZTS,O,O,O,O,X,X,X
IJLOZST,O,O,O,O,X,X,X
IJSTLZO,O,X,X,O,X,O,X
IJSTLOZ,O,X,X,O,O,X,O
IJSTZLO,O,X,X,X,X,O,X
IJSTZOL,O,X,X,X,O,O,O
IJSTOLZ,X,X,X,O,O,X,O
IJSTOZL,X,X,X,X,O,O,O
IJSLTZO,O,X,O,O,X,O,X
IJSLTOZ,O,X,O,O,X,X,X
IJSLZTO,O,X,O,O,X,O,X
IJSLZOT,O,X,O,O,X,O,X
IJSLOTZ,O,X,O,O,X,X,X
IJSLOZT,O,X,O,O,X,X,X
IJSZTLO,O,X,O,X,X,O,X
IJSZTOL,O,X,O,X,X,O,X
IJSZLTO,O,X,O,X,X,O,X
IJSZLOT,O,X,O,X,X,O,X
IJSZOTL,O,X,O,X,X,O,X
IJSZOLT,O,X,O,X,X,O,X
IJSOTLZ,X,X,X,O,O,X,O
IJSOTZL,X,X,X,X,O,O,O
IJSOLTZ,X,X,O,O,X,X,X
IJSOLZT,X,X,O,O,X,X,X
IJSOZTL,X,X,O,X,X,O,X
IJSOZLT,X,X,O,X,X,O,X
IJZTLSO,O,O,O,O,X,X,X
IJZTLOS,O,O,O,O,X,X,X
IJZTSLO,O,O,O,X,X,O,X
IJZTSOL,O,X,O,X,O,O,X
IJZTOLS,O,X,X,O,X,X,X
IJZTOSL,O,X,X,X,O,O,X
IJZLTSO,O,O,O,O,X,X,X
IJZLTOS,O,O,O,O,X,X,X
IJZLSTO,O,O,O,O,X,O,X
IJZLSOT,O,O,O,O,X,O,X
IJZLOTS,O,O,O,O,X,X,X
IJZLOST,O,O,O,O,X,O,X
IJZSTLO,O,O,O,X,X,O,X
IJZSTOL,O,X,O,X,X,O,X
IJZSLTO,O,O,O,X,X,O,X
IJZSLOT,O,O,O,X,X,O,X
IJZSOTL,O,X,O,X,X,O,X
IJZSOLT,O,X,O,X,X,O,X
IJZOTLS,O,O,X,O,X,X,X
IJZOTSL,O,O,X,X,O,O,X
IJZOLTS,O,O,X,O,X,X,X
IJZOLST,O,O,X,O,X,O,X
IJZOSTL,O,O,X,X,X,O,X
IJZOSLT,O,O,X,X,X,O,X
IJOTLSZ,O,O,X,O,O,X,X
IJOTLZS,O,O,X,O,X,X,X
IJOTSLZ,X,X,X,O,O,X,X
IJOTSZL,X,X,X,X,O,X,X
IJOTZLS,O,O,X,O,X,X,X
IJOTZSL,O,O,X,X,O,X,X
IJOLTSZ,O,O,X,O,O,X,X
IJOLTZS,O,O,X,O,X,X,X
IJOLSTZ,O,O,X,O,X,X,X
IJOLSZT,O,O,X,O,X,X,X
IJOLZTS,O,O,X,O,X,X,X
IJOLZST,O,O,X,O,X,X,X
IJOSTLZ,X,X,X,O,O,X,O
IJOSTZL,X,X,X,X,O,O,O
IJOSLTZ,X,X,X,O,X,X,X
IJOSLZT,X,X,X,O,X,X,X
IJOSZTL,X,X,X,X,X,O,X
IJOSZLT,X,X,X,X,X,O,X
IJOZTLS,O,O,X,O,X,X,X
IJOZTSL,O,O,X,X,O,O,X
IJOZLTS,O,O,X,O,X,X,X
IJOZLST,O,O,X,O,X,O,X
IJOZSTL,O,O,X,X,X,O,X
IJOZSLT,O,O,X,X,X,O,X
ISTLJZO,O,O,O,X,X,X,X
ISTLJOZ,X,O,O,X,X,X,O
ISTLZJO,O,O,O,X,X,X,X
ISTLZOJ,O,O,O,X,X,X,X
ISTLOJZ,X,O,O,X,X,X,O
ISTLOZJ,O,O,O,X,X,X,X
ISTJLZO,O,X,X,O,X,X,X
ISTJLOZ,O,X,X,O,X,X,O
ISTJZLO,O,X,X,X,X,X,X
ISTJZOL,O,X,X,X,X,X,O
ISTJOLZ,X,X,X,O,X,X,O
ISTJOZL,X,X,X,X,X,X,O
ISTZLJO,O,O,O,X,X,X,X
ISTZLOJ,O,O,O,X,X,X,X
ISTZJLO,O,O,O,X,X,X,X
ISTZJOL,O,X,O,X,X,X,O
ISTZOLJ,O,O,O,X,X,X,X
ISTZOJL,O,X,O,X,X,X,O
ISTOLJZ,X,O,O,X,O,X,O
ISTOLZJ,X,O,O,X,X,X,X
ISTOJLZ,X,X,X,O,O,X,O
ISTOJZL,X,X,X,X,O,X,O
ISTOZLJ,X,O,O,X,X,X,X
ISTOZJL,X,O,O,X,X,X,O
ISLTJZO,O,O,O,X,X,X,X
ISLTJOZ,X,O,O,X,X,X,O
ISLTZJO,O,O,O,X,X,X,X
ISLTZOJ,O,O,O,X,X,X,X
ISLTOJZ,X,O,O,X,X,X,O
ISLTOZJ,O,O,O,X,X,X,X
ISLJTZO,O,O,O,O,X,X,X
ISLJTOZ,O,O,O,O,X,X,X
ISLJZTO,O,O,O,O,X,X,X
ISLJZOT,O,O,O,O,X,X,X
ISLJOTZ,O,O,O,O,X,X,X
ISLJOZT,O,O,O,O,X,X,X
ISLZTJO,O,O,O,X,X,X,X
ISLZTOJ,O,O,O,X,X,X,X
ISLZJTO,O,O,O,X,X,X,X
ISLZJOT,O,O,O,X,X,X,X
ISLZOTJ,O,O,O,X,X,X,X
ISLZOJT,O,O,O,X,X,X,X
ISLOTJZ,X,O,O,X,X,X,O
ISLOTZJ,O,O,O,X,X,X,X
ISLOJTZ,X,O,O,O,X,X,X
ISLOJZT,X,O,O,O,X,X,X
ISLOZTJ,O,O,O,X,X,X,X
ISLOZJT,O,O,O,X,X,X,X
ISJTLZO,O,X,X,O,X,O,X
ISJTLOZ,O,X,X,O,O,X,O
ISJTZLO,O,X,X,X,X,O,X
ISJTZOL,O,X,X,X,O,O,O
ISJTOLZ,X,X,X,O,O,X,O
ISJTOZL,X,X,X,X,O,O,O
ISJLTZO,O,X,O,O,X,O,X
ISJLTOZ,O,X,O,O,X,X,X
ISJLZTO,O,X,O,O,X,O,X
ISJLZOT,O,X,O,O,X,O,X
ISJLOTZ,O,X,O,O,X,X,X
ISJLOZT,O,X,O,O,X,X,X
ISJZTLO,O,X,O,X,X,O,X
ISJZTOL,O,X,O,X,X,O,X
ISJZLTO,O,X,O,X,X,O,X
ISJZLOT,O,X,O,X,X,O,X
ISJZOTL,O,X,O,X,X,O,X
ISJZOLT,O,X,O,X,X,O,X
ISJOTLZ,X,X,X,O,O,X,O
ISJOTZL,X,X,X,X,O,O,O
ISJOLTZ,X,X,O,O,X,X,X
ISJOLZT,X,X,O,O,X,X,X
ISJOZTL,X,X,O,X,X,O,X
ISJOZLT,X,X,O,X,X,O,X
ISZTLJO,O,O,O,X,X,X,X
ISZTLOJ,O,O,O,X,X,X,X
ISZTJLO,O,O,O,X,X,X,X
ISZTJOL,O,X,O,X,X,X,O
ISZTOLJ,O,O,O,X,X,X,X
ISZTOJL,O,X,O,X,X,X,O
ISZLTJO,O,O,O,X,X,X,X
ISZLTOJ,O,O,O,X,X,X,X
ISZLJTO,O,O,O,X,X,X,X
ISZLJOT,O,O,O,X,X,X,X
ISZLOTJ,O,O,O,X,X,X,X
ISZLOJT,O,O,O,X,X,X,X
ISZJTLO,O,O,O,X,X,O,X
ISZJTOL,O,X,O,X,X,O,X
ISZJLTO,O,O,O,X,X,O,X
ISZJLOT,O,O,O,X,X,O,X
ISZJOTL,O,X,O,X,X,O,X
ISZJOLT,O,X,O,X,X,O,X
ISZOTLJ,O,O,O,X,X,X,X
ISZOTJL,O,O,O,X,X,X,O
ISZOLTJ,O,O,O,X,X,X,X
ISZOLJT,O,O,O,X,X,X,X
ISZOJTL,O,O,O,X,X,O,X
ISZOJLT,O,O,O,X,X,O,X
ISOTLJZ,X,O,O,X,O,X,O
ISOTLZJ,X,O,O,X,X,X,X
ISOTJLZ,X,X,X,O,O,X,O
ISOTJZL,X,X,X,X,O,X,O
ISOTZLJ,X,O,O,X,X,X,X
ISOTZJL,X,O,O,X,X,X,O
ISOLTJZ,X,O,O,X,X,X,O
ISOLTZJ,X,O,O,X,X,X,X
ISOLJTZ,X,O,O,O,X,X,X
ISOLJZT,X,O,O,O,X,X,X
ISOLZTJ,X,O,O,X,X,X,X
ISOLZJT,X,O,O,X,X,X,X
ISOJTLZ,X,X,X,O,O,X,O
ISOJTZL,X,X,X,X,O,X,O
ISOJLTZ,X,X,O,O,X,X,X
ISOJLZT,X,X,O,O,X,X,X
ISOJZTL,X,X,O,X,X,X,X
ISOJZLT,X,X,O,X,X,X,X
ISOZTLJ,X,O,O,X,X,X,X
ISOZTJL,X,O,O,X,X,X,O
ISOZLTJ,X,O,O,X,X,X,X
ISOZLJT,X,O,O,X,X,X,X
ISOZJTL,X,O,O,X,X,X,X
ISOZJLT,X,O,O,X,X,X,X
IZTLJSO,O,O,O,X,X,X,X
IZTLJOS,O,O,O,X,X,X,X
IZTLSJO,O,O,O,X,X,X,X
IZTLSOJ,O,O,O,X,X,X,X
IZTLOJS,O,O,O,X,X,X,X
IZTLOSJ,O,O,O,X,X,X,X
IZTJLSO,O,O,O,O,X,X,X
IZTJLOS,O,O,O,O,X,X,X
IZTJSLO,O,O,O,X,X,O,X
IZTJSOL,O,X,O,X,X,O,X
