sequence,v115@QhA8BeC8CeB8BeD8BeB8JeZEJvhFSlB/mBUiBFjBup?BTsB,v115@QhA8BeC8CeB8BeD8BeB8Je2EJvhFRgBSmB/nBFjBTp?BUsB,v115@QhA8BeC8CeB8BeD8BeB8Jei/IvhFGhB/nBFjBRlBTp?BUsB
TSZIOLJ,O,X,X
TSZIOJL,X,X,X
TSZLIJO,O,X,X
TSZLIOJ,O,X,X
TSZLJIO,O,X,X
TSZLJOI,X,X,X
TSZLOIJ,O,X,X
TSZLOJI,X,X,X
TSZJILO,O,X,X
TSZJIOL,X,X,X
TSZJLIO,O,X,X
TSZJLOI,X,X,X
TSZJOIL,X,X,X
TSZJOLI,X,X,X
TSZOILJ,O,X,X
TSZOIJL,X,X,X
TSZOLIJ,O,X,X
TSZOLJI,X,X,X
TSZOJIL,X,X,X
TSZOJLI,X,X,X
TSOILJZ,O,X,X
TSOILZJ,O,X,X
TSOIJLZ,O,X,X
TSOIJZL,O,X,X
TSOIZLJ,O,X,X
TSOIZJL,O,X,X
TSOLIJZ,O,X,X
TSOLIZJ,O,X,X
TSOLJIZ,O,X,X
TSOLJZI,O,X,X
TSOLZIJ,O,X,X
TSOLZJI,O,X,X
TSOJILZ,O,X,X
TSOJIZL,O,X,X
TSOJLIZ,O,X,X
TSOJLZI,O,X,X
TSOJZIL,O,X,X
TSOJZLI,O,X,X
TSOZILJ,O,X,X
TSOZIJL,O,X,X
TSOZLIJ,O,X,X
TSOZLJI,O,X,X
TSOZJIL,O,X,X
TSOZJLI,O,X,X
TZILJSO,X,X,O
TZILJOS,X,X,X
TZILSJO,O,X,O
TZILSOJ,O,X,O
TZILOJS,X,X,X
TZILOSJ,O,X,X
TZIJLSO,X,X,O
TZIJLOS,X,X,X
TZIJSLO,X,X,O
TZIJSOL,X,X,O
TZIJOLS,X,X,X
TZIJOSL,X,X,X
TZISLJO,O,X,O
TZISLOJ,O,X,O
TZISJLO,O,X,O
TZISJOL,X,X,O
TZISOLJ,O,X,O
TZISOJL,X,X,O
TZIOLJS,X,X,X
TZIOLSJ,O,X,X
TZIOJLS,X,X,X
TZIOJSL,X,X,X
TZIOSLJ,O,X,X
TZIOSJL,O,X,X
TZLIJSO,X,O,X
TZLIJOS,X,X,X
TZLISJO,O,O,X
TZLISOJ,O,O,X
TZLIOJS,X,X,X
TZLIOSJ,O,X,X
TZLJISO,X,O,X
TZLJIOS,X,X,X
TZLJSIO,X,O,X
TZLJSOI,X,O,X
TZLJOIS,X,X,X
TZLJOSI,X,X,X
TZLSIJO,O,O,X
TZLSIOJ,O,O,X
TZLSJIO,O,O,X
TZLSJOI,X,O,X
TZLSOIJ,O,O,X
TZLSOJI,X,O,X
TZLOIJS,X,O,X
TZLOISJ,O,O,X
TZLOJIS,X,O,X
TZLOJSI,X,O,X
TZLOSIJ,O,O,X
TZLOSJI,O,O,X
TZJILSO,X,O,O
TZJILOS,X,X,X
TZJISLO,X,O,O
TZJISOL,X,O,O
TZJIOLS,X,X,X
TZJIOSL,X,X,X
TZJLISO,X,O,X
TZJLIOS,X,X,X
TZJLSIO,X,O,X
TZJLSOI,X,O,X
TZJLOIS,X,X,X
TZJLOSI,X,X,X
TZJSILO,X,O,O
TZJSIOL,X,O,O
TZJSLIO,X,O,O
TZJSLOI,X,O,O
TZJSOIL,X,O,O
TZJSOLI,X,O,O
TZJOILS,X,X,O
TZJOISL,X,X,O
TZJOLIS,X,X,X
TZJOLSI,X,X,O
TZJOSIL,X,X,O
TZJOSLI,X,X,O
TZSILJO,O,O,O
TZSILOJ,O,O,O
TZSIJLO,O,O,O
TZSIJOL,X,O,O
TZSIOLJ,O,O,O
TZSIOJL,X,O,O
TZSLIJO,O,O,O
TZSLIOJ,O,O,O
TZSLJIO,O,O,O
TZSLJOI,X,O,O
TZSLOIJ,O,O,O
TZSLOJI,X,O,O
TZSJILO,O,O,O
TZSJIOL,X,O,O
TZSJLIO,O,O,O
TZSJLOI,X,O,O
TZSJOIL,X,O,O
TZSJOLI,X,O,O
TZSOILJ,O,O,O
TZSOIJL,X,O,O
TZSOLIJ,O,O,O
TZSOLJI,X,O,O
TZSOJIL,X,O,O
TZSOJLI,X,O,O
TZOILJS,X,X,O
TZOILSJ,O,X,O
TZOIJLS,X,X,O
TZOIJSL,X,X,O
TZOISLJ,O,X,O
TZOISJL,O,X,O
TZOLIJS,X,O,O
TZOLISJ,O,O,O
TZOLJIS,X,O,X
TZOLJSI,X,O,O
TZOLSIJ,O,O,O
TZOLSJI,O,O,O
TZOJILS,X,O,O
TZOJISL,X,O,O
TZOJLIS,X,O,X
TZOJLSI,X,O,O
TZOJSIL,X,O,O
TZOJSLI,X,O,O
TZOSILJ,O,O,O
TZOSIJL,O,O,O
TZOSLIJ,O,O,O
TZOSLJI,O,O,O
TZOSJIL,O,O,O
TZOSJLI,O,O,O
TOILJSZ,O,X,X
TOILJZS,X,X,O
TOILSJZ,O,X,X
TOILSZJ,O,X,X
TOILZJS,X,X,O
TOILZSJ,O,X,O
TOIJLSZ,O,X,X
TOIJLZS,X,X,O
TOIJSLZ,O,X,X
TOIJSZL,O,X,X
TOIJZLS,X,X,O
TOIJZSL,X,X,O
TOISLJZ,O,X,X
TOISLZJ,O,X,X
TOISJLZ,O,X,X
TOISJZL,O,X,X
TOISZLJ,O,X,X
TOISZJL,O,X,X
TOIZLJS,X,X,O
TOIZLSJ,O,X,O
TOIZJLS,X,X,O
TOIZJSL,X,X,O
TOIZSLJ,O,X,O
TOIZSJL,O,X,O
TOLIJSZ,O,X,X
TOLIJZS,X,O,O
TOLISJZ,O,X,X
TOLISZJ,O,X,X
TOLIZJS,X,O,O
TOLIZSJ,O,O,O
TOLJISZ,O,X,X
TOLJIZS,X,O,X
TOLJSIZ,O,X,X
TOLJSZI,O,X,X
TOLJZIS,X,O,X
TOLJZSI,X,O,X
TOLSIJZ,O,X,X
TOLSIZJ,O,X,X
TOLSJIZ,O,X,X
TOLSJZI,O,X,X
TOLSZIJ,O,X,X
TOLSZJI,O,X,X
TOLZIJS,X,O,O
TOLZISJ,O,O,O
TOLZJIS,X,O,X
TOLZJSI,X,O,O
TOLZSIJ,O,O,O
TOLZSJI,O,O,O
TOJILSZ,O,X,X
TOJILZS,X,O,X
TOJISLZ,O,X,X
TOJISZL,O,X,X
TOJIZLS,X,O,X
TOJIZSL,X,O,X
TOJLISZ,O,X,X
TOJLIZS,X,O,X
TOJLSIZ,O,X,X
TOJLSZI,O,X,X
TOJLZIS,X,O,X
TOJLZSI,X,O,X
TOJSILZ,O,X,X
TOJSIZL,O,X,X
TOJSLIZ,O,X,X
TOJSLZI,O,X,X
TOJSZIL,O,X,X
TOJSZLI,O,X,X
TOJZILS,X,O,X
TOJZISL,X,O,X
TOJZLIS,X,O,X
TOJZLSI,X,O,X
TOJZSIL,X,O,X
TOJZSLI,X,O,X
TOSILJZ,O,X,X
TOSILZJ,O,X,X
TOSIJLZ,O,X,X
TOSIJZL,O,X,X
TOSIZLJ,O,X,X
TOSIZJL,O,X,X
TOSLIJZ,O,X,X
TOSLIZJ,O,X,X
TOSLJIZ,O,X,X
TOSLJZI,O,X,X
TOSLZIJ,O,X,X
TOSLZJI,O,X,X
TOSJILZ,O,X,X
TOSJIZL,O,X,X
TOSJLIZ,O,X,X
TOSJLZI,O,X,X
TOSJZIL,O,X,X
TOSJZLI,O,X,X
TOSZILJ,O,X,X
TOSZIJL,O,X,X
TOSZLIJ,O,X,X
TOSZLJI,O,X,X
TOSZJIL,O,X,X
TOSZJLI,O,X,X
TOZILJS,X,X,O
TOZILSJ,O,X,O
TOZIJLS,X,X,O
TOZIJSL,X,X,O
TOZISLJ,O,X,O
TOZISJL,O,X,O
TOZLIJS,X,O,O
TOZLISJ,O,O,O
TOZLJIS,X,O,X
TOZLJSI,X,O,O
TOZLSIJ,O,O,O
TOZLSJI,O,O,O
TOZJILS,X,O,O
TOZJISL,X,O,O
TOZJLIS,X,O,X
TOZJLSI,X,O,O
TOZJSIL,X,O,O
TOZJSLI,X,O,O
TOZSILJ,O,O,O
TOZSIJL,O,O,O
TOZSLIJ,O,O,O
TOZSLJI,O,O,O
TOZSJIL,O,O,O
TOZSJLI,O,O,O
ITLJSZO,O,X,X
ITLJSOZ,X,X,X
ITLJZSO,X,X,O
ITLJZOS,X,X,X
ITLJOSZ,O,X,X
ITLJOZS,X,X,X
ITLSJZO,O,X,X
ITLSJOZ,X,X,X
ITLSZJO,O,X,X
ITLSZOJ,O,X,X
ITLSOJZ,O,X,X
ITLSOZJ,O,X,X
ITLZJSO,X,X,O
ITLZJOS,X,X,X
ITLZSJO,O,X,O
ITLZSOJ,O,X,O
ITLZOJS,X,X,X
ITLZOSJ,O,X,X
ITLOJSZ,O,X,X
ITLOJZS,X,X,X
ITLOSJZ,O,X,X
ITLOSZJ,O,X,X
ITLOZJS,X,X,X
ITLOZSJ,O,X,X
ITJLSZO,O,X,X
ITJLSOZ,X,X,X
ITJLZSO,X,X,O
ITJLZOS,X,X,X
ITJLOSZ,O,X,X
ITJLOZS,X,X,X
ITJSLZO,O,X,X
ITJSLOZ,X,X,X
ITJSZLO,O,X,X
ITJSZOL,X,X,X
ITJSOLZ,X,X,X
ITJSOZL,X,X,X
ITJZLSO,X,X,O
ITJZLOS,X,X,X
ITJZSLO,X,X,O
ITJZSOL,X,X,O
ITJZOLS,X,X,X
ITJZOSL,X,X,X
ITJOLSZ,O,X,X
ITJOLZS,X,X,X
ITJOSLZ,O,X,X
ITJOSZL,O,X,X
ITJOZLS,X,X,X
ITJOZSL,X,X,X
ITSLJZO,O,X,X
ITSLJOZ,X,X,X
ITSLZJO,O,X,X
ITSLZOJ,O,X,X
ITSLOJZ,O,X,X
ITSLOZJ,O,X,X
ITSJLZO,O,X,X
ITSJLOZ,X,X,X
ITSJZLO,O,X,X
ITSJZOL,X,X,X
ITSJOLZ,X,X,X
ITSJOZL,X,X,X
ITSZLJO,O,X,X
ITSZLOJ,O,X,X
ITSZJLO,O,X,X
ITSZJOL,X,X,X
ITSZOLJ,O,X,X
ITSZOJL,X,X,X
ITSOLJZ,O,X,X
ITSOLZJ,O,X,X
ITSOJLZ,O,X,X
ITSOJZL,O,X,X
ITSOZLJ,O,X,X
ITSOZJL,O,X,X
ITZLJSO,X,X,O
ITZLJOS,X,X,X
ITZLSJO,O,X,O
ITZLSOJ,O,X,O
ITZLOJS,X,X,X
ITZLOSJ,O,X,X
ITZJLSO,X,X,O
ITZJLOS,X,X,X
ITZJSLO,X,X,O
ITZJSOL,X,X,O
ITZJOLS,X,X,X
ITZJOSL,X,X,X
ITZSLJO,O,X,O
ITZSLOJ,O,X,O
