sequence,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgB/mBUiBGjBVt?BywB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgBihBGjBUoBFs?B3rB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFigBFiBTjBfsBWt?BUrB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgBFiBXjB0mBSt?B2wB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgB/mBFiB8nB+o?BywB
JTSOZLI,O,X,O,X,O
JTZILSO,O,O,X,X,O
JTZILOS,O,O,O,X,O
JTZISLO,O,O,X,X,O
JTZISOL,O,O,X,X,O
JTZIOLS,O,O,O,X,O
JTZIOSL,O,O,X,X,O
JTZLISO,O,O,X,X,O
JTZLIOS,O,O,O,X,O
JTZLSIO,O,O,X,X,O
JTZLSOI,O,O,X,X,O
JTZLOIS,O,O,O,X,O
JTZLOSI,O,O,X,X,O
JTZSILO,O,O,X,X,O
JTZSIOL,O,O,X,X,O
JTZSLIO,O,O,X,X,O
JTZSLOI,O,O,X,X,O
JTZSOIL,O,O,X,X,O
JTZSOLI,O,O,X,X,O
JTZOILS,O,O,O,X,O
JTZOISL,O,O,X,X,O
JTZOLIS,O,O,O,X,O
JTZOLSI,O,O,X,X,O
JTZOSIL,O,O,X,X,O
JTZOSLI,O,O,X,X,O
JTOILSZ,O,X,O,X,X
JTOILZS,O,O,O,X,X
JTOISLZ,O,X,O,X,X
JTOISZL,O,X,O,X,O
JTOIZLS,O,O,O,X,O
JTOIZSL,O,O,X,X,O
JTOLISZ,O,X,O,X,X
JTOLIZS,O,O,O,X,X
JTOLSIZ,O,X,O,X,X
JTOLSZI,O,X,O,X,X
JTOLZIS,O,O,O,X,X
JTOLZSI,O,O,X,X,X
JTOSILZ,O,X,O,X,X
JTOSIZL,O,X,O,X,O
JTOSLIZ,O,X,O,X,X
JTOSLZI,O,X,O,X,X
JTOSZIL,O,X,O,X,O
JTOSZLI,O,X,O,X,O
JTOZILS,O,O,O,X,O
JTOZISL,O,O,X,X,O
JTOZLIS,O,O,O,X,O
JTOZLSI,O,O,X,X,O
JTOZSIL,O,O,X,X,O
JTOZSLI,O,O,X,X,O
JITLSZO,O,X,O,X,X
JITLSOZ,O,X,O,X,X
JITLZSO,O,O,X,X,X
JITLZOS,O,O,O,X,X
JITLOSZ,O,X,O,X,X
JITLOZS,O,O,O,X,X
JITSLZO,O,X,O,X,X
JITSLOZ,O,X,O,X,X
JITSZLO,O,X,O,X,O
JITSZOL,O,X,O,X,O
JITSOLZ,O,X,O,X,X
JITSOZL,O,X,O,X,O
JITZLSO,O,O,X,X,O
JITZLOS,O,O,O,X,O
JITZSLO,O,O,X,X,O
JITZSOL,O,O,X,X,O
JITZOLS,O,O,O,X,O
JITZOSL,O,O,X,X,O
JITOLSZ,O,X,O,X,X
JITOLZS,O,O,O,X,X
JITOSLZ,O,X,O,X,X
JITOSZL,O,X,O,X,O
JITOZLS,O,O,O,X,O
JITOZSL,O,O,X,X,O
JILTSZO,X,X,O,X,X
JILTSOZ,X,X,O,X,X
JILTZSO,X,O,X,X,X
JILTZOS,X,O,O,X,X
JILTOSZ,X,X,O,X,X
JILTOZS,X,O,O,X,X
JILSTZO,X,X,O,X,X
JILSTOZ,X,X,O,X,X
JILSZTO,X,X,O,O,O
JILSZOT,X,X,O,O,O
JILSOTZ,X,X,O,X,X
JILSOZT,X,X,O,O,O
JILZTSO,X,X,X,O,O
JILZTOS,X,O,O,O,O
JILZSTO,X,X,O,O,O
JILZSOT,X,O,O,O,O
JILZOTS,X,O,O,O,O
JILZOST,X,O,O,O,O
JILOTSZ,X,X,O,X,X
JILOTZS,X,O,O,X,X
JILOSTZ,X,X,O,X,X
JILOSZT,X,X,O,O,O
JILOZTS,X,O,O,O,O
JILOZST,X,O,O,O,O
JISTLZO,O,X,O,X,X
JISTLOZ,O,X,O,X,X
JISTZLO,O,X,O,X,O
JISTZOL,O,X,O,X,O
JISTOLZ,O,X,O,X,X
JISTOZL,O,X,O,X,O
JISLTZO,X,X,O,X,X
JISLTOZ,X,X,O,X,X
JISLZTO,X,X,O,X,O
JISLZOT,X,X,O,X,O
JISLOTZ,X,X,O,X,X
JISLOZT,X,X,O,X,O
JISZTLO,O,X,O,X,O
JISZTOL,O,X,O,X,O
JISZLTO,X,X,O,X,O
JISZLOT,X,X,O,X,O
JISZOTL,O,X,O,X,O
JISZOLT,X,X,O,X,O
JISOTLZ,O,X,O,X,X
JISOTZL,O,X,O,X,O
JISOLTZ,X,X,O,X,X
JISOLZT,X,X,O,X,O
JISOZTL,O,X,O,X,O
JISOZLT,X,X,O,X,O
JIZTLSO,X,O,X,O,O
JIZTLOS,X,O,O,O,O
JIZTSLO,X,O,X,X,O
JIZTSOL,X,O,X,X,O
JIZTOLS,X,O,O,O,O
JIZTOSL,X,O,X,X,O
JIZLTSO,X,O,X,O,O
JIZLTOS,X,O,O,O,O
JIZLSTO,X,X,O,O,O
JIZLSOT,X,O,O,O,O
JIZLOTS,X,O,O,O,O
JIZLOST,X,O,O,O,O
JIZSTLO,X,O,O,X,O
JIZSTOL,X,O,O,X,O
JIZSLTO,X,X,O,X,O
JIZSLOT,X,O,O,X,O
JIZSOTL,X,O,O,X,O
JIZSOLT,X,O,O,X,O
JIZOTLS,X,O,O,O,O
JIZOTSL,X,O,X,X,O
JIZOLTS,X,O,O,O,O
JIZOLST,X,O,O,O,O
JIZOSTL,X,O,O,X,O
JIZOSLT,X,O,O,X,O
JIOTLSZ,O,X,O,X,X
JIOTLZS,O,O,O,X,X
JIOTSLZ,O,X,O,X,X
JIOTSZL,O,X,O,X,O
JIOTZLS,O,O,O,X,O
JIOTZSL,O,O,X,X,O
JIOLTSZ,X,X,O,X,X
JIOLTZS,X,O,O,X,X
JIOLSTZ,X,X,O,X,X
JIOLSZT,X,X,O,O,O
JIOLZTS,X,O,O,O,O
JIOLZST,X,O,O,O,O
JIOSTLZ,O,X,O,X,X
JIOSTZL,O,X,O,X,O
JIOSLTZ,X,X,O,X,X
JIOSLZT,X,X,O,X,O
JIOSZTL,O,X,O,X,O
JIOSZLT,X,X,O,X,O
JIOZTLS,X,O,O,O,O
JIOZTSL,X,O,X,X,O
JIOZLTS,X,O,O,O,O
JIOZLST,X,O,O,O,O
JIOZSTL,X,O,O,X,O
JIOZSLT,X,O,O,X,O
JLTISZO,X,X,O,X,X
JLTISOZ,X,X,O,X,X
JLTIZSO,X,O,X,X,X
JLTIZOS,X,O,O,X,X
JLTIOSZ,X,X,O,X,X
JLTIOZS,X,O,O,X,X
JLTSIZO,X,X,O,X,X
JLTSIOZ,X,X,O,X,X
JLTSZIO,X,X,O,X,X
JLTSZOI,X,X,O,X,X
JLTSOIZ,X,X,O,X,X
JLTSOZI,X,X,O,X,X
JLTZISO,X,O,X,X,X
JLTZIOS,X,O,O,X,X
JLTZSIO,X,O,X,X,X
JLTZSOI,X,O,X,X,X
JLTZOIS,X,O,O,X,X
JLTZOSI,X,O,X,X,X
JLTOISZ,X,X,O,X,X
JLTOIZS,X,O,O,X,X
JLTOSIZ,X,X,O,X,X
JLTOSZI,X,X,O,X,X
JLTOZIS,X,O,O,X,X
JLTOZSI,X,O,X,X,X
JLITSZO,X,X,O,X,X
JLITSOZ,X,X,O,X,X
JLITZSO,X,O,X,X,X
JLITZOS,X,O,O,X,X
JLITOSZ,X,X,O,X,X
JLITOZS,X,O,O,X,X
JLISTZO,X,X,O,X,X
JLISTOZ,X,X,O,X,X
JLISZTO,X,X,O,O,O
JLISZOT,X,X,O,O,O
JLISOTZ,X,X,O,X,X
JLISOZT,X,X,O,O,O
JLIZTSO,X,X,X,O,O
JLIZTOS,X,O,O,O,O
JLIZSTO,X,X,O,O,O
JLIZSOT,X,O,O,O,O
JLIZOTS,X,O,O,O,O
JLIZOST,X,O,O,O,O
JLIOTSZ,X,X,O,X,X
JLIOTZS,X,O,O,X,X
JLIOSTZ,X,X,O,X,X
JLIOSZT,X,X,O,O,O
JLIOZTS,X,O,O,O,O
JLIOZST,X,O,O,O,O
JLSTIZO,X,X,O,X,X
JLSTIOZ,X,X,O,X,X
JLSTZIO,X,X,O,X,X
JLSTZOI,X,X,O,X,X
JLSTOIZ,X,X,O,X,X
JLSTOZI,X,X,O,X,X
JLSITZO,X,X,O,X,X
JLSITOZ,X,X,O,X,X
JLSIZTO,X,X,O,O,O
JLSIZOT,X,X,O,O,O
JLSIOTZ,X,X,O,X,X
JLSIOZT,X,X,O,O,O
JLSZTIO,X,X,O,O,O
JLSZTOI,X,X,O,O,O
JLSZITO,X,X,O,O,O
JLSZIOT,X,X,O,O,O
JLSZOTI,X,X,O,O,O
JLSZOIT,X,X,O,O,O
JLSOTIZ,X,X,O,X,X
JLSOTZI,X,X,O,X,X
JLSOITZ,X,X,O,X,X
JLSOIZT,X,X,O,O,O
JLSOZTI,X,X,O,O,O
JLSOZIT,X,X,O,O,O
JLZTISO,X,X,X,O,O
JLZTIOS,X,O,O,O,O
JLZTSIO,X,X,X,O,O
JLZTSOI,X,X,X,O,O
JLZTOIS,X,O,O,O,O
JLZTOSI,X,X,X,O,O
JLZITSO,X,X,X,O,O
JLZITOS,X,O,O,O,O
JLZISTO,X,X,O,O,O
JLZISOT,X,O,O,O,O
JLZIOTS,X,O,O,O,O
JLZIOST,X,O,O,O,O
JLZSTIO,X,X,O,O,O
JLZSTOI,X,X,O,O,O
JLZSITO,X,X,O,O,O
JLZSIOT,X,O,O,O,O
JLZSOTI,X,X,O,O,O
JLZSOIT,X,O,O,O,O
JLZOTIS,X,O,O,O,O
JLZOTSI,X,X,X,O,O
JLZOITS,X,O,O,O,O
JLZOIST,X,O,O,O,O
JLZOSTI,X,X,O,O,O
JLZOSIT,X,O,O,O,O
JLOTISZ,X,X,O,X,X
JLOTIZS,X,O,O,X,X
JLOTSIZ,X,X,O,X,X
JLOTSZI,X,X,O,X,X
JLOTZIS,X,O,O,X,X
JLOTZSI,X,O,X,X,X
JLOITSZ,X,X,O,X,X
JLOITZS,X,O,O,X,X
JLOISTZ,X,X,O,X,X
JLOISZT,X,X,O,O,O
JLOIZTS,X,O,O,O,O
JLOIZST,X,O,O,O,O
JLOSTIZ,X,X,O,X,X
JLOSTZI,X,X,O,X,X
JLOSITZ,X,X,O,X,X
JLOSIZT,X,X,O,O,O
JLOSZTI,X,X,O,O,O
JLOSZIT,X,X,O,O,O
JLOZTIS,X,O,O,O,O
JLOZTSI,X,X,X,O,O
JLOZITS,X,O,O,O,O
JLOZIST,X,O,O,O,O
JLOZSTI,X,X,O,O,O
JLOZSIT,X,O,O,O,O
JSTILZO,O,X,O,X,X
JSTILOZ,O,X,O,X,X
JSTIZLO,O,X,O,X,O
JSTIZOL,O,X,O,X,O
JSTIOLZ,O,X,O,X,X
JSTIOZL,O,X,O,X,O
JSTLIZO,O,X,O,X,X
JSTLIOZ,O,X,O,X,X
JSTLZIO,O,X,O,X,X
JSTLZOI,O,X,O,X,X
JSTLOIZ,O,X,O,X,X
JSTLOZI,O,X,O,X,X
JSTZILO,O,X,O,X,O
JSTZIOL,O,X,O,X,O
JSTZLIO,O,X,O,X,O
JSTZLOI,O,X,O,X,O
JSTZOIL,O,X,O,X,O
JSTZOLI,O,X,O,X,O
JSTOILZ,O,X,O,X,X
JSTOIZL,O,X,O,X,O
JSTOLIZ,O,X,O,X,X
JSTOLZI,O,X,O,X,X
JSTOZIL,O,X,O,X,O
JSTOZLI,O,X,O,X,O
JSITLZO,O,X,O,X,X
JSITLOZ,O,X,O,X,X
JSITZLO,O,X,O,X,O
JSITZOL,O,X,O,X,O
JSITOLZ,O,X,O,X,X
JSITOZL,O,X,O,X,O
JSILTZO,X,X,O,X,X
JSILTOZ,X,X,O,X,X
JSILZTO,X,X,O,X,O
JSILZOT,X,X,O,X,O
JSILOTZ,X,X,O,X,X
JSILOZT,X,X,O,X,O
JSIZTLO,O,X,O,X,O
JSIZTOL,O,X,O,X,O
JSIZLTO,X,X,O,X,O
JSIZLOT,X,X,O,X,O
JSIZOTL,O,X,O,X,O
JSIZOLT,X,X,O,X,O
JSIOTLZ,O,X,O,X,X
JSIOTZL,O,X,O,X,O
JSIOLTZ,X,X,O,X,X
JSIOLZT,X,X,O,X,O
JSIOZTL,O,X,O,X,O
JSIOZLT,X,X,O,X,O
JSLTIZO,X,X,O,X,X
JSLTIOZ,X,X,O,X,X
JSLTZIO,X,X,O,X,X
JSLTZOI,X,X,O,X,X
JSLTOIZ,X,X,O,X,X
JSLTOZI,X,X,O,X,X
JSLITZO,X,X,O,X,X
JSLITOZ,X,X,O,X,X
JSLIZTO,X,X,O,X,O
JSLIZOT,X,X,O,X,O
JSLIOTZ,X,X,O,X,X
JSLIOZT,X,X,O,X,O
JSLZTIO,X,X,O,X,O
JSLZTOI,X,X,O,X,O
JSLZITO,X,X,O,X,O
JSLZIOT,X,X,O,X,O
JSLZOTI,X,X,O,X,O
JSLZOIT,X,X,O,X,O
JSLOTIZ,X,X,O,X,X
JSLOTZI,X,X,O,X,X
JSLOITZ,X,X,O,X,X
JSLOIZT,X,X,O,X,O
JSLOZTI,X,X,O,X,O
JSLOZIT,X,X,O,X,O
JSZTILO,O,X,O,X,O
JSZTIOL,O,X,O,X,O
JSZTLIO,O,X,O,X,O
JSZTLOI,O,X,O,X,O
JSZTOIL,O,X,O,X,O
JSZTOLI,O,X,O,X,O
JSZITLO,O,X,O,X,O
JSZITOL,O,X,O,X,O
JSZILTO,X,X,O,X,O
JSZILOT,X,X,O,X,O
JSZIOTL,O,X,O,X,O
JSZIOLT,X,X,O,X,O
JSZLTIO,X,X,O,X,O
JSZLTOI,X,X,O,X,O
JSZLITO,X,X,O,X,O
JSZLIOT,X,X,O,X,O
JSZLOTI,X,X,O,X,O
JSZLOIT,X,X,O,X,O
JSZOTIL,O,X,O,X,O
JSZOTLI,O,X,O,X,O
JSZOITL,O,X,O,X,O
JSZOILT,X,X,O,X,O
JSZOLTI,X,X,O,X,O
JSZOLIT,X,X,O,X,O
JSOTILZ,O,X,O,X,X
JSOTIZL,O,X,O,X,O
JSOTLIZ,O,X,O,X,X
JSOTLZI,O,X,O,X,X
JSOTZIL,O,X,O,X,O
JSOTZLI,O,X,O,X,O
JSOITLZ,O,X,O,X,X
JSOITZL,O,X,O,X,O
JSOILTZ,X,X,O,X,X
JSOILZT,X,X,O,X,O
JSOIZTL,O,X,O,X,O
JSOIZLT,X,X,O,X,O
JSOLTIZ,X,X,O,X,X
JSOLTZI,X,X,O,X,X
JSOLITZ,X,X,O,X,X
JSOLIZT,X,X,O,X,O
JSOLZTI,X,X,O,X,O
JSOLZIT,X,X,O,X,O
JSOZTIL,O,X,O,X,O
JSOZTLI,O,X,O,X,O
JSOZITL,O,X,O,X,O
JSOZILT,X,X,O,X,O
JSOZLTI,X,X,O,X,O
JSOZLIT,X,X,O,X,O
JZTILSO,X,O,X,O,O
JZTILOS,X,O,O,O,O
JZTISLO,X,O,X,X,O
JZTISOL,X,O,X,X,O
JZTIOLS,X,O,O,O,O
JZTIOSL,X,O,X,X,O
JZTLISO,X,O,X,O,O
JZTLIOS,X,O,O,O,O
JZTLSIO,X,O,X,O,O
JZTLSOI,X,O,X,O,O
JZTLOIS,X,O,O,O,O
JZTLOSI,X,O,X,O,O
JZTSILO,X,O,X,X,O
JZTSIOL,X,O,X,X,O
JZTSLIO,X,O,X,X,O
JZTSLOI,X,O,X,X,O
JZTSOIL,X,O,X,X,O
JZTSOLI,X,O,X,X,O
JZTOILS,X,O,O,O,O
JZTOISL,X,O,X,X,O
JZTOLIS,X,O,O,O,O
JZTOLSI,X,O,X,O,O
JZTOSIL,X,O,X,X,O
JZTOSLI,X,O,X,X,O
JZITLSO,X,O,X,O,O
JZITLOS,X,O,O,O,O
JZITSLO,X,O,X,X,O
JZITSOL,X,O,X,X,O
JZITOLS,X,O,O,O,O
JZITOSL,X,O,X,X,O
JZILTSO,X,O,X,O,O
JZILTOS,X,O,O,O,O
JZILSTO,X,X,O,O,O
JZILSOT,X,O,O,O,O
JZILOTS,X,O,O,O,O
JZILOST,X,O,O,O,O
JZISTLO,X,O,O,X,O
JZISTOL,X,O,O,X,O
JZISLTO,X,X,O,X,O
JZISLOT,X,O,O,X,O
JZISOTL,X,O,O,X,O
JZISOLT,X,O,O,X,O
JZIOTLS,X,O,O,O,O
JZIOTSL,X,O,X,X,O
JZIOLTS,X,O,O,O,O
JZIOLST,X,O,O,O,O
JZIOSTL,X,O,O,X,O
JZIOSLT,X,O,O,X,O
JZLTISO,X,O,X,O,O
JZLTIOS,X,O,O,O,O
JZLTSIO,X,O,X,O,O
JZLTSOI,X,O,X,O,O
JZLTOIS,X,O,O,O,O
JZLTOSI,X,O,X,O,O
JZLITSO,X,O,X,O,O
JZLITOS,X,O,O,O,O
JZLISTO,X,X,O,O,O
JZLISOT,X,O,O,O,O
JZLIOTS,X,O,O,O,O
JZLIOST,X,O,O,O,O
JZLSTIO,X,X,O,O,O
JZLSTOI,X,X,O,O,O
JZLSITO,X,X,O,O,O
JZLSIOT,X,O,O,O,O
JZLSOTI,X,X,O,O,O
JZLSOIT,X,O,O,O,O
JZLOTIS,X,O,O,O,O
JZLOTSI,X,O,X,O,O
JZLOITS,X,O,O,O,O
JZLOIST,X,O,O,O,O
JZLOSTI,X,X,O,O,O
JZLOSIT,X,O,O,O,O
JZSTILO,X,O,O,X,O
JZSTIOL,X,O,O,X,O
JZSTLIO,X,O,O,X,O
JZSTLOI,X,O,O,X,O
JZSTOIL,X,O,O,X,O
JZSTOLI,X,O,O,X,O
JZSITLO,X,O,O,X,O
JZSITOL,X,O,O,X,O
JZSILTO,X,X,O,X,O
JZSILOT,X,O,O,X,O
JZSIOTL,X,O,O,X,O
JZSIOLT,X,O,O,X,O
JZSLTIO,X,X,O,X,O
JZSLTOI,X,X,O,X,O
JZSLITO,X,X,O,X,O
JZSLIOT,X,O,O,X,O
JZSLOTI,X,X,O,X,O
JZSLOIT,X,O,O,X,O
JZSOTIL,X,O,O,X,O
JZSOTLI,X,O,O,X,O
JZSOITL,X,O,O,X,O
JZSOILT,X,O,O,X,O
JZSOLTI,X,X,O,X,O
JZSOLIT,X,O,O,X,O
JZOTILS,X,O,O,O,O
JZOTISL,X,O,X,X,O
JZOTLIS,X,O,O,O,O
JZOTLSI,X,O,X,O,O
JZOTSIL,X,O,X,X,O
JZOTSLI,X,O,X,X,O
JZOITLS,X,O,O,O,O
JZOITSL,X,O,X,X,O
JZOILTS,X,O,O,O,O
JZOILST,X,O,O,O,O
JZOISTL,X,O,O,X,O
JZOISLT,X,O,O,X,O
JZOLTIS,X,O,O,O,O
JZOLTSI,X,O,X,O,O
JZOLITS,X,O,O,O,O
JZOLIST,X,O,O,O,O
JZOLSTI,X,X,O,O,O
JZOLSIT,X,O,O,O,O
JZOSTIL,X,O,O,X,O
JZOSTLI,X,O,O,X,O
JZOSITL,X,O,O,X,O
JZOSILT,X,O,O,X,O
JZOSLTI,X,X,O,X,O
JZOSLIT,X,O,O,X,O
JOTILSZ,O,X,O,X,X
JOTILZS,O,O,O,X,X
JOTISLZ,O,X,O,X,X
JOTISZL,O,X,O,X,O
JOTIZLS,O,O,O,X,O
JOTIZSL,O,O,X,X,O
JOTLISZ,O,X,O,X,X
JOTLIZS,O,O,O,X,X
JOTLSIZ,O,X,O,X,X
JOTLSZI,O,X,O,X,X
JOTLZIS,O,O,O,X,X
JOTLZSI,O,O,X,X,X
JOTSILZ,O,X,O,X,X
JOTSIZL,O,X,O,X,O
JOTSLIZ,O,X,O,X,X
JOTSLZI,O,X,O,X,X
JOTSZIL,O,X,O,X,O
JOTSZLI,O,X,O,X,O
JOTZILS,O,O,O,X,O
JOTZISL,O,O,X,X,O
JOTZLIS,O,O,O,X,O
JOTZLSI,O,O,X,X,O
JOTZSIL,O,O,X,X,O
JOTZSLI,O,O,X,X,O
JOITLSZ,O,X,O,X,X
JOITLZS,O,O,O,X,X
JOITSLZ,O,X,O,X,X
JOITSZL,O,X,O,X,O
JOITZLS,O,O,O,X,O
JOITZSL,O,O,X,X,O
JOILTSZ,X,X,O,X,X
JOILTZS,X,O,O,X,X
JOILSTZ,X,X,O,X,X
JOILSZT,X,X,O,O,O
JOILZTS,X,O,O,O,O
JOILZST,X,O,O,O,O
JOISTLZ,O,X,O,X,X
JOISTZL,O,X,O,X,O
JOISLTZ,X,X,O,X,X
JOISLZT,X,X,O,X,O
JOISZTL,O,X,O,X,O
JOISZLT,X,X,O,X,O
JOIZTLS,X,O,O,O,O
JOIZTSL,X,O,X,X,O
JOIZLTS,X,O,O,O,O
JOIZLST,X,O,O,O,O
JOIZSTL,X,O,O,X,O
JOIZSLT,X,O,O,X,O
JOLTISZ,X,X,O,X,X
JOLTIZS,X,O,O,X,X
JOLTSIZ,X,X,O,X,X
JOLTSZI,X,X,O,X,X
JOLTZIS,X,O,O,X,X
JOLTZSI,X,O,X,X,X
JOLITSZ,X,X,O,X,X
JOLITZS,X,O,O,X,X
JOLISTZ,X,X,O,X,X
JOLISZT,X,X,O,O,O
JOLIZTS,X,O,O,O,O
JOLIZST,X,O,O,O,O
JOLSTIZ,X,X,O,X,X
JOLSTZI,X,X,O,X,X
JOLSITZ,X,X,O,X,X
JOLSIZT,X,X,O,O,O
JOLSZTI,X,X,O,O,O
JOLSZIT,X,X,O,O,O
JOLZTIS,X,O,O,O,O
JOLZTSI,X,X,X,O,O
JOLZITS,X,O,O,O,O
JOLZIST,X,O,O,O,O
JOLZSTI,X,X,O,O,O
JOLZSIT,X,O,O,O,O
JOSTILZ,O,X,O,X,X
JOSTIZL,O,X,O,X,O
JOSTLIZ,O,X,O,X,X
JOSTLZI,O,X,O,X,X
JOSTZIL,O,X,O,X,O
JOSTZLI,O,X,O,X,O
JOSITLZ,O,X,O,X,X
JOSITZL,O,X,O,X,O
JOSILTZ,X,X,O,X,X
JOSILZT,X,X,O,X,O
JOSIZTL,O,X,O,X,O
JOSIZLT,X,X,O,X,O
JOSLTIZ,X,X,O,X,X
JOSLTZI,X,X,O,X,X
JOSLITZ,X,X,O,X,X
JOSLIZT,X,X,O,X,O
JOSLZTI,X,X,O,X,O
JOSLZIT,X,X,O,X,O
JOSZTIL,O,X,O,X,O
JOSZTLI,O,X,O,X,O
JOSZITL,O,X,O,X,O
JOSZILT,X,X,O,X,O
JOSZLTI,X,X,O,X,O
JOSZLIT,X,X,O,X,O
JOZTILS,X,O,O,O,O
JOZTISL,X,O,X,X,O
JOZTLIS,X,O,O,O,O
JOZTLSI,X,O,X,O,O
JOZTSIL,X,O,X,X,O
JOZTSLI,X,O,X,X,O
JOZITLS,X,O,O,O,O
JOZITSL,X,O,X,X,O
JOZILTS,X,O,O,O,O
JOZILST,X,O,O,O,O
JOZISTL,X,O,O,X,O
JOZISLT,X,O,O,X,O
JOZLTIS,X,O,O,O,O
JOZLTSI,X,O,X,O,O
JOZLITS,X,O,O,O,O
JOZLIST,X,O,O,O,O
JOZLSTI,X,X,O,O,O
JOZLSIT,X,O,O,O,O
JOZSTIL,X,O,O,X,O
JOZSTLI,X,O,O,X,O
JOZSITL,X,O,O,X,O
JOZSILT,X,O,O,X,O
JOZSLTI,X,X,O,X,O
JOZSLIT,X,O,O,X,O
STILJZO,O,X,O,X,X
STILJOZ,O,X,O,X,X
STILZJO,O,O,O,X,X
STILZOJ,O,O,X,X,X
STILOJZ,O,X,O,X,X
STILOZJ,O,O,X,X,X
STIJLZO,O,X,O,X,X
STIJLOZ,O,X,O,X,X
STIJZLO,O,X,O,X,O
STIJZOL,O,X,O,X,O
STIJOLZ,O,X,O,X,X
STIJOZL,O,X,O,X,O
STIZLJO,O,O,O,X,X
STIZLOJ,O,O,X,X,X
STIZJLO,O,O,O,X,X
STIZJOL,O,O,O,X,X
STIZOLJ,O,O,X,X,X
STIZOJL,O,O,X,X,X
STIOLJZ,O,X,O,X,X
STIOLZJ,O,O,X,X,X
STIOJLZ,O,X,O,X,X
STIOJZL,O,X,O,X,O
STIOZLJ,O,O,X,X,X
STIOZJL,O,O,X,X,X
STLIJZO,O,X,O,X,X
STLIJOZ,O,X,O,X,X
STLIZJO,O,O,O,X,X
STLIZOJ,O,O,X,X,X
STLIOJZ,O,X,O,X,X
STLIOZJ,O,O,X,X,X
STLJIZO,O,X,O,X,X
STLJIOZ,O,X,O,X,X
STLJZIO,O,X,O,X,X
STLJZOI,O,X,O,X,X
STLJOIZ,O,X,O,X,X
STLJOZI,O,X,O,X,X
STLZIJO,O,O,O,X,X
STLZIOJ,O,O,X,X,X
STLZJIO,O,O,O,X,X
STLZJOI,O,O,O,X,X
STLZOIJ,O,O,X,X,X
STLZOJI,O,O,X,X,X
STLOIJZ,O,X,O,X,X
STLOIZJ,O,O,X,X,X
STLOJIZ,O,X,O,X,X
STLOJZI,O,X,O,X,X
STLOZIJ,O,O,X,X,X
STLOZJI,O,O,X,X,X
STJILZO,O,X,O,X,X
STJILOZ,O,X,O,X,X
STJIZLO,O,X,O,X,O
STJIZOL,O,X,O,X,O
STJIOLZ,O,X,O,X,X
STJIOZL,O,X,O,X,O
STJLIZO,O,X,O,X,X
STJLIOZ,O,X,O,X,X
STJLZIO,O,X,O,X,X
STJLZOI,O,X,O,X,X
STJLOIZ,O,X,O,X,X
STJLOZI,O,X,O,X,X
STJZILO,O,X,O,X,O
STJZIOL,O,X,O,X,O
STJZLIO,O,X,O,X,O
STJZLOI,O,X,O,X,O
STJZOIL,O,X,O,X,O
STJZOLI,O,X,O,X,O
STJOILZ,O,X,O,X,X
STJOIZL,O,X,O,X,O
STJOLIZ,O,X,O,X,X
STJOLZI,O,X,O,X,X
STJOZIL,O,X,O,X,O
STJOZLI,O,X,O,X,O
STZILJO,O,O,O,X,X
STZILOJ,O,O,X,X,X
STZIJLO,O,O,O,X,X
STZIJOL,O,O,O,X,X
STZIOLJ,O,O,X,X,X
STZIOJL,O,O,X,X,X
STZLIJO,O,O,O,X,X
STZLIOJ,O,O,X,X,X
STZLJIO,O,O,O,X,X
STZLJOI,O,O,O,X,X
STZLOIJ,O,O,X,X,X
STZLOJI,O,O,X,X,X
STZJILO,O,O,O,X,X
STZJIOL,O,O,O,X,X
STZJLIO,O,O,O,X,X
STZJLOI,O,O,O,X,X
STZJOIL,O,O,O,X,X
STZJOLI,O,O,O,X,X
STZOILJ,O,O,X,X,X
STZOIJL,O,O,X,X,X
STZOLIJ,O,O,X,X,X
STZOLJI,O,O,X,X,X
STZOJIL,O,O,X,X,X
STZOJLI,O,O,X,X,X
STOILJZ,O,X,O,X,X
STOILZJ,O,O,X,X,X
STOIJLZ,O,X,O,X,X
STOIJZL,O,X,O,X,O
STOIZLJ,O,O,X,X,X
STOIZJL,O,O,X,X,X
STOLIJZ,O,X,O,X,X
STOLIZJ,O,O,X,X,X
STOLJIZ,O,X,O,X,X
STOLJZI,O,X,O,X,X
STOLZIJ,O,O,X,X,X
STOLZJI,O,O,X,X,X
STOJILZ,O,X,O,X,X
STOJIZL,O,X,O,X,O
STOJLIZ,O,X,O,X,X
STOJLZI,O,X,O,X,X
STOJZIL,O,X,O,X,O
STOJZLI,O,X,O,X,O
STOZILJ,O,O,X,X,X
STOZIJL,O,O,X,X,X
STOZLIJ,O,O,X,X,X
STOZLJI,O,O,X,X,X
STOZJIL,O,O,X,X,X
STOZJLI,O,O,X,X,X
SITLJZO,O,X,O,X,X
SITLJOZ,O,X,O,X,X
SITLZJO,O,O,O,X,X
SITLZOJ,O,O,X,X,X
SITLOJZ,O,X,O,X,X
SITLOZJ,O,O,X,X,X
SITJLZO,O,X,O,X,X
SITJLOZ,O,X,O,X,X
SITJZLO,O,X,O,X,O
SITJZOL,O,X,O,X,O
