sequence,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgB/mBUiBGjBVt?BywB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgBihBGjBUoBFs?B3rB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFigBFiBTjBfsBWt?BUrB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgBFiBXjB0mBSt?B2wB,v115@+gA8IeA8IeD8FeC8CeC8JeZEJvhFTgB/mBFiB8nB+o?BywB
TSOJILZ,O,X,O,X,X
TSOJIZL,O,X,O,X,O
TSOJLIZ,O,X,O,X,X
TSOJLZI,O,X,O,X,X
TSOJZIL,O,X,O,X,O
TSOJZLI,O,X,O,X,O
TSOZILJ,O,O,X,X,X
TSOZIJL,O,O,X,X,X
TSOZLIJ,O,O,X,X,X
TSOZLJI,O,O,X,X,X
TSOZJIL,O,O,X,X,X
TSOZJLI,O,O,X,X,X
TZILJSO,O,O,X,O,X
TZILJOS,O,O,X,O,X
TZILSJO,O,O,X,O,X
TZILSOJ,O,O,X,O,X
TZILOJS,O,O,X,O,X
TZILOSJ,O,O,X,O,X
TZIJLSO,O,O,X,O,X
TZIJLOS,O,O,X,O,X
TZIJSLO,O,O,X,X,X
TZIJSOL,O,O,X,X,X
TZIJOLS,O,O,X,O,X
TZIJOSL,O,O,X,X,X
TZISLJO,O,O,X,O,X
TZISLOJ,O,O,X,O,X
TZISJLO,O,O,X,X,X
TZISJOL,O,O,X,X,X
TZISOLJ,O,O,X,O,X
TZISOJL,O,O,X,X,X
TZIOLJS,O,O,X,O,X
TZIOLSJ,O,O,X,O,X
TZIOJLS,O,O,X,O,X
TZIOJSL,O,O,X,X,X
TZIOSLJ,O,O,X,O,X
TZIOSJL,O,O,X,X,X
TZLIJSO,O,O,X,O,X
TZLIJOS,O,O,X,O,X
TZLISJO,O,O,X,O,X
TZLISOJ,O,O,X,O,X
TZLIOJS,O,O,X,O,X
TZLIOSJ,O,O,X,O,X
TZLJISO,O,O,X,O,X
TZLJIOS,O,O,X,O,X
TZLJSIO,O,O,X,O,X
TZLJSOI,O,O,X,O,X
TZLJOIS,O,O,X,O,X
TZLJOSI,O,O,X,O,X
TZLSIJO,O,O,X,O,X
TZLSIOJ,O,O,X,O,X
TZLSJIO,O,O,X,O,X
TZLSJOI,O,O,X,O,X
TZLSOIJ,O,O,X,O,X
TZLSOJI,O,O,X,O,X
TZLOIJS,O,O,X,O,X
TZLOISJ,O,O,X,O,X
TZLOJIS,O,O,X,O,X
TZLOJSI,O,O,X,O,X
TZLOSIJ,O,O,X,O,X
TZLOSJI,O,O,X,O,X
TZJILSO,O,O,X,O,X
TZJILOS,O,O,X,O,X
TZJISLO,O,O,X,X,X
TZJISOL,O,O,X,X,X
TZJIOLS,O,O,X,O,X
TZJIOSL,O,O,X,X,X
TZJLISO,O,O,X,O,X
TZJLIOS,O,O,X,O,X
TZJLSIO,O,O,X,O,X
TZJLSOI,O,O,X,O,X
TZJLOIS,O,O,X,O,X
TZJLOSI,O,O,X,O,X
TZJSILO,O,O,X,X,X
TZJSIOL,O,O,X,X,X
TZJSLIO,O,O,X,X,X
TZJSLOI,O,O,X,X,X
TZJSOIL,O,O,X,X,X
TZJSOLI,O,O,X,X,X
TZJOILS,O,O,X,O,X
TZJOISL,O,O,X,X,X
TZJOLIS,O,O,X,O,X
TZJOLSI,O,O,X,O,X
TZJOSIL,O,O,X,X,X
TZJOSLI,O,O,X,X,X
TZSILJO,O,O,X,O,X
TZSILOJ,O,O,X,O,X
TZSIJLO,O,O,X,X,X
TZSIJOL,O,O,X,X,X
TZSIOLJ,O,O,X,O,X
TZSIOJL,O,O,X,X,X
TZSLIJO,O,O,X,O,X
TZSLIOJ,O,O,X,O,X
TZSLJIO,O,O,X,O,X
TZSLJOI,O,O,X,O,X
TZSLOIJ,O,O,X,O,X
TZSLOJI,O,O,X,O,X
TZSJILO,O,O,X,X,X
TZSJIOL,O,O,X,X,X
TZSJLIO,O,O,X,X,X
TZSJLOI,O,O,X,X,X
TZSJOIL,O,O,X,X,X
TZSJOLI,O,O,X,X,X
TZSOILJ,O,O,X,O,X
TZSOIJL,O,O,X,X,X
TZSOLIJ,O,O,X,O,X
TZSOLJI,O,O,X,O,X
TZSOJIL,O,O,X,X,X
TZSOJLI,O,O,X,X,X
TZOILJS,O,O,X,O,X
TZOILSJ,O,O,X,O,X
TZOIJLS,O,O,X,O,X
TZOIJSL,O,O,X,X,X
TZOISLJ,O,O,X,O,X
TZOISJL,O,O,X,X,X
TZOLIJS,O,O,X,O,X
TZOLISJ,O,O,X,O,X
TZOLJIS,O,O,X,O,X
TZOLJSI,O,O,X,O,X
TZOLSIJ,O,O,X,O,X
TZOLSJI,O,O,X,O,X
TZOJILS,O,O,X,O,X
TZOJISL,O,O,X,X,X
TZOJLIS,O,O,X,O,X
TZOJLSI,O,O,X,O,X
TZOJSIL,O,O,X,X,X
TZOJSLI,O,O,X,X,X
TZOSILJ,O,O,X,O,X
TZOSIJL,O,O,X,X,X
TZOSLIJ,O,O,X,O,X
TZOSLJI,O,O,X,O,X
TZOSJIL,O,O,X,X,X
TZOSJLI,O,O,X,X,X
TOILJSZ,O,X,X,X,X
TOILJZS,O,O,X,X,X
TOILSJZ,O,X,X,X,X
TOILSZJ,O,O,X,O,X
TOILZJS,O,O,X,O,X
TOILZSJ,O,O,X,O,X
TOIJLSZ,O,X,X,X,X
TOIJLZS,O,O,X,X,X
TOIJSLZ,O,X,X,X,X
TOIJSZL,O,X,X,X,O
TOIJZLS,O,O,X,X,O
TOIJZSL,O,O,X,X,O
TOISLJZ,O,X,X,X,X
TOISLZJ,O,O,X,X,X
TOISJLZ,O,X,X,X,X
TOISJZL,O,X,X,X,O
TOISZLJ,O,O,X,X,X
TOISZJL,O,O,X,X,X
TOIZLJS,O,O,X,O,X
TOIZLSJ,O,O,X,O,X
TOIZJLS,O,O,X,O,X
TOIZJSL,O,O,X,X,X
TOIZSLJ,O,O,X,O,X
TOIZSJL,O,O,X,X,X
TOLIJSZ,O,X,X,X,X
TOLIJZS,O,O,X,X,X
TOLISJZ,O,X,X,X,X
TOLISZJ,O,O,X,O,X
TOLIZJS,O,O,X,O,X
TOLIZSJ,O,O,X,O,X
TOLJISZ,O,X,X,X,X
TOLJIZS,O,O,X,X,X
TOLJSIZ,O,X,X,X,X
TOLJSZI,O,X,X,X,X
TOLJZIS,O,O,X,X,X
TOLJZSI,O,O,X,X,X
TOLSIJZ,O,X,X,X,X
TOLSIZJ,O,O,X,O,X
TOLSJIZ,O,X,X,X,X
TOLSJZI,O,X,X,X,X
TOLSZIJ,O,O,X,O,X
TOLSZJI,O,O,X,O,X
TOLZIJS,O,O,X,O,X
TOLZISJ,O,O,X,O,X
TOLZJIS,O,O,X,O,X
TOLZJSI,O,O,X,O,X
TOLZSIJ,O,O,X,O,X
TOLZSJI,O,O,X,O,X
TOJILSZ,O,X,X,X,X
TOJILZS,O,O,X,X,X
TOJISLZ,O,X,X,X,X
TOJISZL,O,X,X,X,O
TOJIZLS,O,O,X,X,O
TOJIZSL,O,O,X,X,O
TOJLISZ,O,X,X,X,X
TOJLIZS,O,O,X,X,X
TOJLSIZ,O,X,X,X,X
TOJLSZI,O,X,X,X,X
TOJLZIS,O,O,X,X,X
TOJLZSI,O,O,X,X,X
TOJSILZ,O,X,X,X,X
TOJSIZL,O,X,X,X,O
TOJSLIZ,O,X,X,X,X
TOJSLZI,O,X,X,X,X
TOJSZIL,O,X,X,X,O
TOJSZLI,O,X,X,X,O
TOJZILS,O,O,X,X,O
TOJZISL,O,O,X,X,O
TOJZLIS,O,O,X,X,O
TOJZLSI,O,O,X,X,O
TOJZSIL,O,O,X,X,O
TOJZSLI,O,O,X,X,O
TOSILJZ,O,X,X,X,X
TOSILZJ,O,O,X,X,X
TOSIJLZ,O,X,X,X,X
TOSIJZL,O,X,X,X,O
TOSIZLJ,O,O,X,X,X
TOSIZJL,O,O,X,X,X
TOSLIJZ,O,X,X,X,X
TOSLIZJ,O,O,X,X,X
TOSLJIZ,O,X,X,X,X
TOSLJZI,O,X,X,X,X
TOSLZIJ,O,O,X,X,X
TOSLZJI,O,O,X,X,X
TOSJILZ,O,X,X,X,X
TOSJIZL,O,X,X,X,O
TOSJLIZ,O,X,X,X,X
TOSJLZI,O,X,X,X,X
TOSJZIL,O,X,X,X,O
TOSJZLI,O,X,X,X,O
TOSZILJ,O,O,X,X,X
TOSZIJL,O,O,X,X,X
TOSZLIJ,O,O,X,X,X
TOSZLJI,O,O,X,X,X
TOSZJIL,O,O,X,X,X
TOSZJLI,O,O,X,X,X
TOZILJS,O,O,X,O,X
TOZILSJ,O,O,X,O,X
TOZIJLS,O,O,X,O,X
TOZIJSL,O,O,X,X,X
TOZISLJ,O,O,X,O,X
TOZISJL,O,O,X,X,X
TOZLIJS,O,O,X,O,X
TOZLISJ,O,O,X,O,X
TOZLJIS,O,O,X,O,X
TOZLJSI,O,O,X,O,X
TOZLSIJ,O,O,X,O,X
TOZLSJI,O,O,X,O,X
TOZJILS,O,O,X,O,X
TOZJISL,O,O,X,X,X
TOZJLIS,O,O,X,O,X
TOZJLSI,O,O,X,O,X
TOZJSIL,O,O,X,X,X
TOZJSLI,O,O,X,X,X
TOZSILJ,O,O,X,O,X
TOZSIJL,O,O,X,X,X
TOZSLIJ,O,O,X,O,X
TOZSLJI,O,O,X,O,X
