sequence,v115@LhB8HeD8BeA8CeE8KeNEJvhF3gBUiBaoB5oBGqBzpB,v115@LhB8HeD8BeA8CeE8KeNEJvhF3gBUiBaoB5oBupBTqB,v115@LhB8HeD8BeA8CeE8KeNEJvhFRgBUiBGjB/tBCqBTqB
TZLISOJ,O,O,O
TZLIOJS,O,O,X
TZLIOSJ,O,O,O
TZLJISO,O,O,O
TZLJIOS,O,O,X
TZLJSIO,O,O,O
TZLJSOI,O,X,O
TZLJOIS,O,O,X
TZLJOSI,O,O,X
TZLSIJO,O,O,O
TZLSIOJ,O,O,O
TZLSJIO,O,O,O
TZLSJOI,O,X,O
TZLSOIJ,O,O,O
TZLSOJI,X,O,O
TZLOIJS,O,O,X
TZLOISJ,O,O,O
TZLOJIS,O,O,X
TZLOJSI,O,O,X
TZLOSIJ,O,O,O
TZLOSJI,X,O,O
TZJILSO,O,O,X
TZJILOS,O,O,X
TZJISLO,O,O,O
TZJISOL,O,X,O
TZJIOLS,O,O,X
TZJIOSL,O,O,X
TZJLISO,O,O,O
TZJLIOS,O,O,X
TZJLSIO,O,O,O
TZJLSOI,O,X,O
TZJLOIS,O,O,X
TZJLOSI,O,O,X
TZJSILO,O,O,O
TZJSIOL,O,X,O
TZJSLIO,O,O,O
TZJSLOI,O,X,O
TZJSOIL,O,X,O
TZJSOLI,O,X,O
TZJOILS,O,O,X
TZJOISL,O,O,X
TZJOLIS,O,O,X
TZJOLSI,O,O,X
TZJOSIL,O,O,X
TZJOSLI,O,O,X
TZSILJO,O,O,O
TZSILOJ,O,O,O
TZSIJLO,O,O,O
TZSIJOL,O,X,O
TZSIOLJ,O,O,X
TZSIOJL,X,O,O
TZSLIJO,O,O,O
TZSLIOJ,O,O,O
TZSLJIO,O,O,O
TZSLJOI,O,X,O
TZSLOIJ,O,O,O
TZSLOJI,X,O,O
TZSJILO,O,O,O
TZSJIOL,O,X,O
TZSJLIO,O,O,O
TZSJLOI,O,X,O
TZSJOIL,O,X,O
TZSJOLI,O,X,O
TZSOILJ,O,O,X
TZSOIJL,X,O,O
TZSOLIJ,O,O,O
TZSOLJI,X,O,O
TZSOJIL,X,O,O
TZSOJLI,X,O,O
TZOILJS,O,O,X
TZOILSJ,O,O,X
TZOIJLS,O,O,X
TZOIJSL,O,O,X
TZOISLJ,O,O,X
