sequence,v115@OhA8CeB8DeC8AeC8CeC8Jex/IvhF/mBFiBTjBOpB0l?BywB,v115@OhA8CeB8DeC8AeC8CeC8JeZEJvhFCgBXiBTjBllB0m?B2wB,v115@OhA8CeB8DeC8AeC8CeC8JeZEJvhFCgB2mBTjB0lB3r?BFsB,v115@OhA8CeB8DeC8AeC8CeC8Jex/IvhF0hBTjBOpBllBir?BXsB
TJOLSZI,O,O,X,O
TJOLZIS,O,O,X,O
TJOLZSI,O,O,X,O
TJOSILZ,X,O,X,O
TJOSIZL,X,O,X,O
TJOSLIZ,O,O,X,O
TJOSLZI,O,O,X,O
TJOSZIL,X,O,X,O
TJOSZLI,X,O,X,O
TJOZILS,O,O,X,O
TJOZISL,O,O,X,O
TJOZLIS,O,O,X,O
TJOZLSI,O,O,X,O
TJOZSIL,O,O,X,O
TJOZSLI,O,O,X,O
TSILJZO,X,O,X,X
TSILJOZ,X,O,X,X
TSILZJO,X,X,O,X
TSILZOJ,X,O,O,X
TSILOJZ,X,O,X,X
TSILOZJ,X,O,O,X
TSIJLZO,X,O,X,X
TSIJLOZ,X,O,X,X
TSIJZLO,X,O,X,X
TSIJZOL,X,O,X,X
TSIJOLZ,X,O,X,X
TSIJOZL,X,O,X,X
TSIZLJO,X,X,O,X
TSIZLOJ,X,O,O,X
TSIZJLO,X,X,O,X
TSIZJOL,X,X,O,X
TSIZOLJ,X,O,O,X
TSIZOJL,X,X,O,X
TSIOLJZ,X,O,X,X
TSIOLZJ,X,O,O,X
TSIOJLZ,X,O,X,X
TSIOJZL,X,O,X,X
TSIOZLJ,X,O,O,X
TSIOZJL,X,X,O,X
TSLIJZO,O,O,X,X
TSLIJOZ,O,O,X,X
TSLIZJO,X,X,O,X
TSLIZOJ,X,O,O,X
TSLIOJZ,O,O,X,X
TSLIOZJ,X,O,O,X
TSLJIZO,O,O,X,O
TSLJIOZ,O,O,X,O
TSLJZIO,O,O,X,O
TSLJZOI,O,O,X,O
TSLJOIZ,O,O,X,O
TSLJOZI,O,O,X,O
TSLZIJO,X,X,O,X
TSLZIOJ,X,O,O,X
TSLZJIO,O,X,O,O
TSLZJOI,O,X,O,O
TSLZOIJ,X,O,O,X
TSLZOJI,O,X,O,O
TSLOIJZ,O,O,X,X
TSLOIZJ,X,O,O,X
TSLOJIZ,O,O,X,O
TSLOJZI,O,O,X,O
TSLOZIJ,X,O,O,X
TSLOZJI,O,X,O,O
TSJILZO,X,O,X,O
TSJILOZ,X,O,X,O
TSJIZLO,X,O,X,X
TSJIZOL,X,O,X,O
TSJIOLZ,X,O,X,O
TSJIOZL,X,O,X,O
TSJLIZO,O,O,X,O
TSJLIOZ,O,O,X,O
TSJLZIO,O,O,X,O
TSJLZOI,O,O,X,O
TSJLOIZ,O,O,X,O
TSJLOZI,O,O,X,O
TSJZILO,X,O,X,X
TSJZIOL,X,O,X,O
TSJZLIO,X,O,X,X
TSJZLOI,X,O,X,X
TSJZOIL,X,O,X,O
TSJZOLI,X,O,X,O
TSJOILZ,X,O,X,O
TSJOIZL,X,O,X,O
TSJOLIZ,O,O,X,O
TSJOLZI,O,O,X,O
TSJOZIL,X,O,X,O
TSJOZLI,X,O,X,O
TSZILJO,X,X,O,X
TSZILOJ,X,O,O,X
TSZIJLO,X,X,O,X
TSZIJOL,X,X,O,X
TSZIOLJ,X,O,O,X
TSZIOJL,X,X,O,X
TSZLIJO,X,X,O,X
TSZLIOJ,X,O,O,X
TSZLJIO,X,X,O,X
TSZLJOI,X,X,O,X
TSZLOIJ,X,O,O,X
TSZLOJI,X,X,O,X
TSZJILO,X,X,O,X
TSZJIOL,X,X,O,O
TSZJLIO,X,X,O,X
TSZJLOI,X,X,O,X
TSZJOIL,X,X,O,O
TSZJOLI,X,X,O,O
TSZOILJ,X,O,O,X
TSZOIJL,X,X,O,X
TSZOLIJ,X,O,O,X
TSZOLJI,X,X,O,X
TSZOJIL,X,X,O,O
TSZOJLI,X,X,O,O
TSOILJZ,X,O,X,X
TSOILZJ,X,O,O,X
TSOIJLZ,X,O,X,X
TSOIJZL,X,O,X,X
TSOIZLJ,X,O,O,X
TSOIZJL,X,X,O,X
TSOLIJZ,O,O,X,X
TSOLIZJ,X,O,O,X
TSOLJIZ,O,O,X,O
TSOLJZI,O,O,X,O
TSOLZIJ,X,O,O,X
TSOLZJI,O,X,O,O
TSOJILZ,X,O,X,O
TSOJIZL,X,O,X,O
TSOJLIZ,O,O,X,O
TSOJLZI,O,O,X,O
TSOJZIL,X,O,X,O
TSOJZLI,X,O,X,O
