sequence,v115@OhA8CeB8DeC8AeC8CeC8Jex/IvhF/mBFiBTjBOpB0l?BywB,v115@OhA8CeB8DeC8AeC8CeC8JeZEJvhFCgBXiBTjBllB0m?B2wB,v115@OhA8CeB8DeC8AeC8CeC8JeZEJvhFCgB2mBTjB0lB3r?BFsB,v115@OhA8CeB8DeC8AeC8CeC8Jex/IvhF0hBTjBOpBllBir?BXsB
JLOIZST,O,X,O,X
JLOSTIZ,O,O,X,O
JLOSTZI,O,O,X,O
JLOSITZ,O,O,X,X
JLOSIZT,O,X,O,X
JLOSZTI,O,X,O,O
JLOSZIT,O,X,O,X
JLOZTIS,O,X,O,O
JLOZTSI,O,X,X,O
JLOZITS,O,X,O,O
JLOZIST,O,X,O,X
JLOZSTI,O,X,O,O
JLOZSIT,O,X,O,X
JSTILZO,X,O,X,O
JSTILOZ,X,O,X,O
JSTIZLO,X,O,X,X
JSTIZOL,X,O,X,O
JSTIOLZ,X,O,X,O
JSTIOZL,X,O,X,O
JSTLIZO,O,O,X,O
JSTLIOZ,O,O,X,O
JSTLZIO,O,O,X,O
JSTLZOI,O,O,X,O
JSTLOIZ,O,O,X,O
JSTLOZI,O,O,X,O
JSTZILO,X,O,X,X
JSTZIOL,X,O,X,O
JSTZLIO,X,O,X,X
JSTZLOI,X,O,X,X
JSTZOIL,X,O,X,O
JSTZOLI,X,O,X,O
JSTOILZ,X,O,X,O
JSTOIZL,X,O,X,O
JSTOLIZ,O,O,X,O
JSTOLZI,O,O,X,O
JSTOZIL,X,O,X,O
JSTOZLI,X,O,X,O
JSITLZO,X,O,X,O
JSITLOZ,X,O,X,O
JSITZLO,X,O,X,X
JSITZOL,X,O,X,O
JSITOLZ,X,O,X,O
JSITOZL,X,O,X,O
JSILTZO,O,O,X,X
JSILTOZ,O,O,X,X
JSILZTO,O,X,O,X
JSILZOT,O,X,O,X
JSILOTZ,O,O,X,X
JSILOZT,O,X,O,X
JSIZTLO,O,O,O,X
JSIZTOL,O,O,O,X
JSIZLTO,O,X,O,X
JSIZLOT,O,X,O,X
JSIZOTL,O,O,O,X
JSIZOLT,O,X,O,X
JSIOTLZ,X,O,X,O
JSIOTZL,X,O,X,O
JSIOLTZ,O,O,X,X
JSIOLZT,O,X,O,X
JSIOZTL,O,O,O,X
JSIOZLT,O,X,O,X
JSLTIZO,O,O,X,O
JSLTIOZ,O,O,X,O
JSLTZIO,O,O,X,O
JSLTZOI,O,O,X,O
JSLTOIZ,O,O,X,O
JSLTOZI,O,O,X,O
JSLITZO,O,O,X,X
JSLITOZ,O,O,X,X
JSLIZTO,O,X,O,X
JSLIZOT,O,X,O,X
JSLIOTZ,O,O,X,X
JSLIOZT,O,X,O,X
JSLZTIO,O,X,O,O
JSLZTOI,O,X,O,O
JSLZITO,O,X,O,X
JSLZIOT,O,X,O,X
JSLZOTI,O,X,O,O
JSLZOIT,O,X,O,X
JSLOTIZ,O,O,X,O
JSLOTZI,O,O,X,O
JSLOITZ,O,O,X,X
JSLOIZT,O,X,O,X
JSLOZTI,O,X,O,O
JSLOZIT,O,X,O,X
JSZTILO,O,O,O,X
JSZTIOL,O,O,O,X
JSZTLIO,O,O,O,X
JSZTLOI,O,O,O,X
JSZTOIL,O,O,O,X
JSZTOLI,O,O,O,X
JSZITLO,O,O,O,X
JSZITOL,O,O,O,X
JSZILTO,O,X,O,X
JSZILOT,O,X,O,X
JSZIOTL,O,O,O,X
JSZIOLT,O,X,O,X
JSZLTIO,O,X,O,X
JSZLTOI,O,X,O,X
JSZLITO,O,X,O,X
JSZLIOT,O,X,O,X
JSZLOTI,O,X,O,X
JSZLOIT,O,X,O,X
JSZOTIL,O,O,O,X
JSZOTLI,O,O,O,X
JSZOITL,O,O,O,X
JSZOILT,O,X,O,X
JSZOLTI,O,X,O,X
JSZOLIT,O,X,O,X
JSOTILZ,X,O,X,O
JSOTIZL,X,O,X,O
JSOTLIZ,O,O,X,O
JSOTLZI,O,O,X,O
JSOTZIL,X,O,X,O
JSOTZLI,X,O,X,O
JSOITLZ,X,O,X,O
JSOITZL,X,O,X,O
JSOILTZ,O,O,X,X
JSOILZT,O,X,O,X
JSOIZTL,O,O,O,X
JSOIZLT,O,X,O,X
JSOLTIZ,O,O,X,O
JSOLTZI,O,O,X,O
JSOLITZ,O,O,X,X
JSOLIZT,O,X,O,X
JSOLZTI,O,X,O,O
JSOLZIT,O,X,O,X
JSOZTIL,O,O,O,X
JSOZTLI,O,O,O,X
JSOZITL,O,O,O,X
JSOZILT,O,X,O,X
JSOZLTI,O,X,O,X
JSOZLIT,O,X,O,X
JZTILSO,O,O,X,O
JZTILOS,O,O,O,O
JZTISLO,O,O,X,X
JZTISOL,O,O,X,O
JZTIOLS,O,O,O,O
JZTIOSL,O,O,X,O
JZTLISO,O,O,X,O
JZTLIOS,O,O,O,O
JZTLSIO,O,O,X,O
JZTLSOI,O,O,X,O
JZTLOIS,O,O,O,O
JZTLOSI,O,O,X,O
JZTSILO,O,O,X,X
JZTSIOL,O,O,X,O
JZTSLIO,O,O,X,X
JZTSLOI,O,O,X,X
JZTSOIL,O,O,X,O
JZTSOLI,O,O,X,O
JZTOILS,O,O,O,O
JZTOISL,O,O,X,O
JZTOLIS,O,O,O,O
JZTOLSI,O,O,X,O
JZTOSIL,O,O,X,O
JZTOSLI,O,O,X,O
JZITLSO,O,O,X,O
JZITLOS,O,O,O,O
JZITSLO,O,O,X,X
JZITSOL,O,O,X,O
JZITOLS,O,O,O,O
JZITOSL,O,O,X,O
JZILTSO,O,X,X,X
JZILTOS,O,X,O,X
JZILSTO,O,X,O,X
JZILSOT,O,X,O,X
JZILOTS,O,X,O,X
JZILOST,O,X,O,X
JZISTLO,O,O,O,X
JZISTOL,O,O,O,X
JZISLTO,O,X,O,X
JZISLOT,O,X,O,X
JZISOTL,O,O,O,X
JZISOLT,O,X,O,X
JZIOTLS,O,O,O,O
JZIOTSL,O,O,X,O
JZIOLTS,O,X,O,X
JZIOLST,O,X,O,X
JZIOSTL,O,O,O,X
JZIOSLT,O,X,O,X
JZLTISO,O,X,X,O
JZLTIOS,O,X,O,O
JZLTSIO,O,X,X,O
JZLTSOI,O,X,X,O
JZLTOIS,O,X,O,O
JZLTOSI,O,X,X,O
JZLITSO,O,X,X,O
JZLITOS,O,X,O,O
JZLISTO,O,X,O,X
JZLISOT,O,X,O,X
JZLIOTS,O,X,O,O
JZLIOST,O,X,O,X
JZLSTIO,O,X,O,O
JZLSTOI,O,X,O,O
JZLSITO,O,X,O,X
JZLSIOT,O,X,O,X
JZLSOTI,O,X,O,O
JZLSOIT,O,X,O,X
JZLOTIS,O,X,O,O
JZLOTSI,O,X,X,O
JZLOITS,O,X,O,O
JZLOIST,O,X,O,X
JZLOSTI,O,X,O,O
JZLOSIT,O,X,O,X
JZSTILO,O,O,O,X
JZSTIOL,O,O,O,X
JZSTLIO,O,O,O,X
JZSTLOI,O,O,O,X
JZSTOIL,O,O,O,X
JZSTOLI,O,O,O,X
JZSITLO,O,O,O,X
JZSITOL,O,O,O,X
JZSILTO,O,X,O,X
JZSILOT,O,X,O,X
JZSIOTL,O,O,O,X
JZSIOLT,O,X,O,X
JZSLTIO,O,X,O,X
JZSLTOI,O,X,O,X
JZSLITO,O,X,O,X
JZSLIOT,O,X,O,X
JZSLOTI,O,X,O,X
JZSLOIT,O,X,O,X
JZSOTIL,O,O,O,X
JZSOTLI,O,O,O,X
JZSOITL,O,O,O,X
JZSOILT,O,X,O,X
JZSOLTI,O,X,O,X
JZSOLIT,O,X,O,X
JZOTILS,O,O,O,O
JZOTISL,O,O,X,O
JZOTLIS,O,O,O,O
JZOTLSI,O,O,X,O
JZOTSIL,O,O,X,O
JZOTSLI,O,O,X,O
JZOITLS,O,O,O,O
JZOITSL,O,O,X,O
JZOILTS,O,X,O,X
JZOILST,O,X,O,X
JZOISTL,O,O,O,X
JZOISLT,O,X,O,X
JZOLTIS,O,X,O,O
JZOLTSI,O,X,X,O
JZOLITS,O,X,O,O
JZOLIST,O,X,O,X
JZOLSTI,O,X,O,O
JZOLSIT,O,X,O,X
JZOSTIL,O,O,O,X
JZOSTLI,O,O,O,X
JZOSITL,O,O,O,X
JZOSILT,O,X,O,X
JZOSLTI,O,X,O,X
JZOSLIT,O,X,O,X
JOTILSZ,O,O,X,O
JOTILZS,O,O,X,O
JOTISLZ,X,O,X,O
JOTISZL,X,O,X,O
JOTIZLS,O,O,X,O
JOTIZSL,O,O,X,O
JOTLISZ,O,O,X,O
JOTLIZS,O,O,X,O
JOTLSIZ,O,O,X,O
JOTLSZI,O,O,X,O
JOTLZIS,O,O,X,O
JOTLZSI,O,O,X,O
JOTSILZ,X,O,X,O
JOTSIZL,X,O,X,O
JOTSLIZ,O,O,X,O
JOTSLZI,O,O,X,O
JOTSZIL,X,O,X,O
JOTSZLI,X,O,X,O
JOTZILS,O,O,X,O
JOTZISL,O,O,X,O
JOTZLIS,O,O,X,O
JOTZLSI,O,O,X,O
JOTZSIL,O,O,X,O
JOTZSLI,O,O,X,O
JOITLSZ,O,O,X,O
JOITLZS,O,O,X,O
JOITSLZ,X,O,X,O
JOITSZL,X,O,X,O
JOITZLS,O,O,X,O
JOITZSL,O,O,X,O
JOILTSZ,O,O,X,O
JOILTZS,O,O,X,O
JOILSTZ,O,O,X,X
JOILSZT,O,X,O,X
JOILZTS,O,X,O,O
JOILZST,O,X,O,X
JOISTLZ,X,O,X,O
JOISTZL,X,O,X,O
JOISLTZ,O,O,X,X
JOISLZT,O,X,O,X
JOISZTL,O,O,O,X
JOISZLT,O,X,O,X
JOIZTLS,O,O,O,O
JOIZTSL,O,O,X,O
JOIZLTS,O,X,O,X
JOIZLST,O,X,O,X
JOIZSTL,O,O,O,X
JOIZSLT,O,X,O,X
JOLTISZ,O,O,X,O
JOLTIZS,O,O,X,O
JOLTSIZ,O,O,X,O
JOLTSZI,O,O,X,O
JOLTZIS,O,O,X,O
JOLTZSI,O,O,X,O
JOLITSZ,O,O,X,O
JOLITZS,O,O,X,O
JOLISTZ,O,O,X,X
JOLISZT,O,X,O,X
JOLIZTS,O,X,O,O
JOLIZST,O,X,O,X
JOLSTIZ,O,O,X,O
JOLSTZI,O,O,X,O
JOLSITZ,O,O,X,X
JOLSIZT,O,X,O,X
JOLSZTI,O,X,O,O
JOLSZIT,O,X,O,X
JOLZTIS,O,X,O,O
JOLZTSI,O,X,X,O
JOLZITS,O,X,O,O
JOLZIST,O,X,O,X
JOLZSTI,O,X,O,O
JOLZSIT,O,X,O,X
JOSTILZ,X,O,X,O
JOSTIZL,X,O,X,O
JOSTLIZ,O,O,X,O
JOSTLZI,O,O,X,O
JOSTZIL,X,O,X,O
JOSTZLI,X,O,X,O
JOSITLZ,X,O,X,O
JOSITZL,X,O,X,O
JOSILTZ,O,O,X,X
JOSILZT,O,X,O,X
JOSIZTL,O,O,O,X
JOSIZLT,O,X,O,X
JOSLTIZ,O,O,X,O
JOSLTZI,O,O,X,O
JOSLITZ,O,O,X,X
JOSLIZT,O,X,O,X
JOSLZTI,O,X,O,O
JOSLZIT,O,X,O,X
JOSZTIL,O,O,O,X
JOSZTLI,O,O,O,X
JOSZITL,O,O,O,X
JOSZILT,O,X,O,X
JOSZLTI,O,X,O,X
JOSZLIT,O,X,O,X
JOZTILS,O,O,O,O
JOZTISL,O,O,X,O
JOZTLIS,O,O,O,O
JOZTLSI,O,O,X,O
JOZTSIL,O,O,X,O
JOZTSLI,O,O,X,O
JOZITLS,O,O,O,O
JOZITSL,O,O,X,O
JOZILTS,O,X,O,X
JOZILST,O,X,O,X
JOZISTL,O,O,O,X
JOZISLT,O,X,O,X
JOZLTIS,O,X,O,O
JOZLTSI,O,X,X,O
JOZLITS,O,X,O,O
JOZLIST,O,X,O,X
JOZLSTI,O,X,O,O
JOZLSIT,O,X,O,X
JOZSTIL,O,O,O,X
JOZSTLI,O,O,O,X
JOZSITL,O,O,O,X
JOZSILT,O,X,O,X
JOZSLTI,O,X,O,X
JOZSLIT,O,X,O,X
STILJZO,X,O,X,X
STILJOZ,X,O,X,X
STILZJO,X,X,O,X
STILZOJ,X,O,O,X
STILOJZ,X,O,X,X
STILOZJ,X,O,O,X
STIJLZO,X,O,X,X
STIJLOZ,X,O,X,X
STIJZLO,X,O,X,X
STIJZOL,X,O,X,X
STIJOLZ,X,O,X,X
STIJOZL,X,O,X,X
STIZLJO,X,X,O,X
STIZLOJ,X,O,O,X
STIZJLO,X,X,O,X
STIZJOL,X,X,O,X
STIZOLJ,X,O,O,X
STIZOJL,X,X,O,X
STIOLJZ,X,O,X,X
STIOLZJ,X,O,O,X
STIOJLZ,X,O,X,X
STIOJZL,X,O,X,X
STIOZLJ,X,O,O,X
STIOZJL,X,X,O,X
STLIJZO,O,O,X,X
STLIJOZ,O,O,X,X
STLIZJO,X,X,O,X
STLIZOJ,X,O,O,X
STLIOJZ,O,O,X,X
STLIOZJ,X,O,O,X
STLJIZO,O,O,X,O
STLJIOZ,O,O,X,O
STLJZIO,O,O,X,O
STLJZOI,O,O,X,O
STLJOIZ,O,O,X,O
STLJOZI,O,O,X,O
STLZIJO,X,X,O,X
STLZIOJ,X,O,O,X
STLZJIO,O,X,O,O
STLZJOI,O,X,O,O
STLZOIJ,X,O,O,X
STLZOJI,O,X,O,O
STLOIJZ,O,O,X,X
STLOIZJ,X,O,O,X
STLOJIZ,O,O,X,O
STLOJZI,O,O,X,O
STLOZIJ,X,O,O,X
STLOZJI,O,X,O,O
STJILZO,X,O,X,O
STJILOZ,X,O,X,O
STJIZLO,X,O,X,X
STJIZOL,X,O,X,O
STJIOLZ,X,O,X,O
STJIOZL,X,O,X,O
STJLIZO,O,O,X,O
STJLIOZ,O,O,X,O
STJLZIO,O,O,X,O
STJLZOI,O,O,X,O
STJLOIZ,O,O,X,O
STJLOZI,O,O,X,O
STJZILO,X,O,X,X
STJZIOL,X,O,X,O
STJZLIO,X,O,X,X
STJZLOI,X,O,X,X
STJZOIL,X,O,X,O
STJZOLI,X,O,X,O
STJOILZ,X,O,X,O
STJOIZL,X,O,X,O
STJOLIZ,O,O,X,O
STJOLZI,O,O,X,O
STJOZIL,X,O,X,O
STJOZLI,X,O,X,O
STZILJO,X,X,O,X
STZILOJ,X,O,O,X
STZIJLO,X,X,O,X
STZIJOL,X,X,O,X
STZIOLJ,X,O,O,X
STZIOJL,X,X,O,X
STZLIJO,X,X,O,X
STZLIOJ,X,O,O,X
STZLJIO,X,X,O,X
STZLJOI,X,X,O,X
STZLOIJ,X,O,O,X
STZLOJI,X,X,O,X
STZJILO,X,X,O,X
STZJIOL,X,X,O,O
STZJLIO,X,X,O,X
STZJLOI,X,X,O,X
STZJOIL,X,X,O,O
STZJOLI,X,X,O,O
STZOILJ,X,O,O,X
STZOIJL,X,X,O,X
STZOLIJ,X,O,O,X
STZOLJI,X,X,O,X
STZOJIL,X,X,O,O
STZOJLI,X,X,O,O
STOILJZ,X,O,X,X
STOILZJ,X,O,O,X
STOIJLZ,X,O,X,X
STOIJZL,X,O,X,X
STOIZLJ,X,O,O,X
STOIZJL,X,X,O,X
STOLIJZ,O,O,X,X
STOLIZJ,X,O,O,X
STOLJIZ,O,O,X,O
STOLJZI,O,O,X,O
STOLZIJ,X,O,O,X
STOLZJI,O,X,O,O
STOJILZ,X,O,X,O
STOJIZL,X,O,X,O
STOJLIZ,O,O,X,O
STOJLZI,O,O,X,O
STOJZIL,X,O,X,O
STOJZLI,X,O,X,O
STOZILJ,X,O,O,X
STOZIJL,X,X,O,X
STOZLIJ,X,O,O,X
STOZLJI,X,X,O,X
STOZJIL,X,X,O,O
STOZJLI,X,X,O,O
SITLJZO,X,O,X,X
SITLJOZ,X,O,X,X
SITLZJO,X,X,O,X
SITLZOJ,X,O,O,X
SITLOJZ,X,O,X,X
SITLOZJ,X,O,O,X
SITJLZO,X,O,X,X
SITJLOZ,X,O,X,X
SITJZLO,X,O,X,X
SITJZOL,X,O,X,X
SITJOLZ,X,O,X,X
SITJOZL,X,O,X,X
SITZLJO,X,X,O,X
SITZLOJ,X,O,O,X
SITZJLO,X,X,O,X
SITZJOL,X,X,O,X
SITZOLJ,X,O,O,X
SITZOJL,X,X,O,X
SITOLJZ,X,O,X,X
SITOLZJ,X,O,O,X
SITOJLZ,X,O,X,X
SITOJZL,X,O,X,X
SITOZLJ,X,O,O,X
SITOZJL,X,X,O,X
SILTJZO,X,O,X,X
SILTJOZ,X,O,X,X
SILTZJO,X,X,O,X
SILTZOJ,X,O,O,X
SILTOJZ,X,O,X,X
SILTOZJ,X,O,O,X
SILJTZO,X,O,X,X
SILJTOZ,X,O,X,X
SILJZTO,X,X,O,X
SILJZOT,X,X,O,X
SILJOTZ,X,O,X,X
SILJOZT,X,X,O,X
SILZTJO,X,X,O,X
SILZTOJ,X,X,O,X
SILZJTO,X,X,O,X
SILZJOT,X,X,O,X
SILZOTJ,X,X,O,X
SILZOJT,X,X,O,X
SILOTJZ,X,O,X,X
SILOTZJ,X,O,O,X
SILOJTZ,X,O,X,X
SILOJZT,X,X,O,X
SILOZTJ,X,X,O,X
SILOZJT,X,X,O,X
SIJTLZO,X,O,X,X
SIJTLOZ,X,O,X,X
SIJTZLO,X,O,X,X
SIJTZOL,X,O,X,X
SIJTOLZ,X,O,X,X
SIJTOZL,X,O,X,X
SIJLTZO,X,O,X,X
SIJLTOZ,X,O,X,X
SIJLZTO,X,X,O,X
SIJLZOT,X,X,O,X
SIJLOTZ,X,O,X,X
SIJLOZT,X,X,O,X
SIJZTLO,X,O,O,X
SIJZTOL,X,O,O,X
SIJZLTO,X,X,O,X
SIJZLOT,X,X,O,X
SIJZOTL,X,O,O,X
SIJZOLT,X,X,O,X
SIJOTLZ,X,O,X,X
SIJOTZL,X,O,X,X
SIJOLTZ,X,O,X,X
SIJOLZT,X,X,O,X
SIJOZTL,X,O,O,X
SIJOZLT,X,X,O,X
SIZTLJO,X,X,O,X
SIZTLOJ,X,O,O,X
SIZTJLO,X,X,O,X
SIZTJOL,X,X,O,X
SIZTOLJ,X,O,O,X
SIZTOJL,X,X,O,X
SIZLTJO,X,X,O,X
SIZLTOJ,X,X,O,X
SIZLJTO,X,X,O,X
SIZLJOT,X,X,O,X
SIZLOTJ,X,X,O,X
SIZLOJT,X,X,O,X
SIZJTLO,X,O,O,X
SIZJTOL,X,O,O,X
SIZJLTO,X,X,O,X
SIZJLOT,X,X,O,X
SIZJOTL,X,O,O,X
SIZJOLT,X,X,O,X
SIZOTLJ,X,O,O,X
SIZOTJL,X,X,O,X
SIZOLTJ,X,X,O,X
SIZOLJT,X,X,O,X
SIZOJTL,X,O,O,X
SIZOJLT,X,X,O,X
SIOTLJZ,X,O,X,X
SIOTLZJ,X,O,O,X
SIOTJLZ,X,O,X,X
SIOTJZL,X,O,X,X
SIOTZLJ,X,O,O,X
SIOTZJL,X,X,O,X
SIOLTJZ,X,O,X,X
SIOLTZJ,X,O,O,X
SIOLJTZ,X,O,X,X
SIOLJZT,X,X,O,X
SIOLZTJ,X,X,O,X
SIOLZJT,X,X,O,X
SIOJTLZ,X,O,X,X
SIOJTZL,X,O,X,X
SIOJLTZ,X,O,X,X
SIOJLZT,X,X,O,X
SIOJZTL,X,O,O,X
SIOJZLT,X,X,O,X
SIOZTLJ,X,O,O,X
SIOZTJL,X,X,O,X
SIOZLTJ,X,X,O,X
SIOZLJT,X,X,O,X
SIOZJTL,X,O,O,X
SIOZJLT,X,X,O,X
SLTIJZO,O,O,X,X
SLTIJOZ,O,O,X,X
SLTIZJO,X,X,O,X
SLTIZOJ,X,O,O,X
SLTIOJZ,O,O,X,X
SLTIOZJ,X,O,O,X
SLTJIZO,O,O,X,O
SLTJIOZ,O,O,X,O
SLTJZIO,O,O,X,O
SLTJZOI,O,O,X,O
SLTJOIZ,O,O,X,O
SLTJOZI,O,O,X,O
SLTZIJO,X,X,O,X
SLTZIOJ,X,O,O,X
SLTZJIO,O,X,O,O
SLTZJOI,O,X,O,O
SLTZOIJ,X,O,O,X
SLTZOJI,O,X,O,O
SLTOIJZ,O,O,X,X
SLTOIZJ,X,O,O,X
SLTOJIZ,O,O,X,O
SLTOJZI,O,O,X,O
SLTOZIJ,X,O,O,X
SLTOZJI,O,X,O,O
SLITJZO,O,O,X,X
SLITJOZ,O,O,X,X
SLITZJO,X,X,O,X
SLITZOJ,X,O,O,X
SLITOJZ,O,O,X,X
SLITOZJ,X,O,O,X
SLIJTZO,O,O,X,X
SLIJTOZ,O,O,X,X
SLIJZTO,O,X,O,X
SLIJZOT,O,X,O,X
SLIJOTZ,O,O,X,X
SLIJOZT,O,X,O,X
SLIZTJO,X,X,O,X
SLIZTOJ,X,X,O,X
SLIZJTO,X,X,O,X
SLIZJOT,X,X,O,X
SLIZOTJ,X,X,O,X
SLIZOJT,X,X,O,X
SLIOTJZ,O,O,X,X
SLIOTZJ,X,O,O,X
SLIOJTZ,O,O,X,X
SLIOJZT,O,X,O,X
SLIOZTJ,X,X,O,X
SLIOZJT,X,X,O,X
SLJTIZO,O,O,X,O
SLJTIOZ,O,O,X,O
SLJTZIO,O,O,X,O
SLJTZOI,O,O,X,O
SLJTOIZ,O,O,X,O
SLJTOZI,O,O,X,O
SLJITZO,O,O,X,X
SLJITOZ,O,O,X,X
SLJIZTO,O,X,O,X
SLJIZOT,O,X,O,X
SLJIOTZ,O,O,X,X
SLJIOZT,O,X,O,X
SLJZTIO,O,X,O,O
SLJZTOI,O,X,O,O
SLJZITO,O,X,O,X
SLJZIOT,O,X,O,X
SLJZOTI,O,X,O,O
SLJZOIT,O,X,O,X
SLJOTIZ,O,O,X,O
SLJOTZI,O,O,X,O
SLJOITZ,O,O,X,X
SLJOIZT,O,X,O,X
SLJOZTI,O,X,O,O
SLJOZIT,O,X,O,X
SLZTIJO,O,X,O,X
SLZTIOJ,O,X,O,X
SLZTJIO,O,X,O,O
SLZTJOI,O,X,O,O
SLZTOIJ,O,X,O,X
SLZTOJI,O,X,O,O
SLZITJO,O,X,O,X
SLZITOJ,O,X,O,X
SLZIJTO,O,X,O,X
SLZIJOT,O,X,O,X
SLZIOTJ,O,X,O,X
SLZIOJT,O,X,O,X
SLZJTIO,O,X,O,O
SLZJTOI,O,X,O,O
SLZJITO,O,X,O,X
SLZJIOT,O,X,O,X
SLZJOTI,O,X,O,O
SLZJOIT,O,X,O,X
SLZOTIJ,O,X,O,X
SLZOTJI,O,X,O,O
SLZOITJ,O,X,O,X
SLZOIJT,O,X,O,X
SLZOJTI,O,X,O,O
SLZOJIT,O,X,O,X
SLOTIJZ,O,O,X,X
SLOTIZJ,X,O,O,X
SLOTJIZ,O,O,X,O
SLOTJZI,O,O,X,O
SLOTZIJ,X,O,O,X
SLOTZJI,O,X,O,O
SLOITJZ,O,O,X,X
SLOITZJ,X,O,O,X
SLOIJTZ,O,O,X,X
SLOIJZT,O,X,O,X
SLOIZTJ,X,X,O,X
SLOIZJT,X,X,O,X
SLOJTIZ,O,O,X,O
SLOJTZI,O,O,X,O
SLOJITZ,O,O,X,X
SLOJIZT,O,X,O,X
SLOJZTI,O,X,O,O
SLOJZIT,O,X,O,X
SLOZTIJ,O,X,O,X
SLOZTJI,O,X,O,O
SLOZITJ,O,X,O,X
SLOZIJT,O,X,O,X
SLOZJTI,O,X,O,O
SLOZJIT,O,X,O,X
SJTILZO,X,O,X,O
SJTILOZ,X,O,X,O
SJTIZLO,X,O,X,X
SJTIZOL,X,O,X,O
SJTIOLZ,X,O,X,O
SJTIOZL,X,O,X,O
SJTLIZO,O,O,X,O
SJTLIOZ,O,O,X,O
SJTLZIO,O,O,X,O
SJTLZOI,O,O,X,O
SJTLOIZ,O,O,X,O
SJTLOZI,O,O,X,O
SJTZILO,X,O,X,X
SJTZIOL,X,O,X,O
SJTZLIO,X,O,X,X
SJTZLOI,X,O,X,X
SJTZOIL,X,O,X,O
SJTZOLI,X,O,X,O
SJTOILZ,X,O,X,O
SJTOIZL,X,O,X,O
SJTOLIZ,O,O,X,O
SJTOLZI,O,O,X,O
SJTOZIL,X,O,X,O
SJTOZLI,X,O,X,O
SJITLZO,X,O,X,O
SJITLOZ,X,O,X,O
SJITZLO,X,O,X,X
SJITZOL,X,O,X,O
SJITOLZ,X,O,X,O
SJITOZL,X,O,X,O
SJILTZO,O,O,X,X
SJILTOZ,O,O,X,X
SJILZTO,O,X,O,X
SJILZOT,O,X,O,X
SJILOTZ,O,O,X,X
SJILOZT,O,X,O,X
SJIZTLO,O,O,O,X
SJIZTOL,O,O,O,X
SJIZLTO,O,X,O,X
SJIZLOT,O,X,O,X
SJIZOTL,O,O,O,X
SJIZOLT,O,X,O,X
SJIOTLZ,X,O,X,O
SJIOTZL,X,O,X,O
SJIOLTZ,O,O,X,X
SJIOLZT,O,X,O,X
SJIOZTL,O,O,O,X
SJIOZLT,O,X,O,X
SJLTIZO,O,O,X,O
SJLTIOZ,O,O,X,O
SJLTZIO,O,O,X,O
SJLTZOI,O,O,X,O
SJLTOIZ,O,O,X,O
SJLTOZI,O,O,X,O
SJLITZO,O,O,X,X
SJLITOZ,O,O,X,X
SJLIZTO,O,X,O,X
SJLIZOT,O,X,O,X
SJLIOTZ,O,O,X,X
SJLIOZT,O,X,O,X
SJLZTIO,O,X,O,O
SJLZTOI,O,X,O,O
SJLZITO,O,X,O,X
SJLZIOT,O,X,O,X
SJLZOTI,O,X,O,O
SJLZOIT,O,X,O,X
SJLOTIZ,O,O,X,O
SJLOTZI,O,O,X,O
SJLOITZ,O,O,X,X
SJLOIZT,O,X,O,X
SJLOZTI,O,X,O,O
SJLOZIT,O,X,O,X
SJZTILO,O,O,O,X
SJZTIOL,O,O,O,X
SJZTLIO,O,O,O,X
SJZTLOI,O,O,O,X
SJZTOIL,O,O,O,X
SJZTOLI,O,O,O,X
SJZITLO,O,O,O,X
SJZITOL,O,O,O,X
SJZILTO,O,X,O,X
SJZILOT,O,X,O,X
SJZIOTL,O,O,O,X
SJZIOLT,O,X,O,X
SJZLTIO,O,X,O,X
SJZLTOI,O,X,O,X
SJZLITO,O,X,O,X
SJZLIOT,O,X,O,X
SJZLOTI,O,X,O,X
SJZLOIT,O,X,O,X
SJZOTIL,O,O,O,X
SJZOTLI,O,O,O,X
SJZOITL,O,O,O,X
SJZOILT,O,X,O,X
SJZOLTI,O,X,O,X
SJZOLIT,O,X,O,X
SJOTILZ,X,O,X,O
SJOTIZL,X,O,X,O
SJOTLIZ,O,O,X,O
SJOTLZI,O,O,X,O
SJOTZIL,X,O,X,O
SJOTZLI,X,O,X,O
SJOITLZ,X,O,X,O
SJOITZL,X,O,X,O
SJOILTZ,O,O,X,X
SJOILZT,O,X,O,X
SJOIZTL,O,O,O,X
SJOIZLT,O,X,O,X
SJOLTIZ,O,O,X,O
SJOLTZI,O,O,X,O
SJOLITZ,O,O,X,X
SJOLIZT,O,X,O,X
SJOLZTI,O,X,O,O
SJOLZIT,O,X,O,X
SJOZTIL,O,O,O,X
SJOZTLI,O,O,O,X
SJOZITL,O,O,O,X
SJOZILT,O,X,O,X
SJOZLTI,O,X,O,X
SJOZLIT,O,X,O,X
SZTILJO,X,X,O,X
SZTILOJ,O,O,O,X
SZTIJLO,O,X,O,X
SZTIJOL,O,X,O,X
SZTIOLJ,O,O,O,X
SZTIOJL,O,X,O,X
SZTLIJO,X,X,O,X
SZTLIOJ,O,O,O,X
SZTLJIO,O,X,O,X
SZTLJOI,O,X,O,X
SZTLOIJ,O,O,O,X
SZTLOJI,O,X,O,X
SZTJILO,O,X,O,X
SZTJIOL,O,X,O,X
SZTJLIO,O,X,O,X
SZTJLOI,O,X,O,X
SZTJOIL,O,X,O,X
SZTJOLI,O,X,O,X
SZTOILJ,O,O,O,X
SZTOIJL,O,X,O,X
