sequence,v115@JhC8EeA8BeB8EeE8CeA8Kex/IvhFlhBGjB0kB6sB/t?BzrB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF0hBliB5oBysBXl?BWxB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF6mBliB5oBesB8s?BXqB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF0hBxiB1sB6tBXl?BWxB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF6mBmiB5oB0nBXl?BVxB
STOZLJI,O,X,X,O,O
STOZJIL,O,X,X,X,O
STOZJLI,O,X,X,X,O
SITLJZO,O,X,X,X,X
SITLJOZ,O,X,X,X,X
SITLZJO,O,X,X,X,O
SITLZOJ,X,X,X,X,O
SITLOJZ,O,X,X,X,X
SITLOZJ,X,X,X,X,O
SITJLZO,O,X,X,X,X
SITJLOZ,O,X,X,X,X
SITJZLO,O,X,X,X,X
SITJZOL,O,X,X,X,X
SITJOLZ,O,X,X,X,X
SITJOZL,O,X,X,X,X
SITZLJO,O,X,X,X,O
SITZLOJ,X,X,X,X,O
SITZJLO,O,X,X,X,O
SITZJOL,O,X,X,X,O
SITZOLJ,X,X,X,X,O
SITZOJL,O,X,X,X,O
SITOLJZ,O,X,X,X,X
SITOLZJ,O,X,X,X,O
SITOJLZ,O,X,X,X,X
SITOJZL,O,X,X,X,X
SITOZLJ,X,X,X,X,O
SITOZJL,O,X,X,X,O
SILTJZO,O,X,X,X,X
SILTJOZ,O,X,X,X,X
SILTZJO,O,X,X,X,X
SILTZOJ,O,O,X,X,X
SILTOJZ,O,X,X,X,X
SILTOZJ,X,O,X,X,X
SILJTZO,O,O,X,X,X
SILJTOZ,O,O,X,X,X
SILJZTO,O,O,O,X,X
SILJZOT,O,O,O,X,X
SILJOTZ,O,O,X,X,X
SILJOZT,X,O,O,X,X
SILZTJO,O,X,X,X,X
SILZTOJ,O,O,X,X,X
SILZJTO,O,X,O,X,X
SILZJOT,O,X,O,X,X
SILZOTJ,O,O,X,X,X
SILZOJT,O,X,O,X,X
SILOTJZ,O,X,X,X,X
SILOTZJ,O,O,X,X,X
SILOJTZ,O,O,X,X,X
SILOJZT,O,O,O,X,X
SILOZTJ,O,O,X,X,X
SILOZJT,O,X,O,X,X
SIJTLZO,O,X,X,X,X
SIJTLOZ,O,X,X,X,X
SIJTZLO,O,X,X,X,X
SIJTZOL,O,X,X,X,X
SIJTOLZ,O,X,X,X,X
SIJTOZL,O,X,X,X,X
SIJLTZO,O,O,X,X,X
SIJLTOZ,O,O,X,X,X
SIJLZTO,O,O,O,X,X
SIJLZOT,O,O,O,X,X
SIJLOTZ,O,O,X,X,X
SIJLOZT,X,O,O,X,X
SIJZTLO,O,X,O,X,X
SIJZTOL,O,X,O,X,X
SIJZLTO,O,O,O,X,X
SIJZLOT,O,O,O,X,X
SIJZOTL,O,X,O,X,X
SIJZOLT,O,O,O,X,X
SIJOTLZ,O,X,X,X,X
SIJOTZL,O,X,X,X,X
SIJOLTZ,O,O,X,X,X
SIJOLZT,O,O,O,X,X
SIJOZTL,O,X,O,X,X
SIJOZLT,O,O,O,X,X
SIZTLJO,O,X,X,X,X
SIZTLOJ,O,X,X,X,X
SIZTJLO,O,X,X,X,X
SIZTJOL,O,X,X,X,X
SIZTOLJ,O,X,X,X,X
SIZTOJL,O,X,X,X,X
SIZLTJO,O,X,X,X,X
SIZLTOJ,O,O,X,X,X
SIZLJTO,O,X,O,X,X
SIZLJOT,O,X,O,X,X
SIZLOTJ,O,O,X,X,X
SIZLOJT,O,X,O,X,X
SIZJTLO,O,X,O,X,X
SIZJTOL,O,X,O,X,X
SIZJLTO,O,O,O,X,X
SIZJLOT,O,O,O,X,X
SIZJOTL,O,X,O,X,X
SIZJOLT,O,O,O,X,X
SIZOTLJ,O,X,X,X,X
SIZOTJL,O,X,X,X,X
SIZOLTJ,O,O,X,X,X
SIZOLJT,O,X,O,X,X
SIZOJTL,O,X,O,X,X
SIZOJLT,O,O,O,X,X
SIOTLJZ,O,X,X,X,X
SIOTLZJ,O,X,X,X,O
SIOTJLZ,O,X,X,X,X
SIOTJZL,O,X,X,X,X
SIOTZLJ,O,X,X,X,O
SIOTZJL,O,X,X,X,O
SIOLTJZ,O,X,X,X,X
SIOLTZJ,O,O,X,X,X
SIOLJTZ,O,O,X,X,X
SIOLJZT,O,O,O,X,X
SIOLZTJ,O,O,X,X,X
SIOLZJT,O,X,O,X,X
SIOJTLZ,O,X,X,X,X
SIOJTZL,O,X,X,X,X
SIOJLTZ,O,O,X,X,X
SIOJLZT,O,O,O,X,X
SIOJZTL,O,X,O,X,X
SIOJZLT,O,O,O,X,X
SIOZTLJ,O,X,X,X,X
SIOZTJL,O,X,X,X,X
SIOZLTJ,O,O,X,X,X
SIOZLJT,O,X,O,X,X
SIOZJTL,O,X,O,X,X
SIOZJLT,O,O,O,X,X
SLTIJZO,O,X,X,X,X
SLTIJOZ,O,X,X,X,X
SLTIZJO,O,X,X,X,X
SLTIZOJ,O,O,X,O,X
SLTIOJZ,O,X,X,X,X
SLTIOZJ,X,O,X,O,X
SLTJIZO,O,X,X,O,X
SLTJIOZ,O,X,X,O,X
SLTJZIO,O,X,X,O,X
SLTJZOI,O,X,X,O,X
SLTJOIZ,O,X,X,O,X
SLTJOZI,O,X,X,O,X
SLTZIJO,O,X,X,X,X
SLTZIOJ,O,O,X,O,X
SLTZJIO,O,X,X,X,X
SLTZJOI,O,X,X,X,X
SLTZOIJ,O,O,X,O,X
SLTZOJI,O,X,X,O,X
SLTOIJZ,O,X,X,X,X
SLTOIZJ,X,O,X,O,X
SLTOJIZ,O,X,X,O,X
SLTOJZI,O,X,X,O,X
SLTOZIJ,O,O,X,O,X
SLTOZJI,O,X,X,O,X
SLITJZO,O,X,X,X,X
SLITJOZ,O,X,X,X,X
SLITZJO,O,X,X,X,X
SLITZOJ,O,O,X,X,X
SLITOJZ,O,X,X,X,X
SLITOZJ,X,O,X,X,X
SLIJTZO,O,O,X,X,X
SLIJTOZ,O,O,X,X,X
SLIJZTO,O,O,O,X,X
SLIJZOT,O,O,O,X,X
SLIJOTZ,O,O,X,X,X
SLIJOZT,X,O,O,X,X
SLIZTJO,O,X,X,X,X
SLIZTOJ,O,O,X,X,X
SLIZJTO,O,X,O,X,X
SLIZJOT,O,X,O,X,X
SLIZOTJ,O,O,X,X,X
SLIZOJT,O,X,O,X,X
SLIOTJZ,O,X,X,X,X
SLIOTZJ,O,O,X,X,X
SLIOJTZ,O,O,X,X,X
SLIOJZT,O,O,O,X,X
SLIOZTJ,O,O,X,X,X
SLIOZJT,O,X,O,X,X
SLJTIZO,O,O,X,X,X
SLJTIOZ,O,O,X,X,X
SLJTZIO,O,O,X,X,X
SLJTZOI,O,O,X,X,X
SLJTOIZ,O,O,X,X,X
SLJTOZI,O,O,X,X,X
SLJITZO,O,O,X,X,X
SLJITOZ,O,O,X,X,X
SLJIZTO,O,O,O,X,X
SLJIZOT,O,O,O,X,X
SLJIOTZ,O,O,X,X,X
SLJIOZT,X,O,O,X,X
SLJZTIO,O,O,O,X,X
SLJZTOI,O,O,O,X,X
SLJZITO,O,O,O,X,X
SLJZIOT,O,O,O,X,X
SLJZOTI,O,O,O,X,X
SLJZOIT,O,O,O,X,X
SLJOTIZ,O,O,X,X,X
SLJOTZI,O,O,X,X,X
SLJOITZ,O,O,X,X,X
SLJOIZT,X,O,O,X,X
SLJOZTI,O,O,O,X,X
SLJOZIT,O,O,O,X,X
SLZTIJO,O,X,X,X,X
SLZTIOJ,O,O,X,X,X
SLZTJIO,O,X,X,X,X
SLZTJOI,O,X,X,X,X
SLZTOIJ,O,O,X,X,X
SLZTOJI,O,X,X,X,X
SLZITJO,O,X,X,X,X
SLZITOJ,O,O,X,X,X
SLZIJTO,O,X,O,X,X
SLZIJOT,O,X,O,X,X
SLZIOTJ,O,O,X,X,X
SLZIOJT,O,X,O,X,X
SLZJTIO,O,X,O,X,X
SLZJTOI,O,X,O,X,X
SLZJITO,O,X,O,X,X
SLZJIOT,O,X,O,X,X
SLZJOTI,O,X,O,X,X
SLZJOIT,O,X,O,X,X
SLZOTIJ,O,O,X,X,X
SLZOTJI,O,X,X,X,X
SLZOITJ,O,O,X,X,X
SLZOIJT,O,X,O,X,X
SLZOJTI,O,X,O,X,X
SLZOJIT,O,X,O,X,X
SLOTIJZ,O,X,X,X,X
SLOTIZJ,O,O,X,O,X
SLOTJIZ,O,X,X,O,X
SLOTJZI,O,X,X,O,X
SLOTZIJ,O,O,X,O,X
SLOTZJI,O,X,X,O,X
SLOITJZ,O,X,X,X,X
SLOITZJ,O,O,X,X,X
SLOIJTZ,O,O,X,X,X
SLOIJZT,O,O,O,X,X
SLOIZTJ,O,O,X,X,X
SLOIZJT,O,X,O,X,X
SLOJTIZ,O,O,X,X,X
SLOJTZI,O,O,X,X,X
SLOJITZ,O,O,X,X,X
SLOJIZT,O,O,O,X,X
SLOJZTI,O,O,O,X,X
SLOJZIT,O,O,O,X,X
SLOZTIJ,O,O,X,X,X
SLOZTJI,O,X,X,X,X
SLOZITJ,O,O,X,X,X
SLOZIJT,O,X,O,X,X
SLOZJTI,O,X,O,X,X
SLOZJIT,O,X,O,X,X
SJTILZO,O,X,X,X,X
SJTILOZ,O,X,X,X,X
SJTIZLO,O,X,X,X,X
SJTIZOL,O,X,X,X,X
SJTIOLZ,O,X,X,X,X
SJTIOZL,O,X,X,X,X
SJTLIZO,O,X,X,O,X
SJTLIOZ,O,X,X,O,X
SJTLZIO,O,X,X,O,X
SJTLZOI,O,X,X,O,X
SJTLOIZ,O,X,X,O,X
SJTLOZI,O,X,X,O,X
SJTZILO,O,X,X,X,X
SJTZIOL,O,X,X,X,X
SJTZLIO,O,X,X,O,X
SJTZLOI,O,X,X,O,X
SJTZOIL,O,X,X,X,X
SJTZOLI,O,X,X,O,X
SJTOILZ,O,X,X,X,X
SJTOIZL,O,X,X,X,X
SJTOLIZ,O,X,X,O,X
SJTOLZI,O,X,X,O,X
SJTOZIL,O,X,X,X,X
SJTOZLI,O,X,X,O,X
SJITLZO,O,X,X,X,X
SJITLOZ,O,X,X,X,X
SJITZLO,O,X,X,X,X
SJITZOL,O,X,X,X,X
SJITOLZ,O,X,X,X,X
SJITOZL,O,X,X,X,X
SJILTZO,O,O,X,X,X
SJILTOZ,O,O,X,X,X
SJILZTO,O,O,O,X,X
SJILZOT,O,O,O,X,X
SJILOTZ,O,O,X,X,X
SJILOZT,X,O,O,X,X
SJIZTLO,O,X,O,X,X
SJIZTOL,O,X,O,X,X
SJIZLTO,O,O,O,X,X
SJIZLOT,O,O,O,X,X
SJIZOTL,O,X,O,X,X
SJIZOLT,O,O,O,X,X
SJIOTLZ,O,X,X,X,X
SJIOTZL,O,X,X,X,X
SJIOLTZ,O,O,X,X,X
SJIOLZT,O,O,O,X,X
SJIOZTL,O,X,O,X,X
SJIOZLT,O,O,O,X,X
SJLTIZO,O,O,X,X,X
SJLTIOZ,O,O,X,X,X
SJLTZIO,O,O,X,X,X
SJLTZOI,O,O,X,X,X
SJLTOIZ,O,O,X,X,X
SJLTOZI,O,O,X,X,X
SJLITZO,O,O,X,X,X
SJLITOZ,O,O,X,X,X
SJLIZTO,O,O,O,X,X
SJLIZOT,O,O,O,X,X
SJLIOTZ,O,O,X,X,X
SJLIOZT,X,O,O,X,X
SJLZTIO,O,O,O,X,X
SJLZTOI,O,O,O,X,X
SJLZITO,O,O,O,X,X
SJLZIOT,O,O,O,X,X
SJLZOTI,O,O,O,X,X
SJLZOIT,O,O,O,X,X
SJLOTIZ,O,O,X,X,X
SJLOTZI,O,O,X,X,X
SJLOITZ,O,O,X,X,X
SJLOIZT,X,O,O,X,X
SJLOZTI,O,O,O,X,X
SJLOZIT,O,O,O,X,X
SJZTILO,O,X,O,X,X
SJZTIOL,O,X,O,X,X
SJZTLIO,O,X,O,O,X
SJZTLOI,O,X,O,O,X
SJZTOIL,O,X,O,X,X
SJZTOLI,O,X,O,O,X
SJZITLO,O,X,O,X,X
SJZITOL,O,X,O,X,X
SJZILTO,O,O,O,X,X
SJZILOT,O,O,O,X,X
SJZIOTL,O,X,O,X,X
SJZIOLT,O,O,O,X,X
SJZLTIO,O,O,O,X,X
SJZLTOI,O,O,O,X,X
SJZLITO,O,O,O,X,X
SJZLIOT,O,O,O,X,X
SJZLOTI,O,O,O,X,X
SJZLOIT,O,O,O,X,X
SJZOTIL,O,X,O,X,X
SJZOTLI,O,X,O,O,X
SJZOITL,O,X,O,X,X
SJZOILT,O,O,O,X,X
SJZOLTI,O,O,O,X,X
SJZOLIT,O,O,O,X,X
SJOTILZ,O,X,X,X,X
SJOTIZL,O,X,X,X,X
SJOTLIZ,O,X,X,O,X
SJOTLZI,O,X,X,O,X
SJOTZIL,O,X,X,X,X
SJOTZLI,O,X,X,O,X
SJOITLZ,O,X,X,X,X
SJOITZL,O,X,X,X,X
SJOILTZ,O,O,X,X,X
SJOILZT,O,O,O,X,X
SJOIZTL,O,X,O,X,X
SJOIZLT,O,O,O,X,X
SJOLTIZ,O,O,X,X,X
SJOLTZI,O,O,X,X,X
SJOLITZ,O,O,X,X,X
SJOLIZT,O,O,O,X,X
SJOLZTI,O,O,O,X,X
SJOLZIT,O,O,O,X,X
SJOZTIL,O,X,O,X,X
SJOZTLI,O,X,O,O,X
SJOZITL,O,X,O,X,X
SJOZILT,O,O,O,X,X
SJOZLTI,O,O,O,X,X
SJOZLIT,O,O,O,X,X
SZTILJO,O,X,X,X,X
SZTILOJ,O,X,X,X,X
SZTIJLO,O,X,X,X,X
SZTIJOL,O,X,X,X,X
SZTIOLJ,O,X,X,X,X
SZTIOJL,O,X,X,X,X
SZTLIJO,O,X,X,X,X
SZTLIOJ,O,X,X,O,X
SZTLJIO,O,X,X,X,X
SZTLJOI,O,X,X,X,X
SZTLOIJ,O,X,X,O,X
SZTLOJI,O,X,X,O,X
SZTJILO,O,X,X,X,X
SZTJIOL,O,X,X,X,X
SZTJLIO,O,X,X,X,X
SZTJLOI,O,X,X,X,X
SZTJOIL,O,X,X,X,X
SZTJOLI,O,X,X,X,X
SZTOILJ,O,X,X,X,X
SZTOIJL,O,X,X,X,X
SZTOLIJ,O,X,X,O,X
SZTOLJI,O,X,X,O,X
SZTOJIL,O,X,X,X,X
SZTOJLI,O,X,X,X,X
SZITLJO,O,X,X,X,X
SZITLOJ,O,X,X,X,X
SZITJLO,O,X,X,X,X
SZITJOL,O,X,X,X,X
SZITOLJ,O,X,X,X,X
SZITOJL,O,X,X,X,X
SZILTJO,O,X,X,X,X
SZILTOJ,O,O,X,X,X
SZILJTO,O,X,O,X,X
SZILJOT,O,X,O,X,X
SZILOTJ,O,O,X,X,X
SZILOJT,O,X,O,X,X
SZIJTLO,O,X,O,X,X
SZIJTOL,O,X,O,X,X
SZIJLTO,O,O,O,X,X
SZIJLOT,O,O,O,X,X
SZIJOTL,O,X,O,X,X
SZIJOLT,O,O,O,X,X
SZIOTLJ,O,X,X,X,X
SZIOTJL,O,X,X,X,X
SZIOLTJ,O,O,X,X,X
SZIOLJT,O,X,O,X,X
SZIOJTL,O,X,O,X,X
SZIOJLT,O,O,O,X,X
SZLTIJO,O,X,X,X,X
SZLTIOJ,O,O,X,X,X
SZLTJIO,O,X,X,X,X
SZLTJOI,O,X,X,X,X
SZLTOIJ,O,O,X,X,X
SZLTOJI,O,X,X,X,X
SZLITJO,O,X,X,X,X
SZLITOJ,O,O,X,X,X
SZLIJTO,O,X,O,X,X
SZLIJOT,O,X,O,X,X
SZLIOTJ,O,O,X,X,X
SZLIOJT,O,X,O,X,X
SZLJTIO,O,X,O,X,X
SZLJTOI,O,X,O,X,X
SZLJITO,O,X,O,X,X
SZLJIOT,O,X,O,X,X
SZLJOTI,O,X,O,X,X
SZLJOIT,O,X,O,X,X
SZLOTIJ,O,O,X,X,X
SZLOTJI,O,X,X,X,X
SZLOITJ,O,O,X,X,X
SZLOIJT,O,X,O,X,X
SZLOJTI,O,X,O,X,X
SZLOJIT,O,X,O,X,X
SZJTILO,O,X,O,X,X
SZJTIOL,O,X,O,X,X
SZJTLIO,O,X,O,O,X
SZJTLOI,O,X,O,O,X
SZJTOIL,O,X,O,X,X
SZJTOLI,O,X,O,O,X
SZJITLO,O,X,O,X,X
SZJITOL,O,X,O,X,X
SZJILTO,O,O,O,X,X
SZJILOT,O,O,O,X,X
SZJIOTL,O,X,O,X,X
SZJIOLT,O,O,O,X,X
SZJLTIO,O,O,O,X,X
SZJLTOI,O,O,O,X,X
SZJLITO,O,O,O,X,X
SZJLIOT,O,O,O,X,X
SZJLOTI,O,O,O,X,X
SZJLOIT,O,O,O,X,X
SZJOTIL,O,X,O,X,X
SZJOTLI,O,X,O,O,X
SZJOITL,O,X,O,X,X
SZJOILT,O,O,O,X,X
SZJOLTI,O,O,O,X,X
SZJOLIT,O,O,O,X,X
SZOTILJ,O,X,X,X,X
SZOTIJL,O,X,X,X,X
SZOTLIJ,O,X,X,O,X
SZOTLJI,O,X,X,O,X
SZOTJIL,O,X,X,X,X
SZOTJLI,O,X,X,X,X
SZOITLJ,O,X,X,X,X
SZOITJL,O,X,X,X,X
SZOILTJ,O,O,X,X,X
SZOILJT,O,X,O,X,X
SZOIJTL,O,X,O,X,X
SZOIJLT,O,O,O,X,X
SZOLTIJ,O,O,X,X,X
SZOLTJI,O,X,X,X,X
SZOLITJ,O,O,X,X,X
SZOLIJT,O,X,O,X,X
SZOLJTI,O,X,O,X,X
SZOLJIT,O,X,O,X,X
SZOJTIL,O,X,O,X,X
SZOJTLI,O,X,O,O,X
SZOJITL,O,X,O,X,X
SZOJILT,O,O,O,X,X
SZOJLTI,O,O,O,X,X
SZOJLIT,O,O,O,X,X
SOTILJZ,O,X,X,X,X
SOTILZJ,O,X,X,X,O
SOTIJLZ,O,X,X,X,X
SOTIJZL,O,X,X,X,X
SOTIZLJ,O,X,X,X,O
SOTIZJL,O,X,X,X,O
SOTLIJZ,O,X,X,X,X
SOTLIZJ,O,X,X,O,O
SOTLJIZ,O,X,X,O,X
SOTLJZI,O,X,X,O,X
SOTLZIJ,O,X,X,O,O
SOTLZJI,O,X,X,O,O
SOTJILZ,O,X,X,X,X
SOTJIZL,O,X,X,X,X
SOTJLIZ,O,X,X,O,X
SOTJLZI,O,X,X,O,X
SOTJZIL,O,X,X,X,X
SOTJZLI,O,X,X,O,X
SOTZILJ,O,X,X,X,O
SOTZIJL,O,X,X,X,O
SOTZLIJ,O,X,X,O,O
SOTZLJI,O,X,X,O,O
SOTZJIL,O,X,X,X,O
SOTZJLI,O,X,X,X,O
SOITLJZ,O,X,X,X,X
SOITLZJ,O,X,X,X,O
SOITJLZ,O,X,X,X,X
SOITJZL,O,X,X,X,X
SOITZLJ,O,X,X,X,O
SOITZJL,O,X,X,X,O
SOILTJZ,O,X,X,X,X
SOILTZJ,O,O,X,X,X
SOILJTZ,O,O,X,X,X
SOILJZT,O,O,O,X,X
SOILZTJ,O,O,X,X,X
SOILZJT,O,X,O,X,X
SOIJTLZ,O,X,X,X,X
SOIJTZL,O,X,X,X,X
SOIJLTZ,O,O,X,X,X
SOIJLZT,O,O,O,X,X
SOIJZTL,O,X,O,X,X
SOIJZLT,O,O,O,X,X
SOIZTLJ,O,X,X,X,X
SOIZTJL,O,X,X,X,X
SOIZLTJ,O,O,X,X,X
SOIZLJT,O,X,O,X,X
SOIZJTL,O,X,O,X,X
SOIZJLT,O,O,O,X,X
SOLTIJZ,O,X,X,X,X
SOLTIZJ,O,O,X,O,X
SOLTJIZ,O,X,X,O,X
SOLTJZI,O,X,X,O,X
SOLTZIJ,O,O,X,O,X
SOLTZJI,O,X,X,O,X
SOLITJZ,O,X,X,X,X
SOLITZJ,O,O,X,X,X
SOLIJTZ,O,O,X,X,X
SOLIJZT,O,O,O,X,X
SOLIZTJ,O,O,X,X,X
SOLIZJT,O,X,O,X,X
SOLJTIZ,O,O,X,X,X
SOLJTZI,O,O,X,X,X
SOLJITZ,O,O,X,X,X
SOLJIZT,O,O,O,X,X
SOLJZTI,O,O,O,X,X
SOLJZIT,O,O,O,X,X
SOLZTIJ,O,O,X,X,X
SOLZTJI,O,X,X,X,X
SOLZITJ,O,O,X,X,X
SOLZIJT,O,X,O,X,X
SOLZJTI,O,X,O,X,X
SOLZJIT,O,X,O,X,X
SOJTILZ,O,X,X,X,X
SOJTIZL,O,X,X,X,X
SOJTLIZ,O,X,X,O,X
SOJTLZI,O,X,X,O,X
SOJTZIL,O,X,X,X,X
SOJTZLI,O,X,X,O,X
SOJITLZ,O,X,X,X,X
SOJITZL,O,X,X,X,X
SOJILTZ,O,O,X,X,X
SOJILZT,O,O,O,X,X
SOJIZTL,O,X,O,X,X
SOJIZLT,O,O,O,X,X
SOJLTIZ,O,O,X,X,X
SOJLTZI,O,O,X,X,X
SOJLITZ,O,O,X,X,X
SOJLIZT,O,O,O,X,X
SOJLZTI,O,O,O,X,X
SOJLZIT,O,O,O,X,X
SOJZTIL,O,X,O,X,X
SOJZTLI,O,X,O,O,X
SOJZITL,O,X,O,X,X
SOJZILT,O,O,O,X,X
SOJZLTI,O,O,O,X,X
SOJZLIT,O,O,O,X,X
SOZTILJ,O,X,X,X,X
SOZTIJL,O,X,X,X,X
SOZTLIJ,O,X,X,O,X
SOZTLJI,O,X,X,O,X
SOZTJIL,O,X,X,X,X
SOZTJLI,O,X,X,X,X
SOZITLJ,O,X,X,X,X
SOZITJL,O,X,X,X,X
SOZILTJ,O,O,X,X,X
SOZILJT,O,X,O,X,X
SOZIJTL,O,X,O,X,X
SOZIJLT,O,O,O,X,X
SOZLTIJ,O,O,X,X,X
SOZLTJI,O,X,X,X,X
SOZLITJ,O,O,X,X,X
SOZLIJT,O,X,O,X,X
SOZLJTI,O,X,O,X,X
SOZLJIT,O,X,O,X,X
SOZJTIL,O,X,O,X,X
SOZJTLI,O,X,O,O,X
SOZJITL,O,X,O,X,X
SOZJILT,O,O,O,X,X
SOZJLTI,O,O,O,X,X
SOZJLIT,O,O,O,X,X
ZTILJSO,O,X,O,X,O
ZTILJOS,X,O,O,O,O
ZTILSJO,O,X,X,X,O
ZTILSOJ,O,O,X,O,O
ZTILOJS,X,O,O,O,O
ZTILOSJ,O,O,X,O,O
ZTIJLSO,O,O,O,X,O
ZTIJLOS,X,O,O,X,O
ZTIJSLO,O,X,O,X,O
ZTIJSOL,O,X,O,X,O
ZTIJOLS,X,O,O,X,O
ZTIJOSL,O,X,O,X,O
ZTISLJO,O,X,X,X,O
ZTISLOJ,O,X,X,X,O
ZTISJLO,O,X,X,X,O
ZTISJOL,O,X,X,X,O
ZTISOLJ,O,X,X,X,O
ZTISOJL,O,X,X,X,O
ZTIOLJS,O,O,O,O,O
ZTIOLSJ,O,O,X,O,O
ZTIOJLS,X,O,O,X,O
ZTIOJSL,O,X,O,X,O
ZTIOSLJ,O,X,X,X,O
ZTIOSJL,O,X,X,X,O
ZTLIJSO,O,X,O,X,O
ZTLIJOS,X,O,O,O,O
ZTLISJO,O,X,X,X,O
ZTLISOJ,O,O,X,O,O
ZTLIOJS,X,O,O,O,O
ZTLIOSJ,O,O,X,O,O
ZTLJISO,O,X,O,O,O
ZTLJIOS,X,O,O,O,O
ZTLJSIO,O,X,O,O,O
ZTLJSOI,O,X,O,O,O
ZTLJOIS,X,O,O,O,O
ZTLJOSI,X,X,O,O,O
ZTLSIJO,O,X,X,X,O
ZTLSIOJ,O,O,X,O,O
ZTLSJIO,O,X,X,X,O
ZTLSJOI,O,X,X,X,O
ZTLSOIJ,O,O,X,O,O
ZTLSOJI,O,X,X,O,O
ZTLOIJS,X,O,O,O,O
ZTLOISJ,O,O,X,O,O
ZTLOJIS,X,O,O,O,O
ZTLOJSI,X,X,O,O,O
ZTLOSIJ,O,O,X,O,O
ZTLOSJI,O,X,X,O,O
ZTJILSO,O,O,O,O,O
ZTJILOS,X,O,O,O,O
ZTJISLO,O,X,O,X,O
ZTJISOL,O,X,O,X,O
ZTJIOLS,X,O,O,O,O
ZTJIOSL,O,X,O,X,O
ZTJLISO,O,O,O,O,O
ZTJLIOS,X,O,O,O,O
ZTJLSIO,O,O,O,O,O
ZTJLSOI,O,O,O,O,O
ZTJLOIS,X,O,O,O,O
ZTJLOSI,X,O,O,O,O
ZTJSILO,O,X,O,X,O
ZTJSIOL,O,X,O,X,O
ZTJSLIO,O,X,O,O,O
ZTJSLOI,X,X,O,O,O
ZTJSOIL,O,X,O,X,O
ZTJSOLI,X,X,O,O,O
ZTJOILS,X,O,O,O,O
ZTJOISL,O,X,O,X,O
ZTJOLIS,X,O,O,O,O
ZTJOLSI,X,O,O,O,O
ZTJOSIL,O,X,O,X,O
ZTJOSLI,O,X,O,O,O
ZTSILJO,O,X,X,X,O
ZTSILOJ,O,X,X,X,O
ZTSIJLO,O,X,X,X,O
ZTSIJOL,O,X,X,X,O
ZTSIOLJ,O,X,X,X,O
ZTSIOJL,O,X,X,X,O
ZTSLIJO,O,X,X,X,O
ZTSLIOJ,O,X,X,O,O
ZTSLJIO,O,X,X,X,O
ZTSLJOI,O,X,X,X,O
ZTSLOIJ,O,X,X,O,O
ZTSLOJI,O,X,X,O,O
ZTSJILO,O,X,X,X,O
ZTSJIOL,O,X,X,X,O
ZTSJLIO,O,X,X,X,O
ZTSJLOI,O,X,X,X,O
ZTSJOIL,O,X,X,X,O
ZTSJOLI,O,X,X,X,O
ZTSOILJ,O,X,X,X,O
ZTSOIJL,O,X,X,X,O
ZTSOLIJ,O,X,X,O,O
ZTSOLJI,O,X,X,O,O
ZTSOJIL,O,X,X,X,O
ZTSOJLI,O,X,X,X,O
ZTOILJS,O,O,O,O,O
ZTOILSJ,O,O,X,O,O
ZTOIJLS,X,O,O,X,O
ZTOIJSL,O,X,O,X,O
ZTOISLJ,O,X,X,X,O
ZTOISJL,O,X,X,X,O
ZTOLIJS,O,O,O,O,O
ZTOLISJ,O,O,X,O,O
ZTOLJIS,O,O,O,O,O
ZTOLJSI,O,X,O,O,O
ZTOLSIJ,O,O,X,O,O
ZTOLSJI,O,X,X,O,O
ZTOJILS,X,O,O,O,O
ZTOJISL,O,X,O,X,O
ZTOJLIS,X,O,O,O,O
ZTOJLSI,X,O,O,O,O
ZTOJSIL,O,X,O,X,O
ZTOJSLI,O,X,O,O,O
ZTOSILJ,O,X,X,X,O
ZTOSIJL,O,X,X,X,O
ZTOSLIJ,O,X,X,O,O
ZTOSLJI,O,X,X,O,O
ZTOSJIL,O,X,X,X,O
ZTOSJLI,O,X,X,X,O
ZITLJSO,O,X,O,X,O
ZITLJOS,X,O,O,O,O
ZITLSJO,O,X,X,X,O
ZITLSOJ,O,O,X,O,O
ZITLOJS,X,O,O,O,O
ZITLOSJ,O,O,X,O,O
ZITJLSO,O,O,O,X,O
ZITJLOS,X,O,O,X,O
ZITJSLO,O,X,O,X,O
ZITJSOL,O,X,O,X,O
ZITJOLS,X,O,O,X,O
ZITJOSL,O,X,O,X,O
ZITSLJO,O,X,X,X,O
ZITSLOJ,O,X,X,X,O
ZITSJLO,O,X,X,X,O
ZITSJOL,O,X,X,X,O
ZITSOLJ,O,X,X,X,O
ZITSOJL,O,X,X,X,O
ZITOLJS,O,O,O,O,O
ZITOLSJ,O,O,X,O,O
ZITOJLS,X,O,O,X,O
ZITOJSL,O,X,O,X,O
ZITOSLJ,O,X,X,X,O
ZITOSJL,O,X,X,X,O
ZILTJSO,O,X,O,X,X
ZILTJOS,X,O,O,X,X
ZILTSJO,O,X,X,X,X
ZILTSOJ,O,O,X,X,X
ZILTOJS,X,O,O,X,X
ZILTOSJ,O,O,X,X,X
ZILJTSO,O,O,O,X,X
ZILJTOS,X,O,O,X,X
ZILJSTO,O,O,O,X,X
