sequence,v115@KhA8FeD8DeC8AeC8DeA8Jex/IvhF0hB6nBTjB/rB2x?BlpB,v115@KhA8FeD8DeC8AeC8DeA8JeFAJvhFmhBTjBxrB/pBqs?B0rB,v115@KhA8FeD8DeC8AeC8DeA8JeFAJvhFihBxrB/pBusBct?BzrB,v115@KhA8FeD8DeC8AeC8DeA8Je2EJvhFxhBTjB/rB0sBFs?BCqB,v115@KhA8FeD8DeC8AeC8DeA8Jex/IvhFKmBzhBXsBusBct?BlpB,v115@KhA8FeD8DeC8AeC8DeA8Jex/IvhFKmB3iBTsBurBct?BlpB,v115@KhA8FeD8DeC8AeC8DeA8JeFAJvhFymBGjBxrB/pBzs?B0rB,v115@KhA8FeD8DeC8AeC8DeA8Jex/IvhFKmBWnBTjB0sBlp?BXsB,v115@KhA8FeD8DeC8AeC8DeA8JeFAJvhFKmBGjBRnB0sB/p?BzrB,v115@KhA8FeD8DeC8AeC8DeA8JeFAJvhFmhBSoBxrB/pB0r?BzsB,v115@KhA8FeD8DeC8AeC8DeA8Je2EJvhFTjBxrB/rB0sBCq?BFsB,v115@KhA8FeD8DeC8AeC8DeA8Jex/IvhF0hBTjB2rBqsBlp?BXsB,v115@KhA8FeD8DeC8AeC8DeA8Jex/IvhFThBSoB/sB0rBlp?BmsB,v115@KhA8FeD8DeC8AeC8DeA8Jex/IvhF0hBSoB/rBTsBlp?BmsB,v115@KhA8FeD8DeC8AeC8DeA8JeFAJvhFxhBTjBmmBqsB0r?B/pB,v115@KhA8FeD8DeC8AeC8DeA8Jex/IvhFOmBTjBCnB0sBlp?BXsB,v115@KhA8FeD8DeC8AeC8DeA8Je2EJvhFTjBxmB/rB0sBCq?BFsB,v115@KhA8FeD8DeC8AeC8DeA8Je2EJvhFTmBxnBcsBCqBlr?BXtB,v115@KhA8FeD8DeC8AeC8DeA8Jex/IvhFOmB8mBTjBXsBqs?BlpB
IJSLOZT,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJSZTLO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IJSZTOL,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IJSZLTO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IJSZLOT,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
IJSZOTL,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IJSZOLT,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O
IJSOTLZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSOTZL,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJSOLTZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSOLZT,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJSOZTL,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
IJSOZLT,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
IJZTLSO,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IJZTLOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZTSLO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IJZTSOL,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IJZTOLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZTOSL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IJZLTSO,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
IJZLTOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJZLSTO,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IJZLSOT,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
IJZLOTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJZLOST,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X
IJZSTLO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IJZSTOL,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IJZSLTO,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IJZSLOT,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
IJZSOTL,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X
IJZSOLT,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X
IJZOTLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IJZOTSL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
IJZOLTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IJZOLST,O,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X,O,O,X
IJZOSTL,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X
IJZOSLT,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X
IJOTLSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOTLZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOTSLZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOTSZL,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOTZLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IJOTZSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IJOLTSZ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IJOLTZS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOLSTZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOLSZT,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOLZTS,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
IJOLZST,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X
IJOSTLZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOSTZL,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOSLTZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOSLZT,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJOSZTL,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
IJOSZLT,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
IJOZTLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IJOZTSL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
IJOZLTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IJOZLST,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X
IJOZSTL,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X
IJOZSLT,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X
ISTLJZO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISTLJOZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISTLZJO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISTLZOJ,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ISTLOJZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISTLOZJ,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ISTJLZO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISTJLOZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISTJZLO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISTJZOL,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ISTJOLZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISTJOZL,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISTZLJO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISTZLOJ,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ISTZJLO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISTZJOL,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ISTZOLJ,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ISTZOJL,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ISTOLJZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISTOLZJ,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ISTOJLZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISTOJZL,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISTOZLJ,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ISTOZJL,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ISLTJZO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLTJOZ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLTZJO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLTZOJ,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ISLTOJZ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLTOZJ,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ISLJTZO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLJTOZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLJZTO,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLJZOT,O,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ISLJOTZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLJOZT,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISLZTJO,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLZTOJ,X,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ISLZJTO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISLZJOT,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
ISLZOTJ,X,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ISLZOJT,X,O,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ISLOTJZ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLOTZJ,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ISLOJTZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLOJZT,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ISLOZTJ,X,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ISLOZJT,X,O,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
ISJTLZO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJTLOZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJTZLO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJTZOL,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ISJTOLZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJTOZL,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJLTZO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJLTOZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJLZTO,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJLZOT,O,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ISJLOTZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOZT,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJZTLO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISJZTOL,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ISJZLTO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISJZLOT,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
ISJZOTL,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ISJZOLT,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O
ISJOTLZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJOTZL,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJOLTZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJOLZT,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJOZTL,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
ISJOZLT,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
ISZTLJO,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISZTLOJ,X,O,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ISZTJLO,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
ISZTJOL,X,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
ISZTOLJ,X,O,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ISZTOJL,X,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
ISZLTJO,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISZLTOJ,X,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ISZLJTO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISZLJOT,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
ISZLOTJ,X,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ISZLOJT,X,O,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ISZJTLO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISZJTOL,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O
ISZJLTO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISZJLOT,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
ISZJOTL,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ISZJOLT,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O
ISZOTLJ,X,O,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ISZOTJL,X,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
ISZOLTJ,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ISZOLJT,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ISZOJTL,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ISZOJLT,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O
ISOTLJZ,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ISOTLZJ,X,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
ISOTJLZ,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ISOTJZL,O,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ISOTZLJ,X,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
ISOTZJL,X,O,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X
ISOLTJZ,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ISOLTZJ,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
ISOLJTZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOLJZT,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ISOLZTJ,X,O,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
ISOLZJT,X,O,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
ISOJTLZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOJTZL,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISOJLTZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOJLZT,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISOJZTL,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
ISOJZLT,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
ISOZTLJ,X,O,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
ISOZTJL,X,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X
ISOZLTJ,X,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
ISOZLJT,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ISOZJTL,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ISOZJLT,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O
IZTLJSO,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZTLJOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLSJO,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZTLSOJ,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZTLOJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJLSO,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZTJLOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJSLO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTJSOL,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZTJOLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJOSL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IZTSLJO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTSLOJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTSJLO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTSJOL,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZTSOLJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTSOJL,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZTOLJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOJLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOJSL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IZTOSLJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSJL,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLTJSO,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZLTJOS,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLTSJO,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZLTSOJ,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZLTOJS,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLTOSJ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,X,O,O,X,X,X,X,O,O,O,X,X,X,X,O,O,X,X,X
IZLJTOS,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
IZLJSTO,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IZLJSOT,X,O,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X
IZLJOTS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
IZLJOST,X,O,O,X,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X
IZLSTJO,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZLSTOJ,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IZLSJTO,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZLSJOT,X,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
IZLSOTJ,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IZLSOJT,X,O,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X
IZLOTJS,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLOJTS,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X
IZLOJST,X,O,O,X,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X
IZLOSTJ,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IZLOSJT,X,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X
IZJTLSO,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZJTLOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTSLO,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJTSOL,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJTOLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTOSL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IZJLTSO,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X
IZJLTOS,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZJLSTO,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZJLSOT,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
IZJLOTS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZJLOST,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X
IZJSTLO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSTOL,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IZJSLTO,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZJSLOT,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
IZJSOTL,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X
IZJSOLT,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X
IZJOTLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJOTSL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
IZJOLTS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X
IZJOLST,O,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X,O,O,X
IZJOSTL,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X
IZJOSLT,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X
IZSTLJO,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSTLOJ,X,O,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IZSTJLO,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
IZSTJOL,X,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
IZSTOLJ,X,O,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IZSTOJL,X,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
IZSLTJO,X,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
IZSLTOJ,X,O,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
IZSLJTO,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O
IZSLJOT,X,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O
IZSLOTJ,X,O,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
IZSLOJT,X,O,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X
IZSJTLO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZSJTOL,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IZSJLTO,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O
IZSJLOT,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O
IZSJOTL,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X
IZSJOLT,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,O
IZSOTLJ,X,O,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IZSOTJL,X,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
IZSOLTJ,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IZSOLJT,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IZSOJTL,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X
IZSOJLT,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,O
IZOTLJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJSL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
