sequence,v115@9gC8GeA8IeB8HeC8CeC8KeSFJvhFlhBziB5oB/rB2s?B0qB,v115@9gC8GeA8IeB8HeC8CeC8KeSFJvhFThBmiB5oB0nBlq?B3rB,v115@9gC8GeA8IeB8HeC8CeC8KeGBJvhFiiB5oBFlB8qBzn?B3rB,v115@9gC8GeA8IeB8HeC8CeC8KezAJvhFumB3iB5oBUlBys?BVwB,v115@9gC8GeA8IeB8HeC8CeC8KezAJvhFCiBeoB5oBUlBXn?BVwB,v115@9gC8GeA8IeB8HeC8CeC8KeGBJvhFTiBRlB6tBXoB0q?BlrB,v115@9gC8GeA8IeB8HeC8CeC8KeGBJvhFTiBRlBXoB6tB0q?BlrB
TOILSJZ,X,O,O,O,X,O,O
TOILSZJ,X,O,O,O,X,X,X
TOILZJS,X,O,O,O,X,O,X
TOILZSJ,X,O,O,O,X,X,X
TOIJLSZ,X,X,O,O,O,O,O
TOIJLZS,X,O,O,O,X,O,X
TOIJSLZ,X,X,O,O,O,O,O
TOIJSZL,X,X,O,X,O,X,O
TOIJZLS,X,O,O,O,O,O,X
TOIJZSL,X,O,O,O,O,X,O
TOISLJZ,X,O,O,O,O,O,O
TOISLZJ,X,O,O,O,X,X,X
TOISJLZ,X,O,O,O,O,O,O
TOISJZL,X,O,O,X,O,X,O
TOISZLJ,X,O,O,X,X,X,X
TOISZJL,X,O,O,X,X,X,O
TOIZLJS,X,O,O,O,O,O,X
TOIZLSJ,X,O,O,O,X,X,X
TOIZJLS,X,O,O,O,O,O,X
TOIZJSL,X,O,O,O,O,X,O
TOIZSLJ,X,O,O,O,X,X,X
TOIZSJL,X,O,O,O,O,X,O
TOLIJSZ,X,X,O,O,O,O,O
TOLIJZS,X,O,O,O,X,O,X
TOLISJZ,X,O,O,O,X,O,O
TOLISZJ,X,O,O,O,X,X,X
TOLIZJS,X,O,O,O,X,O,X
TOLIZSJ,X,O,O,O,X,X,X
TOLJISZ,X,X,O,O,O,O,X
TOLJIZS,X,O,O,O,X,O,X
TOLJSIZ,X,X,O,O,O,X,X
TOLJSZI,X,X,O,O,O,X,X
TOLJZIS,X,O,O,O,X,X,X
TOLJZSI,X,O,O,O,X,X,X
TOLSIJZ,X,O,O,O,O,O,O
TOLSIZJ,X,O,O,O,X,X,X
TOLSJIZ,X,O,O,O,O,X,X
TOLSJZI,X,O,O,O,O,X,X
TOLSZIJ,X,O,O,O,X,X,X
TOLSZJI,X,O,O,O,O,X,X
TOLZIJS,X,O,O,O,X,O,X
TOLZISJ,X,O,O,O,X,O,X
TOLZJIS,X,O,O,O,X,X,X
TOLZJSI,X,O,O,O,X,X,X
TOLZSIJ,X,O,O,O,X,X,X
TOLZSJI,X,O,O,O,X,X,X
TOJILSZ,X,X,O,O,O,O,O
TOJILZS,X,O,O,O,X,O,X
TOJISLZ,X,X,O,O,O,O,O
TOJISZL,X,X,O,X,O,X,O
TOJIZLS,X,O,O,O,O,O,X
TOJIZSL,X,O,O,O,O,X,O
TOJLISZ,X,X,O,O,O,O,X
TOJLIZS,X,O,O,O,X,O,X
TOJLSIZ,X,X,O,O,O,X,X
TOJLSZI,X,X,O,O,O,X,X
TOJLZIS,X,O,O,O,X,X,X
TOJLZSI,X,O,O,O,X,X,X
TOJSILZ,X,X,O,O,O,X,O
TOJSIZL,X,X,O,X,O,X,O
TOJSLIZ,X,X,O,O,O,X,X
TOJSLZI,X,X,O,O,O,X,X
TOJSZIL,X,X,O,X,O,X,X
TOJSZLI,X,X,O,X,O,X,X
TOJZILS,X,O,O,O,O,X,X
TOJZISL,X,O,O,O,O,X,X
TOJZLIS,X,O,O,O,O,X,X
TOJZLSI,X,O,O,O,O,X,X
TOJZSIL,X,O,O,O,O,X,X
TOJZSLI,X,O,O,O,O,X,X
TOSILJZ,X,O,O,O,O,O,O
TOSILZJ,X,O,O,O,X,X,X
TOSIJLZ,X,O,O,O,O,O,O
TOSIJZL,X,O,O,X,O,X,O
TOSIZLJ,X,O,O,X,X,X,X
TOSIZJL,X,O,O,X,X,X,O
TOSLIJZ,X,O,O,O,O,O,O
TOSLIZJ,X,O,O,O,X,X,X
TOSLJIZ,X,O,O,O,O,X,X
TOSLJZI,X,O,O,O,O,X,X
TOSLZIJ,X,O,O,O,O,X,X
TOSLZJI,X,O,O,O,O,X,X
TOSJILZ,X,O,O,O,O,X,O
TOSJIZL,X,O,O,X,O,X,O
TOSJLIZ,X,O,O,O,O,X,X
TOSJLZI,X,O,O,O,O,X,X
TOSJZIL,X,O,O,X,O,X,X
TOSJZLI,X,O,O,X,O,X,X
TOSZILJ,X,O,O,X,O,X,O
TOSZIJL,X,O,O,X,O,X,O
TOSZLIJ,X,O,O,X,O,X,X
TOSZLJI,X,O,O,X,O,X,X
TOSZJIL,X,O,O,X,O,X,X
TOSZJLI,X,O,O,X,O,X,X
TOZILJS,X,O,O,O,O,O,O
TOZILSJ,X,O,O,O,X,O,O
TOZIJLS,X,O,O,O,O,O,O
TOZIJSL,X,O,O,O,O,O,O
TOZISLJ,X,O,O,O,O,O,O
TOZISJL,X,O,O,O,O,O,O
TOZLIJS,X,O,O,O,O,O,X
TOZLISJ,X,O,O,O,X,O,X
TOZLJIS,X,O,O,O,O,X,X
TOZLJSI,X,O,O,O,O,X,X
TOZLSIJ,X,O,O,O,O,X,X
TOZLSJI,X,O,O,O,O,X,X
TOZJILS,X,O,O,O,O,X,X
TOZJISL,X,O,O,O,O,X,X
TOZJLIS,X,O,O,O,O,X,X
TOZJLSI,X,O,O,O,O,X,X
TOZJSIL,X,O,O,O,O,X,X
TOZJSLI,X,O,O,O,O,X,X
TOZSILJ,X,O,O,O,O,X,O
TOZSIJL,X,O,O,O,O,X,O
TOZSLIJ,X,O,O,O,O,X,X
TOZSLJI,X,O,O,O,O,X,X
TOZSJIL,X,O,O,O,O,X,X
TOZSJLI,X,O,O,O,O,X,X
ITLJSZO,O,O,X,O,O,X,X
ITLJSOZ,O,O,X,O,O,O,O
ITLJZSO,O,O,X,O,O,X,X
ITLJZOS,O,O,X,O,O,O,X
ITLJOSZ,O,X,X,O,O,O,O
ITLJOZS,O,O,X,O,X,O,X
ITLSJZO,O,O,O,O,X,X,X
ITLSJOZ,O,O,X,O,X,O,O
ITLSZJO,O,O,O,O,X,X,X
ITLSZOJ,X,O,O,O,X,X,X
ITLSOJZ,O,O,O,O,X,O,O
ITLSOZJ,X,O,O,O,X,X,X
ITLZJSO,O,O,X,O,O,O,X
ITLZJOS,O,O,O,O,O,O,X
ITLZSJO,O,O,X,O,X,O,X
ITLZSOJ,O,O,X,O,X,O,X
ITLZOJS,X,O,O,O,O,O,X
ITLZOSJ,X,O,O,O,X,O,X
ITLOJSZ,X,X,O,O,O,O,O
ITLOJZS,X,O,O,O,X,O,X
ITLOSJZ,X,O,O,O,X,O,O
ITLOSZJ,X,O,O,O,X,X,X
ITLOZJS,X,O,O,O,X,O,X
ITLOZSJ,X,O,O,O,X,X,X
ITJLSZO,O,O,X,O,O,X,X
ITJLSOZ,O,O,X,O,O,O,O
ITJLZSO,O,O,X,O,O,X,X
ITJLZOS,O,O,X,O,O,O,X
ITJLOSZ,O,X,X,O,O,O,O
ITJLOZS,O,O,X,O,X,O,X
ITJSLZO,O,O,O,O,O,X,X
ITJSLOZ,O,O,X,O,O,O,O
ITJSZLO,O,O,O,O,O,X,X
ITJSZOL,O,O,O,O,O,X,O
ITJSOLZ,O,O,O,O,O,O,O
ITJSOZL,O,O,O,X,O,X,O
ITJZLSO,O,O,X,O,O,X,X
ITJZLOS,O,O,O,O,O,O,X
ITJZSLO,O,O,X,O,O,X,X
ITJZSOL,O,O,O,O,O,X,O
ITJZOLS,O,O,O,O,O,O,X
ITJZOSL,O,O,O,O,O,X,O
ITJOLSZ,O,X,O,O,O,O,O
ITJOLZS,O,O,O,O,X,O,X
ITJOSLZ,O,X,O,O,O,O,O
ITJOSZL,O,X,O,X,O,X,O
ITJOZLS,O,O,O,O,O,O,X
ITJOZSL,O,O,O,O,O,X,O
ITSLJZO,O,O,O,O,O,X,X
ITSLJOZ,O,O,O,O,O,O,O
ITSLZJO,O,O,O,O,O,X,X
ITSLZOJ,X,O,O,O,O,X,X
ITSLOJZ,O,O,O,O,O,O,O
ITSLOZJ,X,O,O,O,X,X,X
ITSJLZO,O,O,O,O,O,X,X
ITSJLOZ,O,O,O,O,O,O,O
ITSJZLO,O,O,O,O,O,X,X
ITSJZOL,O,O,O,O,O,X,O
ITSJOLZ,O,O,O,O,O,O,O
ITSJOZL,O,O,O,X,O,X,O
ITSZLJO,O,O,O,O,O,X,O
ITSZLOJ,X,O,O,O,O,X,O
ITSZJLO,O,O,O,O,O,X,O
ITSZJOL,O,O,O,O,O,X,O
ITSZOLJ,X,O,O,O,O,X,O
ITSZOJL,X,O,O,O,O,X,O
ITSOLJZ,O,O,O,O,O,O,O
ITSOLZJ,X,O,O,O,X,X,X
ITSOJLZ,O,O,O,O,O,O,O
ITSOJZL,O,O,O,X,O,X,O
ITSOZLJ,X,O,O,X,X,X,X
ITSOZJL,X,O,O,X,X,X,O
ITZLJSO,O,O,X,O,O,O,O
ITZLJOS,O,O,O,O,O,O,O
ITZLSJO,O,O,X,O,X,O,O
ITZLSOJ,O,O,X,O,X,O,O
ITZLOJS,X,O,O,O,O,O,O
ITZLOSJ,X,O,O,O,X,O,O
ITZJLSO,O,O,X,O,O,O,O
ITZJLOS,O,O,O,O,O,O,O
ITZJSLO,O,O,X,O,O,O,O
ITZJSOL,O,O,O,O,O,O,O
ITZJOLS,O,O,O,O,O,O,O
ITZJOSL,O,O,O,O,O,O,O
ITZSLJO,O,O,O,O,O,O,O
ITZSLOJ,O,O,O,O,O,O,O
ITZSJLO,O,O,O,O,O,O,O
ITZSJOL,O,O,O,O,O,O,O
ITZSOLJ,O,O,O,O,O,O,O
ITZSOJL,O,O,O,O,O,O,O
ITZOLJS,X,O,O,O,O,O,O
ITZOLSJ,X,O,O,O,X,O,O
ITZOJLS,X,O,O,O,O,O,O
ITZOJSL,X,O,O,O,O,O,O
ITZOSLJ,X,O,O,O,O,O,O
ITZOSJL,X,O,O,O,O,O,O
ITOLJSZ,X,X,O,O,O,O,O
ITOLJZS,X,O,O,O,X,O,X
ITOLSJZ,X,O,O,O,X,O,O
ITOLSZJ,X,O,O,O,X,X,X
ITOLZJS,X,O,O,O,X,O,X
ITOLZSJ,X,O,O,O,X,X,X
ITOJLSZ,X,X,O,O,O,O,O
ITOJLZS,X,O,O,O,X,O,X
ITOJSLZ,X,X,O,O,O,O,O
ITOJSZL,X,X,O,X,O,X,O
ITOJZLS,X,O,O,O,O,O,X
ITOJZSL,X,O,O,O,O,X,O
ITOSLJZ,X,O,O,O,O,O,O
ITOSLZJ,X,O,O,O,X,X,X
ITOSJLZ,X,O,O,O,O,O,O
ITOSJZL,X,O,O,X,O,X,O
ITOSZLJ,X,O,O,X,X,X,X
ITOSZJL,X,O,O,X,X,X,O
ITOZLJS,X,O,O,O,O,O,X
ITOZLSJ,X,O,O,O,X,X,X
ITOZJLS,X,O,O,O,O,O,X
ITOZJSL,X,O,O,O,O,X,O
ITOZSLJ,X,O,O,O,X,X,X
ITOZSJL,X,O,O,O,O,X,O
ILTJSZO,O,O,X,O,O,X,X
ILTJSOZ,O,O,X,O,O,O,O
ILTJZSO,O,O,X,O,O,X,X
ILTJZOS,O,O,X,O,O,O,X
ILTJOSZ,O,X,X,O,O,O,O
ILTJOZS,O,O,X,O,X,O,X
ILTSJZO,O,O,O,O,X,X,X
ILTSJOZ,O,O,X,O,X,O,O
ILTSZJO,O,O,O,O,X,X,X
ILTSZOJ,X,O,O,O,X,X,X
ILTSOJZ,O,O,O,O,X,O,O
ILTSOZJ,X,O,O,O,X,X,X
ILTZJSO,O,O,X,O,O,O,X
ILTZJOS,O,O,O,O,O,O,X
ILTZSJO,O,O,X,O,X,O,X
ILTZSOJ,O,O,X,O,X,O,X
ILTZOJS,X,O,O,O,O,O,X
ILTZOSJ,X,O,O,O,X,O,X
ILTOJSZ,X,X,O,O,O,O,O
ILTOJZS,X,O,O,O,X,O,X
ILTOSJZ,X,O,O,O,X,O,O
ILTOSZJ,X,O,O,O,X,X,X
ILTOZJS,X,O,O,O,X,O,X
ILTOZSJ,X,O,O,O,X,X,X
ILJTSZO,O,O,X,O,O,X,X
ILJTSOZ,O,O,X,O,O,O,X
ILJTZSO,O,O,X,O,O,X,X
ILJTZOS,O,O,X,O,O,O,X
ILJTOSZ,O,X,X,O,O,O,X
ILJTOZS,O,O,X,O,X,O,X
ILJSTZO,O,X,X,O,X,X,X
ILJSTOZ,O,X,X,O,X,O,X
ILJSZTO,O,O,X,O,X,X,X
ILJSZOT,O,O,X,X,X,X,X
ILJSOTZ,O,X,X,X,X,X,O
ILJSOZT,O,O,X,X,X,X,O
ILJZTSO,O,O,X,O,X,O,X
ILJZTOS,O,O,X,O,X,O,X
ILJZSTO,O,O,X,O,X,O,X
ILJZSOT,O,O,X,X,X,X,X
ILJZOTS,O,O,X,X,X,O,X
ILJZOST,O,O,X,X,X,X,X
ILJOTSZ,O,X,X,X,X,O,X
ILJOTZS,O,X,X,X,X,O,X
ILJOSTZ,O,X,X,X,X,X,X
ILJOSZT,O,X,X,X,X,X,X
ILJOZTS,O,X,X,X,X,X,X
ILJOZST,O,X,X,X,X,X,X
ILSTJZO,O,O,O,O,X,X,X
ILSTJOZ,O,O,O,O,X,O,O
ILSTZJO,O,O,O,O,X,X,X
ILSTZOJ,X,O,O,O,X,X,X
ILSTOJZ,O,O,O,O,X,O,O
ILSTOZJ,X,O,O,O,X,X,X
ILSJTZO,O,X,O,O,X,X,X
ILSJTOZ,O,X,O,O,X,O,X
ILSJZTO,O,O,O,O,X,X,X
ILSJZOT,O,O,O,X,X,X,X
ILSJOTZ,O,X,O,X,X,X,O
ILSJOZT,O,O,O,X,X,X,O
ILSZTJO,O,O,O,O,X,O,O
ILSZTOJ,O,O,O,O,X,O,O
ILSZJTO,O,O,O,O,X,O,X
ILSZJOT,O,O,O,X,X,X,O
ILSZOTJ,O,O,O,O,X,X,X
ILSZOJT,O,O,O,X,X,X,O
ILSOTJZ,O,X,O,O,X,X,X
ILSOTZJ,X,O,O,O,X,X,X
ILSOJTZ,O,X,O,X,X,X,O
ILSOJZT,O,O,O,X,X,X,O
ILSOZTJ,X,O,O,O,X,X,X
ILSOZJT,X,O,O,X,X,X,X
ILZTJSO,O,O,X,O,X,O,O
ILZTJOS,O,O,X,O,X,O,O
ILZTSJO,O,O,X,O,X,O,O
ILZTSOJ,O,O,X,O,X,O,O
ILZTOJS,X,O,X,O,X,O,O
ILZTOSJ,X,O,X,O,X,O,O
ILZJTSO,O,O,X,O,X,O,X
ILZJTOS,O,O,X,O,X,O,X
ILZJSTO,O,O,X,O,X,O,X
ILZJSOT,O,O,X,X,X,X,O
ILZJOTS,O,O,O,X,X,O,X
ILZJOST,O,O,O,X,X,X,X
ILZSTJO,O,O,X,O,X,O,O
ILZSTOJ,O,O,X,O,X,O,O
ILZSJTO,O,O,X,O,X,O,X
ILZSJOT,O,O,X,X,X,X,O
ILZSOTJ,O,O,X,O,X,X,X
ILZSOJT,O,O,X,X,X,X,O
ILZOTJS,X,O,O,O,X,O,X
ILZOTSJ,X,O,X,O,X,O,X
ILZOJTS,O,O,O,X,X,O,X
ILZOJST,O,O,O,X,X,X,X
ILZOSTJ,O,O,O,O,X,X,X
ILZOSJT,O,O,O,X,X,X,X
ILOTJSZ,X,X,O,O,X,O,X
ILOTJZS,X,O,O,O,X,O,X
ILOTSJZ,X,O,O,O,X,O,X
ILOTSZJ,X,O,O,O,X,X,X
ILOTZJS,X,O,O,O,X,O,X
ILOTZSJ,X,O,O,O,X,X,X
ILOJTSZ,O,X,O,X,X,O,X
ILOJTZS,O,X,O,X,X,O,X
ILOJSTZ,O,X,O,X,X,X,X
ILOJSZT,O,X,O,X,X,X,X
ILOJZTS,O,X,O,X,X,X,X
ILOJZST,O,X,O,X,X,X,X
ILOSTJZ,O,X,O,O,X,X,X
ILOSTZJ,X,O,O,O,X,X,X
ILOSJTZ,O,X,O,X,X,X,X
ILOSJZT,O,O,O,X,X,X,X
ILOSZTJ,X,O,O,O,X,X,X
ILOSZJT,X,O,O,X,X,X,X
ILOZTJS,X,O,O,O,X,O,X
ILOZTSJ,X,O,O,O,X,O,X
ILOZJTS,O,O,O,X,X,O,X
ILOZJST,O,O,O,X,X,X,X
ILOZSTJ,O,O,O,O,X,X,X
ILOZSJT,O,O,O,X,X,X,X
IJTLSZO,O,O,X,O,O,X,X
IJTLSOZ,O,O,X,O,O,O,O
IJTLZSO,O,O,X,O,O,X,X
IJTLZOS,O,O,X,O,O,O,X
IJTLOSZ,O,X,X,O,O,O,O
IJTLOZS,O,O,X,O,X,O,X
IJTSLZO,O,O,O,O,O,X,X
IJTSLOZ,O,O,X,O,O,O,O
IJTSZLO,O,O,O,O,O,X,X
IJTSZOL,O,O,O,O,O,X,O
IJTSOLZ,O,O,O,O,O,O,O
IJTSOZL,O,O,O,X,O,X,O
IJTZLSO,O,O,X,O,O,X,X
IJTZLOS,O,O,O,O,O,O,X
IJTZSLO,O,O,X,O,O,X,X
IJTZSOL,O,O,O,O,O,X,O
IJTZOLS,O,O,O,O,O,O,X
IJTZOSL,O,O,O,O,O,X,O
IJTOLSZ,O,X,O,O,O,O,O
IJTOLZS,O,O,O,O,X,O,X
IJTOSLZ,O,X,O,O,O,O,O
IJTOSZL,O,X,O,X,O,X,O
IJTOZLS,O,O,O,O,O,O,X
IJTOZSL,O,O,O,O,O,X,O
IJLTSZO,O,O,X,O,O,X,X
IJLTSOZ,O,O,X,O,O,O,X
IJLTZSO,O,O,X,O,O,X,X
IJLTZOS,O,O,X,O,O,O,X
IJLTOSZ,O,X,X,O,O,O,X
IJLTOZS,O,O,X,O,X,O,X
IJLSTZO,O,X,X,O,X,X,X
IJLSTOZ,O,X,X,O,X,O,X
IJLSZTO,O,O,X,O,X,X,X
IJLSZOT,O,O,X,X,X,X,X
IJLSOTZ,O,X,X,X,X,X,O
IJLSOZT,O,O,X,X,X,X,O
IJLZTSO,O,O,X,O,X,O,X
IJLZTOS,O,O,X,O,X,O,X
IJLZSTO,O,O,X,O,X,O,X
IJLZSOT,O,O,X,X,X,X,X
IJLZOTS,O,O,X,X,X,O,X
IJLZOST,O,O,X,X,X,X,X
IJLOTSZ,O,X,X,X,X,O,X
IJLOTZS,O,X,X,X,X,O,X
IJLOSTZ,O,X,X,X,X,X,X
IJLOSZT,O,X,X,X,X,X,X
IJLOZTS,O,X,X,X,X,X,X
IJLOZST,O,X,X,X,X,X,X
IJSTLZO,O,O,O,X,O,X,X
IJSTLOZ,O,O,O,X,O,X,O
IJSTZLO,O,O,O,X,O,X,X
IJSTZOL,O,O,O,X,O,X,O
IJSTOLZ,O,O,O,X,O,X,O
IJSTOZL,O,O,O,X,O,X,O
IJSLTZO,O,X,O,X,X,X,X
IJSLTOZ,O,X,O,X,X,O,X
IJSLZTO,O,O,O,X,X,X,X
IJSLZOT,O,O,O,X,X,X,X
IJSLOTZ,O,X,O,X,X,X,O
IJSLOZT,O,O,O,X,X,X,O
IJSZTLO,O,O,O,X,X,X,O
IJSZTOL,O,O,O,X,X,X,O
IJSZLTO,O,O,O,X,X,X,X
IJSZLOT,O,O,O,X,X,X,O
IJSZOTL,O,O,O,X,X,X,O
IJSZOLT,O,O,O,X,X,X,O
IJSOTLZ,O,X,O,X,X,X,O
IJSOTZL,O,X,O,X,X,X,X
IJSOLTZ,O,X,O,X,X,X,O
IJSOLZT,O,O,O,X,X,X,O
IJSOZTL,O,O,O,X,X,X,X
IJSOZLT,O,O,O,X,X,X,O
IJZTLSO,O,O,X,X,O,O,O
IJZTLOS,O,O,X,X,O,O,O
IJZTSLO,O,O,X,X,O,O,O
IJZTSOL,O,O,X,X,O,O,O
IJZTOLS,O,O,O,X,O,O,O
IJZTOSL,O,O,X,X,O,O,O
IJZLTSO,O,O,X,O,X,O,X
IJZLTOS,O,O,X,O,X,O,X
IJZLSTO,O,O,X,O,X,O,X
IJZLSOT,O,O,X,X,X,X,O
IJZLOTS,O,O,O,X,X,O,X
IJZLOST,O,O,O,X,X,X,X
IJZSTLO,O,O,X,X,X,X,O
IJZSTOL,O,O,X,X,X,X,O
IJZSLTO,O,O,X,X,X,O,X
IJZSLOT,O,O,X,X,X,X,O
IJZSOTL,O,O,X,X,X,X,O
IJZSOLT,O,O,O,X,X,X,O
IJZOTLS,O,O,O,X,X,X,X
IJZOTSL,O,O,X,X,X,X,X
IJZOLTS,O,O,O,X,X,O,X
IJZOLST,O,O,O,X,X,X,X
IJZOSTL,O,O,O,X,X,X,O
IJZOSLT,O,O,O,X,X,X,O
IJOTLSZ,O,X,O,X,O,X,X
IJOTLZS,O,X,O,X,X,X,X
IJOTSLZ,O,X,O,X,O,X,X
IJOTSZL,O,X,O,X,O,X,X
IJOTZLS,O,X,O,X,O,X,X
IJOTZSL,O,X,O,X,O,X,X
IJOLTSZ,O,X,O,X,X,O,X
IJOLTZS,O,X,O,X,X,O,X
IJOLSTZ,O,X,O,X,X,X,X
IJOLSZT,O,X,O,X,X,X,X
IJOLZTS,O,X,O,X,X,X,X
IJOLZST,O,X,O,X,X,X,X
IJOSTLZ,O,X,O,X,X,X,O
IJOSTZL,O,X,O,X,X,X,X
IJOSLTZ,O,X,O,X,X,X,O
IJOSLZT,O,X,O,X,X,X,O
IJOSZTL,O,X,O,X,X,X,X
IJOSZLT,O,X,O,X,X,X,O
IJOZTLS,O,X,O,X,X,X,X
IJOZTSL,O,X,X,X,X,X,X
IJOZLTS,O,X,O,X,X,X,X
IJOZLST,O,X,O,X,X,X,X
IJOZSTL,O,X,O,X,X,X,X
IJOZSLT,O,X,O,X,X,X,X
ISTLJZO,O,O,O,O,X,X,X
ISTLJOZ,O,O,O,O,X,O,O
ISTLZJO,O,O,O,O,X,X,X
ISTLZOJ,X,O,O,O,X,X,X
ISTLOJZ,O,O,O,O,X,O,O
ISTLOZJ,X,O,O,O,X,X,X
ISTJLZO,O,O,O,O,O,X,X
ISTJLOZ,O,O,O,O,O,O,O
ISTJZLO,O,O,O,O,O,X,X
ISTJZOL,O,O,O,O,O,X,O
ISTJOLZ,O,O,O,O,O,O,O
ISTJOZL,O,O,O,X,O,X,O
ISTZLJO,O,O,O,O,X,X,O
ISTZLOJ,X,O,O,O,X,X,O
ISTZJLO,O,O,O,O,O,X,O
ISTZJOL,O,O,O,O,O,X,O
ISTZOLJ,X,O,O,O,X,X,O
ISTZOJL,X,O,O,O,O,X,O
ISTOLJZ,O,O,O,O,X,O,O
ISTOLZJ,X,O,O,O,X,X,X
ISTOJLZ,O,O,O,O,O,O,O
ISTOJZL,O,O,O,X,O,X,O
ISTOZLJ,X,O,O,X,X,X,X
ISTOZJL,X,O,O,X,X,X,O
ISLTJZO,O,O,O,O,X,X,X
ISLTJOZ,O,O,O,O,X,O,O
ISLTZJO,O,O,O,O,X,X,X
ISLTZOJ,X,O,O,O,X,X,X
ISLTOJZ,O,O,O,O,X,O,O
ISLTOZJ,X,O,O,O,X,X,X
ISLJTZO,O,X,O,O,X,X,X
ISLJTOZ,O,X,O,O,X,O,X
ISLJZTO,O,O,O,O,X,X,X
ISLJZOT,O,O,O,X,X,X,X
ISLJOTZ,O,X,O,X,X,X,O
ISLJOZT,O,O,O,X,X,X,O
ISLZTJO,O,O,O,O,X,O,O
ISLZTOJ,O,O,O,O,X,O,O
ISLZJTO,O,O,O,O,X,O,X
ISLZJOT,O,O,O,X,X,X,O
ISLZOTJ,O,O,O,O,X,X,X
ISLZOJT,O,O,O,X,X,X,O
ISLOTJZ,O,X,O,O,X,X,X
ISLOTZJ,X,O,O,O,X,X,X
ISLOJTZ,O,X,O,X,X,X,O
ISLOJZT,O,O,O,X,X,X,O
ISLOZTJ,X,O,O,O,X,X,X
ISLOZJT,X,O,O,X,X,X,X
ISJTLZO,O,O,O,X,O,X,X
ISJTLOZ,O,O,O,X,O,X,O
ISJTZLO,O,O,O,X,O,X,X
ISJTZOL,O,O,O,X,O,X,O
ISJTOLZ,O,O,O,X,O,X,O
ISJTOZL,O,O,O,X,O,X,O
ISJLTZO,O,X,O,X,X,X,X
ISJLTOZ,O,X,O,X,X,O,X
ISJLZTO,O,O,O,X,X,X,X
ISJLZOT,O,O,O,X,X,X,X
ISJLOTZ,O,X,O,X,X,X,O
ISJLOZT,O,O,O,X,X,X,O
ISJZTLO,O,O,O,X,X,X,O
ISJZTOL,O,O,O,X,X,X,O
ISJZLTO,O,O,O,X,X,X,X
ISJZLOT,O,O,O,X,X,X,O
ISJZOTL,O,O,O,X,X,X,O
ISJZOLT,O,O,O,X,X,X,O
ISJOTLZ,O,X,O,X,X,X,O
ISJOTZL,O,X,O,X,X,X,X
ISJOLTZ,O,X,O,X,X,X,O
ISJOLZT,O,O,O,X,X,X,O
ISJOZTL,O,O,O,X,X,X,X
ISJOZLT,O,O,O,X,X,X,O
ISZTLJO,O,O,O,X,X,O,O
ISZTLOJ,O,O,O,X,X,O,O
ISZTJLO,O,O,O,X,X,O,O
ISZTJOL,O,O,O,X,X,O,O
ISZTOLJ,O,O,O,X,X,O,O
ISZTOJL,O,O,O,X,X,O,O
ISZLTJO,O,O,O,O,X,O,O
ISZLTOJ,O,O,O,O,X,O,O
ISZLJTO,O,O,O,O,X,O,X
ISZLJOT,O,O,O,X,X,X,O
ISZLOTJ,O,O,O,O,X,X,X
ISZLOJT,O,O,O,X,X,X,O
ISZJTLO,O,O,O,X,X,X,O
ISZJTOL,O,O,O,X,X,X,O
ISZJLTO,O,O,O,X,X,O,X
ISZJLOT,O,O,O,X,X,X,O
ISZJOTL,O,O,O,X,X,X,O
ISZJOLT,O,O,O,X,X,X,O
ISZOTLJ,O,O,O,X,X,X,O
ISZOTJL,O,O,O,X,X,X,O
ISZOLTJ,O,O,O,X,X,X,X
ISZOLJT,O,O,O,X,X,X,O
ISZOJTL,O,O,O,X,X,X,O
ISZOJLT,O,O,O,X,X,X,O
ISOTLJZ,O,O,O,X,X,X,O
ISOTLZJ,X,O,O,X,X,X,X
ISOTJLZ,O,O,O,X,X,X,O
ISOTJZL,O,O,O,X,X,X,O
ISOTZLJ,X,O,O,X,X,X,X
ISOTZJL,X,O,O,X,X,X,O
ISOLTJZ,O,X,O,X,X,X,X
ISOLTZJ,X,O,O,X,X,X,X
ISOLJTZ,O,X,O,X,X,X,O
ISOLJZT,O,O,O,X,X,X,O
ISOLZTJ,X,O,O,X,X,X,X
ISOLZJT,X,O,O,X,X,X,X
ISOJTLZ,O,X,O,X,X,X,O
ISOJTZL,O,X,O,X,X,X,X
ISOJLTZ,O,X,O,X,X,X,O
ISOJLZT,O,O,O,X,X,X,O
ISOJZTL,O,O,O,X,X,X,X
ISOJZLT,O,O,O,X,X,X,O
ISOZTLJ,X,O,O,X,X,X,O
ISOZTJL,X,O,O,X,X,X,O
ISOZLTJ,X,O,O,X,X,X,X
ISOZLJT,X,O,O,X,X,X,O
ISOZJTL,X,O,O,X,X,X,O
ISOZJLT,X,O,O,X,X,X,O
IZTLJSO,O,O,X,O,O,O,O
IZTLJOS,O,O,O,O,O,O,O
IZTLSJO,O,O,X,O,X,O,O
IZTLSOJ,O,O,X,O,X,O,O
IZTLOJS,X,O,O,O,O,O,O
IZTLOSJ,X,O,O,O,X,O,O
IZTJLSO,O,O,X,O,O,O,O
IZTJLOS,O,O,O,O,O,O,O
IZTJSLO,O,O,X,O,O,O,O
IZTJSOL,O,O,O,O,O,O,O
IZTJOLS,O,O,O,O,O,O,O
IZTJOSL,O,O,O,O,O,O,O
IZTSLJO,O,O,O,O,X,O,O
IZTSLOJ,O,O,O,O,X,O,O
