sequence,v115@IhB8HeC8FeD8BeC8KeOEJvhF0gBlhB3iB5oBysBTrB,v115@IhB8HeC8FeD8BeC8KeOEJvhFlgBcmBiiB5oBznB3rB,v115@IhB8HeC8FeD8BeC8KeOEJvhF0gB/nBaoB5oB1rBTrB
ZLSJIOT,O,X,X
ZLSJOTI,O,X,X
ZLSJOIT,O,X,X
ZLSOTIJ,O,X,X
ZLSOTJI,O,X,X
ZLSOITJ,O,X,X
ZLSOIJT,O,X,X
ZLSOJTI,O,X,X
ZLSOJIT,O,X,X
ZLOTIJS,O,X,X
ZLOTISJ,O,X,X
ZLOTJIS,O,X,X
ZLOTJSI,O,X,X
ZLOTSIJ,O,X,X
ZLOTSJI,O,X,X
ZLOITJS,O,X,X
ZLOITSJ,O,X,X
ZLOIJTS,O,X,X
ZLOIJST,O,X,X
ZLOISTJ,O,X,X
ZLOISJT,O,X,X
ZLOJTIS,O,X,X
ZLOJTSI,O,X,X
ZLOJITS,O,X,X
ZLOJIST,O,X,X
ZLOJSTI,O,X,X
ZLOJSIT,O,X,X
ZLOSTIJ,O,X,X
ZLOSTJI,O,X,X
ZLOSITJ,O,X,X
ZLOSIJT,O,X,X
ZLOSJTI,O,X,X
ZLOSJIT,O,X,X
ZJTILSO,O,X,O
ZJTILOS,O,X,X
ZJTISLO,O,X,O
ZJTISOL,X,X,O
ZJTIOLS,O,X,X
ZJTIOSL,X,X,O
ZJTLISO,O,X,O
ZJTLIOS,O,X,X
ZJTLSIO,O,X,O
ZJTLSOI,O,X,O
ZJTLOIS,O,X,X
ZJTLOSI,O,X,X
ZJTSILO,O,X,O
ZJTSIOL,X,X,O
ZJTSLIO,O,X,O
ZJTSLOI,O,X,O
ZJTSOIL,X,X,O
ZJTSOLI,X,X,O
ZJTOILS,O,X,X
ZJTOISL,X,X,O
ZJTOLIS,O,X,X
ZJTOLSI,O,X,X
ZJTOSIL,X,X,O
ZJTOSLI,X,X,O
ZJITLSO,O,X,O
ZJITLOS,O,X,X
ZJITSLO,O,X,O
ZJITSOL,X,X,O
ZJITOLS,O,X,X
ZJITOSL,X,X,O
ZJILTSO,O,X,O
ZJILTOS,O,X,X
ZJILSTO,O,X,O
ZJILSOT,O,X,X
ZJILOTS,O,X,X
ZJILOST,O,X,X
ZJISTLO,O,O,O
ZJISTOL,X,O,O
ZJISLTO,O,O,O
ZJISLOT,O,O,X
ZJISOTL,X,O,X
ZJISOLT,X,O,X
ZJIOTLS,O,X,X
ZJIOTSL,O,X,O
ZJIOLTS,O,X,X
ZJIOLST,O,O,X
ZJIOSTL,O,O,X
ZJIOSLT,O,O,X
ZJLTISO,O,X,O
ZJLTIOS,O,X,X
ZJLTSIO,O,X,O
ZJLTSOI,O,X,O
ZJLTOIS,O,X,X
ZJLTOSI,O,X,X
ZJLITSO,O,X,O
ZJLITOS,O,X,X
ZJLISTO,O,X,O
ZJLISOT,O,X,X
ZJLIOTS,O,X,X
ZJLIOST,O,X,X
ZJLSTIO,O,X,O
ZJLSTOI,O,X,O
ZJLSITO,O,X,O
ZJLSIOT,O,X,X
ZJLSOTI,O,X,X
ZJLSOIT,O,X,X
ZJLOTIS,O,X,X
ZJLOTSI,O,X,X
ZJLOITS,O,X,X
ZJLOIST,O,X,X
ZJLOSTI,O,X,X
ZJLOSIT,O,X,X
ZJSTILO,O,O,O
ZJSTIOL,X,O,O
ZJSTLIO,O,O,O
ZJSTLOI,O,O,O
ZJSTOIL,X,O,O
ZJSTOLI,X,O,O
ZJSITLO,O,O,O
ZJSITOL,X,O,O
ZJSILTO,O,O,O
ZJSILOT,O,O,X
ZJSIOTL,X,O,X
ZJSIOLT,X,O,X
ZJSLTIO,O,O,O
ZJSLTOI,O,O,O
ZJSLITO,O,O,O
ZJSLIOT,O,O,X
ZJSLOTI,O,O,X
ZJSLOIT,O,O,X
ZJSOTIL,X,O,X
ZJSOTLI,X,O,X
ZJSOITL,X,O,X
ZJSOILT,X,O,X
ZJSOLTI,X,O,X
ZJSOLIT,X,O,X
ZJOTILS,O,X,X
ZJOTISL,O,X,O
ZJOTLIS,O,X,X
ZJOTLSI,O,X,X
ZJOTSIL,O,X,O
ZJOTSLI,O,X,O
ZJOITLS,O,X,X
ZJOITSL,O,X,O
ZJOILTS,O,X,X
ZJOILST,O,O,X
ZJOISTL,O,O,X
ZJOISLT,O,O,X
ZJOLTIS,O,X,X
ZJOLTSI,O,X,X
ZJOLITS,O,X,X
ZJOLIST,O,O,X
ZJOLSTI,O,O,X
ZJOLSIT,O,O,X
ZJOSTIL,O,O,X
ZJOSTLI,O,O,X
ZJOSITL,O,O,X
ZJOSILT,O,O,X
ZJOSLTI,O,O,X
ZJOSLIT,O,O,X
ZSTILJO,O,O,O
ZSTILOJ,O,O,O
ZSTIJLO,O,O,O
ZSTIJOL,X,O,O
ZSTIOLJ,X,O,O
ZSTIOJL,X,O,O
ZSTLIJO,O,O,O
ZSTLIOJ,O,O,O
ZSTLJIO,O,O,O
ZSTLJOI,O,O,O
ZSTLOIJ,O,O,O
ZSTLOJI,O,O,O
ZSTJILO,O,O,O
ZSTJIOL,X,O,O
ZSTJLIO,O,O,O
ZSTJLOI,O,O,O
ZSTJOIL,X,O,O
ZSTJOLI,X,O,O
ZSTOILJ,X,O,O
ZSTOIJL,X,O,O
ZSTOLIJ,X,O,O
ZSTOLJI,X,O,O
ZSTOJIL,X,O,O
ZSTOJLI,X,O,O
ZSITLJO,O,O,O
ZSITLOJ,O,O,O
ZSITJLO,O,O,O
ZSITJOL,X,O,O
ZSITOLJ,X,O,O
ZSITOJL,X,O,O
ZSILTJO,O,O,O
ZSILTOJ,O,O,O
ZSILJTO,O,O,O
ZSILJOT,O,O,X
ZSILOTJ,O,O,X
ZSILOJT,O,O,X
ZSIJTLO,O,O,O
ZSIJTOL,X,O,O
ZSIJLTO,O,O,O
ZSIJLOT,O,O,X
ZSIJOTL,X,O,X
ZSIJOLT,X,O,X
ZSIOTLJ,X,O,X
ZSIOTJL,X,O,X
ZSIOLTJ,X,O,X
ZSIOLJT,X,O,X
ZSIOJTL,X,O,X
ZSIOJLT,X,O,X
ZSLTIJO,O,O,O
ZSLTIOJ,O,O,O
ZSLTJIO,O,O,O
ZSLTJOI,O,O,O
ZSLTOIJ,O,O,O
ZSLTOJI,O,O,O
ZSLITJO,O,O,O
ZSLITOJ,O,O,O
ZSLIJTO,O,O,O
ZSLIJOT,O,O,X
ZSLIOTJ,O,O,X
ZSLIOJT,O,O,X
ZSLJTIO,O,O,O
ZSLJTOI,O,O,O
ZSLJITO,O,O,O
ZSLJIOT,O,O,X
ZSLJOTI,O,O,X
ZSLJOIT,O,O,X
ZSLOTIJ,O,O,X
ZSLOTJI,O,O,X
ZSLOITJ,O,O,X
ZSLOIJT,O,O,X
ZSLOJTI,O,O,X
ZSLOJIT,O,O,X
ZSJTILO,O,O,O
ZSJTIOL,X,O,O
ZSJTLIO,O,O,O
ZSJTLOI,O,O,O
ZSJTOIL,X,O,O
ZSJTOLI,X,O,O
ZSJITLO,O,O,O
ZSJITOL,X,O,O
ZSJILTO,O,O,O
ZSJILOT,O,O,X
ZSJIOTL,X,O,X
ZSJIOLT,X,O,X
ZSJLTIO,O,O,O
ZSJLTOI,O,O,O
ZSJLITO,O,O,O
ZSJLIOT,O,O,X
ZSJLOTI,O,O,X
ZSJLOIT,O,O,X
ZSJOTIL,X,O,X
ZSJOTLI,X,O,X
ZSJOITL,X,O,X
ZSJOILT,X,O,X
ZSJOLTI,X,O,X
ZSJOLIT,X,O,X
ZSOTILJ,X,O,X
ZSOTIJL,X,O,X
ZSOTLIJ,X,O,X
ZSOTLJI,X,O,X
ZSOTJIL,X,O,X
ZSOTJLI,X,O,X
ZSOITLJ,X,O,X
ZSOITJL,X,O,X
ZSOILTJ,X,O,X
ZSOILJT,X,O,X
ZSOIJTL,X,O,X
ZSOIJLT,X,O,X
ZSOLTIJ,X,O,X
ZSOLTJI,X,O,X
ZSOLITJ,X,O,X
ZSOLIJT,X,O,X
ZSOLJTI,X,O,X
ZSOLJIT,X,O,X
ZSOJTIL,X,O,X
ZSOJTLI,X,O,X
ZSOJITL,X,O,X
ZSOJILT,X,O,X
ZSOJLTI,X,O,X
ZSOJLIT,X,O,X
ZOTILJS,O,X,X
ZOTILSJ,O,X,X
ZOTIJLS,O,X,X
ZOTIJSL,O,X,O
ZOTISLJ,O,X,O
ZOTISJL,O,X,O
ZOTLIJS,O,X,X
ZOTLISJ,O,X,X
ZOTLJIS,O,X,X
ZOTLJSI,O,X,X
ZOTLSIJ,O,X,X
ZOTLSJI,O,X,X
ZOTJILS,O,X,X
ZOTJISL,O,X,O
ZOTJLIS,O,X,X
ZOTJLSI,O,X,X
ZOTJSIL,O,X,O
ZOTJSLI,O,X,O
ZOTSILJ,O,X,O
ZOTSIJL,O,X,O
ZOTSLIJ,O,X,O
ZOTSLJI,O,X,O
ZOTSJIL,O,X,O
ZOTSJLI,O,X,O
ZOITLJS,O,X,X
ZOITLSJ,O,X,X
ZOITJLS,O,X,X
ZOITJSL,O,X,O
ZOITSLJ,O,X,O
ZOITSJL,O,X,O
ZOILTJS,O,X,X
ZOILTSJ,O,X,X
ZOILJTS,O,X,X
ZOILJST,O,O,X
ZOILSTJ,O,O,X
ZOILSJT,O,O,X
ZOIJTLS,O,X,X
ZOIJTSL,O,X,O
ZOIJLTS,O,X,X
ZOIJLST,O,O,X
ZOIJSTL,O,O,X
ZOIJSLT,O,O,X
ZOISTLJ,O,O,X
ZOISTJL,O,O,X
ZOISLTJ,O,O,X
ZOISLJT,O,O,X
ZOISJTL,O,O,X
ZOISJLT,O,O,X
ZOLTIJS,O,X,X
ZOLTISJ,O,X,X
ZOLTJIS,O,X,X
ZOLTJSI,O,X,X
ZOLTSIJ,O,X,X
ZOLTSJI,O,X,X
ZOLITJS,O,X,X
ZOLITSJ,O,X,X
ZOLIJTS,O,X,X
ZOLIJST,O,O,X
ZOLISTJ,O,O,X
ZOLISJT,O,O,X
ZOLJTIS,O,X,X
ZOLJTSI,O,X,X
ZOLJITS,O,X,X
ZOLJIST,O,O,X
ZOLJSTI,O,O,X
ZOLJSIT,O,O,X
ZOLSTIJ,O,O,X
ZOLSTJI,O,O,X
ZOLSITJ,O,O,X
ZOLSIJT,O,O,X
ZOLSJTI,O,O,X
ZOLSJIT,O,O,X
ZOJTILS,O,X,X
ZOJTISL,O,X,O
ZOJTLIS,O,X,X
ZOJTLSI,O,X,X
ZOJTSIL,O,X,O
ZOJTSLI,O,X,O
ZOJITLS,O,X,X
ZOJITSL,O,X,O
ZOJILTS,O,X,X
ZOJILST,O,O,X
ZOJISTL,O,O,X
ZOJISLT,O,O,X
ZOJLTIS,O,X,X
ZOJLTSI,O,X,X
ZOJLITS,O,X,X
ZOJLIST,O,O,X
ZOJLSTI,O,O,X
ZOJLSIT,O,O,X
ZOJSTIL,O,O,X
ZOJSTLI,O,O,X
ZOJSITL,O,O,X
ZOJSILT,O,O,X
ZOJSLTI,O,O,X
ZOJSLIT,O,O,X
ZOSTILJ,O,O,X
ZOSTIJL,O,O,X
ZOSTLIJ,O,O,X
ZOSTLJI,O,O,X
ZOSTJIL,O,O,X
ZOSTJLI,O,O,X
ZOSITLJ,O,O,X
ZOSITJL,O,O,X
ZOSILTJ,O,O,X
ZOSILJT,O,O,X
ZOSIJTL,O,O,X
ZOSIJLT,O,O,X
ZOSLTIJ,O,O,X
ZOSLTJI,O,O,X
ZOSLITJ,O,O,X
ZOSLIJT,O,O,X
ZOSLJTI,O,O,X
ZOSLJIT,O,O,X
ZOSJTIL,O,O,X
ZOSJTLI,O,O,X
ZOSJITL,O,O,X
ZOSJILT,O,O,X
ZOSJLTI,O,O,X
ZOSJLIT,O,O,X
OTILJSZ,O,O,X
OTILJZS,O,X,X
OTILSJZ,O,O,X
OTILSZJ,O,O,X
OTILZJS,O,X,X
OTILZSJ,O,X,X
OTIJLSZ,O,O,X
OTIJLZS,O,X,X
OTIJSLZ,O,O,O
OTIJSZL,O,O,O
OTIJZLS,O,X,X
OTIJZSL,O,X,O
OTISLJZ,O,O,O
OTISLZJ,O,O,O
OTISJLZ,O,O,O
OTISJZL,O,O,O
OTISZLJ,O,O,O
OTISZJL,O,O,O
OTIZLJS,O,X,X
OTIZLSJ,O,X,X
OTIZJLS,O,X,X
OTIZJSL,O,X,O
OTIZSLJ,O,X,O
OTIZSJL,O,X,O
OTLIJSZ,O,O,X
OTLIJZS,O,X,X
OTLISJZ,O,O,X
OTLISZJ,O,O,X
OTLIZJS,O,X,X
OTLIZSJ,O,X,X
OTLJISZ,O,O,X
OTLJIZS,O,X,X
OTLJSIZ,O,O,X
OTLJSZI,O,O,X
OTLJZIS,O,X,X
OTLJZSI,O,X,X
OTLSIJZ,O,O,X
OTLSIZJ,O,O,X
OTLSJIZ,O,O,X
OTLSJZI,O,O,X
OTLSZIJ,O,O,X
OTLSZJI,O,O,X
OTLZIJS,O,X,X
OTLZISJ,O,X,X
OTLZJIS,O,X,X
OTLZJSI,O,X,X
OTLZSIJ,O,X,X
OTLZSJI,O,X,X
OTJILSZ,O,O,X
OTJILZS,O,X,X
OTJISLZ,O,O,O
OTJISZL,O,O,O
OTJIZLS,O,X,X
OTJIZSL,O,X,O
OTJLISZ,O,O,X
OTJLIZS,O,X,X
OTJLSIZ,O,O,X
OTJLSZI,O,O,X
OTJLZIS,O,X,X
OTJLZSI,O,X,X
OTJSILZ,O,O,O
OTJSIZL,O,O,O
OTJSLIZ,O,O,O
OTJSLZI,O,O,O
OTJSZIL,O,O,O
OTJSZLI,O,O,O
OTJZILS,O,X,X
OTJZISL,O,X,O
OTJZLIS,O,X,X
OTJZLSI,O,X,X
OTJZSIL,O,X,O
OTJZSLI,O,X,O
OTSILJZ,O,O,O
OTSILZJ,O,O,O
OTSIJLZ,O,O,O
OTSIJZL,O,O,O
OTSIZLJ,O,O,O
OTSIZJL,O,O,O
OTSLIJZ,O,O,O
OTSLIZJ,O,O,O
OTSLJIZ,O,O,O
OTSLJZI,O,O,O
OTSLZIJ,O,O,O
OTSLZJI,O,O,O
OTSJILZ,O,O,O
OTSJIZL,O,O,O
OTSJLIZ,O,O,O
OTSJLZI,O,O,O
OTSJZIL,O,O,O
OTSJZLI,O,O,O
OTSZILJ,O,O,O
OTSZIJL,O,O,O
OTSZLIJ,O,O,O
OTSZLJI,O,O,O
OTSZJIL,O,O,O
OTSZJLI,O,O,O
OTZILJS,O,X,X
OTZILSJ,O,X,X
OTZIJLS,O,X,X
OTZIJSL,O,X,O
OTZISLJ,O,X,O
OTZISJL,O,X,O
OTZLIJS,O,X,X
OTZLISJ,O,X,X
OTZLJIS,O,X,X
OTZLJSI,O,X,X
OTZLSIJ,O,X,X
OTZLSJI,O,X,X
OTZJILS,O,X,X
OTZJISL,O,X,O
OTZJLIS,O,X,X
OTZJLSI,O,X,X
OTZJSIL,O,X,O
OTZJSLI,O,X,O
OTZSILJ,O,X,O
OTZSIJL,O,X,O
OTZSLIJ,O,X,O
OTZSLJI,O,X,O
OTZSJIL,O,X,O
OTZSJLI,O,X,O
OITLJSZ,O,O,X
OITLJZS,O,X,X
OITLSJZ,O,O,X
OITLSZJ,O,O,X
OITLZJS,O,X,X
OITLZSJ,O,X,X
OITJLSZ,O,O,X
OITJLZS,O,X,X
OITJSLZ,O,O,O
OITJSZL,O,O,O
OITJZLS,O,X,X
OITJZSL,O,X,O
OITSLJZ,O,O,O
OITSLZJ,O,O,O
OITSJLZ,O,O,O
OITSJZL,O,O,O
OITSZLJ,O,O,O
OITSZJL,O,O,O
OITZLJS,O,X,X
OITZLSJ,O,X,X
OITZJLS,O,X,X
OITZJSL,O,X,O
OITZSLJ,O,X,O
OITZSJL,O,X,O
OILTJSZ,O,O,X
OILTJZS,O,X,X
OILTSJZ,O,O,X
OILTSZJ,O,O,X
OILTZJS,O,X,X
OILTZSJ,O,X,X
OILJTSZ,O,O,X
OILJTZS,O,X,X
OILJSTZ,O,O,O
OILJSZT,O,O,X
OILJZTS,O,X,X
OILJZST,O,O,X
OILSTJZ,O,O,O
OILSTZJ,O,O,O
OILSJTZ,O,O,O
OILSJZT,O,O,X
OILSZTJ,O,O,X
OILSZJT,O,O,X
OILZTJS,O,X,X
OILZTSJ,O,X,X
OILZJTS,O,X,X
OILZJST,O,O,X
OILZSTJ,O,O,X
OILZSJT,O,O,X
OIJTLSZ,O,O,X
OIJTLZS,O,X,X
OIJTSLZ,O,O,O
OIJTSZL,O,O,O
OIJTZLS,O,X,X
OIJTZSL,O,X,O
OIJLTSZ,O,O,X
OIJLTZS,O,X,X
OIJLSTZ,O,O,O
OIJLSZT,O,O,X
OIJLZTS,O,X,X
OIJLZST,O,O,X
OIJSTLZ,O,O,O
OIJSTZL,O,O,O
OIJSLTZ,O,O,O
OIJSLZT,O,O,X
OIJSZTL,O,O,X
OIJSZLT,O,O,X
OIJZTLS,O,X,X
OIJZTSL,O,X,O
OIJZLTS,O,X,X
OIJZLST,O,O,X
OIJZSTL,O,O,X
OIJZSLT,O,O,X
OISTLJZ,O,O,O
OISTLZJ,O,O,O
OISTJLZ,O,O,O
OISTJZL,O,O,O
OISTZLJ,O,O,O
OISTZJL,O,O,O
OISLTJZ,O,O,O
OISLTZJ,O,O,O
OISLJTZ,O,O,O
OISLJZT,O,O,X
OISLZTJ,O,O,X
OISLZJT,O,O,X
OISJTLZ,O,O,O
OISJTZL,O,O,O
OISJLTZ,O,O,O
OISJLZT,O,O,X
OISJZTL,O,O,X
OISJZLT,O,O,X
OISZTLJ,O,O,X
OISZTJL,O,O,X
OISZLTJ,O,O,X
OISZLJT,O,O,X
OISZJTL,O,O,X
OISZJLT,O,O,X
OIZTLJS,O,X,X
OIZTLSJ,O,X,X
OIZTJLS,O,X,X
OIZTJSL,O,X,O
OIZTSLJ,O,X,O
OIZTSJL,O,X,O
OIZLTJS,O,X,X
OIZLTSJ,O,X,X
OIZLJTS,O,X,X
OIZLJST,O,O,X
OIZLSTJ,O,O,X
OIZLSJT,O,O,X
OIZJTLS,O,X,X
OIZJTSL,O,X,O
OIZJLTS,O,X,X
OIZJLST,O,O,X
OIZJSTL,O,O,X
OIZJSLT,O,O,X
OIZSTLJ,O,O,X
OIZSTJL,O,O,X
OIZSLTJ,O,O,X
OIZSLJT,O,O,X
OIZSJTL,O,O,X
OIZSJLT,O,O,X
OLTIJSZ,O,O,X
OLTIJZS,O,X,X
OLTISJZ,O,O,X
OLTISZJ,O,O,X
OLTIZJS,O,X,X
OLTIZSJ,O,X,X
OLTJISZ,O,O,X
OLTJIZS,O,X,X
OLTJSIZ,O,O,X
OLTJSZI,O,O,X
OLTJZIS,O,X,X
OLTJZSI,O,X,X
OLTSIJZ,O,O,X
OLTSIZJ,O,O,X
OLTSJIZ,O,O,X
OLTSJZI,O,O,X
OLTSZIJ,O,O,X
OLTSZJI,O,O,X
OLTZIJS,O,X,X
OLTZISJ,O,X,X
OLTZJIS,O,X,X
OLTZJSI,O,X,X
OLTZSIJ,O,X,X
OLTZSJI,O,X,X
OLITJSZ,O,O,X
OLITJZS,O,X,X
OLITSJZ,O,O,X
OLITSZJ,O,O,X
OLITZJS,O,X,X
OLITZSJ,O,X,X
OLIJTSZ,O,O,X
OLIJTZS,O,X,X
OLIJSTZ,O,O,O
OLIJSZT,O,O,X
OLIJZTS,O,X,X
OLIJZST,O,O,X
OLISTJZ,O,O,O
OLISTZJ,O,O,O
OLISJTZ,O,O,O
OLISJZT,O,O,X
OLISZTJ,O,O,X
OLISZJT,O,O,X
OLIZTJS,O,X,X
OLIZTSJ,O,X,X
OLIZJTS,O,X,X
OLIZJST,O,O,X
OLIZSTJ,O,O,X
OLIZSJT,O,O,X
OLJTISZ,O,O,X
OLJTIZS,O,X,X
OLJTSIZ,O,O,X
OLJTSZI,O,O,X
OLJTZIS,O,X,X
OLJTZSI,O,X,X
OLJITSZ,O,O,X
OLJITZS,O,X,X
OLJISTZ,O,O,O
OLJISZT,O,O,X
OLJIZTS,O,X,X
OLJIZST,O,O,X
OLJSTIZ,O,O,O
OLJSTZI,O,O,O
OLJSITZ,O,O,O
OLJSIZT,O,O,X
OLJSZTI,O,O,X
OLJSZIT,O,O,X
OLJZTIS,O,X,X
OLJZTSI,O,X,X
OLJZITS,O,X,X
OLJZIST,O,O,X
OLJZSTI,O,O,X
OLJZSIT,O,O,X
OLSTIJZ,O,O,O
OLSTIZJ,O,O,O
OLSTJIZ,O,O,O
OLSTJZI,O,O,O
OLSTZIJ,O,O,O
OLSTZJI,O,O,O
OLSITJZ,O,O,O
OLSITZJ,O,O,O
OLSIJTZ,O,O,O
OLSIJZT,O,O,X
OLSIZTJ,O,O,X
OLSIZJT,O,O,X
OLSJTIZ,O,O,O
OLSJTZI,O,O,O
OLSJITZ,O,O,O
OLSJIZT,O,O,X
OLSJZTI,O,O,X
OLSJZIT,O,O,X
OLSZTIJ,O,O,X
OLSZTJI,O,O,X
OLSZITJ,O,O,X
OLSZIJT,O,O,X
OLSZJTI,O,O,X
OLSZJIT,O,O,X
OLZTIJS,O,X,X
OLZTISJ,O,X,X
OLZTJIS,O,X,X
OLZTJSI,O,X,X
OLZTSIJ,O,X,X
OLZTSJI,O,X,X
OLZITJS,O,X,X
OLZITSJ,O,X,X
OLZIJTS,O,X,X
OLZIJST,O,O,X
OLZISTJ,O,O,X
OLZISJT,O,O,X
OLZJTIS,O,X,X
OLZJTSI,O,X,X
OLZJITS,O,X,X
OLZJIST,O,O,X
OLZJSTI,O,O,X
OLZJSIT,O,O,X
OLZSTIJ,O,O,X
OLZSTJI,O,O,X
OLZSITJ,O,O,X
OLZSIJT,O,O,X
OLZSJTI,O,O,X
OLZSJIT,O,O,X
OJTILSZ,O,O,X
OJTILZS,O,X,X
OJTISLZ,O,O,O
OJTISZL,O,O,O
OJTIZLS,O,X,X
OJTIZSL,O,X,O
OJTLISZ,O,O,X
OJTLIZS,O,X,X
OJTLSIZ,O,O,X
OJTLSZI,O,O,X
OJTLZIS,O,X,X
OJTLZSI,O,X,X
OJTSILZ,O,O,O
OJTSIZL,O,O,O
OJTSLIZ,O,O,O
OJTSLZI,O,O,O
OJTSZIL,O,O,O
OJTSZLI,O,O,O
OJTZILS,O,X,X
OJTZISL,O,X,O
OJTZLIS,O,X,X
OJTZLSI,O,X,X
OJTZSIL,O,X,O
OJTZSLI,O,X,O
OJITLSZ,O,O,X
OJITLZS,O,X,X
OJITSLZ,O,O,O
OJITSZL,O,O,O
OJITZLS,O,X,X
OJITZSL,O,X,O
OJILTSZ,O,O,X
OJILTZS,O,X,X
OJILSTZ,O,O,O
OJILSZT,O,O,X
OJILZTS,O,X,X
OJILZST,O,O,X
OJISTLZ,O,O,O
OJISTZL,O,O,O
OJISLTZ,O,O,O
OJISLZT,O,O,X
OJISZTL,O,O,X
OJISZLT,O,O,X
OJIZTLS,O,X,X
OJIZTSL,O,X,O
OJIZLTS,O,X,X
OJIZLST,O,O,X
OJIZSTL,O,O,X
OJIZSLT,O,O,X
OJLTISZ,O,O,X
OJLTIZS,O,X,X
OJLTSIZ,O,O,X
OJLTSZI,O,O,X
OJLTZIS,O,X,X
OJLTZSI,O,X,X
OJLITSZ,O,O,X
OJLITZS,O,X,X
OJLISTZ,O,O,O
OJLISZT,O,O,X
OJLIZTS,O,X,X
OJLIZST,O,O,X
OJLSTIZ,O,O,O
OJLSTZI,O,O,O
OJLSITZ,O,O,O
OJLSIZT,O,O,X
OJLSZTI,O,O,X
OJLSZIT,O,O,X
OJLZTIS,O,X,X
OJLZTSI,O,X,X
OJLZITS,O,X,X
OJLZIST,O,O,X
OJLZSTI,O,O,X
OJLZSIT,O,O,X
OJSTILZ,O,O,O
OJSTIZL,O,O,O
OJSTLIZ,O,O,O
OJSTLZI,O,O,O
OJSTZIL,O,O,O
OJSTZLI,O,O,O
OJSITLZ,O,O,O
OJSITZL,O,O,O
OJSILTZ,O,O,O
OJSILZT,O,O,X
OJSIZTL,O,O,X
OJSIZLT,O,O,X
OJSLTIZ,O,O,O
OJSLTZI,O,O,O
OJSLITZ,O,O,O
OJSLIZT,O,O,X
OJSLZTI,O,O,X
OJSLZIT,O,O,X
OJSZTIL,O,O,X
OJSZTLI,O,O,X
OJSZITL,O,O,X
OJSZILT,O,O,X
OJSZLTI,O,O,X
OJSZLIT,O,O,X
OJZTILS,O,X,X
OJZTISL,O,X,O
OJZTLIS,O,X,X
OJZTLSI,O,X,X
OJZTSIL,O,X,O
OJZTSLI,O,X,O
OJZITLS,O,X,X
OJZITSL,O,X,O
OJZILTS,O,X,X
OJZILST,O,O,X
OJZISTL,O,O,X
OJZISLT,O,O,X
OJZLTIS,O,X,X
OJZLTSI,O,X,X
OJZLITS,O,X,X
OJZLIST,O,O,X
OJZLSTI,O,O,X
OJZLSIT,O,O,X
OJZSTIL,O,O,X
OJZSTLI,O,O,X
OJZSITL,O,O,X
OJZSILT,O,O,X
OJZSLTI,O,O,X
OJZSLIT,O,O,X
OSTILJZ,O,O,O
OSTILZJ,O,O,O
OSTIJLZ,O,O,O
OSTIJZL,O,O,O
OSTIZLJ,O,O,O
OSTIZJL,O,O,O
OSTLIJZ,O,O,O
OSTLIZJ,O,O,O
OSTLJIZ,O,O,O
OSTLJZI,O,O,O
OSTLZIJ,O,O,O
OSTLZJI,O,O,O
OSTJILZ,O,O,O
OSTJIZL,O,O,O
OSTJLIZ,O,O,O
OSTJLZI,O,O,O
OSTJZIL,O,O,O
OSTJZLI,O,O,O
OSTZILJ,O,O,O
OSTZIJL,O,O,O
OSTZLIJ,O,O,O
OSTZLJI,O,O,O
OSTZJIL,O,O,O
OSTZJLI,O,O,O
OSITLJZ,O,O,O
OSITLZJ,O,O,O
OSITJLZ,O,O,O
OSITJZL,O,O,O
OSITZLJ,O,O,O
OSITZJL,O,O,O
OSILTJZ,O,O,O
OSILTZJ,O,O,O
OSILJTZ,O,O,O
OSILJZT,O,O,X
OSILZTJ,O,O,X
OSILZJT,O,O,X
OSIJTLZ,O,O,O
OSIJTZL,O,O,O
OSIJLTZ,O,O,O
OSIJLZT,O,O,X
OSIJZTL,O,O,X
OSIJZLT,O,O,X
OSIZTLJ,O,O,X
OSIZTJL,O,O,X
OSIZLTJ,O,O,X
OSIZLJT,O,O,X
OSIZJTL,O,O,X
OSIZJLT,O,O,X
OSLTIJZ,O,O,O
OSLTIZJ,O,O,O
OSLTJIZ,O,O,O
OSLTJZI,O,O,O
OSLTZIJ,O,O,O
OSLTZJI,O,O,O
OSLITJZ,O,O,O
OSLITZJ,O,O,O
OSLIJTZ,O,O,O
OSLIJZT,O,O,X
OSLIZTJ,O,O,X
OSLIZJT,O,O,X
OSLJTIZ,O,O,O
OSLJTZI,O,O,O
OSLJITZ,O,O,O
OSLJIZT,O,O,X
OSLJZTI,O,O,X
OSLJZIT,O,O,X
OSLZTIJ,O,O,X
OSLZTJI,O,O,X
OSLZITJ,O,O,X
OSLZIJT,O,O,X
OSLZJTI,O,O,X
OSLZJIT,O,O,X
OSJTILZ,O,O,O
OSJTIZL,O,O,O
OSJTLIZ,O,O,O
OSJTLZI,O,O,O
OSJTZIL,O,O,O
OSJTZLI,O,O,O
OSJITLZ,O,O,O
OSJITZL,O,O,O
OSJILTZ,O,O,O
OSJILZT,O,O,X
OSJIZTL,O,O,X
OSJIZLT,O,O,X
OSJLTIZ,O,O,O
OSJLTZI,O,O,O
OSJLITZ,O,O,O
OSJLIZT,O,O,X
OSJLZTI,O,O,X
OSJLZIT,O,O,X
OSJZTIL,O,O,X
OSJZTLI,O,O,X
OSJZITL,O,O,X
OSJZILT,O,O,X
OSJZLTI,O,O,X
OSJZLIT,O,O,X
OSZTILJ,O,O,X
OSZTIJL,O,O,X
