sequence,v115@FhA8HeB8HeB8BeE8AeB8Kei/IvhFFhBXiB5oBcpBTl?BmrB,v115@FhA8HeB8HeB8BeE8AeB8KeT/IvhF/lBUhBFiB5oBip?BmrB,v115@FhA8HeB8HeB8BeE8AeB8KeT/IvhFmgBFiB5oB0lBfs?BipB,v115@FhA8HeB8HeB8BeE8AeB8Kei/IvhFzgBFiB5oBcpB2q?BfsB
ITSOLJZ,X,X,X,X
ITSOLZJ,X,X,X,X
ITSOJLZ,X,X,X,X
ITSOJZL,X,X,X,X
ITSOZLJ,X,X,X,X
ITSOZJL,X,X,X,X
ITZLJSO,X,X,X,X
ITZLJOS,X,X,X,X
ITZLSJO,X,X,X,X
ITZLSOJ,X,X,X,X
ITZLOJS,X,X,X,X
ITZLOSJ,X,X,X,X
ITZJLSO,X,X,X,X
ITZJLOS,X,X,X,X
ITZJSLO,X,X,X,X
ITZJSOL,X,X,X,X
ITZJOLS,X,X,X,X
ITZJOSL,X,X,X,X
ITZSLJO,X,X,X,X
