sequence,v115@BhB8GeB8HeC8DeA8BeD8MeOEJvhFXgBVnBaoB5oBzp?B0sB,v115@BhB8GeB8HeC8DeA8BeD8MeT/IvhFOlBxiBFnBXoB0p?BSyB,v115@BhB8GeB8HeC8DeA8BeD8MeXAJvhFxiB2pBFnB6tBzs?B0pB,v115@BhB8GeB8HeC8DeA8BeD8Mex/IvhFTjB/pBaqBFnBGt?B0sB,v115@BhB8GeB8HeC8DeA8BeD8MeOEJvhFXgBxiBUnBFoBzp?BSyB,v115@BhB8GeB8HeC8DeA8BeD8Me0/IvhFxiB/pBFnB6tBOq?BzsB,v115@BhB8GeB8HeC8DeA8BeD8MeOFJvhFxiBTkBFnBXoBSy?B0pB,v115@BhB8GeB8HeC8DeA8BeD8MeT/IvhF5oBypBFnB8sBXq?BmsB,v115@BhB8GeB8HeC8DeA8BeD8Me0/IvhFxiB2pBFnB6tBzs?BXqB,v115@BhB8GeB8HeC8DeA8BeD8MeT/IvhFxiBypBFnB8sB+t?BXqB,v115@BhB8GeB8HeC8DeA8BeD8Mex/IvhFXiBTkBeqBFoB6t?B0sB,v115@BhB8GeB8HeC8DeA8BeD8MeOEJvhFXgB5oBUnBatBzp?BlsB,v115@BhB8GeB8HeC8DeA8BeD8MemCJvhF5oBikBFnBXlBzs?B0pB,v115@BhB8GeB8HeC8DeA8BeD8MeXAJvhFxiB2pBFnBCtBTt?B0pB,v115@BhB8GeB8HeC8DeA8BeD8Me0/IvhFxiB2pBFnBCtBTt?BXqB,v115@BhB8GeB8HeC8DeA8BeD8MexCJvhFikBFnBToBXlBWy?B0pB
IZJSOTL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZJSOLT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZJOTLS,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IZJOTSL,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IZJOLTS,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IZJOLST,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IZJOSTL,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IZJOSLT,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IZSTLJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSTLOJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSTJLO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSTJOL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSTOLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOJL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLTJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZSLJTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSLOJT,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSJTLO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJTOL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSJLTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSJOLT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSOTLJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSOTJL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSOLTJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSOLJT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSOJTL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSOJLT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOTLJS,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
IZOTLSJ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IZOTJLS,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X
IZOTJSL,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOTSLJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOTSJL,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOLTJS,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
IZOLTSJ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IZOLJTS,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IZOLJST,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOLSTJ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IZOLSJT,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOJTLS,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOJTSL,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOJLTS,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOJLST,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOJSTL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOJSLT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOSTLJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOSTJL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOSLTJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOSLJT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOSJTL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOSJLT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOTLJSZ,O,X,O,X,X,O,O,X,O,X,X,O,O,X,X,X
IOTLJZS,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
IOTLSJZ,O,X,O,X,X,O,O,X,O,X,X,O,O,X,X,X
IOTLSZJ,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X
IOTLZJS,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
IOTLZSJ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTJLSZ,O,X,O,X,X,X,O,X,O,X,X,O,O,X,X,X
IOTJLZS,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
IOTJSLZ,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOTJSZL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTJZLS,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X
IOTJZSL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTSLJZ,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
IOTSLZJ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTSJLZ,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOTSJZL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTSZLJ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTSZJL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZLJS,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IOTZLSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZJLS,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IOTZJSL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZSLJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZSJL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLTJSZ,O,X,O,X,O,O,O,X,O,X,X,O,O,X,X,X
IOLTJZS,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X
IOLTSJZ,O,X,O,X,O,O,O,X,O,X,X,O,O,X,X,X
IOLTSZJ,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
IOLTZJS,O,X,O,X,O,X,X,O,O,X,X,O,O,X,X,X
IOLTZSJ,O,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X
IOLJTSZ,O,X,O,X,O,X,O,X,O,X,X,O,O,X,X,X
IOLJTZS,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X
IOLJSTZ,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
IOLJSZT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLJZTS,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
IOLJZST,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLSTJZ,O,X,O,X,O,O,O,X,X,X,X,O,O,X,X,X
IOLSTZJ,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
IOLSJTZ,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
IOLSJZT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLSZTJ,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X
IOLSZJT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLZTJS,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X
IOLZTSJ,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IOLZJTS,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IOLZJST,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLZSTJ,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IOLZSJT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJTLSZ,O,X,O,X,X,X,O,X,O,X,X,O,O,X,X,X
IOJTLZS,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
IOJTSLZ,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOJTSZL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJTZLS,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X
IOJTZSL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJLTSZ,O,X,O,X,O,X,O,X,O,X,X,O,O,X,X,X
IOJLTZS,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X
IOJLSTZ,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
IOJLSZT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJLZTS,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
IOJLZST,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJSTLZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJSTZL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJSLTZ,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJSLZT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJSZTL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJSZLT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJZTLS,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
IOJZTSL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJZLTS,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X
IOJZLST,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJZSTL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJZSLT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSTLJZ,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
IOSTLZJ,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOSTJLZ,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOSTJZL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSTZLJ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOSTZJL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSLTJZ,O,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X
IOSLTZJ,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
IOSLJTZ,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSLJZT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSLZTJ,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOSLZJT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSJTLZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSJTZL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSJLTZ,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSJLZT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSJZTL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSJZLT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSZTLJ,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOSZTJL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSZLTJ,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOSZLJT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSZJTL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSZJLT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZTLJS,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X
IOZTLSJ,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IOZTJLS,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
IOZTJSL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZTSLJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZTSJL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZLTJS,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X
IOZLTSJ,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IOZLJTS,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IOZLJST,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZLSTJ,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
IOZLSJT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZJTLS,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZJTSL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZJLTS,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZJLST,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZJSTL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZJSLT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZSTLJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZSTJL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZSLTJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZSLJT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZSJTL,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZSJLT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTIJSZO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTIJSOZ,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
LTIJZSO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTIJZOS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X
LTIJOSZ,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O,O
LTIJOZS,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O
LTISJZO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTISJOZ,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
LTISZJO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTISZOJ,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTISOJZ,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTISOZJ,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTIZJSO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTIZJOS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTIZSJO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIZOJS,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
LTIZOSJ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
LTIOJSZ,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X
LTIOJZS,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X
LTIOSJZ,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X
LTIOSZJ,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
LTIOZJS,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
LTIOZSJ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
LTJISZO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTJISOZ,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
LTJIZSO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJIZOS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X
LTJIOSZ,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O,O
LTJIOZS,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O
LTJSIZO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTJSIOZ,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
LTJSZIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTJSZOI,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X
LTJSOIZ,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
LTJSOZI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
LTJZISO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJZIOS,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X
LTJZSIO,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
LTJZSOI,O,O,O,X,O,X,O,X,O,O,X,X,X,O,O,X
LTJZOIS,O,O,X,X,O,X,X,O,O,O,X,X,X,O,O,O
LTJZOSI,O,O,X,X,O,X,O,X,O,O,X,X,X,O,O,O
LTJOISZ,O,X,O,X,O,X,O,X,O,X,X,X,O,O,O,O
LTJOIZS,O,O,O,X,O,X,X,X,O,X,X,X,O,O,O,O
LTJOSIZ,O,O,O,O,O,X,O,X,O,X,X,X,O,O,O,O
LTJOSZI,O,O,O,O,O,X,O,X,O,X,X,X,X,O,O,O
LTJOZIS,O,O,O,X,O,X,X,O,O,O,X,X,O,O,O,O
LTJOZSI,O,O,O,X,O,X,O,X,O,O,X,X,X,O,O,O
LTSIJZO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTSIJOZ,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
LTSIZJO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTSIZOJ,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTSIOJZ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTSIOZJ,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTSJIZO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
LTSJZIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTSJZOI,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X
LTSJOIZ,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
LTSJOZI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
LTSZIJO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTSZIOJ,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
LTSZJIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTSZJOI,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X
LTSZOIJ,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
LTSZOJI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTSOIJZ,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X
LTSOIZJ,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTSOJIZ,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X
LTSOJZI,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X
LTSOZIJ,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LTSOZJI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LTZIJSO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZIJOS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTZISJO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTZISOJ,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTZIOJS,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
LTZIOSJ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
LTZJISO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZJIOS,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X
LTZJSIO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTZJSOI,O,O,O,X,O,X,O,X,O,X,X,X,X,O,O,X
LTZJOIS,O,O,X,X,O,X,X,O,O,X,X,X,X,O,O,O
LTZJOSI,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O,O
LTZSIJO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTZSIOJ,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
LTZSJIO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTZSJOI,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X
LTZSOIJ,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
LTZSOJI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTZOIJS,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
LTZOISJ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
LTZOJIS,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
LTZOJSI,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LTZOSIJ,O,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X
LTZOSJI,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LTOIJSZ,O,X,O,X,O,O,O,X,O,X,X,O,O,X,X,X
LTOIJZS,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X
LTOISJZ,O,X,O,X,O,O,O,X,O,X,X,O,O,X,X,X
LTOISZJ,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
LTOIZJS,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X,X
LTOIZSJ,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
LTOJISZ,O,X,O,X,O,O,O,X,O,X,X,O,O,O,O,O
LTOJIZS,O,O,O,X,O,X,X,X,O,X,X,O,O,O,O,O
LTOJSIZ,O,O,O,X,O,O,O,X,O,X,X,O,O,O,O,O
LTOJSZI,O,O,O,X,O,O,O,X,O,X,X,O,X,O,O,O
LTOJZIS,O,O,O,X,O,X,X,O,O,O,X,O,O,O,O,O
LTOJZSI,O,O,O,X,O,X,O,X,O,O,X,O,X,O,O,O
LTOSIJZ,O,O,O,X,O,O,O,X,O,X,X,O,O,X,X,X
LTOSIZJ,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
LTOSJIZ,O,O,O,X,O,O,O,X,O,X,X,O,O,O,X,X
LTOSJZI,O,O,O,X,O,O,O,X,O,X,X,O,X,O,X,X
LTOSZIJ,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
LTOSZJI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
LTOZIJS,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X,X
LTOZISJ,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
LTOZJIS,O,O,O,X,O,X,X,O,O,X,X,O,O,X,X,X
LTOZJSI,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X
LTOZSIJ,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
LTOZSJI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
LITJSZO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LITJSOZ,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
LITJZSO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LITJZOS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X
LITJOSZ,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O,O
LITJOZS,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O
LITSJZO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LITSJOZ,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
LITSZJO,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LITSZOJ,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LITSOJZ,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LITSOZJ,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LITZJSO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LITZJOS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LITZSJO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LITZSOJ,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LITZOJS,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
LITZOSJ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
LITOJSZ,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X
LITOJZS,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X
LITOSJZ,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X
LITOSZJ,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
LITOZJS,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X
LITOZSJ,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
LIJTSZO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LIJTSOZ,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X
LIJTZSO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LIJTZOS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X
LIJTOSZ,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O,O
LIJTOZS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O
LIJSTZO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
