sequence,v115@KhA8GeC8GeE8AeC8JeZEJvhFzfBUhBFiBXjBStBmrB,v115@KhA8GeC8GeE8AeC8JeZEJvhFzfBamBUiBGjBfsBVyB,v115@KhA8GeC8GeE8AeC8JeZEJvhFzfBamBFiB8nB+oBfsB
TSOIJLZ,X,O,O
TSOIJZL,X,O,O
TSOIZLJ,X,O,X
TSOIZJL,X,O,X
TSOLIJZ,X,O,O
TSOLIZJ,X,O,X
TSOLJIZ,X,O,O
TSOLJZI,X,O,O
TSOLZIJ,X,O,X
TSOLZJI,X,O,X
TSOJILZ,X,O,O
TSOJIZL,X,O,O
TSOJLIZ,X,O,O
TSOJLZI,X,O,O
TSOJZIL,X,O,O
TSOJZLI,X,O,O
TSOZILJ,X,O,X
TSOZIJL,X,O,X
TSOZLIJ,X,O,X
TSOZLJI,X,O,X
TSOZJIL,X,O,X
TSOZJLI,X,O,X
TZILJSO,O,O,X
TZILJOS,O,O,X
TZILSJO,O,O,X
TZILSOJ,O,O,X
TZILOJS,O,O,X
TZILOSJ,O,O,X
TZIJLSO,O,O,X
TZIJLOS,O,O,X
TZIJSLO,O,O,X
TZIJSOL,O,O,X
TZIJOLS,O,O,X
TZIJOSL,O,O,X
TZISLJO,O,O,X
TZISLOJ,O,O,X
TZISJLO,X,O,X
TZISJOL,X,O,X
TZISOLJ,O,O,X
TZISOJL,X,O,X
TZIOLJS,O,O,X
TZIOLSJ,O,O,X
TZIOJLS,O,O,X
TZIOJSL,O,O,X
TZIOSLJ,O,O,X
TZIOSJL,X,O,X
TZLIJSO,O,O,X
TZLIJOS,O,O,X
TZLISJO,O,O,X
TZLISOJ,O,O,X
TZLIOJS,O,O,X
TZLIOSJ,O,O,X
TZLJISO,O,O,X
TZLJIOS,O,O,X
TZLJSIO,O,O,X
TZLJSOI,O,O,X
TZLJOIS,O,O,X
TZLJOSI,O,O,X
TZLSIJO,O,O,X
TZLSIOJ,O,O,X
TZLSJIO,O,O,X
TZLSJOI,O,O,X
TZLSOIJ,O,O,X
TZLSOJI,O,O,X
