sequence,v115@FhB8GeC8GeC8CeA8CeC8JeT/IvhFxgBXiBVqBUmB2u?BywB,v115@FhB8GeC8GeC8CeA8CeC8JeZEJvhFUgBFhBXiBqpBmq?BzrB,v115@FhB8GeC8GeC8CeA8CeC8JeT/IvhF0gBxhBVqB3mB2u?BywB,v115@FhB8GeC8GeC8CeA8CeC8JeZFJvhFzgBFiBOpBfsB6p?BUrB,v115@FhB8GeC8GeC8CeA8CeC8JeT/IvhFxhBllBcrBesBip?BXqB,v115@FhB8GeC8GeC8CeA8CeC8Je2EJvhFRgBFiBcqBKrBfs?BTpB,v115@FhB8GeC8GeC8CeA8CeC8Jex/IvhF0hBOpBllBzpBir?BXsB,v115@FhB8GeC8GeC8CeA8CeC8Jex/IvhFThBOnBKpBfqB0l?B1wB,v115@FhB8GeC8GeC8CeA8CeC8JeZEJvhF0hBfqBllBOsBTr?BCqB,v115@FhB8GeC8GeC8CeA8CeC8Jex/IvhF0hBKpBfqBllBOs?BTrB,v115@FhB8GeC8GeC8CeA8CeC8Jex/IvhF0hBllBmpBirBTp?BXsB
TSJOLIZ,O,O,O,X,X,X,X,O,X,X,X
TSJOLZI,O,O,O,X,X,O,X,O,X,X,X
TSJOZIL,O,X,O,X,X,X,X,X,O,X,X
TSJOZLI,O,X,O,X,X,X,X,X,X,X,X
TSZILJO,O,O,X,O,X,X,X,X,X,X,X
TSZILOJ,O,O,X,O,X,X,X,X,X,X,X
TSZIJLO,O,X,X,O,X,X,X,X,X,X,X
TSZIJOL,O,X,O,O,X,X,X,X,X,X,X
TSZIOLJ,O,X,O,O,X,X,X,X,O,X,X
TSZIOJL,O,X,X,O,X,X,X,X,O,X,X
TSZLIJO,O,O,O,X,X,O,X,X,X,X,X
TSZLIOJ,O,O,O,X,X,O,X,X,X,X,X
TSZLJIO,O,O,O,X,X,O,X,X,X,X,X
TSZLJOI,O,X,O,X,X,O,X,X,X,X,X
TSZLOIJ,O,O,O,X,X,O,X,X,X,X,X
TSZLOJI,O,X,O,X,X,O,X,X,X,X,X
TSZJILO,O,X,X,O,X,X,X,X,X,X,X
TSZJIOL,O,X,O,O,X,X,X,X,X,X,X
TSZJLIO,O,O,O,X,X,X,X,X,X,X,X
TSZJLOI,O,O,O,X,X,X,O,X,X,X,X
TSZJOIL,O,X,O,X,X,X,O,X,X,X,X
TSZJOLI,O,X,O,X,X,X,O,X,X,X,X
TSZOILJ,O,X,O,X,X,X,X,X,O,X,X
TSZOIJL,O,X,X,X,X,X,X,X,O,X,X
TSZOLIJ,O,X,O,X,X,O,X,X,O,X,X
TSZOLJI,O,X,O,X,X,O,X,X,X,X,X
TSZOJIL,O,X,X,X,X,X,O,X,O,X,X
TSZOJLI,O,X,X,X,X,X,O,X,X,X,X
TSOILJZ,O,X,X,X,X,X,X,X,X,X,X
TSOILZJ,O,O,X,X,X,O,X,X,O,X,X
TSOIJLZ,O,X,X,X,X,X,X,X,X,X,X
TSOIJZL,O,X,X,O,X,X,X,X,O,X,X
TSOIZLJ,O,X,O,O,X,X,X,X,O,X,X
TSOIZJL,O,X,X,O,X,X,X,X,O,X,X
TSOLIJZ,O,X,O,X,X,X,X,O,X,X,X
TSOLIZJ,O,O,O,X,X,O,X,O,O,X,X
TSOLJIZ,O,X,O,X,X,X,O,O,X,X,X
TSOLJZI,O,X,O,X,X,O,O,O,X,X,X
TSOLZIJ,O,O,O,X,X,O,X,O,O,X,X
TSOLZJI,O,X,O,X,X,O,O,O,X,X,X
TSOJILZ,O,X,X,X,X,X,O,X,X,X,X
TSOJIZL,O,X,X,O,X,X,O,X,O,X,X
TSOJLIZ,O,O,X,X,X,X,O,O,X,X,X
TSOJLZI,O,O,X,X,X,O,O,O,X,X,X
TSOJZIL,O,X,X,X,X,X,O,X,O,X,X
TSOJZLI,O,X,X,X,X,X,O,X,X,X,X
TSOZILJ,O,X,O,X,X,X,X,X,O,X,X
TSOZIJL,O,X,X,X,X,X,X,X,O,X,X
TSOZLIJ,O,X,O,X,X,O,X,X,O,X,X
TSOZLJI,O,X,O,X,X,O,X,X,X,X,X
TSOZJIL,O,X,X,X,X,X,O,X,O,X,X
TSOZJLI,O,X,X,X,X,X,O,X,X,X,X
TZILJSO,O,X,O,X,X,O,X,X,X,X,X
TZILJOS,O,X,O,X,X,X,X,X,X,X,X
TZILSJO,O,X,O,X,X,O,X,X,X,X,X
TZILSOJ,O,X,O,X,X,O,X,X,X,X,X
TZILOJS,O,X,O,X,X,X,X,X,X,X,X
TZILOSJ,O,X,O,X,X,X,X,X,X,X,X
TZIJLSO,O,X,O,X,X,O,X,X,X,X,X
TZIJLOS,O,X,O,X,X,X,O,X,X,X,X
TZIJSLO,O,X,X,O,X,X,X,X,X,X,X
TZIJSOL,O,X,O,O,X,X,X,X,X,X,X
TZIJOLS,O,X,O,X,X,X,O,X,X,X,X
TZIJOSL,O,X,O,O,X,X,O,X,X,X,X
TZISLJO,O,X,X,O,X,X,X,X,X,X,X
TZISLOJ,O,X,X,O,X,X,X,X,X,X,X
TZISJLO,O,X,X,O,X,X,X,X,X,X,X
TZISJOL,O,X,O,O,X,X,X,X,X,X,X
TZISOLJ,O,X,O,O,X,X,X,X,X,X,X
TZISOJL,O,X,X,O,X,X,X,X,X,X,X
TZIOLJS,O,X,O,X,X,X,X,X,X,X,X
TZIOLSJ,O,X,O,X,X,X,X,X,X,X,X
TZIOJLS,O,X,O,X,X,X,O,X,X,X,X
TZIOJSL,O,X,O,O,X,X,O,X,X,X,X
TZIOSLJ,O,X,O,O,X,X,X,X,X,X,X
TZIOSJL,O,X,X,O,X,X,X,X,X,X,X
TZLIJSO,O,X,O,X,X,O,X,O,X,X,X
TZLIJOS,O,X,O,X,X,X,O,O,X,X,O
TZLISJO,O,X,O,X,X,O,X,O,X,X,X
TZLISOJ,O,X,O,X,X,O,X,O,X,X,X
TZLIOJS,O,X,O,X,X,X,O,O,X,X,X
TZLIOSJ,O,X,O,X,X,X,X,X,X,X,X
TZLJISO,O,X,O,X,X,O,X,O,X,X,X
TZLJIOS,O,X,O,X,X,X,O,O,X,X,O
TZLJSIO,O,X,O,X,X,O,X,O,X,X,X
TZLJSOI,O,X,O,X,X,O,O,O,X,X,O
TZLJOIS,O,X,O,X,X,X,O,O,X,X,O
TZLJOSI,O,X,O,X,X,X,O,O,X,X,O
TZLSIJO,O,X,O,X,X,O,X,O,X,X,X
TZLSIOJ,O,X,O,X,X,O,X,O,X,X,X
TZLSJIO,O,X,O,X,X,O,X,O,X,X,X
TZLSJOI,O,X,O,X,X,O,O,O,X,X,O
TZLSOIJ,O,X,O,X,X,O,X,O,X,X,X
TZLSOJI,O,X,O,X,X,O,O,O,X,X,X
TZLOIJS,O,X,O,X,X,O,O,O,X,X,X
TZLOISJ,O,X,O,X,X,O,X,X,X,X,X
TZLOJIS,O,X,O,X,X,O,O,O,X,X,O
TZLOJSI,O,X,O,X,X,O,O,O,X,X,O
TZLOSIJ,O,X,O,X,X,O,X,O,X,X,X
TZLOSJI,O,X,O,X,X,O,O,O,X,X,X
TZJILSO,O,X,O,X,X,O,X,X,X,X,X
TZJILOS,O,X,O,X,X,X,O,X,X,X,X
TZJISLO,O,X,X,O,X,X,X,X,X,X,X
TZJISOL,O,X,O,O,X,X,X,X,X,X,X
TZJIOLS,O,X,O,X,X,X,O,X,X,X,X
TZJIOSL,O,X,O,O,X,X,O,X,X,X,X
TZJLISO,O,X,O,X,X,O,X,O,X,X,X
TZJLIOS,O,X,O,X,X,X,O,O,X,X,O
TZJLSIO,O,X,O,X,X,O,X,O,X,X,X
TZJLSOI,O,X,O,X,X,O,O,O,X,X,O
TZJLOIS,O,X,O,X,X,X,O,O,X,X,O
TZJLOSI,O,X,O,X,X,X,O,O,X,X,O
TZJSILO,O,X,X,O,X,X,X,X,X,X,X
TZJSIOL,O,X,O,O,X,X,X,X,X,X,X
TZJSLIO,O,X,O,O,X,X,X,X,X,X,X
TZJSLOI,O,X,O,O,X,X,O,X,X,X,X
TZJSOIL,O,X,O,O,X,X,O,X,X,X,X
TZJSOLI,O,X,O,O,X,X,O,X,X,X,X
TZJOILS,O,X,O,X,X,X,O,X,X,X,X
TZJOISL,O,X,O,O,X,X,O,X,X,X,X
TZJOLIS,O,X,O,X,X,X,O,O,X,X,X
TZJOLSI,O,X,O,X,X,X,O,O,X,X,X
TZJOSIL,O,X,O,O,X,X,O,X,X,X,X
TZJOSLI,O,X,O,O,X,X,O,X,X,X,X
TZSILJO,O,X,X,O,X,X,X,X,X,X,X
TZSILOJ,O,X,X,O,X,X,X,X,X,X,X
TZSIJLO,O,X,X,O,X,X,X,X,X,X,X
TZSIJOL,O,X,O,O,X,X,X,X,X,X,X
TZSIOLJ,O,X,O,O,X,X,X,X,O,X,X
TZSIOJL,O,X,X,O,X,X,X,X,O,X,X
TZSLIJO,O,X,O,O,X,O,X,X,X,X,X
TZSLIOJ,O,X,O,O,X,O,X,X,X,X,X
TZSLJIO,O,X,O,O,X,O,X,X,X,X,X
TZSLJOI,O,X,O,O,X,O,X,X,X,X,X
TZSLOIJ,O,X,O,O,X,O,X,X,X,X,X
TZSLOJI,O,X,O,O,X,O,X,X,X,X,X
TZSJILO,O,X,X,O,X,X,X,X,X,X,X
TZSJIOL,O,X,O,O,X,X,X,X,X,X,X
TZSJLIO,O,X,O,O,X,X,X,X,X,X,X
TZSJLOI,O,X,O,O,X,X,O,X,X,X,X
TZSJOIL,O,X,O,O,X,X,O,X,X,X,X
TZSJOLI,O,X,O,O,X,X,O,X,X,X,X
TZSOILJ,O,X,O,O,X,X,X,X,O,X,X
TZSOIJL,O,X,X,O,X,X,X,X,O,X,X
TZSOLIJ,O,X,O,O,X,O,X,X,O,X,X
TZSOLJI,O,X,O,O,X,O,X,X,X,X,X
TZSOJIL,O,X,X,O,X,X,O,X,O,X,X
TZSOJLI,O,X,X,O,X,X,O,X,X,X,X
TZOILJS,O,X,O,X,X,O,X,X,X,X,X
TZOILSJ,O,X,O,X,X,O,X,X,X,X,X
TZOIJLS,O,X,O,X,X,O,O,X,X,X,X
TZOIJSL,O,X,O,O,X,X,O,X,X,X,X
TZOISLJ,O,X,O,O,X,X,X,X,O,X,X
TZOISJL,O,X,X,O,X,X,X,X,O,X,X
TZOLIJS,O,X,O,X,X,O,O,O,X,X,X
TZOLISJ,O,X,O,X,X,O,X,X,X,X,X
TZOLJIS,O,X,O,X,X,O,O,O,X,X,X
TZOLJSI,O,X,O,X,X,O,O,O,X,X,X
TZOLSIJ,O,X,O,X,X,O,X,O,O,X,X
TZOLSJI,O,X,O,X,X,O,O,O,X,X,X
TZOJILS,O,X,O,X,X,O,O,X,X,X,X
TZOJISL,O,X,O,O,X,X,O,X,X,X,X
TZOJLIS,O,X,O,X,X,O,O,O,X,X,X
TZOJLSI,O,X,O,X,X,O,O,O,X,X,X
TZOJSIL,O,X,O,O,X,X,O,X,O,X,X
TZOJSLI,O,X,O,O,X,X,O,X,X,X,X
TZOSILJ,O,X,O,O,X,X,X,X,O,X,X
TZOSIJL,O,X,X,O,X,X,X,X,O,X,X
TZOSLIJ,O,X,O,O,X,O,X,X,O,X,X
TZOSLJI,O,X,O,O,X,O,X,X,X,X,X
TZOSJIL,O,X,X,O,X,X,O,X,O,X,X
TZOSJLI,O,X,X,O,X,X,O,X,X,X,X
TOILJSZ,O,O,X,X,X,X,O,O,X,X,X
TOILJZS,O,O,O,X,X,X,O,O,X,X,X
TOILSJZ,O,O,O,X,X,X,X,O,X,X,X
TOILSZJ,O,O,O,X,X,X,X,O,X,X,X
TOILZJS,O,O,O,X,X,X,O,O,X,X,X
TOILZSJ,O,O,O,X,X,X,X,X,X,X,X
TOIJLSZ,O,X,X,X,X,X,O,O,X,X,X
TOIJLZS,O,X,O,X,X,X,O,O,X,X,X
TOIJSLZ,O,X,X,X,X,X,O,X,X,X,X
TOIJSZL,O,X,O,O,X,X,O,X,X,X,X
TOIJZLS,O,X,O,X,X,X,O,X,X,X,X
TOIJZSL,O,X,O,X,X,X,O,X,X,X,X
TOISLJZ,O,O,X,X,X,X,X,X,X,X,X
TOISLZJ,O,O,X,X,X,O,X,X,O,X,X
TOISJLZ,O,O,X,X,X,X,X,X,X,X,X
TOISJZL,O,X,X,O,X,X,X,X,O,X,X
TOISZLJ,O,O,O,O,X,X,X,X,O,X,X
TOISZJL,O,X,X,O,X,X,X,X,O,X,X
TOIZLJS,O,X,O,X,X,X,X,X,X,X,X
TOIZLSJ,O,X,O,X,X,X,X,X,X,X,X
TOIZJLS,X,X,O,X,X,X,O,X,X,X,X
TOIZJSL,O,X,O,X,X,X,O,X,X,X,X
TOIZSLJ,O,X,O,X,X,X,X,X,O,X,X
TOIZSJL,O,X,X,X,X,X,X,X,O,X,X
TOLIJSZ,O,O,O,X,X,X,O,O,X,X,X
TOLIJZS,O,O,O,X,X,X,O,O,X,X,X
TOLISJZ,O,O,O,X,X,X,X,O,X,X,X
TOLISZJ,O,O,O,X,X,X,X,O,X,X,X
TOLIZJS,O,O,O,X,X,X,O,O,X,X,X
TOLIZSJ,O,O,O,X,X,X,X,X,X,X,X
TOLJISZ,O,O,O,X,X,X,O,O,X,X,O
TOLJIZS,O,O,O,X,X,X,O,O,X,X,O
TOLJSIZ,O,O,O,X,X,X,O,O,X,X,O
TOLJSZI,O,O,O,X,X,X,O,O,X,X,O
TOLJZIS,O,O,O,X,X,X,O,O,X,X,O
TOLJZSI,O,O,O,X,X,X,O,O,X,X,O
TOLSIJZ,O,O,O,X,X,X,X,O,X,O,X
TOLSIZJ,O,O,O,X,X,O,X,O,O,O,X
TOLSJIZ,O,O,O,X,X,X,O,O,X,O,X
TOLSJZI,O,O,O,X,X,O,O,O,X,O,X
TOLSZIJ,O,O,O,X,X,O,X,O,O,O,X
TOLSZJI,O,O,O,X,X,O,O,O,X,O,X
TOLZIJS,O,O,O,X,X,O,O,O,X,X,X
TOLZISJ,O,O,O,X,X,O,X,X,X,X,X
TOLZJIS,O,O,O,X,X,O,O,O,X,X,O
TOLZJSI,O,O,O,X,X,O,O,O,X,X,O
TOLZSIJ,O,O,O,X,X,O,X,O,O,O,X
TOLZSJI,O,O,O,X,X,O,O,O,X,O,X
TOJILSZ,O,O,O,X,X,X,O,O,X,X,X
TOJILZS,O,O,O,X,X,X,O,O,X,X,X
TOJISLZ,O,O,X,X,X,X,O,X,X,X,X
TOJISZL,O,X,O,O,X,X,O,X,X,X,X
TOJIZLS,O,X,O,X,X,X,O,X,X,X,X
TOJIZSL,O,X,O,X,X,X,O,X,X,X,X
TOJLISZ,O,O,O,X,X,X,O,O,X,X,O
TOJLIZS,O,O,O,X,X,X,O,O,X,X,O
TOJLSIZ,O,O,O,X,X,X,O,O,X,X,O
TOJLSZI,O,O,O,X,X,X,O,O,X,X,O
TOJLZIS,O,O,O,X,X,X,O,O,X,X,O
TOJLZSI,O,O,O,X,X,X,O,O,X,X,O
TOJSILZ,O,O,X,X,X,X,O,X,X,X,X
TOJSIZL,O,X,O,O,X,X,O,X,O,X,X
TOJSLIZ,O,O,O,X,X,X,O,O,X,X,X
TOJSLZI,O,O,O,X,X,O,O,O,X,X,X
TOJSZIL,O,X,O,X,X,X,O,X,O,X,X
TOJSZLI,O,O,O,X,X,X,O,X,X,X,X
TOJZILS,O,X,O,X,X,X,O,X,X,X,X
TOJZISL,O,X,O,X,X,X,O,X,X,X,X
TOJZLIS,O,O,O,X,X,X,O,O,X,X,X
TOJZLSI,O,O,O,X,X,X,O,O,X,X,X
TOJZSIL,O,X,O,X,X,X,O,X,O,X,X
TOJZSLI,O,O,O,X,X,X,O,X,X,X,X
TOSILJZ,O,O,X,X,X,X,X,X,X,X,X
TOSILZJ,O,O,X,X,X,O,X,X,O,X,X
TOSIJLZ,O,O,X,X,X,X,X,X,X,X,X
TOSIJZL,O,X,X,O,X,X,X,X,O,X,X
TOSIZLJ,O,O,O,O,X,X,X,X,O,X,X
TOSIZJL,O,X,X,O,X,X,X,X,O,X,X
TOSLIJZ,O,O,O,X,X,X,X,O,X,X,X
TOSLIZJ,O,O,O,X,X,O,X,O,O,X,X
TOSLJIZ,O,O,O,X,X,X,O,O,X,X,X
TOSLJZI,O,O,O,X,X,O,O,O,X,X,X
TOSLZIJ,O,O,O,X,X,O,X,O,O,X,X
TOSLZJI,O,O,O,X,X,O,O,O,X,X,X
TOSJILZ,O,O,X,X,X,X,O,X,X,X,X
TOSJIZL,O,X,X,O,X,X,O,X,O,X,X
TOSJLIZ,O,O,X,X,X,X,O,O,X,X,X
TOSJLZI,O,O,X,X,X,O,O,O,X,X,X
TOSJZIL,O,X,X,X,X,X,O,X,O,X,X
TOSJZLI,O,O,X,X,X,X,O,X,X,X,X
TOSZILJ,O,O,O,X,X,X,X,X,O,X,X
TOSZIJL,O,X,X,X,X,X,X,X,O,X,X
TOSZLIJ,O,O,O,X,X,O,X,X,O,X,X
TOSZLJI,O,O,O,X,X,O,X,X,X,X,X
TOSZJIL,O,X,X,X,X,X,O,X,O,X,X
TOSZJLI,O,O,X,X,X,X,O,X,X,X,X
TOZILJS,O,X,O,X,X,O,X,X,X,X,X
TOZILSJ,O,X,O,X,X,O,X,X,X,X,X
TOZIJLS,O,X,O,X,X,O,O,X,X,X,X
TOZIJSL,O,X,O,X,X,X,O,X,X,X,X
TOZISLJ,O,X,O,X,X,X,X,X,O,X,X
TOZISJL,O,X,X,X,X,X,X,X,O,X,X
TOZLIJS,O,X,O,X,X,O,O,O,X,X,X
TOZLISJ,O,X,O,X,X,O,X,X,X,X,X
TOZLJIS,O,X,O,X,X,O,O,O,X,X,X
TOZLJSI,O,X,O,X,X,O,O,O,X,X,X
TOZLSIJ,O,X,O,X,X,O,X,O,O,O,X
TOZLSJI,O,X,O,X,X,O,O,O,X,O,X
TOZJILS,O,X,O,X,X,O,O,X,X,X,X
TOZJISL,O,X,O,X,X,X,O,X,X,X,X
TOZJLIS,O,X,O,X,X,O,O,O,X,X,X
TOZJLSI,O,X,O,X,X,O,O,O,X,X,X
TOZJSIL,O,X,O,X,X,X,O,X,O,X,X
TOZJSLI,O,X,O,X,X,X,O,X,X,X,X
TOZSILJ,O,X,O,X,X,X,X,X,O,X,X
TOZSIJL,O,X,X,X,X,X,X,X,O,X,X
TOZSLIJ,O,X,O,X,X,O,X,X,O,X,X
TOZSLJI,O,X,O,X,X,O,X,X,X,X,X
TOZSJIL,O,X,X,X,X,X,O,X,O,X,X
TOZSJLI,O,X,X,X,X,X,O,X,X,X,X
ITLJSZO,O,O,O,O,X,X,X,O,X,X,X
ITLJSOZ,O,O,O,X,X,X,X,O,X,X,X
ITLJZSO,O,O,O,X,O,X,X,O,X,X,X
ITLJZOS,O,O,O,X,O,X,O,O,X,X,O
ITLJOSZ,O,O,O,X,X,X,X,O,X,X,O
ITLJOZS,O,O,O,X,O,X,X,O,X,X,O
ITLSJZO,O,O,O,O,X,X,X,O,X,X,X
ITLSJOZ,O,O,O,X,X,X,X,O,X,X,X
ITLSZJO,O,O,O,O,X,X,X,O,X,X,X
ITLSZOJ,O,O,O,O,X,X,X,O,X,X,X
ITLSOJZ,O,X,O,X,X,X,X,O,X,X,X
ITLSOZJ,O,O,O,X,X,X,X,O,X,X,X
ITLZJSO,O,O,O,X,X,X,X,O,X,X,X
ITLZJOS,O,O,O,X,X,X,O,O,X,X,O
ITLZSJO,O,O,O,X,X,X,X,O,X,X,X
ITLZSOJ,O,O,O,X,X,X,X,O,X,X,X
ITLZOJS,O,O,O,X,X,X,O,O,X,X,X
ITLZOSJ,O,O,O,X,X,X,X,X,X,X,X
ITLOJSZ,O,O,O,X,X,X,O,O,X,X,X
ITLOJZS,O,O,O,X,O,X,O,O,X,X,X
ITLOSJZ,O,O,O,X,X,X,X,O,X,X,X
ITLOSZJ,O,O,O,X,X,X,X,O,X,X,X
ITLOZJS,O,O,O,X,X,X,O,O,X,X,X
ITLOZSJ,O,O,O,X,X,X,X,X,X,X,X
ITJLSZO,O,X,O,O,X,X,X,O,X,X,X
ITJLSOZ,O,X,O,X,X,X,X,O,X,X,X
ITJLZSO,O,X,O,X,O,X,X,O,X,X,X
ITJLZOS,O,X,O,X,O,X,O,O,X,X,O
ITJLOSZ,O,X,O,X,X,X,X,O,X,X,O
ITJLOZS,O,X,O,X,O,X,X,O,X,X,O
ITJSLZO,O,X,X,O,X,X,X,X,X,X,X
ITJSLOZ,O,X,X,X,X,X,X,X,X,X,X
ITJSZLO,O,X,X,O,X,X,X,X,X,X,X
ITJSZOL,O,X,O,O,X,X,X,X,X,X,X
ITJSOLZ,O,X,X,X,X,X,X,X,X,X,X
ITJSOZL,O,X,O,O,X,X,X,X,X,X,X
ITJZLSO,O,X,O,X,O,X,X,X,X,X,X
ITJZLOS,O,X,O,X,O,X,O,X,X,X,X
ITJZSLO,O,X,X,O,O,X,X,X,X,X,X
ITJZSOL,O,X,O,O,X,X,X,X,X,X,X
ITJZOLS,O,X,O,X,O,X,O,X,X,X,X
ITJZOSL,O,X,O,O,X,X,O,X,X,X,X
ITJOLSZ,O,X,O,X,X,X,X,O,X,X,X
ITJOLZS,O,X,O,X,X,X,X,O,X,X,X
ITJOSLZ,O,X,X,X,X,X,X,X,X,X,X
ITJOSZL,O,X,O,O,X,X,X,X,X,X,X
ITJOZLS,O,X,O,X,X,X,X,X,X,X,X
ITJOZSL,O,X,O,X,X,X,X,X,X,X,X
ITSLJZO,O,O,X,O,X,X,X,X,X,X,X
ITSLJOZ,O,O,X,X,X,X,X,X,X,X,X
ITSLZJO,O,O,X,O,X,O,X,X,X,X,X
ITSLZOJ,O,O,X,O,X,O,X,X,X,X,X
ITSLOJZ,O,X,X,X,X,X,X,X,X,X,X
ITSLOZJ,O,O,X,X,X,O,X,X,O,X,X
ITSJLZO,O,O,X,O,X,X,X,X,X,X,X
ITSJLOZ,O,X,X,X,X,X,X,X,X,X,X
ITSJZLO,O,X,X,O,X,X,X,X,X,X,X
ITSJZOL,O,X,O,O,X,X,X,X,X,X,X
ITSJOLZ,O,X,X,X,X,X,X,X,X,X,X
ITSJOZL,O,X,O,O,X,X,X,X,O,X,X
ITSZLJO,O,O,X,O,X,X,X,X,X,X,X
ITSZLOJ,O,O,X,O,X,X,X,X,X,X,X
ITSZJLO,O,X,X,O,X,X,X,X,X,X,X
ITSZJOL,O,X,O,O,X,X,X,X,X,X,X
ITSZOLJ,O,X,O,O,X,X,X,X,O,X,X
ITSZOJL,O,X,X,O,X,X,X,X,O,X,X
ITSOLJZ,O,X,X,X,X,X,X,X,X,X,X
ITSOLZJ,O,O,X,X,X,O,X,X,O,X,X
ITSOJLZ,O,X,X,X,X,X,X,X,X,X,X
ITSOJZL,O,X,X,O,X,X,X,X,O,X,X
ITSOZLJ,O,X,O,O,X,X,X,X,O,X,X
ITSOZJL,O,X,X,O,X,X,X,X,O,X,X
ITZLJSO,O,X,O,X,X,X,X,X,X,X,X
ITZLJOS,O,X,O,X,X,X,X,X,X,X,X
ITZLSJO,O,X,O,X,X,X,X,X,X,X,X
ITZLSOJ,O,X,O,X,X,X,X,X,X,X,X
ITZLOJS,O,X,O,X,X,X,X,X,X,X,X
ITZLOSJ,O,X,O,X,X,X,X,X,X,X,X
ITZJLSO,O,X,O,X,X,X,X,X,X,X,X
ITZJLOS,O,X,O,X,X,X,O,X,X,X,X
ITZJSLO,O,X,X,O,X,X,X,X,X,X,X
ITZJSOL,O,X,O,O,X,X,X,X,X,X,X
ITZJOLS,O,X,O,X,X,X,O,X,X,X,X
ITZJOSL,O,X,O,O,X,X,O,X,X,X,X
ITZSLJO,O,X,X,O,X,X,X,X,X,X,X
ITZSLOJ,O,X,X,O,X,X,X,X,X,X,X
ITZSJLO,O,X,X,O,X,X,X,X,X,X,X
ITZSJOL,O,X,O,O,X,X,X,X,X,X,X
ITZSOLJ,O,X,O,O,X,X,X,X,X,X,X
ITZSOJL,O,X,X,O,X,X,X,X,X,X,X
ITZOLJS,O,X,O,X,X,X,X,X,X,X,X
ITZOLSJ,O,X,O,X,X,X,X,X,X,X,X
ITZOJLS,O,X,O,X,X,X,O,X,X,X,X
ITZOJSL,O,X,O,O,X,X,O,X,X,X,X
ITZOSLJ,O,X,O,O,X,X,X,X,X,X,X
ITZOSJL,O,X,X,O,X,X,X,X,X,X,X
ITOLJSZ,O,O,X,X,X,X,O,O,X,X,X
ITOLJZS,O,O,O,X,X,X,O,O,X,X,X
ITOLSJZ,O,O,O,X,X,X,X,O,X,X,X
ITOLSZJ,O,O,O,X,X,X,X,O,X,X,X
ITOLZJS,O,O,O,X,X,X,O,O,X,X,X
ITOLZSJ,O,O,O,X,X,X,X,X,X,X,X
ITOJLSZ,O,X,X,X,X,X,O,O,X,X,X
ITOJLZS,O,X,O,X,X,X,O,O,X,X,X
ITOJSLZ,O,X,X,X,X,X,O,X,X,X,X
ITOJSZL,O,X,O,O,X,X,O,X,X,X,X
ITOJZLS,O,X,O,X,X,X,O,X,X,X,X
ITOJZSL,O,X,O,X,X,X,O,X,X,X,X
ITOSLJZ,O,O,X,X,X,X,X,X,X,X,X
ITOSLZJ,O,O,X,X,X,O,X,X,O,X,X
ITOSJLZ,O,O,X,X,X,X,X,X,X,X,X
ITOSJZL,O,X,X,O,X,X,X,X,O,X,X
ITOSZLJ,O,O,O,O,X,X,X,X,O,X,X
ITOSZJL,O,X,X,O,X,X,X,X,O,X,X
ITOZLJS,O,X,O,X,X,X,X,X,X,X,X
ITOZLSJ,O,X,O,X,X,X,X,X,X,X,X
ITOZJLS,X,X,O,X,X,X,O,X,X,X,X
ITOZJSL,O,X,O,X,X,X,O,X,X,X,X
ITOZSLJ,O,X,O,X,X,X,X,X,O,X,X
ITOZSJL,O,X,X,X,X,X,X,X,O,X,X
ILTJSZO,O,O,O,O,X,X,X,O,X,X,X
ILTJSOZ,O,O,O,X,X,X,X,O,X,X,X
ILTJZSO,O,O,O,X,O,X,X,O,X,X,X
ILTJZOS,O,O,O,X,O,X,O,O,X,X,O
ILTJOSZ,O,O,O,X,X,X,X,O,X,X,O
ILTJOZS,O,O,O,X,O,X,X,O,X,X,O
ILTSJZO,O,O,O,O,X,X,X,O,X,O,X
ILTSJOZ,O,O,O,X,X,X,X,O,X,O,X
ILTSZJO,O,O,O,O,X,X,X,O,X,O,X
ILTSZOJ,O,O,O,O,X,X,X,O,X,O,X
ILTSOJZ,O,X,O,X,X,X,X,O,X,O,X
ILTSOZJ,O,O,O,X,X,X,X,O,X,O,X
ILTZJSO,O,O,O,X,X,X,X,O,X,X,X
ILTZJOS,O,O,O,X,X,X,O,O,X,X,O
ILTZSJO,O,O,O,X,X,X,X,O,X,X,X
ILTZSOJ,O,O,O,X,X,X,X,O,X,X,X
ILTZOJS,O,O,O,X,X,X,O,O,X,X,X
ILTZOSJ,O,O,O,X,X,X,X,X,X,X,X
ILTOJSZ,O,O,O,X,X,X,O,O,X,X,X
ILTOJZS,O,O,O,X,O,X,O,O,X,X,X
ILTOSJZ,O,O,O,X,X,X,X,O,X,X,X
ILTOSZJ,O,O,O,X,X,X,X,O,X,X,X
ILTOZJS,O,O,O,X,X,X,O,O,X,X,X
ILTOZSJ,O,O,O,X,X,X,X,X,X,X,X
ILJTSZO,O,O,O,O,X,X,X,O,X,X,X
ILJTSOZ,O,O,O,X,X,X,X,O,X,X,X
ILJTZSO,O,O,O,X,O,X,X,O,X,X,X
ILJTZOS,O,O,O,X,O,X,O,O,X,X,O
ILJTOSZ,O,O,O,X,X,X,X,O,X,X,O
ILJTOZS,O,O,O,X,O,X,X,O,X,X,O
ILJSTZO,O,O,O,O,X,X,X,O,X,O,X
ILJSTOZ,O,O,O,X,X,X,X,O,X,O,X
ILJSZTO,O,O,O,O,O,X,X,O,X,X,X
