sequence,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgB8nB+oB3mBFnBRxB,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgB+mBxiBctBXsBlsB,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgBFiBXjBctBxrBWxB,v115@IhB8GeD8FeE8DeA8Jei/IvhFfmBziB+oBUnBlmBRxB,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgBUiB1rBXoBGoBRxB,v115@IhB8GeD8FeE8DeA8Jei/IvhFzgBRiB3mBWtBVxBctB
TSJIZOL,X,X,X,O,X,O
TSJIOLZ,X,X,X,O,X,O
TSJIOZL,X,X,X,O,X,O
TSJLIZO,X,X,X,O,X,O
TSJLIOZ,X,X,X,O,X,O
TSJLZIO,X,O,X,X,X,O
TSJLZOI,O,O,X,X,X,O
TSJLOIZ,X,X,X,O,X,O
TSJLOZI,O,O,X,X,X,O
TSJZILO,X,O,X,X,X,O
TSJZIOL,X,O,X,X,X,O
TSJZLIO,X,O,X,X,X,O
TSJZLOI,O,O,X,X,X,O
TSJZOIL,X,O,X,X,X,O
TSJZOLI,O,O,X,X,X,O
TSJOILZ,X,X,X,O,X,O
TSJOIZL,X,X,X,O,X,O
TSJOLIZ,X,X,X,O,X,O
TSJOLZI,O,O,X,X,X,O
TSJOZIL,X,O,X,X,X,O
TSJOZLI,O,O,X,X,X,O
TSZILJO,X,O,X,X,O,X
TSZILOJ,X,X,X,X,O,X
TSZIJLO,X,O,X,X,O,X
TSZIJOL,X,O,X,X,O,X
TSZIOLJ,X,X,X,X,O,X
TSZIOJL,X,X,X,X,O,X
TSZLIJO,X,O,X,X,O,X
TSZLIOJ,X,X,X,X,O,X
TSZLJIO,X,O,X,X,X,O
TSZLJOI,X,O,X,X,X,O
TSZLOIJ,X,X,X,X,O,X
TSZLOJI,X,O,X,X,X,O
TSZJILO,X,O,X,X,X,O
TSZJIOL,X,O,X,X,X,O
TSZJLIO,X,O,X,X,X,O
TSZJLOI,X,O,X,X,X,O
TSZJOIL,X,O,X,X,X,O
TSZJOLI,X,O,X,X,X,O
TSZOILJ,X,X,X,X,O,X
TSZOIJL,X,X,X,X,O,X
TSZOLIJ,X,X,X,X,O,X
TSZOLJI,X,O,X,X,X,O
TSZOJIL,X,O,X,X,X,O
TSZOJLI,X,O,X,X,X,O
TSOILJZ,O,X,X,X,O,O
TSOILZJ,X,X,X,X,O,X
TSOIJLZ,O,X,X,X,O,O
TSOIJZL,O,X,X,X,O,O
TSOIZLJ,X,X,X,X,O,X
TSOIZJL,X,X,X,X,O,X
TSOLIJZ,O,X,X,X,O,O
TSOLIZJ,X,X,X,X,O,X
TSOLJIZ,X,X,X,X,X,O
TSOLJZI,O,O,X,X,X,O
TSOLZIJ,X,X,X,X,O,X
TSOLZJI,X,O,X,X,X,O
TSOJILZ,X,X,X,X,X,O
TSOJIZL,X,X,X,X,X,O
TSOJLIZ,X,X,X,X,X,O
TSOJLZI,O,O,X,X,X,O
TSOJZIL,X,O,X,X,X,O
TSOJZLI,O,O,X,X,X,O
TSOZILJ,X,X,X,X,O,X
TSOZIJL,X,X,X,X,O,X
TSOZLIJ,X,X,X,X,O,X
TSOZLJI,X,O,X,X,X,O
TSOZJIL,X,O,X,X,X,O
TSOZJLI,X,O,X,X,X,O
TZILJSO,X,X,O,X,O,X
TZILJOS,X,O,O,X,O,X
TZILSJO,X,O,O,X,O,X
TZILSOJ,X,X,O,X,O,X
TZILOJS,X,X,O,X,O,X
TZILOSJ,X,X,O,X,O,X
TZIJLSO,X,X,O,X,O,X
TZIJLOS,X,O,O,X,O,X
TZIJSLO,X,X,O,X,O,X
TZIJSOL,X,X,O,X,O,X
TZIJOLS,X,O,O,X,O,X
TZIJOSL,X,X,O,X,O,X
TZISLJO,X,O,O,X,O,X
TZISLOJ,X,X,O,X,O,X
TZISJLO,X,O,O,X,O,X
TZISJOL,X,O,O,X,O,X
TZISOLJ,X,X,O,X,O,X
TZISOJL,X,X,O,X,O,X
TZIOLJS,X,X,O,X,O,X
TZIOLSJ,X,X,O,X,O,X
TZIOJLS,X,X,O,X,O,X
TZIOJSL,X,X,O,X,O,X
TZIOSLJ,X,X,O,X,O,X
TZIOSJL,X,X,O,X,O,X
TZLIJSO,X,X,O,X,O,X
TZLIJOS,X,O,O,X,O,X
TZLISJO,X,O,O,X,O,X
TZLISOJ,X,X,O,X,O,X
TZLIOJS,X,X,O,X,O,X
TZLIOSJ,X,X,O,X,O,X
TZLJISO,X,X,X,X,O,X
TZLJIOS,X,O,X,X,O,X
TZLJSIO,X,O,X,X,X,O
TZLJSOI,X,O,X,X,X,O
TZLJOIS,X,O,X,X,O,X
TZLJOSI,X,O,X,X,X,X
TZLSIJO,X,O,O,X,O,X
TZLSIOJ,X,X,O,X,O,X
TZLSJIO,X,O,O,X,X,O
TZLSJOI,X,O,O,X,X,O
TZLSOIJ,X,X,O,X,O,X
TZLSOJI,X,O,O,X,X,O
TZLOIJS,X,X,O,X,O,X
TZLOISJ,X,X,O,X,O,X
TZLOJIS,X,O,X,X,O,X
TZLOJSI,X,O,X,X,X,X
TZLOSIJ,X,X,O,X,O,X
TZLOSJI,X,O,O,X,X,X
TZJILSO,X,X,X,X,O,X
TZJILOS,X,O,X,X,O,X
TZJISLO,X,X,X,X,O,X
TZJISOL,X,X,X,X,O,X
TZJIOLS,X,O,X,X,O,X
TZJIOSL,X,X,X,X,O,X
TZJLISO,X,X,X,X,O,X
TZJLIOS,X,O,X,X,O,X
TZJLSIO,X,O,X,X,X,O
TZJLSOI,X,O,X,X,X,O
TZJLOIS,X,O,X,X,O,X
TZJLOSI,X,O,X,X,X,X
TZJSILO,X,O,X,X,X,O
TZJSIOL,X,O,X,X,X,O
TZJSLIO,X,O,X,X,X,O
TZJSLOI,X,O,X,X,X,O
TZJSOIL,X,O,X,X,X,O
TZJSOLI,X,O,X,X,X,O
TZJOILS,X,O,X,X,O,X
TZJOISL,X,X,X,X,O,X
TZJOLIS,X,O,X,X,O,X
TZJOLSI,X,O,X,X,X,X
TZJOSIL,X,O,X,X,X,X
TZJOSLI,X,O,X,X,X,X
TZSILJO,X,O,O,X,O,X
TZSILOJ,X,X,O,X,O,X
TZSIJLO,X,O,O,X,O,X
TZSIJOL,X,O,O,X,O,X
TZSIOLJ,X,X,O,X,O,X
TZSIOJL,X,X,O,X,O,X
TZSLIJO,X,O,O,X,O,X
TZSLIOJ,X,X,O,X,O,X
TZSLJIO,X,O,O,X,X,O
TZSLJOI,X,O,O,X,X,O
TZSLOIJ,X,X,O,X,O,X
TZSLOJI,X,O,O,X,X,O
TZSJILO,X,O,X,X,X,O
TZSJIOL,X,O,X,X,X,O
TZSJLIO,X,O,O,X,X,O
TZSJLOI,X,O,O,X,X,O
TZSJOIL,X,O,X,X,X,O
TZSJOLI,X,O,O,X,X,O
TZSOILJ,X,X,O,X,O,X
TZSOIJL,X,X,O,X,O,X
TZSOLIJ,X,X,O,X,O,X
TZSOLJI,X,O,O,X,X,O
TZSOJIL,X,O,X,X,X,O
TZSOJLI,X,O,O,X,X,O
TZOILJS,X,X,O,X,O,X
TZOILSJ,X,X,O,X,O,X
TZOIJLS,X,X,O,X,O,X
TZOIJSL,X,X,O,X,O,X
TZOISLJ,X,X,O,X,O,X
TZOISJL,X,X,O,X,O,X
TZOLIJS,X,X,O,X,O,X
TZOLISJ,X,X,O,X,O,X
TZOLJIS,X,O,X,X,O,X
TZOLJSI,X,O,X,X,X,X
TZOLSIJ,X,X,O,X,O,X
TZOLSJI,X,O,O,X,X,X
TZOJILS,X,O,X,X,O,X
TZOJISL,X,X,X,X,O,X
TZOJLIS,X,O,X,X,O,X
TZOJLSI,X,O,X,X,X,X
TZOJSIL,X,O,X,X,X,X
TZOJSLI,X,O,X,X,X,X
TZOSILJ,X,X,O,X,O,X
TZOSIJL,X,X,O,X,O,X
TZOSLIJ,X,X,O,X,O,X
TZOSLJI,X,O,O,X,X,X
TZOSJIL,X,O,X,X,X,X
TZOSJLI,X,O,O,X,X,X
TOILJSZ,O,X,X,X,O,X
TOILJZS,O,X,O,X,O,X
TOILSJZ,O,X,X,X,O,X
TOILSZJ,X,X,O,X,O,X
TOILZJS,X,X,O,X,O,X
TOILZSJ,X,X,O,X,O,X
TOIJLSZ,O,X,X,X,O,X
TOIJLZS,O,X,O,X,O,X
TOIJSLZ,O,X,X,X,O,X
TOIJSZL,O,X,X,X,O,X
TOIJZLS,O,X,O,X,O,X
TOIJZSL,O,X,O,X,O,X
TOISLJZ,O,X,X,X,O,X
TOISLZJ,X,X,O,X,O,X
TOISJLZ,O,X,X,X,O,X
TOISJZL,O,X,X,X,O,X
TOISZLJ,X,X,O,X,O,X
TOISZJL,X,X,O,X,O,X
TOIZLJS,X,X,O,X,O,X
TOIZLSJ,X,X,O,X,O,X
TOIZJLS,X,X,O,X,O,X
TOIZJSL,X,X,O,X,O,X
TOIZSLJ,X,X,O,X,O,X
TOIZSJL,X,X,O,X,O,X
TOLIJSZ,O,X,X,X,O,X
TOLIJZS,O,X,O,X,O,X
TOLISJZ,O,X,X,X,O,X
TOLISZJ,X,X,O,X,O,X
TOLIZJS,X,X,O,X,O,X
TOLIZSJ,X,X,O,X,O,X
TOLJISZ,O,X,X,X,O,X
TOLJIZS,O,X,X,X,O,X
TOLJSIZ,X,X,X,X,X,O
TOLJSZI,O,O,X,X,X,O
TOLJZIS,O,O,X,X,O,X
TOLJZSI,O,O,X,X,X,X
TOLSIJZ,O,X,X,X,O,O
TOLSIZJ,X,X,X,X,O,X
