sequence,v115@GhA8HeB8HeC8BeB8AeD8Jex/IvhF8lBzhBunB/pBaq?BlrB,v115@GhA8HeB8HeC8BeB8AeD8JeT/IvhFigBRiB3lBGnB0p?BlrB,v115@GhA8HeB8HeC8BeB8AeD8JeT/IvhF8lBRiBypBGnBlr?BXqB,v115@GhA8HeB8HeC8BeB8AeD8Jex/IvhF0hBliBTkBmlBXq?BCsB,v115@GhA8HeB8HeC8BeB8AeD8JeOEJvhFxgBliBqpBTlB/r?BUsB,v115@GhA8HeB8HeC8BeB8AeD8JeiAJvhFRiBTkB3lBGnBlr?B0pB,v115@GhA8HeB8HeC8BeB8AeD8Jei/IvhFzhBunBRlB3lB0p?BlrB,v115@GhA8HeB8HeC8BeB8AeD8JeKEJvhFRhBunBFlBXmB8r?BzpB
TZJOLIS,O,O,O,O,O,X,O,X
TZJOLSI,O,O,O,O,O,X,O,X
TZJOSIL,O,O,X,O,O,O,O,X
TZJOSLI,O,O,X,O,O,O,O,X
TZSILJO,O,O,X,X,O,X,O,O
TZSILOJ,O,O,X,X,O,X,O,O
TZSIJLO,O,O,X,X,O,X,O,O
TZSIJOL,O,O,X,X,O,X,O,X
TZSIOLJ,O,O,X,X,O,X,O,X
TZSIOJL,O,O,X,X,O,X,O,X
TZSLIJO,O,O,X,X,O,X,O,O
TZSLIOJ,O,O,X,X,O,X,O,O
TZSLJIO,O,O,O,X,O,O,O,O
TZSLJOI,O,O,O,X,O,O,O,O
TZSLOIJ,O,O,X,X,O,X,O,O
TZSLOJI,O,O,O,X,O,O,O,O
TZSJILO,O,O,O,O,O,O,O,O
TZSJIOL,O,O,X,O,O,O,O,X
TZSJLIO,O,O,O,O,O,O,O,O
TZSJLOI,O,O,O,O,O,O,O,O
TZSJOIL,O,O,X,O,O,O,O,X
TZSJOLI,O,O,X,O,O,O,O,X
TZSOILJ,O,O,X,X,O,X,O,X
TZSOIJL,O,O,X,O,O,X,O,X
TZSOLIJ,O,O,X,X,O,X,O,X
TZSOLJI,O,O,X,X,O,O,O,X
TZSOJIL,O,O,X,O,O,O,O,X
TZSOJLI,O,O,X,O,O,O,O,X
TZOILJS,O,O,X,X,O,X,O,X
TZOILSJ,X,O,X,X,O,X,O,X
TZOIJLS,O,O,X,O,X,X,O,X
TZOIJSL,O,O,X,O,X,O,O,X
TZOISLJ,O,O,X,X,O,X,O,X
TZOISJL,O,O,X,X,O,X,O,X
TZOLIJS,O,O,O,X,O,X,O,X
TZOLISJ,X,O,X,X,O,X,O,X
TZOLJIS,O,O,O,X,O,X,O,X
TZOLJSI,O,O,O,X,O,X,O,X
TZOLSIJ,O,O,X,X,O,X,O,X
TZOLSJI,O,O,O,X,O,X,O,X
TZOJILS,O,O,O,O,X,X,O,X
TZOJISL,O,O,X,O,X,O,O,X
TZOJLIS,O,O,O,O,O,X,O,X
TZOJLSI,O,O,O,O,O,X,O,X
TZOJSIL,O,O,X,O,O,O,O,X
TZOJSLI,O,O,X,O,O,O,O,X
TZOSILJ,O,O,X,X,O,X,O,X
TZOSIJL,O,O,X,X,O,X,O,X
TZOSLIJ,O,O,X,X,O,X,O,X
TZOSLJI,O,O,X,X,O,O,O,X
TZOSJIL,O,O,X,X,O,O,O,X
TZOSJLI,O,O,X,X,O,O,O,X
TOILJSZ,X,X,O,O,O,O,O,X
TOILJZS,X,X,O,O,O,X,O,X
TOILSJZ,X,X,O,O,O,X,O,X
TOILSZJ,X,X,X,O,O,X,X,X
TOILZJS,X,X,O,O,O,X,O,X
TOILZSJ,X,X,X,O,O,X,X,X
TOIJLSZ,X,X,O,O,O,O,O,X
TOIJLZS,X,X,O,O,O,X,O,X
TOIJSLZ,O,O,X,O,X,O,O,X
TOIJSZL,O,O,X,O,X,O,X,X
TOIJZLS,O,O,O,O,X,X,O,X
TOIJZSL,O,O,X,O,X,O,O,X
TOISLJZ,O,X,X,X,O,O,O,X
TOISLZJ,O,O,X,X,O,X,X,X
TOISJLZ,O,X,X,O,O,O,O,X
TOISJZL,O,X,X,O,X,O,X,X
TOISZLJ,O,O,X,X,O,X,X,X
TOISZJL,O,O,X,X,O,X,X,X
TOIZLJS,O,O,X,X,O,X,O,X
TOIZLSJ,X,O,X,X,O,X,O,X
TOIZJLS,O,O,X,O,X,X,O,X
TOIZJSL,O,O,X,O,X,O,O,X
TOIZSLJ,O,O,X,X,O,X,O,X
TOIZSJL,O,O,X,X,O,X,O,X
TOLIJSZ,X,X,O,O,O,O,O,X
TOLIJZS,X,X,O,O,O,X,O,X
TOLISJZ,X,X,O,O,O,X,O,X
TOLISZJ,X,X,X,O,O,X,X,X
TOLIZJS,X,X,O,O,O,X,O,X
TOLIZSJ,X,X,X,O,O,X,X,X
TOLJISZ,X,X,O,O,O,O,O,X
TOLJIZS,X,X,O,O,O,X,O,X
TOLJSIZ,O,X,O,O,O,O,X,X
TOLJSZI,O,X,O,O,O,O,X,X
TOLJZIS,O,X,O,O,O,X,O,X
TOLJZSI,O,X,O,O,O,X,O,X
TOLSIJZ,O,X,O,O,O,O,X,X
TOLSIZJ,O,X,X,O,O,X,X,X
TOLSJIZ,O,X,O,O,O,O,X,X
TOLSJZI,O,X,O,O,O,O,X,X
TOLSZIJ,O,X,X,O,O,X,X,X
TOLSZJI,O,X,O,O,O,O,X,X
TOLZIJS,O,X,O,O,O,X,O,X
TOLZISJ,X,X,X,O,O,X,O,X
TOLZJIS,O,X,O,O,O,X,O,X
TOLZJSI,O,X,O,O,O,X,O,X
TOLZSIJ,O,X,X,O,O,X,O,X
TOLZSJI,O,X,O,O,O,X,O,X
TOJILSZ,X,X,O,O,O,O,O,X
TOJILZS,X,X,O,O,O,X,O,X
TOJISLZ,O,O,X,O,X,O,O,X
TOJISZL,O,O,X,O,X,O,X,X
TOJIZLS,O,O,O,O,X,X,O,X
TOJIZSL,O,O,X,O,X,O,O,X
TOJLISZ,X,X,O,O,O,O,O,X
TOJLIZS,X,X,O,O,O,X,O,X
TOJLSIZ,O,X,O,O,O,O,X,X
TOJLSZI,O,X,O,O,O,O,X,X
TOJLZIS,O,X,O,O,O,X,O,X
TOJLZSI,O,X,O,O,O,X,O,X
TOJSILZ,O,O,X,O,O,O,O,X
TOJSIZL,O,O,X,O,O,O,X,X
TOJSLIZ,O,O,X,O,O,O,X,X
TOJSLZI,O,O,X,O,O,O,X,X
TOJSZIL,O,O,X,O,X,O,O,X
TOJSZLI,O,O,X,O,X,O,O,X
TOJZILS,O,O,O,O,X,X,O,X
TOJZISL,O,O,X,O,X,O,O,X
TOJZLIS,O,O,O,O,O,X,O,X
TOJZLSI,O,O,O,O,O,X,O,X
TOJZSIL,O,O,X,O,O,O,O,X
TOJZSLI,O,O,X,O,O,O,O,X
TOSILJZ,O,X,X,O,O,O,O,X
TOSILZJ,O,O,X,X,O,X,X,X
TOSIJLZ,O,X,X,O,O,O,O,X
TOSIJZL,O,X,X,O,O,O,X,X
TOSIZLJ,O,O,X,X,O,X,X,X
TOSIZJL,O,O,X,O,O,X,X,X
TOSLIJZ,O,X,X,O,O,O,X,X
TOSLIZJ,O,O,X,X,O,X,X,X
TOSLJIZ,O,O,X,O,O,O,X,X
TOSLJZI,O,O,X,O,O,O,X,X
TOSLZIJ,O,O,X,X,O,X,X,X
TOSLZJI,O,O,X,X,O,O,X,X
TOSJILZ,O,O,X,O,O,O,O,X
TOSJIZL,O,O,X,O,O,O,X,X
TOSJLIZ,O,O,X,O,O,O,X,X
TOSJLZI,O,O,X,O,O,O,X,X
TOSJZIL,O,O,X,O,X,O,O,X
TOSJZLI,O,O,X,O,X,O,O,X
TOSZILJ,O,O,X,X,O,X,O,X
TOSZIJL,O,O,X,O,O,X,O,X
TOSZLIJ,O,O,X,X,O,X,O,X
TOSZLJI,O,O,X,X,O,O,O,X
TOSZJIL,O,O,X,O,O,O,O,X
TOSZJLI,O,O,X,O,O,O,O,X
TOZILJS,O,O,X,X,O,X,O,X
TOZILSJ,X,O,X,X,O,X,O,X
TOZIJLS,O,O,X,O,X,X,O,X
TOZIJSL,O,O,X,O,X,O,O,X
TOZISLJ,O,O,X,X,O,X,O,X
TOZISJL,O,O,X,X,O,X,O,X
TOZLIJS,O,O,O,X,O,X,O,X
TOZLISJ,X,O,X,X,O,X,O,X
TOZLJIS,O,O,O,X,O,X,O,X
TOZLJSI,O,O,O,X,O,X,O,X
TOZLSIJ,O,O,X,X,O,X,O,X
TOZLSJI,O,O,O,X,O,X,O,X
TOZJILS,O,O,O,O,X,X,O,X
TOZJISL,O,O,X,O,X,O,O,X
TOZJLIS,O,O,O,O,O,X,O,X
TOZJLSI,O,O,O,O,O,X,O,X
TOZJSIL,O,O,X,O,O,O,O,X
TOZJSLI,O,O,X,O,O,O,O,X
TOZSILJ,O,O,X,X,O,X,O,X
TOZSIJL,O,O,X,X,O,X,O,X
TOZSLIJ,O,O,X,X,O,X,O,X
TOZSLJI,O,O,X,X,O,O,O,X
TOZSJIL,O,O,X,X,O,O,O,X
TOZSJLI,O,O,X,X,O,O,O,X
ITLJSZO,X,O,O,X,O,O,X,X
ITLJSOZ,X,O,O,X,O,O,O,X
ITLJZSO,X,O,O,X,O,X,X,X
ITLJZOS,X,O,O,X,O,X,O,X
ITLJOSZ,X,X,O,X,O,O,O,X
ITLJOZS,X,X,O,X,O,X,O,X
ITLSJZO,X,O,O,X,O,X,X,X
ITLSJOZ,X,X,O,X,O,X,O,X
ITLSZJO,X,O,X,X,O,X,X,X
ITLSZOJ,X,O,X,X,X,X,X,X
ITLSOJZ,X,X,O,X,O,X,O,X
ITLSOZJ,X,O,X,X,O,X,X,X
ITLZJSO,X,O,O,X,O,X,X,X
ITLZJOS,X,O,O,X,O,X,O,X
ITLZSJO,X,O,X,X,O,X,X,X
ITLZSOJ,X,O,X,X,O,X,X,X
ITLZOJS,X,O,O,X,O,X,O,X
ITLZOSJ,X,O,X,X,O,X,X,X
ITLOJSZ,X,X,O,X,O,O,O,X
ITLOJZS,X,X,O,X,O,X,O,X
ITLOSJZ,X,X,O,X,O,X,O,X
ITLOSZJ,X,X,X,X,O,X,X,X
ITLOZJS,X,X,O,X,O,X,O,X
ITLOZSJ,X,X,X,X,O,X,X,X
ITJLSZO,X,O,O,O,O,O,X,X
ITJLSOZ,X,O,O,O,O,O,O,X
ITJLZSO,X,O,O,O,O,X,X,X
ITJLZOS,X,O,O,O,O,X,O,X
ITJLOSZ,X,X,O,O,O,O,O,X
ITJLOZS,X,X,O,O,O,X,O,X
ITJSLZO,O,O,O,O,O,O,X,X
ITJSLOZ,O,O,O,O,O,O,O,X
ITJSZLO,O,O,O,O,O,O,X,X
ITJSZOL,O,O,X,O,O,O,X,X
ITJSOLZ,O,O,X,O,O,O,O,X
ITJSOZL,O,O,X,O,O,O,X,X
ITJZLSO,X,O,O,O,O,X,O,X
ITJZLOS,O,O,O,O,O,X,O,X
ITJZSLO,O,O,O,O,O,O,O,X
ITJZSOL,O,O,X,O,O,O,O,X
ITJZOLS,O,O,O,O,X,X,O,X
ITJZOSL,O,O,X,O,X,O,O,X
ITJOLSZ,X,X,O,O,X,O,O,X
ITJOLZS,X,X,O,O,X,X,O,X
ITJOSLZ,O,O,X,O,X,O,O,X
ITJOSZL,O,O,X,O,X,O,X,X
ITJOZLS,O,O,O,O,X,X,O,X
ITJOZSL,O,O,X,O,X,O,O,X
ITSLJZO,O,O,O,X,O,O,X,X
ITSLJOZ,O,O,O,X,O,O,O,X
ITSLZJO,O,O,X,X,O,X,X,X
ITSLZOJ,O,O,X,X,X,X,X,X
ITSLOJZ,O,X,O,X,O,O,O,X
ITSLOZJ,O,O,X,X,O,X,X,X
ITSJLZO,O,O,O,O,O,O,X,X
ITSJLOZ,O,O,O,O,O,O,O,X
ITSJZLO,O,O,O,O,O,O,X,X
ITSJZOL,O,O,X,O,O,O,X,X
ITSJOLZ,O,O,X,O,O,O,O,X
ITSJOZL,O,O,X,O,O,O,X,X
ITSZLJO,O,O,X,X,O,X,X,X
ITSZLOJ,O,O,X,X,X,X,X,X
ITSZJLO,O,O,X,X,O,X,X,X
ITSZJOL,O,O,X,X,O,X,X,X
ITSZOLJ,O,O,X,X,O,X,X,X
ITSZOJL,O,O,X,X,X,X,X,X
ITSOLJZ,O,X,X,O,O,O,O,X
ITSOLZJ,O,O,X,X,O,X,X,X
ITSOJLZ,O,X,X,O,O,O,O,X
ITSOJZL,O,X,X,O,O,O,X,X
ITSOZLJ,O,O,X,X,O,X,X,X
ITSOZJL,O,O,X,O,X,X,X,X
ITZLJSO,X,O,O,X,O,X,O,X
ITZLJOS,O,O,O,X,O,X,O,X
ITZLSJO,X,O,X,X,O,X,O,X
ITZLSOJ,X,O,X,X,O,X,O,X
ITZLOJS,O,O,O,X,O,X,O,X
ITZLOSJ,X,O,X,X,O,X,O,X
ITZJLSO,X,O,O,X,O,X,O,X
ITZJLOS,O,O,O,X,O,X,O,X
ITZJSLO,O,O,O,X,O,O,O,X
ITZJSOL,O,O,X,X,O,O,O,X
ITZJOLS,O,O,O,X,X,X,O,X
ITZJOSL,O,O,X,X,X,O,O,X
ITZSLJO,O,O,X,X,O,X,O,X
ITZSLOJ,O,O,X,X,O,X,O,X
ITZSJLO,O,O,X,X,O,X,O,X
ITZSJOL,O,O,X,X,O,X,O,X
ITZSOLJ,O,O,X,X,O,X,O,X
ITZSOJL,O,O,X,X,O,X,O,X
ITZOLJS,O,O,X,X,O,X,O,X
ITZOLSJ,X,O,X,X,O,X,O,X
ITZOJLS,O,O,X,X,X,X,O,X
ITZOJSL,O,O,X,X,X,O,O,X
ITZOSLJ,O,O,X,X,O,X,O,X
ITZOSJL,O,O,X,X,O,X,O,X
ITOLJSZ,X,X,O,O,O,O,O,X
ITOLJZS,X,X,O,O,O,X,O,X
ITOLSJZ,X,X,O,X,O,X,O,X
ITOLSZJ,X,X,X,X,O,X,X,X
ITOLZJS,X,X,O,X,O,X,O,X
ITOLZSJ,X,X,X,X,O,X,X,X
ITOJLSZ,X,X,O,O,O,O,O,X
ITOJLZS,X,X,O,O,O,X,O,X
ITOJSLZ,O,O,X,O,X,O,O,X
ITOJSZL,O,O,X,O,X,O,X,X
ITOJZLS,O,O,O,O,X,X,O,X
ITOJZSL,O,O,X,O,X,O,O,X
ITOSLJZ,O,X,X,X,O,O,O,X
ITOSLZJ,O,O,X,X,O,X,X,X
ITOSJLZ,O,X,X,O,O,O,O,X
ITOSJZL,O,X,X,O,X,O,X,X
ITOSZLJ,O,O,X,X,O,X,X,X
ITOSZJL,O,O,X,X,X,X,X,X
ITOZLJS,O,O,X,X,O,X,O,X
ITOZLSJ,X,O,X,X,O,X,O,X
ITOZJLS,O,O,X,O,X,X,O,X
ITOZJSL,O,O,X,O,X,O,O,X
ITOZSLJ,O,O,X,X,O,X,O,X
ITOZSJL,O,O,X,X,O,X,O,X
ILTJSZO,X,O,O,O,O,O,X,X
ILTJSOZ,X,O,O,O,O,O,X,X
ILTJZSO,X,O,O,O,O,X,X,O
ILTJZOS,X,O,O,O,O,X,X,X
ILTJOSZ,X,X,O,O,O,O,X,X
ILTJOZS,X,X,O,O,O,X,X,X
ILTSJZO,X,O,O,O,O,X,X,X
ILTSJOZ,X,X,O,O,O,X,X,X
ILTSZJO,X,O,X,O,O,X,X,X
ILTSZOJ,X,O,X,O,X,X,X,X
ILTSOJZ,X,X,O,O,O,X,X,X
ILTSOZJ,X,O,X,O,O,X,X,X
ILTZJSO,X,O,O,O,O,X,X,O
ILTZJOS,X,O,O,O,O,X,X,X
ILTZSJO,X,O,X,O,O,X,X,O
ILTZSOJ,X,O,X,O,O,X,X,O
ILTZOJS,X,O,O,O,O,X,X,X
ILTZOSJ,X,O,X,O,O,X,X,X
ILTOJSZ,X,X,O,O,O,O,X,X
ILTOJZS,X,X,O,O,O,X,X,X
ILTOSJZ,X,X,O,O,O,X,X,X
ILTOSZJ,X,X,X,O,O,X,X,X
ILTOZJS,X,X,O,O,O,X,X,X
ILTOZSJ,X,X,X,O,O,X,X,X
ILJTSZO,X,X,O,O,O,X,X,X
ILJTSOZ,X,X,O,O,O,X,X,X
ILJTZSO,X,X,O,O,O,X,X,O
ILJTZOS,X,X,O,O,O,X,X,X
ILJTOSZ,X,X,O,O,O,X,X,X
ILJTOZS,X,X,O,O,O,X,X,X
ILJSTZO,X,O,O,O,O,X,X,X
ILJSTOZ,X,X,O,O,O,X,X,X
ILJSZTO,X,O,X,O,O,X,X,X
ILJSZOT,X,O,X,O,O,X,X,X
ILJSOTZ,X,X,O,O,O,X,X,X
ILJSOZT,X,O,X,O,O,X,X,X
ILJZTSO,X,X,O,O,O,X,X,O
ILJZTOS,X,X,O,O,O,X,X,X
ILJZSTO,X,O,X,O,X,X,X,O
ILJZSOT,X,O,X,O,X,X,X,O
ILJZOTS,X,X,O,O,O,X,X,X
ILJZOST,X,O,X,O,X,X,X,O
ILJOTSZ,X,X,O,O,O,X,X,X
ILJOTZS,X,X,O,O,O,X,X,X
ILJOSTZ,X,X,O,O,O,X,X,X
ILJOSZT,X,X,X,O,O,X,X,X
ILJOZTS,X,X,O,O,O,X,X,X
ILJOZST,X,X,X,O,O,X,X,X
ILSTJZO,X,X,O,O,O,X,X,X
ILSTJOZ,X,X,O,O,O,X,X,X
ILSTZJO,X,X,X,O,O,X,X,X
ILSTZOJ,X,O,X,O,O,X,X,X
ILSTOJZ,X,X,O,O,O,X,X,X
ILSTOZJ,X,X,X,O,O,X,X,X
ILSJTZO,X,X,O,O,O,X,X,X
ILSJTOZ,X,X,O,O,O,X,X,X
ILSJZTO,X,X,X,O,O,X,X,X
ILSJZOT,X,O,X,O,O,X,X,X
ILSJOTZ,X,X,O,O,O,X,X,X
ILSJOZT,X,X,X,O,O,X,X,X
ILSZTJO,X,X,X,O,O,X,X,X
ILSZTOJ,X,O,X,O,O,X,X,X
ILSZJTO,X,X,X,O,O,X,X,X
ILSZJOT,X,O,X,O,O,X,X,X
ILSZOTJ,X,O,X,O,O,X,X,X
ILSZOJT,X,O,X,O,O,X,X,X
ILSOTJZ,X,X,O,O,O,X,X,X
ILSOTZJ,X,X,X,O,O,X,X,X
ILSOJTZ,X,X,O,O,O,X,X,X
ILSOJZT,X,X,X,O,O,X,X,X
ILSOZTJ,X,O,X,O,O,X,X,X
ILSOZJT,X,O,X,O,O,X,X,X
ILZTJSO,X,O,O,O,O,X,X,O
ILZTJOS,X,O,O,O,O,X,X,X
ILZTSJO,X,O,X,O,O,X,X,O
ILZTSOJ,X,O,X,O,O,X,X,O
ILZTOJS,X,O,O,O,O,X,X,X
ILZTOSJ,X,O,X,O,O,X,X,X
ILZJTSO,X,X,O,O,O,X,X,O
ILZJTOS,X,X,O,O,O,X,X,X
ILZJSTO,X,O,X,O,X,X,X,O
ILZJSOT,X,O,X,O,X,X,X,O
ILZJOTS,X,X,O,O,O,X,X,X
ILZJOST,X,O,X,O,X,X,X,O
ILZSTJO,X,X,X,O,X,X,X,O
ILZSTOJ,X,O,X,O,X,X,X,O
ILZSJTO,X,X,X,O,X,X,X,O
ILZSJOT,X,O,X,O,X,X,X,O
ILZSOTJ,X,O,X,O,X,X,X,O
ILZSOJT,X,O,X,O,X,X,X,O
ILZOTJS,X,O,O,O,O,X,X,X
ILZOTSJ,X,O,X,O,O,X,X,X
ILZOJTS,X,X,O,O,O,X,X,X
ILZOJST,X,O,X,O,X,X,X,O
ILZOSTJ,X,O,X,O,X,X,X,O
ILZOSJT,X,O,X,X,X,X,X,O
ILOTJSZ,X,X,O,O,O,O,X,X
ILOTJZS,X,X,O,O,O,X,X,X
ILOTSJZ,X,X,O,O,O,X,X,X
ILOTSZJ,X,X,X,O,O,X,X,X
ILOTZJS,X,X,O,O,O,X,X,X
ILOTZSJ,X,X,X,O,O,X,X,X
ILOJTSZ,X,X,O,O,O,X,X,X
ILOJTZS,X,X,O,O,O,X,X,X
ILOJSTZ,X,X,O,O,O,X,X,X
ILOJSZT,X,X,X,O,O,X,X,X
ILOJZTS,X,X,O,O,O,X,X,X
ILOJZST,X,X,X,O,O,X,X,X
ILOSTJZ,X,X,O,O,O,X,X,X
ILOSTZJ,X,X,X,O,O,X,X,X
ILOSJTZ,X,X,O,O,O,X,X,X
ILOSJZT,X,X,X,O,O,X,X,X
ILOSZTJ,X,X,X,O,O,X,X,X
ILOSZJT,X,X,X,X,O,X,X,X
ILOZTJS,X,X,O,O,O,X,X,X
ILOZTSJ,X,X,X,O,O,X,X,X
ILOZJTS,X,X,O,O,O,X,X,X
ILOZJST,X,X,X,O,O,X,X,X
ILOZSTJ,X,X,X,O,O,X,X,X
ILOZSJT,X,X,X,X,O,X,X,X
IJTLSZO,X,O,O,O,O,O,X,X
IJTLSOZ,X,O,O,O,O,O,O,X
IJTLZSO,X,O,O,O,O,X,X,X
IJTLZOS,X,O,O,O,O,X,O,X
IJTLOSZ,X,X,O,O,O,O,O,X
IJTLOZS,X,X,O,O,O,X,O,X
IJTSLZO,O,O,O,O,O,O,X,X
IJTSLOZ,O,O,O,O,O,O,O,X
IJTSZLO,O,O,O,O,O,O,X,X
IJTSZOL,O,O,X,O,O,O,X,X
IJTSOLZ,O,O,X,O,O,O,O,X
IJTSOZL,O,O,X,O,O,O,X,X
IJTZLSO,X,O,O,O,O,X,O,X
IJTZLOS,O,O,O,O,O,X,O,X
IJTZSLO,O,O,O,O,O,O,O,X
IJTZSOL,O,O,X,O,O,O,O,X
IJTZOLS,O,O,O,O,X,X,O,X
IJTZOSL,O,O,X,O,X,O,O,X
IJTOLSZ,X,X,O,O,X,O,O,X
IJTOLZS,X,X,O,O,X,X,O,X
IJTOSLZ,O,O,X,O,X,O,O,X
IJTOSZL,O,O,X,O,X,O,X,X
IJTOZLS,O,O,O,O,X,X,O,X
IJTOZSL,O,O,X,O,X,O,O,X
IJLTSZO,X,X,O,O,O,X,X,X
IJLTSOZ,X,X,O,O,O,X,X,X
IJLTZSO,X,X,O,O,O,X,X,O
IJLTZOS,X,X,O,O,O,X,X,X
IJLTOSZ,X,X,O,O,O,X,X,X
IJLTOZS,X,X,O,O,O,X,X,X
IJLSTZO,X,O,O,O,O,X,X,X
IJLSTOZ,X,X,O,O,O,X,X,X
IJLSZTO,X,O,X,O,O,X,X,X
IJLSZOT,X,O,X,O,O,X,X,X
IJLSOTZ,X,X,O,O,O,X,X,X
IJLSOZT,X,O,X,O,O,X,X,X
IJLZTSO,X,X,O,O,O,X,X,O
IJLZTOS,X,X,O,O,O,X,X,X
IJLZSTO,X,O,X,O,X,X,X,O
IJLZSOT,X,O,X,O,X,X,X,O
IJLZOTS,X,X,O,O,O,X,X,X
IJLZOST,X,O,X,O,X,X,X,O
IJLOTSZ,X,X,O,O,O,X,X,X
IJLOTZS,X,X,O,O,O,X,X,X
IJLOSTZ,X,X,O,O,O,X,X,X
IJLOSZT,X,X,X,O,O,X,X,X
IJLOZTS,X,X,O,O,O,X,X,X
IJLOZST,X,X,X,O,O,X,X,X
IJSTLZO,O,O,X,O,O,X,X,X
IJSTLOZ,O,X,X,O,O,X,X,X
IJSTZLO,O,O,X,O,O,X,X,X
IJSTZOL,O,O,X,O,O,X,X,X
IJSTOLZ,O,X,X,O,O,X,X,X
IJSTOZL,O,X,X,O,O,X,X,X
IJSLTZO,O,O,O,O,O,X,X,X
IJSLTOZ,O,X,O,O,O,X,X,X
IJSLZTO,O,O,X,O,O,X,X,X
IJSLZOT,O,O,X,O,O,X,X,X
IJSLOTZ,X,X,O,O,O,O,X,X
IJSLOZT,O,O,X,O,O,X,X,X
IJSZTLO,O,O,X,O,O,X,X,X
IJSZTOL,O,O,X,O,O,X,X,X
IJSZLTO,O,O,X,O,O,X,X,X
IJSZLOT,O,O,X,O,O,X,X,X
IJSZOTL,O,O,X,O,O,X,X,X
IJSZOLT,X,O,X,O,X,X,X,X
IJSOTLZ,X,X,X,O,O,X,X,X
IJSOTZL,X,X,X,O,O,X,X,X
IJSOLTZ,X,X,X,O,X,O,X,X
IJSOLZT,X,O,X,O,X,X,X,X
IJSOZTL,O,O,X,O,O,X,X,X
IJSOZLT,X,O,X,O,X,X,X,X
IJZTLSO,X,O,X,O,O,X,O,O
IJZTLOS,O,O,X,O,O,X,O,X
IJZTSLO,O,O,X,O,O,X,O,O
IJZTSOL,O,O,X,O,O,X,O,X
IJZTOLS,O,O,X,O,X,X,O,X
IJZTOSL,O,O,X,O,X,X,O,X
IJZLTSO,X,X,O,O,O,X,O,O
IJZLTOS,O,X,O,O,O,X,O,X
IJZLSTO,X,O,X,O,X,X,O,O
IJZLSOT,X,O,X,O,X,X,X,O
IJZLOTS,X,X,O,O,O,X,O,X
IJZLOST,X,O,X,O,X,X,X,O
IJZSTLO,O,O,X,O,X,X,O,O
IJZSTOL,O,O,X,O,X,X,O,X
IJZSLTO,O,O,X,O,X,X,O,O
IJZSLOT,O,O,X,O,X,X,X,O
IJZSOTL,O,O,X,O,X,X,X,X
IJZSOLT,X,O,X,O,X,X,X,O
IJZOTLS,O,O,X,O,X,X,O,X
IJZOTSL,O,O,X,O,X,X,O,X
IJZOLTS,X,X,X,O,X,X,O,X
IJZOLST,X,O,X,O,X,X,X,O
IJZOSTL,X,O,X,O,X,X,X,X
IJZOSLT,X,O,X,O,X,X,X,O
IJOTLSZ,X,X,X,O,X,O,X,X
IJOTLZS,X,X,X,O,X,X,X,X
IJOTSLZ,X,X,X,O,X,O,X,X
IJOTSZL,X,X,X,O,X,O,X,X
IJOTZLS,X,X,X,O,X,X,X,X
IJOTZSL,X,X,X,O,X,O,X,X
IJOLTSZ,X,X,O,O,X,X,X,X
IJOLTZS,X,X,O,O,X,X,X,X
IJOLSTZ,X,X,O,O,X,X,X,X
IJOLSZT,X,X,X,O,X,X,X,X
IJOLZTS,X,X,O,O,X,X,X,X
IJOLZST,X,X,X,O,X,X,X,X
IJOSTLZ,X,X,X,O,X,X,X,X
IJOSTZL,X,X,X,O,X,X,X,X
IJOSLTZ,X,X,X,O,X,O,X,X
IJOSLZT,X,O,X,O,X,X,X,X
IJOSZTL,X,O,X,O,X,X,X,X
IJOSZLT,X,O,X,O,X,X,X,X
IJOZTLS,X,X,X,O,X,X,X,X
IJOZTSL,X,O,X,O,X,X,X,X
IJOZLTS,X,X,X,O,X,X,X,X
IJOZLST,X,O,X,O,X,X,X,X
IJOZSTL,X,O,X,O,X,X,X,X
IJOZSLT,X,O,X,O,X,X,X,X
ISTLJZO,O,O,O,X,O,O,X,X
ISTLJOZ,O,O,O,X,O,O,X,X
ISTLZJO,O,O,X,X,O,X,X,X
ISTLZOJ,O,O,X,X,O,X,X,X
ISTLOJZ,O,X,O,X,O,O,X,X
ISTLOZJ,O,O,X,X,O,X,X,X
ISTJLZO,O,O,O,O,O,O,X,X
ISTJLOZ,O,O,O,O,O,O,X,X
ISTJZLO,O,O,O,O,O,O,X,X
ISTJZOL,O,O,X,O,O,O,X,X
ISTJOLZ,O,O,X,O,O,O,X,X
ISTJOZL,O,O,X,O,O,O,X,X
ISTZLJO,O,O,X,X,O,X,X,X
ISTZLOJ,O,O,X,X,O,X,X,X
ISTZJLO,O,O,X,X,O,X,X,X
ISTZJOL,O,O,X,X,O,X,X,X
ISTZOLJ,O,O,X,X,O,X,X,X
ISTZOJL,O,O,X,X,O,X,X,X
ISTOLJZ,O,X,X,O,O,O,X,X
ISTOLZJ,O,O,X,X,O,X,X,X
ISTOJLZ,O,X,X,O,O,O,X,X
ISTOJZL,O,X,X,O,O,O,X,X
ISTOZLJ,O,O,X,X,O,X,X,X
ISTOZJL,O,O,X,O,O,X,X,X
ISLTJZO,O,O,O,O,O,O,X,X
ISLTJOZ,O,O,O,O,O,O,X,X
ISLTZJO,O,O,X,O,O,X,X,X
ISLTZOJ,O,O,X,O,O,X,X,X
