sequence,v115@IhB8FeD8EeD8FeB8Jei/IvhFfmB0hBxiBusB1vBzrB,v115@IhB8FeD8EeD8FeB8Jei/IvhFFhBxiB+qB3nBTrBUsB,v115@IhB8FeD8EeD8FeB8Jei/IvhFUhBFiBXjBWrBTsBxvB,v115@IhB8FeD8EeD8FeB8Jei/IvhFRhBFjBzmB+sBUrB3qB,v115@IhB8FeD8EeD8FeB8Jei/IvhFWmBxiBlnB3qBUsBTrB,v115@IhB8FeD8EeD8FeB8Jei/IvhFzgBxiBlnB3qBUsB+rB,v115@IhB8FeD8EeD8FeB8Jei/IvhFUhBFjB+qBTnB3mBxwB,v115@IhB8FeD8EeD8FeB8Jei/IvhFxhBXjBlmBUrBTsB+qB,v115@IhB8FeD8EeD8FeB8Jei/IvhFzhBFjB+sBRrBUrB3qB
TZLIJSO,O,X,X,X,O,O,X,X,X
TZLIJOS,O,X,X,O,X,X,O,X,X
TZLISJO,O,X,X,X,O,O,X,X,X
TZLISOJ,O,X,X,X,O,O,X,X,X
TZLIOJS,X,X,X,X,X,X,O,X,X
TZLIOSJ,O,X,X,X,O,O,X,X,X
TZLJISO,O,X,X,X,O,O,X,X,O
TZLJIOS,O,X,X,O,X,X,O,X,O
TZLJSIO,O,X,X,X,O,O,X,X,X
TZLJSOI,O,X,X,O,O,O,X,X,X
TZLJOIS,O,X,X,O,X,X,X,X,X
TZLJOSI,O,X,X,O,X,X,X,X,X
TZLSIJO,O,X,X,X,O,O,X,X,X
TZLSIOJ,O,X,X,X,O,O,X,X,X
TZLSJIO,O,X,X,X,O,O,X,X,X
TZLSJOI,O,X,X,O,O,O,X,X,X
TZLSOIJ,O,X,X,X,O,O,X,X,X
TZLSOJI,O,X,X,X,O,O,X,X,X
TZLOIJS,X,X,X,O,X,X,X,O,X
TZLOISJ,O,X,X,X,O,O,X,O,X
TZLOJIS,O,X,X,O,X,X,X,O,X
TZLOJSI,O,X,X,O,X,X,X,O,X
TZLOSIJ,O,X,X,X,O,O,X,O,X
TZLOSJI,O,X,X,X,O,O,X,O,X
TZJILSO,O,X,X,X,O,O,X,X,O
TZJILOS,O,X,X,O,X,X,O,X,O
TZJISLO,O,X,X,X,O,O,X,X,O
TZJISOL,O,X,X,X,O,O,X,X,O
TZJIOLS,O,X,X,O,X,X,O,X,O
TZJIOSL,O,X,X,O,X,X,O,X,O
TZJLISO,O,X,X,X,O,O,X,X,O
TZJLIOS,O,X,X,O,X,X,O,X,O
TZJLSIO,O,X,X,X,O,O,X,X,X
TZJLSOI,O,X,X,O,O,O,X,X,X
TZJLOIS,O,X,X,O,X,X,X,X,X
TZJLOSI,O,X,X,O,X,X,X,X,X
TZJSILO,O,X,X,X,O,O,X,X,X
TZJSIOL,O,X,X,X,O,O,X,X,X
TZJSLIO,O,X,X,X,O,O,X,X,X
TZJSLOI,O,X,X,O,O,O,X,X,X
TZJSOIL,O,X,X,O,O,O,X,X,X
TZJSOLI,O,X,X,O,O,O,X,X,X
TZJOILS,O,X,X,O,X,X,X,X,X
TZJOISL,O,X,X,O,X,X,X,X,X
TZJOLIS,O,X,X,O,X,X,X,X,X
TZJOLSI,O,X,X,O,X,X,X,X,X
TZJOSIL,O,X,X,O,X,X,X,X,X
TZJOSLI,O,X,X,O,X,X,X,X,X
TZSILJO,O,X,X,X,O,O,X,X,X
TZSILOJ,O,X,X,X,O,O,X,X,X
TZSIJLO,O,X,X,X,O,O,X,X,X
TZSIJOL,O,X,X,X,O,O,X,X,X
TZSIOLJ,O,X,X,X,O,O,X,X,X
TZSIOJL,X,X,X,X,O,O,X,X,X
TZSLIJO,O,X,X,X,O,O,X,X,X
TZSLIOJ,O,X,X,X,O,O,X,X,X
TZSLJIO,O,X,X,X,O,O,X,X,X
TZSLJOI,O,X,X,O,O,O,X,X,X
TZSLOIJ,O,X,X,X,O,O,X,X,X
TZSLOJI,O,X,X,X,O,O,X,X,X
TZSJILO,O,X,X,X,O,O,X,X,X
TZSJIOL,O,X,X,X,O,O,X,X,X
TZSJLIO,O,X,X,X,O,O,X,X,X
TZSJLOI,O,X,X,O,O,O,X,X,X
TZSJOIL,O,X,X,O,O,O,X,X,X
TZSJOLI,O,X,X,O,O,O,X,X,X
TZSOILJ,O,X,X,X,O,O,X,X,X
TZSOIJL,O,X,X,X,O,O,X,X,X
TZSOLIJ,O,X,X,X,O,O,X,X,X
TZSOLJI,O,X,X,X,O,O,X,X,X
TZSOJIL,O,X,X,X,O,O,X,X,X
TZSOJLI,O,X,X,X,O,O,X,X,X
TZOILJS,X,X,X,O,X,X,X,O,X
TZOILSJ,O,X,X,X,O,O,X,O,X
TZOIJLS,X,X,X,O,X,X,X,O,X
TZOIJSL,X,X,X,O,X,X,X,O,X
TZOISLJ,O,X,X,X,O,O,X,O,X
TZOISJL,O,X,X,X,O,O,X,O,X
TZOLIJS,X,X,X,O,X,X,X,O,X
TZOLISJ,O,X,X,X,O,O,X,O,X
TZOLJIS,O,X,X,O,X,X,X,O,X
TZOLJSI,O,X,X,O,X,X,X,O,X
TZOLSIJ,O,X,X,X,O,O,X,O,X
TZOLSJI,O,X,X,X,O,O,X,O,X
TZOJILS,O,X,X,O,X,X,X,O,X
TZOJISL,O,X,X,O,X,X,X,O,X
TZOJLIS,O,X,X,O,X,X,X,O,X
TZOJLSI,O,X,X,O,X,X,X,O,X
TZOJSIL,O,X,X,O,X,X,X,O,X
TZOJSLI,O,X,X,O,X,X,X,O,X
TZOSILJ,O,X,X,X,O,O,X,O,X
TZOSIJL,O,X,X,X,O,O,X,O,X
TZOSLIJ,O,X,X,X,O,O,X,O,X
TZOSLJI,O,X,X,X,O,O,X,O,X
TZOSJIL,O,X,X,X,O,O,X,O,X
TZOSJLI,O,X,X,X,O,O,X,O,X
TOILJSZ,O,O,X,X,X,X,O,X,X
TOILJZS,O,O,X,X,X,X,O,X,X
TOILSJZ,O,X,X,X,X,X,O,X,X
TOILSZJ,O,X,X,X,X,X,X,X,X
TOILZJS,X,X,X,X,X,X,O,X,X
TOILZSJ,O,X,X,X,O,O,X,X,X
TOIJLSZ,O,O,X,X,X,X,O,X,X
TOIJLZS,O,O,X,X,X,X,O,X,X
TOIJSLZ,O,O,X,X,X,X,O,X,X
TOIJSZL,O,X,X,X,X,X,O,X,X
TOIJZLS,O,O,X,X,X,X,O,X,X
TOIJZSL,O,X,X,X,X,X,O,X,X
TOISLJZ,O,X,X,X,X,X,O,X,X
TOISLZJ,O,X,X,X,X,X,X,X,X
TOISJLZ,O,X,X,X,X,X,O,X,X
TOISJZL,O,X,X,X,X,X,O,X,X
TOISZLJ,O,X,X,X,X,X,X,X,X
TOISZJL,O,X,X,X,X,X,X,X,X
TOIZLJS,X,X,X,X,X,X,O,X,X
TOIZLSJ,O,X,X,X,O,O,X,X,X
TOIZJLS,X,X,X,X,X,X,O,X,X
TOIZJSL,X,X,X,X,X,X,O,X,X
TOIZSLJ,O,X,X,X,O,O,X,X,X
TOIZSJL,O,X,X,X,O,O,X,X,X
TOLIJSZ,O,O,X,X,X,X,O,X,X
TOLIJZS,O,O,X,X,X,X,O,X,X
TOLISJZ,O,X,X,X,X,X,O,X,X
TOLISZJ,O,X,X,X,X,X,X,X,X
TOLIZJS,X,X,X,X,X,X,O,X,X
TOLIZSJ,O,X,X,X,O,O,X,X,X
TOLJISZ,O,O,X,O,X,X,O,X,O
TOLJIZS,O,O,X,O,X,X,O,X,O
TOLJSIZ,O,O,X,O,X,X,X,X,X
TOLJSZI,O,O,X,O,X,X,X,X,X
TOLJZIS,O,O,X,O,X,X,X,X,X
TOLJZSI,O,O,X,O,X,X,X,X,X
TOLSIJZ,O,O,O,X,X,X,X,X,X
TOLSIZJ,O,X,O,X,X,X,X,X,X
TOLSJIZ,O,O,X,X,X,X,X,X,X
TOLSJZI,O,O,X,X,O,X,X,X,X
TOLSZIJ,O,X,X,X,X,X,X,O,X
TOLSZJI,O,X,X,X,X,X,X,O,X
TOLZIJS,X,X,X,X,X,X,X,O,X
TOLZISJ,O,X,X,X,O,O,X,O,X
TOLZJIS,O,X,X,O,X,X,X,O,X
TOLZJSI,O,X,X,O,X,X,X,O,X
TOLZSIJ,O,X,X,X,O,O,X,O,X
TOLZSJI,O,X,X,X,O,O,X,O,X
TOJILSZ,O,O,X,O,X,X,O,X,O
TOJILZS,O,O,X,O,X,X,O,X,O
TOJISLZ,O,O,X,O,X,X,O,X,O
TOJISZL,O,O,X,X,X,X,O,X,O
TOJIZLS,O,O,X,O,X,X,O,X,O
TOJIZSL,O,X,X,O,X,X,O,X,O
TOJLISZ,O,O,X,O,X,X,O,X,O
TOJLIZS,O,O,X,O,X,X,O,X,O
TOJLSIZ,O,O,X,O,X,X,X,X,X
TOJLSZI,O,O,X,O,X,X,X,X,X
TOJLZIS,O,O,X,O,X,X,X,X,X
TOJLZSI,O,O,X,O,X,X,X,X,X
TOJSILZ,O,O,X,O,X,X,X,X,X
TOJSIZL,O,O,X,X,X,X,X,X,X
TOJSLIZ,O,O,X,O,X,X,X,X,X
TOJSLZI,O,O,X,O,X,X,X,X,X
TOJSZIL,O,O,X,O,X,X,X,X,X
TOJSZLI,O,O,X,O,X,X,X,X,X
TOJZILS,O,O,X,O,X,X,X,X,X
TOJZISL,O,X,X,O,X,X,X,X,X
TOJZLIS,O,O,X,O,X,X,X,X,X
TOJZLSI,O,O,X,O,X,X,X,X,X
TOJZSIL,O,O,X,O,X,X,X,X,X
TOJZSLI,O,O,X,O,X,X,X,X,X
TOSILJZ,O,O,O,X,X,X,X,X,X
TOSILZJ,O,X,O,X,X,X,X,X,X
TOSIJLZ,O,O,O,X,X,X,X,X,X
TOSIJZL,O,O,O,X,X,X,X,X,X
TOSIZLJ,O,X,O,X,X,X,X,X,X
TOSIZJL,O,X,O,X,X,X,X,X,X
TOSLIJZ,O,O,O,X,X,X,X,X,X
TOSLIZJ,O,X,O,X,X,X,X,X,X
TOSLJIZ,O,O,X,X,X,X,X,X,X
TOSLJZI,O,O,X,X,O,X,X,X,X
TOSLZIJ,O,X,X,X,X,X,X,O,X
TOSLZJI,O,X,X,X,X,X,X,O,X
TOSJILZ,O,O,X,X,X,X,X,X,X
TOSJIZL,O,O,X,X,X,X,X,X,X
TOSJLIZ,O,O,X,X,X,X,X,X,X
TOSJLZI,O,O,X,X,O,X,X,X,X
TOSJZIL,O,O,X,X,X,X,X,X,X
TOSJZLI,O,O,X,X,X,X,X,X,X
TOSZILJ,O,X,X,X,X,X,X,O,X
TOSZIJL,O,X,X,X,X,X,X,O,X
TOSZLIJ,O,X,X,X,X,X,X,O,X
TOSZLJI,O,X,X,X,X,X,X,O,X
TOSZJIL,O,X,X,X,X,X,X,O,X
TOSZJLI,O,X,X,X,X,X,X,O,X
TOZILJS,X,X,X,X,X,X,X,O,X
TOZILSJ,O,X,X,X,O,O,X,O,X
TOZIJLS,X,X,X,X,X,X,X,O,X
TOZIJSL,X,X,X,X,X,X,X,O,X
TOZISLJ,O,X,X,X,O,O,X,O,X
TOZISJL,O,X,X,X,O,O,X,O,X
TOZLIJS,X,X,X,X,X,X,X,O,X
TOZLISJ,O,X,X,X,O,O,X,O,X
TOZLJIS,O,X,X,O,X,X,X,O,X
TOZLJSI,O,X,X,O,X,X,X,O,X
TOZLSIJ,O,X,X,X,O,O,X,O,X
TOZLSJI,O,X,X,X,O,O,X,O,X
TOZJILS,O,X,X,O,X,X,X,O,X
TOZJISL,O,X,X,O,X,X,X,O,X
TOZJLIS,O,X,X,O,X,X,X,O,X
TOZJLSI,O,X,X,O,X,X,X,O,X
TOZJSIL,O,X,X,O,X,X,X,O,X
TOZJSLI,O,X,X,O,X,X,X,O,X
TOZSILJ,O,X,X,X,O,O,X,O,X
TOZSIJL,O,X,X,X,O,O,X,O,X
TOZSLIJ,O,X,X,X,O,O,X,O,X
TOZSLJI,O,X,X,X,O,O,X,O,X
TOZSJIL,O,X,X,X,O,O,X,O,X
TOZSJLI,O,X,X,X,O,O,X,O,X
ITLJSZO,O,X,O,X,X,X,X,X,O
ITLJSOZ,O,O,O,X,X,X,O,X,O
ITLJZSO,O,X,O,X,O,O,X,X,O
ITLJZOS,O,O,O,O,X,X,O,X,O
ITLJOSZ,O,O,O,O,X,X,O,X,O
ITLJOZS,O,O,O,O,X,X,O,X,O
ITLSJZO,O,X,O,X,O,X,X,X,X
ITLSJOZ,O,O,O,X,X,X,O,X,X
ITLSZJO,O,X,O,X,O,O,X,X,X
ITLSZOJ,O,X,X,X,O,O,X,X,X
ITLSOJZ,O,O,O,X,X,X,O,X,X
ITLSOZJ,O,X,X,X,X,X,X,X,X
ITLZJSO,O,X,X,X,O,O,X,X,X
ITLZJOS,O,X,X,O,X,X,O,X,X
ITLZSJO,O,X,X,X,O,O,X,X,X
ITLZSOJ,O,X,X,X,O,O,X,X,X
ITLZOJS,X,X,X,X,X,X,O,X,X
ITLZOSJ,O,X,X,X,O,O,X,X,X
ITLOJSZ,O,O,O,X,X,X,O,X,X
ITLOJZS,O,O,O,X,X,X,O,X,X
ITLOSJZ,O,X,O,X,X,X,O,X,X
ITLOSZJ,O,X,O,X,X,X,X,X,X
ITLOZJS,X,X,O,X,X,X,O,X,X
ITLOZSJ,O,X,O,X,O,O,X,X,X
ITJLSZO,O,X,O,X,X,X,X,X,O
ITJLSOZ,O,O,O,X,X,X,O,X,O
ITJLZSO,O,X,O,X,O,O,X,X,O
ITJLZOS,O,O,O,O,X,X,O,X,O
ITJLOSZ,O,O,O,O,X,X,O,X,O
ITJLOZS,O,O,O,O,X,X,O,X,O
ITJSLZO,O,X,O,X,X,X,X,X,O
ITJSLOZ,O,O,O,X,X,X,O,X,O
ITJSZLO,O,X,O,X,X,X,X,X,O
ITJSZOL,O,X,O,X,X,X,X,X,O
ITJSOLZ,O,O,O,X,X,X,O,X,O
ITJSOZL,O,O,O,X,X,X,O,X,O
ITJZLSO,O,X,O,X,O,O,X,X,O
ITJZLOS,O,O,O,O,X,X,O,X,O
ITJZSLO,O,X,O,X,O,O,X,X,O
ITJZSOL,O,X,O,X,O,O,X,X,O
ITJZOLS,O,X,O,O,X,X,O,X,O
ITJZOSL,O,X,O,O,X,X,O,X,O
ITJOLSZ,O,O,O,O,X,X,O,X,O
ITJOLZS,O,O,O,O,X,X,O,X,O
ITJOSLZ,O,O,O,O,X,X,O,X,O
ITJOSZL,O,X,O,X,X,X,O,X,O
ITJOZLS,O,O,O,O,X,X,O,X,O
ITJOZSL,O,X,O,O,X,X,O,X,O
ITSLJZO,O,X,O,X,O,X,X,X,X
ITSLJOZ,O,O,O,X,X,X,O,X,X
ITSLZJO,O,X,O,X,O,O,X,X,X
ITSLZOJ,O,X,X,X,O,O,X,X,X
ITSLOJZ,O,O,O,X,X,X,O,X,X
ITSLOZJ,O,X,X,X,X,X,X,X,X
ITSJLZO,O,X,O,X,O,X,X,X,X
ITSJLOZ,O,O,O,X,X,X,O,X,X
ITSJZLO,O,X,O,X,X,X,X,X,X
ITSJZOL,O,X,O,X,X,X,X,X,X
ITSJOLZ,O,O,O,X,X,X,O,X,X
ITSJOZL,O,O,O,X,X,X,O,X,X
ITSZLJO,O,X,O,X,O,O,X,X,X
ITSZLOJ,O,X,X,X,O,O,X,X,X
ITSZJLO,O,X,O,X,O,O,X,X,X
ITSZJOL,O,X,O,X,O,O,X,X,X
ITSZOLJ,O,X,X,X,O,O,X,X,X
ITSZOJL,X,X,X,X,O,O,X,X,X
ITSOLJZ,O,O,O,X,X,X,O,X,X
ITSOLZJ,O,X,X,X,X,X,X,X,X
ITSOJLZ,O,O,O,X,X,X,O,X,X
ITSOJZL,O,O,O,X,X,X,O,X,X
ITSOZLJ,O,X,X,X,X,X,X,X,X
ITSOZJL,O,X,X,X,X,X,X,X,X
ITZLJSO,O,X,X,X,O,O,X,X,X
ITZLJOS,O,X,X,O,X,X,O,X,X
ITZLSJO,O,X,X,X,O,O,X,X,X
ITZLSOJ,O,X,X,X,O,O,X,X,X
ITZLOJS,X,X,X,X,X,X,O,X,X
ITZLOSJ,O,X,X,X,O,O,X,X,X
ITZJLSO,O,X,X,X,O,O,X,X,X
ITZJLOS,O,X,X,O,X,X,O,X,X
ITZJSLO,O,X,X,X,O,O,X,X,X
ITZJSOL,O,X,X,X,O,O,X,X,X
ITZJOLS,O,X,X,O,X,X,O,X,X
ITZJOSL,O,X,X,O,X,X,O,X,X
ITZSLJO,O,X,X,X,O,O,X,X,X
ITZSLOJ,O,X,X,X,O,O,X,X,X
ITZSJLO,O,X,X,X,O,O,X,X,X
ITZSJOL,O,X,X,X,O,O,X,X,X
ITZSOLJ,O,X,X,X,O,O,X,X,X
ITZSOJL,X,X,X,X,O,O,X,X,X
ITZOLJS,X,X,X,X,X,X,O,X,X
ITZOLSJ,O,X,X,X,O,O,X,X,X
ITZOJLS,X,X,X,X,X,X,O,X,X
ITZOJSL,X,X,X,X,X,X,O,X,X
ITZOSLJ,O,X,X,X,O,O,X,X,X
ITZOSJL,O,X,X,X,O,O,X,X,X
ITOLJSZ,O,O,O,X,X,X,O,X,X
ITOLJZS,O,O,O,X,X,X,O,X,X
ITOLSJZ,O,X,O,X,X,X,O,X,X
ITOLSZJ,O,X,O,X,X,X,X,X,X
ITOLZJS,X,X,O,X,X,X,O,X,X
ITOLZSJ,O,X,O,X,O,O,X,X,X
ITOJLSZ,O,O,O,X,X,X,O,X,X
ITOJLZS,O,O,O,X,X,X,O,X,X
ITOJSLZ,O,O,O,X,X,X,O,X,X
ITOJSZL,O,X,O,X,X,X,O,X,X
ITOJZLS,O,O,O,X,X,X,O,X,X
ITOJZSL,O,X,O,X,X,X,O,X,X
ITOSLJZ,O,X,O,X,X,X,O,X,X
ITOSLZJ,O,X,O,X,X,X,X,X,X
ITOSJLZ,O,X,O,X,X,X,O,X,X
ITOSJZL,O,X,O,X,X,X,O,X,X
ITOSZLJ,O,X,O,X,X,X,X,X,X
ITOSZJL,O,X,O,X,X,X,X,X,X
ITOZLJS,X,X,O,X,X,X,O,X,X
ITOZLSJ,O,X,O,X,O,O,X,X,X
ITOZJLS,X,X,O,X,X,X,O,X,X
ITOZJSL,X,X,O,X,X,X,O,X,X
ITOZSLJ,O,X,O,X,O,O,X,X,X
ITOZSJL,O,X,O,X,O,O,X,X,X
ILTJSZO,O,X,O,X,X,X,X,X,O
ILTJSOZ,O,O,O,X,X,X,O,X,O
ILTJZSO,O,X,O,X,O,O,X,X,O
ILTJZOS,O,O,O,O,X,X,O,X,O
ILTJOSZ,O,O,O,O,X,X,O,X,O
ILTJOZS,O,O,O,O,X,X,O,X,O
ILTSJZO,O,X,O,X,O,X,X,X,X
ILTSJOZ,O,O,O,X,X,X,O,X,X
ILTSZJO,O,X,O,X,O,O,X,X,X
ILTSZOJ,O,X,X,X,O,O,X,X,X
ILTSOJZ,O,O,O,X,X,X,O,X,X
ILTSOZJ,O,X,X,X,X,X,X,X,X
ILTZJSO,O,X,X,X,O,O,X,X,X
ILTZJOS,O,X,X,O,X,X,O,X,X
ILTZSJO,O,X,X,X,O,O,X,X,X
ILTZSOJ,O,X,X,X,O,O,X,X,X
ILTZOJS,X,X,X,X,X,X,O,X,X
ILTZOSJ,O,X,X,X,O,O,X,X,X
ILTOJSZ,O,O,O,X,X,X,O,X,X
ILTOJZS,O,O,O,X,X,X,O,X,X
ILTOSJZ,O,X,O,X,X,X,O,X,X
ILTOSZJ,O,X,O,X,X,X,X,X,X
ILTOZJS,X,X,O,X,X,X,O,X,X
ILTOZSJ,O,X,O,X,O,O,X,X,X
ILJTSZO,O,X,O,X,X,X,X,X,O
ILJTSOZ,O,O,O,X,X,X,O,X,O
ILJTZSO,O,X,O,X,O,O,X,X,O
ILJTZOS,O,O,O,O,X,X,O,X,O
ILJTOSZ,O,O,O,O,X,X,O,X,O
ILJTOZS,O,O,O,O,X,X,O,X,O
ILJSTZO,O,X,O,X,X,X,X,X,O
ILJSTOZ,O,O,O,X,X,X,O,X,O
ILJSZTO,X,X,O,X,X,X,X,X,O
ILJSZOT,X,O,O,X,X,X,O,X,O
ILJSOTZ,O,O,O,X,X,X,O,X,O
ILJSOZT,X,O,O,X,X,X,O,X,O
ILJZTSO,O,X,O,X,X,X,X,X,O
ILJZTOS,O,O,O,O,X,X,O,X,O
ILJZSTO,X,X,O,X,X,X,X,X,O
ILJZSOT,X,O,O,X,X,X,O,X,O
ILJZOTS,O,O,O,O,X,X,O,X,O
ILJZOST,X,X,O,O,X,X,O,X,O
ILJOTSZ,O,O,O,O,X,X,O,X,O
ILJOTZS,O,O,O,O,X,X,O,X,O
ILJOSTZ,O,O,O,O,X,X,O,X,O
ILJOSZT,X,O,O,X,X,X,O,X,O
ILJOZTS,O,O,O,O,X,X,O,X,O
ILJOZST,X,X,O,O,X,X,O,X,O
ILSTJZO,O,X,O,X,O,X,X,X,X
ILSTJOZ,O,O,O,X,X,X,O,X,X
ILSTZJO,O,X,O,X,O,O,X,X,X
ILSTZOJ,O,X,X,X,O,O,X,X,X
ILSTOJZ,O,O,O,X,X,X,O,X,X
ILSTOZJ,O,X,X,X,X,X,X,X,X
ILSJTZO,O,X,O,X,O,X,X,X,X
ILSJTOZ,O,O,O,X,X,X,O,X,X
ILSJZTO,X,X,O,X,O,X,X,X,X
ILSJZOT,X,O,O,X,X,X,O,X,X
ILSJOTZ,O,O,O,X,X,X,O,X,X
ILSJOZT,X,O,O,X,X,X,O,X,X
ILSZTJO,X,X,O,X,O,O,X,X,X
ILSZTOJ,X,X,X,X,O,O,X,X,X
ILSZJTO,X,X,O,X,O,X,X,X,X
ILSZJOT,X,O,O,X,X,X,X,X,X
ILSZOTJ,X,X,X,X,X,O,X,X,X
ILSZOJT,X,O,X,X,X,X,X,X,X
ILSOTJZ,O,O,O,X,X,X,O,X,X
ILSOTZJ,O,X,O,X,X,X,X,X,X
ILSOJTZ,X,O,O,X,X,X,O,X,X
ILSOJZT,X,O,O,X,X,X,O,X,X
ILSOZTJ,X,X,O,X,X,O,X,O,X
ILSOZJT,X,O,O,X,X,X,X,X,X
ILZTJSO,O,X,X,X,O,O,X,X,X
ILZTJOS,O,X,X,O,X,X,O,X,X
ILZTSJO,O,X,X,X,O,O,X,X,X
ILZTSOJ,O,X,X,X,O,O,X,X,X
ILZTOJS,X,X,X,X,X,X,O,X,X
ILZTOSJ,O,X,X,X,O,O,X,X,X
ILZJTSO,O,X,O,X,X,X,X,X,X
ILZJTOS,O,O,O,O,X,X,O,X,X
ILZJSTO,X,X,O,X,X,X,X,X,X
ILZJSOT,X,O,O,X,X,X,O,X,X
ILZJOTS,O,O,O,O,X,X,O,X,X
ILZJOST,X,X,O,O,X,X,O,X,X
ILZSTJO,X,X,O,X,O,O,X,X,X
ILZSTOJ,X,X,X,X,O,O,X,X,X
ILZSJTO,X,X,O,X,O,X,X,X,X
ILZSJOT,X,O,O,X,X,X,X,X,X
ILZSOTJ,X,X,X,X,X,O,X,X,X
ILZSOJT,X,O,X,X,X,X,X,X,X
ILZOTJS,X,X,O,O,X,X,O,O,X
ILZOTSJ,O,X,O,X,X,X,X,O,X
ILZOJTS,X,O,O,O,X,X,O,X,X
ILZOJST,X,X,O,O,X,X,O,X,X
ILZOSTJ,X,X,O,X,X,X,X,O,X
ILZOSJT,X,X,O,O,X,X,X,X,X
ILOTJSZ,O,O,O,X,X,X,O,X,X
ILOTJZS,O,O,O,X,X,X,O,X,X
ILOTSJZ,O,X,O,X,X,X,O,X,X
ILOTSZJ,O,X,O,X,X,X,X,X,X
ILOTZJS,X,X,O,X,X,X,O,X,X
ILOTZSJ,O,X,O,X,O,O,X,X,X
ILOJTSZ,O,O,O,X,X,X,O,X,X
ILOJTZS,O,O,O,X,X,X,O,X,X
ILOJSTZ,O,O,O,X,X,X,O,X,X
ILOJSZT,X,O,O,X,X,X,O,X,X
ILOJZTS,O,O,O,X,X,X,O,X,X
ILOJZST,X,X,O,X,X,X,O,X,X
ILOSTJZ,O,O,O,X,X,X,O,X,X
ILOSTZJ,O,X,O,X,X,X,X,X,X
ILOSJTZ,X,O,O,X,X,X,O,X,X
ILOSJZT,X,O,O,X,X,X,O,X,X
ILOSZTJ,X,X,O,X,X,X,X,O,X
ILOSZJT,X,O,O,X,X,X,X,X,X
ILOZTJS,X,X,O,X,X,X,O,O,X
ILOZTSJ,O,X,O,X,X,X,X,O,X
ILOZJTS,X,O,O,X,X,X,O,X,X
ILOZJST,X,X,O,X,X,X,O,X,X
ILOZSTJ,X,X,O,X,X,X,X,O,X
ILOZSJT,X,X,O,X,X,X,X,X,X
IJTLSZO,O,X,O,X,X,X,X,X,O
IJTLSOZ,O,O,O,X,X,X,O,X,O
IJTLZSO,O,X,O,X,O,O,X,X,O
IJTLZOS,O,O,O,O,X,X,O,X,O
IJTLOSZ,O,O,O,O,X,X,O,X,O
IJTLOZS,O,O,O,O,X,X,O,X,O
IJTSLZO,O,X,O,X,X,X,X,X,O
IJTSLOZ,O,O,O,X,X,X,O,X,O
IJTSZLO,O,X,O,X,X,X,X,X,O
IJTSZOL,O,X,O,X,X,X,X,X,O
IJTSOLZ,O,O,O,X,X,X,O,X,O
IJTSOZL,O,O,O,X,X,X,O,X,O
IJTZLSO,O,X,O,X,O,O,X,X,O
IJTZLOS,O,O,O,O,X,X,O,X,O
IJTZSLO,O,X,O,X,O,O,X,X,O
IJTZSOL,O,X,O,X,O,O,X,X,O
IJTZOLS,O,X,O,O,X,X,O,X,O
IJTZOSL,O,X,O,O,X,X,O,X,O
IJTOLSZ,O,O,O,O,X,X,O,X,O
IJTOLZS,O,O,O,O,X,X,O,X,O
IJTOSLZ,O,O,O,O,X,X,O,X,O
IJTOSZL,O,O,O,X,X,X,O,X,O
IJTOZLS,O,O,O,O,X,X,O,X,O
IJTOZSL,O,X,O,O,X,X,O,X,O
IJLTSZO,O,X,O,X,X,X,X,X,O
IJLTSOZ,O,O,O,X,X,X,O,X,O
IJLTZSO,O,X,O,X,O,O,X,X,O
IJLTZOS,O,O,O,O,X,X,O,X,O
IJLTOSZ,O,O,O,O,X,X,O,X,O
IJLTOZS,O,O,O,O,X,X,O,X,O
IJLSTZO,O,X,O,X,X,X,X,X,O
IJLSTOZ,O,O,O,X,X,X,O,X,O
IJLSZTO,X,X,O,X,X,X,X,X,O
IJLSZOT,X,O,O,X,X,X,O,X,O
IJLSOTZ,O,O,O,X,X,X,O,X,O
IJLSOZT,X,O,O,X,X,X,O,X,O
IJLZTSO,O,X,O,X,X,X,X,X,O
IJLZTOS,O,O,O,O,X,X,O,X,O
IJLZSTO,X,X,O,X,X,X,X,X,O
IJLZSOT,X,O,O,X,X,X,O,X,O
IJLZOTS,O,O,O,O,X,X,O,X,O
IJLZOST,X,X,O,O,X,X,O,X,O
IJLOTSZ,O,O,O,O,X,X,O,X,O
IJLOTZS,O,O,O,O,X,X,O,X,O
IJLOSTZ,O,O,O,O,X,X,O,X,O
IJLOSZT,X,O,O,X,X,X,O,X,O
IJLOZTS,O,O,O,O,X,X,O,X,O
IJLOZST,X,X,O,O,X,X,O,X,O
IJSTLZO,O,X,O,X,X,X,X,X,O
IJSTLOZ,O,O,O,X,X,X,O,X,O
IJSTZLO,O,X,O,X,X,X,X,X,O
IJSTZOL,O,X,O,X,X,X,X,X,O
IJSTOLZ,O,O,O,X,X,X,O,X,O
IJSTOZL,O,O,O,X,X,X,O,X,O
IJSLTZO,O,X,O,X,X,X,X,X,O
IJSLTOZ,O,O,O,X,X,X,O,X,O
IJSLZTO,X,X,O,X,X,X,X,X,O
IJSLZOT,X,O,O,X,X,X,O,X,O
IJSLOTZ,O,O,O,X,X,X,O,X,O
IJSLOZT,X,O,O,X,X,X,O,X,O
IJSZTLO,X,X,O,X,X,X,X,X,O
IJSZTOL,X,X,O,X,X,X,X,X,O
