sequence,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8KeT/IvhFlgB5oB?imBGqB3rBUsB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8KeT/IvhFlgB5oB?imBGqBUsB3rB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8Ke/EJvhFGgBKmB?zhB5oB0qBVxB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8Ke/EJvhFzgBumB?5oBKsBUlBVwB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8Ke/EJvhFGgB5oB?TmBKsB0qBlrB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8Ke/EJvhFGgBymB?5oBlqBUsBTrB
TOJSLIZ,O,X,O,O,X,X
TOJSLZI,O,X,O,O,X,X
TOJSZIL,O,O,O,X,X,X
TOJSZLI,O,O,O,X,X,X
TOJZILS,X,O,O,X,X,X
TOJZISL,O,O,O,X,X,X
TOJZLIS,X,O,O,X,X,X
TOJZLSI,X,O,O,X,X,X
TOJZSIL,O,O,O,X,X,X
TOJZSLI,O,O,O,X,X,X
TOSILJZ,O,X,O,O,X,X
TOSILZJ,X,X,O,O,X,X
TOSIJLZ,O,X,O,O,X,X
TOSIJZL,O,O,O,X,X,O
TOSIZLJ,X,X,O,O,X,O
TOSIZJL,X,X,O,X,X,O
TOSLIJZ,O,X,O,O,X,X
TOSLIZJ,X,X,O,O,X,X
TOSLJIZ,O,X,O,O,X,X
TOSLJZI,O,X,O,O,X,X
TOSLZIJ,X,X,O,O,X,X
TOSLZJI,X,X,O,O,X,X
TOSJILZ,O,X,O,O,X,X
TOSJIZL,O,O,O,X,X,O
TOSJLIZ,O,X,O,O,X,X
TOSJLZI,O,X,O,O,X,X
TOSJZIL,O,O,O,X,X,O
TOSJZLI,O,O,O,X,X,O
TOSZILJ,X,X,O,O,X,O
TOSZIJL,X,X,O,X,X,O
TOSZLIJ,X,X,O,O,X,O
TOSZLJI,X,X,O,O,X,O
TOSZJIL,X,X,O,X,X,O
TOSZJLI,X,X,O,X,X,O
TOZILJS,X,O,O,O,X,X
TOZILSJ,X,X,O,O,X,O
TOZIJLS,X,O,O,X,X,X
TOZIJSL,O,O,O,X,X,X
TOZISLJ,X,X,O,O,X,O
TOZISJL,X,X,O,X,X,O
TOZLIJS,X,O,O,O,X,X
TOZLISJ,X,X,O,O,X,O
TOZLJIS,X,O,O,O,X,X
TOZLJSI,X,O,O,O,X,X
TOZLSIJ,X,X,O,O,X,O
TOZLSJI,X,X,O,O,X,O
TOZJILS,X,O,O,X,X,X
TOZJISL,O,O,O,X,X,X
TOZJLIS,X,O,O,X,X,X
TOZJLSI,X,O,O,X,X,X
TOZJSIL,O,O,O,X,X,X
TOZJSLI,O,O,O,X,X,X
TOZSILJ,X,X,O,O,X,O
TOZSIJL,X,X,O,X,X,O
TOZSLIJ,X,X,O,O,X,O
TOZSLJI,X,X,O,O,X,O
TOZSJIL,X,X,O,X,X,O
TOZSJLI,X,X,O,X,X,O
ITLJSZO,O,X,O,O,X,X
ITLJSOZ,O,X,O,O,X,X
ITLJZSO,X,O,X,O,X,X
ITLJZOS,X,O,X,O,X,X
ITLJOSZ,O,X,O,O,X,X
ITLJOZS,X,O,X,O,X,X
ITLSJZO,X,X,O,O,O,O
ITLSJOZ,X,X,O,O,X,X
ITLSZJO,X,X,O,O,O,O
ITLSZOJ,X,X,O,O,O,O
ITLSOJZ,X,X,O,O,X,X
ITLSOZJ,X,X,O,O,X,X
ITLZJSO,X,X,O,O,X,O
ITLZJOS,X,X,O,O,X,X
ITLZSJO,X,X,O,O,O,O
ITLZSOJ,X,X,O,O,O,O
ITLZOJS,X,X,O,O,X,X
ITLZOSJ,X,X,O,O,O,O
ITLOJSZ,O,X,O,O,X,X
ITLOJZS,X,O,X,O,X,X
ITLOSJZ,X,X,O,O,X,X
ITLOSZJ,X,X,O,O,X,X
ITLOZJS,X,X,O,O,X,X
ITLOZSJ,X,X,O,O,X,X
ITJLSZO,O,X,O,O,X,X
ITJLSOZ,O,X,O,O,X,X
ITJLZSO,X,O,X,O,X,X
ITJLZOS,X,O,X,O,X,X
ITJLOSZ,O,X,O,O,X,X
ITJLOZS,X,O,X,O,X,X
ITJSLZO,O,X,O,O,X,O
ITJSLOZ,O,X,O,O,X,X
ITJSZLO,O,O,O,X,X,O
ITJSZOL,O,O,O,X,X,O
ITJSOLZ,O,X,O,O,X,X
ITJSOZL,O,O,O,X,X,O
ITJZLSO,X,O,O,X,X,O
ITJZLOS,X,O,O,X,X,X
ITJZSLO,O,O,O,X,X,O
ITJZSOL,O,O,O,X,X,O
ITJZOLS,X,O,O,X,X,X
ITJZOSL,O,O,O,X,X,X
ITJOLSZ,O,X,O,O,X,X
ITJOLZS,X,O,X,O,X,X
ITJOSLZ,O,X,O,O,X,X
ITJOSZL,O,O,O,X,X,X
ITJOZLS,X,O,O,X,X,X
ITJOZSL,O,O,O,X,X,X
ITSLJZO,O,X,O,O,O,O
ITSLJOZ,O,X,O,O,X,X
ITSLZJO,X,X,O,O,O,O
ITSLZOJ,X,X,O,O,O,O
ITSLOJZ,O,X,O,O,X,X
ITSLOZJ,X,X,O,O,X,X
ITSJLZO,O,X,O,O,O,O
ITSJLOZ,O,X,O,O,X,X
ITSJZLO,O,O,O,X,O,O
ITSJZOL,O,O,O,X,X,O
ITSJOLZ,O,X,O,O,X,X
ITSJOZL,O,O,O,X,X,O
ITSZLJO,X,X,O,O,O,O
ITSZLOJ,X,X,O,O,O,O
ITSZJLO,X,X,O,X,O,O
ITSZJOL,X,X,O,X,X,O
ITSZOLJ,X,X,O,O,X,O
ITSZOJL,X,X,O,X,X,O
ITSOLJZ,O,X,O,O,X,X
ITSOLZJ,X,X,O,O,X,X
ITSOJLZ,O,X,O,O,X,X
ITSOJZL,O,O,O,X,X,O
ITSOZLJ,X,X,O,O,X,O
ITSOZJL,X,X,O,X,X,O
ITZLJSO,X,O,O,O,X,O
ITZLJOS,X,O,O,O,X,X
ITZLSJO,X,X,O,O,O,O
ITZLSOJ,X,X,O,O,O,O
ITZLOJS,X,O,O,O,X,X
ITZLOSJ,X,X,O,O,O,O
ITZJLSO,X,O,O,X,X,O
ITZJLOS,X,O,O,X,X,X
ITZJSLO,O,O,O,X,X,O
ITZJSOL,O,O,O,X,X,O
ITZJOLS,X,O,O,X,X,X
ITZJOSL,O,O,O,X,X,X
ITZSLJO,X,X,O,O,O,O
ITZSLOJ,X,X,O,O,O,O
ITZSJLO,X,X,O,X,O,O
ITZSJOL,X,X,O,X,X,O
ITZSOLJ,X,X,O,O,X,O
ITZSOJL,X,X,O,X,X,O
ITZOLJS,X,O,O,O,X,X
ITZOLSJ,X,X,O,O,X,O
ITZOJLS,X,O,O,X,X,X
ITZOJSL,O,O,O,X,X,X
ITZOSLJ,X,X,O,O,X,O
ITZOSJL,X,X,O,X,X,O
ITOLJSZ,O,X,O,O,X,X
ITOLJZS,X,O,X,O,X,X
ITOLSJZ,X,X,O,O,X,X
ITOLSZJ,X,X,O,O,X,X
ITOLZJS,X,X,O,O,X,X
ITOLZSJ,X,X,O,O,X,X
ITOJLSZ,O,X,O,O,X,X
ITOJLZS,X,O,X,O,X,X
ITOJSLZ,O,X,O,O,X,X
ITOJSZL,O,O,O,X,X,X
ITOJZLS,X,O,O,X,X,X
ITOJZSL,O,O,O,X,X,X
ITOSLJZ,O,X,O,O,X,X
ITOSLZJ,X,X,O,O,X,X
ITOSJLZ,O,X,O,O,X,X
ITOSJZL,O,O,O,X,X,O
ITOSZLJ,X,X,O,O,X,O
ITOSZJL,X,X,O,X,X,O
ITOZLJS,X,O,O,O,X,X
ITOZLSJ,X,X,O,O,X,O
ITOZJLS,X,O,O,X,X,X
ITOZJSL,O,O,O,X,X,X
ITOZSLJ,X,X,O,O,X,O
ITOZSJL,X,X,O,X,X,O
ILTJSZO,O,X,O,O,X,X
ILTJSOZ,O,X,O,O,X,X
ILTJZSO,X,O,X,O,X,X
ILTJZOS,X,O,X,O,X,X
ILTJOSZ,O,X,O,O,X,X
ILTJOZS,X,O,X,O,X,X
ILTSJZO,X,X,O,O,O,O
ILTSJOZ,X,X,O,O,X,X
ILTSZJO,X,X,O,O,O,O
ILTSZOJ,X,X,O,O,O,O
ILTSOJZ,X,X,O,O,X,X
ILTSOZJ,X,X,O,O,X,X
ILTZJSO,X,X,O,O,X,O
ILTZJOS,X,X,O,O,X,X
ILTZSJO,X,X,O,O,O,O
ILTZSOJ,X,X,O,O,O,O
ILTZOJS,X,X,O,O,X,X
ILTZOSJ,X,X,O,O,O,O
ILTOJSZ,O,X,O,O,X,X
ILTOJZS,X,O,X,O,X,X
ILTOSJZ,X,X,O,O,X,X
ILTOSZJ,X,X,O,O,X,X
ILTOZJS,X,X,O,O,X,X
ILTOZSJ,X,X,O,O,X,X
ILJTSZO,O,X,X,O,X,X
ILJTSOZ,O,X,X,O,X,X
ILJTZSO,X,O,X,O,X,X
ILJTZOS,X,O,X,O,X,X
ILJTOSZ,O,X,X,O,X,X
ILJTOZS,X,O,X,O,X,X
ILJSTZO,O,X,X,O,O,X
ILJSTOZ,O,X,X,O,X,X
ILJSZTO,O,X,X,X,O,X
ILJSZOT,O,X,X,X,O,X
ILJSOTZ,O,X,X,X,X,X
ILJSOZT,O,X,X,X,O,X
ILJZTSO,X,O,X,X,X,X
ILJZTOS,X,O,X,X,X,X
ILJZSTO,X,O,X,X,O,X
ILJZSOT,X,O,X,X,O,X
ILJZOTS,X,O,X,X,X,X
ILJZOST,X,O,X,X,O,X
ILJOTSZ,O,X,X,X,X,X
ILJOTZS,X,O,X,X,X,X
ILJOSTZ,O,X,X,X,X,X
ILJOSZT,O,X,X,X,X,X
ILJOZTS,X,O,X,X,X,X
ILJOZST,X,O,X,X,X,X
ILSTJZO,O,X,O,O,O,O
ILSTJOZ,O,X,O,O,X,X
ILSTZJO,X,X,O,O,O,O
ILSTZOJ,X,X,O,O,O,O
ILSTOJZ,O,X,O,O,X,X
ILSTOZJ,X,X,O,O,X,X
ILSJTZO,O,X,O,O,O,O
ILSJTOZ,O,X,O,O,X,X
ILSJZTO,O,X,X,X,O,X
ILSJZOT,O,X,X,X,O,X
ILSJOTZ,O,X,X,X,X,X
ILSJOZT,O,X,X,X,O,X
ILSZTJO,X,X,X,O,O,O
ILSZTOJ,X,X,X,O,O,O
ILSZJTO,O,X,X,X,O,X
ILSZJOT,O,X,X,X,O,X
ILSZOTJ,X,X,X,X,O,X
ILSZOJT,O,X,X,X,O,X
ILSOTJZ,O,X,X,O,X,X
ILSOTZJ,X,X,X,O,X,X
ILSOJTZ,O,X,X,X,X,X
ILSOJZT,O,X,X,X,O,X
ILSOZTJ,X,X,X,X,O,X
ILSOZJT,O,X,X,X,O,X
ILZTJSO,X,O,X,O,X,O
ILZTJOS,X,O,X,O,X,X
ILZTSJO,X,X,X,O,O,O
ILZTSOJ,X,X,X,O,O,O
ILZTOJS,X,O,X,O,X,X
ILZTOSJ,X,X,X,O,O,O
ILZJTSO,X,O,X,X,X,X
ILZJTOS,X,O,X,X,X,X
ILZJSTO,X,O,X,X,O,X
ILZJSOT,X,O,X,X,O,X
ILZJOTS,X,O,X,X,X,X
ILZJOST,X,O,X,X,O,X
ILZSTJO,X,X,X,O,O,O
ILZSTOJ,X,X,X,O,O,O
ILZSJTO,X,O,X,X,O,X
ILZSJOT,X,O,X,X,O,X
ILZSOTJ,X,X,X,X,O,X
ILZSOJT,X,O,X,X,O,X
ILZOTJS,X,O,X,X,X,X
ILZOTSJ,X,X,X,X,O,X
ILZOJTS,X,O,X,X,X,X
ILZOJST,X,O,X,X,O,X
ILZOSTJ,X,X,X,X,O,X
ILZOSJT,X,O,X,X,O,X
ILOTJSZ,O,X,X,O,X,X
ILOTJZS,X,O,X,O,X,X
ILOTSJZ,X,X,X,O,X,X
ILOTSZJ,X,X,X,O,X,X
ILOTZJS,X,X,X,O,X,X
ILOTZSJ,X,X,X,O,X,X
ILOJTSZ,O,X,X,X,X,X
ILOJTZS,X,O,X,X,X,X
ILOJSTZ,O,X,X,X,X,X
ILOJSZT,O,X,X,X,X,X
ILOJZTS,X,O,X,X,X,X
ILOJZST,X,O,X,X,X,X
ILOSTJZ,O,X,X,O,X,X
ILOSTZJ,X,X,X,O,X,X
ILOSJTZ,O,X,X,X,X,X
ILOSJZT,O,X,X,X,O,X
ILOSZTJ,X,X,X,X,O,X
ILOSZJT,O,X,X,X,O,X
ILOZTJS,X,O,X,X,X,X
ILOZTSJ,X,X,X,X,O,X
ILOZJTS,X,O,X,X,X,X
ILOZJST,X,O,X,X,O,X
ILOZSTJ,X,X,X,X,O,X
ILOZSJT,X,O,X,X,O,X
IJTLSZO,O,X,O,O,X,X
IJTLSOZ,O,X,O,O,X,X
IJTLZSO,X,O,X,O,X,X
IJTLZOS,X,O,X,O,X,X
IJTLOSZ,O,X,O,O,X,X
IJTLOZS,X,O,X,O,X,X
IJTSLZO,O,X,O,O,X,O
IJTSLOZ,O,X,O,O,X,X
IJTSZLO,O,O,O,X,X,O
IJTSZOL,O,O,O,X,X,O
IJTSOLZ,O,X,O,O,X,X
IJTSOZL,O,O,O,X,X,O
IJTZLSO,X,O,O,X,X,O
IJTZLOS,X,O,O,X,X,X
IJTZSLO,O,O,O,X,X,O
IJTZSOL,O,O,O,X,X,O
IJTZOLS,X,O,O,X,X,X
IJTZOSL,O,O,O,X,X,X
IJTOLSZ,O,X,O,O,X,X
IJTOLZS,X,O,X,O,X,X
IJTOSLZ,O,X,O,O,X,X
IJTOSZL,O,O,O,X,X,X
IJTOZLS,X,O,O,X,X,X
IJTOZSL,O,O,O,X,X,X
IJLTSZO,O,X,X,O,X,X
IJLTSOZ,O,X,X,O,X,X
IJLTZSO,X,O,X,O,X,X
IJLTZOS,X,O,X,O,X,X
IJLTOSZ,O,X,X,O,X,X
IJLTOZS,X,O,X,O,X,X
IJLSTZO,O,X,X,O,O,X
IJLSTOZ,O,X,X,O,X,X
IJLSZTO,O,X,X,X,O,X
IJLSZOT,O,X,X,X,O,X
IJLSOTZ,O,X,X,X,X,X
IJLSOZT,O,X,X,X,O,X
IJLZTSO,X,O,X,X,X,X
IJLZTOS,X,O,X,X,X,X
IJLZSTO,X,O,X,X,O,X
IJLZSOT,X,O,X,X,O,X
IJLZOTS,X,O,X,X,X,X
IJLZOST,X,O,X,X,O,X
IJLOTSZ,O,X,X,X,X,X
IJLOTZS,X,O,X,X,X,X
IJLOSTZ,O,X,X,X,X,X
IJLOSZT,O,X,X,X,X,X
IJLOZTS,X,O,X,X,X,X
IJLOZST,X,O,X,X,X,X
IJSTLZO,O,X,O,O,O,O
IJSTLOZ,O,X,O,O,X,X
IJSTZLO,O,O,O,X,O,O
IJSTZOL,O,O,O,X,X,O
IJSTOLZ,O,X,O,O,X,X
IJSTOZL,O,O,O,X,X,O
IJSLTZO,O,X,O,O,O,O
IJSLTOZ,O,X,O,O,X,X
IJSLZTO,O,X,X,X,O,X
IJSLZOT,O,X,X,X,O,X
IJSLOTZ,O,X,X,X,X,X
IJSLOZT,O,X,X,X,O,X
IJSZTLO,O,O,O,X,O,O
IJSZTOL,O,O,O,X,X,O
IJSZLTO,O,O,X,X,O,X
IJSZLOT,O,O,X,X,O,X
IJSZOTL,O,O,X,X,X,X
IJSZOLT,O,O,X,X,O,X
IJSOTLZ,O,X,O,X,X,X
IJSOTZL,O,O,O,X,X,O
IJSOLTZ,O,X,X,X,X,X
IJSOLZT,O,X,X,X,O,X
IJSOZTL,O,O,X,X,X,X
IJSOZLT,O,O,X,X,O,X
IJZTLSO,X,O,X,X,X,O
IJZTLOS,X,O,X,X,X,X
IJZTSLO,O,O,X,X,X,O
IJZTSOL,O,O,X,X,X,O
IJZTOLS,X,O,X,X,X,X
IJZTOSL,O,O,X,X,X,X
IJZLTSO,X,O,X,X,X,X
IJZLTOS,X,O,X,X,X,X
IJZLSTO,X,O,X,X,O,X
IJZLSOT,X,O,X,X,O,X
IJZLOTS,X,O,X,X,X,X
IJZLOST,X,O,X,X,O,X
IJZSTLO,O,O,X,X,O,O
IJZSTOL,O,O,X,X,X,O
IJZSLTO,O,O,X,X,O,X
IJZSLOT,O,O,X,X,O,X
IJZSOTL,O,O,X,X,X,X
IJZSOLT,O,O,X,X,O,X
IJZOTLS,X,O,X,X,X,X
IJZOTSL,O,O,X,X,X,X
IJZOLTS,X,O,X,X,X,X
IJZOLST,X,O,X,X,X,X
IJZOSTL,O,O,X,X,X,X
IJZOSLT,O,O,X,X,X,X
IJOTLSZ,O,X,X,X,X,X
IJOTLZS,X,O,X,X,X,X
IJOTSLZ,O,X,X,X,X,X
IJOTSZL,O,O,X,X,X,X
IJOTZLS,X,O,X,X,X,X
IJOTZSL,O,O,X,X,X,X
IJOLTSZ,O,X,X,X,X,X
IJOLTZS,X,O,X,X,X,X
IJOLSTZ,O,X,X,X,X,X
IJOLSZT,O,X,X,X,X,X
IJOLZTS,X,O,X,X,X,X
IJOLZST,X,O,X,X,X,X
IJOSTLZ,O,X,X,X,X,X
IJOSTZL,O,O,X,X,X,X
IJOSLTZ,O,X,X,X,X,X
IJOSLZT,O,X,X,X,X,X
IJOSZTL,O,O,X,X,X,X
IJOSZLT,O,O,X,X,X,X
IJOZTLS,X,O,X,X,X,X
IJOZTSL,O,O,X,X,X,X
IJOZLTS,X,O,X,X,X,X
IJOZLST,X,O,X,X,X,X
IJOZSTL,O,O,X,X,X,X
IJOZSLT,O,O,X,X,X,X
ISTLJZO,O,X,O,O,O,O
ISTLJOZ,O,X,O,O,X,X
ISTLZJO,X,X,O,O,O,O
ISTLZOJ,X,X,O,O,O,O
ISTLOJZ,O,X,O,O,X,X
ISTLOZJ,X,X,O,O,X,X
ISTJLZO,O,X,O,O,O,O
ISTJLOZ,O,X,O,O,X,X
ISTJZLO,O,O,O,X,O,O
ISTJZOL,O,O,O,X,X,O
ISTJOLZ,O,X,O,O,X,X
ISTJOZL,O,O,O,X,X,O
ISTZLJO,X,X,O,O,O,O
ISTZLOJ,X,X,O,O,O,O
ISTZJLO,X,X,O,X,O,O
ISTZJOL,X,X,O,X,X,O
ISTZOLJ,X,X,O,O,X,O
ISTZOJL,X,X,O,X,X,O
ISTOLJZ,O,X,O,O,X,X
ISTOLZJ,X,X,O,O,X,X
ISTOJLZ,O,X,O,O,X,X
ISTOJZL,O,O,O,X,X,O
ISTOZLJ,X,X,O,O,X,O
ISTOZJL,X,X,O,X,X,O
ISLTJZO,O,X,O,O,O,O
ISLTJOZ,O,X,O,O,X,X
ISLTZJO,X,X,O,O,O,O
ISLTZOJ,X,X,O,O,O,O
ISLTOJZ,O,X,O,O,X,X
ISLTOZJ,X,X,O,O,X,X
ISLJTZO,O,X,O,O,O,O
ISLJTOZ,O,X,O,O,X,X
ISLJZTO,O,X,X,X,O,X
ISLJZOT,O,X,X,X,O,X
ISLJOTZ,O,X,X,X,X,X
ISLJOZT,O,X,X,X,O,X
ISLZTJO,X,X,X,O,O,O
ISLZTOJ,X,X,X,O,O,O
ISLZJTO,O,X,X,X,O,X
ISLZJOT,O,X,X,X,O,X
ISLZOTJ,X,X,X,X,O,X
ISLZOJT,O,X,X,X,O,X
ISLOTJZ,O,X,X,O,X,X
ISLOTZJ,X,X,X,O,X,X
ISLOJTZ,O,X,X,X,X,X
ISLOJZT,O,X,X,X,O,X
ISLOZTJ,X,X,X,X,O,X
ISLOZJT,O,X,X,X,O,X
ISJTLZO,O,X,O,O,O,O
ISJTLOZ,O,X,O,O,X,X
ISJTZLO,O,O,O,X,O,O
ISJTZOL,O,O,O,X,X,O
ISJTOLZ,O,X,O,O,X,X
ISJTOZL,O,O,O,X,X,O
ISJLTZO,O,X,O,O,O,O
ISJLTOZ,O,X,O,O,X,X
ISJLZTO,O,X,X,X,O,X
ISJLZOT,O,X,X,X,O,X
ISJLOTZ,O,X,X,X,X,X
ISJLOZT,O,X,X,X,O,X
ISJZTLO,O,O,O,X,O,O
ISJZTOL,O,O,O,X,X,O
ISJZLTO,O,O,X,X,O,X
ISJZLOT,O,O,X,X,O,X
ISJZOTL,O,O,X,X,X,X
ISJZOLT,O,O,X,X,O,X
ISJOTLZ,O,X,O,X,X,X
ISJOTZL,O,O,O,X,X,O
ISJOLTZ,O,X,X,X,X,X
ISJOLZT,O,X,X,X,O,X
ISJOZTL,O,O,X,X,X,X
ISJOZLT,O,O,X,X,O,X
ISZTLJO,X,X,O,O,O,O
ISZTLOJ,X,X,O,O,O,O
ISZTJLO,X,X,O,X,O,O
ISZTJOL,X,X,O,X,X,O
ISZTOLJ,X,X,O,O,X,O
ISZTOJL,X,X,O,X,X,O
ISZLTJO,X,X,X,O,O,O
ISZLTOJ,X,X,X,O,O,O
ISZLJTO,O,O,X,X,O,X
ISZLJOT,O,O,X,X,O,X
ISZLOTJ,X,X,X,X,O,X
ISZLOJT,O,O,X,X,O,X
ISZJTLO,O,O,O,X,O,O
ISZJTOL,O,O,O,X,X,O
ISZJLTO,O,O,X,X,O,X
ISZJLOT,O,O,X,X,O,X
ISZJOTL,O,O,X,X,X,X
ISZJOLT,O,O,X,X,O,X
ISZOTLJ,X,X,X,X,X,O
ISZOTJL,X,X,X,X,X,O
ISZOLTJ,X,X,X,X,O,X
ISZOLJT,O,O,X,X,O,X
ISZOJTL,O,O,X,X,X,X
ISZOJLT,O,O,X,X,O,X
ISOTLJZ,O,X,O,O,X,X
ISOTLZJ,X,X,O,O,X,X
ISOTJLZ,O,X,O,O,X,X
ISOTJZL,O,O,O,X,X,O
ISOTZLJ,X,X,O,O,X,O
ISOTZJL,X,X,O,X,X,O
ISOLTJZ,O,X,X,O,X,X
ISOLTZJ,X,X,X,O,X,X
ISOLJTZ,O,X,X,X,X,X
ISOLJZT,O,X,X,X,O,X
ISOLZTJ,X,X,X,X,O,X
ISOLZJT,O,X,X,X,O,X
ISOJTLZ,O,X,O,X,X,X
ISOJTZL,O,O,O,X,X,O
ISOJLTZ,O,X,X,X,X,X
ISOJLZT,O,X,X,X,O,X
ISOJZTL,O,O,X,X,X,X
ISOJZLT,O,O,X,X,O,X
ISOZTLJ,X,X,X,X,X,O
ISOZTJL,X,X,X,X,X,O
ISOZLTJ,X,X,X,X,O,X
ISOZLJT,O,O,X,X,O,X
ISOZJTL,O,O,X,X,X,X
ISOZJLT,O,O,X,X,O,X
IZTLJSO,X,O,O,O,X,O
IZTLJOS,X,O,O,O,X,X
IZTLSJO,X,X,O,O,O,O
IZTLSOJ,X,X,O,O,O,O
IZTLOJS,X,O,O,O,X,X
IZTLOSJ,X,X,O,O,O,O
IZTJLSO,X,O,O,X,X,O
IZTJLOS,X,O,O,X,X,X
IZTJSLO,O,O,O,X,X,O
IZTJSOL,O,O,O,X,X,O
IZTJOLS,X,O,O,X,X,X
IZTJOSL,O,O,O,X,X,X
IZTSLJO,X,X,O,O,O,O
IZTSLOJ,X,X,O,O,O,O
IZTSJLO,X,X,O,X,O,O
IZTSJOL,X,X,O,X,X,O
IZTSOLJ,X,X,O,O,X,O
IZTSOJL,X,X,O,X,X,O
IZTOLJS,X,O,O,O,X,X
IZTOLSJ,X,X,O,O,X,O
IZTOJLS,X,O,O,X,X,X
IZTOJSL,O,O,O,X,X,X
IZTOSLJ,X,X,O,O,X,O
IZTOSJL,X,X,O,X,X,O
IZLTJSO,X,O,X,O,X,O
IZLTJOS,X,O,X,O,X,X
IZLTSJO,X,X,X,O,O,O
IZLTSOJ,X,X,X,O,O,O
IZLTOJS,X,O,X,O,X,X
IZLTOSJ,X,X,X,O,O,O
IZLJTSO,X,O,X,X,X,X
IZLJTOS,X,O,X,X,X,X
IZLJSTO,X,O,X,X,O,X
IZLJSOT,X,O,X,X,O,X
IZLJOTS,X,O,X,X,X,X
IZLJOST,X,O,X,X,O,X
IZLSTJO,X,X,X,O,O,O
IZLSTOJ,X,X,X,O,O,O
IZLSJTO,X,O,X,X,O,X
IZLSJOT,X,O,X,X,O,X
IZLSOTJ,X,X,X,X,O,X
IZLSOJT,X,O,X,X,O,X
IZLOTJS,X,O,X,X,X,X
IZLOTSJ,X,X,X,X,O,X
IZLOJTS,X,O,X,X,X,X
IZLOJST,X,O,X,X,O,X
IZLOSTJ,X,X,X,X,O,X
IZLOSJT,X,O,X,X,O,X
IZJTLSO,X,O,X,X,X,O
IZJTLOS,X,O,X,X,X,X
IZJTSLO,O,O,X,X,X,O
IZJTSOL,O,O,X,X,X,O
IZJTOLS,X,O,X,X,X,X
IZJTOSL,O,O,X,X,X,X
IZJLTSO,X,O,X,X,X,X
IZJLTOS,X,O,X,X,X,X
IZJLSTO,X,O,X,X,O,X
IZJLSOT,X,O,X,X,O,X
IZJLOTS,X,O,X,X,X,X
IZJLOST,X,O,X,X,O,X
IZJSTLO,O,O,X,X,O,O
IZJSTOL,O,O,X,X,X,O
IZJSLTO,O,O,X,X,O,X
IZJSLOT,O,O,X,X,O,X
IZJSOTL,O,O,X,X,X,X
IZJSOLT,O,O,X,X,O,X
IZJOTLS,X,O,X,X,X,X
IZJOTSL,O,O,X,X,X,X
IZJOLTS,X,O,X,X,X,X
IZJOLST,X,O,X,X,X,X
IZJOSTL,O,O,X,X,X,X
IZJOSLT,O,O,X,X,X,X
IZSTLJO,X,X,O,O,O,O
IZSTLOJ,X,X,O,O,O,O
IZSTJLO,X,X,O,X,O,O
IZSTJOL,X,X,O,X,X,O
IZSTOLJ,X,X,O,O,X,O
IZSTOJL,X,X,O,X,X,O
IZSLTJO,X,X,X,O,O,O
IZSLTOJ,X,X,X,O,O,O
IZSLJTO,O,O,X,X,O,X
IZSLJOT,O,O,X,X,O,X
IZSLOTJ,X,X,X,X,O,X
IZSLOJT,O,O,X,X,O,X
IZSJTLO,O,O,O,X,O,O
IZSJTOL,O,O,O,X,X,O
IZSJLTO,O,O,X,X,O,X
IZSJLOT,O,O,X,X,O,X
IZSJOTL,O,O,X,X,X,X
IZSJOLT,O,O,X,X,O,X
IZSOTLJ,X,X,X,X,X,O
IZSOTJL,X,X,X,X,X,O
IZSOLTJ,X,X,X,X,O,X
IZSOLJT,O,O,X,X,O,X
IZSOJTL,O,O,X,X,X,X
IZSOJLT,O,O,X,X,O,X
IZOTLJS,X,O,X,X,X,X
IZOTLSJ,X,X,X,X,X,O
IZOTJLS,X,O,X,X,X,X
IZOTJSL,O,O,X,X,X,X
IZOTSLJ,X,X,X,X,X,O
IZOTSJL,X,X,X,X,X,O
IZOLTJS,X,O,X,X,X,X
IZOLTSJ,X,X,X,X,O,X
IZOLJTS,X,O,X,X,X,X
IZOLJST,X,O,X,X,O,X
IZOLSTJ,X,X,X,X,O,X
IZOLSJT,X,O,X,X,O,X
IZOJTLS,X,O,X,X,X,X
IZOJTSL,O,O,X,X,X,X
IZOJLTS,X,O,X,X,X,X
IZOJLST,X,O,X,X,X,X
IZOJSTL,O,O,X,X,X,X
IZOJSLT,O,O,X,X,X,X
IZOSTLJ,X,X,X,X,X,O
IZOSTJL,X,X,X,X,X,O
IZOSLTJ,X,X,X,X,O,X
IZOSLJT,O,O,X,X,O,X
IZOSJTL,O,O,X,X,X,X
IZOSJLT,O,O,X,X,O,X
IOTLJSZ,O,X,O,O,X,X
IOTLJZS,X,O,X,O,X,X
IOTLSJZ,X,X,O,O,X,X
IOTLSZJ,X,X,O,O,X,X
IOTLZJS,X,X,O,O,X,X
IOTLZSJ,X,X,O,O,X,X
IOTJLSZ,O,X,O,O,X,X
IOTJLZS,X,O,X,O,X,X
IOTJSLZ,O,X,O,O,X,X
IOTJSZL,O,O,O,X,X,X
IOTJZLS,X,O,O,X,X,X
IOTJZSL,O,O,O,X,X,X
IOTSLJZ,O,X,O,O,X,X
IOTSLZJ,X,X,O,O,X,X
