sequence,v115@NhA8IeB8AeD8BeE8JeOEJvhFxgBliBcoBzkBCmBXrB,v115@NhA8IeB8AeD8BeE8Je0/IvhF6lBThBxiB2pBFoBXrB,v115@NhA8IeB8AeD8BeE8JeOEJvhFXgB6mBliBcoBRqBzqB,v115@NhA8IeB8AeD8BeE8JeKEJvhFGgBThBxiBUlBFoBXrB,v115@NhA8IeB8AeD8BeE8JeOEJvhF0gBxiBzkBSrBFoBXrB,v115@NhA8IeB8AeD8BeE8JeOEJvhFXhBxiBzkBSrBFoB0qB,v115@NhA8IeB8AeD8BeE8JeKEJvhFflBThBxiBWrBFoB0qB
TJOZISL,O,O,X,X,O,X,X
TJOZLIS,O,O,X,X,O,O,O
TJOZLSI,O,O,X,X,O,O,O
TJOZSIL,O,O,X,X,O,X,X
TJOZSLI,O,O,X,X,O,X,X
TSILJZO,X,O,X,O,X,X,O
TSILJOZ,X,O,X,O,X,O,O
TSILZJO,X,O,X,O,X,X,O
TSILZOJ,X,O,X,O,O,O,X
TSILOJZ,X,O,X,O,O,O,O
TSILOZJ,X,O,X,O,O,O,X
TSIJLZO,X,O,X,O,X,X,O
TSIJLOZ,X,O,X,O,X,X,O
TSIJZLO,X,O,X,X,X,X,X
TSIJZOL,X,O,X,X,X,X,X
TSIJOLZ,X,O,X,O,O,O,O
TSIJOZL,X,O,X,X,O,X,X
TSIZLJO,X,O,X,O,X,X,X
TSIZLOJ,X,O,X,O,X,X,X
TSIZJLO,X,O,X,X,X,X,X
TSIZJOL,X,O,X,X,X,X,X
TSIZOLJ,X,O,X,O,X,X,X
TSIZOJL,X,O,X,X,X,X,X
TSIOLJZ,X,O,X,O,O,O,X
TSIOLZJ,X,O,X,O,O,O,X
TSIOJLZ,X,O,X,O,O,O,X
TSIOJZL,X,O,X,X,O,X,X
TSIOZLJ,X,O,X,O,O,X,X
TSIOZJL,X,O,X,X,O,X,X
TSLIJZO,O,O,X,O,X,X,O
TSLIJOZ,X,O,X,O,X,O,O
TSLIZJO,O,O,X,O,X,X,O
TSLIZOJ,O,O,X,O,O,O,X
TSLIOJZ,O,O,X,O,O,O,O
TSLIOZJ,O,O,X,O,O,O,X
TSLJIZO,O,O,X,O,X,X,O
TSLJIOZ,X,O,X,O,X,O,O
TSLJZIO,O,O,X,O,X,X,O
TSLJZOI,O,O,X,O,X,X,O
TSLJOIZ,X,O,X,O,X,O,O
TSLJOZI,X,O,X,O,X,O,O
TSLZIJO,O,O,X,O,X,X,O
TSLZIOJ,O,O,X,O,O,O,X
TSLZJIO,O,O,X,O,X,X,O
TSLZJOI,O,O,X,O,X,X,O
TSLZOIJ,O,O,X,O,O,O,X
TSLZOJI,O,O,X,O,O,O,X
TSLOIJZ,O,O,X,O,O,O,O
TSLOIZJ,O,O,X,O,O,O,X
TSLOJIZ,O,O,X,O,O,O,O
TSLOJZI,O,O,X,O,O,O,O
TSLOZIJ,O,O,X,O,O,O,X
TSLOZJI,O,O,X,O,O,O,X
TSJILZO,X,O,X,O,X,X,O
TSJILOZ,X,O,X,O,X,X,O
TSJIZLO,X,O,X,X,X,X,X
TSJIZOL,X,O,X,X,X,X,X
TSJIOLZ,X,O,X,O,O,O,O
TSJIOZL,X,O,X,X,O,X,X
TSJLIZO,O,O,X,O,X,X,O
TSJLIOZ,X,O,X,O,X,X,O
TSJLZIO,O,O,X,O,X,X,O
TSJLZOI,O,O,X,O,X,X,O
TSJLOIZ,X,O,X,O,X,X,O
TSJLOZI,X,O,X,O,X,X,O
TSJZILO,O,O,X,X,X,X,X
TSJZIOL,O,O,X,X,X,X,X
TSJZLIO,O,O,X,X,X,X,X
TSJZLOI,O,O,X,X,X,X,X
TSJZOIL,O,O,X,X,X,X,X
TSJZOLI,O,O,X,X,X,X,X
TSJOILZ,X,O,X,O,O,O,O
TSJOIZL,O,O,X,X,O,X,X
TSJOLIZ,O,O,X,O,O,O,O
TSJOLZI,O,O,X,O,O,O,O
TSJOZIL,O,O,X,X,O,X,X
TSJOZLI,O,O,X,X,O,X,X
TSZILJO,O,O,X,O,X,X,X
TSZILOJ,O,O,X,O,X,X,X
TSZIJLO,O,O,X,X,X,X,X
TSZIJOL,O,O,X,X,X,X,X
TSZIOLJ,O,O,X,O,X,X,X
TSZIOJL,O,O,X,X,X,X,X
TSZLIJO,O,O,X,O,X,X,X
TSZLIOJ,O,O,X,O,X,X,X
TSZLJIO,O,O,X,O,X,X,X
TSZLJOI,O,O,X,O,X,X,X
