sequence,v115@FhA8HeB8HeB8BeE8AeB8Kei/IvhFFhBXiB5oBcpBTl?BmrB,v115@FhA8HeB8HeB8BeE8AeB8KeT/IvhF/lBUhBFiB5oBip?BmrB,v115@FhA8HeB8HeB8BeE8AeB8KeT/IvhFmgBFiB5oB0lBfs?BipB,v115@FhA8HeB8HeB8BeE8AeB8Kei/IvhFzgBFiB5oBcpB2q?BfsB
TJZLSOI,O,O,X,O
TJZLOIS,O,O,X,O
TJZLOSI,O,O,X,O
TJZSILO,O,O,X,O
TJZSIOL,O,O,X,O
TJZSLIO,O,O,X,O
TJZSLOI,O,O,X,O
TJZSOIL,O,O,X,O
TJZSOLI,O,O,X,O
TJZOILS,O,X,X,O
TJZOISL,O,O,X,O
TJZOLIS,O,X,X,O
TJZOLSI,O,X,X,O
TJZOSIL,O,O,X,O
TJZOSLI,O,O,X,O
TJOILSZ,O,O,X,X
TJOILZS,O,O,X,X
TJOISLZ,O,O,X,O
TJOISZL,O,O,X,O
TJOIZLS,O,X,X,O
TJOIZSL,O,O,X,O
TJOLISZ,O,O,X,X
TJOLIZS,O,O,X,X
TJOLSIZ,O,O,X,X
TJOLSZI,O,O,X,X
TJOLZIS,O,O,X,X
TJOLZSI,O,O,X,X
TJOSILZ,O,O,X,O
TJOSIZL,O,O,X,O
TJOSLIZ,O,O,X,O
TJOSLZI,O,O,X,O
TJOSZIL,O,O,X,O
TJOSZLI,O,O,X,O
TJOZILS,O,X,X,O
TJOZISL,O,O,X,O
TJOZLIS,O,X,X,O
TJOZLSI,O,X,X,O
TJOZSIL,O,O,X,O
TJOZSLI,O,O,X,O
TSILJZO,O,O,O,O
TSILJOZ,O,O,O,O
TSILZJO,O,O,O,O
TSILZOJ,O,O,O,O
TSILOJZ,X,O,O,X
TSILOZJ,O,O,O,X
TSIJLZO,O,O,O,O
TSIJLOZ,O,O,O,O
TSIJZLO,O,O,O,O
TSIJZOL,O,O,O,O
TSIJOLZ,O,O,X,O
TSIJOZL,O,O,X,O
TSIZLJO,O,O,O,O
TSIZLOJ,O,O,O,O
TSIZJLO,O,O,O,O
TSIZJOL,O,O,O,O
TSIZOLJ,O,O,O,O
TSIZOJL,O,X,O,O
TSIOLJZ,X,O,O,X
TSIOLZJ,O,O,O,X
TSIOJLZ,O,X,X,O
TSIOJZL,O,X,X,O
TSIOZLJ,O,O,O,O
TSIOZJL,O,X,O,O
TSLIJZO,O,O,O,O
TSLIJOZ,O,O,O,O
TSLIZJO,O,O,O,O
TSLIZOJ,O,O,O,O
TSLIOJZ,X,O,O,X
TSLIOZJ,O,O,O,X
TSLJIZO,O,O,O,O
TSLJIOZ,O,O,O,O
TSLJZIO,O,O,O,O
TSLJZOI,O,O,O,O
TSLJOIZ,O,O,O,O
TSLJOZI,O,O,O,O
TSLZIJO,O,O,O,O
TSLZIOJ,O,O,O,O
TSLZJIO,O,O,O,O
TSLZJOI,X,O,O,O
TSLZOIJ,O,O,O,O
TSLZOJI,X,O,O,O
TSLOIJZ,X,O,O,X
TSLOIZJ,O,O,O,X
TSLOJIZ,X,O,O,X
TSLOJZI,X,O,O,X
TSLOZIJ,O,O,O,X
TSLOZJI,O,O,O,X
TSJILZO,O,O,O,O
TSJILOZ,O,O,O,O
TSJIZLO,O,O,O,O
TSJIZOL,O,O,O,O
TSJIOLZ,O,O,X,O
TSJIOZL,O,O,X,O
TSJLIZO,O,O,O,O
TSJLIOZ,O,O,O,O
TSJLZIO,O,O,O,O
TSJLZOI,O,O,O,O
TSJLOIZ,O,O,O,O
TSJLOZI,O,O,O,O
TSJZILO,O,O,O,O
TSJZIOL,O,O,O,O
TSJZLIO,O,O,O,O
TSJZLOI,O,O,O,O
TSJZOIL,O,O,O,O
TSJZOLI,O,O,O,O
TSJOILZ,O,O,X,O
TSJOIZL,O,O,X,O
TSJOLIZ,O,O,X,O
TSJOLZI,O,O,X,O
TSJOZIL,O,O,X,O
TSJOZLI,O,O,X,O
TSZILJO,O,O,O,O
TSZILOJ,O,O,O,O
TSZIJLO,O,O,O,O
TSZIJOL,O,O,O,O
TSZIOLJ,O,O,O,O
TSZIOJL,O,X,O,O
TSZLIJO,O,O,O,O
TSZLIOJ,O,O,O,O
TSZLJIO,O,O,O,O
TSZLJOI,O,O,O,O
TSZLOIJ,O,O,O,O
TSZLOJI,O,O,O,O
TSZJILO,O,O,O,O
TSZJIOL,O,O,O,O
TSZJLIO,O,O,O,O
TSZJLOI,O,O,O,O
TSZJOIL,O,O,O,O
TSZJOLI,O,O,O,O
TSZOILJ,O,O,O,O
TSZOIJL,O,X,O,O
TSZOLIJ,O,O,O,O
TSZOLJI,O,O,O,O
TSZOJIL,O,X,O,O
TSZOJLI,O,X,O,O
TSOILJZ,X,O,O,X
TSOILZJ,O,O,O,X
TSOIJLZ,O,X,X,O
TSOIJZL,O,X,X,O
TSOIZLJ,O,O,O,O
TSOIZJL,O,X,O,O
TSOLIJZ,X,O,O,X
TSOLIZJ,O,O,O,X
TSOLJIZ,X,O,O,X
TSOLJZI,X,O,O,X
TSOLZIJ,O,O,O,X
TSOLZJI,O,O,O,X
TSOJILZ,O,X,X,O
TSOJIZL,O,X,X,O
TSOJLIZ,O,X,X,O
TSOJLZI,O,X,X,O
TSOJZIL,O,X,X,O
TSOJZLI,O,X,X,O
TSOZILJ,O,O,O,O
TSOZIJL,O,X,O,O
TSOZLIJ,O,O,O,O
TSOZLJI,O,O,O,O
TSOZJIL,O,X,O,O
TSOZJLI,O,X,O,O
TZILJSO,O,O,O,O
TZILJOS,O,O,O,O
TZILSJO,O,O,O,O
TZILSOJ,O,O,O,O
TZILOJS,O,O,O,X
TZILOSJ,O,O,O,X
TZIJLSO,O,O,O,O
TZIJLOS,O,O,O,O
TZIJSLO,O,O,O,O
TZIJSOL,O,O,O,O
TZIJOLS,O,X,X,O
TZIJOSL,O,O,X,O
TZISLJO,O,O,O,O
TZISLOJ,O,O,O,O
TZISJLO,O,O,O,O
TZISJOL,O,X,O,O
TZISOLJ,O,O,O,O
TZISOJL,O,X,O,O
TZIOLJS,O,X,X,X
TZIOLSJ,O,X,X,X
TZIOJLS,O,X,X,X
TZIOJSL,O,X,X,X
TZIOSLJ,O,X,X,X
TZIOSJL,O,X,X,X
TZLIJSO,O,O,O,O
TZLIJOS,O,O,O,O
TZLISJO,O,O,O,O
TZLISOJ,O,O,O,O
TZLIOJS,O,O,O,X
TZLIOSJ,O,O,O,X
TZLJISO,O,O,O,O
TZLJIOS,O,O,O,O
TZLJSIO,O,O,O,O
TZLJSOI,O,O,O,O
TZLJOIS,O,O,O,O
TZLJOSI,O,O,O,O
TZLSIJO,O,O,O,O
TZLSIOJ,O,O,O,O
TZLSJIO,O,O,O,O
TZLSJOI,O,O,O,O
TZLSOIJ,O,O,O,O
TZLSOJI,O,O,O,O
TZLOIJS,O,O,O,X
TZLOISJ,O,O,O,X
TZLOJIS,O,O,O,X
TZLOJSI,O,O,O,X
TZLOSIJ,O,O,O,X
TZLOSJI,O,O,O,X
TZJILSO,O,O,O,O
TZJILOS,O,O,O,O
TZJISLO,O,O,O,O
TZJISOL,O,O,O,O
TZJIOLS,O,X,X,O
TZJIOSL,O,O,X,O
TZJLISO,O,O,O,O
TZJLIOS,O,O,O,O
TZJLSIO,O,O,O,O
TZJLSOI,O,O,O,O
TZJLOIS,O,O,O,O
TZJLOSI,O,O,O,O
TZJSILO,O,O,O,O
TZJSIOL,O,O,O,O
TZJSLIO,O,O,O,O
TZJSLOI,O,O,O,O
TZJSOIL,O,O,O,O
TZJSOLI,O,O,O,O
TZJOILS,O,X,X,O
TZJOISL,O,O,X,O
TZJOLIS,O,X,X,O
TZJOLSI,O,X,X,O
TZJOSIL,O,O,X,O
TZJOSLI,O,O,X,O
TZSILJO,O,O,O,O
TZSILOJ,O,O,O,O
TZSIJLO,O,O,O,O
TZSIJOL,O,X,O,O
TZSIOLJ,O,O,O,O
TZSIOJL,O,X,O,O
TZSLIJO,O,O,O,O
TZSLIOJ,O,O,O,O
TZSLJIO,O,O,O,O
TZSLJOI,O,O,O,O
TZSLOIJ,O,O,O,O
TZSLOJI,O,O,O,O
TZSJILO,O,O,O,O
TZSJIOL,O,X,O,O
TZSJLIO,O,O,O,O
TZSJLOI,O,O,O,O
TZSJOIL,O,X,O,O
TZSJOLI,O,X,O,O
TZSOILJ,O,O,O,O
TZSOIJL,O,X,O,O
TZSOLIJ,O,O,O,O
TZSOLJI,O,O,O,O
TZSOJIL,O,X,O,O
TZSOJLI,O,X,O,O
TZOILJS,O,X,X,X
TZOILSJ,O,X,X,X
TZOIJLS,O,X,X,X
TZOIJSL,O,X,X,X
TZOISLJ,O,X,X,X
TZOISJL,O,X,X,X
TZOLIJS,O,X,X,X
TZOLISJ,O,X,X,X
TZOLJIS,O,X,X,X
TZOLJSI,O,X,X,X
TZOLSIJ,O,X,X,X
TZOLSJI,O,X,X,X
TZOJILS,O,X,X,X
TZOJISL,O,X,X,X
TZOJLIS,O,X,X,X
TZOJLSI,O,X,X,X
TZOJSIL,O,X,X,X
TZOJSLI,O,X,X,X
TZOSILJ,O,X,X,X
TZOSIJL,O,X,X,X
TZOSLIJ,O,X,X,X
TZOSLJI,O,X,X,X
TZOSJIL,O,X,X,X
TZOSJLI,O,X,X,X
TOILJSZ,O,O,X,X
TOILJZS,O,O,X,X
TOILSJZ,X,O,X,X
TOILSZJ,O,O,X,X
TOILZJS,O,O,X,X
TOILZSJ,O,O,X,X
TOIJLSZ,O,O,X,X
TOIJLZS,O,O,X,X
TOIJSLZ,O,O,X,X
TOIJSZL,O,O,X,X
TOIJZLS,O,X,X,X
TOIJZSL,O,O,X,X
TOISLJZ,X,O,X,X
TOISLZJ,O,O,X,X
TOISJLZ,O,X,X,X
TOISJZL,O,X,X,X
TOISZLJ,O,O,X,X
TOISZJL,O,X,X,X
TOIZLJS,O,X,X,X
TOIZLSJ,O,X,X,X
TOIZJLS,O,X,X,X
TOIZJSL,O,X,X,X
TOIZSLJ,O,X,X,X
TOIZSJL,O,X,X,X
TOLIJSZ,O,O,X,X
TOLIJZS,O,O,X,X
TOLISJZ,X,O,X,X
TOLISZJ,O,O,X,X
TOLIZJS,O,O,X,X
TOLIZSJ,O,O,X,X
TOLJISZ,O,O,X,X
TOLJIZS,O,O,X,X
TOLJSIZ,O,O,X,X
TOLJSZI,O,O,X,X
TOLJZIS,O,O,X,X
TOLJZSI,O,O,X,X
TOLSIJZ,X,O,X,X
TOLSIZJ,O,O,X,X
TOLSJIZ,X,O,X,X
TOLSJZI,X,O,X,X
TOLSZIJ,O,O,X,X
TOLSZJI,O,O,X,X
TOLZIJS,O,O,X,X
TOLZISJ,O,O,X,X
TOLZJIS,O,O,X,X
TOLZJSI,O,O,X,X
TOLZSIJ,O,O,X,X
TOLZSJI,O,O,X,X
TOJILSZ,O,O,X,X
TOJILZS,O,O,X,X
TOJISLZ,O,O,X,X
TOJISZL,O,O,X,X
TOJIZLS,O,X,X,X
TOJIZSL,O,O,X,X
TOJLISZ,O,O,X,X
TOJLIZS,O,O,X,X
TOJLSIZ,O,O,X,X
TOJLSZI,O,O,X,X
TOJLZIS,O,O,X,X
TOJLZSI,O,O,X,X
TOJSILZ,O,O,X,X
TOJSIZL,O,O,X,X
TOJSLIZ,O,O,X,X
TOJSLZI,O,O,X,X
TOJSZIL,O,O,X,X
TOJSZLI,O,O,X,X
TOJZILS,O,X,X,X
TOJZISL,O,O,X,X
TOJZLIS,O,X,X,X
TOJZLSI,O,X,X,X
TOJZSIL,O,O,X,X
TOJZSLI,O,O,X,X
TOSILJZ,X,O,X,X
TOSILZJ,O,O,X,X
TOSIJLZ,O,X,X,X
TOSIJZL,O,X,X,X
TOSIZLJ,O,O,X,X
TOSIZJL,O,X,X,X
TOSLIJZ,X,O,X,X
TOSLIZJ,O,O,X,X
TOSLJIZ,X,O,X,X
TOSLJZI,X,O,X,X
TOSLZIJ,O,O,X,X
TOSLZJI,O,O,X,X
TOSJILZ,O,X,X,X
TOSJIZL,O,X,X,X
TOSJLIZ,O,X,X,X
TOSJLZI,O,X,X,X
TOSJZIL,O,X,X,X
TOSJZLI,O,X,X,X
TOSZILJ,O,O,X,X
TOSZIJL,O,X,X,X
TOSZLIJ,O,O,X,X
TOSZLJI,O,O,X,X
TOSZJIL,O,X,X,X
TOSZJLI,O,X,X,X
TOZILJS,O,X,X,X
TOZILSJ,O,X,X,X
TOZIJLS,O,X,X,X
TOZIJSL,O,X,X,X
TOZISLJ,O,X,X,X
TOZISJL,O,X,X,X
TOZLIJS,O,X,X,X
TOZLISJ,O,X,X,X
TOZLJIS,O,X,X,X
TOZLJSI,O,X,X,X
TOZLSIJ,O,X,X,X
TOZLSJI,O,X,X,X
TOZJILS,O,X,X,X
TOZJISL,O,X,X,X
TOZJLIS,O,X,X,X
TOZJLSI,O,X,X,X
TOZJSIL,O,X,X,X
TOZJSLI,O,X,X,X
TOZSILJ,O,X,X,X
TOZSIJL,O,X,X,X
TOZSLIJ,O,X,X,X
TOZSLJI,O,X,X,X
TOZSJIL,O,X,X,X
TOZSJLI,O,X,X,X
ITLJSZO,X,O,X,X
ITLJSOZ,X,O,X,X
ITLJZSO,X,O,X,X
ITLJZOS,X,O,X,X
ITLJOSZ,X,O,X,X
ITLJOZS,X,O,X,X
ITLSJZO,X,O,O,X
ITLSJOZ,X,O,O,X
ITLSZJO,X,O,O,X
ITLSZOJ,X,O,O,X
ITLSOJZ,X,O,O,X
ITLSOZJ,X,O,O,X
ITLZJSO,X,O,O,X
ITLZJOS,X,O,O,X
ITLZSJO,X,O,O,X
ITLZSOJ,X,O,O,X
ITLZOJS,X,O,O,X
ITLZOSJ,X,O,O,X
ITLOJSZ,X,O,X,X
ITLOJZS,X,O,X,X
ITLOSJZ,X,O,O,X
ITLOSZJ,X,O,O,X
ITLOZJS,X,O,O,X
ITLOZSJ,X,O,O,X
ITJLSZO,O,O,X,X
ITJLSOZ,O,O,X,X
ITJLZSO,O,O,X,X
ITJLZOS,O,O,X,X
ITJLOSZ,O,O,X,X
ITJLOZS,O,O,X,X
ITJSLZO,O,O,X,O
ITJSLOZ,O,O,X,O
ITJSZLO,O,O,X,O
ITJSZOL,O,O,X,O
ITJSOLZ,O,O,X,O
ITJSOZL,O,O,X,O
ITJZLSO,O,O,X,O
ITJZLOS,O,O,X,O
ITJZSLO,O,O,X,O
ITJZSOL,O,O,X,O
ITJZOLS,O,X,X,O
ITJZOSL,O,O,X,O
ITJOLSZ,O,O,X,X
ITJOLZS,O,O,X,X
ITJOSLZ,O,O,X,O
ITJOSZL,O,O,X,O
ITJOZLS,O,X,X,O
ITJOZSL,O,O,X,O
ITSLJZO,O,O,O,O
ITSLJOZ,O,O,O,O
ITSLZJO,O,O,O,O
ITSLZOJ,O,O,O,O
ITSLOJZ,X,O,O,X
ITSLOZJ,O,O,O,X
ITSJLZO,O,O,O,O
ITSJLOZ,O,O,O,O
ITSJZLO,O,O,O,O
ITSJZOL,O,O,O,O
ITSJOLZ,O,O,X,O
ITSJOZL,O,O,X,O
ITSZLJO,O,O,O,O
ITSZLOJ,O,O,O,O
ITSZJLO,O,O,O,O
ITSZJOL,O,O,O,O
ITSZOLJ,O,O,O,O
ITSZOJL,O,X,O,O
ITSOLJZ,X,O,O,X
ITSOLZJ,O,O,O,X
ITSOJLZ,O,X,X,O
ITSOJZL,O,X,X,O
ITSOZLJ,O,O,O,O
ITSOZJL,O,X,O,O
ITZLJSO,O,O,O,O
ITZLJOS,O,O,O,O
ITZLSJO,O,O,O,O
ITZLSOJ,O,O,O,O
ITZLOJS,O,O,O,X
ITZLOSJ,O,O,O,X
ITZJLSO,O,O,O,O
ITZJLOS,O,O,O,O
ITZJSLO,O,O,O,O
ITZJSOL,O,O,O,O
ITZJOLS,O,X,X,O
ITZJOSL,O,O,X,O
ITZSLJO,O,O,O,O
ITZSLOJ,O,O,O,O
ITZSJLO,O,O,O,O
ITZSJOL,O,X,O,O
ITZSOLJ,O,O,O,O
ITZSOJL,O,X,O,O
ITZOLJS,O,X,X,X
ITZOLSJ,O,X,X,X
ITZOJLS,O,X,X,X
ITZOJSL,O,X,X,X
ITZOSLJ,O,X,X,X
ITZOSJL,O,X,X,X
ITOLJSZ,O,O,X,X
ITOLJZS,O,O,X,X
