sequence,v115@JhA8HeB8DeB8CeG8KeNEJvhFUhBanBziB5oBWrB3pB,v115@JhA8HeB8DeB8CeG8KeNEJvhFqlBmhBziB5oB0mB3pB
ILJZTSO,O,O
ILJZTOS,O,O
ILJZSTO,O,O
ILJZSOT,O,O
ILJZOTS,O,O
ILJZOST,O,O
ILJOTSZ,O,X
ILJOTZS,O,O
ILJOSTZ,O,X
ILJOSZT,O,X
ILJOZTS,O,O
ILJOZST,O,O
ILSTJZO,O,X
ILSTJOZ,O,X
ILSTZJO,X,O
ILSTZOJ,X,O
ILSTOJZ,O,X
ILSTOZJ,X,O
ILSJTZO,O,X
ILSJTOZ,O,X
ILSJZTO,O,X
ILSJZOT,O,X
ILSJOTZ,O,X
ILSJOZT,O,X
ILSZTJO,X,O
ILSZTOJ,X,O
ILSZJTO,X,O
ILSZJOT,X,O
ILSZOTJ,X,O
ILSZOJT,X,O
ILSOTJZ,O,X
ILSOTZJ,X,O
ILSOJTZ,O,X
ILSOJZT,O,X
ILSOZTJ,X,O
ILSOZJT,X,O
ILZTJSO,O,O
ILZTJOS,O,O
ILZTSJO,X,O
ILZTSOJ,X,O
ILZTOJS,O,O
ILZTOSJ,X,O
ILZJTSO,O,O
ILZJTOS,O,O
ILZJSTO,O,O
ILZJSOT,O,O
ILZJOTS,O,O
ILZJOST,O,O
ILZSTJO,X,O
ILZSTOJ,X,O
ILZSJTO,X,O
ILZSJOT,X,O
ILZSOTJ,X,O
ILZSOJT,X,O
ILZOTJS,O,O
ILZOTSJ,X,O
ILZOJTS,O,O
ILZOJST,O,O
ILZOSTJ,X,O
ILZOSJT,X,O
ILOTJSZ,O,X
ILOTJZS,O,O
ILOTSJZ,O,X
ILOTSZJ,X,O
ILOTZJS,O,O
ILOTZSJ,X,O
ILOJTSZ,O,X
ILOJTZS,O,O
ILOJSTZ,O,X
ILOJSZT,O,X
ILOJZTS,O,O
ILOJZST,O,O
ILOSTJZ,O,X
ILOSTZJ,X,O
ILOSJTZ,O,X
ILOSJZT,O,X
ILOSZTJ,X,O
ILOSZJT,X,O
ILOZTJS,O,O
ILOZTSJ,X,O
ILOZJTS,O,O
ILOZJST,O,O
ILOZSTJ,X,O
ILOZSJT,X,O
IJTLSZO,O,X
IJTLSOZ,O,X
IJTLZSO,O,O
IJTLZOS,O,O
IJTLOSZ,O,X
IJTLOZS,O,O
IJTSLZO,O,X
IJTSLOZ,O,X
IJTSZLO,O,X
IJTSZOL,O,X
IJTSOLZ,O,X
IJTSOZL,O,X
IJTZLSO,O,O
IJTZLOS,O,O
IJTZSLO,O,O
IJTZSOL,O,O
IJTZOLS,O,O
IJTZOSL,O,O
IJTOLSZ,O,X
IJTOLZS,O,O
IJTOSLZ,O,X
IJTOSZL,O,X
IJTOZLS,O,O
IJTOZSL,O,O
IJLTSZO,O,X
IJLTSOZ,O,X
IJLTZSO,O,O
IJLTZOS,O,O
IJLTOSZ,O,X
IJLTOZS,O,O
IJLSTZO,O,X
IJLSTOZ,O,X
IJLSZTO,O,X
IJLSZOT,O,X
IJLSOTZ,O,X
IJLSOZT,O,X
IJLZTSO,O,O
IJLZTOS,O,O
IJLZSTO,O,O
IJLZSOT,O,O
IJLZOTS,O,O
IJLZOST,O,O
IJLOTSZ,O,X
IJLOTZS,O,O
IJLOSTZ,O,X
IJLOSZT,O,X
IJLOZTS,O,O
IJLOZST,O,O
IJSTLZO,O,X
IJSTLOZ,O,X
IJSTZLO,O,X
IJSTZOL,O,X
IJSTOLZ,O,X
IJSTOZL,O,X
IJSLTZO,O,X
IJSLTOZ,O,X
IJSLZTO,O,X
IJSLZOT,O,X
IJSLOTZ,O,X
IJSLOZT,O,X
IJSZTLO,O,X
IJSZTOL,O,X
IJSZLTO,O,X
IJSZLOT,O,X
IJSZOTL,O,X
IJSZOLT,O,X
IJSOTLZ,O,X
IJSOTZL,O,X
IJSOLTZ,O,X
IJSOLZT,O,X
IJSOZTL,O,X
IJSOZLT,O,X
IJZTLSO,O,O
IJZTLOS,O,O
IJZTSLO,O,O
IJZTSOL,O,O
IJZTOLS,O,O
IJZTOSL,O,O
IJZLTSO,O,O
IJZLTOS,O,O
IJZLSTO,O,O
IJZLSOT,O,O
IJZLOTS,O,O
IJZLOST,O,O
IJZSTLO,O,O
IJZSTOL,O,O
IJZSLTO,O,O
IJZSLOT,O,O
IJZSOTL,O,O
IJZSOLT,O,O
IJZOTLS,O,O
IJZOTSL,O,O
IJZOLTS,O,O
IJZOLST,O,O
IJZOSTL,O,O
IJZOSLT,O,O
IJOTLSZ,O,X
IJOTLZS,O,O
IJOTSLZ,O,X
IJOTSZL,O,X
IJOTZLS,O,O
IJOTZSL,O,O
IJOLTSZ,O,X
IJOLTZS,O,O
IJOLSTZ,O,X
IJOLSZT,O,X
IJOLZTS,O,O
IJOLZST,O,O
IJOSTLZ,O,X
IJOSTZL,O,X
IJOSLTZ,O,X
IJOSLZT,O,X
IJOSZTL,O,X
IJOSZLT,O,X
IJOZTLS,O,O
IJOZTSL,O,O
IJOZLTS,O,O
IJOZLST,O,O
IJOZSTL,O,O
IJOZSLT,O,O
ISTLJZO,O,X
ISTLJOZ,O,X
ISTLZJO,X,O
ISTLZOJ,X,O
ISTLOJZ,O,X
ISTLOZJ,X,O
ISTJLZO,O,X
ISTJLOZ,O,X
ISTJZLO,O,X
ISTJZOL,O,X
ISTJOLZ,O,X
ISTJOZL,O,X
ISTZLJO,X,O
ISTZLOJ,X,O
ISTZJLO,X,O
ISTZJOL,X,O
ISTZOLJ,X,O
ISTZOJL,X,O
ISTOLJZ,O,X
ISTOLZJ,X,O
ISTOJLZ,O,X
ISTOJZL,O,X
ISTOZLJ,X,O
ISTOZJL,X,O
