sequence,v115@JhA8HeB8DeB8CeG8KeNEJvhFUhBanBziB5oBWrB3pB,v115@JhA8HeB8DeB8CeG8KeNEJvhFqlBmhBziB5oB0mB3pB
OIZLSJT,X,O
OIZJTLS,O,O
OIZJTSL,O,O
OIZJLTS,O,O
OIZJLST,O,O
OIZJSTL,O,O
OIZJSLT,O,O
OIZSTLJ,X,O
OIZSTJL,X,O
OIZSLTJ,X,O
OIZSLJT,X,O
OIZSJTL,X,O
OIZSJLT,X,O
OLTIJSZ,O,X
OLTIJZS,O,O
OLTISJZ,O,X
OLTISZJ,X,O
OLTIZJS,O,O
OLTIZSJ,X,O
OLTJISZ,O,X
OLTJIZS,O,O
OLTJSIZ,O,X
OLTJSZI,O,X
OLTJZIS,O,O
OLTJZSI,O,O
OLTSIJZ,O,X
OLTSIZJ,X,O
OLTSJIZ,O,X
OLTSJZI,O,X
OLTSZIJ,X,O
OLTSZJI,X,O
OLTZIJS,O,O
OLTZISJ,X,O
OLTZJIS,O,O
OLTZJSI,O,O
OLTZSIJ,X,O
OLTZSJI,X,O
OLITJSZ,O,X
OLITJZS,O,O
OLITSJZ,O,X
OLITSZJ,X,O
OLITZJS,O,O
OLITZSJ,X,O
OLIJTSZ,O,X
OLIJTZS,O,O
OLIJSTZ,O,X
OLIJSZT,O,X
OLIJZTS,O,O
OLIJZST,O,O
OLISTJZ,O,X
OLISTZJ,X,O
OLISJTZ,O,X
OLISJZT,O,X
OLISZTJ,X,O
OLISZJT,X,O
OLIZTJS,O,O
OLIZTSJ,X,O
OLIZJTS,O,O
OLIZJST,O,O
OLIZSTJ,X,O
OLIZSJT,X,O
OLJTISZ,O,X
OLJTIZS,O,O
OLJTSIZ,O,X
OLJTSZI,O,X
OLJTZIS,O,O
OLJTZSI,O,O
OLJITSZ,O,X
OLJITZS,O,O
OLJISTZ,O,X
OLJISZT,O,X
OLJIZTS,O,O
OLJIZST,O,O
OLJSTIZ,O,X
OLJSTZI,O,X
OLJSITZ,O,X
OLJSIZT,O,X
OLJSZTI,O,X
OLJSZIT,O,X
OLJZTIS,O,O
OLJZTSI,O,O
OLJZITS,O,O
OLJZIST,O,O
OLJZSTI,O,O
OLJZSIT,O,O
OLSTIJZ,O,X
OLSTIZJ,X,O
OLSTJIZ,O,X
OLSTJZI,O,X
OLSTZIJ,X,O
OLSTZJI,X,O
OLSITJZ,O,X
OLSITZJ,X,O
OLSIJTZ,O,X
OLSIJZT,O,X
OLSIZTJ,X,O
OLSIZJT,X,O
OLSJTIZ,O,X
OLSJTZI,O,X
OLSJITZ,O,X
OLSJIZT,O,X
OLSJZTI,O,X
OLSJZIT,O,X
OLSZTIJ,X,O
OLSZTJI,X,O
OLSZITJ,X,O
OLSZIJT,X,O
OLSZJTI,X,O
OLSZJIT,X,O
OLZTIJS,O,O
OLZTISJ,X,O
OLZTJIS,O,O
OLZTJSI,O,O
OLZTSIJ,X,O
OLZTSJI,X,O
OLZITJS,O,O
OLZITSJ,X,O
OLZIJTS,O,O
OLZIJST,O,O
OLZISTJ,X,O
OLZISJT,X,O
OLZJTIS,O,O
OLZJTSI,O,O
OLZJITS,O,O
OLZJIST,O,O
OLZJSTI,O,O
OLZJSIT,O,O
OLZSTIJ,X,O
OLZSTJI,X,O
OLZSITJ,X,O
OLZSIJT,X,O
OLZSJTI,X,O
OLZSJIT,X,O
OJTILSZ,O,X
OJTILZS,O,O
OJTISLZ,O,X
OJTISZL,O,X
OJTIZLS,O,O
OJTIZSL,O,O
OJTLISZ,O,X
OJTLIZS,O,O
OJTLSIZ,O,X
OJTLSZI,O,X
OJTLZIS,O,O
OJTLZSI,O,O
OJTSILZ,O,X
OJTSIZL,O,X
OJTSLIZ,O,X
OJTSLZI,O,X
OJTSZIL,O,X
OJTSZLI,O,X
OJTZILS,O,O
OJTZISL,O,O
OJTZLIS,O,O
OJTZLSI,O,O
OJTZSIL,O,O
OJTZSLI,O,O
OJITLSZ,O,X
OJITLZS,O,O
OJITSLZ,O,X
OJITSZL,O,X
OJITZLS,O,O
OJITZSL,O,O
OJILTSZ,O,X
OJILTZS,O,O
OJILSTZ,O,X
OJILSZT,O,X
OJILZTS,O,O
OJILZST,O,O
OJISTLZ,O,X
OJISTZL,O,X
OJISLTZ,O,X
OJISLZT,O,X
OJISZTL,O,X
OJISZLT,O,X
OJIZTLS,O,O
OJIZTSL,O,O
OJIZLTS,O,O
OJIZLST,O,O
OJIZSTL,O,O
OJIZSLT,O,O
OJLTISZ,O,X
OJLTIZS,O,O
OJLTSIZ,O,X
OJLTSZI,O,X
OJLTZIS,O,O
OJLTZSI,O,O
OJLITSZ,O,X
OJLITZS,O,O
OJLISTZ,O,X
OJLISZT,O,X
OJLIZTS,O,O
OJLIZST,O,O
OJLSTIZ,O,X
OJLSTZI,O,X
OJLSITZ,O,X
OJLSIZT,O,X
OJLSZTI,O,X
OJLSZIT,O,X
OJLZTIS,O,O
OJLZTSI,O,O
OJLZITS,O,O
OJLZIST,O,O
OJLZSTI,O,O
OJLZSIT,O,O
OJSTILZ,O,X
OJSTIZL,O,X
OJSTLIZ,O,X
OJSTLZI,O,X
OJSTZIL,O,X
OJSTZLI,O,X
OJSITLZ,O,X
OJSITZL,O,X
OJSILTZ,O,X
OJSILZT,O,X
OJSIZTL,O,X
OJSIZLT,O,X
OJSLTIZ,O,X
OJSLTZI,O,X
OJSLITZ,O,X
OJSLIZT,O,X
OJSLZTI,O,X
OJSLZIT,O,X
OJSZTIL,O,X
OJSZTLI,O,X
OJSZITL,O,X
OJSZILT,O,X
OJSZLTI,O,X
OJSZLIT,O,X
OJZTILS,O,O
OJZTISL,O,O
OJZTLIS,O,O
OJZTLSI,O,O
OJZTSIL,O,O
OJZTSLI,O,O
OJZITLS,O,O
OJZITSL,O,O
OJZILTS,O,O
OJZILST,O,O
OJZISTL,O,O
OJZISLT,O,O
OJZLTIS,O,O
OJZLTSI,O,O
OJZLITS,O,O
OJZLIST,O,O
OJZLSTI,O,O
OJZLSIT,O,O
OJZSTIL,O,O
OJZSTLI,O,O
OJZSITL,O,O
OJZSILT,O,O
OJZSLTI,O,O
OJZSLIT,O,O
OSTILJZ,O,X
OSTILZJ,X,O
OSTIJLZ,O,X
OSTIJZL,O,X
OSTIZLJ,X,O
OSTIZJL,X,O
OSTLIJZ,O,X
OSTLIZJ,X,O
OSTLJIZ,O,X
OSTLJZI,O,X
OSTLZIJ,X,O
OSTLZJI,X,O
OSTJILZ,O,X
OSTJIZL,O,X
OSTJLIZ,O,X
OSTJLZI,O,X
OSTJZIL,O,X
OSTJZLI,O,X
OSTZILJ,X,O
OSTZIJL,X,O
OSTZLIJ,X,O
OSTZLJI,X,O
OSTZJIL,X,O
OSTZJLI,X,O
OSITLJZ,O,X
OSITLZJ,X,O
OSITJLZ,O,X
OSITJZL,O,X
OSITZLJ,X,O
OSITZJL,X,O
OSILTJZ,O,X
OSILTZJ,X,O
OSILJTZ,O,X
OSILJZT,O,X
OSILZTJ,X,O
OSILZJT,X,O
OSIJTLZ,O,X
OSIJTZL,O,X
OSIJLTZ,O,X
OSIJLZT,O,X
OSIJZTL,O,X
OSIJZLT,O,X
OSIZTLJ,X,O
OSIZTJL,X,O
OSIZLTJ,X,O
OSIZLJT,X,O
OSIZJTL,X,O
OSIZJLT,X,O
OSLTIJZ,O,X
OSLTIZJ,X,O
OSLTJIZ,O,X
OSLTJZI,O,X
OSLTZIJ,X,O
OSLTZJI,X,O
OSLITJZ,O,X
OSLITZJ,X,O
OSLIJTZ,O,X
OSLIJZT,O,X
OSLIZTJ,X,O
OSLIZJT,X,O
OSLJTIZ,O,X
OSLJTZI,O,X
OSLJITZ,O,X
OSLJIZT,O,X
OSLJZTI,O,X
OSLJZIT,O,X
OSLZTIJ,X,O
OSLZTJI,X,O
OSLZITJ,X,O
OSLZIJT,X,O
OSLZJTI,X,O
OSLZJIT,X,O
OSJTILZ,O,X
OSJTIZL,O,X
OSJTLIZ,O,X
OSJTLZI,O,X
OSJTZIL,O,X
OSJTZLI,O,X
OSJITLZ,O,X
OSJITZL,O,X
OSJILTZ,O,X
OSJILZT,O,X
OSJIZTL,O,X
OSJIZLT,O,X
OSJLTIZ,O,X
OSJLTZI,O,X
OSJLITZ,O,X
OSJLIZT,O,X
OSJLZTI,O,X
OSJLZIT,O,X
OSJZTIL,O,X
OSJZTLI,O,X
OSJZITL,O,X
OSJZILT,O,X
OSJZLTI,O,X
OSJZLIT,O,X
OSZTILJ,X,O
OSZTIJL,X,O
OSZTLIJ,X,O
OSZTLJI,X,O
OSZTJIL,X,O
OSZTJLI,X,O
OSZITLJ,X,O
OSZITJL,X,O
OSZILTJ,X,O
OSZILJT,X,O
OSZIJTL,X,O
OSZIJLT,X,O
OSZLTIJ,X,O
OSZLTJI,X,O
OSZLITJ,X,O
OSZLIJT,X,O
OSZLJTI,X,O
OSZLJIT,X,O
OSZJTIL,X,O
OSZJTLI,X,O
OSZJITL,X,O
OSZJILT,X,O
OSZJLTI,X,O
OSZJLIT,X,O
OZTILJS,O,O
OZTILSJ,X,O
OZTIJLS,O,O
OZTIJSL,O,O
OZTISLJ,X,O
OZTISJL,X,O
OZTLIJS,O,O
OZTLISJ,X,O
OZTLJIS,O,O
OZTLJSI,O,O
OZTLSIJ,X,O
OZTLSJI,X,O
OZTJILS,O,O
OZTJISL,O,O
OZTJLIS,O,O
OZTJLSI,O,O
OZTJSIL,O,O
OZTJSLI,O,O
OZTSILJ,X,O
OZTSIJL,X,O
OZTSLIJ,X,O
OZTSLJI,X,O
OZTSJIL,X,O
OZTSJLI,X,O
OZITLJS,O,O
OZITLSJ,X,O
OZITJLS,O,O
OZITJSL,O,O
OZITSLJ,X,O
OZITSJL,X,O
OZILTJS,O,O
OZILTSJ,X,O
OZILJTS,O,O
OZILJST,O,O
OZILSTJ,X,O
OZILSJT,X,O
OZIJTLS,O,O
OZIJTSL,O,O
OZIJLTS,O,O
OZIJLST,O,O
OZIJSTL,O,O
OZIJSLT,O,O
OZISTLJ,X,O
OZISTJL,X,O
OZISLTJ,X,O
OZISLJT,X,O
OZISJTL,X,O
OZISJLT,X,O
OZLTIJS,O,O
OZLTISJ,X,O
OZLTJIS,O,O
OZLTJSI,O,O
OZLTSIJ,X,O
OZLTSJI,X,O
OZLITJS,O,O
OZLITSJ,X,O
OZLIJTS,O,O
OZLIJST,O,O
OZLISTJ,X,O
OZLISJT,X,O
OZLJTIS,O,O
OZLJTSI,O,O
OZLJITS,O,O
OZLJIST,O,O
OZLJSTI,O,O
OZLJSIT,O,O
OZLSTIJ,X,O
OZLSTJI,X,O
OZLSITJ,X,O
OZLSIJT,X,O
OZLSJTI,X,O
OZLSJIT,X,O
OZJTILS,O,O
OZJTISL,O,O
OZJTLIS,O,O
OZJTLSI,O,O
OZJTSIL,O,O
OZJTSLI,O,O
OZJITLS,O,O
OZJITSL,O,O
OZJILTS,O,O
OZJILST,O,O
OZJISTL,O,O
OZJISLT,O,O
OZJLTIS,O,O
OZJLTSI,O,O
OZJLITS,O,O
OZJLIST,O,O
OZJLSTI,O,O
OZJLSIT,O,O
OZJSTIL,O,O
OZJSTLI,O,O
OZJSITL,O,O
OZJSILT,O,O
OZJSLTI,O,O
OZJSLIT,O,O
OZSTILJ,X,O
OZSTIJL,X,O
OZSTLIJ,X,O
OZSTLJI,X,O
OZSTJIL,X,O
OZSTJLI,X,O
OZSITLJ,X,O
OZSITJL,X,O
OZSILTJ,X,O
OZSILJT,X,O
OZSIJTL,X,O
OZSIJLT,X,O
OZSLTIJ,X,O
OZSLTJI,X,O
OZSLITJ,X,O
OZSLIJT,X,O
OZSLJTI,X,O
OZSLJIT,X,O
OZSJTIL,X,O
OZSJTLI,X,O
OZSJITL,X,O
OZSJILT,X,O
OZSJLTI,X,O
OZSJLIT,X,O
