sequence,v115@FhA8IeA8FeD8AeC8CeC8Kei/IvhF3gBcmBTiB5oB1p?BWwB,v115@FhA8IeA8FeD8AeC8CeC8Kei/IvhFTiB5oB3kBFmB0q?BGrB,v115@FhA8IeA8FeD8AeC8CeC8Kei/IvhFGhBTiB5oB3kBlq?BUrB,v115@FhA8IeA8FeD8AeC8CeC8KeT/IvhFlgBGiB5oBypB8q?B3rB,v115@FhA8IeA8FeD8AeC8CeC8KeKEJvhFflBlgBcmBTiB5o?BWwB
LTSJZIO,O,X,O,X,O
LTSJZOI,O,X,O,X,O
LTSJOIZ,O,O,O,O,O
LTSJOZI,O,X,O,X,O
LTSZIJO,O,X,O,X,O
LTSZIOJ,O,O,O,X,O
LTSZJIO,O,X,O,X,O
LTSZJOI,O,X,O,X,O
LTSZOIJ,O,O,O,X,O
LTSZOJI,O,X,O,X,O
LTSOIJZ,O,O,O,O,O
LTSOIZJ,O,O,O,X,O
LTSOJIZ,O,O,O,O,O
LTSOJZI,O,X,O,X,O
LTSOZIJ,O,O,O,X,O
LTSOZJI,O,X,O,X,O
LTZIJSO,O,X,X,O,X
LTZIJOS,O,X,X,O,X
LTZISJO,O,X,X,O,O
LTZISOJ,O,X,X,O,O
LTZIOJS,O,X,X,O,X
LTZIOSJ,O,X,X,O,O
LTZJISO,O,X,X,O,X
LTZJIOS,O,X,X,O,X
LTZJSIO,O,X,X,O,X
LTZJSOI,O,X,X,O,X
LTZJOIS,O,X,X,O,X
LTZJOSI,O,X,X,O,X
LTZSIJO,O,X,X,O,O
LTZSIOJ,O,X,X,O,O
LTZSJIO,O,X,X,O,O
LTZSJOI,O,X,X,O,O
LTZSOIJ,O,X,X,O,O
LTZSOJI,O,X,X,O,O
LTZOIJS,O,X,X,O,X
LTZOISJ,O,X,X,O,O
LTZOJIS,O,X,X,O,X
LTZOJSI,O,X,X,O,X
LTZOSIJ,O,X,X,O,O
LTZOSJI,O,X,X,O,O
LTOIJSZ,O,X,O,O,X
LTOIJZS,O,X,X,O,X
LTOISJZ,O,O,O,O,O
LTOISZJ,O,O,O,X,O
LTOIZJS,O,X,X,O,X
LTOIZSJ,O,X,X,O,O
LTOJISZ,O,X,O,O,X
LTOJIZS,O,X,X,O,X
LTOJSIZ,O,X,O,O,X
LTOJSZI,O,X,O,X,X
LTOJZIS,O,X,X,O,X
LTOJZSI,O,X,X,O,X
LTOSIJZ,O,O,O,O,O
LTOSIZJ,O,O,O,X,O
LTOSJIZ,O,O,O,O,O
LTOSJZI,O,X,O,X,O
LTOSZIJ,O,O,O,X,O
LTOSZJI,O,X,O,X,O
LTOZIJS,O,X,X,O,X
LTOZISJ,O,X,X,O,O
LTOZJIS,O,X,X,O,X
LTOZJSI,O,X,X,O,X
LTOZSIJ,O,X,X,O,O
LTOZSJI,O,X,X,O,O
LITJSZO,O,X,O,X,X
LITJSOZ,O,X,O,O,X
LITJZSO,O,X,X,O,X
LITJZOS,O,X,X,O,X
LITJOSZ,O,X,O,O,X
LITJOZS,O,X,X,O,X
LITSJZO,O,X,O,X,O
LITSJOZ,O,O,O,O,O
LITSZJO,O,X,O,X,O
LITSZOJ,O,O,O,X,O
LITSOJZ,O,O,O,O,O
LITSOZJ,O,O,O,X,O
LITZJSO,O,X,X,O,X
LITZJOS,O,X,X,O,X
LITZSJO,O,X,X,O,O
LITZSOJ,O,X,X,O,O
LITZOJS,O,X,X,O,X
LITZOSJ,O,X,X,O,O
LITOJSZ,O,X,O,O,X
LITOJZS,O,X,X,O,X
LITOSJZ,O,O,O,O,O
LITOSZJ,O,O,O,X,O
LITOZJS,O,X,X,O,X
LITOZSJ,O,X,X,O,O
LIJTSZO,X,X,O,X,X
LIJTSOZ,X,X,O,O,X
LIJTZSO,X,X,X,O,X
LIJTZOS,X,X,X,O,X
LIJTOSZ,X,X,O,O,X
LIJTOZS,X,X,X,O,X
LIJSTZO,X,X,X,X,O
LIJSTOZ,X,X,O,O,O
LIJSZTO,X,X,X,O,O
LIJSZOT,X,X,O,O,O
LIJSOTZ,X,X,O,O,O
LIJSOZT,X,X,O,O,O
LIJZTSO,X,X,X,O,X
LIJZTOS,X,X,X,O,X
LIJZSTO,X,X,X,O,O
LIJZSOT,X,X,X,O,O
LIJZOTS,X,X,X,O,X
LIJZOST,X,X,X,O,O
LIJOTSZ,X,X,O,O,X
LIJOTZS,X,X,X,O,X
LIJOSTZ,X,X,O,O,O
LIJOSZT,X,X,O,O,O
LIJOZTS,X,X,X,O,X
LIJOZST,X,X,X,O,O
LISTJZO,X,X,O,X,O
LISTJOZ,X,O,O,O,O
LISTZJO,X,O,O,X,O
LISTZOJ,X,O,O,X,O
LISTOJZ,X,O,O,O,O
LISTOZJ,X,O,O,X,O
LISJTZO,X,X,O,X,O
LISJTOZ,X,O,O,O,O
LISJZTO,X,O,X,O,O
LISJZOT,X,O,O,O,O
LISJOTZ,X,O,O,O,O
LISJOZT,X,O,O,O,O
LISZTJO,X,O,O,O,O
LISZTOJ,X,O,O,O,O
LISZJTO,X,O,X,O,O
LISZJOT,X,O,O,O,O
LISZOTJ,X,O,O,O,O
LISZOJT,X,O,O,O,O
LISOTJZ,X,O,O,O,O
LISOTZJ,X,O,O,X,O
LISOJTZ,X,O,O,O,O
LISOJZT,X,O,O,O,O
LISOZTJ,X,O,O,O,O
LISOZJT,X,O,O,O,O
LIZTJSO,O,X,X,O,X
LIZTJOS,O,X,X,O,X
LIZTSJO,O,O,X,O,O
LIZTSOJ,O,O,X,O,O
LIZTOJS,O,X,X,O,X
LIZTOSJ,O,O,X,O,O
LIZJTSO,X,X,X,O,X
LIZJTOS,X,X,X,O,X
LIZJSTO,X,X,X,O,O
LIZJSOT,X,X,X,O,O
LIZJOTS,X,X,X,O,X
LIZJOST,X,X,X,O,O
LIZSTJO,O,O,X,O,O
LIZSTOJ,O,O,X,O,O
LIZSJTO,X,O,X,O,O
LIZSJOT,X,O,X,O,O
LIZSOTJ,O,O,X,O,O
LIZSOJT,X,O,X,O,O
LIZOTJS,O,X,X,O,X
LIZOTSJ,O,O,X,O,O
LIZOJTS,X,X,X,O,X
LIZOJST,X,X,X,O,O
LIZOSTJ,O,O,X,O,O
LIZOSJT,X,O,X,O,O
LIOTJSZ,O,X,O,O,X
LIOTJZS,O,X,X,O,X
LIOTSJZ,O,O,O,O,O
LIOTSZJ,O,O,O,X,O
LIOTZJS,O,X,X,O,X
LIOTZSJ,O,X,X,O,O
LIOJTSZ,X,X,O,O,X
LIOJTZS,X,X,X,O,X
LIOJSTZ,X,X,O,O,O
LIOJSZT,X,X,O,O,O
LIOJZTS,X,X,X,O,X
LIOJZST,X,X,X,O,O
LIOSTJZ,X,O,O,O,O
LIOSTZJ,X,O,O,X,O
LIOSJTZ,X,O,O,O,O
LIOSJZT,X,O,O,O,O
LIOSZTJ,X,O,O,O,O
LIOSZJT,X,O,O,O,O
LIOZTJS,O,X,X,O,X
LIOZTSJ,O,O,X,O,O
LIOZJTS,X,X,X,O,X
LIOZJST,X,X,X,O,O
LIOZSTJ,O,O,X,O,O
LIOZSJT,X,O,X,O,O
LJTISZO,X,X,O,X,X
LJTISOZ,X,X,O,O,X
LJTIZSO,X,X,X,O,X
LJTIZOS,X,X,X,O,X
LJTIOSZ,X,X,O,O,X
LJTIOZS,X,X,X,O,X
LJTSIZO,X,X,O,X,X
LJTSIOZ,X,X,O,O,X
LJTSZIO,X,X,O,X,X
LJTSZOI,X,X,O,X,X
LJTSOIZ,X,X,O,O,X
LJTSOZI,X,X,O,X,X
LJTZISO,X,X,X,O,X
LJTZIOS,X,X,X,O,X
LJTZSIO,X,X,X,O,X
LJTZSOI,X,X,X,O,X
LJTZOIS,X,X,X,O,X
LJTZOSI,X,X,X,O,X
LJTOISZ,X,X,O,O,X
LJTOIZS,X,X,X,O,X
LJTOSIZ,X,X,O,O,X
LJTOSZI,X,X,O,X,X
LJTOZIS,X,X,X,O,X
LJTOZSI,X,X,X,O,X
LJITSZO,X,X,O,X,X
LJITSOZ,X,X,O,O,X
LJITZSO,X,X,X,O,X
LJITZOS,X,X,X,O,X
LJITOSZ,X,X,O,O,X
LJITOZS,X,X,X,O,X
LJISTZO,X,X,X,X,O
LJISTOZ,X,X,O,O,O
LJISZTO,X,X,X,O,O
LJISZOT,X,X,O,O,O
LJISOTZ,X,X,O,O,O
LJISOZT,X,X,O,O,O
LJIZTSO,X,X,X,O,X
LJIZTOS,X,X,X,O,X
LJIZSTO,X,X,X,O,O
LJIZSOT,X,X,X,O,O
LJIZOTS,X,X,X,O,X
LJIZOST,X,X,X,O,O
LJIOTSZ,X,X,O,O,X
LJIOTZS,X,X,X,O,X
LJIOSTZ,X,X,O,O,O
LJIOSZT,X,X,O,O,O
LJIOZTS,X,X,X,O,X
LJIOZST,X,X,X,O,O
LJSTIZO,X,X,X,X,O
LJSTIOZ,X,X,O,O,O
LJSTZIO,X,X,X,X,O
LJSTZOI,X,X,X,X,O
LJSTOIZ,X,X,O,O,O
LJSTOZI,X,X,X,X,O
LJSITZO,X,X,X,X,O
LJSITOZ,X,X,O,O,O
LJSIZTO,X,X,X,O,O
LJSIZOT,X,X,O,O,O
LJSIOTZ,X,X,O,O,O
LJSIOZT,X,X,O,O,O
LJSZTIO,X,X,X,O,O
LJSZTOI,X,X,X,O,O
LJSZITO,X,X,X,O,O
LJSZIOT,X,X,O,O,O
LJSZOTI,X,X,X,O,O
LJSZOIT,X,X,O,O,O
LJSOTIZ,X,X,O,O,O
LJSOTZI,X,X,X,X,O
LJSOITZ,X,X,O,O,O
LJSOIZT,X,X,O,O,O
LJSOZTI,X,X,X,O,O
LJSOZIT,X,X,O,O,O
LJZTISO,X,X,X,O,X
LJZTIOS,X,X,X,O,X
LJZTSIO,X,X,X,O,X
LJZTSOI,X,X,X,O,X
LJZTOIS,X,X,X,O,X
LJZTOSI,X,X,X,O,X
LJZITSO,X,X,X,O,X
LJZITOS,X,X,X,O,X
LJZISTO,X,X,X,O,O
LJZISOT,X,X,X,O,O
LJZIOTS,X,X,X,O,X
LJZIOST,X,X,X,O,O
LJZSTIO,X,X,X,O,O
LJZSTOI,X,X,X,O,O
LJZSITO,X,X,X,O,O
LJZSIOT,X,X,X,O,O
LJZSOTI,X,X,X,O,O
LJZSOIT,X,X,X,O,O
LJZOTIS,X,X,X,O,X
LJZOTSI,X,X,X,O,X
LJZOITS,X,X,X,O,X
LJZOIST,X,X,X,O,O
LJZOSTI,X,X,X,O,O
LJZOSIT,X,X,X,O,O
LJOTISZ,X,X,O,O,X
LJOTIZS,X,X,X,O,X
LJOTSIZ,X,X,O,O,X
LJOTSZI,X,X,O,X,X
LJOTZIS,X,X,X,O,X
LJOTZSI,X,X,X,O,X
LJOITSZ,X,X,O,O,X
LJOITZS,X,X,X,O,X
LJOISTZ,X,X,O,O,O
LJOISZT,X,X,O,O,O
LJOIZTS,X,X,X,O,X
LJOIZST,X,X,X,O,O
LJOSTIZ,X,X,O,O,O
LJOSTZI,X,X,X,X,O
LJOSITZ,X,X,O,O,O
LJOSIZT,X,X,O,O,O
LJOSZTI,X,X,X,O,O
LJOSZIT,X,X,O,O,O
LJOZTIS,X,X,X,O,X
LJOZTSI,X,X,X,O,X
LJOZITS,X,X,X,O,X
LJOZIST,X,X,X,O,O
LJOZSTI,X,X,X,O,O
LJOZSIT,X,X,X,O,O
LSTIJZO,X,X,O,X,O
LSTIJOZ,X,O,O,O,O
LSTIZJO,X,O,O,X,O
LSTIZOJ,X,O,O,X,O
LSTIOJZ,X,O,O,O,O
LSTIOZJ,X,O,O,X,O
LSTJIZO,X,X,O,X,O
LSTJIOZ,X,O,O,O,O
LSTJZIO,X,X,O,X,O
LSTJZOI,X,X,O,X,O
LSTJOIZ,X,O,O,O,O
LSTJOZI,X,X,O,X,O
LSTZIJO,X,O,O,X,O
LSTZIOJ,X,O,O,X,O
LSTZJIO,X,O,O,X,O
LSTZJOI,X,O,O,X,O
LSTZOIJ,X,O,O,X,O
LSTZOJI,X,O,O,X,O
LSTOIJZ,X,O,O,O,O
LSTOIZJ,X,O,O,X,O
LSTOJIZ,X,O,O,O,O
LSTOJZI,X,X,O,X,O
LSTOZIJ,X,O,O,X,O
LSTOZJI,X,O,O,X,O
LSITJZO,X,X,O,X,O
LSITJOZ,X,O,O,O,O
LSITZJO,X,O,O,X,O
LSITZOJ,X,O,O,X,O
LSITOJZ,X,O,O,O,O
LSITOZJ,X,O,O,X,O
LSIJTZO,X,X,O,X,O
LSIJTOZ,X,O,O,O,O
LSIJZTO,X,O,X,O,O
LSIJZOT,X,O,O,O,O
LSIJOTZ,X,O,O,O,O
LSIJOZT,X,O,O,O,O
LSIZTJO,X,O,O,O,O
LSIZTOJ,X,O,O,O,O
LSIZJTO,X,O,X,O,O
LSIZJOT,X,O,O,O,O
LSIZOTJ,X,O,O,O,O
LSIZOJT,X,O,O,O,O
LSIOTJZ,X,O,O,O,O
LSIOTZJ,X,O,O,X,O
LSIOJTZ,X,O,O,O,O
LSIOJZT,X,O,O,O,O
LSIOZTJ,X,O,O,O,O
LSIOZJT,X,O,O,O,O
LSJTIZO,X,X,O,X,O
LSJTIOZ,X,O,O,O,O
LSJTZIO,X,X,O,X,O
LSJTZOI,X,X,O,X,O
LSJTOIZ,X,O,O,O,O
LSJTOZI,X,X,O,X,O
LSJITZO,X,X,O,X,O
LSJITOZ,X,O,O,O,O
LSJIZTO,X,O,X,O,O
LSJIZOT,X,O,O,O,O
LSJIOTZ,X,O,O,O,O
LSJIOZT,X,O,O,O,O
LSJZTIO,X,O,X,O,O
LSJZTOI,X,O,X,O,O
LSJZITO,X,O,X,O,O
LSJZIOT,X,O,O,O,O
LSJZOTI,X,O,X,O,O
LSJZOIT,X,O,O,O,O
LSJOTIZ,X,O,O,O,O
LSJOTZI,X,X,O,X,O
LSJOITZ,X,O,O,O,O
LSJOIZT,X,O,O,O,O
LSJOZTI,X,O,X,O,O
LSJOZIT,X,O,O,O,O
LSZTIJO,X,O,O,O,O
LSZTIOJ,X,O,O,O,O
LSZTJIO,X,O,O,O,O
LSZTJOI,X,O,O,O,O
LSZTOIJ,X,O,O,O,O
LSZTOJI,X,O,O,O,O
LSZITJO,X,O,O,O,O
LSZITOJ,X,O,O,O,O
LSZIJTO,X,O,X,O,O
LSZIJOT,X,O,O,O,O
LSZIOTJ,X,O,O,O,O
LSZIOJT,X,O,O,O,O
LSZJTIO,X,O,X,O,O
LSZJTOI,X,O,X,O,O
LSZJITO,X,O,X,O,O
LSZJIOT,X,O,O,O,O
LSZJOTI,X,O,X,O,O
LSZJOIT,X,O,O,O,O
LSZOTIJ,X,O,O,O,O
LSZOTJI,X,O,O,O,O
LSZOITJ,X,O,O,O,O
LSZOIJT,X,O,O,O,O
LSZOJTI,X,O,X,O,O
LSZOJIT,X,O,O,O,O
LSOTIJZ,X,O,O,O,O
LSOTIZJ,X,O,O,X,O
LSOTJIZ,X,O,O,O,O
LSOTJZI,X,X,O,X,O
LSOTZIJ,X,O,O,X,O
LSOTZJI,X,O,O,X,O
LSOITJZ,X,O,O,O,O
LSOITZJ,X,O,O,X,O
LSOIJTZ,X,O,O,O,O
LSOIJZT,X,O,O,O,O
LSOIZTJ,X,O,O,O,O
LSOIZJT,X,O,O,O,O
LSOJTIZ,X,O,O,O,O
LSOJTZI,X,X,O,X,O
LSOJITZ,X,O,O,O,O
LSOJIZT,X,O,O,O,O
LSOJZTI,X,O,X,O,O
LSOJZIT,X,O,O,O,O
LSOZTIJ,X,O,O,O,O
LSOZTJI,X,O,O,O,O
LSOZITJ,X,O,O,O,O
LSOZIJT,X,O,O,O,O
LSOZJTI,X,O,X,O,O
LSOZJIT,X,O,O,O,O
LZTIJSO,O,X,X,O,X
LZTIJOS,O,X,X,O,X
LZTISJO,O,O,X,O,O
LZTISOJ,O,O,X,O,O
LZTIOJS,O,X,X,O,X
LZTIOSJ,O,O,X,O,O
LZTJISO,O,X,X,O,X
LZTJIOS,O,X,X,O,X
LZTJSIO,O,X,X,O,X
LZTJSOI,O,X,X,O,X
LZTJOIS,O,X,X,O,X
LZTJOSI,O,X,X,O,X
LZTSIJO,O,O,X,O,O
LZTSIOJ,O,O,X,O,O
LZTSJIO,O,O,X,O,O
LZTSJOI,O,O,X,O,O
LZTSOIJ,O,O,X,O,O
LZTSOJI,O,O,X,O,O
LZTOIJS,O,X,X,O,X
LZTOISJ,O,O,X,O,O
LZTOJIS,O,X,X,O,X
LZTOJSI,O,X,X,O,X
LZTOSIJ,O,O,X,O,O
LZTOSJI,O,O,X,O,O
LZITJSO,O,X,X,O,X
LZITJOS,O,X,X,O,X
LZITSJO,O,O,X,O,O
LZITSOJ,O,O,X,O,O
LZITOJS,O,X,X,O,X
LZITOSJ,O,O,X,O,O
LZIJTSO,X,X,X,O,X
LZIJTOS,X,X,X,O,X
LZIJSTO,X,X,X,O,O
LZIJSOT,X,X,X,O,O
LZIJOTS,X,X,X,O,X
LZIJOST,X,X,X,O,O
LZISTJO,O,O,X,O,O
LZISTOJ,O,O,X,O,O
LZISJTO,X,O,X,O,O
LZISJOT,X,O,X,O,O
LZISOTJ,O,O,X,O,O
LZISOJT,X,O,X,O,O
LZIOTJS,O,X,X,O,X
LZIOTSJ,O,O,X,O,O
LZIOJTS,X,X,X,O,X
LZIOJST,X,X,X,O,O
LZIOSTJ,O,O,X,O,O
LZIOSJT,X,O,X,O,O
LZJTISO,X,X,X,O,X
LZJTIOS,X,X,X,O,X
LZJTSIO,X,X,X,O,X
LZJTSOI,X,X,X,O,X
LZJTOIS,X,X,X,O,X
LZJTOSI,X,X,X,O,X
LZJITSO,X,X,X,O,X
LZJITOS,X,X,X,O,X
LZJISTO,X,X,X,O,O
LZJISOT,X,X,X,O,O
LZJIOTS,X,X,X,O,X
LZJIOST,X,X,X,O,O
LZJSTIO,X,X,X,O,O
LZJSTOI,X,X,X,O,O
LZJSITO,X,X,X,O,O
LZJSIOT,X,X,X,O,O
LZJSOTI,X,X,X,O,O
LZJSOIT,X,X,X,O,O
LZJOTIS,X,X,X,O,X
LZJOTSI,X,X,X,O,X
LZJOITS,X,X,X,O,X
LZJOIST,X,X,X,O,O
LZJOSTI,X,X,X,O,O
LZJOSIT,X,X,X,O,O
LZSTIJO,O,O,X,O,O
LZSTIOJ,O,O,X,O,O
LZSTJIO,O,O,X,O,O
LZSTJOI,O,O,X,O,O
LZSTOIJ,O,O,X,O,O
LZSTOJI,O,O,X,O,O
LZSITJO,O,O,X,O,O
LZSITOJ,O,O,X,O,O
LZSIJTO,X,O,X,O,O
LZSIJOT,X,O,X,O,O
LZSIOTJ,O,O,X,O,O
LZSIOJT,X,O,X,O,O
LZSJTIO,X,O,X,O,O
LZSJTOI,X,O,X,O,O
LZSJITO,X,O,X,O,O
LZSJIOT,X,O,X,O,O
LZSJOTI,X,O,X,O,O
LZSJOIT,X,O,X,O,O
LZSOTIJ,O,O,X,O,O
LZSOTJI,O,O,X,O,O
LZSOITJ,O,O,X,O,O
LZSOIJT,X,O,X,O,O
LZSOJTI,X,O,X,O,O
LZSOJIT,X,O,X,O,O
LZOTIJS,O,X,X,O,X
LZOTISJ,O,O,X,O,O
LZOTJIS,O,X,X,O,X
LZOTJSI,O,X,X,O,X
LZOTSIJ,O,O,X,O,O
LZOTSJI,O,O,X,O,O
LZOITJS,O,X,X,O,X
LZOITSJ,O,O,X,O,O
LZOIJTS,X,X,X,O,X
LZOIJST,X,X,X,O,O
LZOISTJ,O,O,X,O,O
LZOISJT,X,O,X,O,O
LZOJTIS,X,X,X,O,X
LZOJTSI,X,X,X,O,X
LZOJITS,X,X,X,O,X
LZOJIST,X,X,X,O,O
LZOJSTI,X,X,X,O,O
LZOJSIT,X,X,X,O,O
LZOSTIJ,O,O,X,O,O
LZOSTJI,O,O,X,O,O
LZOSITJ,O,O,X,O,O
LZOSIJT,X,O,X,O,O
LZOSJTI,X,O,X,O,O
LZOSJIT,X,O,X,O,O
LOTIJSZ,O,X,O,O,X
LOTIJZS,O,X,X,O,X
LOTISJZ,O,O,O,O,O
LOTISZJ,O,O,O,X,O
LOTIZJS,O,X,X,O,X
LOTIZSJ,O,X,X,O,O
LOTJISZ,O,X,O,O,X
LOTJIZS,O,X,X,O,X
LOTJSIZ,O,X,O,O,X
LOTJSZI,O,X,O,X,X
LOTJZIS,O,X,X,O,X
LOTJZSI,O,X,X,O,X
LOTSIJZ,O,O,O,O,O
LOTSIZJ,O,O,O,X,O
LOTSJIZ,O,O,O,O,O
LOTSJZI,O,X,O,X,O
LOTSZIJ,O,O,O,X,O
LOTSZJI,O,X,O,X,O
LOTZIJS,O,X,X,O,X
LOTZISJ,O,X,X,O,O
LOTZJIS,O,X,X,O,X
LOTZJSI,O,X,X,O,X
LOTZSIJ,O,X,X,O,O
LOTZSJI,O,X,X,O,O
LOITJSZ,O,X,O,O,X
LOITJZS,O,X,X,O,X
LOITSJZ,O,O,O,O,O
LOITSZJ,O,O,O,X,O
LOITZJS,O,X,X,O,X
LOITZSJ,O,X,X,O,O
LOIJTSZ,X,X,O,O,X
LOIJTZS,X,X,X,O,X
LOIJSTZ,X,X,O,O,O
LOIJSZT,X,X,O,O,O
LOIJZTS,X,X,X,O,X
LOIJZST,X,X,X,O,O
LOISTJZ,X,O,O,O,O
LOISTZJ,X,O,O,X,O
LOISJTZ,X,O,O,O,O
LOISJZT,X,O,O,O,O
LOISZTJ,X,O,O,O,O
LOISZJT,X,O,O,O,O
LOIZTJS,O,X,X,O,X
LOIZTSJ,O,O,X,O,O
LOIZJTS,X,X,X,O,X
LOIZJST,X,X,X,O,O
LOIZSTJ,O,O,X,O,O
LOIZSJT,X,O,X,O,O
LOJTISZ,X,X,O,O,X
LOJTIZS,X,X,X,O,X
LOJTSIZ,X,X,O,O,X
LOJTSZI,X,X,O,X,X
LOJTZIS,X,X,X,O,X
LOJTZSI,X,X,X,O,X
LOJITSZ,X,X,O,O,X
LOJITZS,X,X,X,O,X
LOJISTZ,X,X,O,O,O
LOJISZT,X,X,O,O,O
LOJIZTS,X,X,X,O,X
LOJIZST,X,X,X,O,O
LOJSTIZ,X,X,O,O,O
LOJSTZI,X,X,X,X,O
LOJSITZ,X,X,O,O,O
LOJSIZT,X,X,O,O,O
LOJSZTI,X,X,X,O,O
LOJSZIT,X,X,O,O,O
LOJZTIS,X,X,X,O,X
LOJZTSI,X,X,X,O,X
LOJZITS,X,X,X,O,X
LOJZIST,X,X,X,O,O
LOJZSTI,X,X,X,O,O
LOJZSIT,X,X,X,O,O
LOSTIJZ,X,O,O,O,O
LOSTIZJ,X,O,O,X,O
LOSTJIZ,X,O,O,O,O
LOSTJZI,X,X,O,X,O
LOSTZIJ,X,O,O,X,O
LOSTZJI,X,O,O,X,O
LOSITJZ,X,O,O,O,O
LOSITZJ,X,O,O,X,O
LOSIJTZ,X,O,O,O,O
LOSIJZT,X,O,O,O,O
LOSIZTJ,X,O,O,O,O
LOSIZJT,X,O,O,O,O
LOSJTIZ,X,O,O,O,O
LOSJTZI,X,X,O,X,O
LOSJITZ,X,O,O,O,O
LOSJIZT,X,O,O,O,O
LOSJZTI,X,O,X,O,O
LOSJZIT,X,O,O,O,O
LOSZTIJ,X,O,O,O,O
LOSZTJI,X,O,O,O,O
LOSZITJ,X,O,O,O,O
LOSZIJT,X,O,O,O,O
LOSZJTI,X,O,X,O,O
LOSZJIT,X,O,O,O,O
LOZTIJS,O,X,X,O,X
LOZTISJ,O,O,X,O,O
LOZTJIS,O,X,X,O,X
LOZTJSI,O,X,X,O,X
LOZTSIJ,O,O,X,O,O
LOZTSJI,O,O,X,O,O
LOZITJS,O,X,X,O,X
LOZITSJ,O,O,X,O,O
LOZIJTS,X,X,X,O,X
LOZIJST,X,X,X,O,O
LOZISTJ,O,O,X,O,O
LOZISJT,X,O,X,O,O
LOZJTIS,X,X,X,O,X
LOZJTSI,X,X,X,O,X
LOZJITS,X,X,X,O,X
LOZJIST,X,X,X,O,O
LOZJSTI,X,X,X,O,O
LOZJSIT,X,X,X,O,O
LOZSTIJ,O,O,X,O,O
LOZSTJI,O,O,X,O,O
LOZSITJ,O,O,X,O,O
LOZSIJT,X,O,X,O,O
LOZSJTI,X,O,X,O,O
LOZSJIT,X,O,X,O,O
JTILSZO,O,X,O,X,X
JTILSOZ,O,X,O,O,X
JTILZSO,O,X,X,O,X
JTILZOS,O,X,X,O,X
JTILOSZ,O,X,O,O,X
JTILOZS,O,X,X,O,X
JTISLZO,O,X,O,X,X
JTISLOZ,O,O,O,X,X
JTISZLO,O,X,O,X,X
JTISZOL,O,X,O,X,X
JTISOLZ,O,O,O,X,X
JTISOZL,O,X,O,X,X
JTIZLSO,O,X,X,O,X
JTIZLOS,O,X,X,O,X
JTIZSLO,O,X,O,O,X
JTIZSOL,O,X,O,X,X
JTIZOLS,O,X,X,O,X
JTIZOSL,O,X,O,X,X
JTIOLSZ,O,X,O,X,X
JTIOLZS,O,X,X,X,X
JTIOSLZ,O,O,O,X,X
JTIOSZL,O,X,O,X,X
JTIOZLS,O,X,X,X,X
JTIOZSL,O,X,O,X,X
JTLISZO,O,X,O,X,X
JTLISOZ,O,X,O,O,X
JTLIZSO,O,X,X,O,X
JTLIZOS,O,X,X,O,X
JTLIOSZ,O,X,O,O,X
JTLIOZS,O,X,X,O,X
JTLSIZO,O,X,O,X,X
JTLSIOZ,O,X,O,O,X
JTLSZIO,O,X,O,X,X
JTLSZOI,O,X,O,X,X
JTLSOIZ,O,X,O,O,X
JTLSOZI,O,X,O,X,X
JTLZISO,O,X,X,O,X
JTLZIOS,O,X,X,O,X
JTLZSIO,O,X,X,O,X
JTLZSOI,O,X,X,O,X
JTLZOIS,O,X,X,O,X
JTLZOSI,O,X,X,O,X
JTLOISZ,O,X,O,O,X
JTLOIZS,O,X,X,O,X
JTLOSIZ,O,X,O,O,X
JTLOSZI,O,X,O,X,X
JTLOZIS,O,X,X,O,X
JTLOZSI,O,X,X,O,X
JTSILZO,O,X,O,X,X
JTSILOZ,O,O,O,X,X
JTSIZLO,O,X,O,X,X
JTSIZOL,O,X,O,X,X
JTSIOLZ,O,O,O,X,X
JTSIOZL,O,X,O,X,X
JTSLIZO,O,X,O,X,X
JTSLIOZ,O,O,O,X,X
JTSLZIO,O,X,O,X,X
JTSLZOI,O,X,O,X,X
JTSLOIZ,O,O,O,X,X
JTSLOZI,O,X,O,X,X
JTSZILO,O,X,O,X,X
JTSZIOL,O,X,O,X,X
JTSZLIO,O,X,O,X,X
JTSZLOI,O,X,O,X,X
JTSZOIL,O,X,O,X,X
JTSZOLI,O,X,O,X,X
JTSOILZ,O,O,O,X,X
JTSOIZL,O,X,O,X,X
JTSOLIZ,O,O,O,X,X
JTSOLZI,O,X,O,X,X
JTSOZIL,O,X,O,X,X
JTSOZLI,O,X,O,X,X
JTZILSO,O,X,X,O,X
JTZILOS,O,X,X,O,X
JTZISLO,O,X,O,O,X
JTZISOL,O,X,O,X,X
JTZIOLS,O,X,X,O,X
JTZIOSL,O,X,O,X,X
JTZLISO,O,X,X,O,X
JTZLIOS,O,X,X,O,X
JTZLSIO,O,X,X,O,X
JTZLSOI,O,X,X,O,X
JTZLOIS,O,X,X,O,X
JTZLOSI,O,X,X,O,X
JTZSILO,O,X,O,O,X
JTZSIOL,O,X,O,X,X
JTZSLIO,O,X,O,O,X
JTZSLOI,O,X,O,O,X
JTZSOIL,O,X,O,X,X
JTZSOLI,O,X,O,X,X
JTZOILS,O,X,X,O,X
JTZOISL,O,X,O,X,X
JTZOLIS,O,X,X,O,X
JTZOLSI,O,X,X,O,X
JTZOSIL,O,X,O,X,X
JTZOSLI,O,X,O,X,X
JTOILSZ,O,X,O,X,X
JTOILZS,O,X,X,X,X
JTOISLZ,O,O,O,X,X
