sequence,v115@QhA8AeA8EeC8CeG8JexBJvhFXjBOpByqBzmBcqBlpB,v115@QhA8AeA8EeC8CeG8JeZEJvhFfmBFjBUlBCnBmmBzpB,v115@QhA8AeA8EeC8CeG8JeZEJvhFWmBFjBUlBXnBimBzpB,v115@QhA8AeA8EeC8CeG8JeT/IvhFKlBXjBRmBUmBFnB2uB,v115@QhA8AeA8EeC8CeG8JeZEJvhFUhBOnBXjBFlBSrBzpB,v115@QhA8AeA8EeC8CeG8Jel/IvhFThBOnBXjBKpBxqBcqB,v115@QhA8AeA8EeC8CeG8JeFDJvhFOpBxlBXnBTlBimB0pB,v115@QhA8AeA8EeC8CeG8JecEJvhFFjBxlBXnBTlBimB2uB
ISLJZOT,X,X,X,O,X,O,X,X
ISLJOTZ,O,X,X,O,X,O,X,X
ISLJOZT,O,X,X,O,X,O,X,X
ISLZTJO,X,O,O,X,X,X,X,O
ISLZTOJ,X,O,X,X,X,X,X,O
ISLZJTO,X,O,O,X,X,O,X,X
ISLZJOT,X,X,X,O,X,O,X,X
ISLZOTJ,X,O,X,O,X,X,X,X
ISLZOJT,X,X,X,O,X,O,X,X
ISLOTJZ,O,X,X,O,X,O,X,X
ISLOTZJ,X,O,X,O,X,X,X,X
ISLOJTZ,O,X,X,O,X,O,X,X
ISLOJZT,O,X,X,O,X,O,X,X
ISLOZTJ,X,O,X,O,X,X,X,X
ISLOZJT,O,X,X,O,X,O,X,X
ISJTLZO,X,O,O,X,O,X,O,X
ISJTLOZ,X,X,X,X,X,X,O,X
ISJTZLO,X,O,O,X,O,X,O,O
ISJTZOL,X,X,O,X,O,X,O,O
ISJTOLZ,O,X,X,X,X,X,O,X
ISJTOZL,X,X,O,X,O,X,O,X
ISJLTZO,X,O,O,X,O,O,O,X
ISJLTOZ,X,X,X,O,X,O,O,X
ISJLZTO,X,O,O,X,X,O,X,X
ISJLZOT,X,X,X,O,X,O,X,X
ISJLOTZ,O,X,X,O,X,O,X,X
ISJLOZT,O,X,X,O,X,O,X,X
ISJZTLO,X,O,O,X,O,X,O,O
ISJZTOL,X,X,O,X,O,X,O,O
ISJZLTO,X,O,O,X,X,X,X,X
ISJZLOT,X,X,X,X,X,X,X,X
ISJZOTL,X,X,O,X,X,X,X,X
ISJZOLT,O,X,X,X,X,X,X,X
ISJOTLZ,O,X,X,X,X,X,O,X
ISJOTZL,X,X,O,X,O,X,O,X
ISJOLTZ,O,X,X,O,X,X,X,X
ISJOLZT,O,X,X,O,X,X,X,X
ISJOZTL,X,X,O,X,X,X,X,X
ISJOZLT,O,X,X,X,X,X,X,X
ISZTLJO,X,O,O,X,O,X,X,O
ISZTLOJ,X,O,X,X,X,X,X,O
ISZTJLO,X,O,O,X,O,X,O,O
ISZTJOL,X,X,O,X,O,X,O,O
ISZTOLJ,X,O,X,X,X,X,X,O
ISZTOJL,X,X,O,X,O,X,X,O
ISZLTJO,X,O,O,X,X,X,X,O
ISZLTOJ,X,O,X,X,X,X,X,O
ISZLJTO,X,O,O,X,X,X,X,X
ISZLJOT,X,X,X,X,X,X,X,X
ISZLOTJ,X,O,X,X,X,X,X,X
ISZLOJT,X,X,X,X,X,X,X,X
ISZJTLO,X,O,O,X,O,X,O,O
ISZJTOL,X,X,O,X,O,X,O,O
ISZJLTO,X,O,O,X,X,X,X,X
ISZJLOT,X,X,X,X,X,X,X,X
ISZJOTL,X,X,O,X,X,X,X,X
ISZJOLT,O,X,X,X,X,X,X,X
ISZOTLJ,X,O,X,X,X,X,X,O
ISZOTJL,X,X,O,X,X,X,X,O
ISZOLTJ,X,O,X,X,X,X,X,X
ISZOLJT,O,X,X,X,X,X,X,X
ISZOJTL,X,X,O,X,X,X,X,X
ISZOJLT,O,X,X,X,X,X,X,X
ISOTLJZ,O,X,X,X,X,X,X,X
ISOTLZJ,X,O,X,X,X,X,X,X
ISOTJLZ,O,X,X,X,X,X,O,X
ISOTJZL,X,X,O,X,O,X,O,X
ISOTZLJ,X,O,X,X,X,X,X,O
ISOTZJL,X,X,O,X,O,X,X,O
ISOLTJZ,O,X,X,O,X,X,X,X
ISOLTZJ,X,O,X,O,X,X,X,X
ISOLJTZ,O,X,X,O,X,X,X,X
ISOLJZT,O,X,X,O,X,X,X,X
ISOLZTJ,X,O,X,O,X,X,X,X
ISOLZJT,O,X,X,O,X,X,X,X
ISOJTLZ,O,X,X,X,X,X,O,X
ISOJTZL,X,X,O,X,O,X,O,X
ISOJLTZ,O,X,X,O,X,X,X,X
ISOJLZT,O,X,X,O,X,X,X,X
ISOJZTL,X,X,O,X,X,X,X,X
ISOJZLT,O,X,X,X,X,X,X,X
ISOZTLJ,X,O,X,X,X,X,X,O
ISOZTJL,X,X,O,X,X,X,X,O
ISOZLTJ,X,O,X,X,X,X,X,X
ISOZLJT,O,X,X,X,X,X,X,X
ISOZJTL,X,X,O,X,X,X,X,X
ISOZJLT,O,X,X,X,X,X,X,X
IZTLJSO,X,O,O,X,O,X,X,X
IZTLJOS,X,X,X,X,X,X,X,X
IZTLSJO,X,O,O,X,O,X,X,X
IZTLSOJ,X,O,X,X,X,X,X,X
IZTLOJS,X,X,X,X,X,X,X,X
IZTLOSJ,X,O,X,X,X,X,X,X
IZTJLSO,X,O,O,X,O,X,X,X
IZTJLOS,X,X,X,X,X,X,X,X
IZTJSLO,X,O,O,X,O,X,X,X
IZTJSOL,X,X,O,X,O,X,X,X
IZTJOLS,X,X,X,X,X,X,X,X
IZTJOSL,X,X,O,X,O,X,X,X
IZTSLJO,X,O,O,X,O,X,X,O
IZTSLOJ,X,O,X,X,X,X,X,O
IZTSJLO,X,O,O,X,O,X,X,O
IZTSJOL,X,X,O,X,O,X,X,O
IZTSOLJ,X,O,X,X,X,X,X,O
IZTSOJL,X,X,O,X,O,X,X,O
IZTOLJS,X,X,X,X,X,X,X,X
IZTOLSJ,X,O,X,X,X,X,X,X
IZTOJLS,X,X,X,X,X,X,X,X
IZTOJSL,X,X,O,X,O,X,X,X
IZTOSLJ,X,O,X,X,X,X,X,X
IZTOSJL,X,X,O,X,O,X,X,X
IZLTJSO,X,O,O,X,X,X,X,X
IZLTJOS,X,X,X,X,X,X,X,X
IZLTSJO,X,O,O,X,X,X,X,X
IZLTSOJ,X,O,X,X,X,X,X,X
IZLTOJS,X,X,X,X,X,X,X,X
IZLTOSJ,X,O,X,X,X,X,X,X
IZLJTSO,X,O,O,X,X,X,X,X
IZLJTOS,X,X,X,X,X,X,X,X
IZLJSTO,X,O,O,X,X,X,X,X
IZLJSOT,X,X,X,X,X,X,X,X
IZLJOTS,X,X,X,X,X,X,X,X
IZLJOST,X,X,X,X,X,X,X,X
IZLSTJO,X,O,O,X,X,X,X,X
IZLSTOJ,X,O,X,X,X,X,X,X
IZLSJTO,X,O,O,X,X,X,X,X
IZLSJOT,X,X,X,X,X,X,X,X
IZLSOTJ,X,O,X,X,X,X,X,X
IZLSOJT,X,X,X,X,X,X,X,X
IZLOTJS,X,X,X,X,X,X,X,X
IZLOTSJ,X,O,X,X,X,X,X,X
IZLOJTS,X,X,X,X,X,X,X,X
IZLOJST,X,X,X,X,X,X,X,X
IZLOSTJ,X,O,X,X,X,X,X,X
IZLOSJT,X,X,X,X,X,X,X,X
IZJTLSO,X,O,O,X,O,X,X,X
IZJTLOS,X,X,X,X,X,X,X,X
IZJTSLO,X,O,O,X,O,X,X,X
IZJTSOL,X,X,O,X,O,X,X,X
IZJTOLS,X,X,X,X,X,X,X,X
IZJTOSL,X,X,O,X,O,X,X,X
IZJLTSO,X,O,O,X,X,X,X,X
IZJLTOS,X,X,X,X,X,X,X,X
IZJLSTO,X,O,O,X,X,X,X,X
IZJLSOT,X,X,X,X,X,X,X,X
IZJLOTS,X,X,X,X,X,X,X,X
IZJLOST,X,X,X,X,X,X,X,X
IZJSTLO,X,O,O,X,O,X,X,X
IZJSTOL,X,X,O,X,O,X,X,X
IZJSLTO,X,O,O,X,X,X,X,X
IZJSLOT,X,X,X,X,X,X,X,X
IZJSOTL,X,X,O,X,X,X,X,X
IZJSOLT,X,X,X,X,X,X,X,X
IZJOTLS,X,X,X,X,X,X,X,X
IZJOTSL,X,X,O,X,X,X,X,X
IZJOLTS,X,X,X,X,X,X,X,X
IZJOLST,X,X,X,X,X,X,X,X
IZJOSTL,X,X,O,X,X,X,X,X
IZJOSLT,X,X,X,X,X,X,X,X
IZSTLJO,X,O,O,X,O,X,X,O
IZSTLOJ,X,O,X,X,X,X,X,O
IZSTJLO,X,O,O,X,O,X,X,O
IZSTJOL,X,X,O,X,O,X,X,O
IZSTOLJ,X,O,X,X,X,X,X,O
IZSTOJL,X,X,O,X,O,X,X,O
IZSLTJO,X,O,O,X,X,X,X,O
IZSLTOJ,X,O,X,X,X,X,X,O
IZSLJTO,X,O,O,X,X,X,X,X
IZSLJOT,X,X,X,X,X,X,X,X
IZSLOTJ,X,O,X,X,X,X,X,X
IZSLOJT,X,X,X,X,X,X,X,X
IZSJTLO,X,O,O,X,O,X,X,O
IZSJTOL,X,X,O,X,O,X,X,O
IZSJLTO,X,O,O,X,X,X,X,X
IZSJLOT,X,X,X,X,X,X,X,X
IZSJOTL,X,X,O,X,X,X,X,X
IZSJOLT,X,X,X,X,X,X,X,X
IZSOTLJ,X,O,X,X,X,X,X,O
IZSOTJL,X,X,O,X,X,X,X,O
IZSOLTJ,X,O,X,X,X,X,X,X
IZSOLJT,X,X,X,X,X,X,X,X
IZSOJTL,X,X,O,X,X,X,X,X
IZSOJLT,X,X,X,X,X,X,X,X
IZOTLJS,X,X,X,X,X,X,X,X
IZOTLSJ,X,O,X,X,X,X,X,X
IZOTJLS,X,X,X,X,X,X,X,X
IZOTJSL,X,X,O,X,X,X,X,X
IZOTSLJ,X,O,X,X,X,X,X,X
IZOTSJL,X,X,O,X,X,X,X,X
IZOLTJS,X,X,X,X,X,X,X,X
IZOLTSJ,X,O,X,X,X,X,X,X
IZOLJTS,X,X,X,X,X,X,X,X
IZOLJST,X,X,X,X,X,X,X,X
IZOLSTJ,X,O,X,X,X,X,X,X
IZOLSJT,X,X,X,X,X,X,X,X
IZOJTLS,X,X,X,X,X,X,X,X
IZOJTSL,X,X,O,X,X,X,X,X
IZOJLTS,X,X,X,X,X,X,X,X
IZOJLST,X,X,X,X,X,X,X,X
IZOJSTL,X,X,O,X,X,X,X,X
IZOJSLT,X,X,X,X,X,X,X,X
IZOSTLJ,X,O,X,X,X,X,X,X
IZOSTJL,X,X,O,X,X,X,X,X
IZOSLTJ,X,O,X,X,X,X,X,X
IZOSLJT,X,X,X,X,X,X,X,X
IZOSJTL,X,X,O,X,X,X,X,X
IZOSJLT,X,X,X,X,X,X,X,X
IOTLJSZ,O,X,X,X,X,X,X,X
IOTLJZS,O,X,X,X,X,X,X,X
IOTLSJZ,O,X,X,X,X,X,X,X
IOTLSZJ,X,O,X,X,X,X,X,X
IOTLZJS,X,X,X,X,X,X,X,X
IOTLZSJ,X,O,X,X,X,X,X,X
IOTJLSZ,O,X,X,X,X,X,X,X
IOTJLZS,O,X,X,X,X,X,X,X
IOTJSLZ,O,X,X,X,X,X,X,X
IOTJSZL,X,X,X,X,O,X,X,X
IOTJZLS,X,X,X,X,X,X,X,X
IOTJZSL,X,X,X,X,O,X,X,X
IOTSLJZ,O,X,X,X,X,X,X,X
IOTSLZJ,X,O,X,X,X,X,X,X
IOTSJLZ,O,X,X,X,X,X,X,X
IOTSJZL,X,X,O,X,O,X,X,X
IOTSZLJ,X,O,X,X,X,X,X,X
IOTSZJL,X,X,O,X,O,X,X,X
IOTZLJS,X,X,X,X,X,X,X,X
IOTZLSJ,X,O,X,X,X,X,X,X
IOTZJLS,X,X,X,X,X,X,X,X
IOTZJSL,X,X,O,X,O,X,X,X
IOTZSLJ,X,O,X,X,X,X,X,X
IOTZSJL,X,X,O,X,O,X,X,X
IOLTJSZ,O,X,X,X,X,X,X,X
IOLTJZS,O,X,X,X,X,X,X,X
IOLTSJZ,O,X,X,O,X,X,X,X
IOLTSZJ,X,O,X,O,X,X,X,X
IOLTZJS,X,X,X,X,X,X,X,X
IOLTZSJ,X,O,X,X,X,X,X,X
IOLJTSZ,O,X,X,X,X,X,X,X
IOLJTZS,O,X,X,X,X,X,X,X
IOLJSTZ,O,X,X,O,X,X,X,X
IOLJSZT,O,X,X,O,X,X,X,X
IOLJZTS,O,X,X,X,X,X,X,X
IOLJZST,O,X,X,X,X,X,X,X
IOLSTJZ,O,X,X,O,X,X,X,X
IOLSTZJ,X,O,X,O,X,X,X,X
IOLSJTZ,O,X,X,O,X,X,X,X
IOLSJZT,O,X,X,O,X,X,X,X
IOLSZTJ,X,O,X,O,X,X,X,X
IOLSZJT,O,X,X,O,X,X,X,X
IOLZTJS,X,X,X,X,X,X,X,X
IOLZTSJ,X,O,X,X,X,X,X,X
IOLZJTS,O,X,X,X,X,X,X,X
IOLZJST,O,X,X,X,X,X,X,X
IOLZSTJ,X,O,X,O,X,X,X,X
IOLZSJT,O,X,X,O,X,X,X,X
IOJTLSZ,O,X,X,X,X,X,X,X
IOJTLZS,O,X,X,X,X,X,X,X
IOJTSLZ,O,X,X,X,X,X,X,X
IOJTSZL,X,X,X,X,O,X,X,X
IOJTZLS,X,X,X,X,X,X,X,X
IOJTZSL,X,X,X,X,O,X,X,X
IOJLTSZ,O,X,X,O,X,X,X,X
IOJLTZS,O,X,X,X,X,X,X,X
IOJLSTZ,O,X,X,O,X,X,X,X
IOJLSZT,O,X,X,O,X,X,X,X
IOJLZTS,O,X,X,X,X,X,X,X
IOJLZST,O,X,X,O,X,X,X,X
IOJSTLZ,O,X,X,X,X,X,X,X
IOJSTZL,X,X,X,X,O,X,X,X
IOJSLTZ,O,X,X,O,X,X,X,X
IOJSLZT,O,X,X,O,X,X,X,X
IOJSZTL,X,X,X,X,X,X,X,X
IOJSZLT,O,X,X,X,X,X,X,X
IOJZTLS,X,X,X,X,X,X,X,X
IOJZTSL,X,X,X,X,X,X,X,X
IOJZLTS,O,X,X,X,X,X,X,X
IOJZLST,O,X,X,X,X,X,X,X
IOJZSTL,X,X,X,X,X,X,X,X
IOJZSLT,O,X,X,X,X,X,X,X
IOSTLJZ,O,X,X,X,X,X,X,X
IOSTLZJ,X,O,X,X,X,X,X,X
IOSTJLZ,O,X,X,X,X,X,X,X
IOSTJZL,X,X,O,X,O,X,X,X
IOSTZLJ,X,O,X,X,X,X,X,X
IOSTZJL,X,X,O,X,O,X,X,X
IOSLTJZ,O,X,X,O,X,X,X,X
IOSLTZJ,X,O,X,O,X,X,X,X
IOSLJTZ,O,X,X,O,X,X,X,X
IOSLJZT,O,X,X,O,X,X,X,X
IOSLZTJ,X,O,X,O,X,X,X,X
IOSLZJT,O,X,X,O,X,X,X,X
IOSJTLZ,O,X,X,X,X,X,X,X
IOSJTZL,X,X,O,X,O,X,X,X
IOSJLTZ,O,X,X,O,X,X,X,X
IOSJLZT,O,X,X,O,X,X,X,X
IOSJZTL,X,X,O,X,X,X,X,X
IOSJZLT,O,X,X,X,X,X,X,X
IOSZTLJ,X,O,X,X,X,X,X,X
IOSZTJL,X,X,O,X,X,X,X,X
IOSZLTJ,X,O,X,X,X,X,X,X
IOSZLJT,O,X,X,X,X,X,X,X
IOSZJTL,X,X,O,X,X,X,X,X
IOSZJLT,O,X,X,X,X,X,X,X
IOZTLJS,X,X,X,X,X,X,X,X
IOZTLSJ,X,O,X,X,X,X,X,X
IOZTJLS,X,X,X,X,X,X,X,X
IOZTJSL,X,X,O,X,X,X,X,X
IOZTSLJ,X,O,X,X,X,X,X,X
IOZTSJL,X,X,O,X,X,X,X,X
IOZLTJS,X,X,X,X,X,X,X,X
IOZLTSJ,X,O,X,X,X,X,X,X
IOZLJTS,O,X,X,X,X,X,X,X
IOZLJST,O,X,X,X,X,X,X,X
IOZLSTJ,X,O,X,X,X,X,X,X
IOZLSJT,O,X,X,X,X,X,X,X
IOZJTLS,X,X,X,X,X,X,X,X
IOZJTSL,X,X,O,X,X,X,X,X
IOZJLTS,O,X,X,X,X,X,X,X
IOZJLST,O,X,X,X,X,X,X,X
IOZJSTL,X,X,O,X,X,X,X,X
IOZJSLT,O,X,X,X,X,X,X,X
IOZSTLJ,X,O,X,X,X,X,X,X
IOZSTJL,X,X,O,X,X,X,X,X
IOZSLTJ,X,O,X,X,X,X,X,X
IOZSLJT,O,X,X,X,X,X,X,X
IOZSJTL,X,X,O,X,X,X,X,X
IOZSJLT,O,X,X,X,X,X,X,X
LTIJSZO,X,O,X,X,O,O,X,X
LTIJSOZ,X,X,X,O,X,O,X,X
LTIJZSO,X,O,X,X,O,O,X,X
LTIJZOS,X,X,X,X,X,O,X,X
LTIJOSZ,X,X,X,O,X,O,X,X
LTIJOZS,X,X,X,X,X,O,X,X
LTISJZO,X,O,O,X,O,O,X,X
LTISJOZ,X,X,X,O,X,O,X,X
LTISZJO,X,O,O,X,O,X,X,X
LTISZOJ,X,O,X,X,X,X,X,X
LTISOJZ,X,X,X,O,X,O,X,X
LTISOZJ,X,O,X,O,X,X,X,X
LTIZJSO,X,O,O,X,O,X,X,X
LTIZJOS,X,X,X,X,X,X,X,X
LTIZSJO,X,O,O,X,O,X,X,X
LTIZSOJ,X,O,X,X,X,X,X,X
LTIZOJS,X,X,X,X,X,X,X,X
LTIZOSJ,X,O,X,X,X,X,X,X
LTIOJSZ,X,X,X,X,X,O,X,X
LTIOJZS,X,X,X,X,X,O,X,X
LTIOSJZ,X,X,X,O,X,O,X,X
LTIOSZJ,X,O,X,O,X,X,X,X
LTIOZJS,X,X,X,X,X,X,X,X
LTIOZSJ,X,O,X,X,X,X,X,X
LTJISZO,X,O,X,X,O,O,X,X
LTJISOZ,X,X,X,O,X,O,X,X
LTJIZSO,X,O,X,X,O,O,X,X
LTJIZOS,X,X,X,X,X,O,X,X
LTJIOSZ,X,X,X,O,X,O,X,X
LTJIOZS,X,X,X,X,X,O,X,X
LTJSIZO,X,O,X,X,O,O,O,X
LTJSIOZ,X,X,X,O,X,O,O,X
LTJSZIO,X,X,X,X,O,X,X,X
LTJSZOI,X,X,X,X,X,X,X,X
LTJSOIZ,O,X,X,O,X,X,X,X
LTJSOZI,O,X,X,X,X,X,X,X
LTJZISO,X,O,X,X,O,X,X,X
LTJZIOS,X,X,X,X,X,X,X,X
LTJZSIO,X,O,X,X,O,X,X,X
LTJZSOI,X,X,X,X,X,X,X,X
LTJZOIS,X,X,X,X,X,X,X,X
LTJZOSI,X,X,X,X,X,X,X,X
LTJOISZ,O,X,X,O,X,X,X,X
LTJOIZS,O,X,X,X,X,X,X,X
LTJOSIZ,O,X,X,O,X,X,X,X
LTJOSZI,O,X,X,X,X,X,X,X
LTJOZIS,O,X,X,X,X,X,X,X
LTJOZSI,O,X,X,X,X,X,X,X
LTSIJZO,X,O,O,X,O,O,O,X
LTSIJOZ,X,X,X,O,X,O,O,X
LTSIZJO,X,O,O,X,O,X,X,O
LTSIZOJ,X,O,X,X,X,X,X,O
LTSIOJZ,X,X,X,O,X,O,X,X
LTSIOZJ,X,O,X,O,X,X,X,X
LTSJIZO,X,O,O,X,O,O,O,X
LTSJIOZ,X,X,X,O,X,O,O,X
LTSJZIO,X,X,X,X,O,X,X,X
LTSJZOI,X,X,X,X,X,X,X,X
LTSJOIZ,O,X,X,O,X,X,X,X
LTSJOZI,O,X,X,X,X,X,X,X
LTSZIJO,X,O,O,X,O,X,X,O
LTSZIOJ,X,O,X,X,X,X,X,O
LTSZJIO,X,O,O,X,O,X,X,X
LTSZJOI,X,X,X,X,X,X,X,X
LTSZOIJ,X,O,X,X,X,X,X,X
LTSZOJI,X,X,X,X,X,X,X,X
LTSOIJZ,O,X,X,O,X,X,X,X
LTSOIZJ,X,O,X,O,X,X,X,X
LTSOJIZ,O,X,X,X,X,X,X,X
LTSOJZI,O,X,X,X,X,X,X,X
LTSOZIJ,X,X,X,X,X,X,X,X
LTSOZJI,X,X,X,X,X,X,X,X
LTZIJSO,X,O,O,X,O,X,X,X
LTZIJOS,X,X,X,X,X,X,X,X
LTZISJO,X,O,O,X,O,X,X,X
LTZISOJ,X,O,X,X,X,X,X,X
LTZIOJS,X,X,X,X,X,X,X,X
LTZIOSJ,X,O,X,X,X,X,X,X
LTZJISO,X,O,O,X,O,X,X,X
LTZJIOS,X,X,X,X,X,X,X,X
LTZJSIO,X,O,O,X,O,X,X,X
LTZJSOI,X,X,X,X,X,X,X,X
LTZJOIS,X,X,X,X,X,X,X,X
LTZJOSI,X,X,X,X,X,X,X,X
LTZSIJO,X,O,O,X,O,X,X,O
LTZSIOJ,X,O,X,X,X,X,X,O
LTZSJIO,X,O,O,X,O,X,X,X
LTZSJOI,X,X,X,X,X,X,X,X
LTZSOIJ,X,O,X,X,X,X,X,X
LTZSOJI,X,X,X,X,X,X,X,X
LTZOIJS,X,X,X,X,X,X,X,X
LTZOISJ,X,O,X,X,X,X,X,X
LTZOJIS,X,X,X,X,X,X,X,X
LTZOJSI,X,X,X,X,X,X,X,X
LTZOSIJ,X,O,X,X,X,X,X,X
LTZOSJI,X,X,X,X,X,X,X,X
LTOIJSZ,O,X,X,X,X,X,X,X
LTOIJZS,O,X,X,X,X,X,X,X
LTOISJZ,O,X,X,O,X,X,X,X
LTOISZJ,X,O,X,O,X,X,X,X
LTOIZJS,X,X,X,X,X,X,X,X
LTOIZSJ,X,O,X,X,X,X,X,X
LTOJISZ,O,X,X,X,X,X,X,X
LTOJIZS,O,X,X,X,X,X,X,X
LTOJSIZ,O,X,X,X,X,X,X,X
LTOJSZI,O,X,X,X,X,X,X,X
LTOJZIS,O,X,X,X,X,X,X,X
LTOJZSI,O,X,X,X,X,X,X,X
LTOSIJZ,O,X,X,O,X,X,X,X
LTOSIZJ,X,O,X,O,X,X,X,X
LTOSJIZ,O,X,X,X,X,X,X,X
LTOSJZI,O,X,X,X,X,X,X,X
LTOSZIJ,X,X,X,X,X,X,X,X
LTOSZJI,X,X,X,X,X,X,X,X
LTOZIJS,X,X,X,X,X,X,X,X
LTOZISJ,X,O,X,X,X,X,X,X
LTOZJIS,X,X,X,X,X,X,X,X
LTOZJSI,X,X,X,X,X,X,X,X
LTOZSIJ,X,O,X,X,X,X,X,X
LTOZSJI,X,X,X,X,X,X,X,X
LITJSZO,X,O,X,X,O,O,X,X
LITJSOZ,X,X,X,O,X,O,X,X
LITJZSO,X,O,X,X,O,O,X,X
LITJZOS,X,X,X,X,X,O,X,X
LITJOSZ,X,X,X,O,X,O,X,X
LITJOZS,X,X,X,X,X,O,X,X
LITSJZO,X,O,O,X,O,O,X,X
LITSJOZ,X,X,X,O,X,O,X,X
LITSZJO,X,O,O,X,O,X,X,X
LITSZOJ,X,O,X,X,X,X,X,X
LITSOJZ,X,X,X,O,X,O,X,X
LITSOZJ,X,O,X,O,X,X,X,X
LITZJSO,X,O,O,X,O,X,X,X
LITZJOS,X,X,X,X,X,X,X,X
LITZSJO,X,O,O,X,O,X,X,X
LITZSOJ,X,O,X,X,X,X,X,X
LITZOJS,X,X,X,X,X,X,X,X
LITZOSJ,X,O,X,X,X,X,X,X
LITOJSZ,X,X,X,X,X,O,X,X
LITOJZS,X,X,X,X,X,O,X,X
LITOSJZ,X,X,X,O,X,O,X,X
LITOSZJ,X,O,X,O,X,X,X,X
LITOZJS,X,X,X,X,X,X,X,X
LITOZSJ,X,O,X,X,X,X,X,X
LIJTSZO,X,O,X,X,O,O,X,X
LIJTSOZ,X,X,X,O,X,O,X,X
LIJTZSO,X,O,X,X,O,O,X,X
LIJTZOS,X,X,X,X,X,O,X,X
LIJTOSZ,X,X,X,O,X,O,X,X
LIJTOZS,X,X,X,X,X,O,X,X
LIJSTZO,X,O,X,X,O,O,X,X
LIJSTOZ,X,X,X,O,X,O,X,X
LIJSZTO,X,O,X,X,X,O,X,X
LIJSZOT,X,X,X,O,X,O,X,X
LIJSOTZ,O,X,X,O,X,O,X,X
LIJSOZT,O,X,X,O,X,O,X,X
LIJZTSO,X,O,X,X,X,O,X,X
LIJZTOS,X,X,X,X,X,O,X,X
LIJZSTO,X,O,X,X,X,O,X,X
LIJZSOT,X,X,X,O,X,O,X,X
LIJZOTS,X,X,X,X,X,O,X,X
LIJZOST,X,X,X,O,X,O,X,X
LIJOTSZ,O,X,X,O,X,O,X,X
LIJOTZS,O,X,X,X,X,O,X,X
LIJOSTZ,O,X,X,O,X,O,X,X
LIJOSZT,O,X,X,O,X,O,X,X
LIJOZTS,O,X,X,X,X,O,X,X
LIJOZST,O,X,X,O,X,O,X,X
LISTJZO,X,O,O,X,O,O,X,X
LISTJOZ,X,X,X,O,X,O,X,X
LISTZJO,X,O,O,X,O,X,X,X
LISTZOJ,X,O,X,X,X,X,X,X
LISTOJZ,X,X,X,O,X,O,X,X
LISTOZJ,X,O,X,O,X,X,X,X
LISJTZO,X,O,O,X,O,O,X,X
LISJTOZ,X,X,X,O,X,O,X,X
LISJZTO,X,O,O,X,X,O,X,X
LISJZOT,X,X,X,O,X,O,X,X
LISJOTZ,O,X,X,O,X,O,X,X
LISJOZT,O,X,X,O,X,O,X,X
LISZTJO,X,O,O,X,X,X,X,X
LISZTOJ,X,O,X,X,X,X,X,X
LISZJTO,X,O,O,X,X,O,X,X
LISZJOT,X,X,X,O,X,O,X,X
LISZOTJ,X,O,X,O,X,X,X,X
LISZOJT,X,X,X,O,X,O,X,X
LISOTJZ,O,X,X,O,X,O,X,X
LISOTZJ,X,O,X,O,X,X,X,X
LISOJTZ,O,X,X,O,X,O,X,X
LISOJZT,O,X,X,O,X,O,X,X
LISOZTJ,X,O,X,O,X,X,X,X
LISOZJT,O,X,X,O,X,O,X,X
LIZTJSO,X,O,O,X,X,X,X,X
LIZTJOS,X,X,X,X,X,X,X,X
LIZTSJO,X,O,O,X,X,X,X,X
LIZTSOJ,X,O,X,X,X,X,X,X
LIZTOJS,X,X,X,X,X,X,X,X
LIZTOSJ,X,O,X,X,X,X,X,X
LIZJTSO,X,O,O,X,X,O,X,X
LIZJTOS,X,X,X,X,X,O,X,X
LIZJSTO,X,O,O,X,X,O,X,X
LIZJSOT,X,X,X,O,X,O,X,X
LIZJOTS,X,X,X,X,X,O,X,X
LIZJOST,X,X,X,O,X,O,X,X
LIZSTJO,X,O,O,X,X,X,X,X
LIZSTOJ,X,O,X,X,X,X,X,X
LIZSJTO,X,O,O,X,X,O,X,X
LIZSJOT,X,X,X,O,X,O,X,X
LIZSOTJ,X,O,X,O,X,X,X,X
LIZSOJT,X,X,X,O,X,O,X,X
LIZOTJS,X,X,X,X,X,X,X,X
LIZOTSJ,X,O,X,X,X,X,X,X
LIZOJTS,X,X,X,X,X,O,X,X
LIZOJST,X,X,X,X,X,O,X,X
LIZOSTJ,X,O,X,O,X,X,X,X
LIZOSJT,X,X,X,O,X,O,X,X
LIOTJSZ,O,X,X,X,X,O,X,X
LIOTJZS,O,X,X,X,X,O,X,X
LIOTSJZ,O,X,X,O,X,O,X,X
LIOTSZJ,X,O,X,O,X,X,X,X
LIOTZJS,X,X,X,X,X,X,X,X
LIOTZSJ,X,O,X,X,X,X,X,X
LIOJTSZ,O,X,X,O,X,O,X,X
LIOJTZS,O,X,X,X,X,O,X,X
LIOJSTZ,O,X,X,O,X,O,X,X
LIOJSZT,O,X,X,O,X,O,X,X
LIOJZTS,O,X,X,X,X,O,X,X
LIOJZST,O,X,X,O,X,O,X,X
LIOSTJZ,O,X,X,O,X,O,X,X
LIOSTZJ,X,O,X,O,X,X,X,X
LIOSJTZ,O,X,X,O,X,O,X,X
LIOSJZT,O,X,X,O,X,O,X,X
LIOSZTJ,X,O,X,O,X,X,X,X
LIOSZJT,O,X,X,O,X,O,X,X
LIOZTJS,X,X,X,X,X,X,X,X
LIOZTSJ,X,O,X,X,X,X,X,X
