sequence,v115@9gA8IeA8GeA8AeB8FeE8EeB8Jez/IvhFRhBGjBfsB6?sBlqBUrB,v115@9gA8IeA8GeA8AeB8FeE8EeB8Jez/IvhFChB/nBGjB0?mBlqBxwB,v115@9gA8IeA8GeA8AeB8FeE8EeB8Jez/IvhFRhBGjBFmBX?nB0qBSxB,v115@9gA8IeA8GeA8AeB8FeE8EeB8JeRAJvhFUiBGjBFlBX?mBSwBTsB,v115@9gA8IeA8GeA8AeB8FeE8EeB8JeCAJvhFlhBGjB/qBU?mBTnBxwB,v115@9gA8IeA8GeA8AeB8FeE8EeB8JefFJvhFlgBzhBGjB8?qBSsBxwB,v115@9gA8IeA8GeA8AeB8FeE8EeB8JeCAJvhF/nBGjBxlBl?qBUsBTrB
TZOSJLI,X,O,O,O,X,X,O
TOILJSZ,O,O,X,O,X,X,X
TOILJZS,O,O,X,O,X,X,X
TOILSJZ,O,O,X,O,X,X,X
TOILSZJ,O,O,X,O,X,X,X
TOILZJS,O,O,X,O,X,X,X
TOILZSJ,X,O,X,O,X,X,O
TOIJLSZ,O,O,X,O,X,X,X
TOIJLZS,O,O,X,O,X,X,X
TOIJSLZ,O,O,X,X,X,X,X
TOIJSZL,O,O,X,O,X,X,X
TOIJZLS,X,O,X,O,X,X,X
TOIJZSL,X,O,X,O,X,X,X
TOISLJZ,O,O,X,X,X,X,X
TOISLZJ,O,O,X,X,X,X,X
TOISJLZ,O,O,X,X,X,X,X
TOISJZL,O,O,X,O,X,X,X
TOISZLJ,X,O,X,X,X,X,X
TOISZJL,O,O,X,O,X,X,X
TOIZLJS,X,O,X,O,X,X,X
TOIZLSJ,X,O,X,O,X,X,O
TOIZJLS,X,O,X,O,X,X,X
TOIZJSL,X,O,X,O,X,X,X
TOIZSLJ,X,O,X,X,X,X,O
TOIZSJL,X,O,X,O,X,X,O
TOLIJSZ,O,O,X,O,X,X,X
TOLIJZS,O,O,X,O,X,X,X
TOLISJZ,O,O,X,O,X,X,X
TOLISZJ,O,O,X,O,X,X,X
TOLIZJS,O,O,X,O,X,X,X
TOLIZSJ,X,O,X,O,X,X,O
TOLJISZ,O,O,X,O,X,X,X
TOLJIZS,O,O,X,O,X,X,X
TOLJSIZ,O,X,O,O,X,X,X
TOLJSZI,O,X,O,O,X,X,X
TOLJZIS,O,O,O,O,X,X,X
TOLJZSI,O,O,O,O,X,X,X
TOLSIJZ,O,O,O,O,X,X,X
TOLSIZJ,O,O,O,O,X,X,X
TOLSJIZ,O,X,O,O,X,X,X
TOLSJZI,O,X,O,O,X,X,X
TOLSZIJ,O,O,O,O,X,X,X
TOLSZJI,O,O,O,O,X,X,X
TOLZIJS,O,O,O,O,X,X,X
TOLZISJ,X,O,O,O,X,X,O
TOLZJIS,O,O,O,O,X,X,X
TOLZJSI,O,O,O,O,X,X,X
TOLZSIJ,O,O,O,O,X,X,O
TOLZSJI,O,O,O,O,X,X,O
TOJILSZ,O,O,X,O,X,X,X
TOJILZS,O,O,X,O,X,X,X
TOJISLZ,O,O,X,X,X,X,X
TOJISZL,O,O,X,O,X,X,X
TOJIZLS,X,O,X,O,X,X,X
TOJIZSL,X,O,X,O,X,X,X
TOJLISZ,O,O,X,O,X,X,X
TOJLIZS,O,O,X,O,X,X,X
TOJLSIZ,O,X,O,O,X,X,X
TOJLSZI,O,X,O,O,X,X,X
TOJLZIS,O,O,O,O,X,X,X
TOJLZSI,O,O,O,O,X,X,X
TOJSILZ,O,X,X,X,X,X,X
TOJSIZL,O,X,X,O,X,X,X
TOJSLIZ,O,X,X,O,X,X,X
TOJSLZI,O,X,X,O,X,X,X
TOJSZIL,O,X,X,O,X,X,X
TOJSZLI,X,X,X,O,X,X,X
TOJZILS,X,O,O,O,X,X,X
TOJZISL,X,O,O,O,X,X,X
TOJZLIS,O,O,O,O,X,X,X
TOJZLSI,O,O,O,O,X,X,X
TOJZSIL,O,O,O,O,X,X,X
TOJZSLI,X,O,O,O,X,X,X
TOSILJZ,O,O,X,X,X,X,X
TOSILZJ,O,O,X,X,X,X,X
TOSIJLZ,O,O,X,X,X,X,X
TOSIJZL,O,O,X,O,X,X,X
TOSIZLJ,X,O,X,X,X,X,X
TOSIZJL,O,O,X,O,X,X,X
TOSLIJZ,O,O,X,O,X,X,X
TOSLIZJ,O,O,X,O,X,X,X
TOSLJIZ,O,X,X,O,X,X,X
TOSLJZI,O,X,X,O,X,X,X
TOSLZIJ,O,O,X,O,X,X,X
TOSLZJI,O,O,X,O,X,X,X
TOSJILZ,O,X,X,X,X,X,X
TOSJIZL,O,X,X,O,X,X,X
TOSJLIZ,O,X,X,O,X,X,X
TOSJLZI,O,X,X,O,X,X,X
TOSJZIL,O,X,X,O,X,X,X
TOSJZLI,X,X,X,O,X,X,X
TOSZILJ,X,O,X,X,X,X,X
TOSZIJL,O,O,X,O,X,X,X
TOSZLIJ,O,O,X,O,X,X,X
TOSZLJI,O,O,X,O,X,X,X
TOSZJIL,O,O,X,O,X,X,X
TOSZJLI,X,O,X,O,X,X,X
TOZILJS,X,O,O,O,X,X,X
TOZILSJ,X,O,O,O,X,X,O
TOZIJLS,X,O,O,O,X,X,X
TOZIJSL,X,O,O,O,X,X,X
TOZISLJ,X,O,X,X,X,X,O
TOZISJL,X,O,O,O,X,X,O
TOZLIJS,O,O,O,O,X,X,X
TOZLISJ,X,O,O,O,X,X,O
TOZLJIS,O,O,O,O,X,X,X
TOZLJSI,O,O,O,O,X,X,X
TOZLSIJ,O,O,O,O,X,X,O
TOZLSJI,O,O,O,O,X,X,O
TOZJILS,X,O,O,O,X,X,X
TOZJISL,X,O,O,O,X,X,X
TOZJLIS,O,O,O,O,X,X,X
TOZJLSI,O,O,O,O,X,X,X
TOZJSIL,O,O,O,O,X,X,X
TOZJSLI,X,O,O,O,X,X,X
TOZSILJ,X,O,X,X,X,X,O
TOZSIJL,O,O,O,O,X,X,O
TOZSLIJ,O,O,O,O,X,X,O
TOZSLJI,O,O,O,O,X,X,O
TOZSJIL,O,O,O,O,X,X,O
TOZSJLI,X,O,O,O,X,X,O
ITLJSZO,O,O,X,O,O,O,X
ITLJSOZ,O,O,X,O,O,O,X
ITLJZSO,X,O,X,X,X,O,O
ITLJZOS,O,O,X,X,X,O,X
ITLJOSZ,O,O,X,O,O,O,X
ITLJOZS,O,O,X,O,O,O,X
ITLSJZO,O,O,X,O,O,O,X
ITLSJOZ,O,O,X,O,O,O,X
ITLSZJO,O,O,X,O,O,O,O
ITLSZOJ,O,O,X,O,O,O,O
ITLSOJZ,O,O,X,O,O,O,X
ITLSOZJ,O,O,X,O,O,O,X
ITLZJSO,X,O,X,X,X,O,O
ITLZJOS,O,O,X,X,X,O,X
ITLZSJO,X,O,X,X,X,O,O
ITLZSOJ,X,O,X,X,X,O,O
ITLZOJS,O,O,X,O,X,O,X
ITLZOSJ,X,O,X,O,X,O,O
ITLOJSZ,O,O,X,O,O,O,X
ITLOJZS,O,O,X,O,O,O,X
ITLOSJZ,O,O,X,O,O,O,X
ITLOSZJ,O,O,X,O,O,O,X
ITLOZJS,O,O,X,O,O,O,X
ITLOZSJ,X,O,X,O,X,O,O
ITJLSZO,O,O,X,O,O,O,X
ITJLSOZ,O,O,X,O,O,O,X
ITJLZSO,X,O,X,X,X,O,O
ITJLZOS,O,O,X,X,X,O,X
ITJLOSZ,O,O,X,O,O,O,X
ITJLOZS,O,O,X,O,O,O,X
ITJSLZO,X,O,X,X,O,O,X
ITJSLOZ,O,O,X,X,O,O,X
ITJSZLO,X,O,X,X,O,O,X
ITJSZOL,O,O,X,X,O,O,X
ITJSOLZ,O,O,X,X,O,X,X
ITJSOZL,O,O,X,O,O,X,X
ITJZLSO,X,O,X,X,O,O,O
ITJZLOS,X,O,X,X,X,O,X
ITJZSLO,X,O,X,X,O,O,O
ITJZSOL,X,O,X,X,O,O,O
ITJZOLS,X,O,X,O,X,X,X
ITJZOSL,X,O,X,O,O,X,X
ITJOLSZ,O,O,X,O,O,X,X
ITJOLZS,O,O,X,O,O,X,X
ITJOSLZ,O,O,X,X,O,X,X
ITJOSZL,O,O,X,O,O,X,X
ITJOZLS,X,O,X,O,O,X,X
ITJOZSL,X,O,X,O,O,X,X
ITSLJZO,O,O,X,X,O,O,X
ITSLJOZ,O,O,X,X,O,O,X
ITSLZJO,O,O,X,X,O,O,O
ITSLZOJ,O,O,X,X,O,O,O
ITSLOJZ,O,O,X,O,O,O,X
ITSLOZJ,O,O,X,O,O,O,X
ITSJLZO,X,O,X,X,O,O,X
ITSJLOZ,O,O,X,X,O,O,X
ITSJZLO,X,O,X,X,O,O,X
ITSJZOL,O,O,X,X,O,O,X
ITSJOLZ,O,O,X,X,O,X,X
ITSJOZL,O,O,X,O,O,X,X
ITSZLJO,X,O,X,X,O,O,O
ITSZLOJ,X,O,X,X,O,O,O
ITSZJLO,X,O,X,X,O,O,O
ITSZJOL,O,O,X,X,O,O,O
ITSZOLJ,X,O,X,X,O,O,O
ITSZOJL,O,O,X,X,O,O,O
ITSOLJZ,O,O,X,X,O,X,X
ITSOLZJ,O,O,X,X,O,X,X
ITSOJLZ,O,O,X,X,O,X,X
ITSOJZL,O,O,X,O,O,X,X
ITSOZLJ,X,O,X,X,O,X,X
ITSOZJL,O,O,X,O,O,X,X
ITZLJSO,X,O,X,X,O,O,O
ITZLJOS,X,O,X,X,X,O,X
ITZLSJO,X,O,X,X,O,O,O
ITZLSOJ,X,O,X,X,O,O,O
ITZLOJS,X,O,X,O,X,O,X
ITZLOSJ,X,O,X,O,X,O,O
ITZJLSO,X,O,X,X,O,O,O
ITZJLOS,X,O,X,X,X,O,X
ITZJSLO,X,O,X,X,O,O,O
ITZJSOL,X,O,X,X,O,O,O
ITZJOLS,X,O,X,O,X,X,X
ITZJOSL,X,O,X,O,O,X,X
ITZSLJO,X,O,X,X,O,O,O
ITZSLOJ,X,O,X,X,O,O,O
ITZSJLO,X,O,X,X,O,O,O
ITZSJOL,X,O,X,X,O,O,O
ITZSOLJ,X,O,X,X,O,O,O
ITZSOJL,X,O,X,X,O,O,O
ITZOLJS,X,O,X,O,O,X,X
ITZOLSJ,X,O,X,X,O,X,O
ITZOJLS,X,O,X,O,O,X,X
ITZOJSL,X,O,X,O,O,X,X
ITZOSLJ,X,O,X,X,O,X,O
ITZOSJL,X,O,X,O,O,X,O
ITOLJSZ,O,O,X,O,O,X,X
ITOLJZS,O,O,X,O,O,X,X
ITOLSJZ,O,O,X,O,O,X,X
ITOLSZJ,O,O,X,O,O,X,X
ITOLZJS,O,O,X,O,O,X,X
ITOLZSJ,X,O,X,O,O,X,O
ITOJLSZ,O,O,X,O,O,X,X
ITOJLZS,O,O,X,O,O,X,X
ITOJSLZ,O,O,X,X,O,X,X
ITOJSZL,O,O,X,O,O,X,X
ITOJZLS,X,O,X,O,O,X,X
ITOJZSL,X,O,X,O,O,X,X
ITOSLJZ,O,O,X,X,O,X,X
ITOSLZJ,O,O,X,X,O,X,X
ITOSJLZ,O,O,X,X,O,X,X
ITOSJZL,O,O,X,O,O,X,X
ITOSZLJ,X,O,X,X,O,X,X
ITOSZJL,O,O,X,O,O,X,X
ITOZLJS,X,O,X,O,O,X,X
ITOZLSJ,X,O,X,O,O,X,O
ITOZJLS,X,O,X,O,O,X,X
ITOZJSL,X,O,X,O,O,X,X
ITOZSLJ,X,O,X,X,O,X,O
ITOZSJL,X,O,X,O,O,X,O
ILTJSZO,O,O,X,O,O,O,X
ILTJSOZ,O,O,X,O,O,O,X
ILTJZSO,X,O,X,X,X,O,O
ILTJZOS,O,O,X,X,X,O,X
ILTJOSZ,O,O,X,O,O,O,X
ILTJOZS,O,O,X,O,O,O,X
ILTSJZO,O,O,X,O,O,O,X
ILTSJOZ,O,O,X,O,O,O,X
ILTSZJO,O,O,X,O,O,O,O
ILTSZOJ,O,O,X,O,O,O,O
ILTSOJZ,O,O,X,O,O,O,X
ILTSOZJ,O,O,X,O,O,O,X
ILTZJSO,X,O,X,X,X,O,O
ILTZJOS,O,O,X,X,X,O,X
ILTZSJO,X,O,X,X,X,O,O
ILTZSOJ,X,O,X,X,X,O,O
ILTZOJS,O,O,X,O,X,O,X
ILTZOSJ,X,O,X,O,X,O,O
ILTOJSZ,O,O,X,O,O,O,X
ILTOJZS,O,O,X,O,O,O,X
ILTOSJZ,O,O,X,O,O,O,X
ILTOSZJ,O,O,X,O,O,O,X
ILTOZJS,O,O,X,O,O,O,X
ILTOZSJ,X,O,X,O,X,O,O
ILJTSZO,O,O,X,O,O,O,X
ILJTSOZ,O,O,X,O,O,O,X
ILJTZSO,X,X,X,X,X,O,X
ILJTZOS,O,X,X,X,X,O,X
ILJTOSZ,O,O,X,X,O,O,X
ILJTOZS,O,X,X,X,O,O,X
ILJSTZO,O,O,O,O,O,O,X
ILJSTOZ,O,O,O,O,O,O,X
ILJSZTO,O,O,O,O,O,O,X
ILJSZOT,O,O,O,O,O,O,X
ILJSOTZ,O,O,O,X,O,O,X
ILJSOZT,O,O,O,O,O,O,X
ILJZTSO,X,X,O,X,O,O,X
ILJZTOS,O,X,O,X,X,O,X
ILJZSTO,O,X,O,X,O,O,X
ILJZSOT,O,X,O,X,O,O,X
ILJZOTS,O,X,O,X,O,O,X
ILJZOST,O,X,O,X,O,O,X
ILJOTSZ,O,O,X,X,O,O,X
ILJOTZS,O,X,X,X,O,O,X
ILJOSTZ,O,O,O,X,O,O,X
ILJOSZT,O,O,O,X,O,O,X
ILJOZTS,O,X,O,X,O,O,X
ILJOZST,O,X,O,X,O,O,X
ILSTJZO,O,O,O,O,O,O,X
ILSTJOZ,O,O,O,O,O,O,X
ILSTZJO,O,O,O,O,O,O,X
ILSTZOJ,O,O,O,O,O,O,X
ILSTOJZ,O,O,O,O,O,O,X
ILSTOZJ,O,O,O,O,O,O,X
ILSJTZO,O,O,O,O,O,O,X
ILSJTOZ,O,O,O,O,O,O,X
ILSJZTO,O,O,O,O,O,O,X
ILSJZOT,O,O,O,O,O,O,X
ILSJOTZ,O,O,O,O,O,O,X
ILSJOZT,O,O,O,O,O,O,X
ILSZTJO,O,O,O,O,O,O,X
ILSZTOJ,O,O,O,O,O,O,X
ILSZJTO,O,O,O,O,O,O,X
ILSZJOT,O,O,O,O,O,O,X
ILSZOTJ,X,O,O,O,O,O,X
ILSZOJT,O,O,O,O,O,O,X
ILSOTJZ,O,O,O,O,O,O,X
ILSOTZJ,O,O,O,O,O,O,X
ILSOJTZ,O,O,O,O,O,O,X
ILSOJZT,O,O,O,O,O,O,X
ILSOZTJ,X,O,O,O,O,O,X
ILSOZJT,O,O,O,O,O,O,X
ILZTJSO,X,O,O,X,O,O,O
ILZTJOS,O,O,O,X,X,O,X
ILZTSJO,X,O,O,X,O,O,O
ILZTSOJ,X,O,O,X,O,O,O
ILZTOJS,O,O,O,X,X,O,X
ILZTOSJ,X,O,O,X,X,O,O
ILZJTSO,X,X,O,X,O,O,X
ILZJTOS,O,X,O,X,X,O,X
ILZJSTO,O,O,O,X,O,O,X
ILZJSOT,O,O,O,X,O,O,X
ILZJOTS,O,X,O,X,O,O,X
ILZJOST,O,O,O,X,O,O,X
ILZSTJO,O,O,O,X,O,O,O
ILZSTOJ,O,O,O,X,O,O,O
ILZSJTO,O,O,O,X,O,O,O
ILZSJOT,O,O,O,X,O,O,X
ILZSOTJ,X,O,O,X,O,O,X
ILZSOJT,O,O,O,X,O,O,X
ILZOTJS,X,X,O,X,O,O,X
ILZOTSJ,X,O,O,X,O,O,X
ILZOJTS,O,X,O,X,O,O,X
ILZOJST,O,O,O,X,O,O,X
ILZOSTJ,X,O,O,X,O,O,X
ILZOSJT,X,O,O,X,O,O,X
ILOTJSZ,O,O,X,O,O,O,X
ILOTJZS,O,O,X,O,O,O,X
ILOTSJZ,O,O,X,O,O,O,X
ILOTSZJ,O,O,X,O,O,O,X
ILOTZJS,O,O,X,O,O,O,X
ILOTZSJ,X,O,X,O,O,O,X
ILOJTSZ,O,O,X,O,O,O,X
ILOJTZS,O,X,X,O,O,O,X
ILOJSTZ,O,O,O,O,O,O,X
ILOJSZT,O,O,O,O,O,O,X
ILOJZTS,O,X,O,O,O,O,X
ILOJZST,O,X,O,O,O,O,X
ILOSTJZ,O,O,O,O,O,O,X
ILOSTZJ,O,O,O,O,O,O,X
ILOSJTZ,O,O,O,O,O,O,X
ILOSJZT,O,O,O,O,O,O,X
ILOSZTJ,X,O,O,O,O,O,X
ILOSZJT,O,O,O,O,O,O,X
ILOZTJS,X,X,O,O,O,O,X
ILOZTSJ,X,O,O,O,O,O,X
ILOZJTS,O,X,O,O,O,O,X
ILOZJST,O,O,O,O,O,O,X
ILOZSTJ,X,O,O,O,O,O,X
ILOZSJT,X,O,O,O,O,O,X
IJTLSZO,O,O,X,O,O,O,X
IJTLSOZ,O,O,X,O,O,O,X
IJTLZSO,X,O,X,X,X,O,X
IJTLZOS,O,O,X,X,X,O,X
IJTLOSZ,O,O,X,X,O,O,X
IJTLOZS,O,O,X,O,O,O,X
IJTSLZO,X,O,X,X,O,O,X
IJTSLOZ,O,O,X,X,O,O,X
IJTSZLO,X,O,X,X,O,O,X
IJTSZOL,O,O,X,X,O,O,X
IJTSOLZ,O,O,X,X,O,X,X
IJTSOZL,O,O,X,O,O,X,X
IJTZLSO,X,O,X,X,O,O,X
IJTZLOS,X,O,X,X,X,O,X
IJTZSLO,X,O,X,X,O,O,X
IJTZSOL,X,O,X,X,O,O,X
IJTZOLS,X,O,X,O,X,X,X
IJTZOSL,X,O,X,O,O,X,X
IJTOLSZ,O,O,X,O,O,X,X
IJTOLZS,O,O,X,O,O,X,X
IJTOSLZ,O,O,X,X,O,X,X
IJTOSZL,O,O,X,O,O,X,X
IJTOZLS,X,O,X,O,O,X,X
IJTOZSL,X,O,X,O,O,X,X
IJLTSZO,O,O,X,O,O,O,X
IJLTSOZ,O,O,X,O,O,O,X
IJLTZSO,X,X,X,X,X,O,X
IJLTZOS,O,X,X,X,X,O,X
IJLTOSZ,O,O,X,X,O,O,X
IJLTOZS,O,X,X,X,O,O,X
IJLSTZO,O,O,O,O,O,O,X
IJLSTOZ,O,O,O,O,O,O,X
IJLSZTO,O,O,O,O,O,O,X
IJLSZOT,O,O,O,O,O,O,X
IJLSOTZ,O,O,O,X,O,O,X
IJLSOZT,O,O,O,O,O,O,X
IJLZTSO,X,X,O,X,O,O,X
IJLZTOS,O,X,O,X,X,O,X
IJLZSTO,O,X,O,X,O,O,X
IJLZSOT,O,X,O,X,O,O,X
IJLZOTS,O,X,O,X,O,O,X
IJLZOST,O,X,O,X,O,O,X
IJLOTSZ,O,O,X,X,O,O,X
IJLOTZS,O,X,X,X,O,O,X
IJLOSTZ,O,O,O,X,O,O,X
IJLOSZT,O,O,O,X,O,O,X
IJLOZTS,O,X,O,X,O,O,X
IJLOZST,O,X,O,X,O,O,X
IJSTLZO,X,O,X,X,O,O,X
IJSTLOZ,O,O,X,X,O,O,X
IJSTZLO,X,O,X,X,O,O,X
IJSTZOL,O,O,X,X,O,O,X
IJSTOLZ,O,O,X,X,O,X,X
IJSTOZL,O,O,X,X,O,X,X
IJSLTZO,X,O,X,X,O,O,X
IJSLTOZ,O,O,X,X,O,O,X
IJSLZTO,X,O,X,X,O,O,X
IJSLZOT,X,O,X,X,O,O,X
IJSLOTZ,O,O,X,X,O,O,X
IJSLOZT,O,O,X,X,O,O,X
IJSZTLO,X,O,X,X,O,O,X
IJSZTOL,O,O,X,X,O,O,X
IJSZLTO,X,O,X,X,O,O,X
IJSZLOT,X,O,X,X,O,O,X
IJSZOTL,O,O,X,X,O,O,X
IJSZOLT,O,O,X,X,O,O,X
IJSOTLZ,O,O,X,X,O,X,X
IJSOTZL,O,O,X,X,O,X,X
IJSOLTZ,O,O,X,X,O,O,X
IJSOLZT,O,O,X,X,O,O,X
IJSOZTL,O,O,X,X,O,O,X
IJSOZLT,O,O,X,X,O,O,X
IJZTLSO,X,O,O,X,O,O,X
IJZTLOS,X,O,O,X,X,O,X
IJZTSLO,X,O,X,X,O,O,X
IJZTSOL,X,O,O,X,O,O,X
IJZTOLS,X,O,O,X,X,X,X
IJZTOSL,X,O,O,X,O,X,X
IJZLTSO,X,X,O,X,O,O,X
IJZLTOS,X,X,O,X,X,O,X
IJZLSTO,X,O,O,X,O,O,X
IJZLSOT,X,O,O,X,O,O,X
IJZLOTS,X,X,O,X,O,O,X
IJZLOST,X,O,O,X,O,O,X
IJZSTLO,X,O,X,X,O,O,X
IJZSTOL,X,O,X,X,O,O,X
IJZSLTO,X,O,X,X,O,O,X
IJZSLOT,X,O,X,X,O,O,X
IJZSOTL,X,O,X,X,O,O,X
IJZSOLT,X,O,X,X,O,O,X
IJZOTLS,X,X,O,X,O,X,X
IJZOTSL,X,O,O,X,O,X,X
IJZOLTS,X,X,O,X,O,O,X
IJZOLST,X,O,O,X,O,O,X
IJZOSTL,X,O,X,X,O,O,X
IJZOSLT,X,O,X,X,O,O,X
IJOTLSZ,O,O,X,O,O,X,X
IJOTLZS,O,O,X,O,O,X,X
IJOTSLZ,O,O,X,X,O,X,X
IJOTSZL,O,O,X,O,O,X,X
IJOTZLS,X,O,X,O,O,X,X
IJOTZSL,X,O,X,O,O,X,X
IJOLTSZ,O,O,X,O,O,O,X
IJOLTZS,O,X,X,O,O,O,X
IJOLSTZ,O,O,O,O,O,O,X
IJOLSZT,O,O,O,O,O,O,X
IJOLZTS,O,X,O,O,O,O,X
IJOLZST,O,X,O,O,O,O,X
IJOSTLZ,O,O,X,X,O,X,X
IJOSTZL,O,O,X,X,O,X,X
IJOSLTZ,O,O,X,X,O,O,X
IJOSLZT,O,O,X,X,O,O,X
IJOSZTL,O,O,X,X,O,O,X
IJOSZLT,O,O,X,X,O,O,X
IJOZTLS,X,X,O,O,O,X,X
IJOZTSL,X,O,O,O,O,X,X
IJOZLTS,X,X,O,O,O,O,X
IJOZLST,X,O,O,O,O,O,X
IJOZSTL,X,O,X,X,O,O,X
IJOZSLT,X,O,X,X,O,O,X
ISTLJZO,O,O,X,X,O,O,X
ISTLJOZ,O,O,X,X,O,O,X
ISTLZJO,O,O,X,X,O,O,X
ISTLZOJ,O,O,X,X,O,O,X
ISTLOJZ,O,O,X,X,O,O,X
ISTLOZJ,O,O,X,X,O,O,X
ISTJLZO,X,O,X,X,O,O,X
ISTJLOZ,O,O,X,X,O,O,X
ISTJZLO,X,O,X,X,O,O,X
ISTJZOL,O,O,X,X,O,O,X
ISTJOLZ,O,O,X,X,O,X,X
ISTJOZL,O,O,X,X,O,X,X
ISTZLJO,X,O,X,X,O,O,X
ISTZLOJ,X,O,X,X,O,O,X
ISTZJLO,X,O,X,X,O,O,X
ISTZJOL,O,O,X,X,O,O,X
ISTZOLJ,X,O,X,X,O,O,X
ISTZOJL,O,O,X,X,O,O,X
ISTOLJZ,O,O,X,X,O,X,X
ISTOLZJ,O,O,X,X,O,X,X
ISTOJLZ,O,O,X,X,O,X,X
ISTOJZL,O,O,X,X,O,X,X
ISTOZLJ,X,O,X,X,O,X,X
ISTOZJL,O,O,X,X,O,X,X
ISLTJZO,O,O,X,X,O,O,X
ISLTJOZ,O,O,X,X,O,O,X
ISLTZJO,O,O,X,X,O,O,X
ISLTZOJ,O,O,X,X,O,O,X
ISLTOJZ,O,O,X,X,O,O,X
ISLTOZJ,O,O,X,X,O,O,X
ISLJTZO,O,O,X,X,O,O,X
ISLJTOZ,O,O,X,X,O,O,X
ISLJZTO,O,O,X,X,O,O,X
ISLJZOT,O,O,X,X,O,O,X
ISLJOTZ,O,O,X,X,O,O,X
ISLJOZT,O,O,X,X,O,O,X
ISLZTJO,O,O,X,X,O,O,X
ISLZTOJ,O,O,X,X,O,O,X
ISLZJTO,O,O,X,X,O,O,X
ISLZJOT,O,O,X,X,O,O,X
ISLZOTJ,X,O,X,X,O,O,X
ISLZOJT,O,O,X,X,O,O,X
ISLOTJZ,O,O,X,X,O,O,X
ISLOTZJ,O,O,X,X,O,O,X
ISLOJTZ,O,O,X,X,O,O,X
ISLOJZT,O,O,X,X,O,O,X
ISLOZTJ,X,O,X,X,O,O,X
ISLOZJT,O,O,X,X,O,O,X
ISJTLZO,X,O,X,X,O,O,X
ISJTLOZ,O,O,X,X,O,O,X
ISJTZLO,X,O,X,X,O,O,X
ISJTZOL,O,O,X,X,O,O,X
ISJTOLZ,O,O,X,X,O,X,X
ISJTOZL,O,O,X,X,O,X,X
ISJLTZO,X,O,X,X,O,O,X
ISJLTOZ,O,O,X,X,O,O,X
ISJLZTO,X,O,X,X,O,O,X
ISJLZOT,X,O,X,X,O,O,X
ISJLOTZ,O,O,X,X,O,O,X
ISJLOZT,O,O,X,X,O,O,X
ISJZTLO,X,O,X,X,O,O,X
ISJZTOL,O,O,X,X,O,O,X
ISJZLTO,X,O,X,X,O,O,X
ISJZLOT,X,O,X,X,O,O,X
ISJZOTL,O,O,X,X,O,O,X
ISJZOLT,O,O,X,X,O,O,X
ISJOTLZ,O,O,X,X,O,X,X
ISJOTZL,O,O,X,X,O,X,X
ISJOLTZ,O,O,X,X,O,O,X
ISJOLZT,O,O,X,X,O,O,X
ISJOZTL,O,O,X,X,O,O,X
ISJOZLT,O,O,X,X,O,O,X
ISZTLJO,X,O,X,X,O,O,X
ISZTLOJ,X,O,X,X,O,O,X
ISZTJLO,X,O,X,X,O,O,X
ISZTJOL,O,O,X,X,O,O,X
ISZTOLJ,X,O,X,X,O,O,X
ISZTOJL,O,O,X,X,O,O,X
ISZLTJO,X,O,X,X,O,O,X
ISZLTOJ,X,O,X,X,O,O,X
ISZLJTO,X,O,X,X,O,O,X
ISZLJOT,X,O,X,X,O,O,X
ISZLOTJ,X,O,X,X,O,O,X
ISZLOJT,X,O,X,X,O,O,X
ISZJTLO,X,O,X,X,O,O,X
ISZJTOL,O,O,X,X,O,O,X
ISZJLTO,X,O,X,X,O,O,X
ISZJLOT,X,O,X,X,O,O,X
ISZJOTL,O,O,X,X,O,O,X
ISZJOLT,O,O,X,X,O,O,X
ISZOTLJ,X,O,X,X,O,O,X
ISZOTJL,X,O,X,X,O,O,X
ISZOLTJ,X,O,X,X,O,O,X
ISZOLJT,X,O,X,X,O,O,X
ISZOJTL,O,O,X,X,O,O,X
ISZOJLT,O,O,X,X,O,O,X
ISOTLJZ,O,O,X,X,O,X,X
ISOTLZJ,O,O,X,X,O,X,X
ISOTJLZ,O,O,X,X,O,X,X
ISOTJZL,O,O,X,X,O,X,X
ISOTZLJ,X,O,X,X,O,X,X
ISOTZJL,O,O,X,X,O,X,X
ISOLTJZ,O,O,X,X,O,O,X
ISOLTZJ,O,O,X,X,O,O,X
ISOLJTZ,O,O,X,X,O,O,X
ISOLJZT,O,O,X,X,O,O,X
ISOLZTJ,X,O,X,X,O,O,X
ISOLZJT,O,O,X,X,O,O,X
ISOJTLZ,O,O,X,X,O,X,X
ISOJTZL,O,O,X,X,O,X,X
ISOJLTZ,O,O,X,X,O,O,X
ISOJLZT,O,O,X,X,O,O,X
ISOJZTL,O,O,X,X,O,O,X
ISOJZLT,O,O,X,X,O,O,X
ISOZTLJ,X,O,X,X,O,O,X
ISOZTJL,X,O,X,X,O,O,X
ISOZLTJ,X,O,X,X,O,O,X
ISOZLJT,X,O,X,X,O,O,X
ISOZJTL,O,O,X,X,O,O,X
ISOZJLT,O,O,X,X,O,O,X
IZTLJSO,X,O,O,X,O,O,O
IZTLJOS,X,O,O,X,X,O,X
IZTLSJO,X,O,O,X,O,O,O
IZTLSOJ,X,O,O,X,O,O,O
IZTLOJS,X,O,O,X,X,O,X
IZTLOSJ,X,O,O,X,X,O,O
IZTJLSO,X,O,O,X,O,O,O
IZTJLOS,X,O,O,X,X,O,X
IZTJSLO,X,O,X,X,O,O,O
IZTJSOL,X,O,O,X,O,O,O
