sequence,v115@9gB8HeC8GeA8IeE8CeA8KelAJvhFUiBGjB6rB/tBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFlhBGjB6sB/tBRq?BzrB,v115@9gB8HeC8GeA8IeE8CeA8Ke8FJvhFzhBaoB5oB+sBXl?BlrB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFVnBGjB/tB6rBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0BJvhFliB5oBzlBysBXl?BWxB
STJIZOL,O,O,O,O,X
STJIOLZ,O,O,O,O,X
STJIOZL,O,O,O,O,X
STJLIZO,O,O,O,X,X
STJLIOZ,O,O,O,X,X
STJLZIO,O,O,O,X,X
STJLZOI,O,O,O,X,X
STJLOIZ,O,O,O,X,X
STJLOZI,O,O,O,X,X
STJZILO,O,O,O,X,X
STJZIOL,O,O,O,O,X
STJZLIO,O,O,O,X,X
STJZLOI,O,O,O,X,X
STJZOIL,O,O,O,O,X
STJZOLI,O,O,O,O,X
STJOILZ,O,X,O,O,X
STJOIZL,O,O,O,O,X
STJOLIZ,O,X,O,X,X
STJOLZI,O,O,O,O,X
STJOZIL,O,O,O,O,X
STJOZLI,O,O,O,O,X
STZILJO,O,O,X,X,X
STZILOJ,O,O,X,X,X
STZIJLO,O,O,O,X,X
STZIJOL,O,O,O,O,X
STZIOLJ,O,O,X,O,X
STZIOJL,O,O,O,O,X
STZLIJO,O,O,X,X,X
STZLIOJ,X,O,X,X,X
STZLJIO,O,O,X,X,X
STZLJOI,O,O,X,X,X
STZLOIJ,O,X,X,X,X
STZLOJI,O,O,X,X,X
STZJILO,O,O,O,X,X
STZJIOL,O,O,O,O,X
STZJLIO,O,O,O,X,X
STZJLOI,O,O,O,X,X
STZJOIL,O,O,O,O,X
STZJOLI,O,O,O,O,X
STZOILJ,O,X,X,O,X
STZOIJL,O,O,O,O,X
STZOLIJ,X,O,X,X,X
STZOLJI,O,O,X,O,X
STZOJIL,O,O,O,O,X
STZOJLI,O,O,O,O,X
STOILJZ,O,X,X,O,X
STOILZJ,O,X,X,O,X
STOIJLZ,O,X,O,O,X
STOIJZL,O,O,O,O,X
STOIZLJ,O,X,X,O,X
STOIZJL,O,O,O,O,X
STOLIJZ,O,O,X,X,X
STOLIZJ,O,O,X,X,X
STOLJIZ,O,O,X,X,X
STOLJZI,O,O,X,O,X
STOLZIJ,O,O,X,X,X
STOLZJI,O,O,X,O,X
STOJILZ,O,X,O,O,X
STOJIZL,O,O,O,O,X
STOJLIZ,O,X,O,X,X
STOJLZI,O,O,O,O,X
STOJZIL,O,O,O,O,X
STOJZLI,O,O,O,O,X
STOZILJ,O,X,X,O,X
STOZIJL,O,O,O,O,X
STOZLIJ,O,O,X,X,X
STOZLJI,O,O,X,O,X
STOZJIL,O,O,O,O,X
STOZJLI,O,O,O,O,X
SITLJZO,O,O,X,X,X
SITLJOZ,O,O,X,X,X
SITLZJO,O,O,X,X,X
SITLZOJ,O,O,X,X,X
SITLOJZ,O,O,X,X,X
SITLOZJ,O,O,X,X,X
SITJLZO,O,O,O,X,X
SITJLOZ,O,O,O,X,X
SITJZLO,O,O,O,X,X
SITJZOL,O,O,O,O,X
SITJOLZ,O,O,O,O,X
SITJOZL,O,O,O,O,X
SITZLJO,O,O,X,X,X
SITZLOJ,O,O,X,X,X
SITZJLO,O,O,O,X,X
SITZJOL,O,O,O,O,X
SITZOLJ,O,O,X,O,X
SITZOJL,O,O,O,O,X
SITOLJZ,O,O,X,O,X
SITOLZJ,O,O,X,O,X
SITOJLZ,O,O,O,O,X
SITOJZL,O,O,O,O,X
SITOZLJ,O,O,X,O,X
SITOZJL,O,O,O,O,X
SILTJZO,O,O,X,X,X
SILTJOZ,O,O,X,X,X
SILTZJO,O,O,X,X,X
SILTZOJ,O,O,X,X,X
SILTOJZ,O,O,X,X,X
SILTOZJ,O,O,X,X,O
SILJTZO,O,O,O,X,X
SILJTOZ,O,O,O,X,O
SILJZTO,O,O,O,X,X
SILJZOT,O,O,X,O,X
SILJOTZ,O,O,X,O,O
SILJOZT,O,O,X,O,O
SILZTJO,O,O,X,X,X
SILZTOJ,O,O,X,X,X
SILZJTO,O,O,O,X,X
SILZJOT,O,O,X,O,X
SILZOTJ,O,O,X,O,X
SILZOJT,O,O,X,O,X
SILOTJZ,O,O,X,O,X
SILOTZJ,O,O,X,O,O
SILOJTZ,O,O,X,O,O
SILOJZT,O,O,X,O,O
SILOZTJ,O,O,X,O,O
SILOZJT,O,O,X,O,X
SIJTLZO,O,O,O,X,X
SIJTLOZ,O,O,O,X,X
SIJTZLO,O,O,O,X,X
SIJTZOL,O,O,O,O,X
SIJTOLZ,O,O,O,O,X
SIJTOZL,O,O,O,O,X
SIJLTZO,O,O,O,X,X
SIJLTOZ,O,O,O,X,O
SIJLZTO,O,O,O,X,X
SIJLZOT,O,O,X,O,X
SIJLOTZ,O,O,X,O,O
SIJLOZT,O,O,X,O,O
SIJZTLO,O,O,O,X,X
SIJZTOL,O,O,O,O,X
SIJZLTO,O,O,O,X,X
SIJZLOT,O,O,X,O,X
SIJZOTL,O,O,X,O,X
SIJZOLT,O,O,X,O,X
SIJOTLZ,O,O,X,O,X
SIJOTZL,O,O,X,O,X
SIJOLTZ,O,O,X,O,O
SIJOLZT,O,O,X,O,O
SIJOZTL,O,O,X,O,X
SIJOZLT,O,O,X,O,O
SIZTLJO,O,O,X,X,X
SIZTLOJ,O,O,X,X,X
SIZTJLO,O,O,O,X,X
SIZTJOL,O,O,O,O,X
SIZTOLJ,O,O,X,O,X
SIZTOJL,O,O,O,O,X
SIZLTJO,O,O,X,X,X
SIZLTOJ,O,O,X,X,X
SIZLJTO,O,O,O,X,X
SIZLJOT,O,O,X,O,X
SIZLOTJ,O,O,X,O,X
SIZLOJT,O,O,X,O,X
SIZJTLO,O,O,O,X,X
SIZJTOL,O,O,O,O,X
SIZJLTO,O,O,O,X,X
SIZJLOT,O,O,X,O,X
SIZJOTL,O,O,X,O,X
SIZJOLT,O,O,X,O,X
SIZOTLJ,O,O,X,O,X
SIZOTJL,O,O,X,O,X
SIZOLTJ,O,O,X,O,X
SIZOLJT,O,O,X,O,X
SIZOJTL,O,O,X,O,X
SIZOJLT,O,O,X,O,X
SIOTLJZ,O,O,X,O,X
SIOTLZJ,O,O,X,O,X
SIOTJLZ,O,O,X,O,X
SIOTJZL,O,O,X,O,X
SIOTZLJ,O,O,X,O,X
SIOTZJL,O,O,X,O,X
SIOLTJZ,O,O,X,O,X
SIOLTZJ,O,O,X,O,O
SIOLJTZ,O,O,X,O,O
SIOLJZT,O,O,X,O,O
SIOLZTJ,O,O,X,O,O
SIOLZJT,O,O,X,O,X
SIOJTLZ,O,O,X,O,X
SIOJTZL,O,O,X,O,X
SIOJLTZ,O,O,X,O,O
SIOJLZT,O,O,X,O,O
SIOJZTL,O,O,X,O,X
SIOJZLT,O,O,X,O,O
SIOZTLJ,O,O,X,O,X
SIOZTJL,O,O,X,O,X
SIOZLTJ,O,O,X,O,O
SIOZLJT,O,O,X,O,X
SIOZJTL,O,O,X,O,X
SIOZJLT,O,O,X,O,O
SLTIJZO,O,O,X,X,X
SLTIJOZ,O,O,X,X,X
SLTIZJO,O,O,X,X,X
SLTIZOJ,O,O,X,X,X
SLTIOJZ,O,O,X,X,X
SLTIOZJ,O,O,X,X,O
SLTJIZO,O,O,X,X,X
SLTJIOZ,O,O,X,X,X
SLTJZIO,O,O,X,X,X
SLTJZOI,O,O,X,X,X
SLTJOIZ,O,O,X,X,X
SLTJOZI,O,O,X,X,X
SLTZIJO,O,O,X,X,X
SLTZIOJ,X,O,X,X,X
SLTZJIO,O,O,X,X,X
SLTZJOI,O,O,X,X,X
SLTZOIJ,O,X,X,X,X
SLTZOJI,O,O,X,X,X
SLTOIJZ,O,O,X,X,X
SLTOIZJ,O,O,X,X,O
SLTOJIZ,O,O,X,X,X
SLTOJZI,O,O,X,X,X
SLTOZIJ,O,X,X,X,O
SLTOZJI,O,O,X,X,X
SLITJZO,O,O,X,X,X
SLITJOZ,O,O,X,X,X
SLITZJO,O,O,X,X,X
SLITZOJ,O,O,X,X,X
SLITOJZ,O,O,X,X,X
SLITOZJ,O,O,X,X,O
SLIJTZO,O,O,O,X,X
SLIJTOZ,O,O,O,X,O
SLIJZTO,O,O,O,X,X
SLIJZOT,O,O,X,O,X
SLIJOTZ,O,O,X,O,O
SLIJOZT,O,O,X,O,O
SLIZTJO,O,O,X,X,X
SLIZTOJ,O,O,X,X,X
SLIZJTO,O,O,O,X,X
SLIZJOT,O,O,X,O,X
SLIZOTJ,O,O,X,O,X
SLIZOJT,O,O,X,O,X
SLIOTJZ,O,O,X,O,X
SLIOTZJ,O,O,X,O,O
SLIOJTZ,O,O,X,O,O
SLIOJZT,O,O,X,O,O
SLIOZTJ,O,O,X,O,O
SLIOZJT,O,O,X,O,X
SLJTIZO,O,O,O,X,X
SLJTIOZ,O,O,O,X,O
SLJTZIO,O,O,O,X,X
SLJTZOI,O,O,O,X,X
SLJTOIZ,O,O,O,X,O
SLJTOZI,O,O,O,X,O
SLJITZO,O,O,O,X,X
SLJITOZ,O,O,O,X,O
SLJIZTO,O,O,O,X,X
SLJIZOT,O,O,X,O,X
SLJIOTZ,O,O,X,O,O
SLJIOZT,O,O,X,O,O
SLJZTIO,O,O,O,X,X
SLJZTOI,O,O,O,X,X
SLJZITO,O,O,O,X,X
SLJZIOT,X,O,X,O,X
SLJZOTI,O,O,X,O,X
SLJZOIT,X,O,X,O,X
SLJOTIZ,O,O,X,X,O
SLJOTZI,O,O,X,O,O
SLJOITZ,O,O,X,O,O
SLJOIZT,O,O,X,O,O
SLJOZTI,O,O,X,O,O
SLJOZIT,O,O,X,O,O
SLZTIJO,O,O,X,X,X
SLZTIOJ,X,O,X,X,X
SLZTJIO,O,O,X,X,X
SLZTJOI,O,O,X,X,X
SLZTOIJ,O,X,X,X,X
SLZTOJI,O,O,X,X,X
SLZITJO,O,O,X,X,X
SLZITOJ,X,O,X,X,X
SLZIJTO,O,O,O,X,X
SLZIJOT,X,O,X,O,X
SLZIOTJ,X,O,X,O,X
SLZIOJT,X,O,X,O,X
SLZJTIO,O,O,O,X,X
SLZJTOI,O,O,O,X,X
SLZJITO,O,O,O,X,X
SLZJIOT,X,O,X,O,X
SLZJOTI,O,O,X,O,X
SLZJOIT,X,O,X,O,X
SLZOTIJ,O,O,X,X,X
SLZOTJI,O,O,X,O,X
SLZOITJ,O,O,X,O,X
SLZOIJT,O,O,X,O,X
SLZOJTI,O,O,X,O,X
SLZOJIT,O,O,X,O,X
SLOTIJZ,O,O,X,X,X
SLOTIZJ,O,O,X,X,O
SLOTJIZ,O,O,X,X,X
SLOTJZI,O,O,X,O,X
SLOTZIJ,O,O,X,X,O
SLOTZJI,O,O,X,O,X
SLOITJZ,O,O,X,O,X
SLOITZJ,O,O,X,O,O
SLOIJTZ,O,O,X,O,O
SLOIJZT,O,O,X,O,O
SLOIZTJ,O,O,X,O,O
SLOIZJT,O,O,X,O,X
SLOJTIZ,O,O,X,X,O
SLOJTZI,O,O,X,O,O
SLOJITZ,O,O,X,O,O
SLOJIZT,O,O,X,O,O
SLOJZTI,O,O,X,O,O
SLOJZIT,O,O,X,O,O
SLOZTIJ,O,O,X,X,O
SLOZTJI,O,O,X,O,X
SLOZITJ,O,O,X,O,O
SLOZIJT,O,O,X,O,X
SLOZJTI,O,O,X,O,X
SLOZJIT,O,O,X,O,X
SJTILZO,O,O,O,X,X
SJTILOZ,O,O,O,X,X
SJTIZLO,O,O,O,X,X
SJTIZOL,O,O,O,O,X
SJTIOLZ,O,O,O,O,X
SJTIOZL,O,O,O,O,X
SJTLIZO,O,O,O,X,X
SJTLIOZ,O,O,O,X,X
SJTLZIO,O,O,O,X,X
SJTLZOI,O,O,O,X,X
SJTLOIZ,O,O,O,X,X
SJTLOZI,O,O,O,X,X
SJTZILO,O,O,O,X,X
SJTZIOL,O,O,O,O,X
SJTZLIO,O,O,O,X,X
SJTZLOI,O,O,O,X,X
SJTZOIL,O,O,O,O,X
SJTZOLI,O,O,O,O,X
SJTOILZ,O,X,O,O,X
SJTOIZL,O,O,O,O,X
SJTOLIZ,O,X,O,X,X
SJTOLZI,O,O,O,O,X
SJTOZIL,O,O,O,O,X
SJTOZLI,O,O,O,O,X
SJITLZO,O,O,O,X,X
SJITLOZ,O,O,O,X,X
SJITZLO,O,O,O,X,X
SJITZOL,O,O,O,O,X
SJITOLZ,O,O,O,O,X
SJITOZL,O,O,O,O,X
SJILTZO,O,O,O,X,X
SJILTOZ,O,O,O,X,O
SJILZTO,O,O,O,X,X
SJILZOT,O,O,X,O,X
SJILOTZ,O,O,X,O,O
SJILOZT,O,O,X,O,O
SJIZTLO,O,O,O,X,X
SJIZTOL,O,O,O,O,X
SJIZLTO,O,O,O,X,X
SJIZLOT,O,O,X,O,X
SJIZOTL,O,O,X,O,X
SJIZOLT,O,O,X,O,X
SJIOTLZ,O,O,X,O,X
SJIOTZL,O,O,X,O,X
SJIOLTZ,O,O,X,O,O
SJIOLZT,O,O,X,O,O
SJIOZTL,O,O,X,O,X
SJIOZLT,O,O,X,O,O
SJLTIZO,O,O,O,X,X
SJLTIOZ,O,O,O,X,O
SJLTZIO,O,O,O,X,X
SJLTZOI,O,O,O,X,X
SJLTOIZ,O,O,O,X,O
SJLTOZI,O,O,O,X,O
SJLITZO,O,O,O,X,X
SJLITOZ,O,O,O,X,O
SJLIZTO,O,O,O,X,X
SJLIZOT,O,O,X,O,X
SJLIOTZ,O,O,X,O,O
SJLIOZT,O,O,X,O,O
SJLZTIO,O,O,O,X,X
SJLZTOI,O,O,O,X,X
SJLZITO,O,O,O,X,X
SJLZIOT,X,O,X,O,X
SJLZOTI,O,O,X,O,X
SJLZOIT,X,O,X,O,X
SJLOTIZ,O,O,X,X,O
SJLOTZI,O,O,X,O,O
SJLOITZ,O,O,X,O,O
SJLOIZT,O,O,X,O,O
SJLOZTI,O,O,X,O,O
SJLOZIT,O,O,X,O,O
SJZTILO,O,O,O,X,X
SJZTIOL,O,O,O,O,X
SJZTLIO,O,O,O,X,X
SJZTLOI,O,O,O,X,X
SJZTOIL,O,O,O,O,X
SJZTOLI,O,O,O,O,X
SJZITLO,O,O,O,X,X
SJZITOL,O,O,O,O,X
SJZILTO,O,O,O,X,X
SJZILOT,O,O,X,O,X
SJZIOTL,O,O,X,O,X
SJZIOLT,O,O,X,O,X
SJZLTIO,O,O,O,X,X
SJZLTOI,O,O,O,X,X
SJZLITO,O,O,O,X,X
SJZLIOT,X,O,X,O,X
SJZLOTI,O,O,X,O,X
SJZLOIT,X,O,X,O,X
SJZOTIL,O,O,X,O,X
SJZOTLI,O,O,X,O,X
SJZOITL,O,O,X,O,X
SJZOILT,O,O,X,O,X
SJZOLTI,O,O,X,O,X
SJZOLIT,O,O,X,O,X
SJOTILZ,O,X,X,O,X
SJOTIZL,O,O,X,O,X
SJOTLIZ,O,X,X,X,X
SJOTLZI,O,O,X,O,X
SJOTZIL,O,O,X,O,X
SJOTZLI,O,O,X,O,X
SJOITLZ,O,O,X,O,X
SJOITZL,O,O,X,O,X
SJOILTZ,O,O,X,O,O
SJOILZT,O,O,X,O,O
SJOIZTL,O,O,X,O,X
SJOIZLT,O,O,X,O,O
SJOLTIZ,O,O,X,X,O
SJOLTZI,O,O,X,O,O
SJOLITZ,O,O,X,O,O
SJOLIZT,O,O,X,O,O
SJOLZTI,O,O,X,O,O
SJOLZIT,O,O,X,O,O
SJOZTIL,O,O,X,O,X
SJOZTLI,O,O,X,O,X
SJOZITL,O,O,X,O,X
SJOZILT,O,O,X,O,O
SJOZLTI,O,O,X,O,O
SJOZLIT,O,O,X,O,O
SZTILJO,O,O,X,X,X
SZTILOJ,O,O,X,X,X
SZTIJLO,O,O,O,X,X
SZTIJOL,O,O,O,O,X
SZTIOLJ,O,O,X,O,X
SZTIOJL,O,O,O,O,X
SZTLIJO,O,O,X,X,X
SZTLIOJ,X,O,X,X,X
SZTLJIO,O,O,X,X,X
SZTLJOI,O,O,X,X,X
SZTLOIJ,O,X,X,X,X
SZTLOJI,O,O,X,X,X
SZTJILO,O,O,O,X,X
SZTJIOL,O,O,O,O,X
SZTJLIO,O,O,O,X,X
SZTJLOI,O,O,O,X,X
SZTJOIL,O,O,O,O,X
SZTJOLI,O,O,O,O,X
SZTOILJ,O,X,X,O,X
SZTOIJL,O,O,O,O,X
SZTOLIJ,X,O,X,X,X
SZTOLJI,O,O,X,O,X
SZTOJIL,O,O,O,O,X
SZTOJLI,O,O,O,O,X
SZITLJO,O,O,X,X,X
SZITLOJ,O,O,X,X,X
SZITJLO,O,O,O,X,X
SZITJOL,O,O,O,O,X
SZITOLJ,O,O,X,O,X
SZITOJL,O,O,O,O,X
SZILTJO,O,O,X,X,X
SZILTOJ,O,O,X,X,X
SZILJTO,O,O,O,X,X
SZILJOT,O,O,X,O,X
SZILOTJ,O,O,X,O,X
SZILOJT,O,O,X,O,X
SZIJTLO,O,O,O,X,X
SZIJTOL,O,O,O,O,X
SZIJLTO,O,O,O,X,X
SZIJLOT,O,O,X,O,X
SZIJOTL,O,O,X,O,X
SZIJOLT,O,O,X,O,X
SZIOTLJ,O,O,X,O,X
SZIOTJL,O,O,X,O,X
SZIOLTJ,O,O,X,O,X
SZIOLJT,O,O,X,O,X
SZIOJTL,O,O,X,O,X
SZIOJLT,O,O,X,O,X
SZLTIJO,O,O,X,X,X
SZLTIOJ,X,O,X,X,X
SZLTJIO,O,O,X,X,X
SZLTJOI,O,O,X,X,X
SZLTOIJ,O,X,X,X,X
SZLTOJI,O,O,X,X,X
SZLITJO,O,O,X,X,X
SZLITOJ,X,O,X,X,X
SZLIJTO,O,O,O,X,X
SZLIJOT,X,O,X,O,X
SZLIOTJ,X,O,X,O,X
SZLIOJT,X,O,X,O,X
SZLJTIO,O,O,O,X,X
SZLJTOI,O,O,O,X,X
SZLJITO,O,O,O,X,X
SZLJIOT,X,O,X,O,X
SZLJOTI,O,O,X,O,X
SZLJOIT,X,O,X,O,X
SZLOTIJ,O,O,X,X,X
SZLOTJI,O,O,X,O,X
SZLOITJ,O,O,X,O,X
SZLOIJT,O,O,X,O,X
SZLOJTI,O,O,X,O,X
SZLOJIT,O,O,X,O,X
SZJTILO,O,O,O,X,X
SZJTIOL,O,O,O,O,X
SZJTLIO,O,O,O,X,X
SZJTLOI,O,O,O,X,X
SZJTOIL,O,O,O,O,X
SZJTOLI,O,O,O,O,X
SZJITLO,O,O,O,X,X
SZJITOL,O,O,O,O,X
SZJILTO,O,O,O,X,X
SZJILOT,O,O,X,O,X
SZJIOTL,O,O,X,O,X
SZJIOLT,O,O,X,O,X
SZJLTIO,O,O,O,X,X
SZJLTOI,O,O,O,X,X
SZJLITO,O,O,O,X,X
SZJLIOT,X,O,X,O,X
SZJLOTI,O,O,X,O,X
SZJLOIT,X,O,X,O,X
SZJOTIL,O,O,X,O,X
SZJOTLI,O,O,X,O,X
SZJOITL,O,O,X,O,X
SZJOILT,O,O,X,O,X
SZJOLTI,O,O,X,O,X
SZJOLIT,O,O,X,O,X
SZOTILJ,O,X,X,O,X
SZOTIJL,O,O,X,O,X
SZOTLIJ,O,O,X,X,X
SZOTLJI,O,O,X,O,X
SZOTJIL,O,O,X,O,X
SZOTJLI,O,O,X,O,X
SZOITLJ,O,O,X,O,X
SZOITJL,O,O,X,O,X
SZOILTJ,O,O,X,O,X
SZOILJT,O,O,X,O,X
SZOIJTL,O,O,X,O,X
SZOIJLT,O,O,X,O,X
SZOLTIJ,O,O,X,X,X
SZOLTJI,O,O,X,O,X
SZOLITJ,O,O,X,O,X
SZOLIJT,O,O,X,O,X
SZOLJTI,O,O,X,O,X
SZOLJIT,O,O,X,O,X
SZOJTIL,O,O,X,O,X
SZOJTLI,O,O,X,O,X
SZOJITL,O,O,X,O,X
SZOJILT,O,O,X,O,X
SZOJLTI,O,O,X,O,X
SZOJLIT,O,O,X,O,X
SOTILJZ,O,X,X,O,X
SOTILZJ,O,X,X,O,X
SOTIJLZ,O,X,X,O,X
SOTIJZL,O,O,X,O,X
SOTIZLJ,O,X,X,O,X
SOTIZJL,O,O,X,O,X
SOTLIJZ,O,O,X,X,X
SOTLIZJ,O,O,X,X,X
SOTLJIZ,O,O,X,X,X
SOTLJZI,O,O,X,O,X
SOTLZIJ,O,O,X,X,X
SOTLZJI,O,O,X,O,X
SOTJILZ,O,X,X,O,X
SOTJIZL,O,O,X,O,X
SOTJLIZ,O,X,X,X,X
SOTJLZI,O,O,X,O,X
SOTJZIL,O,O,X,O,X
SOTJZLI,O,O,X,O,X
SOTZILJ,O,X,X,O,X
SOTZIJL,O,O,X,O,X
SOTZLIJ,O,O,X,X,X
SOTZLJI,O,O,X,O,X
SOTZJIL,O,O,X,O,X
SOTZJLI,O,O,X,O,X
SOITLJZ,O,O,X,O,X
SOITLZJ,O,O,X,O,X
SOITJLZ,O,O,X,O,X
SOITJZL,O,O,X,O,X
SOITZLJ,O,O,X,O,X
SOITZJL,O,O,X,O,X
SOILTJZ,O,O,X,O,X
SOILTZJ,O,O,X,O,O
SOILJTZ,O,O,X,O,O
SOILJZT,O,O,X,O,O
SOILZTJ,O,O,X,O,O
SOILZJT,O,O,X,O,X
SOIJTLZ,O,O,X,O,X
SOIJTZL,O,O,X,O,X
SOIJLTZ,O,O,X,O,O
SOIJLZT,O,O,X,O,O
SOIJZTL,O,O,X,O,X
SOIJZLT,O,O,X,O,O
SOIZTLJ,O,O,X,O,X
SOIZTJL,O,O,X,O,X
SOIZLTJ,O,O,X,O,O
SOIZLJT,O,O,X,O,X
SOIZJTL,O,O,X,O,X
SOIZJLT,O,O,X,O,O
SOLTIJZ,O,O,X,X,X
SOLTIZJ,O,O,X,X,O
SOLTJIZ,O,O,X,X,X
SOLTJZI,O,O,X,O,X
SOLTZIJ,O,O,X,X,O
SOLTZJI,O,O,X,O,X
SOLITJZ,O,O,X,O,X
SOLITZJ,O,O,X,O,O
SOLIJTZ,O,O,X,O,O
SOLIJZT,O,O,X,O,O
SOLIZTJ,O,O,X,O,O
SOLIZJT,O,O,X,O,X
SOLJTIZ,O,O,X,X,O
SOLJTZI,O,O,X,O,O
SOLJITZ,O,O,X,O,O
SOLJIZT,O,O,X,O,O
SOLJZTI,O,O,X,O,O
SOLJZIT,O,O,X,O,O
SOLZTIJ,O,O,X,X,O
SOLZTJI,O,O,X,O,X
SOLZITJ,O,O,X,O,O
SOLZIJT,O,O,X,O,X
SOLZJTI,O,O,X,O,X
SOLZJIT,O,O,X,O,X
SOJTILZ,O,X,X,O,X
SOJTIZL,O,O,X,O,X
SOJTLIZ,O,X,X,X,X
SOJTLZI,O,O,X,O,X
SOJTZIL,O,O,X,O,X
SOJTZLI,O,O,X,O,X
SOJITLZ,O,O,X,O,X
SOJITZL,O,O,X,O,X
SOJILTZ,O,O,X,O,O
SOJILZT,O,O,X,O,O
SOJIZTL,O,O,X,O,X
SOJIZLT,O,O,X,O,O
SOJLTIZ,O,O,X,X,O
SOJLTZI,O,O,X,O,O
SOJLITZ,O,O,X,O,O
SOJLIZT,O,O,X,O,O
SOJLZTI,O,O,X,O,O
SOJLZIT,O,O,X,O,O
SOJZTIL,O,O,X,O,X
SOJZTLI,O,O,X,O,X
SOJZITL,O,O,X,O,X
SOJZILT,O,O,X,O,O
SOJZLTI,O,O,X,O,O
SOJZLIT,O,O,X,O,O
SOZTILJ,O,X,X,O,X
SOZTIJL,O,O,X,O,X
SOZTLIJ,O,O,X,X,X
SOZTLJI,O,O,X,O,X
SOZTJIL,O,O,X,O,X
SOZTJLI,O,O,X,O,X
SOZITLJ,O,O,X,O,X
SOZITJL,O,O,X,O,X
SOZILTJ,O,O,X,O,O
SOZILJT,O,O,X,O,X
SOZIJTL,O,O,X,O,X
SOZIJLT,O,O,X,O,O
SOZLTIJ,O,O,X,X,O
SOZLTJI,O,O,X,O,X
SOZLITJ,O,O,X,O,O
SOZLIJT,O,O,X,O,X
SOZLJTI,O,O,X,O,X
SOZLJIT,O,O,X,O,X
SOZJTIL,O,O,X,O,X
SOZJTLI,O,O,X,O,X
SOZJITL,O,O,X,O,X
SOZJILT,O,O,X,O,O
SOZJLTI,O,O,X,O,O
SOZJLIT,O,O,X,O,O
ZTILJSO,O,O,O,X,X
ZTILJOS,X,X,O,X,X
ZTILSJO,O,O,X,X,X
ZTILSOJ,O,O,X,X,X
ZTILOJS,O,X,O,X,X
ZTILOSJ,O,O,X,X,X
ZTIJLSO,X,O,O,X,X
ZTIJLOS,X,X,O,X,X
ZTIJSLO,X,O,O,X,X
ZTIJSOL,X,O,O,X,X
ZTIJOLS,X,X,O,X,X
ZTIJOSL,X,O,O,X,X
ZTISLJO,O,O,X,X,X
ZTISLOJ,O,O,X,X,X
ZTISJLO,O,O,O,X,X
ZTISJOL,O,O,O,O,X
ZTISOLJ,O,O,X,O,X
ZTISOJL,O,O,O,O,X
ZTIOLJS,X,O,O,X,X
ZTIOLSJ,O,O,X,O,X
ZTIOJLS,X,X,O,X,X
ZTIOJSL,O,O,O,O,X
ZTIOSLJ,O,O,X,O,X
ZTIOSJL,O,O,O,O,X
ZTLIJSO,X,O,O,X,X
ZTLIJOS,X,X,O,X,X
ZTLISJO,O,O,X,X,X
ZTLISOJ,X,O,X,X,X
ZTLIOJS,X,X,O,X,X
ZTLIOSJ,X,O,X,X,X
ZTLJISO,X,X,O,X,X
ZTLJIOS,X,X,O,X,X
ZTLJSIO,O,O,O,X,X
ZTLJSOI,O,O,O,X,X
ZTLJOIS,X,X,O,X,X
ZTLJOSI,X,X,O,X,X
ZTLSIJO,O,O,X,X,X
ZTLSIOJ,X,O,X,X,X
ZTLSJIO,O,O,X,X,X
ZTLSJOI,O,O,X,X,X
ZTLSOIJ,O,X,X,X,X
ZTLSOJI,O,O,X,X,X
ZTLOIJS,X,X,O,X,X
ZTLOISJ,O,X,X,X,X
ZTLOJIS,X,X,O,X,X
ZTLOJSI,O,X,O,X,X
ZTLOSIJ,O,X,X,X,X
ZTLOSJI,O,O,X,X,X
ZTJILSO,X,O,O,X,X
ZTJILOS,X,X,O,X,X
ZTJISLO,X,O,O,X,X
ZTJISOL,X,O,O,X,X
ZTJIOLS,X,X,O,X,X
ZTJIOSL,X,O,O,X,X
ZTJLISO,X,X,O,X,X
ZTJLIOS,X,X,O,X,X
ZTJLSIO,X,O,O,X,X
ZTJLSOI,X,O,O,X,X
ZTJLOIS,X,X,O,X,X
ZTJLOSI,X,X,O,X,X
ZTJSILO,X,O,O,X,X
ZTJSIOL,X,O,O,X,X
ZTJSLIO,X,O,O,X,X
ZTJSLOI,X,O,O,X,X
ZTJSOIL,X,O,O,X,X
ZTJSOLI,X,O,O,X,X
ZTJOILS,X,X,O,X,X
ZTJOISL,X,X,O,X,X
ZTJOLIS,X,X,O,X,X
ZTJOLSI,X,X,O,X,X
ZTJOSIL,X,O,O,X,X
ZTJOSLI,X,O,O,X,X
ZTSILJO,O,O,X,X,X
ZTSILOJ,O,O,X,X,X
ZTSIJLO,O,O,O,X,X
ZTSIJOL,O,O,O,O,X
ZTSIOLJ,O,O,X,O,X
ZTSIOJL,O,O,O,O,X
ZTSLIJO,O,O,X,X,X
ZTSLIOJ,X,O,X,X,X
ZTSLJIO,O,O,X,X,X
ZTSLJOI,O,O,X,X,X
ZTSLOIJ,O,X,X,X,X
ZTSLOJI,O,O,X,X,X
ZTSJILO,O,O,O,X,X
ZTSJIOL,O,O,O,O,X
ZTSJLIO,O,O,O,X,X
ZTSJLOI,O,O,O,X,X
ZTSJOIL,O,O,O,O,X
ZTSJOLI,O,O,O,O,X
ZTSOILJ,O,X,X,O,X
