sequence,v115@9gB8HeC8GeA8IeE8CeA8KelAJvhFUiBGjB6rB/tBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFlhBGjB6sB/tBRq?BzrB,v115@9gB8HeC8GeA8IeE8CeA8Ke8FJvhFzhBaoB5oB+sBXl?BlrB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFVnBGjB/tB6rBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0BJvhFliB5oBzlBysBXl?BWxB
TJSOLIZ,O,X,O,X,X
TJSOLZI,O,X,O,X,X
TJSOZIL,O,X,O,X,X
TJSOZLI,O,X,O,X,X
TJZILSO,X,X,O,X,X
TJZILOS,X,X,O,X,X
TJZISLO,X,X,O,X,X
TJZISOL,X,X,O,X,X
TJZIOLS,X,X,O,X,X
TJZIOSL,X,X,O,X,X
TJZLISO,X,X,O,X,X
TJZLIOS,X,X,O,X,X
TJZLSIO,X,X,O,X,X
TJZLSOI,X,X,O,X,X
TJZLOIS,X,X,O,X,X
TJZLOSI,X,X,O,X,X
TJZSILO,X,X,O,X,X
TJZSIOL,X,X,O,X,X
TJZSLIO,X,X,O,X,X
TJZSLOI,X,X,O,X,X
TJZSOIL,X,X,O,X,X
TJZSOLI,X,X,O,X,X
TJZOILS,X,X,O,X,X
TJZOISL,X,X,O,X,X
TJZOLIS,X,X,O,X,X
TJZOLSI,X,X,O,X,X
TJZOSIL,X,X,O,X,X
TJZOSLI,X,X,O,X,X
TJOILSZ,X,X,O,X,O
TJOILZS,X,X,O,X,O
TJOISLZ,O,X,O,X,X
TJOISZL,O,X,O,X,X
TJOIZLS,X,X,O,X,O
TJOIZSL,O,X,O,X,X
TJOLISZ,X,X,O,X,O
TJOLIZS,X,X,O,X,O
TJOLSIZ,X,X,O,X,O
TJOLSZI,X,X,O,X,O
TJOLZIS,X,X,O,X,O
TJOLZSI,X,X,O,X,O
TJOSILZ,O,X,O,X,X
TJOSIZL,O,X,O,X,X
TJOSLIZ,O,X,O,X,X
TJOSLZI,O,X,O,X,X
TJOSZIL,O,X,O,X,X
TJOSZLI,O,X,O,X,X
TJOZILS,X,X,O,X,O
TJOZISL,X,X,O,X,X
TJOZLIS,X,X,O,X,O
