sequence,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeUAJvhFXiBTjB?tpBerBCmBRxB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeCAJvhFXiBTjB?8pBtqBOrBRxB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8Jez/IvhF0hBxiB?CqB2wBtqBXtB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeOGJvhFXiBTjB?SqBtpB0qBRxB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeTDJvhFRqBupB?9qBKrBfsB0sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8Je5EJvhFNlBamB?TjBWwBfsB0sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JezBJvhFRqBupB?9qBKrBctB3sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeRAJvhFTjBtpB?XmB0qB2xBCsB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JemBJvhFRqBtpB?6qBctBTrB3sB,v115@9gA8IeA8FeA8BeA8DeF8AeA8FeA8JeRAJvhFTjBupB?9qBKrBfsB0sB
TSIOLZJ,O,O,X,X,X,X,X,X,X,X
TSIOJLZ,O,X,X,O,X,O,X,X,X,X
TSIOJZL,O,O,X,X,X,X,X,O,X,X
TSIOZLJ,O,O,X,X,X,X,X,O,X,X
TSIOZJL,O,O,X,X,X,X,X,O,X,X
TSLIJZO,O,X,X,O,X,X,X,X,X,X
TSLIJOZ,O,X,X,O,X,X,X,X,X,X
TSLIZJO,O,X,X,X,X,X,X,X,X,X
TSLIZOJ,O,X,X,X,X,X,X,X,X,X
TSLIOJZ,O,X,X,O,X,X,X,X,X,X
TSLIOZJ,O,X,X,X,X,X,X,X,X,X
TSLJIZO,X,X,X,O,X,X,X,X,X,X
TSLJIOZ,X,X,X,O,X,X,X,X,X,X
TSLJZIO,X,X,X,O,X,X,X,O,X,X
TSLJZOI,O,X,X,O,X,X,X,O,X,X
TSLJOIZ,X,X,X,O,X,X,X,X,X,X
TSLJOZI,O,X,X,O,X,X,X,O,X,X
TSLZIJO,O,O,X,X,X,X,X,O,X,X
TSLZIOJ,O,O,X,X,X,X,X,O,X,X
TSLZJIO,X,O,X,X,X,X,X,O,X,X
TSLZJOI,O,O,X,X,X,X,X,O,X,X
TSLZOIJ,O,O,X,X,X,X,X,O,X,X
TSLZOJI,O,O,X,X,X,X,X,O,X,X
TSLOIJZ,O,X,X,O,X,X,X,X,X,X
TSLOIZJ,O,X,X,X,X,X,X,X,X,X
TSLOJIZ,X,X,X,O,X,X,X,X,X,X
TSLOJZI,O,X,X,O,X,X,X,O,X,X
TSLOZIJ,O,O,X,X,X,X,X,O,X,X
TSLOZJI,O,O,X,X,X,X,X,O,X,X
TSJILZO,O,X,X,O,X,O,X,X,X,X
TSJILOZ,O,X,X,O,X,O,X,X,X,X
TSJIZLO,O,X,X,X,X,X,X,O,X,X
TSJIZOL,O,X,X,X,X,X,X,O,X,X
TSJIOLZ,O,X,X,O,X,O,X,X,X,X
TSJIOZL,O,X,X,X,X,X,X,O,X,X
TSJLIZO,X,X,X,O,X,O,X,X,X,X
