sequence,v115@ChB8IeB8GeC8BeA8DeD8Ke0/IvhFaoB5oB/pBFmBTq?BmqB,v115@ChB8IeB8GeC8BeA8DeD8KeT/IvhFaoB5oB/qBFmB0p?BmqB,v115@ChB8IeB8GeC8BeA8DeD8KeUBJvhFaoB5oB/pBFlBzq?BmpB,v115@ChB8IeB8GeC8BeA8DeD8KeT/IvhFlgBaoB5oB/qBOr?B0pB,v115@ChB8IeB8GeC8BeA8DeD8Kel/IvhFUhBaoB5oB/pBOq?BzqB,v115@ChB8IeB8GeC8BeA8DeD8Ke0/IvhFlgBaoB5oB/pBOr?BTqB,v115@ChB8IeB8GeC8BeA8DeD8KeOEJvhF8kBaoB5oBFmBXq?BzqB,v115@ChB8IeB8GeC8BeA8DeD8KeaIJvhF5oBTkB/qBFmB0p?BmqB,v115@ChB8IeB8GeC8BeA8DeD8KeKEJvhFRgBGjBFmB/tB0q?BzpB,v115@ChB8IeB8GeC8BeA8DeD8KeyEJvhFGjBFmB/tBxpB0p?BzqB,v115@ChB8IeB8GeC8BeA8DeD8Kex/IvhF/pBUlBFmBToByv?BGtB
IZLJOTS,X,X,X,O,O,O,X,X,X,X,X
IZLJOST,X,O,O,O,O,O,X,X,X,X,X
IZLSTJO,O,O,X,O,O,O,O,X,O,O,X
IZLSTOJ,O,O,X,O,O,O,O,O,O,X,X
IZLSJTO,O,O,X,O,O,O,O,X,O,O,X
IZLSJOT,O,O,X,O,O,O,O,X,X,X,X
IZLSOTJ,O,O,O,O,O,O,O,O,X,X,X
IZLSOJT,O,O,O,O,O,O,O,X,X,X,X
IZLOTJS,X,X,X,O,O,X,X,X,X,X,X
IZLOTSJ,O,O,O,O,O,O,X,X,X,X,X
IZLOJTS,X,X,X,O,O,X,X,X,X,X,X
IZLOJST,X,O,O,O,O,X,X,X,X,X,X
IZLOSTJ,O,O,O,O,O,O,X,O,X,X,X
IZLOSJT,O,O,O,O,O,O,X,X,X,X,X
IZJTLSO,X,X,X,O,O,O,X,X,X,X,X
IZJTLOS,X,X,X,O,X,O,X,X,X,X,X
IZJTSLO,X,X,X,O,O,O,X,X,X,X,X
IZJTSOL,X,X,X,O,O,O,X,X,X,X,X
IZJTOLS,X,X,X,O,X,O,X,X,X,X,X
IZJTOSL,X,X,X,O,X,O,X,X,X,X,X
IZJLTSO,X,X,X,O,O,O,X,X,X,X,X
IZJLTOS,X,X,X,O,X,O,X,X,X,X,X
IZJLSTO,X,O,X,O,O,O,X,X,X,X,X
IZJLSOT,X,O,X,O,O,O,X,X,X,X,X
IZJLOTS,X,X,X,O,O,O,X,X,X,X,X
IZJLOST,X,O,O,O,O,O,X,X,X,X,X
IZJSTLO,X,O,X,O,O,O,X,X,X,X,X
IZJSTOL,X,O,X,O,O,O,X,X,X,X,X
IZJSLTO,X,O,X,O,O,O,X,X,X,X,X
IZJSLOT,X,O,X,O,O,O,X,X,X,X,X
IZJSOTL,X,O,X,O,O,O,X,X,X,X,X
IZJSOLT,X,O,X,O,O,O,X,X,X,X,X
IZJOTLS,X,X,X,O,O,O,X,X,X,X,X
IZJOTSL,X,X,X,O,O,O,X,X,X,X,X
IZJOLTS,X,X,X,O,O,O,X,X,X,X,X
IZJOLST,X,O,O,O,O,O,X,X,X,X,X
IZJOSTL,X,O,O,O,O,O,X,X,X,X,X
IZJOSLT,X,O,O,O,O,O,X,X,X,X,X
IZSTLJO,O,O,X,O,O,O,O,X,O,O,X
IZSTLOJ,O,O,X,O,O,O,O,O,O,X,X
IZSTJLO,O,O,X,O,O,O,O,X,O,O,X
IZSTJOL,X,O,X,O,O,O,O,X,X,X,X
IZSTOLJ,O,O,X,O,O,O,O,O,X,X,X
IZSTOJL,O,O,X,O,O,O,O,X,X,X,X
IZSLTJO,O,O,X,O,O,O,O,X,O,O,X
IZSLTOJ,O,O,X,O,O,O,O,O,O,X,X
IZSLJTO,O,O,X,O,O,O,O,X,O,O,X
IZSLJOT,O,O,X,O,O,O,O,X,X,X,X
IZSLOTJ,O,O,O,O,O,O,O,O,X,X,X
IZSLOJT,O,O,O,O,O,O,O,X,X,X,X
IZSJTLO,O,O,X,O,O,O,O,X,O,O,X
IZSJTOL,X,O,X,O,O,O,O,X,X,X,X
IZSJLTO,O,O,X,O,O,O,O,X,O,O,X
IZSJLOT,O,O,X,O,O,O,O,X,X,X,X
IZSJOTL,O,O,X,O,O,O,O,X,X,X,X
IZSJOLT,O,O,X,O,O,O,O,X,X,X,X
IZSOTLJ,O,O,O,O,O,O,O,O,X,X,X
IZSOTJL,O,O,O,O,O,O,O,X,X,X,X
IZSOLTJ,O,O,O,O,O,O,O,O,X,X,X
IZSOLJT,O,O,O,O,O,O,O,X,X,X,X
IZSOJTL,O,O,O,O,O,O,O,X,X,X,X
IZSOJLT,O,O,O,O,O,O,O,X,X,X,X
IZOTLJS,X,X,X,O,O,X,X,X,X,X,X
IZOTLSJ,O,O,O,O,O,O,X,X,X,X,X
IZOTJLS,X,X,X,O,O,X,X,X,X,X,X
IZOTJSL,X,X,X,O,O,X,X,X,X,X,X
IZOTSLJ,O,O,O,O,O,O,X,X,X,X,X
IZOTSJL,O,O,O,O,O,O,X,X,X,X,X
IZOLTJS,X,X,X,O,O,X,X,X,X,X,X
IZOLTSJ,O,O,O,O,O,O,X,X,X,X,X
IZOLJTS,X,X,X,O,O,X,X,X,X,X,X
IZOLJST,X,O,O,O,O,X,X,X,X,X,X
IZOLSTJ,O,O,O,O,O,O,X,O,X,X,X
IZOLSJT,O,O,O,O,O,O,X,X,X,X,X
IZOJTLS,X,X,X,O,O,X,X,X,X,X,X
IZOJTSL,X,X,X,O,O,X,X,X,X,X,X
IZOJLTS,X,X,X,O,O,X,X,X,X,X,X
IZOJLST,X,O,O,O,O,X,X,X,X,X,X
IZOJSTL,X,O,O,O,O,X,X,X,X,X,X
IZOJSLT,X,O,O,O,O,X,X,X,X,X,X
IZOSTLJ,O,O,O,O,O,O,X,O,X,X,X
IZOSTJL,O,O,O,O,O,O,X,X,X,X,X
IZOSLTJ,O,O,O,O,O,O,X,O,X,X,X
IZOSLJT,O,O,O,O,O,O,X,X,X,X,X
IZOSJTL,O,O,O,O,O,O,X,X,X,X,X
IZOSJLT,O,O,O,O,O,O,X,X,X,X,X
IOTLJSZ,O,X,X,X,O,O,X,X,X,X,X
IOTLJZS,X,X,X,X,O,X,X,X,X,X,X
IOTLSJZ,O,X,O,X,O,O,X,O,X,O,X
IOTLSZJ,O,O,O,X,O,O,O,O,X,X,X
IOTLZJS,X,X,X,X,O,X,X,X,X,X,X
IOTLZSJ,O,X,O,X,O,O,X,X,X,X,X
IOTJLSZ,O,X,X,X,O,O,X,X,X,X,X
IOTJLZS,X,X,X,X,O,X,X,X,X,X,X
IOTJSLZ,O,X,X,X,O,O,X,X,X,X,X
IOTJSZL,O,X,X,X,O,O,X,X,X,X,X
IOTJZLS,X,X,X,X,O,X,X,X,X,X,X
IOTJZSL,X,X,X,X,O,X,X,X,X,X,X
IOTSLJZ,O,X,O,X,O,O,X,O,X,O,X
IOTSLZJ,O,O,O,X,O,O,O,O,X,X,X
IOTSJLZ,O,X,O,X,O,O,X,O,X,O,X
IOTSJZL,O,X,O,X,O,O,X,X,X,X,X
IOTSZLJ,O,O,O,X,O,O,O,O,X,X,O
IOTSZJL,O,O,O,X,O,O,O,X,X,X,O
IOTZLJS,X,X,X,X,O,X,X,X,X,X,X
IOTZLSJ,O,X,O,X,O,O,X,X,X,X,X
IOTZJLS,X,X,X,X,O,X,X,X,X,X,X
IOTZJSL,X,X,X,X,O,X,X,X,X,X,X
IOTZSLJ,O,X,O,X,O,O,X,X,X,X,X
IOTZSJL,O,X,O,X,O,O,X,X,X,X,X
IOLTJSZ,O,X,X,X,O,O,X,X,X,X,X
IOLTJZS,X,X,X,X,O,X,X,X,X,X,X
IOLTSJZ,O,X,O,X,O,O,X,O,X,O,X
IOLTSZJ,O,O,O,X,O,O,O,O,X,X,X
IOLTZJS,X,X,X,X,O,X,X,X,X,X,X
IOLTZSJ,O,X,O,X,O,O,X,X,X,X,X
IOLJTSZ,O,X,X,O,O,O,X,X,X,X,X
IOLJTZS,X,X,X,X,O,O,X,X,X,X,X
IOLJSTZ,O,X,O,O,O,O,X,O,X,X,X
IOLJSZT,O,X,O,O,O,O,X,X,X,X,X
IOLJZTS,X,X,X,O,O,O,X,X,X,X,X
IOLJZST,X,X,O,O,O,O,X,X,X,X,X
IOLSTJZ,O,X,O,X,O,O,X,O,X,O,X
IOLSTZJ,O,O,O,O,O,O,O,O,X,X,X
IOLSJTZ,O,X,O,X,O,O,X,O,X,O,X
IOLSJZT,O,X,O,X,O,O,X,X,X,X,X
IOLSZTJ,O,O,O,O,O,O,O,O,X,X,X
IOLSZJT,O,O,O,O,O,O,O,X,X,X,X
IOLZTJS,X,X,X,O,O,X,X,X,X,X,X
IOLZTSJ,O,O,O,O,O,O,X,X,X,X,X
IOLZJTS,X,X,X,O,O,X,X,X,X,X,X
IOLZJST,X,O,O,O,O,X,X,X,X,X,X
IOLZSTJ,O,O,O,O,O,O,X,O,X,X,X
IOLZSJT,O,O,O,O,O,O,X,X,X,X,X
IOJTLSZ,O,X,X,O,O,O,X,X,X,X,X
IOJTLZS,X,X,X,X,O,O,X,X,X,X,X
IOJTSLZ,O,X,X,O,O,O,X,X,X,X,X
IOJTSZL,O,X,X,O,O,O,X,X,X,X,X
IOJTZLS,X,X,X,X,O,O,X,X,X,X,X
IOJTZSL,X,X,X,X,O,O,X,X,X,X,X
IOJLTSZ,O,X,X,O,O,O,X,X,X,X,X
IOJLTZS,X,X,X,X,O,O,X,X,X,X,X
IOJLSTZ,O,X,O,O,O,O,X,O,X,X,X
IOJLSZT,O,X,O,O,O,O,X,X,X,X,X
IOJLZTS,X,X,X,O,O,O,X,X,X,X,X
IOJLZST,X,X,O,O,O,O,X,X,X,X,X
IOJSTLZ,O,X,O,O,O,O,X,O,X,X,X
IOJSTZL,O,X,O,O,O,O,X,X,X,X,X
IOJSLTZ,O,X,O,O,O,O,X,O,X,X,X
IOJSLZT,O,X,O,O,O,O,X,X,X,X,X
IOJSZTL,O,X,O,O,O,O,X,X,X,X,X
IOJSZLT,O,X,O,O,O,O,X,X,X,X,X
IOJZTLS,X,X,X,O,O,O,X,X,X,X,X
IOJZTSL,X,X,X,O,O,O,X,X,X,X,X
IOJZLTS,X,X,X,O,O,O,X,X,X,X,X
IOJZLST,X,X,O,O,O,O,X,X,X,X,X
IOJZSTL,X,X,O,O,O,O,X,X,X,X,X
IOJZSLT,X,X,O,O,O,O,X,X,X,X,X
IOSTLJZ,O,X,O,X,O,O,X,O,X,O,X
IOSTLZJ,O,O,O,O,O,O,O,O,X,X,X
IOSTJLZ,O,X,O,X,O,O,X,O,X,O,X
IOSTJZL,O,X,O,X,O,O,X,X,X,X,X
IOSTZLJ,O,O,O,O,O,O,O,O,X,X,O
IOSTZJL,O,O,O,O,O,O,O,X,X,X,O
IOSLTJZ,O,X,O,X,O,O,X,O,X,O,X
IOSLTZJ,O,O,O,O,O,O,O,O,X,X,X
IOSLJTZ,O,X,O,X,O,O,X,O,X,O,X
IOSLJZT,O,X,O,X,O,O,X,X,X,X,X
IOSLZTJ,O,O,O,O,O,O,O,O,X,X,X
IOSLZJT,O,O,O,O,O,O,O,X,X,X,X
IOSJTLZ,O,X,O,X,O,O,X,O,X,O,X
IOSJTZL,O,X,O,X,O,O,X,X,X,X,X
IOSJLTZ,O,X,O,X,O,O,X,O,X,O,X
IOSJLZT,O,X,O,X,O,O,X,X,X,X,X
IOSJZTL,O,X,O,X,O,O,X,X,X,X,X
IOSJZLT,O,X,O,X,O,O,X,X,X,X,X
IOSZTLJ,O,O,O,O,O,O,O,O,X,X,O
IOSZTJL,O,O,O,O,O,O,O,X,X,X,O
IOSZLTJ,O,O,O,O,O,O,O,O,X,X,X
IOSZLJT,O,O,O,O,O,O,O,X,X,X,X
IOSZJTL,O,O,O,O,O,O,O,X,X,X,X
IOSZJLT,O,O,O,O,O,O,O,X,X,X,X
IOZTLJS,X,X,X,O,O,X,X,X,X,X,X
IOZTLSJ,O,O,O,O,O,O,X,X,X,X,X
IOZTJLS,X,X,X,O,O,X,X,X,X,X,X
IOZTJSL,X,X,X,O,O,X,X,X,X,X,X
IOZTSLJ,O,O,O,O,O,O,X,X,X,X,X
IOZTSJL,O,O,O,O,O,O,X,X,X,X,X
IOZLTJS,X,X,X,O,O,X,X,X,X,X,X
IOZLTSJ,O,O,O,O,O,O,X,X,X,X,X
IOZLJTS,X,X,X,O,O,X,X,X,X,X,X
IOZLJST,X,O,O,O,O,X,X,X,X,X,X
IOZLSTJ,O,O,O,O,O,O,X,O,X,X,X
IOZLSJT,O,O,O,O,O,O,X,X,X,X,X
IOZJTLS,X,X,X,O,O,X,X,X,X,X,X
IOZJTSL,X,X,X,O,O,X,X,X,X,X,X
IOZJLTS,X,X,X,O,O,X,X,X,X,X,X
IOZJLST,X,O,O,O,O,X,X,X,X,X,X
IOZJSTL,X,O,O,O,O,X,X,X,X,X,X
IOZJSLT,X,O,O,O,O,X,X,X,X,X,X
IOZSTLJ,O,O,O,O,O,O,X,O,X,X,X
IOZSTJL,O,O,O,O,O,O,X,X,X,X,X
IOZSLTJ,O,O,O,O,O,O,X,O,X,X,X
IOZSLJT,O,O,O,O,O,O,X,X,X,X,X
IOZSJTL,O,O,O,O,O,O,X,X,X,X,X
IOZSJLT,O,O,O,O,O,O,X,X,X,X,X
LTIJSZO,O,O,X,O,O,O,O,X,X,O,X
LTIJSOZ,X,X,X,O,O,O,X,O,X,O,X
LTIJZSO,X,X,X,O,O,O,X,X,X,X,X
LTIJZOS,X,X,X,O,X,O,X,X,X,X,X
LTIJOSZ,O,X,X,O,X,O,X,X,X,X,X
LTIJOZS,X,X,X,X,X,O,X,X,X,X,X
LTISJZO,O,O,X,O,O,O,O,X,X,O,X
LTISJOZ,X,X,X,X,O,O,X,O,X,O,X
LTISZJO,O,O,X,O,O,O,O,X,X,O,X
LTISZOJ,O,O,X,O,O,O,O,O,X,X,X
LTISOJZ,O,X,O,X,O,O,X,O,X,O,X
LTISOZJ,O,O,O,O,O,O,O,O,X,X,X
LTIZJSO,X,X,X,O,O,X,X,X,X,X,X
LTIZJOS,X,X,X,O,X,X,X,X,X,X,X
LTIZSJO,O,O,X,O,O,X,O,X,X,O,X
LTIZSOJ,O,O,X,O,O,X,O,O,X,X,X
LTIZOJS,X,X,X,O,O,X,X,X,X,X,X
LTIZOSJ,O,O,O,O,O,X,X,X,X,X,X
LTIOJSZ,O,X,X,X,O,O,X,X,X,X,X
LTIOJZS,X,X,X,X,O,X,X,X,X,X,X
LTIOSJZ,O,X,O,X,O,O,X,O,X,O,X
LTIOSZJ,O,O,O,X,O,O,O,O,X,X,X
LTIOZJS,X,X,X,X,O,X,X,X,X,X,X
LTIOZSJ,O,X,O,X,O,O,X,X,X,X,X
LTJISZO,O,O,X,O,O,O,O,X,X,X,X
LTJISOZ,X,X,X,O,O,O,X,O,X,X,X
LTJIZSO,X,X,X,O,O,O,X,X,X,X,X
LTJIZOS,X,X,X,O,X,O,X,X,X,X,X
LTJIOSZ,O,X,X,O,X,O,X,X,X,X,X
LTJIOZS,X,X,X,X,X,O,X,X,X,X,X
LTJSIZO,O,O,X,O,O,O,O,X,X,X,X
LTJSIOZ,X,X,X,O,O,O,X,O,X,X,X
LTJSZIO,O,O,X,O,O,O,O,X,X,X,X
LTJSZOI,X,O,X,O,O,O,O,X,X,X,X
LTJSOIZ,X,X,X,O,O,O,X,O,X,X,X
LTJSOZI,X,X,X,O,O,O,X,X,X,X,X
LTJZISO,X,X,X,O,O,O,X,X,X,X,X
LTJZIOS,X,X,X,O,X,O,X,X,X,X,X
LTJZSIO,X,X,X,O,O,O,X,X,X,X,X
LTJZSOI,X,X,X,O,O,O,X,X,X,X,X
LTJZOIS,X,X,X,O,X,O,X,X,X,X,X
LTJZOSI,X,X,X,O,X,O,X,X,X,X,X
LTJOISZ,O,X,X,O,X,O,X,X,X,X,X
LTJOIZS,X,X,X,X,X,O,X,X,X,X,X
LTJOSIZ,O,X,X,O,X,O,X,X,X,X,X
LTJOSZI,O,X,X,O,X,O,X,X,X,X,X
LTJOZIS,X,X,X,X,X,O,X,X,X,X,X
LTJOZSI,X,X,X,X,X,O,X,X,X,X,X
LTSIJZO,O,O,X,O,O,O,O,X,X,O,X
LTSIJOZ,X,X,X,X,O,O,X,O,X,O,X
LTSIZJO,O,O,X,O,O,O,O,X,X,O,X
LTSIZOJ,O,O,X,O,O,O,O,O,X,X,X
LTSIOJZ,O,X,O,X,O,O,X,O,X,O,X
LTSIOZJ,O,O,O,O,O,O,O,O,X,X,X
LTSJIZO,O,O,X,O,O,O,O,X,X,O,X
LTSJIOZ,X,X,X,X,O,O,X,O,X,O,X
LTSJZIO,O,O,X,O,O,O,O,X,O,X,X
LTSJZOI,X,O,X,O,O,O,O,X,O,X,X
LTSJOIZ,X,X,X,X,O,O,X,O,X,X,X
LTSJOZI,X,X,X,X,O,O,X,X,X,X,X
LTSZIJO,O,O,X,O,O,O,O,X,O,X,X
LTSZIOJ,O,O,X,O,O,O,O,O,O,X,O
LTSZJIO,O,O,X,O,O,O,O,X,O,X,X
LTSZJOI,X,O,X,O,O,O,O,X,O,X,X
LTSZOIJ,O,O,X,O,O,O,O,O,O,X,O
LTSZOJI,O,O,X,O,O,O,O,X,O,X,O
LTSOIJZ,O,X,O,X,O,O,X,O,X,X,X
LTSOIZJ,O,O,O,O,O,O,O,O,X,X,X
LTSOJIZ,O,X,O,X,O,O,X,O,X,X,X
LTSOJZI,O,X,O,X,O,O,X,X,X,X,X
LTSOZIJ,O,O,O,O,O,O,O,O,X,X,O
LTSOZJI,O,O,O,O,O,O,O,X,X,X,O
LTZIJSO,X,X,X,O,O,X,X,X,O,X,X
LTZIJOS,X,X,X,O,X,X,X,X,X,X,X
LTZISJO,O,O,X,O,O,X,O,X,O,X,X
LTZISOJ,O,O,X,O,O,X,O,O,O,X,X
LTZIOJS,X,X,X,O,O,X,X,X,X,X,X
LTZIOSJ,O,O,O,O,O,X,X,X,O,X,X
LTZJISO,X,X,X,O,O,X,X,X,O,X,X
LTZJIOS,X,X,X,O,X,X,X,X,X,X,X
LTZJSIO,X,X,X,O,O,X,X,X,O,X,X
LTZJSOI,X,X,X,O,O,X,X,X,O,X,X
LTZJOIS,X,X,X,O,X,X,X,X,X,X,X
LTZJOSI,X,X,X,O,X,X,X,X,X,X,X
LTZSIJO,O,O,X,O,O,X,O,X,O,X,X
LTZSIOJ,O,O,X,O,O,X,O,O,O,X,X
LTZSJIO,O,O,X,O,O,X,O,X,O,X,X
LTZSJOI,X,O,X,O,X,X,O,X,O,X,X
LTZSOIJ,O,O,X,O,O,X,O,O,O,X,X
LTZSOJI,X,O,X,O,X,X,O,X,O,X,X
LTZOIJS,X,X,X,O,O,X,X,X,X,X,X
LTZOISJ,O,O,O,O,O,X,X,X,O,X,X
LTZOJIS,X,X,X,O,O,X,X,X,X,X,X
LTZOJSI,X,X,X,O,O,X,X,X,X,X,X
LTZOSIJ,O,O,O,O,O,X,X,X,O,X,X
LTZOSJI,O,O,O,O,O,X,X,X,O,X,X
LTOIJSZ,O,X,X,X,O,O,X,X,X,X,X
LTOIJZS,X,X,X,X,O,X,X,X,X,X,X
LTOISJZ,O,X,O,X,O,O,X,O,X,X,X
LTOISZJ,O,O,O,X,O,O,O,O,X,X,X
LTOIZJS,X,X,X,X,O,X,X,X,X,X,X
LTOIZSJ,O,X,O,X,O,O,X,X,X,X,X
LTOJISZ,O,X,X,X,O,O,X,X,X,X,X
LTOJIZS,X,X,X,X,O,X,X,X,X,X,X
LTOJSIZ,O,X,X,X,O,O,X,X,X,X,X
LTOJSZI,O,X,X,X,O,O,X,X,X,X,X
LTOJZIS,X,X,X,X,O,X,X,X,X,X,X
LTOJZSI,X,X,X,X,O,X,X,X,X,X,X
LTOSIJZ,O,X,O,X,O,O,X,O,X,X,X
LTOSIZJ,O,O,O,X,O,O,O,O,X,X,X
LTOSJIZ,O,X,O,X,O,O,X,O,X,X,X
LTOSJZI,O,X,O,X,O,O,X,X,X,X,X
LTOSZIJ,O,O,O,X,O,O,O,O,X,X,O
LTOSZJI,O,O,O,X,O,O,O,X,X,X,O
LTOZIJS,X,X,X,X,O,X,X,X,X,X,X
LTOZISJ,O,X,O,X,O,O,X,X,X,X,X
LTOZJIS,X,X,X,X,O,X,X,X,X,X,X
LTOZJSI,X,X,X,X,O,X,X,X,X,X,X
LTOZSIJ,O,X,O,X,O,O,X,X,X,X,X
LTOZSJI,O,X,O,X,O,O,X,X,X,X,X
LITJSZO,O,O,X,O,O,O,O,X,X,O,X
LITJSOZ,X,X,X,O,O,O,X,O,X,O,X
LITJZSO,X,X,X,O,O,O,X,X,X,X,X
LITJZOS,X,X,X,O,X,O,X,X,X,X,X
LITJOSZ,O,X,X,O,X,O,X,X,X,X,X
LITJOZS,X,X,X,X,X,O,X,X,X,X,X
LITSJZO,O,O,X,O,O,O,O,X,X,O,X
LITSJOZ,X,X,X,X,O,O,X,O,X,O,X
LITSZJO,O,O,X,O,O,O,O,X,X,O,X
LITSZOJ,O,O,X,O,O,O,O,O,X,X,X
LITSOJZ,O,X,O,X,O,O,X,O,X,O,X
LITSOZJ,O,O,O,O,O,O,O,O,X,X,X
LITZJSO,X,X,X,O,O,X,X,X,X,X,X
LITZJOS,X,X,X,O,X,X,X,X,X,X,X
LITZSJO,O,O,X,O,O,X,O,X,X,O,X
LITZSOJ,O,O,X,O,O,X,O,O,X,X,X
LITZOJS,X,X,X,O,O,X,X,X,X,X,X
LITZOSJ,O,O,O,O,O,X,X,X,X,X,X
LITOJSZ,O,X,X,X,O,O,X,X,X,X,X
LITOJZS,X,X,X,X,O,X,X,X,X,X,X
LITOSJZ,O,X,O,X,O,O,X,O,X,O,X
LITOSZJ,O,O,O,X,O,O,O,O,X,X,X
LITOZJS,X,X,X,X,O,X,X,X,X,X,X
LITOZSJ,O,X,O,X,O,O,X,X,X,X,X
LIJTSZO,O,O,X,O,O,O,O,X,X,O,X
LIJTSOZ,X,X,X,O,O,O,X,O,X,O,X
LIJTZSO,X,X,X,O,O,O,X,X,X,X,X
LIJTZOS,X,X,X,O,X,O,X,X,X,X,X
LIJTOSZ,O,X,X,O,X,O,X,X,X,X,X
LIJTOZS,X,X,X,X,X,O,X,X,X,X,X
LIJSTZO,O,O,X,O,O,O,O,X,X,O,X
LIJSTOZ,X,X,X,O,O,O,X,O,X,O,X
LIJSZTO,O,O,X,O,O,O,O,X,X,O,X
LIJSZOT,O,O,X,O,O,O,O,X,X,X,X
LIJSOTZ,O,X,O,O,O,O,X,O,X,O,X
LIJSOZT,O,X,O,O,O,O,X,X,X,X,X
LIJZTSO,X,X,X,O,O,O,X,X,X,X,X
LIJZTOS,X,X,X,O,X,O,X,X,X,X,X
LIJZSTO,X,O,X,O,O,O,X,X,X,X,X
LIJZSOT,X,O,X,O,O,O,X,X,X,X,X
LIJZOTS,X,X,X,O,O,O,X,X,X,X,X
LIJZOST,X,O,O,O,O,O,X,X,X,X,X
LIJOTSZ,O,X,X,O,O,O,X,X,X,X,X
LIJOTZS,X,X,X,X,O,O,X,X,X,X,X
LIJOSTZ,O,X,O,O,O,O,X,O,X,X,X
LIJOSZT,O,X,O,O,O,O,X,X,X,X,X
LIJOZTS,X,X,X,O,O,O,X,X,X,X,X
LIJOZST,X,X,O,O,O,O,X,X,X,X,X
LISTJZO,O,O,X,O,O,O,O,X,X,O,X
LISTJOZ,X,X,X,X,O,O,X,O,X,O,X
LISTZJO,O,O,X,O,O,O,O,X,X,O,X
LISTZOJ,O,O,X,O,O,O,O,O,X,X,X
LISTOJZ,O,X,O,X,O,O,X,O,X,O,X
LISTOZJ,O,O,O,O,O,O,O,O,X,X,X
LISJTZO,O,O,X,O,O,O,O,X,X,O,X
LISJTOZ,X,X,X,O,O,O,X,O,X,O,X
LISJZTO,O,O,X,O,O,O,O,X,O,O,X
LISJZOT,O,O,X,O,O,O,O,X,X,X,X
LISJOTZ,O,X,O,O,O,O,X,O,X,O,X
LISJOZT,O,X,O,O,O,O,X,X,X,X,X
LISZTJO,O,O,X,O,O,O,O,X,O,O,X
LISZTOJ,O,O,X,O,O,O,O,O,O,X,X
LISZJTO,O,O,X,O,O,O,O,X,O,O,X
LISZJOT,O,O,X,O,O,O,O,X,X,X,X
LISZOTJ,O,O,O,O,O,O,O,O,X,X,X
LISZOJT,O,O,O,O,O,O,O,X,X,X,X
LISOTJZ,O,X,O,X,O,O,X,O,X,O,X
LISOTZJ,O,O,O,O,O,O,O,O,X,X,X
LISOJTZ,O,X,O,X,O,O,X,O,X,O,X
LISOJZT,O,X,O,X,O,O,X,X,X,X,X
LISOZTJ,O,O,O,O,O,O,O,O,X,X,X
LISOZJT,O,O,O,O,O,O,O,X,X,X,X
LIZTJSO,X,X,X,O,O,X,X,X,O,X,X
LIZTJOS,X,X,X,O,X,X,X,X,X,X,X
LIZTSJO,O,O,X,O,O,X,O,X,O,O,X
LIZTSOJ,O,O,X,O,O,X,O,O,O,X,X
LIZTOJS,X,X,X,O,O,X,X,X,X,X,X
LIZTOSJ,O,O,O,O,O,X,X,X,O,X,X
LIZJTSO,X,X,X,O,O,O,X,X,X,X,X
LIZJTOS,X,X,X,O,X,O,X,X,X,X,X
LIZJSTO,X,O,X,O,O,O,X,X,X,X,X
LIZJSOT,X,O,X,O,O,O,X,X,X,X,X
LIZJOTS,X,X,X,O,O,O,X,X,X,X,X
LIZJOST,X,O,O,O,O,O,X,X,X,X,X
LIZSTJO,O,O,X,O,O,O,O,X,O,O,X
LIZSTOJ,O,O,X,O,O,O,O,O,O,X,X
LIZSJTO,O,O,X,O,O,O,O,X,O,O,X
LIZSJOT,O,O,X,O,O,O,O,X,X,X,X
LIZSOTJ,O,O,O,O,O,O,O,O,X,X,X
LIZSOJT,O,O,O,O,O,O,O,X,X,X,X
LIZOTJS,X,X,X,O,O,X,X,X,X,X,X
LIZOTSJ,O,O,O,O,O,O,X,X,X,X,X
LIZOJTS,X,X,X,O,O,X,X,X,X,X,X
LIZOJST,X,O,O,O,O,X,X,X,X,X,X
LIZOSTJ,O,O,O,O,O,O,X,O,X,X,X
LIZOSJT,O,O,O,O,O,O,X,X,X,X,X
LIOTJSZ,O,X,X,X,O,O,X,X,X,X,X
LIOTJZS,X,X,X,X,O,X,X,X,X,X,X
LIOTSJZ,O,X,O,X,O,O,X,O,X,O,X
LIOTSZJ,O,O,O,X,O,O,O,O,X,X,X
LIOTZJS,X,X,X,X,O,X,X,X,X,X,X
LIOTZSJ,O,X,O,X,O,O,X,X,X,X,X
LIOJTSZ,O,X,X,O,O,O,X,X,X,X,X
LIOJTZS,X,X,X,X,O,O,X,X,X,X,X
LIOJSTZ,O,X,O,O,O,O,X,O,X,X,X
LIOJSZT,O,X,O,O,O,O,X,X,X,X,X
LIOJZTS,X,X,X,O,O,O,X,X,X,X,X
LIOJZST,X,X,O,O,O,O,X,X,X,X,X
LIOSTJZ,O,X,O,X,O,O,X,O,X,O,X
LIOSTZJ,O,O,O,O,O,O,O,O,X,X,X
LIOSJTZ,O,X,O,X,O,O,X,O,X,O,X
LIOSJZT,O,X,O,X,O,O,X,X,X,X,X
LIOSZTJ,O,O,O,O,O,O,O,O,X,X,X
LIOSZJT,O,O,O,O,O,O,O,X,X,X,X
LIOZTJS,X,X,X,O,O,X,X,X,X,X,X
LIOZTSJ,O,O,O,O,O,O,X,X,X,X,X
LIOZJTS,X,X,X,O,O,X,X,X,X,X,X
LIOZJST,X,O,O,O,O,X,X,X,X,X,X
LIOZSTJ,O,O,O,O,O,O,X,O,X,X,X
