sequence,v115@ChB8IeB8GeC8BeA8DeD8Ke0/IvhFaoB5oB/pBFmBTq?BmqB,v115@ChB8IeB8GeC8BeA8DeD8KeT/IvhFaoB5oB/qBFmB0p?BmqB,v115@ChB8IeB8GeC8BeA8DeD8KeUBJvhFaoB5oB/pBFlBzq?BmpB,v115@ChB8IeB8GeC8BeA8DeD8KeT/IvhFlgBaoB5oB/qBOr?B0pB,v115@ChB8IeB8GeC8BeA8DeD8Kel/IvhFUhBaoB5oB/pBOq?BzqB,v115@ChB8IeB8GeC8BeA8DeD8Ke0/IvhFlgBaoB5oB/pBOr?BTqB,v115@ChB8IeB8GeC8BeA8DeD8KeOEJvhF8kBaoB5oBFmBXq?BzqB,v115@ChB8IeB8GeC8BeA8DeD8KeaIJvhF5oBTkB/qBFmB0p?BmqB,v115@ChB8IeB8GeC8BeA8DeD8KeKEJvhFRgBGjBFmB/tB0q?BzpB,v115@ChB8IeB8GeC8BeA8DeD8KeyEJvhFGjBFmB/tBxpB0p?BzqB,v115@ChB8IeB8GeC8BeA8DeD8Kex/IvhF/pBUlBFmBToByv?BGtB
TJLSZIO,O,O,X,O,O,O,O,X,X,X,X
TJLSZOI,X,O,X,O,O,O,O,X,X,X,X
TJLSOIZ,X,X,X,O,O,O,X,O,X,X,X
TJLSOZI,X,X,X,O,O,O,X,X,X,X,X
TJLZISO,X,X,X,O,O,O,X,X,X,X,X
TJLZIOS,X,X,X,O,X,O,X,X,X,X,X
TJLZSIO,X,X,X,O,O,O,X,X,X,X,X
TJLZSOI,X,X,X,O,O,O,X,X,X,X,X
TJLZOIS,X,X,X,O,X,O,X,X,X,X,X
TJLZOSI,X,X,X,O,X,O,X,X,X,X,X
TJLOISZ,O,X,X,O,X,O,X,X,X,X,X
TJLOIZS,X,X,X,X,X,O,X,X,X,X,X
TJLOSIZ,O,X,X,O,X,O,X,X,X,X,X
TJLOSZI,O,X,X,O,X,O,X,X,X,X,X
TJLOZIS,X,X,X,X,X,O,X,X,X,X,X
TJLOZSI,X,X,X,X,X,O,X,X,X,X,X
TJSILZO,O,O,X,O,O,O,O,X,X,O,X
TJSILOZ,X,X,X,O,O,O,X,O,X,O,X
TJSIZLO,O,O,X,O,O,O,O,X,O,O,X
TJSIZOL,X,O,X,O,O,O,O,X,X,X,X
TJSIOLZ,X,X,X,O,O,O,X,O,X,O,X
TJSIOZL,X,X,X,O,O,O,X,X,X,X,X
TJSLIZO,O,O,X,O,O,O,O,X,X,O,X
TJSLIOZ,X,X,X,O,O,O,X,O,X,O,X
TJSLZIO,O,O,X,O,O,O,O,X,O,X,X
TJSLZOI,X,O,X,O,O,O,O,X,O,X,X
TJSLOIZ,X,X,X,O,O,O,X,O,X,X,X
TJSLOZI,X,X,X,O,O,O,X,X,X,X,X
TJSZILO,O,O,X,O,O,O,O,X,O,O,X
TJSZIOL,X,O,X,O,O,O,O,X,X,X,O
TJSZLIO,O,O,X,O,O,O,O,X,O,X,X
TJSZLOI,X,O,X,O,O,O,O,X,O,X,X
TJSZOIL,X,O,X,O,O,O,O,X,X,X,O
TJSZOLI,X,O,X,O,O,O,O,X,O,X,O
TJSOILZ,X,X,X,O,O,O,X,O,X,O,X
TJSOIZL,X,X,X,O,O,O,X,X,X,X,X
TJSOLIZ,X,X,X,O,O,O,X,O,X,X,X
TJSOLZI,X,X,X,O,O,O,X,X,X,X,X
TJSOZIL,X,X,X,O,O,O,X,X,X,X,O
TJSOZLI,X,X,X,O,O,O,X,X,O,X,O
TJZILSO,X,X,X,O,O,O,X,X,X,X,X
TJZILOS,X,X,X,O,X,O,X,X,X,X,X
TJZISLO,X,X,X,O,O,O,X,X,X,X,X
TJZISOL,X,X,X,O,O,O,X,X,X,X,X
TJZIOLS,X,X,X,O,X,O,X,X,X,X,X
TJZIOSL,X,X,X,O,X,O,X,X,X,X,X
TJZLISO,X,X,X,O,O,O,X,X,O,X,X
TJZLIOS,X,X,X,O,X,O,X,X,X,X,X
TJZLSIO,X,X,X,O,O,O,X,X,O,X,X
TJZLSOI,X,X,X,O,O,O,X,X,O,X,X
TJZLOIS,X,X,X,O,X,O,X,X,X,X,X
TJZLOSI,X,X,X,O,X,O,X,X,X,X,X
TJZSILO,X,X,X,O,O,O,X,X,O,X,X
TJZSIOL,X,X,X,O,O,O,X,X,X,X,X
TJZSLIO,X,X,X,O,O,O,X,X,O,X,X
TJZSLOI,X,X,X,O,O,O,X,X,O,X,X
TJZSOIL,X,X,X,O,O,O,X,X,X,X,X
TJZSOLI,X,X,X,O,O,O,X,X,O,X,X
TJZOILS,X,X,X,O,X,O,X,X,X,X,X
TJZOISL,X,X,X,O,X,O,X,X,X,X,X
TJZOLIS,X,X,X,O,X,O,X,X,X,X,X
TJZOLSI,X,X,X,O,X,O,X,X,X,X,X
TJZOSIL,X,X,X,O,X,O,X,X,X,X,X
TJZOSLI,X,X,X,O,X,O,X,X,X,X,X
TJOILSZ,O,X,X,O,X,O,X,X,X,X,X
TJOILZS,X,X,X,X,X,O,X,X,X,X,X
TJOISLZ,O,X,X,O,X,O,X,X,X,X,X
TJOISZL,O,X,X,O,X,O,X,X,X,X,X
TJOIZLS,X,X,X,X,X,O,X,X,X,X,X
TJOIZSL,X,X,X,X,X,O,X,X,X,X,X
TJOLISZ,O,X,X,O,X,O,X,X,X,X,X
TJOLIZS,X,X,X,X,X,O,X,X,X,X,X
TJOLSIZ,O,X,X,O,X,O,X,X,X,X,X
TJOLSZI,O,X,X,O,X,O,X,X,X,X,X
