sequence,v115@IhA8IeA8FeB8AeC8AeE8JeZEJvhFUgBFhBXiBTjBSs?BmqB,v115@IhA8IeA8FeB8AeC8AeE8JeZEJvhFalBUhBGiBTjBfr?BVxB,v115@IhA8IeA8FeB8AeC8AeE8JeZEJvhFalBFhB8mB+nBTj?BfrB
TJSOILZ,X,O,X
TJSOIZL,X,O,X
TJSOLIZ,X,O,X
TJSOLZI,X,O,X
TJSOZIL,X,O,X
TJSOZLI,X,O,X
TJZILSO,X,X,X
TJZILOS,X,X,X
TJZISLO,X,X,X
TJZISOL,X,X,X
TJZIOLS,X,X,X
TJZIOSL,X,X,X
TJZLISO,X,X,X
TJZLIOS,X,X,X
TJZLSIO,X,X,X
TJZLSOI,X,X,X
TJZLOIS,X,X,X
TJZLOSI,X,X,X
TJZSILO,X,X,X
TJZSIOL,X,X,X
TJZSLIO,X,X,X
TJZSLOI,X,X,X
TJZSOIL,X,X,X
TJZSOLI,X,X,X
TJZOILS,X,X,X
TJZOISL,X,X,X
TJZOLIS,X,X,X
TJZOLSI,X,X,X
TJZOSIL,X,X,X
TJZOSLI,X,X,X
TJOILSZ,X,O,X
TJOILZS,X,X,X
TJOISLZ,X,O,X
TJOISZL,X,O,X
TJOIZLS,X,X,X
TJOIZSL,X,X,X
TJOLISZ,X,O,X
TJOLIZS,X,X,X
TJOLSIZ,X,O,X
TJOLSZI,X,O,X
TJOLZIS,X,X,X
TJOLZSI,X,X,X
TJOSILZ,X,O,X
TJOSIZL,X,O,X
TJOSLIZ,X,O,X
TJOSLZI,X,O,X
TJOSZIL,X,O,X
TJOSZLI,X,O,X
TJOZILS,X,X,X
TJOZISL,X,X,X
TJOZLIS,X,X,X
TJOZLSI,X,X,X
TJOZSIL,X,X,X
TJOZSLI,X,X,X
TSILJZO,X,O,X
TSILJOZ,X,O,X
TSILZJO,X,O,X
TSILZOJ,X,O,X
TSILOJZ,X,O,X
TSILOZJ,X,O,X
TSIJLZO,X,O,X
TSIJLOZ,X,O,X
TSIJZLO,X,O,X
TSIJZOL,X,O,X
TSIJOLZ,X,O,X
TSIJOZL,X,O,X
TSIZLJO,X,O,X
TSIZLOJ,X,O,X
TSIZJLO,X,O,X
TSIZJOL,X,O,X
TSIZOLJ,X,O,X
TSIZOJL,X,O,X
TSIOLJZ,X,O,X
TSIOLZJ,X,O,X
TSIOJLZ,X,O,X
TSIOJZL,X,O,X
TSIOZLJ,X,O,X
TSIOZJL,X,O,X
TSLIJZO,X,O,X
TSLIJOZ,X,O,X
TSLIZJO,X,O,X
TSLIZOJ,X,O,X
TSLIOJZ,X,O,X
TSLIOZJ,X,O,X
TSLJIZO,X,O,X
TSLJIOZ,X,O,X
TSLJZIO,X,O,X
TSLJZOI,X,O,X
TSLJOIZ,X,O,X
TSLJOZI,X,O,X
TSLZIJO,X,O,X
TSLZIOJ,X,O,X
TSLZJIO,X,O,X
TSLZJOI,X,O,X
TSLZOIJ,X,O,X
TSLZOJI,X,O,X
TSLOIJZ,X,O,X
TSLOIZJ,X,O,X
TSLOJIZ,X,O,X
TSLOJZI,X,O,X
TSLOZIJ,X,O,X
TSLOZJI,X,O,X
TSJILZO,X,O,X
TSJILOZ,X,O,X
