sequence,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lBThB0iB6oB2s?BXrB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lBThBKnBGjBUo?BXrB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lBihBziB+oBUn?BXrB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF3gB9mB0iB6oB2s?BzqB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF3gB9mBKnBGjBUo?BzqB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lBKnBGjBTmBUo?BXrB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lB2mBCjBToBUn?BXrB
TOILSJZ,X,O,X,O,O,X,O
TOILSZJ,X,O,X,O,O,O,O
TOILZJS,X,O,X,O,O,O,X
TOILZSJ,X,O,X,O,O,O,X
TOIJLSZ,O,X,X,O,O,X,X
TOIJLZS,O,X,O,O,O,O,X
TOIJSLZ,O,X,X,O,O,X,X
TOIJSZL,O,X,O,O,X,X,X
TOIJZLS,O,X,O,O,X,O,X
TOIJZSL,O,X,O,O,X,O,X
TOISLJZ,X,X,X,O,O,X,O
TOISLZJ,X,X,X,O,O,O,O
TOISJLZ,X,X,X,O,O,X,O
TOISJZL,X,X,X,O,X,X,O
TOISZLJ,X,X,X,O,O,O,O
TOISZJL,X,X,X,O,X,O,O
TOIZLJS,X,O,O,O,O,O,X
TOIZLSJ,X,O,X,O,O,O,X
TOIZJLS,X,O,O,O,O,O,X
TOIZJSL,X,X,O,O,X,O,X
TOIZSLJ,X,X,X,O,O,O,X
TOIZSJL,X,X,X,O,X,O,X
TOLIJSZ,O,X,X,O,O,X,X
TOLIJZS,O,X,X,O,O,O,X
TOLISJZ,X,O,X,O,O,X,O
TOLISZJ,X,O,X,O,O,O,O
TOLIZJS,X,O,X,O,O,O,X
TOLIZSJ,X,O,X,O,O,O,X
TOLJISZ,O,X,X,O,O,X,X
TOLJIZS,O,X,X,O,O,O,X
TOLJSIZ,O,X,X,O,O,X,X
TOLJSZI,O,X,X,O,O,X,X
TOLJZIS,O,X,X,O,O,O,X
TOLJZSI,O,X,X,O,O,O,X
TOLSIJZ,X,O,X,O,O,X,O
TOLSIZJ,X,O,X,O,O,O,O
TOLSJIZ,X,O,X,O,O,X,O
TOLSJZI,X,O,X,O,O,X,O
TOLSZIJ,X,O,X,O,O,O,O
TOLSZJI,X,O,X,O,O,O,O
TOLZIJS,X,O,X,O,O,O,X
TOLZISJ,X,O,X,O,O,O,X
TOLZJIS,X,O,X,O,O,O,X
TOLZJSI,X,O,X,O,O,O,X
TOLZSIJ,X,O,X,O,O,O,X
TOLZSJI,X,O,X,O,O,O,X
TOJILSZ,O,X,X,O,O,X,X
TOJILZS,O,X,O,O,O,O,X
TOJISLZ,O,X,X,O,O,X,X
TOJISZL,O,X,O,O,X,X,X
TOJIZLS,O,X,O,O,X,O,X
TOJIZSL,O,X,O,O,X,O,X
TOJLISZ,O,X,X,O,O,X,X
TOJLIZS,O,X,O,O,O,O,X
TOJLSIZ,O,X,X,O,O,X,X
TOJLSZI,O,X,X,O,O,X,X
TOJLZIS,O,X,O,O,O,O,X
TOJLZSI,O,X,O,O,O,O,X
TOJSILZ,O,X,X,O,O,X,X
TOJSIZL,O,X,O,O,X,X,X
TOJSLIZ,O,X,X,O,O,X,X
TOJSLZI,O,X,X,O,O,X,X
TOJSZIL,O,X,O,O,X,X,X
TOJSZLI,O,X,O,O,X,X,X
TOJZILS,O,X,O,O,X,O,X
TOJZISL,O,X,O,O,X,O,X
TOJZLIS,O,X,O,O,X,O,X
TOJZLSI,O,X,O,O,X,O,X
TOJZSIL,O,X,O,O,X,O,X
TOJZSLI,O,X,O,O,X,O,X
TOSILJZ,X,X,X,O,O,X,O
TOSILZJ,X,X,X,O,O,O,O
TOSIJLZ,X,X,X,O,O,X,O
TOSIJZL,X,X,X,O,X,X,O
TOSIZLJ,X,X,X,O,O,O,O
TOSIZJL,X,X,X,O,X,O,O
TOSLIJZ,X,X,X,O,O,X,O
TOSLIZJ,X,X,X,O,O,O,O
TOSLJIZ,X,X,X,O,O,X,O
TOSLJZI,X,X,X,O,O,X,O
TOSLZIJ,X,X,X,O,O,O,O
TOSLZJI,X,X,X,O,O,O,O
TOSJILZ,X,X,X,O,O,X,O
TOSJIZL,X,X,X,O,X,X,O
TOSJLIZ,X,X,X,O,O,X,O
TOSJLZI,X,X,X,O,O,X,O
TOSJZIL,X,X,X,O,X,X,O
TOSJZLI,X,X,X,O,X,X,O
TOSZILJ,X,X,X,O,O,O,O
TOSZIJL,X,X,X,O,X,O,O
TOSZLIJ,X,X,X,O,O,O,O
TOSZLJI,X,X,X,O,O,O,O
TOSZJIL,X,X,X,O,X,O,O
TOSZJLI,X,X,X,O,X,O,O
TOZILJS,X,O,O,O,O,O,X
TOZILSJ,X,O,X,O,O,O,X
TOZIJLS,X,O,O,O,O,O,X
TOZIJSL,X,X,O,O,X,O,X
TOZISLJ,X,X,X,O,O,O,X
TOZISJL,X,X,X,O,X,O,X
TOZLIJS,X,O,O,O,O,O,X
TOZLISJ,X,O,X,O,O,O,X
TOZLJIS,X,O,O,O,O,O,X
TOZLJSI,X,O,O,O,O,O,X
TOZLSIJ,X,O,X,O,O,O,X
TOZLSJI,X,O,X,O,O,O,X
TOZJILS,X,O,O,O,O,O,X
TOZJISL,X,X,O,O,X,O,X
TOZJLIS,X,O,O,O,O,O,X
TOZJLSI,X,O,O,O,O,O,X
TOZJSIL,X,X,O,O,X,O,X
TOZJSLI,X,X,O,O,X,O,X
TOZSILJ,X,X,X,O,O,O,X
TOZSIJL,X,X,X,O,X,O,X
TOZSLIJ,X,X,X,O,O,O,X
TOZSLJI,X,X,X,O,O,O,X
TOZSJIL,X,X,X,O,X,O,X
TOZSJLI,X,X,X,O,X,O,X
ITLJSZO,O,O,X,O,O,X,X
ITLJSOZ,O,O,X,O,X,X,X
ITLJZSO,O,O,O,O,O,O,X
ITLJZOS,O,O,O,O,O,O,X
ITLJOSZ,O,X,X,O,X,X,X
ITLJOZS,O,X,O,O,X,O,X
ITLSJZO,O,O,X,O,O,X,X
ITLSJOZ,O,O,X,O,X,X,X
ITLSZJO,O,O,X,O,O,O,X
ITLSZOJ,O,O,X,X,O,O,X
ITLSOJZ,O,O,X,O,X,X,X
ITLSOZJ,O,O,X,X,O,O,X
ITLZJSO,O,O,O,O,O,O,X
ITLZJOS,O,O,O,O,O,O,X
ITLZSJO,X,O,O,O,O,O,X
ITLZSOJ,X,O,X,X,O,O,X
ITLZOJS,X,O,O,X,O,O,X
ITLZOSJ,X,O,X,X,O,O,X
ITLOJSZ,O,X,X,O,O,X,X
ITLOJZS,O,X,X,O,O,O,X
ITLOSJZ,X,O,X,O,O,X,X
ITLOSZJ,X,O,X,O,O,O,X
ITLOZJS,X,O,X,O,O,O,X
ITLOZSJ,X,O,X,O,O,O,X
ITJLSZO,O,O,X,O,O,X,X
ITJLSOZ,O,O,X,O,X,X,X
ITJLZSO,O,O,O,O,O,O,X
ITJLZOS,O,O,O,O,O,O,X
ITJLOSZ,O,X,X,O,X,X,X
ITJLOZS,O,X,O,O,X,O,X
ITJSLZO,O,X,O,O,O,X,X
ITJSLOZ,O,X,O,O,X,X,X
ITJSZLO,O,X,O,O,X,X,X
ITJSZOL,O,X,O,O,X,X,X
ITJSOLZ,O,X,O,O,X,X,X
ITJSOZL,O,X,O,O,X,X,X
ITJZLSO,O,O,O,O,X,O,X
ITJZLOS,O,O,O,O,X,O,X
ITJZSLO,O,O,O,O,X,O,X
ITJZSOL,O,X,O,O,X,O,X
ITJZOLS,O,O,O,O,X,O,X
ITJZOSL,O,X,O,O,X,O,X
ITJOLSZ,O,X,X,O,X,X,X
ITJOLZS,O,X,O,O,X,O,X
ITJOSLZ,O,X,O,O,X,X,X
ITJOSZL,O,X,O,O,X,X,X
ITJOZLS,O,X,O,O,X,O,X
ITJOZSL,O,X,O,O,X,O,X
ITSLJZO,O,O,O,O,O,X,X
ITSLJOZ,O,O,O,O,X,X,O
ITSLZJO,O,O,O,O,O,O,X
ITSLZOJ,O,O,O,X,O,O,X
ITSLOJZ,O,O,O,O,X,X,O
ITSLOZJ,O,O,O,X,O,O,O
ITSJLZO,O,O,O,O,O,X,X
ITSJLOZ,O,O,O,O,X,X,O
ITSJZLO,O,O,O,O,X,X,X
ITSJZOL,O,O,O,O,X,X,O
ITSJOLZ,O,O,O,O,X,X,O
ITSJOZL,O,X,O,O,X,X,O
ITSZLJO,O,O,O,O,O,O,X
ITSZLOJ,O,O,O,X,O,O,X
ITSZJLO,O,O,O,O,X,O,X
ITSZJOL,O,O,O,O,X,O,O
ITSZOLJ,O,O,O,X,X,O,O
ITSZOJL,O,O,O,X,X,O,O
ITSOLJZ,O,O,O,O,X,X,O
ITSOLZJ,O,O,O,X,O,O,O
ITSOJLZ,O,O,O,O,X,X,O
ITSOJZL,O,X,O,O,X,X,O
ITSOZLJ,O,O,O,X,X,O,O
ITSOZJL,O,O,O,X,X,O,O
ITZLJSO,O,O,O,O,O,O,X
ITZLJOS,O,O,O,O,O,O,X
ITZLSJO,X,O,O,O,O,O,X
ITZLSOJ,X,O,X,X,O,O,X
ITZLOJS,X,O,O,X,O,O,X
ITZLOSJ,X,O,X,X,O,O,X
ITZJLSO,O,O,O,O,O,O,X
ITZJLOS,O,O,O,O,O,O,X
ITZJSLO,O,O,O,O,X,O,X
ITZJSOL,O,O,O,O,X,O,X
ITZJOLS,O,O,O,O,O,O,X
ITZJOSL,O,X,O,O,X,O,X
ITZSLJO,X,O,O,O,O,O,X
ITZSLOJ,X,O,O,X,O,O,X
ITZSJLO,X,O,O,O,X,O,X
ITZSJOL,X,O,O,O,X,O,X
ITZSOLJ,X,O,O,X,X,O,X
ITZSOJL,X,O,O,X,X,O,X
ITZOLJS,X,O,O,X,O,O,X
ITZOLSJ,X,O,X,X,O,O,X
ITZOJLS,X,O,O,X,O,O,X
ITZOJSL,X,X,O,X,X,O,X
ITZOSLJ,X,X,X,X,X,O,X
ITZOSJL,X,X,X,X,X,O,X
ITOLJSZ,O,X,X,O,O,X,X
ITOLJZS,O,X,X,O,O,O,X
ITOLSJZ,X,O,X,O,O,X,O
ITOLSZJ,X,O,X,O,O,O,O
ITOLZJS,X,O,X,O,O,O,X
ITOLZSJ,X,O,X,O,O,O,X
ITOJLSZ,O,X,X,O,O,X,X
ITOJLZS,O,X,O,O,O,O,X
ITOJSLZ,O,X,X,O,O,X,X
ITOJSZL,O,X,O,O,X,X,X
ITOJZLS,O,X,O,O,X,O,X
ITOJZSL,O,X,O,O,X,O,X
ITOSLJZ,X,X,X,O,O,X,O
ITOSLZJ,X,X,X,O,O,O,O
ITOSJLZ,X,X,X,O,O,X,O
ITOSJZL,X,X,X,O,X,X,O
ITOSZLJ,X,X,X,O,O,O,O
ITOSZJL,X,X,X,O,X,O,O
ITOZLJS,X,O,O,O,O,O,X
ITOZLSJ,X,O,X,O,O,O,X
ITOZJLS,X,O,O,O,O,O,X
ITOZJSL,X,X,O,O,X,O,X
ITOZSLJ,X,X,X,O,O,O,X
ITOZSJL,X,X,X,O,X,O,X
ILTJSZO,O,O,X,O,O,X,X
ILTJSOZ,O,O,X,O,X,X,X
ILTJZSO,O,O,O,O,O,O,X
ILTJZOS,O,O,O,O,O,O,X
ILTJOSZ,O,X,X,O,X,X,X
ILTJOZS,O,X,O,O,X,O,X
ILTSJZO,O,O,X,O,O,X,X
ILTSJOZ,O,O,X,O,X,X,X
ILTSZJO,O,O,X,O,O,O,X
ILTSZOJ,O,O,X,X,O,O,X
ILTSOJZ,O,O,X,O,X,X,X
ILTSOZJ,O,O,X,X,O,O,X
ILTZJSO,O,O,O,O,O,O,X
ILTZJOS,O,O,O,O,O,O,X
ILTZSJO,X,O,O,O,O,O,X
ILTZSOJ,X,O,X,X,O,O,X
ILTZOJS,X,O,O,X,O,O,X
ILTZOSJ,X,O,X,X,O,O,X
ILTOJSZ,O,X,X,O,O,X,X
ILTOJZS,O,X,X,O,O,O,X
ILTOSJZ,X,O,X,O,O,X,X
ILTOSZJ,X,O,X,O,O,O,X
ILTOZJS,X,O,X,O,O,O,X
ILTOZSJ,X,O,X,O,O,O,X
ILJTSZO,O,O,X,O,O,X,X
ILJTSOZ,O,O,X,O,X,X,X
ILJTZSO,O,O,O,O,O,O,X
ILJTZOS,O,O,O,O,O,O,X
ILJTOSZ,O,X,X,O,X,X,X
ILJTOZS,O,X,O,O,X,O,X
ILJSTZO,O,O,O,O,X,X,X
ILJSTOZ,O,O,O,O,X,X,X
ILJSZTO,O,O,O,O,X,X,X
ILJSZOT,O,O,O,O,X,X,X
ILJSOTZ,O,X,O,O,X,X,X
ILJSOZT,O,X,X,O,X,X,X
ILJZTSO,O,O,O,O,O,O,X
ILJZTOS,O,O,O,O,O,O,X
ILJZSTO,O,O,O,O,O,O,X
ILJZSOT,O,O,O,O,O,X,X
ILJZOTS,O,O,O,O,O,O,X
ILJZOST,O,O,O,O,O,X,X
ILJOTSZ,O,X,X,O,O,X,X
ILJOTZS,O,X,O,O,O,X,X
ILJOSTZ,O,X,O,O,X,X,X
ILJOSZT,O,X,X,O,X,X,X
ILJOZTS,O,X,O,O,O,X,X
ILJOZST,O,X,O,O,O,X,X
ILSTJZO,O,O,O,O,O,X,X
ILSTJOZ,O,O,O,O,X,X,O
ILSTZJO,O,O,O,O,O,O,X
ILSTZOJ,O,O,O,X,O,O,X
ILSTOJZ,O,O,O,O,X,X,O
ILSTOZJ,O,O,O,X,O,O,O
ILSJTZO,O,O,O,O,X,X,X
ILSJTOZ,O,O,O,O,X,X,X
ILSJZTO,O,O,O,O,X,X,X
ILSJZOT,O,O,O,O,X,X,X
ILSJOTZ,O,X,O,O,X,X,X
ILSJOZT,O,X,X,O,X,X,X
ILSZTJO,O,O,O,O,O,O,X
ILSZTOJ,O,O,O,X,O,O,X
ILSZJTO,O,O,O,X,O,O,X
ILSZJOT,O,O,O,X,O,X,X
ILSZOTJ,X,O,X,X,O,X,X
ILSZOJT,X,O,X,X,O,X,X
ILSOTJZ,O,O,X,O,O,X,O
ILSOTZJ,O,O,X,O,O,X,O
ILSOJTZ,O,X,X,O,X,X,O
ILSOJZT,O,X,X,O,X,X,X
ILSOZTJ,X,O,X,O,O,X,O
ILSOZJT,X,O,X,X,O,X,X
ILZTJSO,O,O,O,O,O,O,X
ILZTJOS,O,O,O,O,O,O,X
ILZTSJO,X,O,O,O,O,O,X
ILZTSOJ,X,O,X,X,O,O,X
ILZTOJS,X,O,O,X,O,O,X
ILZTOSJ,X,O,X,X,O,O,X
ILZJTSO,O,O,O,O,O,O,X
ILZJTOS,O,O,O,O,O,O,X
ILZJSTO,O,O,O,O,O,O,X
ILZJSOT,O,O,O,O,O,X,X
ILZJOTS,O,O,O,O,O,O,X
ILZJOST,O,O,O,O,O,X,X
ILZSTJO,O,O,O,O,O,O,X
ILZSTOJ,O,O,O,X,O,O,X
ILZSJTO,O,O,O,X,O,O,X
ILZSJOT,O,O,O,X,O,X,X
ILZSOTJ,X,O,X,X,O,X,X
ILZSOJT,X,O,X,X,O,X,X
ILZOTJS,X,O,X,O,O,O,X
ILZOTSJ,X,O,X,O,O,O,X
ILZOJTS,X,O,X,O,O,O,X
ILZOJST,X,O,X,O,O,X,X
ILZOSTJ,X,O,X,O,O,X,X
ILZOSJT,X,O,X,X,O,X,X
ILOTJSZ,O,X,X,O,O,X,X
ILOTJZS,O,X,X,O,O,O,X
ILOTSJZ,X,O,X,O,O,X,O
ILOTSZJ,X,O,X,O,O,O,O
ILOTZJS,X,O,X,O,O,O,X
ILOTZSJ,X,O,X,O,O,O,X
ILOJTSZ,O,X,X,O,O,X,X
ILOJTZS,O,X,X,O,O,X,X
ILOJSTZ,O,X,X,O,X,X,O
ILOJSZT,O,X,X,O,X,X,X
ILOJZTS,O,X,X,O,O,X,X
ILOJZST,O,X,X,O,O,X,X
ILOSTJZ,O,O,X,O,O,X,O
ILOSTZJ,O,O,X,O,O,X,O
ILOSJTZ,O,X,X,O,X,X,O
ILOSJZT,O,X,X,O,X,X,X
ILOSZTJ,X,O,X,O,O,X,O
ILOSZJT,X,O,X,X,O,X,X
ILOZTJS,X,O,X,O,O,O,X
ILOZTSJ,X,O,X,O,O,O,X
ILOZJTS,X,O,X,O,O,O,X
ILOZJST,X,O,X,O,O,X,X
ILOZSTJ,X,O,X,O,O,X,O
ILOZSJT,X,O,X,X,O,X,X
IJTLSZO,O,O,X,O,O,X,X
IJTLSOZ,O,O,X,O,X,X,X
IJTLZSO,O,O,O,O,O,O,X
IJTLZOS,O,O,O,O,O,O,X
IJTLOSZ,O,X,X,O,X,X,X
IJTLOZS,O,X,O,O,X,O,X
IJTSLZO,O,X,O,O,O,X,X
IJTSLOZ,O,X,O,O,X,X,X
IJTSZLO,O,X,O,O,X,X,X
IJTSZOL,O,X,O,O,X,X,X
IJTSOLZ,O,X,O,O,X,X,X
IJTSOZL,O,X,O,O,X,X,X
IJTZLSO,O,O,O,O,X,O,X
IJTZLOS,O,O,O,O,X,O,X
IJTZSLO,O,O,O,O,X,O,X
IJTZSOL,O,X,O,O,X,O,X
IJTZOLS,O,O,O,O,X,O,X
IJTZOSL,O,X,O,O,X,O,X
IJTOLSZ,O,X,X,O,X,X,X
IJTOLZS,O,X,O,O,X,O,X
IJTOSLZ,O,X,O,O,X,X,X
IJTOSZL,O,X,O,O,X,X,X
IJTOZLS,O,X,O,O,X,O,X
IJTOZSL,O,X,O,O,X,O,X
IJLTSZO,O,O,X,O,O,X,X
IJLTSOZ,O,O,X,O,X,X,X
IJLTZSO,O,O,O,O,O,O,X
IJLTZOS,O,O,O,O,O,O,X
IJLTOSZ,O,X,X,O,X,X,X
IJLTOZS,O,X,O,O,X,O,X
IJLSTZO,O,O,O,O,X,X,X
IJLSTOZ,O,O,O,O,X,X,X
IJLSZTO,O,O,O,O,X,X,X
IJLSZOT,O,O,O,O,X,X,X
IJLSOTZ,O,X,O,O,X,X,X
IJLSOZT,O,X,X,O,X,X,X
IJLZTSO,O,O,O,O,O,O,X
IJLZTOS,O,O,O,O,O,O,X
IJLZSTO,O,O,O,O,O,O,X
IJLZSOT,O,O,O,O,O,X,X
IJLZOTS,O,O,O,O,O,O,X
IJLZOST,O,O,O,O,O,X,X
IJLOTSZ,O,X,X,O,O,X,X
IJLOTZS,O,X,O,O,O,X,X
IJLOSTZ,O,X,O,O,X,X,X
IJLOSZT,O,X,X,O,X,X,X
IJLOZTS,O,X,O,O,O,X,X
IJLOZST,O,X,O,O,O,X,X
IJSTLZO,O,O,O,O,O,X,X
IJSTLOZ,O,O,O,O,X,X,O
IJSTZLO,O,O,O,O,X,X,X
IJSTZOL,O,O,O,O,X,X,O
IJSTOLZ,O,O,O,O,X,X,O
IJSTOZL,O,X,O,O,X,X,O
IJSLTZO,O,O,O,O,X,X,X
IJSLTOZ,O,O,O,O,X,X,X
IJSLZTO,O,O,O,O,X,X,X
IJSLZOT,O,O,O,O,X,X,X
IJSLOTZ,O,X,O,O,X,X,X
IJSLOZT,O,X,X,O,X,X,X
IJSZTLO,O,O,O,O,X,X,X
IJSZTOL,O,O,O,O,X,X,X
IJSZLTO,O,O,O,O,X,X,X
IJSZLOT,O,O,O,O,X,X,X
IJSZOTL,O,O,O,O,X,X,X
IJSZOLT,O,O,O,O,X,X,X
IJSOTLZ,O,X,O,O,X,X,O
IJSOTZL,O,X,O,O,X,X,O
IJSOLTZ,O,X,O,O,X,X,O
IJSOLZT,O,X,X,O,X,X,X
IJSOZTL,O,X,O,O,X,X,X
IJSOZLT,O,X,O,O,X,X,X
IJZTLSO,O,O,O,O,O,O,X
IJZTLOS,O,O,O,O,O,O,X
IJZTSLO,O,O,O,O,X,O,X
IJZTSOL,O,O,O,O,X,O,X
IJZTOLS,O,O,O,O,O,O,X
IJZTOSL,O,X,O,O,X,O,X
IJZLTSO,O,O,O,O,O,O,X
IJZLTOS,O,O,O,O,O,O,X
IJZLSTO,O,O,O,O,O,O,X
IJZLSOT,O,O,O,O,O,X,X
IJZLOTS,O,O,O,O,O,O,X
IJZLOST,O,O,O,O,O,X,X
IJZSTLO,O,O,O,O,X,O,X
IJZSTOL,O,O,O,O,X,O,X
IJZSLTO,O,O,O,O,O,O,X
IJZSLOT,O,O,O,O,O,X,X
IJZSOTL,O,O,O,O,X,X,X
IJZSOLT,O,O,O,O,O,X,X
IJZOTLS,O,O,O,O,O,O,X
IJZOTSL,O,X,O,O,X,O,X
IJZOLTS,O,O,O,O,O,O,X
IJZOLST,O,O,O,O,O,X,X
IJZOSTL,O,O,O,O,X,X,X
IJZOSLT,O,O,O,O,O,X,X
IJOTLSZ,O,X,X,O,O,X,X
IJOTLZS,O,X,O,O,O,X,X
IJOTSLZ,O,X,O,O,O,X,X
IJOTSZL,O,X,O,O,X,X,X
IJOTZLS,O,X,O,O,X,X,X
IJOTZSL,O,X,O,O,X,X,X
IJOLTSZ,O,X,X,O,O,X,X
IJOLTZS,O,X,O,O,O,X,X
IJOLSTZ,O,X,O,O,X,X,O
IJOLSZT,O,X,X,O,X,X,X
IJOLZTS,O,X,O,O,O,X,X
IJOLZST,O,X,O,O,O,X,X
IJOSTLZ,O,X,O,O,O,X,O
IJOSTZL,O,X,O,O,X,X,O
IJOSLTZ,O,X,O,O,X,X,O
IJOSLZT,O,X,X,O,X,X,X
IJOSZTL,O,X,O,O,X,X,X
IJOSZLT,O,X,O,O,X,X,X
IJOZTLS,O,X,O,O,O,X,X
IJOZTSL,O,X,O,O,X,X,X
IJOZLTS,O,X,O,O,O,X,X
IJOZLST,O,X,O,O,O,X,X
IJOZSTL,O,X,O,O,X,X,X
IJOZSLT,O,X,O,O,O,X,X
ISTLJZO,O,O,O,O,O,X,X
ISTLJOZ,O,O,O,O,X,X,O
ISTLZJO,O,O,O,O,O,O,X
ISTLZOJ,O,O,O,X,O,O,X
ISTLOJZ,O,O,O,O,X,X,O
ISTLOZJ,O,O,O,X,O,O,O
ISTJLZO,O,O,O,O,O,X,X
ISTJLOZ,O,O,O,O,X,X,O
ISTJZLO,O,O,O,O,X,X,X
ISTJZOL,O,O,O,O,X,X,O
ISTJOLZ,O,O,O,O,X,X,O
ISTJOZL,O,X,O,O,X,X,O
ISTZLJO,O,O,O,O,O,O,X
ISTZLOJ,O,O,O,X,O,O,X
ISTZJLO,O,O,O,O,X,O,X
ISTZJOL,O,O,O,O,X,O,O
ISTZOLJ,O,O,O,X,X,O,O
ISTZOJL,O,O,O,X,X,O,O
ISTOLJZ,O,O,O,O,X,X,O
ISTOLZJ,O,O,O,X,O,O,O
ISTOJLZ,O,O,O,O,X,X,O
ISTOJZL,O,X,O,O,X,X,O
ISTOZLJ,O,O,O,X,X,O,O
ISTOZJL,O,O,O,X,X,O,O
ISLTJZO,O,O,O,O,O,X,X
ISLTJOZ,O,O,O,O,X,X,O
ISLTZJO,O,O,O,O,O,O,X
ISLTZOJ,O,O,O,X,O,O,X
ISLTOJZ,O,O,O,O,X,X,O
ISLTOZJ,O,O,O,X,O,O,O
ISLJTZO,O,O,O,O,X,X,X
ISLJTOZ,O,O,O,O,X,X,X
ISLJZTO,O,O,O,O,X,X,X
ISLJZOT,O,O,O,O,X,X,X
ISLJOTZ,O,X,O,O,X,X,X
ISLJOZT,O,X,X,O,X,X,X
ISLZTJO,O,O,O,O,O,O,X
ISLZTOJ,O,O,O,X,O,O,X
ISLZJTO,O,O,O,X,O,O,X
ISLZJOT,O,O,O,X,O,X,X
ISLZOTJ,X,O,X,X,O,X,X
ISLZOJT,X,O,X,X,O,X,X
ISLOTJZ,O,O,X,O,O,X,O
ISLOTZJ,O,O,X,O,O,X,O
ISLOJTZ,O,X,X,O,X,X,O
ISLOJZT,O,X,X,O,X,X,X
ISLOZTJ,X,O,X,O,O,X,O
ISLOZJT,X,O,X,X,O,X,X
ISJTLZO,O,O,O,O,O,X,X
ISJTLOZ,O,O,O,O,X,X,O
ISJTZLO,O,O,O,O,X,X,X
ISJTZOL,O,O,O,O,X,X,O
ISJTOLZ,O,O,O,O,X,X,O
ISJTOZL,O,X,O,O,X,X,O
ISJLTZO,O,O,O,O,X,X,X
ISJLTOZ,O,O,O,O,X,X,X
ISJLZTO,O,O,O,O,X,X,X
ISJLZOT,O,O,O,O,X,X,X
ISJLOTZ,O,X,O,O,X,X,X
ISJLOZT,O,X,X,O,X,X,X
ISJZTLO,O,O,O,O,X,X,X
ISJZTOL,O,O,O,O,X,X,X
ISJZLTO,O,O,O,O,X,X,X
ISJZLOT,O,O,O,O,X,X,X
ISJZOTL,O,O,O,O,X,X,X
ISJZOLT,O,O,O,O,X,X,X
ISJOTLZ,O,X,O,O,X,X,O
ISJOTZL,O,X,O,O,X,X,O
ISJOLTZ,O,X,O,O,X,X,O
ISJOLZT,O,X,X,O,X,X,X
ISJOZTL,O,X,O,O,X,X,X
ISJOZLT,O,X,O,O,X,X,X
ISZTLJO,O,O,O,O,O,O,X
ISZTLOJ,O,O,O,X,O,O,X
ISZTJLO,O,O,O,O,X,O,X
ISZTJOL,O,O,O,O,X,O,O
ISZTOLJ,O,O,O,X,X,O,O
ISZTOJL,O,O,O,X,X,O,O
ISZLTJO,O,O,O,O,O,O,X
ISZLTOJ,O,O,O,X,O,O,X
ISZLJTO,O,O,O,X,O,O,X
ISZLJOT,O,O,O,X,O,X,X
ISZLOTJ,X,O,X,X,O,X,X
ISZLOJT,X,O,X,X,O,X,X
ISZJTLO,O,O,O,X,X,O,X
ISZJTOL,O,O,O,X,X,O,X
ISZJLTO,O,O,O,X,O,O,X
ISZJLOT,O,O,O,X,O,X,X
ISZJOTL,O,O,O,X,X,X,X
ISZJOLT,O,O,O,X,O,X,X
ISZOTLJ,X,O,O,X,X,X,O
ISZOTJL,X,O,O,X,X,X,O
ISZOLTJ,X,O,X,X,O,X,O
ISZOLJT,X,O,X,X,O,X,X
ISZOJTL,X,O,O,X,X,X,X
ISZOJLT,X,O,O,X,O,X,X
ISOTLJZ,O,O,O,O,O,X,O
ISOTLZJ,O,O,O,O,O,X,O
ISOTJLZ,O,O,O,O,O,X,O
ISOTJZL,O,X,O,O,X,X,O
ISOTZLJ,O,O,O,O,O,X,O
ISOTZJL,O,O,O,O,X,X,O
ISOLTJZ,O,O,X,O,O,X,O
ISOLTZJ,O,O,X,O,O,X,O
ISOLJTZ,O,X,X,O,X,X,O
ISOLJZT,O,X,X,O,X,X,X
ISOLZTJ,X,O,X,O,O,X,O
ISOLZJT,X,O,X,X,O,X,X
ISOJTLZ,O,X,O,O,O,X,O
ISOJTZL,O,X,O,O,X,X,O
ISOJLTZ,O,X,O,O,X,X,O
ISOJLZT,O,X,X,O,X,X,X
ISOJZTL,O,X,O,O,X,X,X
ISOJZLT,O,X,O,O,X,X,X
ISOZTLJ,X,O,O,O,O,X,O
ISOZTJL,X,O,O,O,X,X,O
ISOZLTJ,X,O,X,O,O,X,O
ISOZLJT,X,O,X,X,O,X,X
ISOZJTL,X,O,O,X,X,X,X
ISOZJLT,X,O,O,X,O,X,X
IZTLJSO,O,O,O,O,O,O,X
IZTLJOS,O,O,O,O,O,O,X
IZTLSJO,X,O,O,O,O,O,X
IZTLSOJ,X,O,X,X,O,O,X
IZTLOJS,X,O,O,X,O,O,X
IZTLOSJ,X,O,X,X,O,O,X
IZTJLSO,O,O,O,O,O,O,X
IZTJLOS,O,O,O,O,O,O,X
IZTJSLO,O,O,O,O,X,O,X
IZTJSOL,O,O,O,O,X,O,X
IZTJOLS,O,O,O,O,O,O,X
IZTJOSL,O,X,O,O,X,O,X
IZTSLJO,X,O,O,O,O,O,X
IZTSLOJ,X,O,O,X,O,O,X
