sequence,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhFCjBllB3mBT?oB2vB0sB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je3AJvhF1mB0iB6oB2?vBRrBzsB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JezAJvhFfnBxiBKqBu?sBctBFrB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhFziB+oBilB3?mB1vB0sB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je3AJvhF1mBxiBusBc?tBTqBirB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JezAJvhFGjBKqBRnBU?nBFrBXtB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je8GJvhFWoBKqBzlBx?sBFrBXtB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeXDJvhFxlBVsBctBa?rBTqBGsB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhFGjBTlB0mBl?nByvBXtB,v115@9gC8GeB8HeB8HeB8CeB8BeA8JeRBJvhF+oBKqBfrB0?mBlnBzsB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je1FJvhF3mBTqBxsBu?sBctBirB,v115@9gC8GeB8HeB8HeB8CeB8BeA8Je3BJvhFOqBlnBctBR?rBzqBCtB
IZTLSOJ,X,O,O,O,O,X,X,O,X,X,X,X
IZTLOJS,X,X,X,O,X,X,O,X,X,X,X,X
IZTLOSJ,X,O,X,X,O,X,X,X,X,X,X,X
IZTJLSO,X,O,X,O,X,X,X,X,O,X,X,O
IZTJLOS,X,X,X,O,X,X,O,X,O,X,X,X
IZTJSLO,X,O,X,O,X,X,X,X,O,X,X,O
IZTJSOL,X,X,X,O,X,X,X,O,X,X,X,O
IZTJOLS,X,X,X,O,X,X,X,X,O,X,X,X
IZTJOSL,X,X,X,O,X,X,X,X,X,X,X,O
IZTSLJO,X,O,O,O,X,X,X,X,O,X,X,X
IZTSLOJ,X,O,O,X,X,X,X,O,X,X,X,X
IZTSJLO,X,O,X,O,X,X,X,X,O,X,X,O
IZTSJOL,X,X,X,O,X,X,X,O,O,X,X,O
IZTSOLJ,X,O,X,X,X,X,X,O,X,X,X,X
IZTSOJL,X,O,X,O,X,X,X,O,O,X,X,X
IZTOLJS,X,O,X,X,O,X,X,X,X,X,X,X
IZTOLSJ,X,O,X,X,O,X,X,O,X,X,X,X
IZTOJLS,X,O,X,X,X,X,X,X,O,X,X,X
IZTOJSL,X,O,X,X,X,X,X,O,X,X,X,X
IZTOSLJ,X,O,X,X,X,X,X,O,X,X,X,X
IZTOSJL,X,O,X,X,X,X,X,O,X,X,X,X
IZLTJSO,X,O,O,X,O,X,X,X,O,X,X,X
IZLTJOS,X,X,O,X,O,X,O,X,O,X,X,X
IZLTSJO,X,O,O,X,O,X,X,X,X,X,X,X
IZLTSOJ,X,O,O,X,O,X,X,X,X,X,X,X
IZLTOJS,X,X,O,X,X,X,O,X,X,X,X,X
IZLTOSJ,X,O,O,X,O,X,X,X,X,X,X,X
IZLJTSO,O,X,O,X,O,X,X,X,X,X,X,X
IZLJTOS,O,X,O,X,O,X,O,X,X,X,X,X
IZLJSTO,O,X,O,X,O,X,X,X,X,X,X,X
IZLJSOT,O,X,O,X,X,X,O,X,X,X,X,X
IZLJOTS,X,X,X,X,O,X,O,X,X,X,X,X
IZLJOST,X,X,O,X,X,X,O,X,X,X,X,X
IZLSTJO,O,O,O,X,O,X,X,X,O,X,X,X
IZLSTOJ,O,O,O,X,O,X,X,X,X,X,X,X
IZLSJTO,O,X,O,X,X,X,X,X,O,X,X,X
IZLSJOT,O,X,O,X,X,X,O,X,O,X,X,X
IZLSOTJ,O,X,O,X,X,X,X,X,X,X,X,X
IZLSOJT,O,X,X,X,X,X,O,X,X,X,X,X
IZLOTJS,X,X,X,X,O,X,O,X,X,X,X,X
IZLOTSJ,X,X,X,X,O,X,X,X,X,X,X,X
IZLOJTS,X,X,X,X,O,X,O,X,X,X,X,X
IZLOJST,X,X,X,X,X,X,O,X,X,X,X,X
IZLOSTJ,X,X,O,X,O,X,X,X,X,X,X,X
IZLOSJT,X,X,X,X,X,X,O,X,X,X,X,X
IZJTLSO,O,X,O,O,O,X,X,X,O,X,X,O
IZJTLOS,O,X,X,O,O,X,O,X,O,X,X,X
IZJTSLO,O,X,O,O,X,X,X,X,O,X,X,O
IZJTSOL,O,X,X,O,X,X,X,X,X,X,X,O
IZJTOLS,O,X,X,O,O,X,X,X,O,X,X,X
IZJTOSL,O,X,X,O,X,X,X,X,X,X,X,O
IZJLTSO,O,X,O,X,O,X,X,X,X,X,X,O
IZJLTOS,O,X,O,X,O,X,O,X,X,X,X,X
IZJLSTO,O,X,O,X,O,X,X,X,X,X,X,O
IZJLSOT,O,X,O,X,X,X,O,X,X,X,X,X
IZJLOTS,X,X,X,X,O,X,O,X,X,X,X,X
IZJLOST,X,X,O,X,O,X,O,X,X,X,X,X
IZJSTLO,O,X,O,O,X,X,X,X,O,X,X,O
IZJSTOL,O,X,X,O,X,X,X,X,O,X,X,O
IZJSLTO,O,X,O,X,O,X,X,X,O,X,X,O
IZJSLOT,O,X,O,O,X,X,O,X,O,X,X,X
IZJSOTL,O,X,X,O,X,X,X,X,O,X,X,O
IZJSOLT,O,X,O,O,O,X,X,X,O,X,X,X
IZJOTLS,O,X,X,O,O,X,X,X,X,X,X,X
IZJOTSL,O,X,X,O,X,X,X,X,X,X,X,O
IZJOLTS,O,X,X,X,O,X,O,X,X,X,X,X
IZJOLST,O,X,O,X,O,X,O,X,X,X,X,X
IZJOSTL,O,X,X,O,X,X,X,X,X,X,X,O
IZJOSLT,O,X,O,O,O,X,X,X,X,X,X,X
IZSTLJO,O,O,O,O,X,X,X,X,O,X,X,X
IZSTLOJ,O,O,O,X,X,X,X,O,X,X,X,X
IZSTJLO,O,O,X,O,X,X,X,X,O,X,X,X
IZSTJOL,O,X,X,O,X,X,X,O,O,X,X,X
IZSTOLJ,O,O,X,X,X,X,X,O,X,X,X,X
IZSTOJL,O,O,X,O,X,X,X,O,O,X,X,X
IZSLTJO,O,O,O,X,O,X,X,X,O,X,X,X
IZSLTOJ,O,O,O,X,O,X,X,X,X,X,X,X
IZSLJTO,O,X,O,X,X,X,X,X,O,X,X,X
IZSLJOT,O,X,O,O,X,X,O,X,O,X,X,X
IZSLOTJ,O,X,O,X,X,X,X,X,X,X,X,X
IZSLOJT,O,X,X,X,X,X,O,X,X,X,X,X
IZSJTLO,O,X,O,O,X,X,X,X,O,X,X,X
IZSJTOL,O,X,X,O,X,X,X,X,O,X,X,X
IZSJLTO,O,X,O,X,X,X,X,X,O,X,X,X
IZSJLOT,O,X,O,O,X,X,O,X,O,X,X,X
IZSJOTL,O,X,X,O,X,X,X,X,O,X,X,X
IZSJOLT,O,X,O,O,X,X,X,X,O,X,X,X
IZSOTLJ,O,O,X,X,X,X,X,O,X,X,X,X
IZSOTJL,O,O,X,X,X,X,X,O,O,X,X,X
IZSOLTJ,O,O,O,X,O,X,X,X,X,X,X,X
IZSOLJT,O,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,X,X,O,X,X,X,X,O,X,X,X
IZSOJLT,O,X,X,O,X,X,X,X,O,X,X,X
IZOTLJS,X,O,X,X,O,X,X,X,X,X,X,X
IZOTLSJ,X,O,X,X,O,X,X,O,X,X,X,X
IZOTJLS,X,O,X,X,X,X,X,X,O,X,X,X
IZOTJSL,X,O,X,X,X,X,X,O,X,X,X,X
IZOTSLJ,X,O,X,X,X,X,X,O,X,X,O,X
IZOTSJL,X,O,X,X,X,X,X,O,X,X,O,X
IZOLTJS,X,O,X,X,O,X,O,X,X,X,X,X
IZOLTSJ,X,O,X,X,O,X,X,O,X,X,X,X
IZOLJTS,O,O,X,X,O,X,O,X,X,X,X,X
IZOLJST,O,X,X,X,O,X,O,X,X,X,X,X
IZOLSTJ,O,O,O,X,O,X,X,X,X,X,X,X
IZOLSJT,O,X,X,X,X,X,O,X,X,X,X,X
IZOJTLS,O,O,X,X,O,X,X,X,X,X,X,X
IZOJTSL,O,O,X,X,X,X,X,O,X,X,X,X
IZOJLTS,O,O,X,X,O,X,O,X,X,X,X,X
IZOJLST,O,X,X,X,O,X,O,X,X,X,X,X
IZOJSTL,O,X,X,X,X,X,X,X,X,X,X,X
IZOJSLT,O,X,X,X,O,X,X,X,X,X,X,X
IZOSTLJ,O,O,X,X,X,X,X,O,X,X,O,X
IZOSTJL,O,O,X,X,X,X,X,O,O,X,O,X
IZOSLTJ,O,O,O,X,O,X,X,X,X,X,O,X
IZOSLJT,O,X,X,X,X,X,X,X,X,X,O,X
IZOSJTL,O,X,X,X,X,X,X,X,O,X,O,X
IZOSJLT,O,X,X,X,X,X,X,X,O,X,O,X
IOTLJSZ,X,O,X,X,X,X,X,X,X,X,X,X
IOTLJZS,X,O,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,X,O,X,X,X,X,X,X,X,X,X,X
IOTLSZJ,X,O,X,X,X,X,X,X,X,X,O,X
IOTLZJS,X,O,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,O,X,X,X,X,X,O,X,X,X,X
IOTJLSZ,X,O,X,X,X,X,X,X,X,X,X,X
IOTJLZS,X,O,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,X,O,X,X,X,X,X,X,X,X,X,X
IOTJSZL,X,O,X,X,X,X,X,X,X,X,O,X
IOTJZLS,X,O,X,X,X,X,X,X,X,X,X,X
IOTJZSL,X,O,X,X,X,X,X,O,X,X,X,X
IOTSLJZ,X,O,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,O,X,X,X,X,X,X,X,X,O,X
IOTSJLZ,X,O,X,X,X,X,X,X,X,X,X,X
IOTSJZL,X,O,X,X,X,X,X,X,X,X,O,X
IOTSZLJ,X,O,X,X,X,X,X,O,X,X,O,X
IOTSZJL,X,O,X,X,X,X,X,O,X,X,O,X
IOTZLJS,X,O,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,O,X,X,X,X,X,O,X,X,X,X
IOTZJLS,X,O,X,X,X,X,X,X,X,X,X,X
IOTZJSL,X,O,X,X,X,X,X,O,X,X,X,X
IOTZSLJ,X,O,X,X,X,X,X,O,X,X,O,X
IOTZSJL,X,O,X,X,X,X,X,O,X,X,O,X
IOLTJSZ,X,O,X,X,O,X,X,X,X,X,X,X
IOLTJZS,X,O,X,X,X,X,O,X,X,X,X,X
IOLTSJZ,X,O,X,X,O,X,X,X,X,X,X,X
IOLTSZJ,X,O,X,X,O,X,X,X,X,X,O,X
IOLTZJS,X,O,X,X,O,X,O,X,X,X,X,X
IOLTZSJ,X,O,X,X,O,X,X,O,X,X,X,X
IOLJTSZ,O,O,X,X,X,X,X,X,X,X,X,X
IOLJTZS,O,O,X,X,X,X,O,X,X,X,X,X
IOLJSTZ,O,O,X,X,X,X,X,X,X,X,X,X
IOLJSZT,O,O,X,X,X,X,O,X,X,X,X,X
IOLJZTS,X,O,X,X,X,X,O,X,X,X,X,X
IOLJZST,X,O,X,X,X,X,O,X,X,X,X,X
IOLSTJZ,O,O,X,X,O,X,X,X,X,X,X,X
IOLSTZJ,O,O,X,X,O,X,X,X,X,X,O,X
IOLSJTZ,O,O,X,X,X,X,X,X,X,X,X,X
IOLSJZT,O,X,X,X,X,X,O,X,X,X,X,X
IOLSZTJ,O,O,X,X,O,X,X,X,X,X,O,X
IOLSZJT,O,X,X,X,X,X,O,X,X,X,O,X
IOLZTJS,X,O,X,X,O,X,O,X,X,X,X,X
IOLZTSJ,X,O,X,X,O,X,X,O,X,X,X,X
IOLZJTS,X,O,X,X,O,X,O,X,X,X,X,X
IOLZJST,X,O,X,X,O,X,O,X,X,X,X,X
IOLZSTJ,X,O,X,X,O,X,X,X,X,X,X,X
IOLZSJT,X,X,X,X,X,X,O,X,X,X,X,X
IOJTLSZ,O,O,X,X,X,X,X,X,X,X,X,X
IOJTLZS,O,O,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,O,X,X,X,X,X,X,X,X,X,X
IOJTSZL,O,O,X,X,X,X,X,X,X,X,O,X
IOJTZLS,O,O,X,X,X,X,X,X,X,X,X,X
IOJTZSL,X,O,X,X,X,X,X,O,X,X,X,X
IOJLTSZ,O,O,X,X,X,X,X,X,X,X,X,X
IOJLTZS,O,O,X,X,X,X,O,X,X,X,X,X
IOJLSTZ,O,O,X,X,X,X,X,X,X,X,X,X
IOJLSZT,O,O,X,X,X,X,O,X,X,X,X,X
IOJLZTS,X,O,X,X,X,X,O,X,X,X,X,X
IOJLZST,X,O,X,X,X,X,O,X,X,X,X,X
IOJSTLZ,O,O,X,X,X,X,X,X,X,X,X,X
IOJSTZL,O,O,X,X,X,X,X,X,X,X,O,X
IOJSLTZ,O,O,X,X,X,X,X,X,X,X,X,X
IOJSLZT,O,O,X,X,X,X,X,X,X,X,X,X
IOJSZTL,X,O,X,X,X,X,X,X,X,X,O,X
IOJSZLT,O,O,X,X,X,X,X,X,X,X,O,X
IOJZTLS,X,O,X,X,X,X,X,X,X,X,X,X
IOJZTSL,X,O,X,X,X,X,X,O,X,X,X,X
IOJZLTS,X,O,X,X,X,X,O,X,X,X,X,X
IOJZLST,X,O,X,X,X,X,O,X,X,X,X,X
IOJZSTL,X,O,X,X,X,X,X,X,X,X,X,X
IOJZSLT,X,O,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,O,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,O,O,X,X,X,X,X,X,X,X,O,X
IOSTJLZ,O,O,X,X,X,X,X,X,X,X,X,X
IOSTJZL,X,O,X,X,X,X,X,X,X,X,O,X
IOSTZLJ,O,O,X,X,X,X,X,O,X,X,O,X
IOSTZJL,X,O,X,X,X,X,X,O,X,X,O,X
IOSLTJZ,O,O,X,X,O,X,X,X,X,X,X,X
IOSLTZJ,O,O,X,X,O,X,X,X,X,X,O,X
IOSLJTZ,O,O,X,X,X,X,X,X,X,X,X,X
IOSLJZT,O,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,O,X,X,O,X,X,X,X,X,O,X
IOSLZJT,O,X,X,X,X,X,X,X,X,X,O,X
IOSJTLZ,O,O,X,X,X,X,X,X,X,X,X,X
IOSJTZL,O,O,X,X,X,X,X,X,X,X,O,X
IOSJLTZ,O,O,X,X,X,X,X,X,X,X,X,X
IOSJLZT,O,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,X,X,X,X,X,X,X,X,X,O,X
IOSJZLT,O,X,X,X,X,X,X,X,X,X,O,X
IOSZTLJ,X,O,X,X,X,X,X,O,X,X,O,X
IOSZTJL,X,O,X,X,X,X,X,O,X,X,O,X
IOSZLTJ,O,O,X,X,O,X,X,X,X,X,O,X
IOSZLJT,O,X,X,X,X,X,X,X,X,X,O,X
IOSZJTL,X,X,X,X,X,X,X,X,X,X,O,X
IOSZJLT,X,X,X,X,X,X,X,X,X,X,O,X
IOZTLJS,X,O,X,X,O,X,X,X,X,X,X,X
IOZTLSJ,X,O,X,X,O,X,X,O,X,X,X,X
IOZTJLS,X,O,X,X,X,X,X,X,X,X,X,X
IOZTJSL,X,O,X,X,X,X,X,O,X,X,X,X
IOZTSLJ,X,O,X,X,X,X,X,O,X,X,O,X
IOZTSJL,X,O,X,X,X,X,X,O,X,X,O,X
IOZLTJS,X,O,X,X,O,X,O,X,X,X,X,X
IOZLTSJ,X,O,X,X,O,X,X,O,X,X,X,X
IOZLJTS,X,O,X,X,O,X,O,X,X,X,X,X
IOZLJST,X,O,X,X,O,X,O,X,X,X,X,X
IOZLSTJ,X,O,X,X,O,X,X,X,X,X,X,X
IOZLSJT,X,X,X,X,X,X,O,X,X,X,X,X
IOZJTLS,X,O,X,X,O,X,X,X,X,X,X,X
IOZJTSL,X,O,X,X,X,X,X,O,X,X,X,X
IOZJLTS,X,O,X,X,O,X,O,X,X,X,X,X
IOZJLST,X,O,X,X,O,X,O,X,X,X,X,X
IOZJSTL,X,O,X,X,X,X,X,X,X,X,X,X
IOZJSLT,X,O,X,X,O,X,X,X,X,X,X,X
IOZSTLJ,X,O,X,X,X,X,X,O,X,X,O,X
IOZSTJL,X,O,X,X,X,X,X,O,X,X,O,X
IOZSLTJ,X,O,X,X,O,X,X,X,X,X,O,X
IOZSLJT,X,X,X,X,X,X,X,X,X,X,O,X
IOZSJTL,X,X,X,X,X,X,X,X,X,X,O,X
IOZSJLT,X,X,X,X,X,X,X,X,X,X,O,X
LTIJSZO,X,O,X,O,O,X,X,X,X,X,X,X
LTIJSOZ,X,X,X,O,X,O,X,X,X,X,X,X
LTIJZSO,X,O,X,O,X,X,X,X,X,X,X,X
LTIJZOS,X,X,X,O,X,O,O,X,X,X,X,X
LTIJOSZ,X,X,X,O,X,O,X,X,X,X,X,X
LTIJOZS,X,X,X,O,X,O,O,X,X,X,X,X
LTISJZO,X,O,X,O,O,O,X,X,X,X,X,X
LTISJOZ,X,X,O,O,X,O,X,X,X,X,X,X
LTISZJO,X,O,O,O,O,O,X,X,X,X,X,X
LTISZOJ,X,O,O,O,O,O,X,X,X,X,X,X
LTISOJZ,X,X,O,O,X,O,X,X,X,X,X,X
LTISOZJ,X,O,O,O,O,O,X,X,X,X,X,X
LTIZJSO,X,O,O,O,O,X,X,X,X,X,X,X
LTIZJOS,X,X,O,O,O,O,O,X,X,X,X,X
LTIZSJO,X,O,O,O,O,X,X,X,X,X,X,X
LTIZSOJ,X,O,O,O,O,X,X,O,X,X,X,X
LTIZOJS,X,X,O,O,X,O,O,X,X,X,X,X
LTIZOSJ,X,O,O,X,O,X,X,X,X,X,X,X
LTIOJSZ,X,X,X,O,X,O,X,X,X,X,X,X
LTIOJZS,X,X,X,O,X,O,O,X,X,X,X,X
LTIOSJZ,X,X,O,O,X,O,X,X,X,X,X,X
LTIOSZJ,X,O,O,O,O,O,X,X,X,X,X,X
LTIOZJS,X,X,O,O,X,O,O,X,X,X,X,X
LTIOZSJ,X,O,O,X,X,X,X,X,X,X,X,X
LTJISZO,X,O,X,O,O,X,X,X,X,O,X,X
LTJISOZ,X,O,X,O,X,O,X,X,X,X,X,X
LTJIZSO,X,O,X,O,X,X,X,X,X,X,X,X
LTJIZOS,X,O,X,O,X,O,X,X,X,X,X,X
LTJIOSZ,X,O,X,O,X,O,X,X,X,X,X,X
LTJIOZS,X,O,X,O,X,O,X,X,X,X,X,X
LTJSIZO,X,O,X,O,O,O,X,X,X,O,X,X
LTJSIOZ,X,O,O,O,X,O,X,X,X,X,X,X
LTJSZIO,X,X,O,O,O,O,X,X,X,O,X,X
LTJSZOI,X,X,O,O,O,O,X,X,X,O,X,X
LTJSOIZ,X,O,O,O,X,O,X,X,X,X,X,X
LTJSOZI,X,X,O,O,X,O,X,X,X,O,X,X
LTJZISO,X,X,O,O,O,X,X,X,X,X,X,X
LTJZIOS,X,X,O,O,O,X,X,X,X,X,X,X
LTJZSIO,X,X,O,O,O,X,X,X,X,O,X,X
LTJZSOI,X,X,O,O,O,X,X,X,X,O,X,X
LTJZOIS,X,X,O,O,O,X,X,X,X,X,X,X
LTJZOSI,X,X,O,O,O,X,X,X,X,X,X,X
LTJOISZ,X,O,X,O,X,O,X,X,X,X,X,X
LTJOIZS,X,O,X,O,X,O,X,X,X,X,X,X
LTJOSIZ,X,O,O,O,X,O,X,X,X,X,X,X
LTJOSZI,X,X,O,O,X,O,X,X,X,O,X,X
LTJOZIS,X,O,O,O,X,X,X,X,X,X,X,X
LTJOZSI,X,X,O,O,X,X,X,X,X,X,X,X
LTSIJZO,X,X,X,O,O,O,X,X,O,O,X,X
LTSIJOZ,X,X,O,O,X,O,X,X,O,X,X,X
LTSIZJO,X,X,O,O,O,O,X,X,O,O,X,X
LTSIZOJ,X,X,O,O,O,O,X,X,O,X,X,X
LTSIOJZ,X,X,O,O,X,O,X,X,O,X,X,X
LTSIOZJ,X,X,O,O,O,O,X,X,X,X,X,X
LTSJIZO,X,X,X,O,O,O,X,X,O,O,X,X
LTSJIOZ,X,X,O,O,X,O,X,X,O,X,X,X
LTSJZIO,X,X,O,O,O,O,X,X,O,O,X,X
LTSJZOI,X,X,O,O,O,O,X,X,O,O,X,X
LTSJOIZ,X,X,O,O,X,O,X,X,O,X,X,X
LTSJOZI,X,X,O,O,X,O,X,X,O,O,X,X
LTSZIJO,X,X,O,O,O,O,X,X,O,O,X,X
LTSZIOJ,X,X,O,O,O,O,X,X,O,X,X,X
LTSZJIO,X,X,O,O,O,O,X,X,O,O,X,X
LTSZJOI,X,X,O,O,O,O,X,X,O,O,X,X
LTSZOIJ,X,X,O,O,O,O,X,X,O,X,X,X
LTSZOJI,X,X,O,O,O,O,X,X,O,X,X,X
LTSOIJZ,X,X,O,O,X,O,X,X,O,X,X,X
LTSOIZJ,X,X,O,O,O,O,X,X,X,X,X,X
LTSOJIZ,X,X,O,O,X,O,X,X,O,X,X,X
LTSOJZI,X,X,O,O,X,O,X,X,O,X,X,X
LTSOZIJ,X,X,O,O,O,O,X,X,O,X,X,X
LTSOZJI,X,X,O,O,O,O,X,X,O,X,X,X
LTZIJSO,X,X,O,O,O,X,X,X,O,X,X,X
LTZIJOS,X,X,O,O,O,O,O,X,O,X,X,X
LTZISJO,X,X,O,O,O,X,X,X,O,X,X,X
LTZISOJ,X,X,O,O,O,X,X,O,O,X,X,X
LTZIOJS,X,X,O,O,X,O,O,X,O,X,X,X
LTZIOSJ,X,X,O,X,O,X,X,X,X,X,X,X
LTZJISO,X,X,O,O,O,X,X,X,O,X,X,X
LTZJIOS,X,X,O,O,O,X,X,X,O,X,X,X
LTZJSIO,X,X,O,O,O,X,X,X,O,X,X,X
LTZJSOI,X,X,O,O,O,X,X,X,X,X,X,X
LTZJOIS,X,X,O,O,O,X,X,X,O,X,X,X
LTZJOSI,X,X,O,O,O,X,X,X,X,X,X,X
LTZSIJO,X,X,O,O,O,O,X,X,O,X,X,X
LTZSIOJ,X,X,O,O,O,O,X,O,O,X,X,X
LTZSJIO,X,X,O,O,O,O,X,X,O,X,X,X
LTZSJOI,X,X,O,O,O,O,X,X,O,X,X,X
LTZSOIJ,X,X,O,O,O,O,X,O,O,X,X,X
LTZSOJI,X,X,O,O,O,O,X,X,O,X,X,X
LTZOIJS,X,X,O,O,X,O,O,X,O,X,X,X
LTZOISJ,X,X,O,X,O,X,X,O,X,X,X,X
LTZOJIS,X,X,O,O,O,X,X,X,O,X,X,X
LTZOJSI,X,X,O,O,O,X,X,X,X,X,X,X
LTZOSIJ,X,X,O,O,O,O,X,O,X,X,X,X
LTZOSJI,X,X,O,O,O,O,X,X,X,X,X,X
LTOIJSZ,X,O,X,O,X,O,X,X,X,X,X,X
LTOIJZS,X,O,X,O,X,O,O,X,X,X,X,X
LTOISJZ,X,O,O,O,X,O,X,X,X,X,X,X
LTOISZJ,X,O,O,O,O,O,X,X,X,X,X,X
LTOIZJS,X,O,O,O,X,O,O,X,X,X,X,X
LTOIZSJ,X,O,O,X,X,X,X,O,X,X,X,X
LTOJISZ,X,O,X,O,X,O,X,X,X,X,X,X
LTOJIZS,X,O,X,O,X,O,X,X,X,X,X,X
LTOJSIZ,X,O,O,O,X,O,X,X,X,X,X,X
LTOJSZI,X,X,O,O,X,O,X,X,X,X,X,X
LTOJZIS,X,O,O,O,X,X,X,X,X,X,X,X
LTOJZSI,X,X,O,O,X,X,X,X,X,X,X,X
LTOSIJZ,X,X,O,O,X,O,X,X,X,X,X,X
LTOSIZJ,X,X,O,O,O,O,X,X,X,X,X,X
LTOSJIZ,X,X,O,O,X,O,X,X,X,X,X,X
LTOSJZI,X,X,O,O,X,O,X,X,X,X,X,X
LTOSZIJ,X,X,O,O,O,O,X,X,X,X,X,X
LTOSZJI,X,X,O,O,O,O,X,X,X,X,X,X
LTOZIJS,X,O,O,O,X,O,O,X,X,X,X,X
LTOZISJ,X,O,O,X,O,X,X,O,X,X,X,X
LTOZJIS,X,O,O,O,O,X,X,X,X,X,X,X
LTOZJSI,X,X,O,O,O,X,X,X,X,X,X,X
LTOZSIJ,X,X,O,O,O,O,X,O,X,X,X,X
LTOZSJI,X,X,O,O,O,O,X,X,X,X,X,X
LITJSZO,X,O,X,X,O,X,X,X,X,X,X,X
LITJSOZ,X,X,X,X,X,O,X,X,X,X,X,X
LITJZSO,X,O,X,X,X,X,X,X,X,X,X,X
LITJZOS,X,X,X,X,X,O,O,X,X,X,X,X
LITJOSZ,X,X,X,X,X,O,X,X,X,X,X,X
LITJOZS,X,X,X,X,X,O,O,X,X,X,X,X
LITSJZO,X,O,X,X,O,O,X,X,X,X,X,X
LITSJOZ,X,X,O,X,X,O,X,X,X,X,X,X
LITSZJO,X,O,O,X,O,O,X,X,X,X,X,X
LITSZOJ,X,O,O,X,O,O,X,X,X,X,X,X
LITSOJZ,X,O,O,X,X,O,X,X,X,X,X,X
LITSOZJ,X,O,O,X,O,O,X,X,X,X,X,X
LITZJSO,X,O,O,X,O,X,X,X,X,X,X,X
LITZJOS,X,X,O,X,O,O,O,X,X,X,X,X
LITZSJO,X,O,O,X,O,X,X,X,X,X,X,X
LITZSOJ,X,O,O,X,O,X,X,X,X,X,X,X
LITZOJS,X,X,O,X,X,O,O,X,X,X,X,X
LITZOSJ,X,O,O,X,O,X,X,X,X,X,X,X
LITOJSZ,X,O,X,X,X,O,X,X,X,X,X,X
LITOJZS,X,O,X,X,X,O,O,X,X,X,X,X
LITOSJZ,X,O,O,X,X,O,X,X,X,X,X,X
LITOSZJ,X,O,O,X,O,O,X,X,X,X,X,X
LITOZJS,X,O,O,X,X,O,O,X,X,X,X,X
LITOZSJ,X,O,O,X,X,X,X,X,X,X,X,X
LIJTSZO,X,O,X,X,X,X,X,X,X,O,X,X
LIJTSOZ,X,O,X,X,X,X,X,X,X,X,X,X
LIJTZSO,X,O,X,X,X,X,X,X,X,X,X,X
LIJTZOS,X,O,X,X,X,X,O,X,X,X,X,X
LIJTOSZ,X,O,X,X,X,X,X,X,X,X,X,X
LIJTOZS,X,O,X,X,X,X,O,X,X,X,X,X
LIJSTZO,X,O,X,X,X,X,X,X,X,O,X,X
LIJSTOZ,X,O,X,X,X,X,X,X,X,X,X,X
LIJSZTO,X,O,X,X,X,X,X,X,X,O,X,X
LIJSZOT,X,X,X,X,X,X,O,X,X,O,X,X
LIJSOTZ,X,O,X,X,X,X,X,X,X,X,X,X
LIJSOZT,X,O,X,X,X,X,O,X,X,O,X,X
LIJZTSO,X,O,X,X,X,X,X,X,X,X,X,X
LIJZTOS,X,O,X,X,X,X,O,X,X,X,X,X
LIJZSTO,X,O,X,X,X,X,X,X,X,X,X,X
LIJZSOT,X,X,X,X,X,X,O,X,X,X,X,X
LIJZOTS,X,X,X,X,X,X,O,X,X,X,X,X
LIJZOST,X,X,X,X,X,X,O,X,X,X,X,X
LIJOTSZ,X,O,X,X,X,X,X,X,X,X,X,X
LIJOTZS,X,O,X,X,X,X,O,X,X,X,X,X
LIJOSTZ,X,O,X,X,X,X,X,X,X,X,X,X
LIJOSZT,X,O,X,X,X,X,O,X,X,X,X,X
LIJOZTS,X,O,X,X,X,X,O,X,X,X,X,X
LIJOZST,X,O,X,X,X,X,O,X,X,X,X,X
LISTJZO,X,O,X,X,X,O,X,X,O,O,X,X
LISTJOZ,X,X,O,X,X,O,X,X,O,X,X,X
LISTZJO,X,O,O,X,X,O,X,X,O,O,X,X
LISTZOJ,X,O,O,X,X,O,X,X,O,X,X,X
LISTOJZ,X,O,O,X,X,O,X,X,O,X,X,X
LISTOZJ,X,O,O,X,X,O,X,X,X,X,X,X
LISJTZO,X,O,X,X,X,O,X,X,O,O,X,X
LISJTOZ,X,X,O,X,X,O,X,X,O,X,X,X
LISJZTO,X,X,X,X,X,O,X,X,O,O,X,X
