sequence,v115@XhD8BeH8Jex/IvhF8lBGiBTjB3mBlpBipB,v115@XhD8BeH8Jex/IvhF8lBGiBTjB3mBipBlpB,v115@XhD8BeH8Jei/IvhFfmBGjBUlBRnBlmBTpB,v115@XhD8BeH8JeRAJvhFGiBTjB0lBlmBipB/pB,v115@XhD8BeH8JeZEJvhFfmBSnBTjBupBUqBlrB,v115@XhD8BeH8JeZEJvhFfmBSnBTjBUlBupBlrB
TOSIJZL,O,X,X,X,X,X
TOSIZLJ,O,X,X,X,X,O
TOSIZJL,O,X,X,X,X,X
TOSLIJZ,X,X,X,X,O,X
TOSLIZJ,X,X,X,X,X,O
TOSLJIZ,X,X,X,X,O,X
TOSLJZI,O,O,X,O,X,X
TOSLZIJ,O,O,X,O,X,O
TOSLZJI,O,O,X,O,X,X
TOSJILZ,X,X,X,X,O,X
TOSJIZL,O,X,X,X,X,X
TOSJLIZ,X,X,X,X,O,X
TOSJLZI,O,O,X,O,X,X
TOSJZIL,O,O,X,X,X,X
TOSJZLI,O,O,X,O,X,X
TOSZILJ,O,X,X,X,X,O
TOSZIJL,O,O,X,X,X,X
TOSZLIJ,O,O,X,O,X,O
TOSZLJI,O,O,X,O,X,X
TOSZJIL,O,O,X,X,X,X
TOSZJLI,O,O,X,O,X,X
TOZILJS,O,X,O,O,X,X
TOZILSJ,X,X,O,O,X,O
TOZIJLS,O,O,O,O,X,X
TOZIJSL,O,O,O,X,X,X
TOZISLJ,X,X,O,X,X,O
TOZISJL,O,X,O,X,X,X
TOZLIJS,O,O,O,O,X,X
TOZLISJ,X,X,O,O,X,O
TOZLJIS,O,O,O,O,X,X
TOZLJSI,X,X,O,O,X,X
TOZLSIJ,X,X,O,O,X,O
TOZLSJI,X,X,O,O,X,X
TOZJILS,O,O,O,O,X,X
TOZJISL,O,O,O,X,X,X
TOZJLIS,O,O,O,O,X,X
TOZJLSI,X,X,O,O,X,X
TOZJSIL,O,X,O,X,X,X
TOZJSLI,O,X,O,O,X,X
TOZSILJ,O,X,O,X,X,O
TOZSIJL,O,X,O,X,X,X
TOZSLIJ,O,X,O,O,X,O
TOZSLJI,O,X,O,O,X,X
TOZSJIL,O,X,O,X,X,X
TOZSJLI,O,X,O,O,X,X
ITLJSZO,X,X,X,X,X,X
ITLJSOZ,X,X,X,X,O,X
ITLJZSO,X,X,X,O,X,X
ITLJZOS,X,X,X,O,X,X
ITLJOSZ,X,X,X,X,O,X
ITLJOZS,X,X,X,O,X,X
ITLSJZO,X,X,X,X,X,X
ITLSJOZ,X,X,X,X,O,X
ITLSZJO,X,X,X,X,X,X
ITLSZOJ,X,X,X,X,X,O
ITLSOJZ,X,X,X,X,O,X
ITLSOZJ,X,X,X,X,X,O
ITLZJSO,X,X,X,O,X,X
ITLZJOS,X,X,X,O,X,X
ITLZSJO,X,X,X,O,X,X
ITLZSOJ,X,X,X,O,X,O
ITLZOJS,X,X,X,O,X,X
ITLZOSJ,X,X,X,O,X,O
ITLOJSZ,X,X,X,X,O,X
ITLOJZS,X,X,X,O,X,X
ITLOSJZ,X,X,X,X,O,X
ITLOSZJ,X,X,X,X,X,O
ITLOZJS,X,X,X,O,X,X
ITLOZSJ,X,X,X,O,X,O
ITJLSZO,X,X,X,X,X,X
ITJLSOZ,X,X,X,X,O,X
ITJLZSO,X,X,X,O,X,X
ITJLZOS,X,X,X,O,X,X
ITJLOSZ,X,X,X,X,O,X
ITJLOZS,X,X,X,O,X,X
ITJSLZO,X,X,X,X,X,X
ITJSLOZ,X,X,X,X,O,X
ITJSZLO,O,X,O,X,X,X
ITJSZOL,O,X,X,X,X,X
ITJSOLZ,X,X,X,X,O,X
ITJSOZL,O,X,X,X,X,X
ITJZLSO,X,X,O,O,X,X
ITJZLOS,O,X,X,O,X,X
ITJZSLO,X,X,O,X,X,X
ITJZSOL,O,X,X,X,X,X
ITJZOLS,O,X,X,O,X,X
ITJZOSL,O,X,X,X,X,X
ITJOLSZ,X,X,X,X,O,X
ITJOLZS,X,X,O,O,X,X
ITJOSLZ,X,X,X,X,O,X
ITJOSZL,O,X,X,X,X,X
ITJOZLS,O,X,O,O,X,X
ITJOZSL,O,X,O,X,X,X
ITSLJZO,X,X,X,X,X,X
ITSLJOZ,X,X,X,X,O,X
ITSLZJO,X,X,X,X,X,X
ITSLZOJ,X,X,X,X,X,O
ITSLOJZ,X,X,X,X,O,X
ITSLOZJ,X,X,X,X,X,O
ITSJLZO,X,X,X,X,X,X
ITSJLOZ,X,X,X,X,O,X
ITSJZLO,O,X,O,X,X,X
ITSJZOL,O,X,X,X,X,X
ITSJOLZ,X,X,X,X,O,X
ITSJOZL,O,X,X,X,X,X
ITSZLJO,O,X,O,X,X,X
ITSZLOJ,O,X,X,X,X,O
ITSZJLO,O,X,O,X,X,X
ITSZJOL,O,X,X,X,X,X
ITSZOLJ,O,X,X,X,X,O
ITSZOJL,O,X,X,X,X,X
ITSOLJZ,X,X,X,X,O,X
ITSOLZJ,X,X,X,X,X,O
ITSOJLZ,X,X,X,X,O,X
ITSOJZL,O,X,X,X,X,X
ITSOZLJ,O,X,X,X,X,O
ITSOZJL,O,X,X,X,X,X
ITZLJSO,X,X,O,O,X,X
ITZLJOS,O,X,X,O,X,X
ITZLSJO,X,X,O,O,X,X
ITZLSOJ,X,X,X,O,X,O
ITZLOJS,O,X,X,O,X,X
ITZLOSJ,X,X,X,O,X,O
ITZJLSO,X,X,O,O,X,X
ITZJLOS,O,X,X,O,X,X
ITZJSLO,X,X,O,X,X,X
ITZJSOL,O,X,X,X,X,X
ITZJOLS,O,X,X,O,X,X
ITZJOSL,O,X,X,X,X,X
ITZSLJO,X,X,O,X,X,X
ITZSLOJ,X,X,X,X,X,O
ITZSJLO,X,X,O,X,X,X
ITZSJOL,O,X,X,X,X,X
ITZSOLJ,X,X,X,X,X,O
ITZSOJL,O,X,X,X,X,X
ITZOLJS,O,X,X,O,X,X
ITZOLSJ,X,X,X,O,X,O
ITZOJLS,O,X,X,O,X,X
ITZOJSL,O,X,X,X,X,X
ITZOSLJ,X,X,X,X,X,O
ITZOSJL,O,X,X,X,X,X
ITOLJSZ,X,X,X,X,O,X
ITOLJZS,X,X,O,O,X,X
ITOLSJZ,X,X,X,X,O,X
ITOLSZJ,X,X,X,X,X,O
ITOLZJS,X,X,O,O,X,X
ITOLZSJ,X,X,O,O,X,O
ITOJLSZ,X,X,X,X,O,X
ITOJLZS,X,X,O,O,X,X
ITOJSLZ,X,X,X,X,O,X
ITOJSZL,O,X,X,X,X,X
ITOJZLS,O,X,O,O,X,X
ITOJZSL,O,X,O,X,X,X
ITOSLJZ,X,X,X,X,O,X
ITOSLZJ,X,X,X,X,X,O
ITOSJLZ,X,X,X,X,O,X
ITOSJZL,O,X,X,X,X,X
ITOSZLJ,O,X,X,X,X,O
ITOSZJL,O,X,X,X,X,X
ITOZLJS,O,X,O,O,X,X
ITOZLSJ,X,X,O,O,X,O
ITOZJLS,O,X,O,O,X,X
ITOZJSL,O,X,O,X,X,X
ITOZSLJ,X,X,O,X,X,O
ITOZSJL,O,X,O,X,X,X
ILTJSZO,X,X,X,X,X,X
ILTJSOZ,X,X,X,X,O,X
ILTJZSO,X,X,X,O,X,X
ILTJZOS,X,X,X,O,X,X
ILTJOSZ,X,X,X,X,O,X
ILTJOZS,X,X,X,O,X,X
ILTSJZO,X,X,X,X,X,X
ILTSJOZ,X,X,X,X,O,X
ILTSZJO,X,X,X,X,X,X
ILTSZOJ,X,X,X,X,X,O
ILTSOJZ,X,X,X,X,O,X
ILTSOZJ,X,X,X,X,X,O
ILTZJSO,X,X,X,O,X,X
ILTZJOS,X,X,X,O,X,X
ILTZSJO,X,X,X,O,X,X
ILTZSOJ,X,X,X,O,X,O
ILTZOJS,X,X,X,O,X,X
ILTZOSJ,X,X,X,O,X,O
ILTOJSZ,X,X,X,X,O,X
ILTOJZS,X,X,X,O,X,X
ILTOSJZ,X,X,X,X,O,X
ILTOSZJ,X,X,X,X,X,O
ILTOZJS,X,X,X,O,X,X
ILTOZSJ,X,X,X,O,X,O
ILJTSZO,X,X,X,X,X,X
ILJTSOZ,X,X,X,X,O,X
ILJTZSO,X,X,X,O,X,X
ILJTZOS,X,X,X,O,X,X
ILJTOSZ,X,X,X,X,O,X
ILJTOZS,X,X,X,O,X,X
ILJSTZO,X,X,X,X,X,X
ILJSTOZ,X,X,X,X,O,X
ILJSZTO,X,O,O,X,X,X
ILJSZOT,X,O,O,X,O,O
ILJSOTZ,X,X,X,X,O,X
ILJSOZT,X,O,X,X,O,O
ILJZTSO,X,X,O,X,X,X
ILJZTOS,X,O,X,X,X,X
ILJZSTO,X,X,O,X,X,X
ILJZSOT,X,O,O,X,O,O
ILJZOTS,X,O,X,X,X,X
ILJZOST,X,O,O,X,O,O
ILJOTSZ,X,X,X,X,O,X
ILJOTZS,X,X,O,O,X,X
ILJOSTZ,X,X,X,X,O,X
ILJOSZT,X,O,O,X,O,O
ILJOZTS,X,O,O,X,X,X
ILJOZST,X,O,O,X,O,O
ILSTJZO,X,X,X,X,X,X
ILSTJOZ,X,X,X,X,O,X
ILSTZJO,X,X,X,X,X,X
ILSTZOJ,X,X,X,X,X,O
ILSTOJZ,X,X,X,X,O,X
ILSTOZJ,X,X,X,X,X,O
ILSJTZO,X,X,X,X,X,X
ILSJTOZ,X,X,X,X,O,X
ILSJZTO,X,O,O,X,X,X
ILSJZOT,X,O,O,X,O,O
ILSJOTZ,X,X,X,X,O,X
ILSJOZT,X,O,X,X,O,O
ILSZTJO,X,O,O,X,X,X
ILSZTOJ,X,O,X,X,X,O
ILSZJTO,X,O,O,X,X,X
ILSZJOT,X,O,O,X,O,O
ILSZOTJ,X,O,X,X,X,O
ILSZOJT,X,O,O,X,O,O
ILSOTJZ,X,X,X,X,O,X
ILSOTZJ,X,X,X,X,X,O
ILSOJTZ,X,X,X,X,O,X
ILSOJZT,X,O,X,X,O,O
ILSOZTJ,X,O,X,X,X,O
ILSOZJT,X,O,X,X,O,O
ILZTJSO,X,X,O,O,X,X
ILZTJOS,X,O,X,O,X,X
ILZTSJO,X,X,O,O,X,X
ILZTSOJ,X,X,X,O,X,O
ILZTOJS,X,O,X,O,X,X
ILZTOSJ,X,X,X,O,X,O
ILZJTSO,X,X,O,X,X,X
ILZJTOS,X,O,X,X,X,X
ILZJSTO,X,X,O,X,X,X
ILZJSOT,X,O,O,X,O,O
ILZJOTS,X,O,X,X,X,X
ILZJOST,X,O,O,X,O,O
ILZSTJO,X,X,O,X,X,X
ILZSTOJ,X,X,X,X,X,O
ILZSJTO,X,X,O,X,X,X
ILZSJOT,X,O,O,X,O,O
ILZSOTJ,X,X,X,X,X,O
ILZSOJT,X,O,O,X,O,O
ILZOTJS,X,O,X,O,X,X
ILZOTSJ,X,X,X,O,X,O
ILZOJTS,X,O,X,X,X,X
ILZOJST,X,O,O,X,O,O
ILZOSTJ,X,X,X,X,X,O
ILZOSJT,X,O,O,X,O,O
ILOTJSZ,X,X,X,X,O,X
ILOTJZS,X,X,O,O,X,X
ILOTSJZ,X,X,X,X,O,X
ILOTSZJ,X,X,X,X,X,O
ILOTZJS,X,X,O,O,X,X
ILOTZSJ,X,X,O,O,X,O
ILOJTSZ,X,X,X,X,O,X
ILOJTZS,X,X,O,O,X,X
ILOJSTZ,X,X,X,X,O,X
ILOJSZT,X,O,O,X,O,O
ILOJZTS,X,O,O,X,X,X
ILOJZST,X,O,O,X,O,O
ILOSTJZ,X,X,X,X,O,X
ILOSTZJ,X,X,X,X,X,O
ILOSJTZ,X,X,X,X,O,X
ILOSJZT,X,O,O,X,O,O
ILOSZTJ,X,O,O,X,X,O
ILOSZJT,X,O,O,X,O,O
ILOZTJS,X,O,O,O,X,X
ILOZTSJ,X,X,O,O,X,O
ILOZJTS,X,O,O,X,X,X
ILOZJST,X,O,O,X,O,O
ILOZSTJ,X,X,O,X,X,O
ILOZSJT,X,O,O,X,O,O
IJTLSZO,X,X,X,X,X,X
IJTLSOZ,X,X,X,X,O,X
IJTLZSO,X,X,X,O,X,X
IJTLZOS,X,X,X,O,X,X
IJTLOSZ,X,X,X,X,O,X
IJTLOZS,X,X,X,O,X,X
IJTSLZO,X,X,X,X,X,X
IJTSLOZ,X,X,X,X,O,X
IJTSZLO,O,X,O,X,X,X
IJTSZOL,O,X,X,X,X,X
IJTSOLZ,X,X,X,X,O,X
IJTSOZL,O,X,X,X,X,X
IJTZLSO,X,X,O,O,X,X
IJTZLOS,O,X,X,O,X,X
IJTZSLO,X,X,O,X,X,X
IJTZSOL,O,X,X,X,X,X
IJTZOLS,O,X,X,O,X,X
IJTZOSL,O,X,X,X,X,X
IJTOLSZ,X,X,X,X,O,X
IJTOLZS,X,X,O,O,X,X
IJTOSLZ,X,X,X,X,O,X
IJTOSZL,O,X,X,X,X,X
IJTOZLS,O,X,O,O,X,X
IJTOZSL,O,X,O,X,X,X
IJLTSZO,X,X,X,X,X,X
IJLTSOZ,X,X,X,X,O,X
IJLTZSO,X,X,X,O,X,X
IJLTZOS,X,X,X,O,X,X
IJLTOSZ,X,X,X,X,O,X
IJLTOZS,X,X,X,O,X,X
IJLSTZO,X,X,X,X,X,X
IJLSTOZ,X,X,X,X,O,X
IJLSZTO,X,O,O,X,X,X
IJLSZOT,X,O,O,X,O,O
IJLSOTZ,X,X,X,X,O,X
IJLSOZT,X,O,X,X,O,O
IJLZTSO,X,X,O,X,X,X
IJLZTOS,X,O,X,X,X,X
IJLZSTO,X,X,O,X,X,X
IJLZSOT,X,O,O,X,O,O
IJLZOTS,X,O,X,X,X,X
IJLZOST,X,O,O,X,O,O
IJLOTSZ,X,X,X,X,O,X
IJLOTZS,X,X,O,O,X,X
IJLOSTZ,X,X,X,X,O,X
IJLOSZT,X,O,O,X,O,O
IJLOZTS,X,O,O,X,X,X
IJLOZST,X,O,O,X,O,O
IJSTLZO,X,X,X,X,X,X
IJSTLOZ,X,X,X,X,O,X
IJSTZLO,O,X,O,X,X,X
IJSTZOL,O,X,X,X,X,X
IJSTOLZ,X,X,X,X,O,X
IJSTOZL,O,X,X,X,X,X
IJSLTZO,X,X,X,X,X,X
IJSLTOZ,X,X,X,X,O,X
IJSLZTO,X,O,O,X,X,X
IJSLZOT,X,O,O,X,O,O
IJSLOTZ,X,X,X,X,O,X
IJSLOZT,X,O,X,X,O,O
IJSZTLO,O,X,O,X,X,X
IJSZTOL,O,O,X,X,X,X
IJSZLTO,X,O,O,X,X,X
IJSZLOT,O,O,O,X,O,O
IJSZOTL,O,O,X,X,X,X
IJSZOLT,O,O,O,X,O,O
IJSOTLZ,X,X,X,X,O,X
IJSOTZL,O,X,X,X,X,X
IJSOLTZ,X,X,X,X,O,X
IJSOLZT,X,O,O,X,O,O
IJSOZTL,O,O,O,X,X,X
IJSOZLT,O,O,O,X,O,O
IJZTLSO,X,X,O,X,X,X
IJZTLOS,O,X,X,X,X,X
IJZTSLO,X,X,O,X,X,X
IJZTSOL,O,X,X,X,X,X
IJZTOLS,O,O,X,X,X,X
IJZTOSL,O,O,X,X,X,X
IJZLTSO,X,X,O,X,X,X
IJZLTOS,X,O,X,X,X,X
IJZLSTO,X,X,O,X,X,X
IJZLSOT,X,O,O,X,O,O
IJZLOTS,O,O,X,X,X,X
IJZLOST,O,O,O,X,O,O
IJZSTLO,X,X,O,X,X,X
IJZSTOL,X,X,X,X,X,X
IJZSLTO,X,X,O,X,X,X
IJZSLOT,X,X,O,X,O,O
IJZSOTL,O,O,X,X,X,X
IJZSOLT,O,O,O,X,O,O
IJZOTLS,O,O,O,X,X,X
IJZOTSL,O,O,O,X,X,X
IJZOLTS,O,O,O,X,X,X
IJZOLST,O,O,O,X,O,O
IJZOSTL,O,O,O,X,X,X
IJZOSLT,O,O,O,X,O,O
IJOTLSZ,X,X,X,X,O,X
IJOTLZS,X,X,O,O,X,X
IJOTSLZ,X,X,X,X,O,X
IJOTSZL,O,X,X,X,X,X
IJOTZLS,O,X,O,O,X,X
IJOTZSL,O,X,O,X,X,X
IJOLTSZ,X,X,X,X,O,X
IJOLTZS,X,X,O,O,X,X
IJOLSTZ,X,X,X,X,O,X
IJOLSZT,X,O,O,X,O,O
IJOLZTS,X,O,O,X,X,X
IJOLZST,X,O,O,X,O,O
IJOSTLZ,X,X,X,X,O,X
IJOSTZL,O,X,X,X,X,X
IJOSLTZ,X,X,X,X,O,X
IJOSLZT,X,O,O,X,O,O
IJOSZTL,O,O,O,X,X,X
IJOSZLT,O,O,O,X,O,O
IJOZTLS,O,O,O,X,X,X
IJOZTSL,O,O,O,X,X,X
IJOZLTS,O,O,O,X,X,X
IJOZLST,O,O,O,X,O,O
IJOZSTL,O,O,O,X,X,X
IJOZSLT,O,O,O,X,O,O
ISTLJZO,X,X,X,X,X,X
ISTLJOZ,X,X,X,X,O,X
ISTLZJO,X,X,X,X,X,X
ISTLZOJ,X,X,X,X,X,O
ISTLOJZ,X,X,X,X,O,X
ISTLOZJ,X,X,X,X,X,O
ISTJLZO,X,X,X,X,X,X
ISTJLOZ,X,X,X,X,O,X
ISTJZLO,O,X,O,X,X,X
ISTJZOL,O,X,X,X,X,X
ISTJOLZ,X,X,X,X,O,X
ISTJOZL,O,X,X,X,X,X
ISTZLJO,O,X,O,X,X,X
ISTZLOJ,O,X,X,X,X,O
ISTZJLO,O,X,O,X,X,X
ISTZJOL,O,X,X,X,X,X
ISTZOLJ,O,X,X,X,X,O
ISTZOJL,O,X,X,X,X,X
ISTOLJZ,X,X,X,X,O,X
ISTOLZJ,X,X,X,X,X,O
ISTOJLZ,X,X,X,X,O,X
ISTOJZL,O,X,X,X,X,X
ISTOZLJ,O,X,X,X,X,O
ISTOZJL,O,X,X,X,X,X
ISLTJZO,X,X,X,X,X,X
ISLTJOZ,X,X,X,X,O,X
ISLTZJO,X,X,X,X,X,X
ISLTZOJ,X,X,X,X,X,O
ISLTOJZ,X,X,X,X,O,X
ISLTOZJ,X,X,X,X,X,O
ISLJTZO,X,X,X,X,X,X
ISLJTOZ,X,X,X,X,O,X
ISLJZTO,X,O,O,X,X,X
ISLJZOT,X,O,O,X,O,O
ISLJOTZ,X,X,X,X,O,X
ISLJOZT,X,O,X,X,O,O
ISLZTJO,X,O,O,X,X,X
ISLZTOJ,X,O,X,X,X,O
ISLZJTO,X,O,O,X,X,X
ISLZJOT,X,O,O,X,O,O
ISLZOTJ,X,O,X,X,X,O
ISLZOJT,X,O,O,X,O,O
ISLOTJZ,X,X,X,X,O,X
ISLOTZJ,X,X,X,X,X,O
ISLOJTZ,X,X,X,X,O,X
ISLOJZT,X,O,X,X,O,O
ISLOZTJ,X,O,X,X,X,O
ISLOZJT,X,O,X,X,O,O
ISJTLZO,X,X,X,X,X,X
ISJTLOZ,X,X,X,X,O,X
ISJTZLO,O,X,O,X,X,X
ISJTZOL,O,X,X,X,X,X
ISJTOLZ,X,X,X,X,O,X
ISJTOZL,O,X,X,X,X,X
ISJLTZO,X,X,X,X,X,X
ISJLTOZ,X,X,X,X,O,X
ISJLZTO,X,O,O,X,X,X
ISJLZOT,X,O,O,X,O,O
ISJLOTZ,X,X,X,X,O,X
ISJLOZT,X,O,X,X,O,O
ISJZTLO,O,X,O,X,X,X
ISJZTOL,O,O,X,X,X,X
ISJZLTO,X,O,O,X,X,X
ISJZLOT,O,O,O,X,O,O
ISJZOTL,O,O,X,X,X,X
ISJZOLT,O,O,O,X,O,O
ISJOTLZ,X,X,X,X,O,X
ISJOTZL,O,X,X,X,X,X
ISJOLTZ,X,X,X,X,O,X
ISJOLZT,X,O,O,X,O,O
ISJOZTL,O,O,O,X,X,X
ISJOZLT,O,O,O,X,O,O
ISZTLJO,O,X,O,X,X,X
ISZTLOJ,O,X,X,X,X,O
ISZTJLO,O,X,O,X,X,X
ISZTJOL,O,O,X,X,X,X
ISZTOLJ,O,X,X,X,X,O
ISZTOJL,O,O,X,X,X,X
ISZLTJO,X,O,O,X,X,X
ISZLTOJ,X,O,X,X,X,O
ISZLJTO,X,O,O,X,X,X
ISZLJOT,O,O,O,X,O,O
ISZLOTJ,X,O,X,X,X,O
ISZLOJT,O,O,O,X,O,O
ISZJTLO,O,X,O,X,X,X
ISZJTOL,O,O,X,X,X,X
ISZJLTO,X,O,O,X,X,X
ISZJLOT,O,O,O,X,O,O
ISZJOTL,O,O,X,X,X,X
ISZJOLT,O,O,O,X,O,O
ISZOTLJ,O,X,X,X,X,O
ISZOTJL,O,O,X,X,X,X
ISZOLTJ,X,O,X,X,X,O
ISZOLJT,O,O,O,X,O,O
ISZOJTL,O,O,X,X,X,X
ISZOJLT,O,O,O,X,O,O
ISOTLJZ,X,X,X,X,O,X
ISOTLZJ,X,X,X,X,X,O
ISOTJLZ,X,X,X,X,O,X
ISOTJZL,O,X,X,X,X,X
ISOTZLJ,O,X,X,X,X,O
ISOTZJL,O,X,X,X,X,X
ISOLTJZ,X,X,X,X,O,X
ISOLTZJ,X,X,X,X,X,O
ISOLJTZ,X,X,X,X,O,X
ISOLJZT,X,O,O,X,O,O
ISOLZTJ,X,O,O,X,X,O
ISOLZJT,X,O,O,X,O,O
ISOJTLZ,X,X,X,X,O,X
ISOJTZL,O,X,X,X,X,X
ISOJLTZ,X,X,X,X,O,X
ISOJLZT,X,O,O,X,O,O
ISOJZTL,O,O,O,X,X,X
ISOJZLT,O,O,O,X,O,O
ISOZTLJ,O,X,O,X,X,O
ISOZTJL,O,O,O,X,X,X
ISOZLTJ,X,O,O,X,X,O
ISOZLJT,O,O,O,X,O,O
ISOZJTL,O,O,O,X,X,X
ISOZJLT,O,O,O,X,O,O
IZTLJSO,X,X,O,O,X,X
IZTLJOS,O,X,X,O,X,X
IZTLSJO,X,X,O,O,X,X
IZTLSOJ,X,X,X,O,X,O
IZTLOJS,O,X,X,O,X,X
IZTLOSJ,X,X,X,O,X,O
IZTJLSO,X,X,O,O,X,X
IZTJLOS,O,X,X,O,X,X
IZTJSLO,X,X,O,X,X,X
IZTJSOL,O,X,X,X,X,X
IZTJOLS,O,O,X,O,X,X
IZTJOSL,O,O,X,X,X,X
IZTSLJO,X,X,O,X,X,X
IZTSLOJ,X,X,X,X,X,O
IZTSJLO,X,X,O,X,X,X
IZTSJOL,O,X,X,X,X,X
IZTSOLJ,X,X,X,X,X,O
IZTSOJL,O,X,X,X,X,X
IZTOLJS,O,X,X,O,X,X
IZTOLSJ,X,X,X,O,X,O
IZTOJLS,O,O,X,O,X,X
IZTOJSL,O,O,X,X,X,X
IZTOSLJ,X,X,X,X,X,O
IZTOSJL,O,X,X,X,X,X
IZLTJSO,X,X,O,O,X,X
IZLTJOS,X,O,X,O,X,X
IZLTSJO,X,X,O,O,X,X
IZLTSOJ,X,X,X,O,X,O
IZLTOJS,X,O,X,O,X,X
IZLTOSJ,X,X,X,O,X,O
IZLJTSO,X,X,O,X,X,X
IZLJTOS,X,O,X,X,X,X
IZLJSTO,X,X,O,X,X,X
IZLJSOT,X,O,O,X,O,O
IZLJOTS,O,O,X,X,X,X
IZLJOST,O,O,O,X,O,O
IZLSTJO,X,X,O,X,X,X
IZLSTOJ,X,X,X,X,X,O
IZLSJTO,X,X,O,X,X,X
IZLSJOT,X,O,O,X,O,O
IZLSOTJ,X,X,X,X,X,O
IZLSOJT,X,O,O,X,O,O
IZLOTJS,X,O,X,O,X,X
IZLOTSJ,X,X,X,O,X,O
IZLOJTS,O,O,X,X,X,X
IZLOJST,O,O,O,X,O,O
IZLOSTJ,X,X,X,X,X,O
IZLOSJT,X,O,O,X,O,O
IZJTLSO,X,X,O,X,X,X
IZJTLOS,O,X,X,X,X,X
IZJTSLO,X,X,O,X,X,X
IZJTSOL,O,X,X,X,X,X
IZJTOLS,O,O,X,X,X,X
IZJTOSL,O,O,X,X,X,X
IZJLTSO,X,X,O,X,X,X
IZJLTOS,X,O,X,X,X,X
IZJLSTO,X,X,O,X,X,X
IZJLSOT,X,O,O,X,O,O
IZJLOTS,O,O,X,X,X,X
IZJLOST,O,O,O,X,O,O
IZJSTLO,X,X,O,X,X,X
IZJSTOL,X,X,X,X,X,X
IZJSLTO,X,X,O,X,X,X
IZJSLOT,X,X,O,X,O,O
IZJSOTL,O,O,X,X,X,X
IZJSOLT,O,O,O,X,O,O
IZJOTLS,O,O,O,X,X,X
IZJOTSL,O,O,O,X,X,X
IZJOLTS,O,O,O,X,X,X
IZJOLST,O,O,O,X,O,O
IZJOSTL,O,O,O,X,X,X
IZJOSLT,O,O,O,X,O,O
IZSTLJO,X,X,O,X,X,X
IZSTLOJ,X,X,X,X,X,O
IZSTJLO,X,X,O,X,X,X
IZSTJOL,X,X,X,X,X,X
IZSTOLJ,X,X,X,X,X,O
IZSTOJL,X,X,X,X,X,X
IZSLTJO,X,X,O,X,X,X
IZSLTOJ,X,X,X,X,X,O
IZSLJTO,X,X,O,X,X,X
IZSLJOT,X,X,O,X,O,O
IZSLOTJ,X,X,X,X,X,O
IZSLOJT,X,X,O,X,O,O
IZSJTLO,X,X,O,X,X,X
IZSJTOL,X,X,X,X,X,X
IZSJLTO,X,X,O,X,X,X
IZSJLOT,X,X,O,X,O,O
IZSJOTL,O,O,X,X,X,X
IZSJOLT,O,O,O,X,O,O
IZSOTLJ,X,X,X,X,X,O
IZSOTJL,X,X,X,X,X,X
IZSOLTJ,X,X,X,X,X,O
IZSOLJT,X,X,O,X,O,O
IZSOJTL,O,O,X,X,X,X
IZSOJLT,O,O,O,X,O,O
IZOTLJS,O,X,O,O,X,X
IZOTLSJ,X,X,O,O,X,O
IZOTJLS,O,O,O,O,X,X
IZOTJSL,O,O,O,X,X,X
IZOTSLJ,X,X,O,X,X,O
IZOTSJL,O,X,O,X,X,X
IZOLTJS,X,O,O,O,X,X
IZOLTSJ,X,X,O,O,X,O
IZOLJTS,O,O,O,X,X,X
IZOLJST,O,O,O,X,O,O
IZOLSTJ,X,X,O,X,X,O
IZOLSJT,X,O,O,X,O,O
IZOJTLS,O,O,O,X,X,X
IZOJTSL,O,O,O,X,X,X
IZOJLTS,O,O,O,X,X,X
IZOJLST,O,O,O,X,O,O
IZOJSTL,O,O,O,X,X,X
IZOJSLT,O,O,O,X,O,O
IZOSTLJ,X,X,O,X,X,O
IZOSTJL,X,X,O,X,X,X
IZOSLTJ,X,X,O,X,X,O
IZOSLJT,X,X,O,X,O,O
IZOSJTL,O,O,O,X,X,X
IZOSJLT,O,O,O,X,O,O
IOTLJSZ,X,X,X,X,O,X
IOTLJZS,X,X,O,O,X,X
IOTLSJZ,X,X,X,X,O,X
IOTLSZJ,X,X,X,X,X,O
IOTLZJS,X,X,O,O,X,X
IOTLZSJ,X,X,O,O,X,O
IOTJLSZ,X,X,X,X,O,X
IOTJLZS,X,X,O,O,X,X
IOTJSLZ,X,X,X,X,O,X
IOTJSZL,O,X,X,X,X,X
IOTJZLS,O,X,O,O,X,X
IOTJZSL,O,X,O,X,X,X
IOTSLJZ,X,X,X,X,O,X
IOTSLZJ,X,X,X,X,X,O
IOTSJLZ,X,X,X,X,O,X
IOTSJZL,O,X,X,X,X,X
IOTSZLJ,O,X,X,X,X,O
IOTSZJL,O,X,X,X,X,X
IOTZLJS,O,X,O,O,X,X
IOTZLSJ,X,X,O,O,X,O
IOTZJLS,O,X,O,O,X,X
IOTZJSL,O,X,O,X,X,X
IOTZSLJ,X,X,O,X,X,O
IOTZSJL,O,X,O,X,X,X
IOLTJSZ,X,X,X,X,O,X
IOLTJZS,X,X,O,O,X,X
IOLTSJZ,X,X,X,X,O,X
IOLTSZJ,X,X,X,X,X,O
IOLTZJS,X,X,O,O,X,X
IOLTZSJ,X,X,O,O,X,O
IOLJTSZ,X,X,X,X,O,X
IOLJTZS,X,X,O,O,X,X
IOLJSTZ,X,X,X,X,O,X
