sequence,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhFxhBXjBllBu?rBctBTsB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhFxhBTjBllBu?rBcsBXtB,v115@9gA8IeA8IeC8AeA8EeE8DeA8Jez/IvhFulBFiBXjB0?mBStBRxB,v115@9gA8IeA8IeC8AeA8EeE8DeA8Jez/IvhFulBfoB6oBl?mBUnBRxB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhF0hBxiBllBW?tBzrBXtB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhF3hBGlBlnBc?tBzrBCtB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhFTjBGlBlmBc?sBXtBCsB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhFxhBXjBllBc?tBGsBzrB,v115@9gA8IeA8IeC8AeA8EeE8DeA8Jez/IvhFulBRiBSoBV?sBXtB0rB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhFfoB6oBGlBl?mB0sBzrB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhFGlBlmBcsBT?oBCsBXtB
TLIJOZS,O,O,X,O,O,X,X,O,X,X,X
TLISJZO,O,O,X,O,X,X,X,O,X,X,X
TLISJOZ,O,O,X,O,X,X,X,X,X,X,X
TLISZJO,O,O,X,O,X,X,X,O,X,X,X
TLISZOJ,O,O,X,O,X,X,X,O,X,X,X
TLISOJZ,X,O,X,O,X,X,X,X,X,X,X
TLISOZJ,O,O,X,O,X,X,X,X,X,X,X
TLIZJSO,O,O,X,O,X,X,X,O,X,X,X
TLIZJOS,O,O,X,O,O,X,X,O,X,X,X
TLIZSJO,O,O,X,O,X,X,X,O,X,X,X
TLIZSOJ,O,O,X,O,O,X,X,O,X,X,X
TLIZOJS,O,X,X,O,O,X,X,X,X,X,X
TLIZOSJ,O,O,X,O,O,X,X,O,X,X,X
TLIOJSZ,O,X,X,O,O,X,X,X,X,X,X
TLIOJZS,O,O,X,O,O,X,X,O,X,X,X
TLIOSJZ,X,O,X,O,X,X,X,X,X,X,X
TLIOSZJ,O,O,X,O,X,X,X,X,X,X,X
TLIOZJS,O,X,X,O,O,X,X,X,X,X,X
TLIOZSJ,O,O,X,O,O,X,X,O,X,X,X
TLJISZO,O,O,O,O,X,X,X,O,X,X,X
TLJISOZ,O,O,O,O,X,X,X,X,X,X,X
TLJIZSO,O,O,O,O,X,X,O,O,X,O,X
TLJIZOS,O,O,O,O,X,X,X,O,X,X,O
TLJIOSZ,O,X,O,O,O,X,X,X,X,X,X
TLJIOZS,O,O,O,O,O,X,X,O,X,X,X
TLJSIZO,O,O,O,X,X,X,X,O,X,X,X
TLJSIOZ,O,O,O,X,X,X,X,X,X,X,X
TLJSZIO,O,O,O,X,X,X,X,O,X,X,X
TLJSZOI,O,O,O,X,X,X,X,O,X,X,X
TLJSOIZ,O,O,O,X,O,X,X,X,X,X,X
TLJSOZI,O,O,O,X,O,X,X,X,X,X,X
TLJZISO,O,O,O,X,X,X,O,O,X,O,X
TLJZIOS,O,O,O,X,O,X,X,O,X,X,O
TLJZSIO,O,O,O,X,X,X,O,O,X,O,X
TLJZSOI,O,O,O,X,X,X,O,O,X,O,X
TLJZOIS,O,O,O,X,O,X,X,O,X,X,O
TLJZOSI,O,O,O,X,O,X,X,O,X,X,O
TLJOISZ,O,X,O,O,O,X,X,X,X,X,X
TLJOIZS,O,O,O,O,O,X,X,O,X,X,X
TLJOSIZ,O,X,O,X,O,X,X,X,X,X,X
TLJOSZI,O,X,O,X,O,X,X,X,X,X,X
TLJOZIS,O,O,O,X,O,X,X,O,X,X,X
TLJOZSI,O,O,O,X,O,X,X,O,X,X,X
TLSIJZO,O,O,X,X,X,X,X,O,X,X,X
TLSIJOZ,O,O,O,X,X,X,X,X,X,X,X
TLSIZJO,O,O,X,X,X,X,X,O,X,X,X
TLSIZOJ,O,O,X,X,X,X,X,O,X,X,X
TLSIOJZ,X,O,O,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,X,X,X,X,X,X,X,X,X
TLSJIZO,O,O,O,X,X,X,X,O,X,X,X
TLSJIOZ,O,O,O,X,X,X,X,X,X,X,X
TLSJZIO,O,O,O,X,X,X,X,O,X,X,X
TLSJZOI,O,O,O,X,X,X,X,O,X,X,X
TLSJOIZ,O,O,O,X,O,X,X,X,X,X,X
TLSJOZI,O,O,O,X,O,X,X,X,X,X,X
TLSZIJO,O,O,O,X,X,X,X,O,X,X,X
TLSZIOJ,O,O,O,X,O,X,X,O,X,X,X
TLSZJIO,O,O,O,X,X,X,X,O,X,X,X
TLSZJOI,O,O,O,X,X,X,X,O,X,X,X
TLSZOIJ,O,O,O,X,O,X,X,O,X,X,X
TLSZOJI,O,O,O,X,O,X,X,O,X,X,X
TLSOIJZ,X,O,O,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,O,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,O,X,O,X,X,X,X,X,X
TLSOJZI,O,O,O,X,O,X,X,X,X,X,X
TLSOZIJ,O,O,O,X,O,X,X,X,X,X,X
TLSOZJI,O,O,O,X,O,X,X,X,X,X,X
TLZIJSO,O,O,O,X,X,X,X,O,X,X,X
TLZIJOS,O,O,O,X,O,X,X,O,X,X,X
TLZISJO,O,O,O,X,X,X,X,O,X,X,X
TLZISOJ,O,O,O,X,O,X,X,O,X,X,X
TLZIOJS,O,X,O,X,O,X,X,X,X,X,X
TLZIOSJ,O,O,O,X,O,X,X,O,X,X,X
TLZJISO,O,O,O,X,X,X,O,O,X,O,X
TLZJIOS,O,O,O,X,O,X,X,O,X,X,O
TLZJSIO,O,O,O,X,X,X,O,O,X,O,X
TLZJSOI,O,O,O,X,X,X,O,O,X,O,X
TLZJOIS,O,O,O,X,O,X,X,O,X,X,O
TLZJOSI,O,O,O,X,O,X,X,O,X,X,O
TLZSIJO,O,O,O,X,X,X,X,O,X,O,X
TLZSIOJ,O,O,O,X,O,X,X,O,X,X,X
TLZSJIO,O,O,O,X,X,X,O,O,X,O,X
TLZSJOI,O,O,O,X,X,X,O,O,X,O,X
TLZSOIJ,O,O,O,X,O,X,X,O,X,X,X
TLZSOJI,O,O,O,X,O,X,O,O,X,O,X
TLZOIJS,O,X,O,X,O,X,X,X,X,X,X
TLZOISJ,O,O,O,X,O,X,X,O,X,X,X
TLZOJIS,O,O,O,X,O,X,X,O,X,X,O
TLZOJSI,O,O,O,X,O,X,X,O,X,X,O
TLZOSIJ,O,O,O,X,O,X,X,O,X,X,X
TLZOSJI,O,O,O,X,O,X,X,O,X,X,X
TLOIJSZ,O,X,O,O,O,X,X,X,X,X,X
TLOIJZS,O,O,O,O,O,X,X,O,X,X,X
TLOISJZ,X,O,O,O,X,X,X,X,X,X,X
TLOISZJ,O,O,O,O,X,X,X,X,X,X,X
TLOIZJS,O,X,O,O,O,X,X,X,X,X,X
TLOIZSJ,O,O,O,O,O,X,X,O,X,X,X
TLOJISZ,O,X,O,O,O,X,X,X,X,X,X
TLOJIZS,O,O,O,O,O,X,X,O,X,X,X
TLOJSIZ,O,X,O,X,O,X,X,X,X,X,X
TLOJSZI,O,X,O,X,O,X,X,X,X,X,X
TLOJZIS,O,O,O,X,O,X,X,O,X,X,X
TLOJZSI,O,O,O,X,O,X,X,O,X,X,X
TLOSIJZ,X,O,O,X,X,X,X,X,X,X,X
TLOSIZJ,O,O,O,X,X,X,X,X,X,X,X
TLOSJIZ,O,O,O,X,O,X,X,X,X,X,X
TLOSJZI,O,O,O,X,O,X,X,X,X,X,X
TLOSZIJ,O,O,O,X,O,X,X,X,X,X,X
TLOSZJI,O,O,O,X,O,X,X,X,X,X,X
TLOZIJS,O,X,O,X,O,X,X,X,X,X,X
TLOZISJ,O,O,O,X,O,X,X,O,X,X,X
TLOZJIS,O,O,O,X,O,X,X,O,X,X,X
TLOZJSI,O,O,O,X,O,X,X,O,X,X,X
TLOZSIJ,O,O,O,X,O,X,X,O,X,X,X
TLOZSJI,O,O,O,X,O,X,X,O,X,X,X
TJILSZO,O,O,O,O,X,X,X,O,X,X,X
TJILSOZ,O,O,O,O,X,X,X,X,X,X,X
TJILZSO,O,O,O,O,X,X,O,O,X,O,X
TJILZOS,O,O,O,O,X,X,X,O,X,X,O
TJILOSZ,O,X,O,O,O,X,X,X,X,X,X
TJILOZS,O,O,O,O,O,X,X,O,X,X,X
