sequence,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhFXhB5oBzmBatBln?BUrB,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhFThB5oBfrB8rBat?BlsB,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhF0hB5oBzlBatBln?B3rB,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhF8lBfnB5oBatBln?BTrB,v115@9gB8HeB8HeB8HeD8BeB8LexAJvhF0iBTlB2rBFtB6t?B3rB,v115@9gB8HeB8HeB8HeD8BeB8LeTAJvhF0hBxiByqB3rBFt?BGtB,v115@9gB8HeB8HeB8HeD8BeB8LeKFJvhF0hBxiBWtBlrBfr?BTtB,v115@9gB8HeB8HeB8HeD8BeB8LeiAJvhFRiB1qBXnBGtBct?BTrB,v115@9gB8HeB8HeB8HeD8BeB8LeTAJvhFfnBliBxqBGtBKr?BctB,v115@9gB8HeB8HeB8HeD8BeB8LelBJvhFilBxnB0lBWtB3r?BTtB
TSOLIJZ,X,X,O,X,X,O,X,X,X,O
TSOLIZJ,X,X,O,X,X,O,X,X,X,O
TSOLJIZ,X,X,O,X,X,O,X,X,X,X
TSOLJZI,X,X,O,X,X,O,X,O,X,X
TSOLZIJ,X,X,O,X,X,O,X,X,X,X
TSOLZJI,X,X,O,X,X,O,X,X,X,X
TSOJILZ,X,X,O,X,O,X,X,O,X,X
TSOJIZL,X,X,O,X,O,X,X,O,X,X
TSOJLIZ,X,X,O,X,O,X,X,O,X,X
TSOJLZI,X,X,O,X,O,X,X,O,X,X
TSOJZIL,X,X,O,X,O,X,X,O,X,X
TSOJZLI,X,X,O,X,O,X,X,O,X,X
TSOZILJ,X,X,O,X,X,O,X,X,X,X
TSOZIJL,X,X,O,X,X,X,X,X,X,X
TSOZLIJ,X,X,O,X,X,O,X,X,X,X
TSOZLJI,X,X,O,X,X,O,X,X,X,X
TSOZJIL,X,X,O,X,O,X,X,X,X,X
TSOZJLI,X,X,O,X,O,X,X,X,X,X
TZILJSO,X,O,X,O,X,X,X,X,X,X
TZILJOS,O,X,X,X,X,X,X,X,X,X
TZILSJO,X,O,X,O,X,X,X,X,X,X
TZILSOJ,X,O,X,X,X,X,X,X,X,X
TZILOJS,O,X,X,X,X,X,X,X,X,X
TZILOSJ,O,X,X,X,X,X,X,X,X,X
TZIJLSO,X,O,X,O,X,X,X,X,X,X
TZIJLOS,O,X,X,X,X,X,X,X,X,X
TZIJSLO,X,O,X,O,X,X,X,X,X,X
TZIJSOL,O,O,X,X,X,X,X,X,X,X
TZIJOLS,O,X,X,X,O,X,X,X,X,X
TZIJOSL,O,X,X,X,O,X,X,X,X,X
TZISLJO,X,O,X,O,X,X,X,X,X,X
TZISLOJ,X,O,X,X,X,X,X,X,X,X
TZISJLO,X,O,X,O,X,X,X,X,X,X
TZISJOL,O,O,X,X,X,X,X,X,X,X
TZISOLJ,O,O,X,X,X,X,X,X,X,X
TZISOJL,O,O,X,X,X,X,X,X,X,X
TZIOLJS,O,X,X,X,X,X,X,X,X,X
TZIOLSJ,O,X,X,X,X,X,X,X,X,X
TZIOJLS,O,X,X,X,O,X,X,X,X,X
TZIOJSL,O,X,X,X,O,X,X,X,X,X
TZIOSLJ,O,X,X,X,X,X,X,X,X,X
TZIOSJL,O,X,X,X,X,X,X,X,X,X
TZLIJSO,X,O,X,O,X,X,X,X,X,X
TZLIJOS,O,X,X,X,X,X,X,X,X,X
TZLISJO,X,O,X,O,X,X,X,X,X,X
TZLISOJ,X,O,X,X,X,X,X,X,X,X
TZLIOJS,O,X,X,X,X,X,X,X,X,X
TZLIOSJ,O,X,X,X,X,X,X,X,X,X
TZLJISO,X,O,X,O,X,X,O,X,X,X
TZLJIOS,O,X,X,X,X,X,X,X,X,X
TZLJSIO,X,O,X,O,X,X,O,O,X,X
TZLJSOI,X,O,X,X,X,X,O,O,X,X
TZLJOIS,O,X,X,X,O,X,O,X,X,X
TZLJOSI,O,X,X,X,O,X,O,X,X,X
TZLSIJO,X,O,X,O,X,X,X,X,X,X
TZLSIOJ,X,O,X,X,X,X,X,X,X,X
TZLSJIO,X,O,X,O,X,X,X,O,X,X
TZLSJOI,X,O,X,X,X,X,X,O,X,X
TZLSOIJ,X,O,X,X,X,X,X,X,X,X
TZLSOJI,X,O,X,X,X,X,X,X,X,X
TZLOIJS,O,X,X,X,X,X,X,X,X,X
TZLOISJ,O,X,X,X,X,X,X,X,X,X
TZLOJIS,O,X,X,X,O,X,X,X,X,X
TZLOJSI,O,X,X,X,O,X,X,X,X,X
TZLOSIJ,O,X,X,X,X,X,X,X,X,X
TZLOSJI,O,X,X,X,X,X,X,X,X,X
TZJILSO,X,O,X,O,X,X,O,X,X,X
TZJILOS,O,X,X,X,X,X,X,X,X,X
TZJISLO,X,O,X,O,X,X,X,X,X,X
TZJISOL,O,O,X,X,X,X,X,X,X,X
TZJIOLS,O,X,X,X,O,X,X,X,X,X
TZJIOSL,O,X,X,X,O,X,X,X,X,X
TZJLISO,X,O,X,O,X,X,O,X,X,X
TZJLIOS,O,X,X,X,X,X,X,X,X,X
TZJLSIO,X,O,X,O,X,X,O,O,X,X
TZJLSOI,X,O,X,X,X,X,O,O,X,X
TZJLOIS,O,X,X,X,O,X,O,X,X,X
TZJLOSI,O,X,X,X,O,X,O,X,X,X
TZJSILO,X,O,X,O,X,X,X,O,X,X
TZJSIOL,O,O,X,X,X,X,X,O,X,X
TZJSLIO,X,O,X,O,X,X,X,O,X,X
TZJSLOI,X,O,X,X,X,X,X,O,X,X
TZJSOIL,O,O,X,X,O,X,X,O,X,X
TZJSOLI,O,O,X,X,O,X,X,O,X,X
TZJOILS,O,X,X,X,O,X,X,X,X,X
TZJOISL,O,X,X,X,O,X,X,X,X,X
TZJOLIS,O,X,X,X,O,X,X,X,X,X
TZJOLSI,O,X,X,X,O,X,X,X,X,X
TZJOSIL,O,X,X,X,O,X,X,X,X,X
TZJOSLI,O,X,X,X,O,X,X,X,X,X
TZSILJO,X,O,X,O,X,O,X,X,X,X
TZSILOJ,X,O,X,X,X,O,X,X,X,X
TZSIJLO,X,O,X,O,X,O,X,X,X,X
TZSIJOL,O,O,X,X,X,X,X,X,X,X
TZSIOLJ,O,O,X,X,X,O,X,X,X,X
TZSIOJL,O,O,X,X,X,X,X,X,X,X
TZSLIJO,X,O,X,O,X,O,X,X,X,X
TZSLIOJ,X,O,X,X,X,O,X,X,X,X
TZSLJIO,X,O,X,O,X,O,X,O,X,X
TZSLJOI,X,O,X,X,X,O,X,O,X,X
TZSLOIJ,X,O,X,X,X,O,X,X,X,X
TZSLOJI,X,O,X,X,X,O,X,X,X,X
TZSJILO,X,O,X,O,X,O,X,O,X,X
TZSJIOL,O,O,X,X,X,X,X,O,X,X
TZSJLIO,X,O,X,O,X,O,X,O,X,X
TZSJLOI,X,O,X,X,X,O,X,O,X,X
TZSJOIL,O,O,X,X,O,X,X,O,X,X
TZSJOLI,O,O,X,X,O,X,X,O,X,X
TZSOILJ,O,O,X,X,X,O,X,X,X,X
TZSOIJL,O,O,X,X,X,X,X,X,X,X
TZSOLIJ,O,O,X,X,X,O,X,X,X,X
TZSOLJI,O,O,X,X,X,O,X,X,X,X
TZSOJIL,O,O,X,X,O,X,X,X,X,X
TZSOJLI,O,O,X,X,O,X,X,X,X,X
TZOILJS,O,X,X,X,X,X,X,X,X,X
TZOILSJ,O,X,X,X,X,X,X,X,X,X
TZOIJLS,O,X,X,X,O,X,X,X,X,X
TZOIJSL,O,X,X,X,O,X,X,X,X,X
TZOISLJ,O,X,X,X,X,X,X,X,X,X
TZOISJL,O,X,X,X,X,X,X,X,X,X
TZOLIJS,O,X,X,X,X,X,X,X,X,X
TZOLISJ,O,X,X,X,X,X,X,X,X,X
TZOLJIS,O,X,X,X,O,X,X,X,X,X
TZOLJSI,O,X,X,X,O,X,X,X,X,X
TZOLSIJ,O,X,X,X,X,X,X,X,X,X
TZOLSJI,O,X,X,X,X,X,X,X,X,X
TZOJILS,O,X,X,X,O,X,X,X,X,X
TZOJISL,O,X,X,X,O,X,X,X,X,X
TZOJLIS,O,X,X,X,O,X,X,X,X,X
TZOJLSI,O,X,X,X,O,X,X,X,X,X
TZOJSIL,O,X,X,X,O,X,X,X,X,X
TZOJSLI,O,X,X,X,O,X,X,X,X,X
TZOSILJ,O,X,X,X,X,X,X,X,X,X
TZOSIJL,O,X,X,X,X,X,X,X,X,X
TZOSLIJ,O,X,X,X,X,X,X,X,X,X
TZOSLJI,O,X,X,X,X,X,X,X,X,X
TZOSJIL,O,X,X,X,O,X,X,X,X,X
TZOSJLI,O,X,X,X,O,X,X,X,X,X
TOILJSZ,O,X,O,X,O,X,X,X,X,X
TOILJZS,X,X,O,X,O,X,X,X,X,X
TOILSJZ,O,X,O,X,X,X,X,X,X,X
TOILSZJ,X,X,O,O,X,X,X,X,X,X
TOILZJS,X,X,O,O,X,X,X,X,X,X
TOILZSJ,X,X,X,O,X,X,X,X,X,X
TOIJLSZ,O,X,O,X,O,X,X,X,X,X
TOIJLZS,X,X,O,X,O,X,X,X,X,X
TOIJSLZ,O,X,X,X,O,X,X,X,X,X
TOIJSZL,X,X,X,X,O,X,X,X,X,X
TOIJZLS,X,X,O,X,O,X,X,X,X,X
TOIJZSL,X,X,X,X,O,X,X,X,X,X
TOISLJZ,O,X,X,X,X,X,X,X,X,X
TOISLZJ,X,X,X,O,X,X,X,X,X,X
TOISJLZ,O,X,X,X,O,X,X,X,X,X
TOISJZL,X,X,X,X,O,X,X,X,X,X
TOISZLJ,X,X,X,O,X,X,X,X,X,X
TOISZJL,X,X,X,O,X,X,X,X,X,X
TOIZLJS,X,X,O,O,X,X,X,X,X,X
TOIZLSJ,X,X,X,O,X,X,X,X,X,X
TOIZJLS,X,X,O,O,O,X,X,X,X,X
TOIZJSL,X,X,X,O,O,X,X,X,X,X
TOIZSLJ,X,X,X,O,X,X,X,X,X,X
TOIZSJL,X,X,X,O,X,X,X,X,X,X
TOLIJSZ,O,X,O,X,O,X,X,X,X,X
TOLIJZS,X,X,O,X,O,X,X,X,X,X
TOLISJZ,O,X,O,X,X,X,X,X,X,X
TOLISZJ,X,X,O,O,X,X,X,X,X,X
TOLIZJS,X,X,O,O,X,X,X,X,X,X
TOLIZSJ,X,X,X,O,X,X,X,X,X,X
TOLJISZ,O,X,O,X,O,X,O,X,X,X
TOLJIZS,X,X,O,X,O,X,O,X,X,X
TOLJSIZ,O,X,O,X,O,X,O,X,X,X
TOLJSZI,X,X,O,X,O,X,O,O,X,X
TOLJZIS,X,X,O,X,O,X,O,X,X,X
TOLJZSI,X,X,X,X,O,X,O,X,X,X
TOLSIJZ,O,X,O,X,X,X,X,X,X,X
TOLSIZJ,X,X,O,O,X,X,X,X,X,X
TOLSJIZ,O,X,O,X,X,X,X,X,X,X
TOLSJZI,X,X,O,X,X,X,X,O,X,X
TOLSZIJ,X,X,O,O,X,X,X,X,X,X
TOLSZJI,X,X,O,O,X,X,X,X,X,X
TOLZIJS,X,X,O,O,X,X,X,X,X,X
TOLZISJ,X,X,X,O,X,X,X,X,X,X
TOLZJIS,X,X,O,O,O,X,X,X,X,X
TOLZJSI,X,X,X,O,O,X,X,X,X,X
TOLZSIJ,X,X,X,O,X,X,X,X,X,X
TOLZSJI,X,X,X,O,X,X,X,X,X,X
TOJILSZ,O,X,O,X,O,X,O,X,X,X
TOJILZS,X,X,O,X,O,X,X,X,X,X
TOJISLZ,O,X,X,X,O,X,X,X,X,X
TOJISZL,X,X,X,X,O,X,X,X,X,X
TOJIZLS,X,X,O,X,O,X,X,X,X,X
TOJIZSL,X,X,X,X,O,X,X,X,X,X
TOJLISZ,O,X,O,X,O,X,O,X,X,X
TOJLIZS,X,X,O,X,O,X,O,X,X,X
TOJLSIZ,O,X,O,X,O,X,O,X,X,X
TOJLSZI,X,X,O,X,O,X,O,O,X,X
TOJLZIS,X,X,O,X,O,X,O,X,X,X
TOJLZSI,X,X,X,X,O,X,O,X,X,X
TOJSILZ,O,X,X,X,O,X,X,O,X,X
TOJSIZL,X,X,X,X,O,X,X,O,X,X
TOJSLIZ,O,X,X,X,O,X,X,O,X,X
TOJSLZI,X,X,X,X,O,X,X,O,X,X
TOJSZIL,X,X,X,X,O,X,X,O,X,X
TOJSZLI,X,X,X,X,O,X,X,O,X,X
TOJZILS,X,X,O,X,O,X,X,X,X,X
TOJZISL,X,X,X,X,O,X,X,X,X,X
TOJZLIS,X,X,O,X,O,X,X,X,X,X
TOJZLSI,X,X,X,X,O,X,X,X,X,X
TOJZSIL,X,X,X,X,O,X,X,X,X,X
TOJZSLI,X,X,X,X,O,X,X,X,X,X
TOSILJZ,O,X,X,X,X,X,X,X,X,X
TOSILZJ,X,X,X,O,X,X,X,X,X,X
TOSIJLZ,O,X,X,X,O,X,X,X,X,X
TOSIJZL,X,X,X,X,O,X,X,X,X,X
TOSIZLJ,X,X,X,O,X,X,X,X,X,X
TOSIZJL,X,X,X,O,X,X,X,X,X,X
TOSLIJZ,O,X,X,X,X,O,X,X,X,X
TOSLIZJ,X,X,X,O,X,O,X,X,X,X
TOSLJIZ,O,X,X,X,X,O,X,X,X,X
TOSLJZI,X,X,X,X,X,O,X,O,X,X
TOSLZIJ,X,X,X,O,X,O,X,X,X,X
TOSLZJI,X,X,X,O,X,O,X,X,X,X
TOSJILZ,O,X,X,X,O,X,X,O,X,X
TOSJIZL,X,X,X,X,O,X,X,O,X,X
TOSJLIZ,O,X,X,X,O,X,X,O,X,X
TOSJLZI,X,X,X,X,O,X,X,O,X,X
TOSJZIL,X,X,X,X,O,X,X,O,X,X
TOSJZLI,X,X,X,X,O,X,X,O,X,X
TOSZILJ,X,X,X,O,X,O,X,X,X,X
TOSZIJL,X,X,X,O,X,X,X,X,X,X
TOSZLIJ,X,X,X,O,X,O,X,X,X,X
TOSZLJI,X,X,X,O,X,O,X,X,X,X
TOSZJIL,X,X,X,O,O,X,X,X,X,X
TOSZJLI,X,X,X,O,O,X,X,X,X,X
TOZILJS,X,X,O,O,X,X,X,X,X,X
TOZILSJ,X,X,X,O,X,X,X,X,X,X
TOZIJLS,X,X,O,O,O,X,X,X,X,X
TOZIJSL,X,X,X,O,O,X,X,X,X,X
TOZISLJ,X,X,X,O,X,X,X,X,X,X
TOZISJL,X,X,X,O,X,X,X,X,X,X
TOZLIJS,X,X,O,O,X,X,X,X,X,X
TOZLISJ,X,X,X,O,X,X,X,X,X,X
TOZLJIS,X,X,O,O,O,X,X,X,X,X
TOZLJSI,X,X,X,O,O,X,X,X,X,X
TOZLSIJ,X,X,X,O,X,X,X,X,X,X
TOZLSJI,X,X,X,O,X,X,X,X,X,X
TOZJILS,X,X,O,O,O,X,X,X,X,X
TOZJISL,X,X,X,O,O,X,X,X,X,X
TOZJLIS,X,X,O,O,O,X,X,X,X,X
TOZJLSI,X,X,X,O,O,X,X,X,X,X
TOZJSIL,X,X,X,O,O,X,X,X,X,X
TOZJSLI,X,X,X,O,O,X,X,X,X,X
TOZSILJ,X,X,X,O,X,X,X,X,X,X
TOZSIJL,X,X,X,O,X,X,X,X,X,X
TOZSLIJ,X,X,X,O,X,X,X,X,X,X
TOZSLJI,X,X,X,O,X,X,X,X,X,X
TOZSJIL,X,X,X,O,O,X,X,X,X,X
TOZSJLI,X,X,X,O,O,X,X,X,X,X
ITLJSZO,X,O,X,X,X,X,O,O,X,X
ITLJSOZ,X,X,X,X,X,X,O,X,X,X
ITLJZSO,X,O,X,O,X,X,O,X,X,X
ITLJZOS,O,X,X,X,X,X,X,X,X,X
ITLJOSZ,O,X,O,X,X,X,O,X,X,X
ITLJOZS,X,X,O,X,X,X,O,X,X,X
ITLSJZO,X,O,X,X,X,X,X,O,X,X
ITLSJOZ,X,X,X,X,X,X,X,X,X,X
ITLSZJO,X,O,X,O,X,X,X,X,X,X
ITLSZOJ,X,O,O,X,X,X,X,X,X,X
ITLSOJZ,X,X,O,X,X,X,X,X,X,X
ITLSOZJ,X,X,O,X,X,X,X,X,X,X
ITLZJSO,X,O,X,O,X,X,X,X,X,X
ITLZJOS,O,X,X,X,X,X,X,X,X,X
ITLZSJO,X,O,X,O,X,X,X,X,X,X
ITLZSOJ,X,O,X,X,X,X,X,X,X,X
ITLZOJS,O,X,X,X,X,X,X,X,X,X
ITLZOSJ,O,X,X,X,X,X,X,X,X,X
ITLOJSZ,O,X,O,X,X,X,X,X,X,X
ITLOJZS,X,X,O,X,X,X,X,X,X,X
ITLOSJZ,O,X,O,X,X,X,X,X,X,X
ITLOSZJ,X,X,O,O,X,X,X,X,X,X
ITLOZJS,X,X,O,O,X,X,X,X,X,X
ITLOZSJ,X,X,X,O,X,X,X,X,X,X
ITJLSZO,X,O,X,X,X,X,O,O,X,X
ITJLSOZ,X,X,X,X,X,X,O,X,X,X
ITJLZSO,X,O,X,O,X,X,O,X,X,X
ITJLZOS,O,X,X,X,X,X,X,X,X,X
ITJLOSZ,O,X,O,X,X,X,O,X,X,X
ITJLOZS,X,X,O,X,X,X,O,X,X,X
ITJSLZO,X,O,X,X,X,X,O,O,O,X
ITJSLOZ,X,X,X,X,X,X,O,X,O,X
ITJSZLO,X,O,X,X,X,X,X,O,O,X
ITJSZOL,X,O,X,X,X,X,X,O,O,X
ITJSOLZ,X,X,X,X,X,X,X,O,X,X
ITJSOZL,X,X,X,X,X,X,X,O,X,X
ITJZLSO,X,O,X,O,X,X,O,X,X,X
ITJZLOS,O,X,X,X,X,X,X,X,X,X
ITJZSLO,X,O,X,O,X,X,X,X,X,X
ITJZSOL,O,O,X,X,X,X,X,X,X,X
ITJZOLS,O,X,X,X,O,X,X,X,X,X
ITJZOSL,O,X,X,X,O,X,X,X,X,X
ITJOLSZ,O,X,O,X,O,X,O,X,X,X
ITJOLZS,X,X,O,X,O,X,X,X,X,X
ITJOSLZ,O,X,X,X,O,X,X,X,X,X
ITJOSZL,X,X,X,X,O,X,X,X,X,X
ITJOZLS,X,X,O,X,O,X,X,X,X,X
ITJOZSL,X,X,X,X,O,X,X,X,X,X
ITSLJZO,X,O,X,X,X,O,X,O,X,X
ITSLJOZ,X,X,X,X,X,O,X,X,X,X
ITSLZJO,X,O,X,O,X,O,X,X,X,X
ITSLZOJ,X,O,O,X,X,O,X,X,X,X
ITSLOJZ,X,X,O,X,X,O,X,X,X,X
ITSLOZJ,X,X,O,X,X,O,X,X,X,X
ITSJLZO,X,O,X,X,X,X,X,O,O,X
ITSJLOZ,X,X,X,X,X,X,X,X,O,X
ITSJZLO,X,O,X,X,X,X,X,O,O,X
ITSJZOL,X,O,X,X,X,X,X,O,O,X
ITSJOLZ,X,X,X,X,X,X,X,O,X,X
ITSJOZL,X,X,X,X,X,X,X,O,X,X
ITSZLJO,X,O,X,O,X,O,X,X,X,X
ITSZLOJ,X,O,O,X,X,O,X,X,X,X
ITSZJLO,X,O,X,O,X,O,X,X,X,X
ITSZJOL,X,O,X,X,X,X,X,X,X,X
ITSZOLJ,X,O,O,X,X,O,X,X,X,X
ITSZOJL,X,O,O,X,X,X,X,X,X,X
ITSOLJZ,X,X,O,X,X,X,X,X,X,X
ITSOLZJ,X,X,O,X,X,X,X,X,X,X
ITSOJLZ,X,X,O,X,X,X,X,X,X,X
ITSOJZL,X,X,O,X,X,X,X,X,X,X
ITSOZLJ,X,X,O,X,X,X,X,X,X,X
ITSOZJL,X,X,O,X,X,X,X,X,X,X
ITZLJSO,X,O,X,O,X,X,X,X,X,X
ITZLJOS,O,X,X,X,X,X,X,X,X,X
ITZLSJO,X,O,X,O,X,X,X,X,X,X
ITZLSOJ,X,O,X,X,X,X,X,X,X,X
ITZLOJS,O,X,X,X,X,X,X,X,X,X
ITZLOSJ,O,X,X,X,X,X,X,X,X,X
ITZJLSO,X,O,X,O,X,X,X,X,X,X
ITZJLOS,O,X,X,X,X,X,X,X,X,X
ITZJSLO,X,O,X,O,X,X,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X,X,X,X
ITZJOLS,O,X,X,X,O,X,X,X,X,X
ITZJOSL,O,X,X,X,O,X,X,X,X,X
ITZSLJO,X,O,X,O,X,X,X,X,X,X
ITZSLOJ,X,O,X,X,X,X,X,X,X,X
ITZSJLO,X,O,X,O,X,X,X,X,X,X
ITZSJOL,O,O,X,X,X,X,X,X,X,X
ITZSOLJ,O,O,X,X,X,X,X,X,X,X
ITZSOJL,O,O,X,X,X,X,X,X,X,X
ITZOLJS,O,X,X,X,X,X,X,X,X,X
ITZOLSJ,O,X,X,X,X,X,X,X,X,X
ITZOJLS,O,X,X,X,O,X,X,X,X,X
ITZOJSL,O,X,X,X,O,X,X,X,X,X
ITZOSLJ,O,X,X,X,X,X,X,X,X,X
ITZOSJL,O,X,X,X,X,X,X,X,X,X
ITOLJSZ,O,X,O,X,O,X,X,X,X,X
ITOLJZS,X,X,O,X,O,X,X,X,X,X
ITOLSJZ,O,X,O,X,X,X,X,X,X,X
ITOLSZJ,X,X,O,O,X,X,X,X,X,X
ITOLZJS,X,X,O,O,X,X,X,X,X,X
ITOLZSJ,X,X,X,O,X,X,X,X,X,X
ITOJLSZ,O,X,O,X,O,X,X,X,X,X
ITOJLZS,X,X,O,X,O,X,X,X,X,X
ITOJSLZ,O,X,X,X,O,X,X,X,X,X
ITOJSZL,X,X,X,X,O,X,X,X,X,X
ITOJZLS,X,X,O,X,O,X,X,X,X,X
ITOJZSL,X,X,X,X,O,X,X,X,X,X
ITOSLJZ,O,X,X,X,X,X,X,X,X,X
ITOSLZJ,X,X,X,O,X,X,X,X,X,X
ITOSJLZ,O,X,X,X,O,X,X,X,X,X
ITOSJZL,X,X,X,X,O,X,X,X,X,X
ITOSZLJ,X,X,X,O,X,X,X,X,X,X
ITOSZJL,X,X,X,O,X,X,X,X,X,X
ITOZLJS,X,X,O,O,X,X,X,X,X,X
ITOZLSJ,X,X,X,O,X,X,X,X,X,X
ITOZJLS,X,X,O,O,O,X,X,X,X,X
ITOZJSL,X,X,X,O,O,X,X,X,X,X
ITOZSLJ,X,X,X,O,X,X,X,X,X,X
ITOZSJL,X,X,X,O,X,X,X,X,X,X
ILTJSZO,X,O,X,X,X,X,O,X,X,X
ILTJSOZ,X,X,X,X,X,X,O,X,X,X
ILTJZSO,X,O,X,O,X,X,O,X,X,X
ILTJZOS,O,X,X,X,X,X,X,X,X,X
ILTJOSZ,O,X,O,X,X,X,O,X,X,X
ILTJOZS,X,X,O,X,X,X,O,X,X,X
ILTSJZO,X,O,X,X,X,X,X,X,X,X
ILTSJOZ,X,X,X,X,X,X,X,X,X,X
ILTSZJO,X,O,X,O,X,X,X,X,X,X
ILTSZOJ,X,O,O,X,X,X,X,X,X,X
ILTSOJZ,X,X,O,X,X,X,X,X,X,X
ILTSOZJ,X,X,O,X,X,X,X,X,X,X
ILTZJSO,X,O,X,O,X,X,X,X,X,X
ILTZJOS,O,X,X,X,X,X,X,X,X,X
ILTZSJO,X,O,X,O,X,X,X,X,X,X
ILTZSOJ,X,O,X,X,X,X,X,X,X,X
ILTZOJS,O,X,X,X,X,X,X,X,X,X
ILTZOSJ,O,X,X,X,X,X,X,X,X,X
ILTOJSZ,O,X,O,X,X,X,X,X,X,X
ILTOJZS,X,X,O,X,X,X,X,X,X,X
ILTOSJZ,O,X,O,X,X,X,X,X,X,X
ILTOSZJ,X,X,O,O,X,X,X,X,X,X
ILTOZJS,X,X,O,O,X,X,X,X,X,X
ILTOZSJ,X,X,X,O,X,X,X,X,X,X
ILJTSZO,X,O,X,X,X,X,O,X,X,X
ILJTSOZ,X,X,X,X,X,X,O,X,X,X
ILJTZSO,X,O,X,O,X,X,O,X,X,X
ILJTZOS,O,X,X,X,X,X,X,X,X,X
ILJTOSZ,O,X,O,X,X,X,O,X,X,X
ILJTOZS,X,X,O,X,X,X,O,X,X,X
ILJSTZO,X,O,X,X,X,X,O,X,O,X
ILJSTOZ,X,X,X,X,X,X,O,X,O,X
ILJSZTO,X,O,X,O,X,X,X,X,O,X
ILJSZOT,O,O,O,O,X,X,X,X,O,X
ILJSOTZ,O,X,O,X,X,X,X,X,O,X
ILJSOZT,O,O,O,X,X,X,X,X,O,X
ILJZTSO,X,O,X,O,X,X,O,X,X,X
ILJZTOS,O,X,X,X,X,X,X,X,X,X
ILJZSTO,X,O,X,O,X,X,X,X,X,X
ILJZSOT,O,O,X,O,X,X,X,X,X,X
ILJZOTS,O,X,O,X,X,X,X,X,X,X
ILJZOST,O,O,O,O,X,X,X,X,X,X
ILJOTSZ,O,X,O,X,X,X,O,X,X,X
ILJOTZS,X,X,O,X,X,X,X,X,X,X
ILJOSTZ,O,X,O,X,X,X,X,X,X,X
ILJOSZT,O,O,O,O,X,X,X,X,X,X
ILJOZTS,O,X,O,O,X,X,X,X,X,X
ILJOZST,O,O,O,O,X,X,X,X,X,X
ILSTJZO,X,O,X,X,X,X,X,X,X,O
ILSTJOZ,X,X,X,X,X,X,X,X,X,O
ILSTZJO,X,O,X,O,X,X,X,X,X,O
ILSTZOJ,X,O,O,X,X,X,X,X,X,O
ILSTOJZ,X,X,O,X,X,X,X,X,X,O
ILSTOZJ,X,X,O,X,X,X,X,X,X,O
ILSJTZO,X,O,X,X,X,X,X,X,O,O
ILSJTOZ,X,X,X,X,X,X,X,X,O,O
ILSJZTO,X,O,X,O,X,X,X,X,O,X
ILSJZOT,O,O,O,O,X,X,X,X,O,X
ILSJOTZ,O,X,O,X,X,X,X,X,O,X
ILSJOZT,O,O,O,X,X,X,X,X,O,X
ILSZTJO,X,O,X,O,X,X,X,X,X,O
ILSZTOJ,X,O,O,X,X,X,X,X,X,O
ILSZJTO,X,O,X,O,X,X,X,X,X,X
ILSZJOT,O,O,O,O,X,X,X,X,X,X
ILSZOTJ,O,O,O,X,X,X,X,X,X,X
ILSZOJT,O,O,O,O,X,X,X,X,X,X
ILSOTJZ,O,X,O,X,X,X,X,X,X,O
ILSOTZJ,X,X,O,O,X,X,X,X,X,O
ILSOJTZ,O,X,O,X,X,X,X,X,X,X
ILSOJZT,O,O,O,O,X,X,X,X,X,X
ILSOZTJ,X,O,O,O,X,X,X,X,X,X
ILSOZJT,O,O,O,O,X,X,X,X,X,X
ILZTJSO,X,O,X,O,X,X,X,X,X,X
ILZTJOS,O,X,X,X,X,X,X,X,X,X
ILZTSJO,X,O,X,O,X,X,X,X,X,X
ILZTSOJ,X,O,X,X,X,X,X,X,X,X
ILZTOJS,O,X,X,X,X,X,X,X,X,X
ILZTOSJ,O,X,X,X,X,X,X,X,X,X
ILZJTSO,X,O,X,O,X,X,X,X,X,X
ILZJTOS,O,X,X,X,X,X,X,X,X,X
ILZJSTO,X,O,X,O,X,X,X,X,X,X
ILZJSOT,O,O,X,O,X,X,X,X,X,X
ILZJOTS,O,X,O,X,X,X,X,X,X,X
ILZJOST,O,O,O,O,X,X,X,X,X,X
ILZSTJO,X,O,X,O,X,X,X,X,X,X
ILZSTOJ,X,O,O,X,X,X,X,X,X,X
ILZSJTO,X,O,X,O,X,X,X,X,X,X
ILZSJOT,O,O,O,O,X,X,X,X,X,X
ILZSOTJ,O,O,O,X,X,X,X,X,X,X
ILZSOJT,O,O,O,O,X,X,X,X,X,X
ILZOTJS,O,X,O,O,X,X,X,X,X,X
ILZOTSJ,O,X,X,O,X,X,X,X,X,X
ILZOJTS,O,X,O,O,X,X,X,X,X,X
ILZOJST,O,O,O,O,X,X,X,X,X,X
ILZOSTJ,O,O,O,O,X,X,X,X,X,X
ILZOSJT,O,O,O,O,X,X,X,X,X,X
ILOTJSZ,O,X,O,X,X,X,X,X,X,X
ILOTJZS,X,X,O,X,X,X,X,X,X,X
ILOTSJZ,O,X,O,X,X,X,X,X,X,X
ILOTSZJ,X,X,O,O,X,X,X,X,X,X
ILOTZJS,X,X,O,O,X,X,X,X,X,X
