sequence,v115@QhA8EeE8AeA8CeE8JeZEJvhFukBUhBFiBXjBTlByvB,v115@QhA8EeE8AeA8CeE8Jei/IvhFFiBXjBcpBxlBzlB2vB,v115@QhA8EeE8AeA8CeE8JeUBJvhFFiBXjBxkBmpBzqBipB
TSOILJZ,O,X,X
TSOILZJ,O,X,O
TSOIJLZ,O,X,O
TSOIJZL,O,O,O
TSOIZLJ,O,O,O
TSOIZJL,O,X,O
TSOLIJZ,O,X,X
TSOLIZJ,O,X,O
TSOLJIZ,O,X,O
TSOLJZI,O,X,O
TSOLZIJ,O,X,O
TSOLZJI,O,X,O
TSOJILZ,O,X,O
TSOJIZL,O,O,O
TSOJLIZ,O,X,O
TSOJLZI,O,X,O
TSOJZIL,O,O,O
TSOJZLI,X,O,O
TSOZILJ,O,O,O
TSOZIJL,O,X,O
TSOZLIJ,O,O,O
TSOZLJI,O,O,O
TSOZJIL,O,O,O
TSOZJLI,X,O,O
TZILJSO,O,O,X
TZILJOS,O,O,X
TZILSJO,O,O,X
TZILSOJ,O,O,X
TZILOJS,O,X,X
TZILOSJ,O,O,X
TZIJLSO,O,O,X
TZIJLOS,O,O,X
TZIJSLO,O,O,X
TZIJSOL,O,O,X
TZIJOLS,X,O,X
TZIJOSL,O,O,X
TZISLJO,O,O,X
TZISLOJ,O,O,X
TZISJLO,O,O,X
TZISJOL,O,O,X
TZISOLJ,O,O,O
TZISOJL,O,X,O
TZIOLJS,O,X,X
TZIOLSJ,O,O,O
TZIOJLS,X,X,O
TZIOJSL,O,X,O
TZIOSLJ,O,O,O
TZIOSJL,O,X,O
TZLIJSO,O,O,X
TZLIJOS,O,O,X
TZLISJO,O,O,X
TZLISOJ,O,O,X
TZLIOJS,O,X,X
TZLIOSJ,O,O,X
TZLJISO,O,O,X
TZLJIOS,O,O,X
TZLJSIO,O,O,X
TZLJSOI,O,O,X
TZLJOIS,O,O,X
TZLJOSI,O,O,X
TZLSIJO,O,O,X
