sequence,v115@BhA8IeC8FeB8FeE8CeA8JeZEJvhFCgBGiBTjBXlBUs?BFtB,v115@BhA8IeC8FeB8FeE8CeA8JeTAJvhFRiBSoBOpB0kBFs?BXtB,v115@BhA8IeC8FeB8FeE8CeA8JeTAJvhFRiBSoB0kBOpBFs?BXtB,v115@BhA8IeC8FeB8FeE8CeA8JeZEJvhFqkBTgBXjBctBGs?BFsB,v115@BhA8IeC8FeB8FeE8CeA8JeTAJvhF6oB1pBRsBOpBft?BUsB,v115@BhA8IeC8FeB8FeE8CeA8Jex/IvhFOpBXlBSsBToBUs?BFtB
IOTZSLJ,O,X,O,X,X,X
IOTZSJL,O,X,O,X,X,X
IOLTJSZ,X,X,X,X,O,X
IOLTJZS,X,X,X,O,O,X
IOLTSJZ,X,X,X,X,O,X
IOLTSZJ,X,X,X,X,O,X
IOLTZJS,X,X,X,O,O,X
IOLTZSJ,X,X,X,O,O,X
IOLJTSZ,X,X,X,X,O,X
IOLJTZS,X,X,X,O,O,X
IOLJSTZ,X,X,X,X,X,O
IOLJSZT,X,X,X,O,X,O
IOLJZTS,X,X,X,O,X,X
IOLJZST,X,X,X,O,X,X
IOLSTJZ,X,X,X,X,O,X
IOLSTZJ,X,X,X,X,O,X
IOLSJTZ,X,X,X,X,X,O
IOLSJZT,X,X,X,O,X,O
IOLSZTJ,X,X,X,O,X,X
IOLSZJT,X,X,X,O,X,X
IOLZTJS,X,X,X,O,O,X
IOLZTSJ,X,X,X,O,O,X
IOLZJTS,X,X,X,O,X,X
IOLZJST,X,X,X,O,X,X
IOLZSTJ,X,X,X,O,X,X
IOLZSJT,X,X,X,O,X,X
IOJTLSZ,O,O,X,X,O,X
IOJTLZS,X,O,X,X,O,X
IOJTSLZ,O,O,X,X,X,X
IOJTSZL,O,O,X,X,X,X
IOJTZLS,X,O,X,X,X,X
IOJTZSL,O,X,X,X,X,X
IOJLTSZ,X,X,X,X,O,X
IOJLTZS,X,X,X,O,O,X
IOJLSTZ,X,X,X,X,X,O
IOJLSZT,X,X,X,O,X,O
IOJLZTS,X,X,X,O,X,X
IOJLZST,X,X,X,O,X,X
IOJSTLZ,O,O,X,X,X,O
IOJSTZL,O,X,X,X,X,X
IOJSLTZ,O,O,X,X,X,O
IOJSLZT,O,O,X,X,X,O
IOJSZTL,O,X,X,X,X,X
IOJSZLT,O,O,X,X,X,O
IOJZTLS,O,X,X,X,X,X
IOJZTSL,O,X,X,X,X,X
IOJZLTS,X,X,X,O,X,X
IOJZLST,X,X,X,O,X,X
IOJZSTL,O,X,X,X,X,X
IOJZSLT,O,X,X,O,X,X
IOSTLJZ,O,O,X,X,O,X
IOSTLZJ,O,X,O,X,O,X
IOSTJLZ,O,O,X,X,X,X
IOSTJZL,O,X,X,X,X,X
IOSTZLJ,O,X,O,X,X,X
IOSTZJL,O,X,X,X,X,X
IOSLTJZ,O,O,X,X,O,X
IOSLTZJ,O,X,O,X,O,X
IOSLJTZ,O,O,X,X,X,O
IOSLJZT,O,O,O,X,X,O
IOSLZTJ,O,X,O,X,X,X
IOSLZJT,O,O,O,X,X,X
IOSJTLZ,O,O,X,X,X,O
IOSJTZL,O,X,X,X,X,X
IOSJLTZ,O,O,X,X,X,O
IOSJLZT,O,O,O,X,X,O
IOSJZTL,O,X,X,X,X,X
IOSJZLT,O,O,O,X,X,O
IOSZTLJ,O,X,O,X,X,X
IOSZTJL,O,X,X,X,X,X
IOSZLTJ,O,X,O,X,X,X
IOSZLJT,O,O,O,X,X,X
IOSZJTL,O,X,X,X,X,X
IOSZJLT,O,O,O,X,X,X
IOZTLJS,O,X,O,X,O,X
IOZTLSJ,O,X,O,X,O,X
IOZTJLS,O,X,O,X,X,X
IOZTJSL,O,X,X,X,X,X
IOZTSLJ,O,X,O,X,X,X
IOZTSJL,O,X,O,X,X,X
IOZLTJS,X,X,X,O,O,X
IOZLTSJ,X,X,X,O,O,X
IOZLJTS,X,X,X,O,X,X
IOZLJST,X,X,X,O,X,X
IOZLSTJ,X,X,X,O,X,X
IOZLSJT,X,X,X,O,X,X
IOZJTLS,O,X,X,X,X,X
IOZJTSL,O,X,X,X,X,X
IOZJLTS,X,X,X,O,X,X
IOZJLST,X,X,X,O,X,X
IOZJSTL,O,X,X,X,X,X
IOZJSLT,O,X,X,O,X,X
IOZSTLJ,O,X,O,X,X,X
IOZSTJL,O,X,X,X,X,X
IOZSLTJ,O,X,O,O,X,X
IOZSLJT,O,X,O,O,X,X
IOZSJTL,O,X,X,X,X,X
IOZSJLT,O,X,O,X,X,X
LTIJSZO,O,X,X,X,O,X
LTIJSOZ,O,O,X,X,O,X
LTIJZSO,X,X,X,O,O,X
LTIJZOS,X,O,O,O,O,X
LTIJOSZ,O,O,X,X,O,X
LTIJOZS,X,O,O,O,O,X
LTISJZO,O,X,X,X,O,X
LTISJOZ,O,O,X,X,O,X
LTISZJO,O,X,X,X,O,X
LTISZOJ,O,X,O,X,O,X
LTISOJZ,O,O,X,X,O,X
LTISOZJ,O,X,O,X,O,X
LTIZJSO,X,X,X,O,O,X
LTIZJOS,X,O,O,O,O,X
LTIZSJO,X,X,X,X,O,X
LTIZSOJ,X,X,O,O,O,X
LTIZOJS,X,O,O,O,O,X
LTIZOSJ,X,X,O,O,O,X
LTIOJSZ,O,O,X,X,O,X
LTIOJZS,X,O,O,O,O,X
LTIOSJZ,O,O,X,X,O,X
LTIOSZJ,O,X,O,X,O,X
LTIOZJS,X,O,O,O,O,X
LTIOZSJ,X,X,O,O,O,X
LTJISZO,O,X,X,X,O,X
LTJISOZ,O,O,X,X,O,X
LTJIZSO,X,X,X,O,O,X
LTJIZOS,X,O,O,O,O,X
LTJIOSZ,O,O,X,X,O,X
LTJIOZS,X,O,O,O,O,X
LTJSIZO,O,O,X,X,X,X
LTJSIOZ,O,O,X,X,X,O
LTJSZIO,O,O,X,X,X,X
LTJSZOI,O,O,X,X,X,X
LTJSOIZ,O,O,X,X,X,O
LTJSOZI,O,O,X,X,X,O
LTJZISO,X,X,X,O,X,X
LTJZIOS,X,O,O,O,X,X
LTJZSIO,X,X,X,O,X,X
LTJZSOI,X,X,X,O,X,X
LTJZOIS,X,O,O,O,X,X
LTJZOSI,X,O,O,O,X,X
LTJOISZ,O,O,X,X,O,X
LTJOIZS,X,O,O,O,O,X
LTJOSIZ,O,O,X,X,X,O
LTJOSZI,O,O,X,X,X,O
LTJOZIS,X,O,O,O,X,X
LTJOZSI,X,O,O,O,X,X
LTSIJZO,O,O,O,X,O,X
LTSIJOZ,O,O,O,X,O,X
LTSIZJO,O,O,O,X,O,X
LTSIZOJ,O,O,O,X,O,X
LTSIOJZ,O,O,O,X,O,X
LTSIOZJ,O,O,O,X,O,X
LTSJIZO,O,O,O,X,X,X
LTSJIOZ,O,O,O,X,X,O
LTSJZIO,O,O,O,X,X,X
LTSJZOI,O,O,O,X,X,X
LTSJOIZ,O,O,O,X,X,O
LTSJOZI,O,O,O,X,X,O
LTSZIJO,O,O,O,X,X,X
LTSZIOJ,O,O,O,X,X,X
LTSZJIO,O,O,O,X,X,X
LTSZJOI,O,O,O,X,X,X
LTSZOIJ,O,O,O,X,X,X
LTSZOJI,O,O,O,X,X,X
LTSOIJZ,O,O,O,X,O,X
LTSOIZJ,O,O,O,X,O,X
LTSOJIZ,O,O,O,X,X,O
LTSOJZI,O,O,O,X,X,O
LTSOZIJ,O,O,O,X,X,X
LTSOZJI,O,O,O,X,X,X
LTZIJSO,X,X,X,O,O,X
LTZIJOS,X,O,O,O,O,X
LTZISJO,X,X,X,X,O,X
LTZISOJ,X,X,O,O,O,X
LTZIOJS,X,O,O,O,O,X
LTZIOSJ,X,X,O,O,O,X
LTZJISO,X,X,X,O,X,X
LTZJIOS,X,O,O,O,X,X
LTZJSIO,X,X,X,O,X,X
LTZJSOI,X,X,X,O,X,X
LTZJOIS,X,O,O,O,X,X
LTZJOSI,X,O,O,O,X,X
LTZSIJO,X,X,O,X,X,X
LTZSIOJ,X,X,O,O,X,X
LTZSJIO,X,X,O,X,X,X
LTZSJOI,X,X,O,X,X,X
LTZSOIJ,X,X,O,O,X,X
LTZSOJI,X,X,O,X,X,X
LTZOIJS,X,O,O,O,O,X
LTZOISJ,X,X,O,O,O,X
LTZOJIS,X,O,O,O,X,X
LTZOJSI,X,O,O,O,X,X
LTZOSIJ,X,X,O,O,X,X
LTZOSJI,X,X,O,X,X,X
LTOIJSZ,O,O,X,X,O,X
LTOIJZS,X,O,O,O,O,X
LTOISJZ,O,O,X,X,O,X
LTOISZJ,O,X,O,X,O,X
LTOIZJS,X,O,O,O,O,X
LTOIZSJ,X,X,O,O,O,X
LTOJISZ,O,O,X,X,O,X
LTOJIZS,X,O,O,O,O,X
LTOJSIZ,O,O,X,X,X,O
LTOJSZI,O,O,X,X,X,O
LTOJZIS,X,O,O,O,X,X
LTOJZSI,X,O,O,O,X,X
LTOSIJZ,O,O,O,X,O,X
LTOSIZJ,O,O,O,X,O,X
LTOSJIZ,O,O,O,X,X,O
LTOSJZI,O,O,O,X,X,O
LTOSZIJ,O,O,O,X,X,X
LTOSZJI,O,O,O,X,X,X
LTOZIJS,X,O,O,O,O,X
LTOZISJ,X,X,O,O,O,X
LTOZJIS,X,O,O,O,X,X
LTOZJSI,X,O,O,O,X,X
LTOZSIJ,X,X,O,O,X,X
LTOZSJI,X,X,O,X,X,X
LITJSZO,O,X,X,X,O,X
LITJSOZ,O,X,X,X,O,X
LITJZSO,X,X,X,O,O,X
LITJZOS,X,X,X,O,O,X
LITJOSZ,O,X,X,X,O,X
LITJOZS,X,X,X,O,O,X
LITSJZO,O,X,X,X,O,X
LITSJOZ,O,X,X,X,O,X
LITSZJO,O,X,X,X,O,X
LITSZOJ,O,X,X,X,O,X
LITSOJZ,O,X,X,X,O,X
LITSOZJ,O,X,X,X,O,X
LITZJSO,X,X,X,O,O,X
LITZJOS,X,X,X,O,O,X
LITZSJO,X,X,X,X,O,X
LITZSOJ,X,X,X,O,O,X
LITZOJS,X,X,X,O,O,X
LITZOSJ,X,X,X,O,O,X
LITOJSZ,O,X,X,X,O,X
LITOJZS,X,X,X,O,O,X
LITOSJZ,O,X,X,X,O,X
LITOSZJ,O,X,X,X,O,X
LITOZJS,X,X,X,O,O,X
LITOZSJ,X,X,X,O,O,X
LIJTSZO,O,X,X,X,O,X
LIJTSOZ,O,X,X,X,O,X
LIJTZSO,X,X,X,O,O,X
LIJTZOS,X,X,X,O,O,X
LIJTOSZ,O,X,X,X,O,X
LIJTOZS,X,X,X,O,O,X
LIJSTZO,O,X,X,X,X,X
LIJSTOZ,O,X,X,X,X,O
LIJSZTO,O,X,X,O,X,X
LIJSZOT,O,X,X,O,X,O
LIJSOTZ,O,X,X,X,X,O
LIJSOZT,O,X,X,O,X,O
LIJZTSO,O,X,X,O,X,X
LIJZTOS,O,X,X,O,X,X
LIJZSTO,O,X,X,O,X,X
LIJZSOT,O,X,X,O,X,X
LIJZOTS,X,X,X,O,X,X
LIJZOST,X,X,X,O,X,X
LIJOTSZ,X,X,X,X,O,X
LIJOTZS,X,X,X,O,O,X
LIJOSTZ,X,X,X,X,X,O
LIJOSZT,X,X,X,O,X,O
LIJOZTS,X,X,X,O,X,X
LIJOZST,X,X,X,O,X,X
LISTJZO,O,X,X,X,O,X
LISTJOZ,O,X,X,X,O,X
LISTZJO,O,X,X,X,O,X
LISTZOJ,O,X,X,X,O,X
LISTOJZ,O,X,X,X,O,X
LISTOZJ,O,X,X,X,O,X
LISJTZO,O,X,X,X,X,X
LISJTOZ,O,X,X,X,X,O
LISJZTO,O,X,X,O,X,X
LISJZOT,O,X,X,O,X,O
LISJOTZ,O,X,X,X,X,O
LISJOZT,O,X,X,O,X,O
LISZTJO,O,X,X,X,X,X
LISZTOJ,O,X,X,O,X,X
LISZJTO,O,X,X,O,X,X
LISZJOT,O,X,X,O,X,X
LISZOTJ,O,X,X,O,X,X
LISZOJT,O,X,X,O,X,X
LISOTJZ,O,X,X,X,O,X
LISOTZJ,O,X,X,X,O,X
LISOJTZ,O,X,X,X,X,O
LISOJZT,O,X,X,O,X,O
LISOZTJ,O,X,X,O,X,X
LISOZJT,O,X,X,O,X,X
LIZTJSO,O,X,X,O,O,X
LIZTJOS,O,X,X,O,O,X
LIZTSJO,O,X,X,X,O,X
LIZTSOJ,O,X,X,O,O,X
LIZTOJS,O,X,X,O,O,X
LIZTOSJ,O,X,X,O,O,X
LIZJTSO,O,X,X,O,X,X
LIZJTOS,O,X,X,O,X,X
LIZJSTO,O,X,X,O,X,X
LIZJSOT,O,X,X,O,X,X
LIZJOTS,X,X,X,O,X,X
LIZJOST,X,X,X,O,X,X
LIZSTJO,O,X,X,X,X,X
LIZSTOJ,O,X,X,O,X,X
LIZSJTO,O,X,X,O,X,X
LIZSJOT,O,X,X,O,X,X
LIZSOTJ,O,X,X,O,X,X
LIZSOJT,O,X,X,O,X,X
LIZOTJS,X,X,X,O,O,X
LIZOTSJ,X,X,X,O,O,X
LIZOJTS,X,X,X,O,X,X
LIZOJST,X,X,X,O,X,X
LIZOSTJ,X,X,X,O,X,X
LIZOSJT,X,X,X,O,X,X
LIOTJSZ,X,X,X,X,O,X
LIOTJZS,X,X,X,O,O,X
LIOTSJZ,X,X,X,X,O,X
LIOTSZJ,X,X,X,X,O,X
LIOTZJS,X,X,X,O,O,X
LIOTZSJ,X,X,X,O,O,X
LIOJTSZ,X,X,X,X,O,X
LIOJTZS,X,X,X,O,O,X
LIOJSTZ,X,X,X,X,X,O
LIOJSZT,X,X,X,O,X,O
LIOJZTS,X,X,X,O,X,X
LIOJZST,X,X,X,O,X,X
LIOSTJZ,X,X,X,X,O,X
LIOSTZJ,X,X,X,X,O,X
LIOSJTZ,X,X,X,X,X,O
LIOSJZT,X,X,X,O,X,O
LIOSZTJ,X,X,X,O,X,X
LIOSZJT,X,X,X,O,X,X
LIOZTJS,X,X,X,O,O,X
LIOZTSJ,X,X,X,O,O,X
LIOZJTS,X,X,X,O,X,X
LIOZJST,X,X,X,O,X,X
LIOZSTJ,X,X,X,O,X,X
LIOZSJT,X,X,X,O,X,X
LJTISZO,O,X,X,X,O,X
LJTISOZ,O,O,X,X,O,X
LJTIZSO,X,X,X,O,O,X
LJTIZOS,X,O,X,O,O,X
LJTIOSZ,O,O,X,X,O,X
LJTIOZS,X,O,X,O,O,X
LJTSIZO,O,O,X,X,X,X
LJTSIOZ,O,O,X,X,X,O
LJTSZIO,O,O,X,X,X,X
LJTSZOI,O,O,X,X,X,X
LJTSOIZ,O,O,X,X,X,O
LJTSOZI,O,O,X,X,X,O
LJTZISO,X,X,X,O,X,X
LJTZIOS,X,O,X,O,X,X
LJTZSIO,X,X,X,O,X,X
LJTZSOI,X,X,X,O,X,X
LJTZOIS,X,O,X,O,X,X
LJTZOSI,X,O,X,O,X,X
LJTOISZ,O,O,X,X,O,X
LJTOIZS,X,O,X,O,O,X
LJTOSIZ,O,O,X,X,X,O
LJTOSZI,O,O,X,X,X,O
LJTOZIS,X,O,X,O,X,X
LJTOZSI,X,O,X,O,X,X
LJITSZO,O,X,X,X,O,X
LJITSOZ,O,X,X,X,O,X
LJITZSO,X,X,X,O,O,X
LJITZOS,X,X,X,O,O,X
LJITOSZ,O,X,X,X,O,X
LJITOZS,X,X,X,O,O,X
LJISTZO,O,X,X,X,X,X
LJISTOZ,O,X,X,X,X,O
LJISZTO,O,X,X,O,X,X
LJISZOT,O,X,X,O,X,O
LJISOTZ,O,X,X,X,X,O
LJISOZT,O,X,X,O,X,O
LJIZTSO,O,X,X,O,X,X
LJIZTOS,O,X,X,O,X,X
LJIZSTO,O,X,X,O,X,X
LJIZSOT,O,X,X,O,X,X
LJIZOTS,X,X,X,O,X,X
LJIZOST,X,X,X,O,X,X
LJIOTSZ,X,X,X,X,O,X
LJIOTZS,X,X,X,O,O,X
LJIOSTZ,X,X,X,X,X,O
LJIOSZT,X,X,X,O,X,O
LJIOZTS,X,X,X,O,X,X
LJIOZST,X,X,X,O,X,X
LJSTIZO,O,X,X,X,X,X
LJSTIOZ,O,O,X,X,X,O
LJSTZIO,O,X,X,X,X,X
LJSTZOI,O,X,X,X,X,X
LJSTOIZ,O,O,X,X,X,O
LJSTOZI,O,O,X,X,X,O
LJSITZO,O,X,X,X,X,X
LJSITOZ,O,O,X,X,X,O
LJSIZTO,O,X,X,O,X,X
LJSIZOT,O,O,X,O,X,O
LJSIOTZ,O,O,X,X,X,O
LJSIOZT,O,O,X,O,X,O
LJSZTIO,O,X,X,O,X,X
LJSZTOI,O,X,X,O,X,X
LJSZITO,O,X,X,O,X,X
LJSZIOT,O,O,X,O,X,O
LJSZOTI,O,O,X,O,X,O
LJSZOIT,O,O,X,O,X,O
LJSOTIZ,O,O,X,X,X,O
LJSOTZI,O,O,X,X,X,O
LJSOITZ,O,O,X,X,X,O
LJSOIZT,O,O,X,O,X,O
LJSOZTI,O,O,X,O,X,O
LJSOZIT,O,O,X,O,X,O
LJZTISO,O,X,X,O,X,X
LJZTIOS,O,X,X,O,X,X
LJZTSIO,O,X,X,O,X,X
LJZTSOI,O,X,X,O,X,X
LJZTOIS,O,X,X,O,X,X
LJZTOSI,O,X,X,O,X,X
LJZITSO,O,X,X,O,X,X
LJZITOS,O,X,X,O,X,X
LJZISTO,O,X,X,O,X,X
LJZISOT,O,X,X,O,X,X
LJZIOTS,X,X,X,O,X,X
LJZIOST,X,X,X,O,X,X
LJZSTIO,O,X,X,O,X,X
LJZSTOI,O,X,X,O,X,X
LJZSITO,O,X,X,O,X,X
LJZSIOT,O,X,X,O,X,O
LJZSOTI,O,X,X,O,X,O
LJZSOIT,O,X,X,O,X,O
LJZOTIS,X,X,X,O,X,X
LJZOTSI,X,X,X,O,X,X
LJZOITS,X,X,X,O,X,X
LJZOIST,X,X,X,O,X,X
LJZOSTI,X,X,X,O,X,O
LJZOSIT,X,X,X,O,X,O
LJOTISZ,X,O,X,X,O,X
LJOTIZS,X,O,X,O,O,X
LJOTSIZ,X,O,X,X,X,O
LJOTSZI,X,O,X,X,X,O
LJOTZIS,X,O,X,O,X,X
LJOTZSI,X,O,X,O,X,X
LJOITSZ,X,X,X,X,O,X
LJOITZS,X,X,X,O,O,X
LJOISTZ,X,X,X,X,X,O
LJOISZT,X,X,X,O,X,O
LJOIZTS,X,X,X,O,X,X
LJOIZST,X,X,X,O,X,X
LJOSTIZ,X,O,X,X,X,O
LJOSTZI,X,O,X,X,X,O
LJOSITZ,X,O,X,X,X,O
LJOSIZT,X,O,X,O,X,O
LJOSZTI,X,O,X,O,X,O
LJOSZIT,X,O,X,O,X,O
LJOZTIS,X,X,X,O,X,X
LJOZTSI,X,X,X,O,X,X
LJOZITS,X,X,X,O,X,X
LJOZIST,X,X,X,O,X,X
LJOZSTI,X,X,X,O,X,O
LJOZSIT,X,X,X,O,X,O
LSTIJZO,O,X,X,X,O,X
LSTIJOZ,O,O,X,X,O,X
LSTIZJO,O,X,X,X,O,X
LSTIZOJ,O,X,O,X,O,X
LSTIOJZ,O,O,X,X,O,X
LSTIOZJ,O,X,O,X,O,X
LSTJIZO,O,X,X,X,X,X
LSTJIOZ,O,O,X,X,X,O
LSTJZIO,O,X,X,X,X,X
LSTJZOI,O,X,X,X,X,X
LSTJOIZ,O,O,X,X,X,O
LSTJOZI,O,O,X,X,X,O
LSTZIJO,O,X,X,X,X,X
LSTZIOJ,O,X,O,X,X,X
LSTZJIO,O,X,X,X,X,X
LSTZJOI,O,X,X,X,X,X
LSTZOIJ,O,X,O,X,X,X
LSTZOJI,O,X,O,X,X,X
LSTOIJZ,O,O,X,X,O,X
LSTOIZJ,O,X,O,X,O,X
LSTOJIZ,O,O,X,X,X,O
LSTOJZI,O,O,X,X,X,O
LSTOZIJ,O,X,O,X,X,X
LSTOZJI,O,X,O,X,X,X
LSITJZO,O,X,X,X,O,X
LSITJOZ,O,O,X,X,O,X
LSITZJO,O,X,X,X,O,X
LSITZOJ,O,X,O,X,O,X
LSITOJZ,O,O,X,X,O,X
LSITOZJ,O,X,O,X,O,X
LSIJTZO,O,X,X,X,X,X
LSIJTOZ,O,O,X,X,X,O
LSIJZTO,O,X,X,O,X,X
LSIJZOT,O,O,O,O,X,O
LSIJOTZ,O,O,X,X,X,O
LSIJOZT,O,O,O,O,X,O
LSIZTJO,O,X,X,X,X,X
LSIZTOJ,O,X,O,O,X,X
LSIZJTO,O,X,X,O,X,X
LSIZJOT,O,O,O,O,X,X
LSIZOTJ,O,X,O,O,X,X
LSIZOJT,O,O,O,O,X,X
LSIOTJZ,O,O,X,X,O,X
LSIOTZJ,O,X,O,X,O,X
LSIOJTZ,O,O,X,X,X,O
LSIOJZT,O,O,O,O,X,O
LSIOZTJ,O,X,O,O,X,X
LSIOZJT,O,O,O,O,X,X
LSJTIZO,O,X,X,X,X,X
LSJTIOZ,O,O,X,X,X,O
LSJTZIO,O,X,X,X,X,X
LSJTZOI,O,X,X,X,X,X
LSJTOIZ,O,O,X,X,X,O
LSJTOZI,O,O,X,X,X,O
LSJITZO,O,X,X,X,X,X
LSJITOZ,O,O,X,X,X,O
LSJIZTO,O,X,X,O,X,X
LSJIZOT,O,O,O,O,X,O
LSJIOTZ,O,O,X,X,X,O
LSJIOZT,O,O,O,O,X,O
LSJZTIO,O,X,X,O,X,X
LSJZTOI,O,X,X,O,X,X
LSJZITO,O,X,X,O,X,X
LSJZIOT,O,O,O,O,X,O
LSJZOTI,O,O,O,O,X,O
LSJZOIT,O,O,O,O,X,O
LSJOTIZ,O,O,X,X,X,O
LSJOTZI,O,O,X,X,X,O
LSJOITZ,O,O,X,X,X,O
LSJOIZT,O,O,O,O,X,O
LSJOZTI,O,O,O,O,X,O
LSJOZIT,O,O,O,O,X,O
LSZTIJO,O,X,X,X,X,X
LSZTIOJ,O,X,O,O,X,X
LSZTJIO,O,X,X,X,X,X
LSZTJOI,O,X,X,X,X,X
LSZTOIJ,O,X,O,O,X,X
LSZTOJI,O,X,O,X,X,X
LSZITJO,O,X,X,X,X,X
LSZITOJ,O,X,O,O,X,X
LSZIJTO,O,X,X,O,X,X
LSZIJOT,O,O,O,O,X,X
LSZIOTJ,O,X,O,O,X,X
LSZIOJT,O,O,O,O,X,X
LSZJTIO,O,X,X,O,X,X
LSZJTOI,O,X,X,O,X,X
LSZJITO,O,X,X,O,X,X
LSZJIOT,O,O,O,O,X,O
LSZJOTI,O,O,O,O,X,O
LSZJOIT,O,O,O,O,X,O
LSZOTIJ,O,X,O,O,X,X
LSZOTJI,O,X,O,X,X,X
LSZOITJ,O,X,O,O,X,X
LSZOIJT,O,O,O,O,X,X
LSZOJTI,O,O,O,O,X,O
LSZOJIT,O,O,O,O,X,O
LSOTIJZ,O,O,X,X,O,X
LSOTIZJ,O,X,O,X,O,X
LSOTJIZ,O,O,X,X,X,O
LSOTJZI,O,O,X,X,X,O
LSOTZIJ,O,X,O,X,X,X
LSOTZJI,O,X,O,X,X,X
LSOITJZ,O,O,X,X,O,X
LSOITZJ,O,X,O,X,O,X
LSOIJTZ,O,O,X,X,X,O
LSOIJZT,O,O,O,O,X,O
LSOIZTJ,O,X,O,O,X,X
LSOIZJT,O,O,O,O,X,X
LSOJTIZ,O,O,X,X,X,O
LSOJTZI,O,O,X,X,X,O
LSOJITZ,O,O,X,X,X,O
LSOJIZT,O,O,O,O,X,O
LSOJZTI,O,O,O,O,X,O
LSOJZIT,O,O,O,O,X,O
LSOZTIJ,O,X,O,O,X,X
LSOZTJI,O,X,O,X,X,X
LSOZITJ,O,X,O,O,X,X
LSOZIJT,O,O,O,O,X,X
LSOZJTI,O,O,O,O,X,O
LSOZJIT,O,O,O,O,X,O
LZTIJSO,O,X,X,O,O,X
LZTIJOS,O,X,O,O,O,X
LZTISJO,O,X,X,X,O,X
LZTISOJ,O,X,O,O,O,X
LZTIOJS,O,X,O,O,O,X
LZTIOSJ,O,X,O,O,O,X
LZTJISO,O,X,X,O,X,X
LZTJIOS,O,X,O,O,X,X
LZTJSIO,O,X,X,O,X,X
LZTJSOI,O,X,X,O,X,X
LZTJOIS,O,X,O,O,X,X
LZTJOSI,O,X,O,O,X,X
LZTSIJO,O,X,O,X,X,X
LZTSIOJ,O,X,O,O,X,X
LZTSJIO,O,X,O,X,X,X
LZTSJOI,O,X,O,X,X,X
LZTSOIJ,O,X,O,O,X,X
LZTSOJI,O,X,O,X,X,X
LZTOIJS,O,X,O,O,O,X
LZTOISJ,O,X,O,O,O,X
LZTOJIS,O,X,O,O,X,X
LZTOJSI,O,X,O,O,X,X
LZTOSIJ,O,X,O,O,X,X
LZTOSJI,O,X,O,X,X,X
LZITJSO,O,X,X,O,O,X
LZITJOS,O,X,X,O,O,X
LZITSJO,O,X,X,X,O,X
LZITSOJ,O,X,X,O,O,X
LZITOJS,O,X,X,O,O,X
LZITOSJ,O,X,X,O,O,X
LZIJTSO,O,X,X,O,X,X
LZIJTOS,O,X,X,O,X,X
LZIJSTO,O,X,X,O,X,X
LZIJSOT,O,X,X,O,X,X
LZIJOTS,X,X,X,O,X,X
LZIJOST,X,X,X,O,X,X
LZISTJO,O,X,X,X,X,X
LZISTOJ,O,X,X,O,X,X
LZISJTO,O,X,X,O,X,X
LZISJOT,O,X,X,O,X,X
LZISOTJ,O,X,X,O,X,X
LZISOJT,O,X,X,O,X,X
LZIOTJS,X,X,X,O,O,X
LZIOTSJ,X,X,X,O,O,X
LZIOJTS,X,X,X,O,X,X
LZIOJST,X,X,X,O,X,X
LZIOSTJ,X,X,X,O,X,X
LZIOSJT,X,X,X,O,X,X
LZJTISO,O,X,X,O,X,X
LZJTIOS,O,X,X,O,X,X
LZJTSIO,O,X,X,O,X,X
LZJTSOI,O,X,X,O,X,X
LZJTOIS,O,X,X,O,X,X
LZJTOSI,O,X,X,O,X,X
LZJITSO,O,X,X,O,X,X
LZJITOS,O,X,X,O,X,X
LZJISTO,O,X,X,O,X,X
LZJISOT,O,X,X,O,X,X
LZJIOTS,X,X,X,O,X,X
LZJIOST,X,X,X,O,X,X
LZJSTIO,O,X,X,O,X,X
LZJSTOI,O,X,X,O,X,X
LZJSITO,O,X,X,O,X,X
LZJSIOT,O,X,X,O,X,O
LZJSOTI,O,X,X,O,X,O
LZJSOIT,O,X,X,O,X,O
LZJOTIS,X,X,X,O,X,X
LZJOTSI,X,X,X,O,X,X
LZJOITS,X,X,X,O,X,X
LZJOIST,X,X,X,O,X,X
LZJOSTI,X,X,X,O,X,O
LZJOSIT,X,X,X,O,X,O
LZSTIJO,O,X,X,X,X,X
LZSTIOJ,O,X,O,O,X,X
LZSTJIO,O,X,X,X,X,X
LZSTJOI,O,X,X,X,X,X
LZSTOIJ,O,X,O,O,X,X
LZSTOJI,O,X,O,X,X,X
LZSITJO,O,X,X,X,X,X
LZSITOJ,O,X,O,O,X,X
LZSIJTO,O,X,X,O,X,X
LZSIJOT,O,X,O,O,X,X
LZSIOTJ,O,X,O,O,X,X
LZSIOJT,O,X,O,O,X,X
LZSJTIO,O,X,X,O,X,X
LZSJTOI,O,X,X,O,X,X
LZSJITO,O,X,X,O,X,X
LZSJIOT,O,X,O,O,X,O
LZSJOTI,O,X,O,O,X,O
LZSJOIT,O,X,O,O,X,O
LZSOTIJ,O,X,O,O,X,X
LZSOTJI,O,X,O,X,X,X
LZSOITJ,O,X,O,O,X,X
LZSOIJT,O,X,O,O,X,X
LZSOJTI,O,X,O,O,X,O
LZSOJIT,O,X,O,O,X,O
LZOTIJS,X,X,O,O,O,X
LZOTISJ,X,X,O,O,O,X
LZOTJIS,X,X,O,O,X,X
LZOTJSI,X,X,O,O,X,X
LZOTSIJ,X,X,O,O,X,X
LZOTSJI,X,X,O,X,X,X
LZOITJS,X,X,X,O,O,X
