sequence,v115@GhA8IeA8EeA8AeD8DeE8Je0/IvhFxgBmiB/pBarBFn?BTqB,v115@GhA8IeA8EeA8AeD8DeE8JeT/IvhFxgBmiB/qBarBFn?B0pB,v115@GhA8IeA8EeA8AeD8DeE8Je0/IvhFlgBanBziB2pBXm?BRvB,v115@GhA8IeA8EeA8AeD8DeE8JeOEJvhF8kBanBziBFmB3l?BRvB,v115@GhA8IeA8EeA8AeD8DeE8Jex/IvhFXhBmiBypBFnBzq?B0pB,v115@GhA8IeA8EeA8AeD8DeE8JeUBJvhFRiB/pBFlBinBzq?BmpB,v115@GhA8IeA8EeA8AeD8DeE8JeT/IvhFRiB/qBFmBinB0p?BmqB,v115@GhA8IeA8EeA8AeD8DeE8Je0/IvhFxgBmiB/pBFnBiq?BzqB,v115@GhA8IeA8EeA8AeD8DeE8Je2EJvhFRgBanBziB1qB0p?BXrB,v115@GhA8IeA8EeA8AeD8DeE8JeOEJvhF8kBRiBFmBinBXq?BzqB,v115@GhA8IeA8EeA8AeD8DeE8JeRCJvhFTkB/qBFmBinB0p?BmqB
TSJOLIZ,O,O,O,X,O,X,X,O,X,X,O
TSJOLZI,O,O,O,X,O,X,X,O,X,X,O
TSJOZIL,O,O,O,X,O,X,X,O,X,X,X
TSJOZLI,O,O,O,X,O,X,X,O,X,X,X
TSZILJO,O,O,O,X,X,X,O,O,X,O,X
TSZILOJ,O,O,O,X,X,X,O,O,X,O,X
TSZIJLO,O,O,O,X,X,X,X,O,X,O,X
TSZIJOL,O,O,O,X,O,X,X,O,X,X,X
TSZIOLJ,O,O,O,X,X,X,O,X,X,X,X
TSZIOJL,O,O,O,X,X,X,X,O,X,X,X
TSZLIJO,O,O,O,X,X,X,O,O,X,O,X
TSZLIOJ,O,O,O,X,X,X,O,O,X,O,O
TSZLJIO,O,O,O,X,X,X,O,O,X,O,X
TSZLJOI,O,O,O,X,X,X,O,O,X,O,X
TSZLOIJ,O,O,O,X,X,X,O,O,X,O,O
TSZLOJI,O,O,O,X,X,X,O,O,X,O,O
TSZJILO,O,O,O,X,X,X,X,O,X,O,X
TSZJIOL,O,O,O,X,O,X,X,O,X,X,X
TSZJLIO,O,O,O,X,X,X,O,O,X,O,X
TSZJLOI,O,O,O,X,X,X,O,O,X,O,X
TSZJOIL,O,O,O,X,O,X,X,O,X,X,X
TSZJOLI,O,O,O,X,O,X,O,O,X,O,X
TSZOILJ,O,O,O,X,X,X,O,X,X,X,X
TSZOIJL,O,O,O,X,O,X,X,O,X,X,X
TSZOLIJ,O,O,O,X,O,X,O,O,X,O,O
TSZOLJI,O,O,O,X,O,X,O,O,X,O,O
TSZOJIL,O,O,O,X,O,X,X,O,X,X,X
TSZOJLI,O,O,O,X,O,X,O,O,X,O,X
TSOILJZ,O,X,O,O,O,O,X,X,X,X,O
TSOILZJ,O,X,O,O,O,O,X,X,X,X,O
TSOIJLZ,O,X,O,O,O,X,X,X,X,X,X
TSOIJZL,O,O,O,O,O,X,X,O,X,X,X
TSOIZLJ,O,O,O,O,X,O,X,X,X,X,X
TSOIZJL,O,O,O,O,O,X,X,O,X,X,X
TSOLIJZ,O,O,O,O,O,O,X,O,X,X,O
TSOLIZJ,O,O,O,O,O,O,O,O,X,O,O
TSOLJIZ,O,O,O,X,O,O,X,O,X,X,O
TSOLJZI,O,O,O,X,O,O,X,O,X,X,O
TSOLZIJ,O,O,O,X,O,O,O,O,X,O,O
TSOLZJI,O,O,O,X,O,O,O,O,X,O,O
TSOJILZ,O,X,O,X,O,X,X,X,X,X,X
TSOJIZL,O,O,O,X,O,X,X,O,X,X,X
TSOJLIZ,O,O,O,X,O,O,X,O,X,X,O
TSOJLZI,O,O,O,X,O,O,X,O,X,X,O
TSOJZIL,O,O,O,X,O,X,X,O,X,X,X
TSOJZLI,O,O,O,X,O,O,X,O,X,X,X
TSOZILJ,O,O,O,X,X,O,O,X,X,X,X
TSOZIJL,O,O,O,X,O,X,X,O,X,X,X
TSOZLIJ,O,O,O,X,O,O,O,O,X,O,O
TSOZLJI,O,O,O,X,O,O,O,O,X,O,O
TSOZJIL,O,O,O,X,O,X,X,O,X,X,X
TSOZJLI,O,O,O,X,O,O,O,O,X,O,X
TZILJSO,O,O,X,O,X,X,X,O,O,X,X
TZILJOS,O,O,X,O,X,X,X,X,O,X,X
TZILSJO,O,O,X,O,X,X,X,O,O,X,X
TZILSOJ,O,O,X,O,X,X,X,O,O,X,X
TZILOJS,O,O,X,O,X,X,X,X,O,X,X
TZILOSJ,O,X,X,O,X,X,X,X,O,X,X
TZIJLSO,O,O,X,O,X,X,X,O,O,X,X
TZIJLOS,O,O,X,O,X,X,X,X,O,X,X
TZIJSLO,O,O,X,O,X,X,X,O,O,X,X
TZIJSOL,O,O,X,O,X,X,X,O,O,X,X
TZIJOLS,X,O,X,O,X,X,X,X,O,X,X
TZIJOSL,O,O,X,O,X,X,X,X,O,X,X
TZISLJO,O,O,X,O,X,X,X,O,O,X,X
TZISLOJ,X,O,X,O,X,X,X,X,O,X,X
TZISJLO,O,O,X,O,X,X,X,O,O,X,X
TZISJOL,O,O,X,O,X,X,X,O,O,X,X
TZISOLJ,X,O,X,O,X,X,X,X,O,X,X
TZISOJL,O,O,X,O,X,X,X,O,O,X,X
TZIOLJS,X,O,X,O,X,X,X,X,O,X,X
TZIOLSJ,X,X,X,O,X,X,X,X,O,X,X
TZIOJLS,X,O,X,O,X,X,X,X,O,X,X
TZIOJSL,O,O,X,O,X,X,X,X,O,X,X
TZIOSLJ,O,O,X,O,X,X,X,X,O,X,X
TZIOSJL,O,O,X,O,X,X,X,X,O,X,X
TZLIJSO,O,O,X,O,X,X,X,O,O,X,X
TZLIJOS,O,O,X,O,X,X,X,X,O,X,X
TZLISJO,O,O,X,O,X,X,O,O,O,O,X
TZLISOJ,O,O,X,O,X,X,O,O,O,O,O
TZLIOJS,O,O,X,O,X,X,X,X,O,X,X
TZLIOSJ,O,X,X,O,X,O,O,X,O,X,X
TZLJISO,O,O,X,X,X,X,X,O,O,X,X
TZLJIOS,O,O,X,X,X,X,X,X,O,X,X
TZLJSIO,O,O,X,X,X,X,X,O,O,X,X
TZLJSOI,O,O,X,X,X,X,X,O,O,X,X
TZLJOIS,O,O,X,X,O,X,X,X,O,X,X
TZLJOSI,O,O,X,X,O,X,X,X,O,X,X
TZLSIJO,O,O,X,X,X,X,O,O,O,O,X
TZLSIOJ,O,O,X,X,X,X,O,O,O,O,O
TZLSJIO,O,O,X,X,X,X,O,O,O,O,X
TZLSJOI,O,O,X,X,X,X,O,O,O,O,X
TZLSOIJ,O,O,X,X,X,X,O,O,O,O,O
TZLSOJI,O,O,X,X,X,X,O,O,O,O,O
TZLOIJS,O,O,X,O,O,X,X,X,O,X,X
TZLOISJ,O,X,X,O,O,O,O,X,O,X,X
TZLOJIS,O,O,X,X,O,X,X,X,O,X,X
TZLOJSI,O,O,X,X,O,X,X,X,O,X,X
TZLOSIJ,O,O,X,X,O,O,O,X,O,X,X
TZLOSJI,O,O,X,X,O,O,O,X,O,X,X
TZJILSO,O,O,X,X,X,X,X,O,O,X,X
TZJILOS,O,O,X,X,X,X,X,X,O,X,X
TZJISLO,O,O,X,X,X,X,X,O,O,X,X
TZJISOL,O,O,X,X,X,X,X,O,O,X,X
TZJIOLS,X,O,X,X,X,X,X,X,O,X,X
TZJIOSL,O,O,X,X,X,X,X,X,O,X,X
TZJLISO,O,O,X,X,X,X,X,O,O,X,X
TZJLIOS,O,O,X,X,X,X,X,X,O,X,X
TZJLSIO,O,O,X,X,X,X,X,O,O,X,X
TZJLSOI,O,O,X,X,X,X,X,O,O,X,X
TZJLOIS,O,O,X,X,O,X,X,X,O,X,X
TZJLOSI,O,O,X,X,O,X,X,X,O,X,X
TZJSILO,O,O,X,X,X,X,X,O,O,X,X
TZJSIOL,O,O,X,X,O,X,X,O,O,X,X
TZJSLIO,O,O,X,X,X,X,X,O,O,X,X
TZJSLOI,O,O,X,X,X,X,X,O,O,X,X
TZJSOIL,O,O,X,X,O,X,X,O,O,X,X
TZJSOLI,O,O,X,X,O,X,X,O,O,X,X
TZJOILS,X,O,X,X,X,X,X,X,O,X,X
TZJOISL,O,O,X,X,X,X,X,X,O,X,X
TZJOLIS,O,O,X,X,O,X,X,X,O,X,X
TZJOLSI,O,O,X,X,O,X,X,X,O,X,X
TZJOSIL,O,O,X,X,O,X,X,X,O,X,X
TZJOSLI,O,O,X,X,O,X,X,X,O,X,X
TZSILJO,O,O,X,X,X,X,O,O,O,O,X
TZSILOJ,O,O,X,X,X,X,O,O,O,O,X
TZSIJLO,O,O,X,X,X,X,X,O,O,O,X
TZSIJOL,O,O,X,X,O,X,X,O,O,X,X
TZSIOLJ,O,O,X,X,X,X,O,X,O,X,X
TZSIOJL,O,O,X,X,X,X,X,O,O,X,X
TZSLIJO,O,O,X,X,X,X,O,O,O,O,X
TZSLIOJ,O,O,X,X,X,X,O,O,O,O,O
TZSLJIO,O,O,X,X,X,X,O,O,O,O,X
TZSLJOI,O,O,X,X,X,X,O,O,O,O,X
TZSLOIJ,O,O,X,X,X,X,O,O,O,O,O
TZSLOJI,O,O,X,X,X,X,O,O,O,O,O
TZSJILO,O,O,X,X,X,X,X,O,O,O,X
TZSJIOL,O,O,X,X,O,X,X,O,O,X,X
TZSJLIO,O,O,X,X,X,X,O,O,O,O,X
TZSJLOI,O,O,X,X,X,X,O,O,O,O,X
TZSJOIL,O,O,X,X,O,X,X,O,O,X,X
TZSJOLI,O,O,X,X,O,X,O,O,O,O,X
TZSOILJ,O,O,X,X,X,X,O,X,O,X,X
TZSOIJL,O,O,X,X,O,X,X,O,O,X,X
TZSOLIJ,O,O,X,X,O,X,O,O,O,O,O
TZSOLJI,O,O,X,X,O,X,O,O,O,O,O
TZSOJIL,O,O,X,X,O,X,X,O,O,X,X
TZSOJLI,O,O,X,X,O,X,O,O,O,O,X
TZOILJS,X,O,X,O,X,X,X,X,O,X,X
TZOILSJ,X,X,X,O,X,X,X,X,O,X,X
TZOIJLS,X,O,X,O,X,X,X,X,O,X,X
TZOIJSL,O,O,X,O,X,X,X,X,O,X,X
TZOISLJ,O,O,X,O,X,X,X,X,O,X,X
TZOISJL,O,O,X,O,X,X,X,X,O,X,X
TZOLIJS,O,O,X,O,O,X,X,X,O,X,X
TZOLISJ,O,X,X,O,O,O,O,X,O,X,X
TZOLJIS,O,O,X,X,O,X,X,X,O,X,X
TZOLJSI,O,O,X,X,O,X,X,X,O,X,X
TZOLSIJ,O,O,X,X,O,O,O,X,O,X,X
TZOLSJI,O,O,X,X,O,O,O,X,O,X,X
TZOJILS,X,O,X,X,X,X,X,X,O,X,X
TZOJISL,O,O,X,X,X,X,X,X,O,X,X
TZOJLIS,O,O,X,X,O,X,X,X,O,X,X
TZOJLSI,O,O,X,X,O,X,X,X,O,X,X
TZOJSIL,O,O,X,X,O,X,X,X,O,X,X
TZOJSLI,O,O,X,X,O,X,X,X,O,X,X
TZOSILJ,O,O,X,X,X,O,O,X,O,X,X
TZOSIJL,O,O,X,X,O,X,X,X,O,X,X
TZOSLIJ,O,O,X,X,O,O,O,X,O,X,X
TZOSLJI,O,O,X,X,O,O,O,X,O,X,X
TZOSJIL,O,O,X,X,O,X,X,X,O,X,X
TZOSJLI,O,O,X,X,O,O,O,X,O,X,X
TOILJSZ,O,O,O,O,O,X,X,O,X,X,X
TOILJZS,O,X,O,O,O,X,X,X,X,X,X
TOILSJZ,O,O,O,O,O,X,X,O,X,X,X
TOILSZJ,O,O,O,O,O,X,X,O,X,X,X
TOILZJS,O,X,X,O,O,X,X,X,X,X,X
TOILZSJ,O,X,X,O,O,X,X,X,X,X,X
TOIJLSZ,O,O,O,O,O,X,X,O,X,X,X
TOIJLZS,O,X,O,O,O,X,X,X,X,X,X
TOIJSLZ,O,X,O,O,O,X,X,X,X,X,X
TOIJSZL,O,O,O,O,O,X,X,O,X,X,X
TOIJZLS,X,O,O,O,X,X,X,X,X,X,X
TOIJZSL,O,O,O,O,X,X,X,X,X,X,X
TOISLJZ,O,X,O,O,O,X,X,X,X,X,X
TOISLZJ,O,X,O,O,O,X,X,X,X,X,X
TOISJLZ,O,X,O,O,O,X,X,X,X,X,X
TOISJZL,O,O,O,O,O,X,X,O,X,X,X
TOISZLJ,O,O,O,O,X,X,X,X,X,X,X
TOISZJL,O,O,O,O,O,X,X,O,X,X,X
TOIZLJS,X,O,X,O,X,X,X,X,X,X,X
TOIZLSJ,X,X,X,O,X,X,X,X,X,X,X
TOIZJLS,X,O,X,O,X,X,X,X,X,X,X
TOIZJSL,O,O,X,O,X,X,X,X,X,X,X
TOIZSLJ,O,X,X,O,X,X,X,X,X,X,X
TOIZSJL,O,O,X,O,X,X,X,X,X,X,X
TOLIJSZ,O,O,O,O,O,X,X,O,X,X,X
TOLIJZS,O,X,O,O,O,X,X,X,X,X,X
TOLISJZ,O,O,O,O,O,O,X,O,X,X,O
TOLISZJ,O,O,O,O,O,O,O,O,X,O,O
TOLIZJS,O,X,X,O,O,X,X,X,X,X,X
TOLIZSJ,O,X,X,O,O,O,X,X,X,X,X
TOLJISZ,O,O,O,O,O,X,X,O,X,X,X
TOLJIZS,O,X,O,O,O,X,X,X,X,X,X
TOLJSIZ,O,O,O,X,O,X,X,O,X,X,X
TOLJSZI,O,O,O,X,O,X,X,O,X,X,X
TOLJZIS,O,X,O,X,O,X,X,X,X,X,X
TOLJZSI,O,X,O,X,O,X,X,X,X,X,X
TOLSIJZ,O,O,O,O,O,O,X,O,X,X,O
TOLSIZJ,O,O,O,O,O,O,O,O,X,O,O
TOLSJIZ,O,O,O,X,O,O,X,O,X,X,O
TOLSJZI,O,O,O,X,O,O,X,O,X,X,O
TOLSZIJ,O,O,O,X,O,O,O,O,X,O,O
TOLSZJI,O,O,O,X,O,O,O,O,X,O,O
TOLZIJS,O,X,X,O,O,X,X,X,O,X,X
TOLZISJ,O,X,X,O,O,O,X,X,O,X,X
TOLZJIS,O,X,X,X,O,X,X,X,O,X,X
TOLZJSI,O,X,X,X,O,X,X,X,O,X,X
TOLZSIJ,O,X,X,X,O,O,X,X,O,X,X
TOLZSJI,O,X,X,X,O,O,X,X,O,X,X
TOJILSZ,O,O,O,O,O,X,X,O,X,X,X
TOJILZS,O,X,O,O,O,X,X,X,X,X,X
TOJISLZ,O,X,O,O,O,X,X,X,X,X,X
TOJISZL,O,O,O,O,O,X,X,O,X,X,X
TOJIZLS,X,O,O,O,X,X,X,X,X,X,X
TOJIZSL,O,O,O,O,X,X,X,X,X,X,X
TOJLISZ,O,O,O,O,O,X,X,O,X,X,X
TOJLIZS,O,X,O,O,O,X,X,X,X,X,X
TOJLSIZ,O,O,O,X,O,X,X,O,X,X,X
TOJLSZI,O,O,O,X,O,X,X,O,X,X,X
TOJLZIS,O,X,O,X,O,X,X,X,X,X,X
TOJLZSI,O,X,O,X,O,X,X,X,X,X,X
TOJSILZ,O,X,O,X,O,X,X,X,X,X,X
TOJSIZL,O,O,O,X,O,X,X,O,X,X,X
TOJSLIZ,O,O,O,X,O,X,X,O,X,X,X
TOJSLZI,O,O,O,X,O,X,X,O,X,X,X
TOJSZIL,O,O,O,X,O,X,X,O,X,X,X
TOJSZLI,O,O,O,X,O,X,X,O,X,X,X
TOJZILS,X,O,O,X,X,X,X,X,X,X,X
TOJZISL,O,O,O,X,X,X,X,X,X,X,X
TOJZLIS,O,O,O,X,O,X,X,X,X,X,X
TOJZLSI,O,O,O,X,O,X,X,X,X,X,X
TOJZSIL,O,O,O,X,O,X,X,X,X,X,X
TOJZSLI,O,O,O,X,O,X,X,X,X,X,X
TOSILJZ,O,X,O,O,O,O,X,X,X,X,O
TOSILZJ,O,X,O,O,O,O,X,X,X,X,O
TOSIJLZ,O,X,O,O,O,X,X,X,X,X,X
TOSIJZL,O,O,O,O,O,X,X,O,X,X,X
TOSIZLJ,O,O,O,O,X,O,X,X,X,X,X
TOSIZJL,O,O,O,O,O,X,X,O,X,X,X
TOSLIJZ,O,O,O,O,O,O,X,O,X,X,O
TOSLIZJ,O,O,O,O,O,O,O,O,X,O,O
TOSLJIZ,O,O,O,X,O,O,X,O,X,X,O
TOSLJZI,O,O,O,X,O,O,X,O,X,X,O
TOSLZIJ,O,O,O,X,O,O,O,O,X,O,O
TOSLZJI,O,O,O,X,O,O,O,O,X,O,O
TOSJILZ,O,X,O,X,O,X,X,X,X,X,X
TOSJIZL,O,O,O,X,O,X,X,O,X,X,X
TOSJLIZ,O,O,O,X,O,O,X,O,X,X,O
TOSJLZI,O,O,O,X,O,O,X,O,X,X,O
TOSJZIL,O,O,O,X,O,X,X,O,X,X,X
TOSJZLI,O,O,O,X,O,O,X,O,X,X,X
TOSZILJ,O,O,O,X,X,O,O,X,X,X,X
TOSZIJL,O,O,O,X,O,X,X,O,X,X,X
TOSZLIJ,O,O,O,X,O,O,O,O,X,O,O
TOSZLJI,O,O,O,X,O,O,O,O,X,O,O
TOSZJIL,O,O,O,X,O,X,X,O,X,X,X
TOSZJLI,O,O,O,X,O,O,O,O,X,O,X
TOZILJS,X,O,X,O,X,X,X,X,O,X,X
TOZILSJ,X,X,X,O,X,X,X,X,O,X,X
TOZIJLS,X,O,X,O,X,X,X,X,O,X,X
TOZIJSL,O,O,X,O,X,X,X,X,O,X,X
TOZISLJ,O,O,X,O,X,X,X,X,O,X,X
TOZISJL,O,O,X,O,X,X,X,X,O,X,X
TOZLIJS,O,O,X,O,O,X,X,X,O,X,X
TOZLISJ,O,X,X,O,O,O,X,X,O,X,X
TOZLJIS,O,O,X,X,O,X,X,X,O,X,X
TOZLJSI,O,O,X,X,O,X,X,X,O,X,X
TOZLSIJ,O,O,X,X,O,O,X,X,O,X,X
TOZLSJI,O,O,X,X,O,O,X,X,O,X,X
TOZJILS,X,O,X,X,X,X,X,X,O,X,X
TOZJISL,O,O,X,X,X,X,X,X,O,X,X
TOZJLIS,O,O,X,X,O,X,X,X,O,X,X
TOZJLSI,O,O,X,X,O,X,X,X,O,X,X
TOZJSIL,O,O,X,X,O,X,X,X,O,X,X
TOZJSLI,O,O,X,X,O,X,X,X,O,X,X
TOZSILJ,O,O,X,X,X,O,X,X,O,X,X
TOZSIJL,O,O,X,X,O,X,X,X,O,X,X
TOZSLIJ,O,O,X,X,O,O,X,X,O,X,X
TOZSLJI,O,O,X,X,O,O,X,X,O,X,X
TOZSJIL,O,O,X,X,O,X,X,X,O,X,X
TOZSJLI,O,O,X,X,O,O,X,X,O,X,X
ITLJSZO,O,O,O,O,X,X,O,O,X,O,X
ITLJSOZ,O,O,O,O,X,X,X,O,X,X,O
ITLJZSO,O,O,O,O,X,X,X,O,X,X,X
ITLJZOS,O,O,O,O,X,X,X,X,X,X,X
ITLJOSZ,O,O,O,O,O,X,X,O,X,X,X
ITLJOZS,O,X,O,O,O,X,X,X,X,X,X
ITLSJZO,O,O,O,O,X,X,O,O,X,O,X
ITLSJOZ,O,O,O,O,X,X,X,O,X,X,O
ITLSZJO,O,O,O,O,X,X,O,O,X,O,X
ITLSZOJ,O,O,O,O,X,X,O,O,X,O,O
ITLSOJZ,O,O,O,O,X,X,X,O,X,X,O
ITLSOZJ,O,O,O,O,X,X,O,O,X,O,O
ITLZJSO,O,O,X,O,X,X,X,O,X,X,X
ITLZJOS,O,O,X,O,X,X,X,X,X,X,X
ITLZSJO,O,O,X,O,X,X,O,O,X,O,X
ITLZSOJ,O,O,X,O,X,X,O,O,X,O,O
ITLZOJS,O,O,X,O,X,X,X,X,X,X,X
ITLZOSJ,O,X,X,O,X,X,X,X,X,X,X
ITLOJSZ,O,O,O,O,O,X,X,O,X,X,X
ITLOJZS,O,X,O,O,O,X,X,X,X,X,X
ITLOSJZ,O,O,O,O,O,X,X,O,X,X,O
ITLOSZJ,O,O,O,O,O,X,O,O,X,O,O
ITLOZJS,O,X,X,O,O,X,X,X,X,X,X
ITLOZSJ,O,X,X,O,O,X,X,X,X,X,X
ITJLSZO,O,O,O,O,X,X,X,O,X,X,X
ITJLSOZ,O,O,O,O,X,X,X,O,X,X,X
ITJLZSO,O,O,O,O,X,X,X,O,X,X,X
ITJLZOS,O,O,O,O,X,X,X,X,X,X,X
ITJLOSZ,O,O,O,O,O,X,X,O,X,X,X
ITJLOZS,O,X,O,O,O,X,X,X,X,X,X
ITJSLZO,O,O,O,O,X,X,X,O,X,X,X
ITJSLOZ,O,O,O,O,O,X,X,O,X,X,X
ITJSZLO,O,O,O,O,X,X,X,O,X,X,X
ITJSZOL,O,O,O,O,O,X,X,O,X,X,X
ITJSOLZ,O,X,O,O,O,X,X,X,X,X,X
ITJSOZL,O,O,O,O,O,X,X,O,X,X,X
ITJZLSO,O,O,O,O,X,X,X,O,X,X,X
ITJZLOS,O,O,O,O,X,X,X,X,X,X,X
ITJZSLO,O,O,O,O,X,X,X,O,X,X,X
ITJZSOL,O,O,O,O,X,X,X,O,X,X,X
ITJZOLS,X,O,O,O,X,X,X,X,X,X,X
ITJZOSL,O,O,O,O,X,X,X,X,X,X,X
ITJOLSZ,O,O,O,O,O,X,X,O,X,X,X
ITJOLZS,O,X,O,O,O,X,X,X,X,X,X
ITJOSLZ,O,X,O,O,O,X,X,X,X,X,X
ITJOSZL,O,O,O,O,O,X,X,O,X,X,X
ITJOZLS,X,O,O,O,X,X,X,X,X,X,X
ITJOZSL,O,O,O,O,X,X,X,X,X,X,X
ITSLJZO,O,O,O,O,X,X,O,O,X,O,X
ITSLJOZ,O,O,O,O,O,X,X,O,X,X,O
ITSLZJO,O,O,O,O,X,X,O,O,X,O,X
ITSLZOJ,O,O,O,O,X,X,O,O,X,O,O
ITSLOJZ,O,O,O,O,X,X,X,O,X,X,O
ITSLOZJ,O,O,O,O,X,X,O,O,X,O,O
ITSJLZO,O,O,O,O,X,X,X,O,X,X,X
ITSJLOZ,O,O,O,O,O,X,X,O,X,X,X
ITSJZLO,O,O,O,O,X,X,X,O,X,X,X
ITSJZOL,O,O,O,O,O,X,X,O,X,X,X
ITSJOLZ,O,X,O,O,O,X,X,X,X,X,X
ITSJOZL,O,O,O,O,O,X,X,O,X,X,X
ITSZLJO,O,O,O,O,X,X,O,O,X,O,X
ITSZLOJ,O,O,O,O,X,X,O,O,X,O,X
ITSZJLO,O,O,O,O,X,X,X,O,X,O,X
ITSZJOL,O,O,O,O,O,X,X,O,X,X,X
ITSZOLJ,O,O,O,O,X,X,O,X,X,X,X
ITSZOJL,O,O,O,O,X,X,X,O,X,X,X
ITSOLJZ,O,X,O,O,O,X,X,X,X,X,O
ITSOLZJ,O,X,O,O,O,X,X,X,X,X,O
ITSOJLZ,O,X,O,O,O,X,X,X,X,X,X
ITSOJZL,O,O,O,O,O,X,X,O,X,X,X
ITSOZLJ,O,O,O,O,X,X,X,X,X,X,X
ITSOZJL,O,O,O,O,O,X,X,O,X,X,X
ITZLJSO,O,O,X,O,X,X,X,O,X,X,X
ITZLJOS,O,O,X,O,X,X,X,X,X,X,X
ITZLSJO,O,O,X,O,X,X,X,O,X,X,X
ITZLSOJ,O,O,X,O,X,X,X,O,X,X,X
ITZLOJS,O,O,X,O,X,X,X,X,X,X,X
ITZLOSJ,O,X,X,O,X,X,X,X,X,X,X
ITZJLSO,O,O,X,O,X,X,X,O,X,X,X
ITZJLOS,O,O,X,O,X,X,X,X,X,X,X
ITZJSLO,O,O,X,O,X,X,X,O,X,X,X
ITZJSOL,O,O,X,O,X,X,X,O,X,X,X
ITZJOLS,X,O,X,O,X,X,X,X,X,X,X
ITZJOSL,O,O,X,O,X,X,X,X,X,X,X
ITZSLJO,O,O,X,O,X,X,X,O,X,X,X
ITZSLOJ,X,O,X,O,X,X,X,X,X,X,X
ITZSJLO,O,O,X,O,X,X,X,O,X,X,X
ITZSJOL,O,O,X,O,X,X,X,O,X,X,X
ITZSOLJ,X,O,X,O,X,X,X,X,X,X,X
ITZSOJL,O,O,X,O,X,X,X,O,X,X,X
ITZOLJS,X,O,X,O,X,X,X,X,X,X,X
ITZOLSJ,X,X,X,O,X,X,X,X,X,X,X
ITZOJLS,X,O,X,O,X,X,X,X,X,X,X
ITZOJSL,O,O,X,O,X,X,X,X,X,X,X
ITZOSLJ,O,O,X,O,X,X,X,X,X,X,X
ITZOSJL,O,O,X,O,X,X,X,X,X,X,X
ITOLJSZ,O,O,O,O,O,X,X,O,X,X,X
ITOLJZS,O,X,O,O,O,X,X,X,X,X,X
ITOLSJZ,O,O,O,O,O,X,X,O,X,X,X
ITOLSZJ,O,O,O,O,O,X,X,O,X,X,X
ITOLZJS,O,X,X,O,O,X,X,X,X,X,X
ITOLZSJ,O,X,X,O,O,X,X,X,X,X,X
ITOJLSZ,O,O,O,O,O,X,X,O,X,X,X
ITOJLZS,O,X,O,O,O,X,X,X,X,X,X
ITOJSLZ,O,X,O,O,O,X,X,X,X,X,X
ITOJSZL,O,O,O,O,O,X,X,O,X,X,X
ITOJZLS,X,O,O,O,X,X,X,X,X,X,X
ITOJZSL,O,O,O,O,X,X,X,X,X,X,X
ITOSLJZ,O,X,O,O,O,X,X,X,X,X,X
ITOSLZJ,O,X,O,O,O,X,X,X,X,X,X
ITOSJLZ,O,X,O,O,O,X,X,X,X,X,X
ITOSJZL,O,O,O,O,O,X,X,O,X,X,X
ITOSZLJ,O,O,O,O,X,X,X,X,X,X,X
ITOSZJL,O,O,O,O,O,X,X,O,X,X,X
ITOZLJS,X,O,X,O,X,X,X,X,X,X,X
ITOZLSJ,X,X,X,O,X,X,X,X,X,X,X
ITOZJLS,X,O,X,O,X,X,X,X,X,X,X
ITOZJSL,O,O,X,O,X,X,X,X,X,X,X
ITOZSLJ,O,X,X,O,X,X,X,X,X,X,X
ITOZSJL,O,O,X,O,X,X,X,X,X,X,X
ILTJSZO,O,O,O,O,X,X,O,O,X,O,X
ILTJSOZ,O,O,O,O,X,X,X,O,X,X,O
ILTJZSO,O,O,O,O,X,X,X,O,X,X,X
ILTJZOS,O,X,O,O,X,X,X,X,X,X,X
ILTJOSZ,O,O,O,O,O,X,X,O,X,X,X
ILTJOZS,O,X,O,O,O,X,X,X,X,X,X
ILTSJZO,O,O,O,O,X,X,O,O,X,O,X
ILTSJOZ,O,O,O,O,X,X,X,O,X,X,O
ILTSZJO,O,O,O,O,X,X,O,O,X,O,X
ILTSZOJ,O,O,O,O,X,X,O,O,X,O,O
ILTSOJZ,O,O,O,O,X,O,X,O,X,X,O
ILTSOZJ,O,O,O,O,X,O,O,O,X,O,O
ILTZJSO,O,O,X,O,X,X,X,O,X,X,X
ILTZJOS,O,X,X,O,X,X,X,X,X,X,X
ILTZSJO,O,O,X,O,X,X,O,O,X,O,X
ILTZSOJ,O,O,X,O,X,X,O,O,X,O,O
ILTZOJS,O,X,X,O,X,X,X,X,X,X,X
ILTZOSJ,O,X,X,O,X,O,O,X,X,X,X
ILTOJSZ,O,O,O,O,O,X,X,O,X,X,X
ILTOJZS,O,X,O,O,O,X,X,X,X,X,X
ILTOSJZ,O,O,O,O,O,O,X,O,X,X,O
ILTOSZJ,O,O,O,O,O,O,O,O,X,O,O
ILTOZJS,O,X,X,O,O,X,X,X,X,X,X
ILTOZSJ,O,X,X,O,O,O,X,X,X,X,X
ILJTSZO,O,O,O,O,X,X,O,X,X,O,X
ILJTSOZ,O,O,O,O,X,X,X,X,X,X,O
ILJTZSO,O,O,O,O,X,X,X,X,X,X,X
ILJTZOS,O,X,O,O,X,X,X,X,X,X,X
ILJTOSZ,O,O,O,O,X,X,X,X,X,X,X
ILJTOZS,O,X,O,O,X,X,X,X,X,X,X
ILJSTZO,O,O,O,O,X,X,O,X,X,O,X
ILJSTOZ,O,O,O,O,X,X,X,X,X,X,O
ILJSZTO,O,O,O,O,X,X,O,O,X,O,X
