sequence,v115@HhB8HeA8HeG8BeB8Jex/IvhFcnBTjBVqBGmBimB3sB,v115@HhB8HeA8HeG8BeB8Jex/IvhF3iBcoBVqBGmBimBTsB,v115@HhB8HeA8HeG8BeB8Jex/IvhF0hBSoBXlBVrBmnBTsB,v115@HhB8HeA8HeG8BeB8Jex/IvhF2mBliBcoBXlBSrBTsB,v115@HhB8HeA8HeG8BeB8Je/FJvhFamBumBxnB0kBFoBTsB,v115@HhB8HeA8HeG8BeB8JeRCJvhFSoBmlBzmB0kBllB3sB,v115@HhB8HeA8HeG8BeB8JeRCJvhFcoBmlBCnBlkB3lBTsB,v115@HhB8HeA8HeG8BeB8JeqGJvhFllBxnB0kBmlBXoBTsB
TZJOSLI,O,O,X,X,X,X,X,X
TZSILJO,O,O,O,X,X,X,X,X
TZSILOJ,O,X,O,X,X,X,X,X
TZSIJLO,O,O,O,X,X,X,X,X
TZSIJOL,O,O,X,X,X,X,X,X
TZSIOLJ,O,O,O,O,X,X,X,X
TZSIOJL,O,O,O,O,X,X,X,X
TZSLIJO,O,O,O,X,X,X,X,X
TZSLIOJ,O,X,O,X,X,X,X,X
TZSLJIO,O,O,O,X,X,X,X,X
TZSLJOI,O,O,O,X,X,X,X,X
TZSLOIJ,O,X,O,X,X,X,X,X
TZSLOJI,O,X,O,X,X,X,X,X
TZSJILO,O,O,O,X,X,X,X,X
TZSJIOL,O,O,X,X,X,X,X,X
TZSJLIO,O,O,O,X,X,X,X,X
TZSJLOI,O,O,O,X,X,X,X,X
TZSJOIL,O,O,X,X,X,X,X,X
TZSJOLI,O,O,X,X,X,X,X,X
TZSOILJ,O,O,O,O,X,X,X,X
TZSOIJL,O,O,O,O,X,X,X,X
TZSOLIJ,O,O,O,O,X,X,X,X
TZSOLJI,O,O,O,O,X,X,X,X
TZSOJIL,O,O,O,O,X,X,X,X
TZSOJLI,O,O,O,O,X,X,X,X
TZOILJS,X,O,X,X,X,X,O,X
TZOILSJ,X,O,O,O,X,X,X,X
TZOIJLS,X,O,X,X,X,X,X,X
TZOIJSL,O,O,X,O,X,X,X,X
TZOISLJ,O,O,O,O,X,X,X,X
TZOISJL,O,O,O,O,X,X,X,X
TZOLIJS,X,O,X,X,X,X,O,X
TZOLISJ,X,O,O,O,X,X,X,X
TZOLJIS,X,O,X,X,X,X,O,X
TZOLJSI,X,O,O,O,X,X,O,X
TZOLSIJ,X,O,O,O,X,X,X,X
TZOLSJI,X,O,O,O,X,X,X,X
TZOJILS,X,O,X,X,X,X,X,X
TZOJISL,O,O,X,O,X,X,X,X
TZOJLIS,X,O,X,X,X,X,O,X
TZOJLSI,X,O,O,O,X,X,O,X
TZOJSIL,O,O,O,O,X,X,X,X
TZOJSLI,O,O,O,O,X,X,X,X
TZOSILJ,O,O,O,O,X,X,X,X
TZOSIJL,O,O,O,O,X,X,X,X
TZOSLIJ,O,O,O,O,X,X,X,X
TZOSLJI,O,O,O,O,X,X,X,X
TZOSJIL,O,O,O,O,X,X,X,X
TZOSJLI,O,O,O,O,X,X,X,X
TOILJSZ,O,X,X,X,O,O,X,O
TOILJZS,X,O,X,X,X,O,X,O
TOILSJZ,O,X,O,X,O,X,X,O
TOILSZJ,O,X,O,X,X,X,X,O
TOILZJS,X,O,X,X,X,X,X,O
TOILZSJ,X,O,O,X,X,X,X,O
TOIJLSZ,O,X,X,X,O,O,X,X
TOIJLZS,X,O,X,X,X,O,X,X
TOIJSLZ,O,X,X,X,O,X,X,X
TOIJSZL,O,O,X,X,X,X,X,X
TOIJZLS,X,O,X,X,X,X,X,X
TOIJZSL,O,O,X,X,X,X,X,X
TOISLJZ,O,X,O,X,O,X,X,X
TOISLZJ,O,X,O,X,X,X,X,X
TOISJLZ,O,X,O,X,O,X,X,X
TOISJZL,O,O,O,O,X,X,X,X
TOISZLJ,O,O,O,O,X,X,X,X
TOISZJL,O,O,O,O,X,X,X,X
TOIZLJS,X,O,X,X,X,X,X,X
TOIZLSJ,X,O,O,O,X,X,X,X
TOIZJLS,X,O,X,X,X,X,X,X
TOIZJSL,O,O,X,O,X,X,X,X
TOIZSLJ,O,O,O,O,X,X,X,X
TOIZSJL,O,O,O,O,X,X,X,X
TOLIJSZ,O,X,X,X,O,O,X,O
TOLIJZS,X,O,X,X,X,O,X,O
TOLISJZ,O,X,O,X,O,X,X,O
TOLISZJ,O,X,O,X,X,X,X,O
TOLIZJS,X,O,X,X,X,X,X,O
TOLIZSJ,X,O,O,X,X,X,X,O
TOLJISZ,O,X,X,X,O,O,X,X
TOLJIZS,X,O,X,X,X,O,X,X
TOLJSIZ,O,X,O,X,O,O,X,X
TOLJSZI,O,X,O,X,X,O,X,X
TOLJZIS,X,O,X,X,X,O,O,X
TOLJZSI,X,O,O,X,X,O,O,X
TOLSIJZ,O,X,O,X,O,X,X,X
TOLSIZJ,O,X,O,X,X,X,X,X
TOLSJIZ,O,X,O,X,O,X,X,X
TOLSJZI,O,X,O,X,X,X,X,X
TOLSZIJ,O,X,O,X,X,X,X,X
TOLSZJI,O,X,O,X,X,X,X,X
TOLZIJS,X,O,X,X,X,X,O,X
TOLZISJ,X,O,O,X,X,X,X,X
TOLZJIS,X,O,X,X,X,X,O,X
TOLZJSI,X,O,O,X,X,X,O,X
TOLZSIJ,X,O,O,X,X,X,X,X
TOLZSJI,X,O,O,X,X,X,X,X
TOJILSZ,O,X,X,X,O,O,X,X
TOJILZS,X,O,X,X,X,O,X,X
TOJISLZ,O,X,X,X,O,X,X,X
TOJISZL,O,O,X,X,X,X,X,X
TOJIZLS,X,O,X,X,X,X,X,X
TOJIZSL,O,O,X,X,X,X,X,X
TOJLISZ,O,X,X,X,O,O,X,X
TOJLIZS,X,O,X,X,X,O,X,X
TOJLSIZ,O,X,O,X,O,O,X,X
TOJLSZI,O,X,O,X,X,O,X,X
TOJLZIS,X,O,X,X,X,O,O,X
TOJLZSI,X,O,O,X,X,O,O,X
TOJSILZ,O,X,O,X,O,X,X,X
TOJSIZL,O,O,O,O,X,X,X,X
TOJSLIZ,O,X,O,X,O,X,X,X
TOJSLZI,O,X,O,X,X,X,X,X
TOJSZIL,O,O,O,O,X,X,X,X
TOJSZLI,O,O,O,O,X,X,X,X
TOJZILS,X,O,X,X,X,X,X,X
TOJZISL,O,O,X,O,X,X,X,X
TOJZLIS,X,O,X,X,X,X,O,X
TOJZLSI,X,O,O,O,X,X,O,X
TOJZSIL,O,O,O,O,X,X,X,X
TOJZSLI,O,O,O,O,X,X,X,X
TOSILJZ,O,X,O,X,O,X,X,X
TOSILZJ,O,X,O,X,X,X,X,X
TOSIJLZ,O,X,O,X,O,X,X,X
TOSIJZL,O,O,O,O,X,X,X,X
TOSIZLJ,O,O,O,O,X,X,X,X
TOSIZJL,O,O,O,O,X,X,X,X
TOSLIJZ,O,X,O,X,O,X,X,X
TOSLIZJ,O,X,O,X,X,X,X,X
TOSLJIZ,O,X,O,X,O,X,X,X
TOSLJZI,O,X,O,X,X,X,X,X
TOSLZIJ,O,X,O,X,X,X,X,X
TOSLZJI,O,X,O,X,X,X,X,X
TOSJILZ,O,X,O,X,O,X,X,X
TOSJIZL,O,O,O,O,X,X,X,X
TOSJLIZ,O,X,O,X,O,X,X,X
TOSJLZI,O,X,O,X,X,X,X,X
TOSJZIL,O,O,O,O,X,X,X,X
TOSJZLI,O,O,O,O,X,X,X,X
TOSZILJ,O,O,O,O,X,X,X,X
TOSZIJL,O,O,O,O,X,X,X,X
TOSZLIJ,O,O,O,O,X,X,X,X
TOSZLJI,O,O,O,O,X,X,X,X
TOSZJIL,O,O,O,O,X,X,X,X
TOSZJLI,O,O,O,O,X,X,X,X
TOZILJS,X,O,X,X,X,X,O,X
TOZILSJ,X,O,O,O,X,X,X,X
TOZIJLS,X,O,X,X,X,X,X,X
TOZIJSL,O,O,X,O,X,X,X,X
TOZISLJ,O,O,O,O,X,X,X,X
TOZISJL,O,O,O,O,X,X,X,X
TOZLIJS,X,O,X,X,X,X,O,X
TOZLISJ,X,O,O,O,X,X,X,X
TOZLJIS,X,O,X,X,X,X,O,X
TOZLJSI,X,O,O,O,X,X,O,X
TOZLSIJ,X,O,O,O,X,X,X,X
TOZLSJI,X,O,O,O,X,X,X,X
TOZJILS,X,O,X,X,X,X,X,X
TOZJISL,O,O,X,O,X,X,X,X
TOZJLIS,X,O,X,X,X,X,O,X
TOZJLSI,X,O,O,O,X,X,O,X
TOZJSIL,O,O,O,O,X,X,X,X
TOZJSLI,O,O,O,O,X,X,X,X
TOZSILJ,O,O,O,O,X,X,X,X
TOZSIJL,O,O,O,O,X,X,X,X
TOZSLIJ,O,O,O,O,X,X,X,X
TOZSLJI,O,O,O,O,X,X,X,X
TOZSJIL,O,O,O,O,X,X,X,X
TOZSJLI,O,O,O,O,X,X,X,X
ITLJSZO,O,X,X,X,O,X,X,O
ITLJSOZ,O,X,X,X,O,X,X,O
ITLJZSO,X,O,X,X,X,X,X,O
ITLJZOS,X,O,X,X,X,X,X,O
ITLJOSZ,O,X,X,X,X,X,X,O
ITLJOZS,X,O,X,X,X,X,X,O
ITLSJZO,O,X,O,X,O,X,X,O
ITLSJOZ,O,X,X,X,O,X,X,O
ITLSZJO,O,X,O,X,X,X,X,O
ITLSZOJ,O,X,O,X,X,X,X,O
ITLSOJZ,O,X,X,X,X,X,X,O
ITLSOZJ,O,X,O,X,X,X,X,O
ITLZJSO,X,O,X,X,X,X,X,O
ITLZJOS,X,O,X,X,X,X,X,O
ITLZSJO,X,O,O,X,X,X,X,O
ITLZSOJ,X,X,O,X,X,X,X,O
ITLZOJS,X,O,X,X,X,X,X,O
ITLZOSJ,X,O,X,X,X,X,X,O
ITLOJSZ,O,X,X,X,X,X,X,O
ITLOJZS,X,O,X,X,X,X,X,O
ITLOSJZ,O,X,X,X,X,X,X,O
ITLOSZJ,O,X,X,X,X,X,X,O
ITLOZJS,X,O,X,X,X,X,X,O
ITLOZSJ,X,O,X,X,X,X,X,O
ITJLSZO,O,X,X,X,O,X,X,O
ITJLSOZ,O,X,X,X,O,X,X,O
ITJLZSO,X,O,X,X,X,X,X,O
ITJLZOS,X,O,X,X,X,X,X,O
ITJLOSZ,O,X,X,X,X,X,X,O
ITJLOZS,X,O,X,X,X,X,X,O
ITJSLZO,O,X,X,X,O,X,X,X
ITJSLOZ,O,X,X,X,O,X,X,X
ITJSZLO,O,O,X,X,X,X,X,X
ITJSZOL,O,O,X,X,X,X,X,X
ITJSOLZ,O,X,X,X,X,X,X,X
ITJSOZL,O,O,X,X,X,X,X,X
ITJZLSO,X,O,X,X,X,X,X,X
ITJZLOS,X,O,X,X,X,X,X,X
ITJZSLO,O,O,X,X,X,X,X,X
ITJZSOL,O,O,X,X,X,X,X,X
ITJZOLS,X,O,X,X,X,X,X,X
ITJZOSL,O,O,X,X,X,X,X,X
ITJOLSZ,O,X,X,X,X,X,X,X
ITJOLZS,X,O,X,X,X,X,X,X
ITJOSLZ,O,X,X,X,X,X,X,X
ITJOSZL,O,O,X,X,X,X,X,X
ITJOZLS,X,O,X,X,X,X,X,X
ITJOZSL,O,O,X,X,X,X,X,X
ITSLJZO,O,X,O,X,O,X,X,O
ITSLJOZ,O,X,X,X,O,X,X,O
ITSLZJO,O,X,O,X,X,X,X,O
ITSLZOJ,O,X,O,X,X,X,X,O
ITSLOJZ,O,X,O,X,X,X,X,O
ITSLOZJ,O,X,O,X,X,X,X,O
ITSJLZO,O,X,O,X,O,X,X,X
ITSJLOZ,O,X,X,X,O,X,X,X
ITSJZLO,O,O,O,X,X,X,X,X
ITSJZOL,O,O,X,X,X,X,X,X
ITSJOLZ,O,X,O,X,X,X,X,X
ITSJOZL,O,O,O,X,X,X,X,X
ITSZLJO,O,O,O,X,X,X,X,X
ITSZLOJ,O,X,O,X,X,X,X,X
ITSZJLO,O,O,O,X,X,X,X,X
ITSZJOL,O,O,X,X,X,X,X,X
ITSZOLJ,O,O,O,O,X,X,X,X
ITSZOJL,O,O,O,O,X,X,X,X
ITSOLJZ,O,X,O,X,X,X,X,X
ITSOLZJ,O,X,O,X,X,X,X,X
ITSOJLZ,O,X,O,X,X,X,X,X
ITSOJZL,O,O,O,O,X,X,X,X
ITSOZLJ,O,O,O,O,X,X,X,X
ITSOZJL,O,O,O,O,X,X,X,X
ITZLJSO,X,O,X,X,X,X,X,O
ITZLJOS,X,O,X,X,X,X,X,O
ITZLSJO,X,O,O,X,X,X,X,O
ITZLSOJ,X,X,O,X,X,X,X,O
ITZLOJS,X,O,X,X,X,X,X,O
ITZLOSJ,X,O,X,X,X,X,X,O
ITZJLSO,X,O,X,X,X,X,X,X
ITZJLOS,X,O,X,X,X,X,X,X
ITZJSLO,O,O,X,X,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X,X
ITZJOLS,X,O,X,X,X,X,X,X
ITZJOSL,O,O,X,X,X,X,X,X
ITZSLJO,O,O,O,X,X,X,X,X
ITZSLOJ,O,X,O,X,X,X,X,X
ITZSJLO,O,O,O,X,X,X,X,X
ITZSJOL,O,O,X,X,X,X,X,X
ITZSOLJ,O,O,O,O,X,X,X,X
ITZSOJL,O,O,X,O,X,X,X,X
ITZOLJS,X,O,X,X,X,X,X,X
ITZOLSJ,X,O,X,O,X,X,X,X
ITZOJLS,X,O,X,X,X,X,X,X
ITZOJSL,O,O,X,O,X,X,X,X
ITZOSLJ,O,O,X,O,X,X,X,X
ITZOSJL,O,O,X,O,X,X,X,X
ITOLJSZ,O,X,X,X,X,X,X,O
ITOLJZS,X,O,X,X,X,X,X,O
ITOLSJZ,O,X,O,X,X,X,X,O
ITOLSZJ,O,X,O,X,X,X,X,O
ITOLZJS,X,O,X,X,X,X,X,O
ITOLZSJ,X,O,O,X,X,X,X,O
ITOJLSZ,O,X,X,X,X,X,X,X
ITOJLZS,X,O,X,X,X,X,X,X
ITOJSLZ,O,X,X,X,X,X,X,X
ITOJSZL,O,O,X,X,X,X,X,X
ITOJZLS,X,O,X,X,X,X,X,X
ITOJZSL,O,O,X,X,X,X,X,X
ITOSLJZ,O,X,O,X,X,X,X,X
ITOSLZJ,O,X,O,X,X,X,X,X
ITOSJLZ,O,X,O,X,X,X,X,X
ITOSJZL,O,O,O,O,X,X,X,X
ITOSZLJ,O,O,O,O,X,X,X,X
ITOSZJL,O,O,O,O,X,X,X,X
ITOZLJS,X,O,X,X,X,X,X,X
ITOZLSJ,X,O,O,O,X,X,X,X
ITOZJLS,X,O,X,X,X,X,X,X
ITOZJSL,O,O,X,O,X,X,X,X
ITOZSLJ,O,O,O,O,X,X,X,X
ITOZSJL,O,O,O,O,X,X,X,X
ILTJSZO,O,X,X,X,O,X,X,O
ILTJSOZ,O,X,X,X,O,X,X,O
ILTJZSO,X,O,X,X,X,X,X,O
ILTJZOS,X,O,X,X,X,X,X,O
ILTJOSZ,O,X,X,X,X,X,X,O
ILTJOZS,X,O,X,X,X,X,X,O
ILTSJZO,O,X,O,X,O,X,X,O
ILTSJOZ,O,X,X,X,O,X,X,O
ILTSZJO,O,X,O,X,X,X,X,O
ILTSZOJ,O,X,O,X,X,X,X,O
ILTSOJZ,O,X,X,X,X,O,X,O
ILTSOZJ,O,X,O,X,X,X,X,O
ILTZJSO,X,O,X,X,X,X,X,O
ILTZJOS,X,O,X,X,X,X,X,O
ILTZSJO,X,O,O,X,X,X,X,O
ILTZSOJ,X,X,O,X,X,X,X,O
ILTZOJS,X,O,X,X,X,X,X,O
ILTZOSJ,X,O,X,X,X,X,X,O
ILTOJSZ,O,X,X,X,X,O,X,O
ILTOJZS,X,O,X,X,X,O,X,O
ILTOSJZ,O,X,X,X,X,X,X,O
ILTOSZJ,O,X,X,X,X,X,X,O
ILTOZJS,X,O,X,X,X,X,X,O
ILTOZSJ,X,O,X,X,X,X,X,O
ILJTSZO,X,X,X,X,O,X,X,O
ILJTSOZ,X,X,X,X,O,X,X,O
ILJTZSO,X,X,X,X,X,X,X,O
ILJTZOS,X,X,X,X,X,X,X,O
ILJTOSZ,X,X,X,X,X,X,X,O
ILJTOZS,X,X,X,X,X,X,X,O
ILJSTZO,X,X,O,X,O,X,X,X
ILJSTOZ,X,X,X,X,O,X,X,X
ILJSZTO,X,X,X,X,O,X,X,X
ILJSZOT,X,X,X,X,O,X,X,X
ILJSOTZ,X,X,X,X,O,O,X,X
ILJSOZT,X,X,X,X,O,O,X,X
ILJZTSO,X,X,X,X,X,X,O,X
ILJZTOS,X,X,X,X,X,X,O,X
ILJZSTO,X,X,X,X,O,X,O,X
ILJZSOT,X,X,X,X,O,X,O,X
ILJZOTS,X,X,X,X,X,X,O,X
ILJZOST,X,X,X,X,X,X,O,X
ILJOTSZ,X,X,X,X,O,O,X,X
ILJOTZS,X,X,X,X,X,O,X,X
ILJOSTZ,X,X,X,X,O,O,X,X
ILJOSZT,X,X,X,X,O,O,X,X
ILJOZTS,X,X,X,X,X,O,X,X
ILJOZST,X,X,X,X,O,O,X,X
ILSTJZO,O,X,O,X,O,X,X,O
ILSTJOZ,O,X,X,X,O,X,X,O
ILSTZJO,O,X,O,X,X,X,X,O
ILSTZOJ,O,X,O,X,X,X,X,O
ILSTOJZ,O,X,O,X,X,O,X,O
ILSTOZJ,O,X,O,X,X,X,X,O
ILSJTZO,X,X,O,X,O,X,X,X
ILSJTOZ,X,X,X,X,O,X,X,X
ILSJZTO,X,X,X,X,O,X,X,X
ILSJZOT,X,X,X,X,O,X,X,X
ILSJOTZ,X,X,X,X,O,O,X,X
ILSJOZT,X,X,X,X,O,O,X,X
ILSZTJO,O,X,O,X,X,X,X,X
ILSZTOJ,O,X,O,X,X,X,X,X
ILSZJTO,X,X,X,X,O,X,X,X
ILSZJOT,X,X,X,X,O,X,X,X
ILSZOTJ,O,X,X,O,X,X,X,X
ILSZOJT,X,X,X,O,X,O,X,X
ILSOTJZ,O,X,X,X,O,O,X,X
ILSOTZJ,O,X,O,X,X,X,X,X
ILSOJTZ,X,X,X,X,O,O,X,X
ILSOJZT,X,X,X,O,O,O,X,X
ILSOZTJ,O,X,X,O,X,X,X,X
ILSOZJT,X,X,X,O,O,O,X,X
ILZTJSO,X,O,X,X,X,X,O,O
ILZTJOS,X,O,X,X,X,X,O,O
ILZTSJO,X,O,X,X,X,X,X,O
ILZTSOJ,X,X,X,X,X,X,X,O
ILZTOJS,X,O,X,X,X,X,X,O
ILZTOSJ,X,O,X,X,X,X,X,O
ILZJTSO,X,X,X,X,X,X,O,X
ILZJTOS,X,X,X,X,X,X,O,X
ILZJSTO,X,X,X,X,O,X,O,X
ILZJSOT,X,X,X,X,O,X,O,X
ILZJOTS,X,X,X,X,X,X,O,X
ILZJOST,X,X,X,X,X,X,O,X
ILZSTJO,X,O,O,X,X,X,X,X
ILZSTOJ,X,X,O,X,X,X,X,X
ILZSJTO,X,X,X,X,O,X,O,X
ILZSJOT,X,X,X,X,O,X,O,X
ILZSOTJ,X,X,X,O,X,X,X,X
ILZSOJT,X,X,X,O,X,O,X,X
ILZOTJS,X,O,X,X,X,X,X,X
ILZOTSJ,X,O,X,O,X,X,X,X
ILZOJTS,X,X,X,X,X,O,O,X
ILZOJST,X,X,X,X,X,O,O,X
ILZOSTJ,X,O,X,O,X,X,X,X
ILZOSJT,X,X,X,O,X,X,X,X
ILOTJSZ,O,X,X,X,O,O,X,O
ILOTJZS,X,O,X,X,X,O,X,O
ILOTSJZ,O,X,X,X,O,X,X,O
ILOTSZJ,O,X,X,X,X,X,X,O
ILOTZJS,X,O,X,X,X,X,X,O
ILOTZSJ,X,O,X,X,X,X,X,O
ILOJTSZ,X,X,X,X,O,O,X,X
ILOJTZS,X,X,X,X,X,O,X,X
ILOJSTZ,X,X,X,X,O,O,X,X
ILOJSZT,X,X,X,X,O,O,X,X
ILOJZTS,X,X,X,X,X,O,X,X
ILOJZST,X,X,X,X,O,O,X,X
ILOSTJZ,O,X,X,X,O,O,X,X
ILOSTZJ,O,X,O,X,X,X,X,X
ILOSJTZ,X,X,X,X,O,O,X,X
ILOSJZT,X,X,X,O,O,O,X,X
ILOSZTJ,O,X,X,O,X,X,X,X
ILOSZJT,X,X,X,O,O,O,X,X
ILOZTJS,X,O,X,X,X,X,X,X
ILOZTSJ,X,O,X,O,X,X,X,X
ILOZJTS,X,X,X,X,X,O,X,X
ILOZJST,X,X,X,X,O,O,X,X
ILOZSTJ,X,O,X,O,X,X,X,X
ILOZSJT,X,X,X,O,O,X,X,X
IJTLSZO,O,X,X,X,O,X,X,O
IJTLSOZ,O,X,X,X,O,X,X,O
IJTLZSO,X,O,X,X,X,X,X,O
IJTLZOS,X,O,X,X,X,X,X,O
IJTLOSZ,O,X,X,X,X,X,X,O
IJTLOZS,X,O,X,X,X,X,X,O
IJTSLZO,O,X,X,X,O,X,X,X
IJTSLOZ,O,X,X,X,O,X,X,X
IJTSZLO,O,O,X,X,X,X,X,X
IJTSZOL,O,O,X,X,X,X,X,X
IJTSOLZ,O,X,X,X,X,X,X,X
IJTSOZL,O,O,X,X,X,X,X,X
IJTZLSO,X,O,X,X,X,X,X,X
IJTZLOS,X,O,X,X,X,X,X,X
IJTZSLO,O,O,X,X,X,X,X,X
IJTZSOL,O,O,X,X,X,X,X,X
IJTZOLS,X,O,X,X,X,X,X,X
IJTZOSL,O,O,X,X,X,X,X,X
IJTOLSZ,O,X,X,X,X,X,X,X
IJTOLZS,X,O,X,X,X,X,X,X
IJTOSLZ,O,X,X,X,X,X,X,X
IJTOSZL,O,O,X,X,X,X,X,X
IJTOZLS,X,O,X,X,X,X,X,X
IJTOZSL,O,O,X,X,X,X,X,X
IJLTSZO,X,X,X,X,O,X,X,O
IJLTSOZ,X,X,X,X,O,X,X,O
IJLTZSO,X,X,X,X,X,X,X,O
IJLTZOS,X,X,X,X,X,X,X,O
IJLTOSZ,X,X,X,X,X,X,X,O
IJLTOZS,X,X,X,X,X,X,X,O
IJLSTZO,X,X,O,X,O,X,X,X
IJLSTOZ,X,X,X,X,O,X,X,X
IJLSZTO,X,X,X,X,O,X,X,X
IJLSZOT,X,X,X,X,O,X,X,X
IJLSOTZ,X,X,X,X,O,O,X,X
IJLSOZT,X,X,X,X,O,O,X,X
IJLZTSO,X,X,X,X,X,X,O,X
IJLZTOS,X,X,X,X,X,X,O,X
IJLZSTO,X,X,X,X,O,X,O,X
IJLZSOT,X,X,X,X,O,X,O,X
IJLZOTS,X,X,X,X,X,X,O,X
IJLZOST,X,X,X,X,X,X,O,X
IJLOTSZ,X,X,X,X,O,O,X,X
IJLOTZS,X,X,X,X,X,O,X,X
IJLOSTZ,X,X,X,X,O,O,X,X
IJLOSZT,X,X,X,X,O,O,X,X
IJLOZTS,X,X,X,X,X,O,X,X
IJLOZST,X,X,X,X,O,O,X,X
IJSTLZO,O,X,O,X,O,X,X,X
IJSTLOZ,O,X,X,X,O,X,X,X
IJSTZLO,O,X,O,X,X,X,X,X
IJSTZOL,O,X,X,X,X,X,X,X
IJSTOLZ,O,X,O,X,X,X,X,X
IJSTOZL,O,X,O,X,X,X,X,X
IJSLTZO,X,X,O,X,O,X,X,X
IJSLTOZ,X,X,X,X,O,X,X,X
IJSLZTO,X,X,X,X,O,X,X,X
IJSLZOT,X,X,X,X,O,X,X,X
IJSLOTZ,X,X,X,X,O,O,X,X
IJSLOZT,X,X,X,X,O,O,X,X
IJSZTLO,O,X,X,X,X,X,X,X
IJSZTOL,O,X,X,X,X,X,X,X
IJSZLTO,X,X,X,X,O,X,X,X
IJSZLOT,X,X,X,X,O,X,X,X
IJSZOTL,O,X,X,O,X,X,X,X
IJSZOLT,X,X,X,O,X,X,X,X
IJSOTLZ,O,X,X,X,O,O,X,X
IJSOTZL,O,X,X,O,X,X,X,X
IJSOLTZ,X,X,X,X,O,O,X,X
IJSOLZT,X,X,X,O,O,O,X,X
IJSOZTL,O,X,X,O,X,X,X,X
IJSOZLT,X,X,X,O,O,O,X,X
IJZTLSO,X,O,X,X,X,X,X,X
IJZTLOS,X,O,X,X,X,X,X,X
IJZTSLO,X,O,X,X,X,X,X,X
IJZTSOL,X,O,X,X,X,X,X,X
IJZTOLS,X,O,X,X,X,X,X,X
IJZTOSL,X,O,X,X,X,X,X,X
IJZLTSO,X,X,X,X,X,X,O,X
IJZLTOS,X,X,X,X,X,X,O,X
IJZLSTO,X,X,X,X,O,X,O,X
IJZLSOT,X,X,X,X,O,X,O,X
IJZLOTS,X,X,X,X,X,X,O,X
IJZLOST,X,X,X,X,X,X,O,X
IJZSTLO,X,O,X,X,X,X,X,X
IJZSTOL,X,O,X,X,X,X,X,X
IJZSLTO,X,X,X,X,O,X,X,X
IJZSLOT,X,X,X,X,O,X,X,X
IJZSOTL,X,X,X,O,X,X,X,X
IJZSOLT,X,X,X,O,X,X,X,X
IJZOTLS,X,O,X,X,X,X,X,X
IJZOTSL,X,O,X,O,X,X,X,X
IJZOLTS,X,X,X,X,X,X,O,X
IJZOLST,X,X,X,X,X,X,O,X
IJZOSTL,X,O,X,O,X,X,X,X
IJZOSLT,X,X,X,O,X,X,X,X
IJOTLSZ,O,X,X,X,O,O,X,X
IJOTLZS,X,O,X,X,X,O,X,X
IJOTSLZ,O,X,X,X,O,X,X,X
IJOTSZL,O,O,X,X,X,X,X,X
IJOTZLS,X,O,X,X,X,X,X,X
IJOTZSL,O,O,X,X,X,X,X,X
IJOLTSZ,X,X,X,X,O,O,X,X
IJOLTZS,X,X,X,X,X,O,X,X
IJOLSTZ,X,X,X,X,O,O,X,X
IJOLSZT,X,X,X,X,O,O,X,X
IJOLZTS,X,X,X,X,X,O,O,X
IJOLZST,X,X,X,X,O,O,O,X
IJOSTLZ,O,X,X,X,O,X,X,X
IJOSTZL,O,X,X,O,X,X,X,X
IJOSLTZ,X,X,X,X,O,O,X,X
IJOSLZT,X,X,X,O,O,O,X,X
IJOSZTL,O,X,X,O,X,X,X,X
IJOSZLT,X,X,X,O,O,X,X,X
IJOZTLS,X,O,X,X,X,X,X,X
IJOZTSL,X,O,X,O,X,X,X,X
IJOZLTS,X,X,X,X,X,O,O,X
IJOZLST,X,X,X,X,O,O,O,X
IJOZSTL,X,O,X,O,X,X,X,X
IJOZSLT,X,X,X,O,O,X,X,X
ISTLJZO,O,X,O,X,O,X,X,O
ISTLJOZ,O,X,X,X,O,X,X,O
ISTLZJO,O,X,O,X,X,X,X,O
ISTLZOJ,O,X,O,X,X,X,X,O
ISTLOJZ,O,X,O,X,X,X,X,O
ISTLOZJ,O,X,O,X,X,X,X,O
ISTJLZO,O,X,O,X,O,X,X,X
ISTJLOZ,O,X,X,X,O,X,X,X
ISTJZLO,O,O,O,X,X,X,X,X
ISTJZOL,O,O,X,X,X,X,X,X
ISTJOLZ,O,X,O,X,X,X,X,X
ISTJOZL,O,O,O,X,X,X,X,X
ISTZLJO,O,O,O,X,X,X,X,X
ISTZLOJ,O,X,O,X,X,X,X,X
ISTZJLO,O,O,O,X,X,X,X,X
ISTZJOL,O,O,X,X,X,X,X,X
ISTZOLJ,O,O,O,O,X,X,X,X
ISTZOJL,O,O,O,O,X,X,X,X
ISTOLJZ,O,X,O,X,X,X,X,X
ISTOLZJ,O,X,O,X,X,X,X,X
ISTOJLZ,O,X,O,X,X,X,X,X
ISTOJZL,O,O,O,O,X,X,X,X
ISTOZLJ,O,O,O,O,X,X,X,X
ISTOZJL,O,O,O,O,X,X,X,X
ISLTJZO,O,X,O,X,O,X,X,O
ISLTJOZ,O,X,X,X,O,X,X,O
ISLTZJO,O,X,O,X,X,X,X,O
ISLTZOJ,O,X,O,X,X,X,X,O
ISLTOJZ,O,X,O,X,X,O,X,O
ISLTOZJ,O,X,O,X,X,X,X,O
ISLJTZO,X,X,O,X,O,X,X,X
ISLJTOZ,X,X,X,X,O,X,X,X
ISLJZTO,X,X,X,X,O,X,X,X
