sequence,v115@GhC8FeD8FeC8GeB8Jex/IvhF0hBliBmlBXqBSwBTsB,v115@GhC8FeD8FeC8GeB8Jex/IvhFlhB3iBeqBCrBTsBUrB,v115@GhC8FeD8FeC8GeB8Jex/IvhFOmBliBzmB0qBSxBXqB,v115@GhC8FeD8FeC8GeB8Jex/IvhFThBiiB+sB0qBlrBXqB,v115@GhC8FeD8FeC8GeB8Jex/IvhFKmBzhBunB0qBVxBXqB,v115@GhC8FeD8FeC8GeB8JeRBJvhF3iBOqB0mBzqBSxBlpB,v115@GhC8FeD8FeC8GeB8JeTAJvhFlhB3iByqBGsB0pBRwB,v115@GhC8FeD8FeC8GeB8JeRCJvhF/qBFmB6sBzrB0pBmqB
TZJOSLI,X,X,X,O,O,X,X,X
TZSILJO,O,X,O,X,O,X,X,X
TZSILOJ,O,X,O,X,O,X,X,X
TZSIJLO,O,X,O,X,O,X,X,X
TZSIJOL,O,X,X,X,X,X,X,X
TZSIOLJ,O,X,X,X,X,X,X,X
TZSIOJL,O,X,X,X,X,X,X,X
TZSLIJO,O,X,O,X,O,X,X,X
TZSLIOJ,O,X,O,X,O,X,X,X
TZSLJIO,O,X,O,X,O,X,X,X
TZSLJOI,O,X,X,X,O,X,X,X
TZSLOIJ,O,X,O,X,O,X,X,X
TZSLOJI,X,X,O,X,O,X,X,X
TZSJILO,O,X,O,X,O,X,X,X
TZSJIOL,O,X,X,X,X,X,X,X
TZSJLIO,O,X,X,X,O,X,X,X
TZSJLOI,O,X,X,X,O,X,X,X
TZSJOIL,O,X,X,X,X,X,X,X
TZSJOLI,X,X,X,X,O,X,X,X
TZSOILJ,O,X,X,X,X,X,X,X
TZSOIJL,O,X,X,X,X,X,X,X
TZSOLIJ,O,X,X,X,O,X,X,X
TZSOLJI,O,X,X,X,O,X,X,X
TZSOJIL,O,X,X,X,X,X,X,X
TZSOJLI,O,X,X,X,O,X,X,X
TZOILJS,O,X,O,X,O,X,X,X
TZOILSJ,O,X,O,X,O,X,X,X
TZOIJLS,O,X,O,X,O,X,X,X
TZOIJSL,O,X,X,X,X,X,X,X
TZOISLJ,O,X,X,X,X,X,X,X
TZOISJL,O,X,X,X,X,X,X,X
TZOLIJS,O,X,O,X,O,X,X,X
TZOLISJ,O,X,O,X,O,X,X,X
TZOLJIS,O,X,O,X,O,X,X,X
TZOLJSI,O,X,O,X,O,X,X,X
TZOLSIJ,O,X,O,X,O,X,X,X
TZOLSJI,O,X,O,X,O,X,X,X
TZOJILS,O,X,O,X,O,X,X,X
TZOJISL,O,X,X,X,X,X,X,X
TZOJLIS,O,X,X,X,O,X,X,X
TZOJLSI,O,X,X,X,O,X,X,X
TZOJSIL,O,X,X,X,X,X,X,X
TZOJSLI,X,X,X,X,O,X,X,X
TZOSILJ,O,X,X,X,X,X,X,X
TZOSIJL,O,X,X,X,X,X,X,X
TZOSLIJ,O,X,X,X,O,X,X,X
TZOSLJI,O,X,X,X,O,X,X,X
TZOSJIL,O,X,X,X,X,X,X,X
TZOSJLI,O,X,X,X,O,X,X,X
TOILJSZ,O,O,O,X,O,X,X,X
TOILJZS,O,X,O,X,O,X,X,X
TOILSJZ,O,O,O,X,O,X,X,X
TOILSZJ,O,O,X,X,X,X,X,X
TOILZJS,O,X,O,X,O,X,X,X
TOILZSJ,O,O,O,X,O,X,X,X
TOIJLSZ,O,O,X,X,O,X,X,X
TOIJLZS,O,O,X,X,O,X,X,X
TOIJSLZ,O,O,X,X,X,X,X,X
TOIJSZL,O,O,X,X,X,X,X,X
TOIJZLS,O,X,X,X,O,X,X,X
TOIJZSL,O,X,X,X,X,X,X,X
TOISLJZ,O,O,X,X,X,X,X,X
TOISLZJ,O,O,X,X,X,X,X,X
TOISJLZ,O,O,X,X,X,X,X,X
TOISJZL,O,O,X,X,X,X,X,X
TOISZLJ,O,O,X,X,X,X,X,X
TOISZJL,O,O,X,X,X,X,X,X
TOIZLJS,O,X,O,X,O,X,X,X
TOIZLSJ,O,X,O,X,O,X,X,X
TOIZJLS,O,X,O,X,O,X,X,X
TOIZJSL,O,X,X,X,X,X,X,X
TOIZSLJ,O,X,X,X,X,X,X,X
TOIZSJL,O,X,X,X,X,X,X,X
TOLIJSZ,O,O,O,X,O,X,X,X
TOLIJZS,O,O,O,X,O,X,X,X
TOLISJZ,O,O,O,X,O,X,X,O
TOLISZJ,O,O,X,X,X,X,X,O
TOLIZJS,O,X,O,X,O,X,X,X
TOLIZSJ,O,O,O,X,O,X,X,X
TOLJISZ,O,O,O,X,O,X,X,X
TOLJIZS,O,O,O,X,O,X,X,X
TOLJSIZ,O,O,O,X,O,X,X,X
TOLJSZI,O,O,O,X,O,O,X,X
TOLJZIS,O,O,O,X,O,O,X,X
TOLJZSI,O,O,O,X,O,O,X,X
TOLSIJZ,O,O,O,X,O,X,X,O
TOLSIZJ,O,O,X,X,X,X,X,O
TOLSJIZ,O,O,O,X,O,X,X,O
TOLSJZI,O,O,O,X,O,O,X,O
TOLSZIJ,O,O,O,X,O,X,X,O
TOLSZJI,O,O,O,X,O,O,X,O
TOLZIJS,O,X,O,X,O,X,X,X
TOLZISJ,O,O,O,X,O,X,X,X
TOLZJIS,O,O,O,X,O,O,X,X
TOLZJSI,O,O,O,X,O,O,X,X
TOLZSIJ,O,O,O,X,O,X,X,X
TOLZSJI,O,O,O,X,O,O,X,X
TOJILSZ,O,O,X,X,O,X,X,X
TOJILZS,O,O,X,X,O,X,X,X
TOJISLZ,O,O,X,X,X,X,X,X
TOJISZL,O,O,X,X,X,X,X,X
TOJIZLS,O,X,X,X,O,X,X,X
TOJIZSL,O,X,X,X,X,X,X,X
TOJLISZ,O,O,X,X,O,X,X,X
TOJLIZS,O,O,X,X,O,X,X,X
TOJLSIZ,O,O,X,X,O,X,X,X
TOJLSZI,O,O,X,X,O,O,X,X
TOJLZIS,O,O,X,X,O,O,X,X
TOJLZSI,O,O,X,X,O,O,X,X
TOJSILZ,O,O,X,X,X,X,X,X
TOJSIZL,O,O,X,X,X,X,X,X
TOJSLIZ,O,O,X,X,O,X,X,X
TOJSLZI,O,O,X,X,O,O,X,X
TOJSZIL,O,O,X,X,X,X,X,X
TOJSZLI,O,O,X,X,O,X,X,X
TOJZILS,O,X,X,X,O,X,X,X
TOJZISL,O,X,X,X,X,X,X,X
TOJZLIS,O,X,X,X,O,O,X,X
TOJZLSI,O,X,X,X,O,O,X,X
TOJZSIL,O,X,X,X,X,X,X,X
TOJZSLI,X,X,X,X,O,X,X,X
TOSILJZ,O,O,X,X,X,X,X,O
TOSILZJ,O,O,X,X,X,X,X,O
TOSIJLZ,O,O,X,X,X,X,X,X
TOSIJZL,O,O,X,X,X,X,X,X
TOSIZLJ,O,O,X,X,X,X,X,X
TOSIZJL,O,O,X,X,X,X,X,X
TOSLIJZ,O,O,X,X,O,X,X,O
TOSLIZJ,O,O,X,X,X,X,X,O
TOSLJIZ,O,O,X,X,O,X,X,O
TOSLJZI,O,O,X,X,O,O,X,O
TOSLZIJ,O,O,X,X,O,X,X,O
TOSLZJI,O,O,X,X,O,O,X,O
TOSJILZ,O,O,X,X,X,X,X,X
TOSJIZL,O,O,X,X,X,X,X,X
TOSJLIZ,O,O,X,X,O,X,X,O
TOSJLZI,O,O,X,X,O,O,X,O
TOSJZIL,O,O,X,X,X,X,X,X
TOSJZLI,O,O,X,X,O,X,X,X
TOSZILJ,O,O,X,X,X,X,X,X
TOSZIJL,O,O,X,X,X,X,X,X
TOSZLIJ,O,O,X,X,O,X,X,O
TOSZLJI,O,O,X,X,O,X,X,O
TOSZJIL,O,O,X,X,X,X,X,X
TOSZJLI,O,O,X,X,O,X,X,X
TOZILJS,O,X,O,X,O,X,X,X
TOZILSJ,O,X,O,X,O,X,X,X
TOZIJLS,O,X,O,X,O,X,X,X
TOZIJSL,O,X,X,X,X,X,X,X
TOZISLJ,O,X,X,X,X,X,X,X
TOZISJL,O,X,X,X,X,X,X,X
TOZLIJS,O,X,O,X,O,X,X,X
TOZLISJ,O,X,O,X,O,X,X,X
TOZLJIS,O,X,O,X,O,O,X,X
TOZLJSI,O,X,O,X,O,O,X,X
TOZLSIJ,O,X,O,X,O,X,X,X
TOZLSJI,O,X,O,X,O,O,X,X
TOZJILS,O,X,O,X,O,X,X,X
TOZJISL,O,X,X,X,X,X,X,X
TOZJLIS,O,X,X,X,O,O,X,X
TOZJLSI,O,X,X,X,O,O,X,X
TOZJSIL,O,X,X,X,X,X,X,X
TOZJSLI,X,X,X,X,O,X,X,X
TOZSILJ,O,X,X,X,X,X,X,X
TOZSIJL,O,X,X,X,X,X,X,X
TOZSLIJ,O,X,X,X,O,X,X,X
TOZSLJI,O,X,X,X,O,X,X,X
TOZSJIL,O,X,X,X,X,X,X,X
TOZSJLI,O,X,X,X,O,X,X,X
ITLJSZO,O,X,X,X,X,X,O,X
ITLJSOZ,X,X,X,O,O,X,O,X
ITLJZSO,O,X,O,O,O,X,O,X
ITLJZOS,O,X,O,O,O,X,O,X
ITLJOSZ,O,X,O,O,O,X,O,X
ITLJOZS,O,X,O,O,O,X,O,X
ITLSJZO,O,X,X,X,X,X,O,X
ITLSJOZ,O,X,X,X,O,X,O,X
ITLSZJO,O,X,O,X,X,X,X,X
ITLSZOJ,O,X,O,X,X,X,X,X
ITLSOJZ,O,X,O,X,O,X,O,X
ITLSOZJ,O,X,X,X,X,X,X,X
ITLZJSO,O,X,O,O,O,X,O,X
ITLZJOS,O,X,O,O,O,X,O,X
ITLZSJO,O,X,O,X,O,X,X,X
ITLZSOJ,X,X,O,X,O,X,X,X
ITLZOJS,O,X,O,X,O,X,O,X
ITLZOSJ,X,X,O,X,O,X,X,X
ITLOJSZ,O,O,O,X,O,X,O,X
ITLOJZS,O,X,O,X,O,X,O,X
ITLOSJZ,O,O,O,X,O,X,O,O
ITLOSZJ,O,O,X,X,X,X,X,O
ITLOZJS,O,X,O,X,O,X,O,X
ITLOZSJ,O,O,O,X,O,X,X,X
ITJLSZO,O,X,X,X,X,X,O,X
ITJLSOZ,X,X,X,O,O,X,O,X
ITJLZSO,O,X,O,O,O,X,O,X
ITJLZOS,O,X,O,O,O,X,O,X
ITJLOSZ,X,O,O,O,O,X,O,X
ITJLOZS,O,O,O,O,O,X,O,X
ITJSLZO,O,X,X,X,X,X,O,X
ITJSLOZ,O,O,X,O,O,X,O,X
ITJSZLO,O,X,X,X,O,X,O,X
ITJSZOL,O,O,X,X,X,X,X,X
ITJSOLZ,O,O,X,O,X,X,O,X
ITJSOZL,O,O,X,X,X,X,X,X
ITJZLSO,X,X,O,O,O,X,O,X
ITJZLOS,X,X,O,O,O,X,O,X
ITJZSLO,X,X,O,O,O,X,O,X
ITJZSOL,X,X,X,O,X,X,X,X
ITJZOLS,X,X,O,O,O,X,X,X
ITJZOSL,X,X,X,O,X,X,X,X
ITJOLSZ,O,O,X,O,O,X,O,X
ITJOLZS,O,O,X,O,O,X,O,X
ITJOSLZ,O,O,X,O,X,X,O,X
ITJOSZL,O,O,X,X,X,X,X,X
ITJOZLS,O,X,X,O,O,X,X,X
ITJOZSL,O,X,X,X,X,X,X,X
ITSLJZO,O,X,X,X,X,X,O,X
ITSLJOZ,O,O,X,X,O,X,O,X
ITSLZJO,O,X,O,X,X,X,X,X
ITSLZOJ,O,X,O,X,X,X,X,X
ITSLOJZ,O,O,O,X,O,X,O,X
ITSLOZJ,O,O,X,X,X,X,X,X
ITSJLZO,O,X,X,X,X,X,O,X
ITSJLOZ,O,O,X,X,O,X,O,X
ITSJZLO,O,X,X,X,O,X,O,X
ITSJZOL,O,O,X,X,X,X,X,X
ITSJOLZ,O,O,X,X,X,X,O,X
ITSJOZL,O,O,X,X,X,X,X,X
ITSZLJO,O,X,O,X,O,X,X,X
ITSZLOJ,O,X,O,X,O,X,X,X
ITSZJLO,O,X,O,X,O,X,O,X
ITSZJOL,O,O,X,X,X,X,X,X
ITSZOLJ,O,O,X,X,X,X,X,X
ITSZOJL,O,O,X,X,X,X,X,X
ITSOLJZ,O,O,X,X,X,X,X,X
ITSOLZJ,O,O,X,X,X,X,X,X
ITSOJLZ,O,O,X,X,X,X,O,X
ITSOJZL,O,O,X,X,X,X,X,X
ITSOZLJ,O,O,X,X,X,X,X,X
ITSOZJL,O,O,X,X,X,X,X,X
ITZLJSO,O,X,O,O,O,X,X,X
ITZLJOS,O,X,O,O,O,X,X,X
ITZLSJO,O,X,O,X,O,X,X,X
ITZLSOJ,X,X,O,X,O,X,X,X
ITZLOJS,O,X,O,X,O,X,X,X
ITZLOSJ,X,X,O,X,O,X,X,X
ITZJLSO,X,X,O,O,O,X,X,X
ITZJLOS,X,X,O,O,O,X,X,X
ITZJSLO,X,X,O,O,O,X,X,X
ITZJSOL,X,X,X,O,X,X,X,X
ITZJOLS,X,X,O,O,O,X,X,X
ITZJOSL,X,X,X,O,X,X,X,X
ITZSLJO,O,X,O,X,O,X,X,X
ITZSLOJ,O,X,O,X,O,X,X,X
ITZSJLO,O,X,O,X,O,X,X,X
ITZSJOL,O,X,X,X,X,X,X,X
ITZSOLJ,O,X,X,X,X,X,X,X
ITZSOJL,O,X,X,X,X,X,X,X
ITZOLJS,O,X,O,X,O,X,X,X
ITZOLSJ,O,X,O,X,O,X,X,X
ITZOJLS,O,X,O,X,O,X,X,X
ITZOJSL,O,X,X,X,X,X,X,X
ITZOSLJ,O,X,X,X,X,X,X,X
ITZOSJL,O,X,X,X,X,X,X,X
ITOLJSZ,O,O,O,X,O,X,X,X
ITOLJZS,O,X,O,X,O,X,X,X
ITOLSJZ,O,O,O,X,O,X,X,X
ITOLSZJ,O,O,X,X,X,X,X,X
ITOLZJS,O,X,O,X,O,X,X,X
ITOLZSJ,O,O,O,X,O,X,X,X
ITOJLSZ,O,O,X,X,O,X,X,X
ITOJLZS,O,O,X,X,O,X,X,X
ITOJSLZ,O,O,X,X,X,X,X,X
ITOJSZL,O,O,X,X,X,X,X,X
ITOJZLS,O,X,X,X,O,X,X,X
ITOJZSL,O,X,X,X,X,X,X,X
ITOSLJZ,O,O,X,X,X,X,X,X
ITOSLZJ,O,O,X,X,X,X,X,X
ITOSJLZ,O,O,X,X,X,X,X,X
ITOSJZL,O,O,X,X,X,X,X,X
ITOSZLJ,O,O,X,X,X,X,X,X
ITOSZJL,O,O,X,X,X,X,X,X
ITOZLJS,O,X,O,X,O,X,X,X
ITOZLSJ,O,X,O,X,O,X,X,X
ITOZJLS,O,X,O,X,O,X,X,X
ITOZJSL,O,X,X,X,X,X,X,X
ITOZSLJ,O,X,X,X,X,X,X,X
ITOZSJL,O,X,X,X,X,X,X,X
ILTJSZO,O,X,X,X,X,X,O,X
ILTJSOZ,X,X,X,O,O,X,O,X
ILTJZSO,O,X,O,O,O,X,O,X
ILTJZOS,O,X,O,O,O,X,O,X
ILTJOSZ,O,X,O,O,O,X,O,X
ILTJOZS,O,X,O,O,O,X,O,X
ILTSJZO,O,X,X,X,X,X,O,X
ILTSJOZ,O,X,X,X,O,X,O,X
ILTSZJO,O,X,O,X,X,X,X,X
ILTSZOJ,O,X,O,X,X,X,X,X
ILTSOJZ,O,X,O,X,O,X,O,X
ILTSOZJ,O,X,X,X,X,X,X,X
ILTZJSO,O,X,O,O,O,X,O,X
ILTZJOS,O,X,O,O,O,X,O,X
ILTZSJO,O,X,O,X,O,X,X,X
ILTZSOJ,X,X,O,X,O,X,X,X
ILTZOJS,O,X,O,X,O,X,O,X
ILTZOSJ,X,X,O,X,O,X,X,X
ILTOJSZ,O,O,O,X,O,X,O,X
ILTOJZS,O,X,O,X,O,X,O,X
ILTOSJZ,O,O,O,X,O,X,O,O
ILTOSZJ,O,O,X,X,X,X,X,O
ILTOZJS,O,X,O,X,O,X,O,X
ILTOZSJ,O,O,O,X,X,X,X,X
ILJTSZO,O,X,X,X,X,X,O,X
ILJTSOZ,X,X,X,O,O,X,O,X
ILJTZSO,O,X,O,O,O,X,O,X
ILJTZOS,O,X,O,O,O,X,O,X
ILJTOSZ,O,O,O,O,O,X,O,X
ILJTOZS,O,O,O,O,O,X,O,X
ILJSTZO,O,X,X,X,X,X,O,X
ILJSTOZ,X,O,X,O,X,X,O,X
ILJSZTO,O,X,X,O,X,X,O,X
ILJSZOT,X,X,X,X,X,O,O,X
ILJSOTZ,O,O,X,X,X,X,O,X
ILJSOZT,O,O,X,X,X,X,O,X
ILJZTSO,O,X,O,O,X,X,O,X
ILJZTOS,O,X,O,O,X,X,O,X
ILJZSTO,O,X,O,O,X,X,O,X
ILJZSOT,X,X,X,X,X,O,O,X
ILJZOTS,O,O,O,O,X,X,O,X
ILJZOST,O,O,O,X,X,X,O,X
ILJOTSZ,O,O,O,O,X,X,O,X
ILJOTZS,O,O,O,O,X,X,O,X
ILJOSTZ,O,O,O,X,X,X,O,O
ILJOSZT,O,O,X,X,X,X,O,X
ILJOZTS,O,O,O,O,X,X,O,X
ILJOZST,O,O,X,X,X,X,O,X
ILSTJZO,O,X,X,X,X,X,O,X
ILSTJOZ,O,O,X,X,X,X,O,X
ILSTZJO,O,X,O,X,X,X,X,X
ILSTZOJ,O,X,O,X,X,X,X,X
ILSTOJZ,O,O,O,X,X,X,O,O
ILSTOZJ,O,O,X,X,X,X,X,O
ILSJTZO,O,X,X,X,X,X,O,X
ILSJTOZ,O,O,X,O,X,X,O,X
ILSJZTO,O,X,X,O,X,X,O,X
ILSJZOT,O,X,X,X,X,O,O,X
ILSJOTZ,O,O,X,X,X,X,O,X
ILSJOZT,O,O,X,X,X,X,O,X
ILSZTJO,O,X,O,X,X,X,X,X
ILSZTOJ,O,X,O,X,X,X,X,X
ILSZJTO,O,X,O,O,X,X,O,X
ILSZJOT,O,X,X,X,X,O,O,X
ILSZOTJ,O,X,O,X,X,X,X,X
ILSZOJT,O,X,O,X,X,O,O,X
ILSOTJZ,O,O,O,X,X,X,O,O
ILSOTZJ,O,O,X,X,X,X,X,O
ILSOJTZ,O,O,O,X,X,X,O,O
ILSOJZT,O,O,X,X,X,O,O,X
ILSOZTJ,O,O,X,X,X,X,X,O
ILSOZJT,O,X,X,X,X,O,O,X
ILZTJSO,O,X,O,O,O,X,O,X
ILZTJOS,O,X,O,O,O,X,O,X
ILZTSJO,O,X,O,X,O,X,X,X
ILZTSOJ,X,X,O,X,O,X,X,X
ILZTOJS,O,X,O,X,O,X,O,X
ILZTOSJ,X,X,O,X,O,X,X,X
ILZJTSO,O,X,O,O,O,X,O,X
ILZJTOS,O,X,O,O,O,X,O,X
ILZJSTO,O,X,O,O,X,X,O,X
ILZJSOT,X,X,X,X,X,O,O,X
ILZJOTS,O,X,O,O,X,X,O,X
ILZJOST,O,X,O,X,X,X,O,X
ILZSTJO,O,X,O,X,O,X,X,X
ILZSTOJ,X,X,O,X,O,X,X,X
ILZSJTO,X,X,O,O,X,X,O,X
ILZSJOT,X,X,X,X,X,O,O,X
ILZSOTJ,X,X,O,X,X,X,X,X
ILZSOJT,X,X,O,X,X,O,O,X
ILZOTJS,O,X,O,X,O,X,O,X
ILZOTSJ,O,O,O,X,O,X,X,X
ILZOJTS,O,X,O,O,X,O,O,X
ILZOJST,O,X,O,X,X,O,O,X
ILZOSTJ,O,O,O,X,X,X,X,O
ILZOSJT,X,X,O,X,X,O,O,X
ILOTJSZ,O,O,O,X,X,X,O,X
ILOTJZS,O,O,O,X,X,X,O,X
ILOTSJZ,O,O,O,X,X,X,O,O
ILOTSZJ,O,O,X,X,X,X,X,O
ILOTZJS,O,X,O,X,X,X,O,X
ILOTZSJ,O,O,O,X,X,X,X,X
ILOJTSZ,O,O,O,O,X,X,O,X
ILOJTZS,O,O,O,O,X,X,O,X
ILOJSTZ,O,O,O,X,X,X,O,O
ILOJSZT,O,O,X,X,X,O,O,X
ILOJZTS,O,O,O,O,X,O,O,X
ILOJZST,O,O,O,X,X,O,O,X
ILOSTJZ,O,O,O,X,X,X,O,O
ILOSTZJ,O,O,X,X,X,X,X,O
ILOSJTZ,O,O,O,X,X,X,O,O
ILOSJZT,O,O,X,X,X,O,O,X
ILOSZTJ,O,O,X,X,X,X,X,O
ILOSZJT,O,X,X,X,X,O,O,X
ILOZTJS,O,X,O,X,X,X,O,X
ILOZTSJ,O,O,O,X,X,X,X,X
ILOZJTS,O,X,O,O,X,O,O,X
ILOZJST,O,X,O,X,X,O,O,X
ILOZSTJ,O,O,O,X,X,X,X,O
ILOZSJT,X,X,O,X,X,O,O,X
IJTLSZO,O,X,X,X,X,X,O,X
IJTLSOZ,X,X,X,O,O,X,O,X
IJTLZSO,O,X,O,O,O,X,O,X
IJTLZOS,O,X,O,O,O,X,O,X
IJTLOSZ,X,O,O,O,O,X,O,X
IJTLOZS,O,O,O,O,O,X,O,X
IJTSLZO,O,X,X,X,X,X,O,X
IJTSLOZ,O,O,X,O,O,X,O,X
IJTSZLO,O,X,X,X,O,X,O,X
IJTSZOL,O,O,X,X,X,X,X,X
IJTSOLZ,O,O,X,O,X,X,O,X
IJTSOZL,O,O,X,X,X,X,X,X
IJTZLSO,X,X,O,O,O,X,O,X
IJTZLOS,X,X,O,O,O,X,O,X
IJTZSLO,X,X,O,O,O,X,O,X
IJTZSOL,X,X,X,O,X,X,X,X
IJTZOLS,X,X,O,O,O,X,X,X
IJTZOSL,X,X,X,O,X,X,X,X
IJTOLSZ,O,O,X,O,O,X,O,X
IJTOLZS,O,O,X,O,O,X,O,X
IJTOSLZ,O,O,X,O,X,X,O,X
IJTOSZL,O,O,X,X,X,X,X,X
IJTOZLS,O,X,X,O,O,X,X,X
IJTOZSL,O,X,X,O,X,X,X,X
IJLTSZO,O,X,X,X,X,X,O,X
IJLTSOZ,X,X,X,O,O,X,O,X
IJLTZSO,O,X,O,O,O,X,O,X
IJLTZOS,O,X,O,O,O,X,O,X
IJLTOSZ,O,O,O,O,O,X,O,X
IJLTOZS,O,O,O,O,O,X,O,X
IJLSTZO,O,X,X,X,X,X,O,X
IJLSTOZ,X,O,X,O,X,X,O,X
IJLSZTO,O,X,X,O,X,X,O,X
IJLSZOT,X,X,X,X,X,O,O,X
IJLSOTZ,O,O,X,X,X,X,O,X
IJLSOZT,O,O,X,X,X,X,O,X
IJLZTSO,O,X,O,O,X,X,O,X
IJLZTOS,O,X,O,O,X,X,O,X
IJLZSTO,O,X,O,O,X,X,O,X
IJLZSOT,X,X,X,X,X,O,O,X
IJLZOTS,O,O,O,O,X,X,O,X
IJLZOST,O,O,O,X,X,X,O,X
IJLOTSZ,O,O,O,O,X,X,O,X
IJLOTZS,O,O,O,O,X,X,O,X
IJLOSTZ,O,O,O,X,X,X,O,O
IJLOSZT,O,O,X,X,X,X,O,X
IJLOZTS,O,O,O,O,X,X,O,X
IJLOZST,O,O,X,X,X,X,O,X
IJSTLZO,O,X,X,X,X,X,O,X
IJSTLOZ,O,O,X,O,O,X,O,X
IJSTZLO,O,X,X,X,O,X,O,X
IJSTZOL,O,O,X,X,X,X,X,X
IJSTOLZ,O,O,X,O,X,X,O,X
IJSTOZL,O,O,X,X,X,X,X,X
IJSLTZO,O,X,X,X,X,X,O,X
IJSLTOZ,O,O,X,O,X,X,O,X
IJSLZTO,O,X,X,O,X,X,O,X
IJSLZOT,O,X,X,X,X,O,O,X
IJSLOTZ,O,O,X,X,X,X,O,X
IJSLOZT,O,O,X,X,X,X,O,X
IJSZTLO,O,X,X,O,X,X,O,X
IJSZTOL,O,O,X,O,X,X,X,X
IJSZLTO,O,X,X,O,X,X,O,X
IJSZLOT,O,X,X,X,X,X,O,X
IJSZOTL,O,O,X,X,X,X,X,X
IJSZOLT,O,O,X,X,X,X,X,X
IJSOTLZ,O,O,X,X,X,X,O,X
IJSOTZL,O,O,X,X,X,X,X,X
IJSOLTZ,O,O,X,X,X,X,O,X
IJSOLZT,O,O,X,X,X,O,O,X
IJSOZTL,O,O,X,X,X,X,X,X
IJSOZLT,O,O,X,X,X,X,X,X
IJZTLSO,X,X,O,O,O,X,O,X
IJZTLOS,X,X,O,O,O,X,O,X
IJZTSLO,X,X,O,O,O,X,O,X
IJZTSOL,X,X,X,O,X,X,X,X
IJZTOLS,X,X,O,O,O,X,X,X
IJZTOSL,X,X,X,O,X,X,X,X
IJZLTSO,X,X,O,O,O,X,O,X
IJZLTOS,X,X,O,O,O,X,O,X
IJZLSTO,X,X,O,O,X,X,O,X
IJZLSOT,X,X,X,X,X,X,O,X
IJZLOTS,X,O,O,O,X,X,O,X
IJZLOST,X,O,O,X,X,X,O,X
IJZSTLO,X,X,O,O,X,X,O,X
IJZSTOL,X,O,X,O,X,X,X,X
IJZSLTO,X,X,O,O,X,X,O,X
IJZSLOT,X,X,X,X,X,X,O,X
IJZSOTL,X,O,X,X,X,X,X,X
IJZSOLT,X,O,X,X,X,X,X,X
IJZOTLS,X,X,O,O,X,X,X,X
IJZOTSL,X,X,X,O,X,X,X,X
IJZOLTS,X,O,O,O,X,X,X,X
IJZOLST,X,O,X,X,X,X,X,X
IJZOSTL,X,O,X,X,X,X,X,X
IJZOSLT,X,O,X,X,X,X,X,X
IJOTLSZ,O,O,X,O,O,X,O,X
IJOTLZS,O,O,X,O,O,X,O,X
IJOTSLZ,O,O,X,O,X,X,O,X
IJOTSZL,O,O,X,X,X,X,X,X
IJOTZLS,O,X,X,O,O,X,X,X
IJOTZSL,O,X,X,X,X,X,X,X
IJOLTSZ,O,O,X,O,X,X,O,X
IJOLTZS,O,O,X,O,X,X,O,X
IJOLSTZ,O,O,X,X,X,X,O,X
IJOLSZT,O,O,X,X,X,O,O,X
IJOLZTS,O,O,X,O,X,O,O,X
IJOLZST,O,O,X,X,X,O,O,X
IJOSTLZ,O,O,X,X,X,X,O,X
IJOSTZL,O,O,X,X,X,X,X,X
IJOSLTZ,O,O,X,X,X,X,O,X
IJOSLZT,O,O,X,X,X,O,O,X
IJOSZTL,O,O,X,X,X,X,X,X
IJOSZLT,O,O,X,X,X,X,X,X
IJOZTLS,O,X,X,O,X,X,X,X
IJOZTSL,O,X,X,O,X,X,X,X
IJOZLTS,X,O,X,O,X,O,X,X
IJOZLST,X,O,X,X,X,O,X,X
IJOZSTL,X,O,X,X,X,X,X,X
IJOZSLT,X,O,X,X,X,X,X,X
ISTLJZO,O,X,X,X,X,X,O,X
ISTLJOZ,O,O,X,X,O,X,O,X
ISTLZJO,O,X,O,X,X,X,X,X
ISTLZOJ,O,X,O,X,X,X,X,X
ISTLOJZ,O,O,O,X,O,X,O,O
ISTLOZJ,O,O,X,X,X,X,X,O
ISTJLZO,O,X,X,X,X,X,O,X
ISTJLOZ,O,O,X,X,O,X,O,X
ISTJZLO,O,X,X,X,O,X,O,X
ISTJZOL,O,O,X,X,X,X,X,X
ISTJOLZ,O,O,X,X,X,X,O,X
ISTJOZL,O,O,X,X,X,X,X,X
ISTZLJO,O,X,O,X,O,X,X,X
ISTZLOJ,O,X,O,X,O,X,X,X
ISTZJLO,O,X,O,X,O,X,O,X
ISTZJOL,O,O,X,X,X,X,X,X
ISTZOLJ,O,O,X,X,X,X,X,X
ISTZOJL,O,O,X,X,X,X,X,X
ISTOLJZ,O,O,X,X,X,X,X,O
ISTOLZJ,O,O,X,X,X,X,X,O
ISTOJLZ,O,O,X,X,X,X,O,X
ISTOJZL,O,O,X,X,X,X,X,X
ISTOZLJ,O,O,X,X,X,X,X,X
ISTOZJL,O,O,X,X,X,X,X,X
ISLTJZO,O,X,X,X,X,X,O,X
ISLTJOZ,O,O,X,X,X,X,O,X
ISLTZJO,O,X,O,X,X,X,X,X
ISLTZOJ,O,X,O,X,X,X,X,X
ISLTOJZ,O,O,O,X,X,X,O,O
ISLTOZJ,O,O,X,X,X,X,X,O
ISLJTZO,O,X,X,X,X,X,O,X
ISLJTOZ,O,O,X,O,X,X,O,X
ISLJZTO,O,X,X,O,X,X,O,X
