sequence,v115@HhA8IeC8GeC8AeA8AeD8Je0/IvhFxgBXiB6oBuqBzn?BlrB,v115@HhA8IeC8GeC8AeA8AeD8Jel/IvhF3gB5mBOnB6oB8q?BzsB,v115@HhA8IeC8GeC8AeA8AeD8Je0/IvhFxgBXiBuqBCoBTo?BlrB,v115@HhA8IeC8GeC8AeA8AeD8Jel/IvhF3gB5mBKnBziB+o?B8qB,v115@HhA8IeC8GeC8AeA8AeD8Je0/IvhFXhBxiBGnBToB6q?BlrB
TZJOLSI,O,O,X,O,X
TZJOSIL,O,O,X,X,O
TZJOSLI,O,O,X,O,O
TZSILJO,O,O,X,O,X
TZSILOJ,O,O,X,X,X
TZSIJLO,X,O,X,O,X
TZSIJOL,X,O,X,X,X
TZSIOLJ,O,O,X,X,X
TZSIOJL,X,O,X,X,X
TZSLIJO,O,O,X,O,X
TZSLIOJ,O,O,X,X,X
TZSLJIO,O,O,O,O,X
TZSLJOI,X,X,O,O,X
TZSLOIJ,X,O,X,X,X
TZSLOJI,X,O,X,X,X
TZSJILO,O,O,O,O,X
TZSJIOL,O,O,X,X,X
TZSJLIO,O,O,O,O,X
TZSJLOI,X,X,O,O,X
TZSJOIL,O,O,X,X,O
TZSJOLI,O,O,X,O,O
TZSOILJ,O,O,X,X,X
TZSOIJL,X,O,X,X,X
TZSOLIJ,O,O,X,X,X
TZSOLJI,O,O,X,X,X
TZSOJIL,O,O,X,X,O
TZSOJLI,O,O,X,X,O
TZOILJS,X,O,X,X,X
TZOILSJ,O,O,X,X,X
TZOIJLS,X,O,X,X,X
TZOIJSL,X,O,X,X,O
TZOISLJ,O,O,X,X,X
TZOISJL,X,O,X,X,X
TZOLIJS,X,O,X,X,X
TZOLISJ,O,O,X,X,X
TZOLJIS,O,O,X,X,X
TZOLJSI,O,O,X,X,X
TZOLSIJ,O,O,X,X,X
TZOLSJI,O,O,X,X,X
TZOJILS,O,O,X,X,X
TZOJISL,O,O,X,X,O
TZOJLIS,O,O,X,X,X
TZOJLSI,O,O,X,X,X
TZOJSIL,O,O,X,X,O
TZOJSLI,O,O,X,X,O
TZOSILJ,O,O,X,X,X
TZOSIJL,X,O,X,X,X
TZOSLIJ,O,O,X,X,X
TZOSLJI,O,O,X,X,X
TZOSJIL,O,O,X,X,O
TZOSJLI,O,O,X,X,O
TOILJSZ,X,X,X,X,X
TOILJZS,X,O,X,X,X
TOILSJZ,X,X,X,X,X
TOILSZJ,X,X,X,X,X
TOILZJS,X,O,X,X,X
TOILZSJ,X,O,X,X,X
TOIJLSZ,X,X,X,X,X
TOIJLZS,X,O,X,X,X
TOIJSLZ,X,X,X,X,X
TOIJSZL,X,X,X,X,O
TOIJZLS,X,O,X,X,X
TOIJZSL,X,O,X,X,O
TOISLJZ,X,X,X,X,X
TOISLZJ,X,X,X,X,X
TOISJLZ,X,X,X,X,X
TOISJZL,X,X,X,X,X
TOISZLJ,X,X,X,X,X
TOISZJL,X,X,X,X,X
TOIZLJS,X,O,X,X,X
TOIZLSJ,X,O,X,X,X
TOIZJLS,X,O,X,X,X
TOIZJSL,X,O,X,X,O
TOIZSLJ,X,O,X,X,X
TOIZSJL,X,O,X,X,X
TOLIJSZ,X,X,X,X,X
TOLIJZS,X,O,X,X,X
TOLISJZ,X,X,X,X,X
TOLISZJ,X,X,X,X,X
TOLIZJS,X,O,X,X,X
TOLIZSJ,X,O,X,X,X
TOLJISZ,O,X,X,X,X
TOLJIZS,O,O,X,X,X
TOLJSIZ,O,X,X,X,X
TOLJSZI,O,X,X,X,X
TOLJZIS,O,O,X,X,X
TOLJZSI,O,O,X,X,X
TOLSIJZ,X,X,X,X,X
TOLSIZJ,O,X,X,X,X
TOLSJIZ,O,X,X,X,X
TOLSJZI,O,X,X,X,X
TOLSZIJ,O,X,X,X,X
TOLSZJI,O,X,X,X,X
TOLZIJS,X,O,X,X,X
TOLZISJ,O,O,X,X,X
TOLZJIS,O,O,X,X,X
TOLZJSI,O,O,X,X,X
TOLZSIJ,O,O,X,X,X
TOLZSJI,O,O,X,X,X
TOJILSZ,O,X,X,X,X
TOJILZS,O,O,X,X,X
TOJISLZ,O,X,X,X,X
TOJISZL,O,X,X,X,O
TOJIZLS,O,O,X,X,X
TOJIZSL,O,O,X,X,O
TOJLISZ,O,X,X,X,X
TOJLIZS,O,O,X,X,X
TOJLSIZ,O,X,X,X,X
TOJLSZI,O,X,X,X,X
TOJLZIS,O,O,X,X,X
TOJLZSI,O,O,X,X,X
TOJSILZ,O,X,X,X,X
TOJSIZL,O,X,X,X,O
TOJSLIZ,O,X,X,X,X
TOJSLZI,O,X,X,X,X
TOJSZIL,O,X,X,X,O
TOJSZLI,O,X,X,X,O
TOJZILS,O,O,X,X,X
TOJZISL,O,O,X,X,O
TOJZLIS,O,O,X,X,X
TOJZLSI,O,O,X,X,X
TOJZSIL,O,O,X,X,O
TOJZSLI,O,O,X,X,O
TOSILJZ,X,X,X,X,X
TOSILZJ,O,X,X,X,X
TOSIJLZ,X,X,X,X,X
TOSIJZL,X,X,X,X,X
TOSIZLJ,O,X,X,X,X
TOSIZJL,X,X,X,X,X
TOSLIJZ,X,X,X,X,X
TOSLIZJ,O,X,X,X,X
TOSLJIZ,O,X,X,X,X
TOSLJZI,O,X,X,X,X
TOSLZIJ,O,X,X,X,X
TOSLZJI,O,X,X,X,X
TOSJILZ,O,X,X,X,X
TOSJIZL,O,X,X,X,O
TOSJLIZ,O,X,X,X,X
TOSJLZI,O,X,X,X,X
TOSJZIL,O,X,X,X,O
