sequence,v115@QhA8BeA8CeB8AeA8AeB8BeE8Jei/IvhF9lBThBxiBc?pBmnBXrB,v115@QhA8BeA8CeB8AeA8AeB8BeE8JeZEJvhFtkBXhBTiBO?oBSrB0qB,v115@QhA8BeA8CeB8AeA8AeB8BeE8Jei/IvhF3gB9mBxiBc?pBmnBzqB
TSJZLIO,O,X,O
TSJZLOI,O,X,O
TSJZOIL,O,X,O
TSJZOLI,O,X,O
TSJOILZ,O,O,X
TSJOIZL,O,X,O
TSJOLIZ,O,O,X
TSJOLZI,O,O,X
TSJOZIL,O,X,O
TSJOZLI,O,X,O
TSZILJO,O,X,O
TSZILOJ,O,X,O
TSZIJLO,O,X,O
TSZIJOL,O,X,O
TSZIOLJ,O,X,O
TSZIOJL,O,X,X
TSZLIJO,O,X,O
TSZLIOJ,O,X,O
TSZLJIO,O,X,O
TSZLJOI,O,X,O
TSZLOIJ,O,X,O
TSZLOJI,O,X,O
TSZJILO,O,X,O
TSZJIOL,O,X,O
TSZJLIO,O,X,O
TSZJLOI,O,X,O
TSZJOIL,O,X,O
TSZJOLI,O,X,O
TSZOILJ,O,X,O
TSZOIJL,O,X,X
TSZOLIJ,O,X,O
TSZOLJI,O,X,O
TSZOJIL,O,X,O
TSZOJLI,O,X,O
TSOILJZ,X,O,X
TSOILZJ,O,O,X
TSOIJLZ,O,O,X
TSOIJZL,O,X,X
TSOIZLJ,O,X,O
TSOIZJL,O,X,X
TSOLIJZ,X,O,X
TSOLIZJ,O,O,X
TSOLJIZ,O,O,X
TSOLJZI,O,O,X
TSOLZIJ,O,O,X
TSOLZJI,O,O,X
TSOJILZ,O,O,X
TSOJIZL,O,X,O
TSOJLIZ,O,O,X
TSOJLZI,O,O,X
TSOJZIL,O,X,O
TSOJZLI,O,X,O
TSOZILJ,O,X,O
TSOZIJL,O,X,X
TSOZLIJ,O,X,O
TSOZLJI,O,X,O
TSOZJIL,O,X,O
TSOZJLI,O,X,O
TZILJSO,O,O,O
TZILJOS,O,O,O
TZILSJO,O,O,O
TZILSOJ,O,O,O
TZILOJS,O,O,O
TZILOSJ,X,O,O
TZIJLSO,O,O,O
TZIJLOS,O,O,O
TZIJSLO,O,X,O
TZIJSOL,O,X,O
TZIJOLS,O,O,O
TZIJOSL,O,X,O
TZISLJO,O,X,O
TZISLOJ,O,X,O
TZISJLO,O,X,O
TZISJOL,O,X,O
TZISOLJ,O,X,O
TZISOJL,O,X,X
TZIOLJS,O,O,O
TZIOLSJ,X,O,O
TZIOJLS,O,O,O
TZIOJSL,O,X,O
TZIOSLJ,X,X,O
TZIOSJL,X,X,O
TZLIJSO,O,O,O
TZLIJOS,O,O,O
TZLISJO,O,O,O
TZLISOJ,O,O,O
TZLIOJS,O,O,O
TZLIOSJ,X,O,O
TZLJISO,O,O,O
TZLJIOS,O,O,O
TZLJSIO,O,O,O
TZLJSOI,O,O,O
TZLJOIS,O,O,O
TZLJOSI,O,O,O
TZLSIJO,O,O,O
TZLSIOJ,O,O,O
TZLSJIO,O,O,O
TZLSJOI,O,O,O
TZLSOIJ,O,O,O
TZLSOJI,O,O,O
TZLOIJS,O,O,O
TZLOISJ,X,O,O
TZLOJIS,O,O,O
TZLOJSI,O,O,O
TZLOSIJ,X,O,O
TZLOSJI,X,O,O
TZJILSO,O,O,O
TZJILOS,O,O,O
TZJISLO,O,X,O
TZJISOL,O,X,O
TZJIOLS,O,O,O
TZJIOSL,O,X,O
TZJLISO,O,O,O
TZJLIOS,O,O,O
TZJLSIO,O,O,O
TZJLSOI,O,O,O
TZJLOIS,O,O,O
TZJLOSI,O,O,O
TZJSILO,O,X,O
TZJSIOL,O,X,O
TZJSLIO,O,X,O
TZJSLOI,O,X,O
TZJSOIL,O,X,O
TZJSOLI,O,X,O
TZJOILS,O,O,O
TZJOISL,O,X,O
TZJOLIS,O,O,O
TZJOLSI,O,O,O
TZJOSIL,O,X,O
TZJOSLI,O,X,O
TZSILJO,O,X,O
TZSILOJ,O,X,O
TZSIJLO,O,X,O
TZSIJOL,O,X,O
TZSIOLJ,O,X,O
TZSIOJL,O,X,X
TZSLIJO,O,X,O
TZSLIOJ,O,X,O
TZSLJIO,O,X,O
TZSLJOI,O,X,O
TZSLOIJ,O,X,O
TZSLOJI,O,X,O
TZSJILO,O,X,O
TZSJIOL,O,X,O
TZSJLIO,O,X,O
TZSJLOI,O,X,O
TZSJOIL,O,X,O
TZSJOLI,O,X,O
TZSOILJ,O,X,O
TZSOIJL,O,X,X
TZSOLIJ,O,X,O
TZSOLJI,O,X,O
TZSOJIL,O,X,O
TZSOJLI,O,X,O
TZOILJS,O,O,O
TZOILSJ,X,O,O
TZOIJLS,O,O,O
TZOIJSL,O,X,O
TZOISLJ,X,X,O
TZOISJL,X,X,O
TZOLIJS,O,O,O
TZOLISJ,X,O,O
TZOLJIS,O,O,O
TZOLJSI,O,O,O
TZOLSIJ,X,O,O
TZOLSJI,X,O,O
TZOJILS,O,O,O
TZOJISL,O,X,O
TZOJLIS,O,O,O
TZOJLSI,O,O,O
TZOJSIL,O,X,O
TZOJSLI,O,X,O
TZOSILJ,X,X,O
TZOSIJL,X,X,O
TZOSLIJ,X,X,O
TZOSLJI,X,X,O
TZOSJIL,X,X,O
TZOSJLI,X,X,O
TOILJSZ,X,O,X
TOILJZS,X,O,X
TOILSJZ,X,O,X
TOILSZJ,X,O,O
