sequence,v115@9gA8IeA8CeA8EeA8BeB8EeE8CeA8KeCAJvhF0hBmiB?5oBXlBtsBzrB,v115@9gA8IeA8CeA8EeA8BeB8EeE8CeA8KeqEJvhFTgB0hB?doB5oBGsBXsB,v115@9gA8IeA8CeA8EeA8BeB8EeE8CeA8KeqEJvhFTgB0hB?xiB3nB9tBWxB,v115@9gA8IeA8CeA8EeA8BeB8EeE8CeA8KeGAJvhF0hBxiB?zkB9tBCsB3sB,v115@9gA8IeA8CeA8EeA8BeB8EeE8CeA8KeCAJvhF0hBdoB?5oBXlBTnBWxB
JTZOILS,X,O,O,O,X
JTZOISL,O,X,X,O,O
JTZOLIS,X,O,O,O,X
JTZOLSI,X,O,O,O,X
JTZOSIL,O,X,O,O,O
JTZOSLI,O,X,O,O,O
JTOILSZ,O,O,O,O,X
JTOILZS,O,O,O,O,X
JTOISLZ,O,X,X,O,O
JTOISZL,O,X,X,O,O
JTOIZLS,O,O,O,O,X
JTOIZSL,O,X,X,O,O
JTOLISZ,O,O,O,O,X
JTOLIZS,O,O,O,O,X
JTOLSIZ,O,O,O,O,X
JTOLSZI,O,O,O,O,X
JTOLZIS,O,O,O,O,X
JTOLZSI,O,O,O,O,X
JTOSILZ,O,X,O,O,O
JTOSIZL,O,X,O,O,O
JTOSLIZ,O,X,O,O,O
JTOSLZI,O,X,O,O,O
JTOSZIL,O,X,O,O,O
JTOSZLI,O,X,O,O,O
JTOZILS,O,O,O,O,X
JTOZISL,O,X,X,O,O
JTOZLIS,O,O,O,O,X
JTOZLSI,O,O,O,O,X
JTOZSIL,O,X,O,O,O
JTOZSLI,O,X,O,O,O
JITLSZO,O,O,O,O,O
JITLSOZ,O,O,O,X,O
JITLZSO,O,O,O,O,O
JITLZOS,X,O,O,O,X
JITLOSZ,X,O,O,X,X
JITLOZS,X,O,O,O,X
JITSLZO,O,O,O,O,O
JITSLOZ,O,O,O,X,O
JITSZLO,O,O,O,O,O
JITSZOL,O,X,O,O,O
JITSOLZ,O,X,O,X,O
JITSOZL,O,X,O,X,O
JITZLSO,O,O,O,O,O
JITZLOS,X,O,O,O,X
JITZSLO,O,O,O,O,O
JITZSOL,O,X,O,O,O
JITZOLS,X,O,O,O,X
JITZOSL,O,X,X,O,O
JITOLSZ,O,O,O,X,X
JITOLZS,O,O,O,O,X
JITOSLZ,O,X,X,X,O
JITOSZL,O,X,X,X,O
JITOZLS,O,O,O,O,X
JITOZSL,O,X,X,O,O
JILTSZO,X,O,O,O,O
JILTSOZ,X,O,O,X,O
JILTZSO,X,O,O,O,O
JILTZOS,X,O,O,O,X
JILTOSZ,X,O,O,X,X
JILTOZS,X,O,O,O,X
JILSTZO,X,O,X,X,O
JILSTOZ,X,O,X,X,O
JILSZTO,X,O,X,X,O
JILSZOT,X,O,X,X,O
JILSOTZ,X,O,X,X,O
JILSOZT,X,O,X,X,O
JILZTSO,X,O,O,O,O
JILZTOS,X,O,O,O,X
JILZSTO,X,O,X,O,O
JILZSOT,X,O,O,O,O
JILZOTS,X,O,O,O,X
JILZOST,X,O,O,O,X
JILOTSZ,X,O,O,X,X
JILOTZS,X,O,O,X,X
JILOSTZ,X,O,X,X,X
JILOSZT,X,O,X,X,X
JILOZTS,X,O,O,X,X
JILOZST,X,O,O,X,X
JISTLZO,O,O,X,X,O
JISTLOZ,O,O,X,X,O
JISTZLO,O,O,X,X,O
JISTZOL,O,X,X,X,O
JISTOLZ,O,X,X,X,O
JISTOZL,O,X,X,X,O
JISLTZO,O,O,X,X,O
JISLTOZ,O,O,X,X,O
JISLZTO,O,O,X,X,O
JISLZOT,X,O,X,X,O
JISLOTZ,O,O,X,X,O
JISLOZT,O,O,X,X,O
JISZTLO,O,O,X,X,O
JISZTOL,O,X,X,X,O
JISZLTO,O,O,X,X,O
JISZLOT,X,O,X,X,O
JISZOTL,X,X,X,X,O
JISZOLT,X,X,X,X,O
JISOTLZ,O,X,X,X,O
JISOTZL,O,X,X,X,O
JISOLTZ,O,X,X,X,O
JISOLZT,O,X,X,X,O
JISOZTL,O,X,X,X,O
JISOZLT,O,X,X,X,O
JIZTLSO,O,O,O,O,O
JIZTLOS,X,O,O,O,X
JIZTSLO,O,O,O,O,O
JIZTSOL,O,X,O,O,O
JIZTOLS,X,O,O,O,X
JIZTOSL,O,X,X,O,O
JIZLTSO,X,O,O,O,O
JIZLTOS,X,O,O,O,X
JIZLSTO,X,O,X,O,O
JIZLSOT,X,O,O,O,O
JIZLOTS,X,O,O,O,X
JIZLOST,X,O,O,O,X
JIZSTLO,O,O,X,O,O
JIZSTOL,O,X,X,O,O
JIZSLTO,O,O,X,O,O
JIZSLOT,X,O,O,O,O
JIZSOTL,X,X,X,O,O
JIZSOLT,X,X,X,O,O
JIZOTLS,X,O,X,O,X
JIZOTSL,X,X,X,O,O
JIZOLTS,X,O,O,O,X
JIZOLST,X,O,O,O,X
JIZOSTL,X,X,X,O,O
JIZOSLT,X,X,X,O,O
JIOTLSZ,O,O,X,X,X
JIOTLZS,O,O,X,X,X
JIOTSLZ,O,X,X,X,O
JIOTSZL,O,X,X,X,O
JIOTZLS,O,O,X,X,X
JIOTZSL,O,X,X,X,O
JIOLTSZ,X,O,X,X,X
JIOLTZS,X,O,X,X,X
JIOLSTZ,X,O,X,X,X
JIOLSZT,X,O,X,X,X
JIOLZTS,X,O,X,X,X
JIOLZST,X,O,X,X,X
JIOSTLZ,O,X,X,X,O
JIOSTZL,O,X,X,X,O
JIOSLTZ,O,X,X,X,O
JIOSLZT,O,X,X,X,O
JIOSZTL,O,X,X,X,O
JIOSZLT,O,X,X,X,O
JIOZTLS,O,O,X,X,X
JIOZTSL,O,X,X,X,O
JIOZLTS,X,O,X,X,X
JIOZLST,X,O,X,X,X
JIOZSTL,O,X,X,X,O
JIOZSLT,O,X,X,X,O
JLTISZO,X,O,O,O,O
JLTISOZ,X,O,O,X,O
JLTIZSO,X,O,O,O,O
JLTIZOS,X,O,O,O,X
JLTIOSZ,X,O,O,O,X
JLTIOZS,X,O,O,O,X
JLTSIZO,X,O,O,O,O
JLTSIOZ,X,O,O,X,O
JLTSZIO,X,O,O,O,O
JLTSZOI,X,O,O,X,O
JLTSOIZ,X,O,O,X,O
JLTSOZI,X,O,O,X,O
JLTZISO,X,O,O,O,O
JLTZIOS,X,O,O,O,X
JLTZSIO,X,O,O,O,O
JLTZSOI,X,O,O,X,O
JLTZOIS,X,O,O,O,X
JLTZOSI,X,O,O,O,X
JLTOISZ,X,O,O,O,X
JLTOIZS,X,O,O,O,X
JLTOSIZ,X,O,O,O,X
JLTOSZI,X,O,O,O,X
JLTOZIS,X,O,O,O,X
JLTOZSI,X,O,O,O,X
JLITSZO,X,O,O,O,O
JLITSOZ,X,O,O,X,O
JLITZSO,X,O,O,O,O
JLITZOS,X,O,O,O,X
JLITOSZ,X,O,O,X,X
JLITOZS,X,O,O,O,X
JLISTZO,X,O,X,X,O
JLISTOZ,X,O,X,X,O
JLISZTO,X,O,X,X,O
JLISZOT,X,O,X,X,O
JLISOTZ,X,O,X,X,O
JLISOZT,X,O,X,X,O
JLIZTSO,X,O,O,O,O
JLIZTOS,X,O,O,O,X
JLIZSTO,X,O,X,O,O
JLIZSOT,X,O,O,O,O
JLIZOTS,X,O,O,O,X
JLIZOST,X,O,O,O,X
JLIOTSZ,X,O,O,X,X
JLIOTZS,X,O,O,X,X
JLIOSTZ,X,O,X,X,X
JLIOSZT,X,O,X,X,X
JLIOZTS,X,O,O,X,X
JLIOZST,X,O,O,X,X
JLSTIZO,X,O,O,O,O
JLSTIOZ,X,O,O,X,O
JLSTZIO,X,O,O,O,O
JLSTZOI,X,O,O,X,O
JLSTOIZ,X,O,O,X,O
JLSTOZI,X,O,O,X,O
JLSITZO,X,O,X,X,O
JLSITOZ,X,O,X,X,O
JLSIZTO,X,O,X,X,O
JLSIZOT,X,O,X,X,O
JLSIOTZ,X,O,X,X,O
JLSIOZT,X,O,X,X,O
JLSZTIO,X,O,O,O,O
JLSZTOI,X,O,O,X,O
JLSZITO,X,O,X,O,O
JLSZIOT,X,O,O,O,O
JLSZOTI,X,O,O,X,O
JLSZOIT,X,O,O,X,O
JLSOTIZ,X,O,O,X,O
JLSOTZI,X,O,O,X,O
JLSOITZ,X,O,X,X,O
JLSOIZT,X,O,X,X,O
JLSOZTI,X,O,O,X,O
JLSOZIT,X,O,O,X,O
JLZTISO,X,O,O,O,O
JLZTIOS,X,O,O,O,X
JLZTSIO,X,O,O,O,O
JLZTSOI,X,O,O,X,O
JLZTOIS,X,O,O,O,X
JLZTOSI,X,O,O,O,X
JLZITSO,X,O,O,O,O
JLZITOS,X,O,O,O,X
JLZISTO,X,O,X,O,O
JLZISOT,X,O,O,O,O
JLZIOTS,X,O,O,O,X
JLZIOST,X,O,O,O,X
JLZSTIO,X,O,O,O,O
JLZSTOI,X,O,O,X,O
JLZSITO,X,O,X,O,O
JLZSIOT,X,O,O,O,O
JLZSOTI,X,O,O,X,O
JLZSOIT,X,O,O,X,O
JLZOTIS,X,O,O,O,X
JLZOTSI,X,O,O,O,X
JLZOITS,X,O,O,O,X
JLZOIST,X,O,O,O,X
JLZOSTI,X,O,O,O,X
JLZOSIT,X,O,O,O,X
JLOTISZ,X,O,O,O,X
JLOTIZS,X,O,O,O,X
JLOTSIZ,X,O,O,O,X
JLOTSZI,X,O,O,O,X
JLOTZIS,X,O,O,O,X
JLOTZSI,X,O,O,O,X
JLOITSZ,X,O,O,O,X
JLOITZS,X,O,O,O,X
JLOISTZ,X,O,X,X,X
JLOISZT,X,O,X,X,X
JLOIZTS,X,O,O,O,X
JLOIZST,X,O,O,O,X
JLOSTIZ,X,O,O,O,X
JLOSTZI,X,O,O,O,X
JLOSITZ,X,O,X,X,X
JLOSIZT,X,O,X,X,X
JLOSZTI,X,O,O,O,X
JLOSZIT,X,O,O,O,X
JLOZTIS,X,O,O,O,X
JLOZTSI,X,O,O,O,X
JLOZITS,X,O,O,O,X
JLOZIST,X,O,O,O,X
JLOZSTI,X,O,O,O,X
JLOZSIT,X,O,O,O,X
JSTILZO,O,O,O,O,O
JSTILOZ,O,O,O,X,O
JSTIZLO,O,O,O,O,O
JSTIZOL,O,X,O,O,O
JSTIOLZ,O,X,O,X,O
JSTIOZL,O,X,O,X,O
JSTLIZO,O,O,O,O,O
JSTLIOZ,O,O,O,X,O
JSTLZIO,O,O,O,O,O
JSTLZOI,O,O,O,X,O
JSTLOIZ,O,O,O,X,O
JSTLOZI,O,O,O,X,O
JSTZILO,O,O,O,O,O
JSTZIOL,O,X,O,O,O
JSTZLIO,O,O,O,O,O
JSTZLOI,O,O,O,X,O
JSTZOIL,O,X,O,X,O
JSTZOLI,O,X,O,X,O
JSTOILZ,O,X,O,X,O
JSTOIZL,O,X,O,X,O
JSTOLIZ,O,X,O,X,O
JSTOLZI,O,X,O,X,O
JSTOZIL,O,X,O,X,O
JSTOZLI,O,X,O,X,O
JSITLZO,O,O,X,X,O
JSITLOZ,O,O,X,X,O
JSITZLO,O,O,X,X,O
JSITZOL,O,X,X,X,O
JSITOLZ,O,X,X,X,O
JSITOZL,O,X,X,X,O
JSILTZO,O,O,X,X,O
JSILTOZ,O,O,X,X,O
JSILZTO,O,O,X,X,O
JSILZOT,X,O,X,X,O
JSILOTZ,O,O,X,X,O
JSILOZT,O,O,X,X,O
JSIZTLO,O,O,X,X,O
JSIZTOL,O,X,X,X,O
JSIZLTO,O,O,X,X,O
JSIZLOT,X,O,X,X,O
JSIZOTL,X,X,X,X,O
JSIZOLT,X,X,X,X,O
JSIOTLZ,O,X,X,X,O
JSIOTZL,O,X,X,X,O
JSIOLTZ,O,X,X,X,O
JSIOLZT,O,X,X,X,O
JSIOZTL,O,X,X,X,O
JSIOZLT,O,X,X,X,O
JSLTIZO,O,O,O,O,O
JSLTIOZ,O,O,O,X,O
JSLTZIO,O,O,O,O,O
JSLTZOI,O,O,O,X,O
JSLTOIZ,O,O,O,X,O
JSLTOZI,O,O,O,X,O
JSLITZO,O,O,X,X,O
JSLITOZ,O,O,X,X,O
JSLIZTO,O,O,X,X,O
JSLIZOT,X,O,X,X,O
JSLIOTZ,O,O,X,X,O
JSLIOZT,O,O,X,X,O
JSLZTIO,O,O,O,O,O
JSLZTOI,O,O,O,X,O
JSLZITO,O,O,X,O,O
JSLZIOT,X,O,O,O,O
JSLZOTI,X,O,O,X,O
JSLZOIT,X,O,O,X,O
JSLOTIZ,O,O,O,X,O
JSLOTZI,O,O,O,X,O
JSLOITZ,O,O,X,X,O
JSLOIZT,O,O,X,X,O
JSLOZTI,O,O,O,X,O
JSLOZIT,O,O,O,X,O
JSZTILO,O,O,O,O,O
JSZTIOL,O,X,O,O,O
JSZTLIO,O,O,O,O,O
JSZTLOI,O,O,O,X,O
JSZTOIL,O,X,O,X,O
JSZTOLI,O,X,O,X,O
JSZITLO,O,O,X,O,O
JSZITOL,O,X,X,O,O
JSZILTO,O,O,X,O,O
JSZILOT,X,O,O,O,O
JSZIOTL,X,X,X,O,O
JSZIOLT,X,X,X,O,O
JSZLTIO,O,O,O,O,O
JSZLTOI,O,O,O,X,O
JSZLITO,O,O,X,O,O
JSZLIOT,X,O,O,O,O
JSZLOTI,X,O,O,X,O
JSZLOIT,X,O,O,X,O
JSZOTIL,X,X,X,X,O
JSZOTLI,X,X,X,X,O
JSZOITL,X,X,X,X,O
JSZOILT,X,X,X,X,O
JSZOLTI,X,X,X,X,O
JSZOLIT,X,X,X,X,O
JSOTILZ,O,X,X,X,O
JSOTIZL,O,X,X,X,O
JSOTLIZ,O,X,X,X,O
JSOTLZI,O,X,X,X,O
JSOTZIL,O,X,X,X,O
JSOTZLI,O,X,X,X,O
JSOITLZ,O,X,X,X,O
JSOITZL,O,X,X,X,O
JSOILTZ,O,X,X,X,O
JSOILZT,O,X,X,X,O
JSOIZTL,O,X,X,X,O
JSOIZLT,O,X,X,X,O
JSOLTIZ,O,X,X,X,O
JSOLTZI,O,X,X,X,O
JSOLITZ,O,X,X,X,O
JSOLIZT,O,X,X,X,O
JSOLZTI,O,X,X,X,O
JSOLZIT,O,X,X,X,O
JSOZTIL,O,X,X,X,O
JSOZTLI,O,X,X,X,O
JSOZITL,O,X,X,X,O
JSOZILT,O,X,X,X,O
JSOZLTI,O,X,X,X,O
JSOZLIT,O,X,X,X,O
JZTILSO,O,O,O,O,O
JZTILOS,X,O,O,O,X
JZTISLO,O,O,O,O,O
JZTISOL,O,X,O,O,O
JZTIOLS,X,O,O,O,X
JZTIOSL,O,X,X,O,O
JZTLISO,O,O,O,O,O
JZTLIOS,X,O,O,O,X
JZTLSIO,O,O,O,O,O
JZTLSOI,O,O,O,X,O
JZTLOIS,X,O,O,O,X
JZTLOSI,X,O,O,O,X
JZTSILO,O,O,O,O,O
JZTSIOL,O,X,O,O,O
JZTSLIO,O,O,O,O,O
JZTSLOI,O,O,O,X,O
JZTSOIL,O,X,O,X,O
JZTSOLI,O,X,O,X,O
JZTOILS,X,O,O,O,X
JZTOISL,O,X,X,O,O
JZTOLIS,X,O,O,O,X
JZTOLSI,X,O,O,O,X
JZTOSIL,O,X,O,O,O
JZTOSLI,O,X,O,O,O
JZITLSO,O,O,O,O,O
JZITLOS,X,O,O,O,X
JZITSLO,O,O,O,O,O
JZITSOL,O,X,O,O,O
JZITOLS,X,O,O,O,X
JZITOSL,O,X,X,O,O
JZILTSO,X,O,O,O,O
JZILTOS,X,O,O,O,X
JZILSTO,X,O,X,O,O
JZILSOT,X,O,O,O,O
JZILOTS,X,O,O,O,X
JZILOST,X,O,O,O,X
JZISTLO,O,O,X,O,O
JZISTOL,O,X,X,O,O
JZISLTO,O,O,X,O,O
JZISLOT,X,O,O,O,O
JZISOTL,X,X,X,O,O
JZISOLT,X,X,X,O,O
JZIOTLS,X,O,X,O,X
JZIOTSL,X,X,X,O,O
JZIOLTS,X,O,O,O,X
JZIOLST,X,O,O,O,X
JZIOSTL,X,X,X,O,O
JZIOSLT,X,X,X,O,O
JZLTISO,X,O,O,O,O
JZLTIOS,X,O,O,O,X
JZLTSIO,X,O,O,O,O
JZLTSOI,X,O,O,X,O
JZLTOIS,X,O,O,O,X
JZLTOSI,X,O,O,O,X
JZLITSO,X,O,O,O,O
JZLITOS,X,O,O,O,X
JZLISTO,X,O,X,O,O
JZLISOT,X,O,O,O,O
JZLIOTS,X,O,O,O,X
JZLIOST,X,O,O,O,X
JZLSTIO,X,O,O,O,O
JZLSTOI,X,O,O,X,O
JZLSITO,X,O,X,O,O
JZLSIOT,X,O,O,O,O
JZLSOTI,X,O,O,X,O
JZLSOIT,X,O,O,X,O
JZLOTIS,X,O,O,O,X
JZLOTSI,X,O,O,O,X
JZLOITS,X,O,O,O,X
JZLOIST,X,O,O,O,X
JZLOSTI,X,O,O,O,X
JZLOSIT,X,O,O,O,X
JZSTILO,O,O,O,O,O
JZSTIOL,O,X,O,O,O
JZSTLIO,O,O,O,O,O
JZSTLOI,O,O,O,X,O
JZSTOIL,O,X,O,X,O
JZSTOLI,O,X,O,X,O
JZSITLO,O,O,X,O,O
JZSITOL,O,X,X,O,O
JZSILTO,O,O,X,O,O
JZSILOT,X,O,O,O,O
JZSIOTL,X,X,X,O,O
JZSIOLT,X,X,X,O,O
JZSLTIO,O,O,O,O,O
JZSLTOI,O,O,O,X,O
JZSLITO,O,O,X,O,O
JZSLIOT,X,O,O,O,O
JZSLOTI,X,O,O,X,O
JZSLOIT,X,O,O,X,O
JZSOTIL,X,X,X,X,O
JZSOTLI,X,X,X,X,O
JZSOITL,X,X,X,X,O
JZSOILT,X,X,X,X,O
JZSOLTI,X,X,X,X,O
JZSOLIT,X,X,X,X,O
JZOTILS,X,O,O,O,X
JZOTISL,X,X,X,O,O
JZOTLIS,X,O,O,O,X
JZOTLSI,X,O,O,O,X
JZOTSIL,X,X,O,O,O
JZOTSLI,X,X,O,O,O
JZOITLS,X,O,X,O,X
JZOITSL,X,X,X,O,O
JZOILTS,X,O,O,O,X
JZOILST,X,O,O,O,X
JZOISTL,X,X,X,O,O
JZOISLT,X,X,X,O,O
JZOLTIS,X,O,O,O,X
JZOLTSI,X,O,O,O,X
JZOLITS,X,O,O,O,X
JZOLIST,X,O,O,O,X
JZOLSTI,X,O,O,O,X
JZOLSIT,X,O,O,O,X
JZOSTIL,X,X,X,O,O
JZOSTLI,X,X,X,O,O
JZOSITL,X,X,X,O,O
JZOSILT,X,X,X,O,O
JZOSLTI,X,X,X,O,O
JZOSLIT,X,X,X,O,O
JOTILSZ,O,O,O,O,X
JOTILZS,O,O,O,O,X
JOTISLZ,O,X,X,O,O
JOTISZL,O,X,X,O,O
JOTIZLS,O,O,O,O,X
JOTIZSL,O,X,X,O,O
JOTLISZ,O,O,O,O,X
JOTLIZS,O,O,O,O,X
JOTLSIZ,O,O,O,O,X
JOTLSZI,O,O,O,O,X
JOTLZIS,O,O,O,O,X
JOTLZSI,O,O,O,O,X
JOTSILZ,O,X,O,O,O
JOTSIZL,O,X,O,O,O
JOTSLIZ,O,X,O,O,O
JOTSLZI,O,X,O,O,O
JOTSZIL,O,X,O,O,O
JOTSZLI,O,X,O,O,O
JOTZILS,O,O,O,O,X
JOTZISL,O,X,X,O,O
JOTZLIS,O,O,O,O,X
JOTZLSI,O,O,O,O,X
JOTZSIL,O,X,O,O,O
JOTZSLI,O,X,O,O,O
JOITLSZ,O,O,X,O,X
JOITLZS,O,O,X,O,X
JOITSLZ,O,X,X,O,O
JOITSZL,O,X,X,O,O
JOITZLS,O,O,X,O,X
JOITZSL,O,X,X,O,O
JOILTSZ,X,O,X,O,X
JOILTZS,X,O,X,O,X
JOILSTZ,X,O,X,X,X
JOILSZT,X,O,X,X,X
JOILZTS,X,O,X,O,X
JOILZST,X,O,X,O,X
JOISTLZ,O,X,X,X,O
JOISTZL,O,X,X,X,O
JOISLTZ,O,X,X,X,O
JOISLZT,O,X,X,X,O
JOISZTL,O,X,X,X,O
JOISZLT,O,X,X,X,O
JOIZTLS,O,O,X,O,X
JOIZTSL,O,X,X,O,O
JOIZLTS,X,O,X,O,X
JOIZLST,X,O,X,O,X
JOIZSTL,O,X,X,O,O
JOIZSLT,O,X,X,O,O
JOLTISZ,X,O,O,O,X
JOLTIZS,X,O,O,O,X
JOLTSIZ,X,O,O,O,X
JOLTSZI,X,O,O,O,X
JOLTZIS,X,O,O,O,X
JOLTZSI,X,O,O,O,X
JOLITSZ,X,O,O,O,X
JOLITZS,X,O,O,O,X
JOLISTZ,X,O,X,X,X
JOLISZT,X,O,X,X,X
JOLIZTS,X,O,O,O,X
JOLIZST,X,O,O,O,X
JOLSTIZ,X,O,O,O,X
JOLSTZI,X,O,O,O,X
JOLSITZ,X,O,X,X,X
JOLSIZT,X,O,X,X,X
JOLSZTI,X,O,O,O,X
JOLSZIT,X,O,O,O,X
JOLZTIS,X,O,O,O,X
JOLZTSI,X,O,O,O,X
JOLZITS,X,O,O,O,X
JOLZIST,X,O,O,O,X
JOLZSTI,X,O,O,O,X
JOLZSIT,X,O,O,O,X
JOSTILZ,O,X,X,O,O
JOSTIZL,O,X,X,O,O
JOSTLIZ,O,X,X,O,O
JOSTLZI,O,X,X,O,O
JOSTZIL,O,X,X,O,O
JOSTZLI,O,X,X,O,O
JOSITLZ,O,X,X,X,O
JOSITZL,O,X,X,X,O
JOSILTZ,O,X,X,X,O
JOSILZT,O,X,X,X,O
JOSIZTL,O,X,X,X,O
JOSIZLT,O,X,X,X,O
JOSLTIZ,O,X,X,O,O
JOSLTZI,O,X,X,O,O
JOSLITZ,O,X,X,X,O
JOSLIZT,O,X,X,X,O
JOSLZTI,O,X,X,O,O
JOSLZIT,O,X,X,O,O
JOSZTIL,O,X,X,O,O
JOSZTLI,O,X,X,O,O
JOSZITL,O,X,X,O,O
JOSZILT,O,X,X,O,O
JOSZLTI,O,X,X,O,O
JOSZLIT,O,X,X,O,O
JOZTILS,O,O,O,O,X
JOZTISL,O,X,X,O,O
JOZTLIS,O,O,O,O,X
JOZTLSI,O,O,O,O,X
JOZTSIL,O,X,O,O,O
JOZTSLI,O,X,O,O,O
JOZITLS,O,O,X,O,X
JOZITSL,O,X,X,O,O
JOZILTS,X,O,O,O,X
JOZILST,X,O,O,O,X
JOZISTL,O,X,X,O,O
JOZISLT,O,X,X,O,O
JOZLTIS,X,O,O,O,X
JOZLTSI,X,O,O,O,X
JOZLITS,X,O,O,O,X
JOZLIST,X,O,O,O,X
JOZLSTI,X,O,O,O,X
JOZLSIT,X,O,O,O,X
JOZSTIL,O,X,X,O,O
JOZSTLI,O,X,X,O,O
JOZSITL,O,X,X,O,O
JOZSILT,O,X,X,O,O
JOZSLTI,O,X,X,O,O
JOZSLIT,O,X,X,O,O
STILJZO,O,O,O,O,O
STILJOZ,O,O,O,X,O
STILZJO,O,X,O,O,O
STILZOJ,O,O,O,O,O
STILOJZ,O,O,O,O,O
STILOZJ,O,O,O,O,O
STIJLZO,O,O,O,O,O
STIJLOZ,O,O,O,X,O
STIJZLO,O,O,O,O,O
STIJZOL,O,X,O,O,O
STIJOLZ,O,X,O,X,O
STIJOZL,O,X,O,X,O
STIZLJO,O,X,O,X,O
STIZLOJ,O,O,O,X,O
STIZJLO,O,X,O,O,O
STIZJOL,O,X,X,O,O
STIZOLJ,O,X,O,X,O
STIZOJL,O,X,X,O,X
STIOLJZ,O,X,O,O,O
STIOLZJ,O,X,O,O,O
STIOJLZ,O,X,X,O,O
STIOJZL,O,X,X,O,O
STIOZLJ,O,X,O,X,O
STIOZJL,O,X,X,O,X
STLIJZO,O,O,O,O,O
STLIJOZ,O,O,O,X,O
STLIZJO,O,X,O,O,O
STLIZOJ,O,O,O,O,O
STLIOJZ,O,O,O,O,O
STLIOZJ,O,O,O,O,O
STLJIZO,O,O,O,O,O
STLJIOZ,O,O,O,X,O
STLJZIO,O,O,O,O,O
STLJZOI,O,O,O,X,O
STLJOIZ,O,O,O,X,O
STLJOZI,O,O,O,X,O
STLZIJO,O,X,O,O,O
STLZIOJ,O,O,O,O,O
STLZJIO,O,X,O,O,O
STLZJOI,O,X,O,X,O
STLZOIJ,O,O,O,O,O
STLZOJI,O,X,O,O,X
STLOIJZ,O,O,O,O,O
STLOIZJ,O,O,O,O,O
STLOJIZ,O,O,O,O,O
STLOJZI,O,O,O,O,O
STLOZIJ,O,O,O,O,O
STLOZJI,O,X,O,O,X
STJILZO,O,O,O,O,O
STJILOZ,O,O,O,X,O
STJIZLO,O,O,O,O,O
STJIZOL,O,X,O,O,O
STJIOLZ,O,X,O,X,O
STJIOZL,O,X,O,X,O
STJLIZO,O,O,O,O,O
STJLIOZ,O,O,O,X,O
STJLZIO,O,O,O,O,O
STJLZOI,O,O,O,X,O
STJLOIZ,O,O,O,X,O
STJLOZI,O,O,O,X,O
STJZILO,O,O,O,O,O
STJZIOL,O,X,O,O,O
STJZLIO,O,O,O,O,O
STJZLOI,O,O,O,X,O
STJZOIL,O,X,O,X,O
STJZOLI,O,X,O,X,O
STJOILZ,O,X,O,X,O
STJOIZL,O,X,O,X,O
STJOLIZ,O,X,O,X,O
STJOLZI,O,X,O,X,O
STJOZIL,O,X,O,X,O
STJOZLI,O,X,O,X,O
STZILJO,O,X,O,X,O
STZILOJ,O,O,O,X,O
STZIJLO,O,X,O,O,O
STZIJOL,O,X,X,O,O
STZIOLJ,O,X,O,X,O
STZIOJL,O,X,X,O,X
STZLIJO,O,X,O,O,O
STZLIOJ,O,O,O,O,O
STZLJIO,O,X,O,O,O
STZLJOI,O,X,O,X,O
STZLOIJ,O,O,O,O,O
STZLOJI,O,X,O,O,X
STZJILO,O,X,O,O,O
STZJIOL,O,X,O,O,O
STZJLIO,O,X,O,O,O
STZJLOI,O,X,O,X,O
STZJOIL,O,X,O,X,O
STZJOLI,O,X,O,X,O
STZOILJ,O,X,O,X,O
STZOIJL,O,X,X,O,X
STZOLIJ,O,X,O,O,O
STZOLJI,O,X,O,O,X
STZOJIL,O,X,X,O,X
STZOJLI,O,X,X,O,X
STOILJZ,O,X,O,O,O
STOILZJ,O,X,O,O,O
STOIJLZ,O,X,X,O,O
STOIJZL,O,X,X,O,O
STOIZLJ,O,X,O,X,O
STOIZJL,O,X,X,O,X
STOLIJZ,O,X,O,O,O
STOLIZJ,O,X,O,O,O
STOLJIZ,O,X,O,O,O
STOLJZI,O,X,O,O,O
STOLZIJ,O,X,O,O,O
STOLZJI,O,X,O,O,X
STOJILZ,O,X,O,O,O
STOJIZL,O,X,O,O,O
STOJLIZ,O,X,O,O,O
STOJLZI,O,X,O,O,O
STOJZIL,O,X,O,O,O
STOJZLI,O,X,O,O,O
STOZILJ,O,X,O,X,O
STOZIJL,O,X,X,O,X
STOZLIJ,O,X,O,O,O
STOZLJI,O,X,O,O,X
STOZJIL,O,X,X,O,X
STOZJLI,O,X,X,O,X
SITLJZO,O,O,X,X,O
SITLJOZ,O,O,X,X,O
SITLZJO,O,X,X,X,O
SITLZOJ,O,O,X,X,O
SITLOJZ,O,O,X,X,O
SITLOZJ,O,O,X,X,O
SITJLZO,O,O,X,X,O
SITJLOZ,O,O,X,X,O
SITJZLO,O,O,X,X,O
SITJZOL,O,X,X,X,O
SITJOLZ,O,X,X,X,O
SITJOZL,O,X,X,X,O
SITZLJO,O,X,X,X,O
SITZLOJ,O,O,X,X,O
SITZJLO,O,X,X,X,O
SITZJOL,O,X,X,X,O
SITZOLJ,O,X,X,X,O
SITZOJL,O,X,X,X,X
SITOLJZ,O,X,X,X,O
SITOLZJ,O,X,X,X,O
SITOJLZ,O,X,X,X,O
SITOJZL,O,X,X,X,O
SITOZLJ,O,X,X,X,O
SITOZJL,O,X,X,X,X
SILTJZO,O,O,X,X,O
SILTJOZ,O,O,X,X,O
