sequence,v115@FhB8HeB8GeD8BeB8CeB8JeKEJvhFzfBRhBcnBFmBXq?BWxB,v115@FhB8HeB8GeD8BeB8CeB8Je0/IvhFlgB/pBxmBiqBzr?BGsB,v115@FhB8HeB8GeD8BeB8CeB8JeOEJvhFXgBVmBUiBzpBRr?BSxB,v115@FhB8HeB8GeD8BeB8CeB8JeTCJvhFmlBxpBUsB/pB6r?BFqB,v115@FhB8HeB8GeD8BeB8CeB8Je0BJvhFmlBxpBzrB/pB6s?BFqB,v115@FhB8HeB8GeD8BeB8CeB8Jel/IvhF/pBOqBxmBzlBUs?BCsB,v115@FhB8HeB8GeD8BeB8CeB8JeUAJvhFFhBmpBRrB/pB6s?BzrB,v115@FhB8HeB8GeD8BeB8CeB8Jem/IvhFRhBTkBUmBFnBXq?BSxB,v115@FhB8HeB8GeD8BeB8CeB8Je0/IvhFxgBTiB/pBGmBiq?BVxB,v115@FhB8HeB8GeD8BeB8CeB8JeRAJvhF1mB0lBmpBzrB/p?B6sB,v115@FhB8HeB8GeD8BeB8CeB8JemAJvhFSnBxkBTkBXqBlr?BUsB,v115@FhB8HeB8GeD8BeB8CeB8JeXAJvhFxhB2pBzlBCnBVx?B0pB,v115@FhB8HeB8GeD8BeB8CeB8Jex/IvhFXhBypBFnBGrB0p?BTsB,v115@FhB8HeB8GeD8BeB8CeB8Jex/IvhF8lBSnBTkBeqB3m?BVxB,v115@FhB8HeB8GeD8BeB8CeB8Jem/IvhFChB/rBFnBxpB0p?BTsB,v115@FhB8HeB8GeD8BeB8CeB8JeKEJvhFUhBFlBRrBXsBzp?BGsB,v115@FhB8HeB8GeD8BeB8CeB8JeUBJvhF/pBFlBRrBTsBmp?BCsB
IZJOSTL,X,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
IZJOSLT,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
IZSTLJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSTLOJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O
IZSTJLO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IZSTJOL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O
IZSTOLJ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O
IZSTOJL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O
IZSLTJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
IZSLTOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O
IZSLJTO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJTOL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IZSJLTO,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZSOTJL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZSOLTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSOJLT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJLS,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOTJSL,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOTSLJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOLJTS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLJST,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOJTSL,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOJLTS,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLST,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
IZOJSLT,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOSTLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOSTJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOSLTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTLJZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTLSJZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTLSZJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTLZJS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTLZSJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTJLSZ,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
IOTJLZS,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
IOTJSLZ,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
IOTJSZL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTJZLS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IOTJZSL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IOTSLJZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTSLZJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTSJLZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTSJZL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZJLS,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTZJSL,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTZSLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLTZJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLJTSZ,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOLJTZS,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOLJSTZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSZT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOLSJTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJZT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLZJTS,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZJST,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
IOJTLZS,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
IOJTSLZ,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
IOJTSZL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJTZLS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IOJTZSL,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IOJLTSZ,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IOJLTZS,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IOJLSTZ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJLSZT,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJLZTS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJLZST,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOJSTZL,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJSLTZ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJSLZT,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJSZTL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJSZLT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJZTLS,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
IOJZTSL,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
IOJZLTS,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJZLST,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJZSTL,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
IOJZSLT,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
IOSTLJZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSTLZJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O
IOSTJLZ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOSTJZL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOSTZLJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IOSTZJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IOSLTJZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSLJTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJZT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IOSJTZL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSJLZT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZLT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOSZTJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOSZLTJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTJLS,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZTJSL,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZTSLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZLJTS,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLJST,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZJTSL,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZJLTS,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLST,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZJSLT,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZSTLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOZSTJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOZSLTJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSLJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJTL,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSZO,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X
LTIJSOZ,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTIJZSO,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X
LTIJZOS,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
LTIJOSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIJOZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTISJZO,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
LTISJOZ,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTISZJO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
LTISZOJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LTISOJZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTISOZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LTIZJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIZJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZSJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIZSOJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
LTIZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIOJSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIOJZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIOSJZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIOSZJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LTIOZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOZSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTJISZO,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X
LTJISOZ,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTJIZSO,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X
LTJIZOS,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
LTJIOSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTJIOZS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTJSIZO,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
LTJSIOZ,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTJSZIO,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
LTJSZOI,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
LTJSOIZ,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTJSOZI,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
LTJZISO,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X
LTJZIOS,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
LTJZSIO,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
LTJZSOI,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
LTJZOIS,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
LTJZOSI,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
LTJOISZ,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTJOIZS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTJOSIZ,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTJOSZI,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
LTJOZIS,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
LTJOZSI,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
LTSIJZO,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
LTSIJOZ,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTSIZJO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
LTSIZOJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LTSIOJZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTSIOZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LTSJIZO,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
LTSJIOZ,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTSJZIO,O,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
LTSJZOI,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
LTSJOIZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTSJOZI,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
LTSZIJO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
LTSZIOJ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
LTSZJIO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTSZJOI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSZOIJ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTSZOJI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTSOIJZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTSOIZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSOJIZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTSOJZI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTSOZIJ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTSOZJI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTZIJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTZIJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZISJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTZISOJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
LTZIOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTZJISO,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X
LTZJIOS,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
LTZJSIO,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
LTZJSOI,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
LTZJOIS,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
LTZJOSI,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
LTZSIJO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
LTZSIOJ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
LTZSJIO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTZSJOI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZSOIJ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTZSOJI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTZOIJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOISJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTZOJIS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZOJSI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZOSIJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZOSJI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOIJSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOIJZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOISJZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOISZJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LTOIZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIZSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTOJISZ,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTOJIZS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTOJSIZ,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTOJSZI,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
LTOJZIS,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
LTOJZSI,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X
LTOSIJZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTOSIZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOSJIZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTOSJZI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOSZIJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOSZJI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOZIJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZISJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTOZJIS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOZJSI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOZSIJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOZSJI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITJSZO,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X
LITJSOZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LITJZSO,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X
LITJZOS,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
LITJOSZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LITJOZS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
LITSJZO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
LITSJOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITSZJO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
LITSZOJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
LITSOJZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITSOZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
LITZJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITZJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITZSJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITZSOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITZOJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITZOSJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITOJSZ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITOJZS,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
