sequence,v115@HhA8IeF8DeB8EeC8Je0/IvhFlgBWnBxiBToBXsByvB,v115@HhA8IeF8DeB8EeC8Jel/IvhF3gBTjBxsBurBcsByvB,v115@HhA8IeF8DeB8EeC8Jex/IvhFmhBCjBToBXsBUqBFrB,v115@HhA8IeF8DeB8EeC8Je0/IvhFlgBWnBTjBxsByvBXsB,v115@HhA8IeF8DeB8EeC8Je0/IvhFmgBCiBTjBxsB1vBXsB,v115@HhA8IeF8DeB8EeC8Je0/IvhFxgBKnBziB+oB3qB1wB,v115@HhA8IeF8DeB8EeC8Jel/IvhFUhBRiB+oB3nBTqBywB,v115@HhA8IeF8DeB8EeC8Je0/IvhFlgB3hBOsBToBCoBxvB,v115@HhA8IeF8DeB8EeC8Jel/IvhFRhBGjBUoBXsBTqBirB,v115@HhA8IeF8DeB8EeC8Jel/IvhFUhBGjBxsBTqBisB3rB,v115@HhA8IeF8DeB8EeC8Jex/IvhFKnBziB+oBFqBXrB0rB,v115@HhA8IeF8DeB8EeC8Je0/IvhFxgBOnB6oBznB3qB1wB,v115@HhA8IeF8DeB8EeC8Jel/IvhFThBiiB+oB3nBcqBRwB,v115@HhA8IeF8DeB8EeC8Jex/IvhFOnB6oBznBFqBXrB0rB,v115@HhA8IeF8DeB8EeC8JeSFJvhFxiBcsBToBlrBmpBXrB,v115@HhA8IeF8DeB8EeC8Jel/IvhFThBOnBXjBStBcqBRwB,v115@HhA8IeF8DeB8EeC8Je0/IvhFVmBxnBGoBisBTqB3rB
TLIJOZS,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TLISJZO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLISZJO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TLISZOJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLISOZJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLIZJSO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TLIZJOS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
TLIZSJO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TLIZSOJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
TLIZOSJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLIOJSZ,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
TLIOJZS,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
TLIOSJZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLIOSZJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLIOZJS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
TLIOZSJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TLJIZOS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TLJIOSZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJSIZO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLJSZIO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLJSOZI,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O
TLJZIOS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TLJZSIO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJOSZI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLSIJZO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSIJOZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSIZJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSIZOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSIOZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSJIOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSJZIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSZIJO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TLSZIOJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSZJIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSZJOI,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSZOJI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSOIJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSOIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSOJZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSOZIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZJI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TLZIJOS,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TLZISJO,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TLZISOJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O
TLZIOSJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TLZJIOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLZJSIO,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZSIJO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TLZSIOJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZSJIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZSJOI,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZSOJI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZOIJS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TLZOISJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZOJIS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLZOJSI,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
TLZOSIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZOSJI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLOIJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TLOIJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TLOISJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOISZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOIZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TLOJIZS,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TLOJSIZ,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TLOJSZI,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
TLOJZIS,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TLOJZSI,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
TLOSIJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOSIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOSJZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOSZIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSZJI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZIJS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TLOZISJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLOZJIS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLOZJSI,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
TLOZSIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLOZSJI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TJILSZO,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILSOZ,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TJILZSO,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILZOS,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TJILOSZ,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TJILOZS,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TJISLZO,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJISLOZ,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
TJISZLO,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJISZOL,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TJISOLZ,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
TJISOZL,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X
TJIZLSO,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIZLOS,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
