sequence,v115@EhC8HeB8HeB8BeC8CeB8JeZEJvhFCgBXhBVnB8pBGr?BTsB,v115@EhC8HeB8HeB8BeC8CeB8Je2EJvhFRgBUiB3lB1rBTp?BSxB,v115@EhC8HeB8HeB8BeC8CeB8JeZEJvhFzfBfmBlhB8rB+s?BCqB,v115@EhC8HeB8HeB8BeC8CeB8Jex/IvhF8lBzhBikB+sB3p?BlrB,v115@EhC8HeB8HeB8BeC8CeB8Jex/IvhFlhBOpB8pBzlBXn?BSxB,v115@EhC8HeB8HeB8BeC8CeB8Jei/IvhFRhBFlBXmB8rB+s?BTpB,v115@EhC8HeB8HeB8BeC8CeB8JeZEJvhFChBVnBupB/rBUl?BTsB,v115@EhC8HeB8HeB8BeC8CeB8JeXAJvhF8lBzhBlpBxrBOp?BSxB,v115@EhC8HeB8HeB8BeC8CeB8JeZEJvhFfmBlhBUlB6sBup?BzrB
TZIOJSL,O,O,X,X,O,X,X,O,X
TZIOSLJ,O,O,X,X,O,X,X,O,X
TZIOSJL,O,O,X,X,O,X,X,O,X
TZLIJSO,O,X,X,X,X,O,X,O,X
TZLIJOS,O,X,X,X,X,O,X,O,X
TZLISJO,X,X,X,X,O,X,X,O,O
TZLISOJ,X,X,X,X,O,X,X,O,O
TZLIOJS,O,X,X,X,O,X,X,O,X
TZLIOSJ,O,X,X,X,O,X,X,O,X
TZLJISO,O,X,X,X,O,O,X,X,X
TZLJIOS,O,X,X,X,O,O,X,X,X
TZLJSIO,O,X,X,X,O,O,X,X,X
TZLJSOI,O,X,X,X,O,O,X,X,X
TZLJOIS,O,X,X,X,O,O,X,X,X
TZLJOSI,O,X,X,X,O,O,X,X,X
TZLSIJO,X,O,X,X,O,X,X,O,O
TZLSIOJ,X,X,X,X,O,X,X,O,O
TZLSJIO,X,O,X,X,O,X,X,X,O
TZLSJOI,X,X,X,X,O,X,X,X,X
TZLSOIJ,X,O,X,X,O,X,X,X,O
TZLSOJI,X,O,X,X,O,X,X,X,X
TZLOIJS,O,X,X,X,O,X,X,X,X
TZLOISJ,O,X,X,X,O,X,X,X,X
TZLOJIS,O,O,X,X,O,X,X,X,X
TZLOJSI,O,O,X,X,O,X,X,X,X
TZLOSIJ,O,O,X,X,O,X,X,X,X
TZLOSJI,O,O,X,X,O,X,X,X,X
TZJILSO,O,X,X,X,O,O,X,O,X
TZJILOS,O,X,X,O,O,O,X,O,X
TZJISLO,O,X,X,O,X,O,X,O,X
TZJISOL,O,X,X,O,X,O,X,O,X
TZJIOLS,O,X,X,O,O,O,X,O,X
TZJIOSL,O,X,X,O,O,X,X,O,X
TZJLISO,O,X,X,X,O,O,X,X,X
TZJLIOS,O,X,X,O,O,O,X,X,X
TZJLSIO,O,X,X,O,O,O,X,X,X
TZJLSOI,O,X,X,O,O,O,X,X,X
TZJLOIS,O,X,X,O,O,O,X,X,X
TZJLOSI,O,X,X,O,O,O,X,X,X
TZJSILO,O,O,X,O,X,O,X,O,X
TZJSIOL,O,O,X,O,X,O,X,O,X
TZJSLIO,O,O,X,O,X,O,X,X,X
TZJSLOI,O,X,X,O,X,O,X,X,X
TZJSOIL,O,O,X,O,X,O,X,X,X
TZJSOLI,O,O,X,O,X,O,X,X,X
TZJOILS,O,O,X,O,O,O,X,X,X
TZJOISL,O,O,X,O,O,X,X,X,X
TZJOLIS,O,O,X,O,O,O,X,X,X
TZJOLSI,O,O,X,O,O,O,X,X,X
TZJOSIL,O,O,X,O,O,O,X,X,X
TZJOSLI,O,O,X,O,X,O,X,X,X
TZSILJO,X,O,X,X,X,X,X,O,O
TZSILOJ,X,X,X,X,X,X,X,O,O
TZSIJLO,X,O,X,O,X,X,X,O,X
TZSIJOL,X,O,X,O,X,X,X,O,X
TZSIOLJ,X,O,X,X,X,X,X,O,X
TZSIOJL,X,O,X,X,X,X,X,O,X
TZSLIJO,X,O,X,O,X,X,X,O,O
TZSLIOJ,X,X,X,X,X,X,X,O,O
TZSLJIO,X,O,X,O,X,X,X,X,O
TZSLJOI,X,X,X,O,X,X,X,X,X
TZSLOIJ,X,O,X,X,X,X,X,X,O
TZSLOJI,X,O,X,X,X,X,X,X,X
TZSJILO,X,O,X,O,X,X,X,O,X
TZSJIOL,X,O,X,O,X,X,X,O,X
TZSJLIO,X,O,X,O,X,X,X,X,X
TZSJLOI,X,X,X,O,X,X,X,X,X
TZSJOIL,X,O,X,O,X,X,X,X,X
TZSJOLI,X,O,X,O,X,X,X,X,X
TZSOILJ,X,O,X,X,X,X,X,O,X
TZSOIJL,X,O,X,X,X,X,X,O,X
TZSOLIJ,X,O,X,X,X,X,X,X,X
TZSOLJI,X,O,X,X,X,X,X,X,X
TZSOJIL,X,O,X,X,X,X,X,X,X
TZSOJLI,X,O,X,X,X,X,X,X,X
TZOILJS,O,X,X,X,O,X,X,O,X
TZOILSJ,O,X,X,X,O,X,X,O,X
TZOIJLS,O,O,X,X,O,X,X,O,X
TZOIJSL,O,O,X,X,O,X,X,O,X
TZOISLJ,O,O,X,X,O,X,X,O,X
TZOISJL,O,O,X,X,O,X,X,O,X
TZOLIJS,O,X,X,X,O,X,X,X,X
TZOLISJ,O,X,X,X,O,X,X,X,X
TZOLJIS,O,O,X,X,O,X,X,X,X
TZOLJSI,O,O,X,X,O,X,X,X,X
TZOLSIJ,O,O,X,X,O,X,X,X,X
TZOLSJI,O,O,X,X,O,X,X,X,X
TZOJILS,O,O,X,X,O,X,X,X,X
TZOJISL,O,O,X,X,O,X,X,X,X
TZOJLIS,O,O,X,X,O,X,X,X,X
TZOJLSI,O,O,X,X,O,X,X,X,X
TZOJSIL,O,O,X,X,O,X,X,X,X
TZOJSLI,O,O,X,X,X,X,X,X,X
TZOSILJ,O,O,X,X,O,X,X,O,X
TZOSIJL,O,O,X,X,O,X,X,O,X
TZOSLIJ,O,O,X,X,X,X,X,X,X
TZOSLJI,O,O,X,X,X,X,X,X,X
TZOSJIL,O,O,X,X,O,X,X,X,X
TZOSJLI,O,O,X,X,X,X,X,X,X
TOILJSZ,O,X,X,X,O,O,O,X,X
TOILJZS,O,X,X,X,O,O,X,X,X
TOILSJZ,O,X,X,X,O,O,O,X,X
TOILSZJ,O,X,X,X,O,X,O,X,X
TOILZJS,O,X,X,X,O,O,X,O,X
TOILZSJ,O,X,X,X,O,X,X,O,X
TOIJLSZ,O,X,X,X,O,O,O,X,X
TOIJLZS,O,O,X,X,O,O,X,X,X
TOIJSLZ,O,O,X,X,X,O,O,X,X
TOIJSZL,O,O,X,X,X,X,O,X,X
TOIJZLS,O,O,X,X,O,O,X,O,X
TOIJZSL,O,O,X,X,O,O,O,O,X
TOISLJZ,O,O,X,X,O,O,O,X,X
TOISLZJ,O,O,X,X,O,X,O,X,X
TOISJLZ,O,O,X,X,X,X,O,X,X
TOISJZL,O,O,X,X,X,X,O,X,X
TOISZLJ,O,O,X,X,O,X,O,O,X
TOISZJL,O,O,X,X,O,X,O,O,X
TOIZLJS,O,X,X,X,O,O,X,O,X
TOIZLSJ,O,X,X,X,O,X,X,O,X
TOIZJLS,O,O,X,X,O,X,X,O,X
TOIZJSL,O,O,X,X,O,X,O,O,X
TOIZSLJ,O,O,X,X,O,X,O,O,X
TOIZSJL,O,O,X,X,O,X,O,O,X
TOLIJSZ,O,O,X,X,O,O,O,X,X
TOLIJZS,O,O,X,X,O,O,X,X,X
TOLISJZ,O,O,X,X,O,O,O,X,X
TOLISZJ,O,O,X,X,O,X,O,X,X
TOLIZJS,O,O,X,X,O,O,X,X,X
TOLIZSJ,O,O,X,X,O,X,X,X,X
TOLJISZ,O,O,X,X,O,O,O,X,X
TOLJIZS,O,O,X,X,O,O,X,X,X
TOLJSIZ,O,O,X,X,X,O,O,X,X
TOLJSZI,O,O,X,X,X,O,O,X,X
TOLJZIS,O,O,X,X,O,O,X,X,X
TOLJZSI,O,O,X,X,O,O,X,X,X
TOLSIJZ,O,O,X,X,O,O,O,X,X
TOLSIZJ,O,O,X,X,O,X,O,X,X
TOLSJIZ,O,O,X,X,O,O,O,X,X
TOLSJZI,O,O,X,X,O,O,O,X,X
TOLSZIJ,O,O,X,X,O,X,O,X,X
TOLSZJI,O,O,X,X,O,X,O,X,X
TOLZIJS,O,O,X,X,O,O,X,X,X
TOLZISJ,O,O,X,X,O,X,X,X,X
TOLZJIS,O,O,X,X,O,O,X,X,X
TOLZJSI,O,O,X,X,O,O,X,X,X
TOLZSIJ,O,O,X,X,O,X,X,X,X
TOLZSJI,O,O,X,X,O,X,X,X,X
TOJILSZ,O,O,X,X,O,O,O,X,X
TOJILZS,O,O,X,X,O,O,X,X,X
TOJISLZ,O,O,X,X,X,O,O,X,X
TOJISZL,O,O,X,X,X,X,O,X,X
TOJIZLS,O,O,X,X,O,O,X,X,X
TOJIZSL,O,O,X,X,O,O,O,X,X
TOJLISZ,O,O,X,X,X,O,O,X,X
TOJLIZS,O,O,X,X,X,O,X,X,X
TOJLSIZ,O,O,X,X,X,O,O,X,X
TOJLSZI,O,O,X,X,X,O,O,X,X
TOJLZIS,O,O,X,X,X,O,X,X,X
TOJLZSI,O,O,X,X,X,O,X,X,X
TOJSILZ,O,O,X,X,X,O,O,X,X
TOJSIZL,O,O,X,X,X,X,O,X,X
TOJSLIZ,O,O,X,X,X,O,O,X,X
TOJSLZI,O,O,X,X,X,O,O,X,X
TOJSZIL,O,O,X,X,X,O,O,X,X
TOJSZLI,O,O,X,X,X,O,O,X,X
TOJZILS,O,O,X,X,O,O,X,X,X
TOJZISL,O,O,X,X,O,O,O,X,X
TOJZLIS,O,O,X,X,O,O,X,X,X
TOJZLSI,O,O,X,X,X,O,X,X,X
TOJZSIL,O,O,X,X,O,O,O,X,X
TOJZSLI,O,O,X,X,X,O,O,X,X
TOSILJZ,O,O,X,X,O,O,O,X,X
TOSILZJ,O,O,X,X,O,X,O,X,X
TOSIJLZ,O,O,X,X,X,X,O,X,X
TOSIJZL,O,O,X,X,X,X,O,X,X
TOSIZLJ,O,O,X,X,O,X,O,X,X
TOSIZJL,O,O,X,X,O,X,O,X,X
TOSLIJZ,O,O,X,X,X,O,O,X,X
TOSLIZJ,O,O,X,X,X,X,O,X,X
TOSLJIZ,O,O,X,X,X,O,O,X,X
TOSLJZI,O,O,X,X,X,O,O,X,X
TOSLZIJ,O,O,X,X,X,X,O,X,X
TOSLZJI,O,O,X,X,X,X,O,X,X
TOSJILZ,O,O,X,X,X,O,O,X,X
TOSJIZL,O,O,X,X,X,X,O,X,X
TOSJLIZ,O,O,X,X,X,O,O,X,X
TOSJLZI,O,O,X,X,X,O,O,X,X
TOSJZIL,O,O,X,X,X,O,O,X,X
TOSJZLI,O,O,X,X,X,O,O,X,X
TOSZILJ,O,O,X,X,O,X,O,O,X
TOSZIJL,O,O,X,X,O,X,O,O,X
TOSZLIJ,O,O,X,X,X,X,O,X,X
TOSZLJI,O,O,X,X,X,X,O,X,X
TOSZJIL,O,O,X,X,O,X,O,X,X
TOSZJLI,O,O,X,X,X,X,O,X,X
TOZILJS,O,X,X,X,O,O,X,O,X
TOZILSJ,O,X,X,X,O,X,X,O,X
TOZIJLS,O,O,X,X,O,X,X,O,X
TOZIJSL,O,O,X,X,O,X,O,O,X
TOZISLJ,O,O,X,X,O,X,O,O,X
TOZISJL,O,O,X,X,O,X,O,O,X
TOZLIJS,O,X,X,X,O,O,X,X,X
TOZLISJ,O,X,X,X,O,X,X,X,X
TOZLJIS,O,O,X,X,O,O,X,X,X
TOZLJSI,O,O,X,X,O,O,X,X,X
TOZLSIJ,O,O,X,X,O,X,X,X,X
TOZLSJI,O,O,X,X,O,X,X,X,X
TOZJILS,O,O,X,X,O,O,X,X,X
TOZJISL,O,O,X,X,O,O,O,X,X
TOZJLIS,O,O,X,X,O,O,X,X,X
TOZJLSI,O,O,X,X,O,O,X,X,X
TOZJSIL,O,O,X,X,O,O,O,X,X
TOZJSLI,O,O,X,X,X,O,O,X,X
TOZSILJ,O,O,X,X,O,X,O,O,X
TOZSIJL,O,O,X,X,O,X,O,O,X
TOZSLIJ,O,O,X,X,X,X,O,X,X
TOZSLJI,O,O,X,X,X,X,O,X,X
TOZSJIL,O,O,X,X,O,X,O,X,X
TOZSJLI,O,O,X,X,X,X,O,X,X
ITLJSZO,X,X,O,X,X,O,X,X,O
ITLJSOZ,X,X,O,X,X,X,X,X,X
ITLJZSO,X,X,O,X,X,O,X,X,X
ITLJZOS,X,X,O,X,X,O,X,X,X
ITLJOSZ,X,X,O,X,X,X,X,X,X
ITLJOZS,X,X,O,X,X,O,X,X,X
ITLSJZO,X,X,O,X,X,O,X,X,O
ITLSJOZ,X,X,O,X,X,X,X,X,X
ITLSZJO,X,X,X,X,X,X,X,X,O
ITLSZOJ,X,X,X,X,X,X,X,X,O
ITLSOJZ,X,X,O,X,X,X,X,X,X
ITLSOZJ,X,X,X,X,X,X,X,X,O
ITLZJSO,X,X,X,X,X,O,X,O,X
ITLZJOS,X,X,X,X,X,O,X,O,X
ITLZSJO,X,X,X,X,X,X,X,O,O
ITLZSOJ,X,X,X,X,X,X,X,O,O
ITLZOJS,X,X,X,X,X,X,X,O,X
ITLZOSJ,X,X,X,X,X,X,X,O,X
ITLOJSZ,X,X,O,X,X,X,X,X,X
ITLOJZS,X,X,O,X,X,O,X,X,X
ITLOSJZ,X,X,O,X,X,X,X,X,X
ITLOSZJ,X,X,X,X,X,X,X,X,O
ITLOZJS,X,X,X,X,X,X,X,O,X
ITLOZSJ,X,X,X,X,X,X,X,O,X
ITJLSZO,O,X,O,X,X,O,X,X,X
ITJLSOZ,X,X,O,X,X,X,X,X,X
ITJLZSO,O,X,O,X,X,O,X,X,X
ITJLZOS,O,X,O,X,X,O,X,X,X
ITJLOSZ,X,X,O,X,X,X,X,X,X
ITJLOZS,X,X,O,X,X,O,X,X,X
ITJSLZO,O,X,O,X,X,O,O,X,X
ITJSLOZ,X,X,O,X,X,X,O,X,X
ITJSZLO,O,X,O,X,X,X,O,X,X
ITJSZOL,O,X,O,X,X,X,X,X,X
ITJSOLZ,X,X,X,X,X,X,O,X,X
ITJSOZL,O,X,X,X,X,X,X,X,X
ITJZLSO,O,X,O,X,X,O,X,O,X
ITJZLOS,O,X,O,X,X,O,X,O,X
ITJZSLO,O,X,O,X,X,O,X,O,X
ITJZSOL,O,X,O,X,X,O,X,O,X
ITJZOLS,O,X,X,X,X,O,X,O,X
ITJZOSL,O,X,O,X,X,X,X,O,X
ITJOLSZ,X,X,X,X,X,X,O,X,X
ITJOLZS,X,X,X,X,X,O,X,X,X
ITJOSLZ,X,X,X,X,X,X,O,X,X
ITJOSZL,O,X,X,X,X,X,O,X,X
ITJOZLS,O,X,X,X,X,X,X,O,X
ITJOZSL,O,X,X,X,X,X,O,O,X
ITSLJZO,X,O,O,X,X,O,O,X,O
ITSLJOZ,X,X,O,X,X,X,O,X,X
ITSLZJO,X,O,X,X,X,X,O,X,O
ITSLZOJ,X,X,X,X,X,X,X,X,O
ITSLOJZ,X,X,O,X,X,X,O,X,X
ITSLOZJ,X,X,X,X,X,X,X,X,O
ITSJLZO,X,O,O,X,X,X,O,X,X
ITSJLOZ,X,X,O,X,X,X,O,X,X
ITSJZLO,X,O,O,X,X,X,O,X,X
ITSJZOL,X,O,O,X,X,X,X,X,X
ITSJOLZ,X,X,X,X,X,X,O,X,X
ITSJOZL,X,O,X,X,X,X,X,X,X
ITSZLJO,X,O,X,X,X,X,O,O,O
ITSZLOJ,X,X,X,X,X,X,X,O,O
ITSZJLO,X,O,X,X,X,X,O,O,X
ITSZJOL,X,O,X,X,X,X,X,O,X
ITSZOLJ,X,O,X,X,X,X,X,O,X
ITSZOJL,X,O,X,X,X,X,X,O,X
ITSOLJZ,X,O,X,X,X,X,O,X,X
ITSOLZJ,X,O,X,X,X,X,X,X,X
ITSOJLZ,X,O,X,X,X,X,O,X,X
ITSOJZL,X,O,X,X,X,X,X,X,X
ITSOZLJ,X,O,X,X,X,X,X,O,X
ITSOZJL,X,O,X,X,X,X,X,O,X
ITZLJSO,O,X,X,X,X,O,X,O,X
ITZLJOS,O,X,X,X,X,O,X,O,X
ITZLSJO,X,X,X,X,X,X,X,O,O
ITZLSOJ,X,X,X,X,X,X,X,O,O
ITZLOJS,O,X,X,X,X,X,X,O,X
ITZLOSJ,O,X,X,X,X,X,X,O,X
ITZJLSO,O,X,X,X,X,X,X,O,X
ITZJLOS,O,X,X,X,X,X,X,O,X
ITZJSLO,O,X,X,X,X,X,X,O,X
ITZJSOL,O,X,X,X,X,X,X,O,X
ITZJOLS,O,X,X,X,X,X,X,O,X
ITZJOSL,O,X,X,X,X,X,X,O,X
ITZSLJO,X,O,X,X,X,X,X,O,O
ITZSLOJ,X,X,X,X,X,X,X,O,O
ITZSJLO,X,O,X,X,X,X,X,O,X
ITZSJOL,X,O,X,X,X,X,X,O,X
ITZSOLJ,X,O,X,X,X,X,X,O,X
ITZSOJL,X,O,X,X,X,X,X,O,X
ITZOLJS,O,X,X,X,X,X,X,O,X
ITZOLSJ,O,X,X,X,X,X,X,O,X
ITZOJLS,O,O,X,X,X,X,X,O,X
ITZOJSL,O,O,X,X,X,X,X,O,X
ITZOSLJ,O,O,X,X,X,X,X,O,X
ITZOSJL,O,O,X,X,X,X,X,O,X
ITOLJSZ,O,X,X,X,X,X,O,X,X
ITOLJZS,O,X,X,X,X,O,X,X,X
ITOLSJZ,O,X,X,X,X,X,O,X,X
ITOLSZJ,O,X,X,X,X,X,O,X,X
ITOLZJS,O,X,X,X,X,X,X,O,X
ITOLZSJ,O,X,X,X,X,X,X,O,X
ITOJLSZ,O,X,X,X,X,X,O,X,X
ITOJLZS,O,O,X,X,X,X,X,X,X
ITOJSLZ,O,O,X,X,X,X,O,X,X
ITOJSZL,O,O,X,X,X,X,O,X,X
ITOJZLS,O,O,X,X,X,X,X,O,X
ITOJZSL,O,O,X,X,X,X,O,O,X
ITOSLJZ,O,O,X,X,X,X,O,X,X
ITOSLZJ,O,O,X,X,X,X,O,X,X
ITOSJLZ,O,O,X,X,X,X,O,X,X
ITOSJZL,O,O,X,X,X,X,O,X,X
ITOSZLJ,O,O,X,X,X,X,O,O,X
ITOSZJL,O,O,X,X,X,X,O,O,X
ITOZLJS,O,X,X,X,X,X,X,O,X
ITOZLSJ,O,X,X,X,X,X,X,O,X
ITOZJLS,O,O,X,X,X,X,X,O,X
ITOZJSL,O,O,X,X,X,X,O,O,X
ITOZSLJ,O,O,X,X,X,X,O,O,X
ITOZSJL,O,O,X,X,X,X,O,O,X
ILTJSZO,X,X,O,X,X,X,X,X,O
ILTJSOZ,X,X,O,X,X,X,X,X,X
ILTJZSO,X,X,O,X,X,X,X,X,X
ILTJZOS,X,X,O,X,X,X,X,X,X
ILTJOSZ,X,X,O,X,X,X,X,X,X
ILTJOZS,X,X,O,X,X,X,X,X,X
ILTSJZO,X,O,O,X,X,X,X,X,O
ILTSJOZ,X,O,O,X,X,X,X,X,X
ILTSZJO,X,O,X,X,X,X,X,X,O
ILTSZOJ,X,O,X,X,X,X,X,X,O
ILTSOJZ,X,O,O,X,X,X,X,X,X
ILTSOZJ,X,O,X,X,X,X,X,X,O
ILTZJSO,X,X,X,X,X,X,X,O,X
ILTZJOS,X,X,X,X,X,X,X,O,X
ILTZSJO,X,O,X,X,X,X,X,O,O
ILTZSOJ,X,O,X,X,X,X,X,O,O
ILTZOJS,X,O,X,X,X,X,X,O,X
ILTZOSJ,X,O,X,X,X,X,X,O,X
ILTOJSZ,X,O,O,X,X,X,X,X,X
ILTOJZS,X,O,O,X,X,X,X,X,X
ILTOSJZ,X,O,O,X,X,X,X,X,X
ILTOSZJ,X,O,X,X,X,X,X,X,O
ILTOZJS,X,O,X,X,X,X,X,O,X
ILTOZSJ,X,O,X,X,X,X,X,O,X
ILJTSZO,O,X,O,X,X,X,X,X,O
ILJTSOZ,X,X,O,X,X,X,X,X,X
ILJTZSO,O,X,O,X,X,X,X,X,X
ILJTZOS,O,X,O,X,X,X,X,X,X
ILJTOSZ,X,X,O,X,X,X,X,X,X
ILJTOZS,X,X,O,X,X,X,X,X,X
ILJSTZO,X,X,O,X,X,X,O,X,O
ILJSTOZ,X,X,O,X,X,X,O,X,X
ILJSZTO,X,X,O,X,X,X,X,X,O
ILJSZOT,X,X,O,X,X,X,X,X,X
ILJSOTZ,X,X,O,X,X,X,X,X,X
ILJSOZT,X,X,O,X,X,X,X,X,X
ILJZTSO,O,X,O,X,X,X,X,X,X
ILJZTOS,O,X,O,X,X,X,X,X,X
ILJZSTO,O,X,O,X,X,X,X,X,O
ILJZSOT,X,X,O,X,X,X,X,X,X
ILJZOTS,O,X,O,X,X,X,X,X,X
ILJZOST,X,X,O,X,X,X,X,X,X
ILJOTSZ,X,X,O,X,X,X,O,X,X
ILJOTZS,X,X,O,X,X,X,X,X,X
ILJOSTZ,X,X,O,X,X,X,X,X,X
ILJOSZT,X,X,O,X,X,X,X,X,X
ILJOZTS,X,X,O,X,X,X,X,X,X
ILJOZST,X,X,O,X,X,X,X,X,X
ILSTJZO,X,X,O,X,X,X,O,X,O
ILSTJOZ,X,X,O,X,X,X,O,X,X
ILSTZJO,X,X,X,X,O,X,O,X,O
ILSTZOJ,X,X,X,X,O,X,X,X,O
ILSTOJZ,X,X,O,X,O,X,O,X,X
ILSTOZJ,X,X,X,X,O,X,X,X,O
ILSJTZO,X,X,O,X,X,X,O,X,O
ILSJTOZ,X,X,O,X,X,X,O,X,X
ILSJZTO,X,X,O,X,X,X,X,X,O
ILSJZOT,X,X,O,X,X,X,X,X,X
ILSJOTZ,X,X,O,X,X,X,X,X,X
ILSJOZT,X,X,O,X,X,X,X,X,X
ILSZTJO,X,X,X,X,O,X,X,X,O
ILSZTOJ,X,X,X,X,O,X,X,X,O
ILSZJTO,X,X,O,X,O,X,X,X,O
ILSZJOT,X,X,O,X,O,X,X,X,X
ILSZOTJ,X,X,X,X,O,X,X,X,O
ILSZOJT,X,X,O,X,O,X,X,X,X
ILSOTJZ,X,X,O,X,O,X,X,X,X
ILSOTZJ,X,X,X,X,O,X,X,X,O
ILSOJTZ,X,X,O,X,O,X,X,X,X
ILSOJZT,X,X,O,X,X,X,X,X,X
ILSOZTJ,X,X,X,X,O,X,X,X,O
ILSOZJT,X,X,O,X,O,X,X,X,X
ILZTJSO,O,X,X,X,X,X,X,O,X
ILZTJOS,O,X,X,X,X,X,X,O,X
ILZTSJO,X,O,X,X,O,X,X,O,O
ILZTSOJ,X,O,X,X,O,X,X,O,O
ILZTOJS,O,O,X,X,O,X,X,O,X
ILZTOSJ,O,O,X,X,O,X,X,O,X
ILZJTSO,O,X,O,X,O,X,X,X,X
ILZJTOS,O,X,O,X,O,X,X,X,X
ILZJSTO,O,X,O,X,O,X,X,X,O
ILZJSOT,X,X,O,X,O,X,X,X,X
ILZJOTS,O,X,O,X,O,X,X,X,X
ILZJOST,O,X,O,X,O,X,X,X,X
ILZSTJO,X,X,X,X,O,X,X,X,O
ILZSTOJ,X,X,X,X,O,X,X,X,O
ILZSJTO,O,X,O,X,O,X,X,X,O
ILZSJOT,X,X,O,X,O,X,X,X,X
ILZSOTJ,O,X,X,X,O,X,X,X,O
ILZSOJT,O,X,O,X,O,X,X,X,X
ILZOTJS,O,O,X,X,O,X,X,O,X
ILZOTSJ,O,O,X,X,O,X,X,O,X
ILZOJTS,O,O,O,X,O,X,X,X,X
ILZOJST,O,O,O,X,O,X,X,X,X
ILZOSTJ,O,X,X,X,O,X,X,X,O
ILZOSJT,O,X,O,X,O,X,X,X,X
ILOTJSZ,O,O,O,X,O,X,O,X,X
ILOTJZS,O,O,O,X,O,X,X,X,X
ILOTSJZ,O,O,O,X,O,X,O,X,X
ILOTSZJ,O,O,X,X,O,X,O,X,O
ILOTZJS,O,O,X,X,O,X,X,O,X
ILOTZSJ,O,O,X,X,O,X,X,O,X
ILOJTSZ,O,O,O,X,O,X,O,X,X
ILOJTZS,O,O,O,X,O,X,X,X,X
ILOJSTZ,X,O,O,X,O,X,X,X,X
ILOJSZT,X,O,O,X,X,X,X,X,X
ILOJZTS,O,O,O,X,X,X,X,X,X
ILOJZST,O,O,O,X,X,X,X,X,X
ILOSTJZ,X,X,O,X,O,X,X,X,X
ILOSTZJ,X,X,X,X,O,X,X,X,O
ILOSJTZ,X,X,O,X,O,X,X,X,X
ILOSJZT,X,X,O,X,X,X,X,X,X
ILOSZTJ,X,X,X,X,O,X,X,X,O
ILOSZJT,X,X,O,X,O,X,X,X,X
ILOZTJS,O,O,X,X,O,X,X,O,X
ILOZTSJ,O,O,X,X,O,X,X,O,X
ILOZJTS,O,O,O,X,O,X,X,X,X
ILOZJST,O,O,O,X,O,X,X,X,X
ILOZSTJ,O,X,X,X,O,X,X,X,O
ILOZSJT,O,X,O,X,O,X,X,X,X
IJTLSZO,O,X,O,X,X,O,X,X,X
IJTLSOZ,X,X,O,X,X,X,X,X,X
IJTLZSO,O,X,O,X,X,O,X,X,X
IJTLZOS,O,X,O,X,X,O,X,X,X
IJTLOSZ,X,X,O,X,X,X,X,X,X
IJTLOZS,X,X,O,X,X,O,X,X,X
IJTSLZO,O,X,O,O,X,O,O,X,X
IJTSLOZ,X,X,O,O,X,X,O,X,X
IJTSZLO,O,X,O,O,X,X,O,X,X
IJTSZOL,O,X,O,O,X,X,X,X,X
IJTSOLZ,X,X,X,O,X,X,O,X,X
IJTSOZL,O,X,X,O,X,X,X,X,X
IJTZLSO,O,X,O,X,X,O,X,O,X
IJTZLOS,O,X,O,O,X,O,X,O,X
IJTZSLO,O,X,O,O,X,O,X,O,X
IJTZSOL,O,X,O,O,X,O,X,O,X
IJTZOLS,O,X,X,O,X,O,X,O,X
IJTZOSL,O,X,O,O,X,X,X,O,X
IJTOLSZ,X,X,X,X,X,X,O,X,X
IJTOLZS,X,X,X,X,X,O,X,X,X
IJTOSLZ,X,X,X,O,X,X,O,X,X
IJTOSZL,O,X,X,O,X,X,O,X,X
IJTOZLS,O,X,X,O,X,X,X,O,X
IJTOZSL,O,X,X,O,X,X,O,O,X
IJLTSZO,O,X,O,X,X,X,X,X,O
IJLTSOZ,X,X,O,X,X,X,X,X,X
IJLTZSO,O,X,O,X,X,X,X,X,X
IJLTZOS,O,X,O,X,X,X,X,X,X
IJLTOSZ,X,X,O,X,X,X,X,X,X
IJLTOZS,X,X,O,X,X,X,X,X,X
IJLSTZO,X,X,O,X,X,X,O,X,O
IJLSTOZ,X,X,O,X,X,X,O,X,X
IJLSZTO,X,X,O,X,X,X,X,X,O
IJLSZOT,X,X,O,X,X,X,X,X,X
IJLSOTZ,X,X,O,X,X,X,X,X,X
IJLSOZT,X,X,O,X,X,X,X,X,X
IJLZTSO,O,X,O,X,X,X,X,X,X
IJLZTOS,O,X,O,X,X,X,X,X,X
IJLZSTO,O,X,O,X,X,X,X,X,O
IJLZSOT,X,X,O,X,X,X,X,X,X
IJLZOTS,O,X,O,X,X,X,X,X,X
IJLZOST,X,X,O,X,X,X,X,X,X
IJLOTSZ,X,X,O,X,X,X,O,X,X
IJLOTZS,X,X,O,X,X,X,X,X,X
IJLOSTZ,X,X,O,X,X,X,X,X,X
IJLOSZT,X,X,O,X,X,X,X,X,X
IJLOZTS,X,X,O,X,X,X,X,X,X
IJLOZST,X,X,O,X,X,X,X,X,X
IJSTLZO,O,X,O,O,X,X,O,X,X
IJSTLOZ,X,X,O,O,X,X,O,X,X
IJSTZLO,O,X,O,O,X,X,O,X,X
IJSTZOL,O,X,O,O,X,X,X,X,X
IJSTOLZ,X,X,X,O,X,X,O,X,X
IJSTOZL,O,X,X,O,X,X,X,X,X
IJSLTZO,X,X,O,O,X,X,O,X,O
IJSLTOZ,X,X,O,O,X,X,O,X,X
IJSLZTO,X,X,O,O,X,X,X,X,O
