sequence,v115@LhB8DeA8CeB8DeF8CeA8Je2EJvhFRgBFiBXjBSqBct?BTsB,v115@LhB8DeA8CeB8DeF8CeA8Je2EJvhFRgBFiBTjBSqBcs?BXtB,v115@LhB8DeA8CeB8DeF8CeA8Je/EJvhFRgBanBGjBTlBUo?B1xB,v115@LhB8DeA8CeB8DeF8CeA8Jei/IvhF3gBTjBWqBxsB0s?BFsB,v115@LhB8DeA8CeB8DeF8CeA8Je/EJvhFRgBGjBTlBinBFt?BUsB
TSLIZOJ,X,X,X,X,X
TSLIOJZ,X,X,X,X,X
TSLIOZJ,X,X,X,X,X
TSLJIZO,X,X,X,X,X
TSLJIOZ,X,X,X,X,X
TSLJZIO,X,X,X,X,X
TSLJZOI,X,X,X,X,X
TSLJOIZ,X,X,X,X,O
TSLJOZI,X,X,X,X,O
TSLZIJO,X,X,O,X,X
TSLZIOJ,X,X,X,X,X
TSLZJIO,X,X,O,X,X
TSLZJOI,X,X,O,X,X
TSLZOIJ,X,X,O,X,X
TSLZOJI,X,X,O,X,X
TSLOIJZ,X,X,X,X,O
TSLOIZJ,X,X,O,X,X
TSLOJIZ,X,X,X,X,O
TSLOJZI,X,X,X,X,O
TSLOZIJ,X,X,O,X,X
TSLOZJI,X,X,O,X,X
TSJILZO,X,X,X,X,X
TSJILOZ,X,X,X,X,X
TSJIZLO,X,X,X,X,X
TSJIZOL,X,X,X,X,X
TSJIOLZ,X,X,X,X,X
TSJIOZL,X,X,X,X,X
TSJLIZO,X,X,X,X,X
TSJLIOZ,X,X,X,X,X
TSJLZIO,X,X,X,X,X
TSJLZOI,X,X,X,X,X
TSJLOIZ,X,X,X,X,O
TSJLOZI,X,X,X,X,O
TSJZILO,X,X,X,X,X
TSJZIOL,X,X,X,X,X
TSJZLIO,X,X,X,X,X
TSJZLOI,X,X,X,X,X
TSJZOIL,X,X,X,X,X
TSJZOLI,X,X,X,X,X
TSJOILZ,X,X,X,X,O
TSJOIZL,X,X,X,X,X
TSJOLIZ,X,X,X,X,O
TSJOLZI,X,X,X,X,O
TSJOZIL,X,X,X,X,X
TSJOZLI,X,X,X,X,X
TSZILJO,X,X,O,X,X
TSZILOJ,X,X,X,X,X
TSZIJLO,X,X,O,X,X
TSZIJOL,X,X,X,X,X
TSZIOLJ,X,X,X,X,X
TSZIOJL,X,X,X,X,X
TSZLIJO,X,X,O,X,X
TSZLIOJ,X,X,X,X,X
TSZLJIO,X,X,O,X,X
TSZLJOI,X,X,O,X,X
TSZLOIJ,X,X,O,X,X
TSZLOJI,X,X,O,X,X
TSZJILO,X,X,O,X,X
TSZJIOL,X,X,X,X,X
TSZJLIO,X,X,O,X,X
TSZJLOI,X,X,O,X,X
TSZJOIL,X,X,O,X,X
TSZJOLI,X,X,O,X,X
TSZOILJ,X,X,O,X,X
TSZOIJL,X,X,O,X,X
TSZOLIJ,X,X,O,X,X
TSZOLJI,X,X,O,X,X
TSZOJIL,X,X,O,X,X
TSZOJLI,X,X,O,X,X
TSOILJZ,X,X,X,X,O
TSOILZJ,X,X,O,X,X
TSOIJLZ,X,X,X,X,O
TSOIJZL,X,X,X,X,X
TSOIZLJ,X,X,O,X,X
TSOIZJL,X,X,O,X,X
TSOLIJZ,X,X,X,X,O
TSOLIZJ,X,X,O,X,X
TSOLJIZ,X,X,X,X,O
TSOLJZI,X,X,X,X,O
TSOLZIJ,X,X,O,X,X
TSOLZJI,X,X,O,X,X
TSOJILZ,X,X,X,X,O
TSOJIZL,X,X,X,X,X
TSOJLIZ,X,X,X,X,O
TSOJLZI,X,X,X,X,O
TSOJZIL,X,X,X,X,X
TSOJZLI,X,X,X,X,X
TSOZILJ,X,X,O,X,X
TSOZIJL,X,X,O,X,X
TSOZLIJ,X,X,O,X,X
TSOZLJI,X,X,O,X,X
TSOZJIL,X,X,O,X,X
TSOZJLI,X,X,O,X,X
TZILJSO,X,X,X,X,X
TZILJOS,X,X,X,X,X
TZILSJO,X,X,X,X,X
TZILSOJ,X,X,X,X,X
TZILOJS,X,X,X,X,X
TZILOSJ,X,X,X,X,X
TZIJLSO,X,X,X,X,X
TZIJLOS,X,X,X,X,X
TZIJSLO,O,X,X,X,X
TZIJSOL,X,O,X,X,X
TZIJOLS,X,X,X,X,X
TZIJOSL,X,X,X,X,X
TZISLJO,X,X,X,X,X
TZISLOJ,X,X,X,X,X
TZISJLO,O,X,X,X,X
TZISJOL,X,O,X,X,X
TZISOLJ,X,X,X,X,X
TZISOJL,X,O,X,X,X
TZIOLJS,X,X,X,X,X
TZIOLSJ,X,X,X,X,X
TZIOJLS,X,X,X,X,X
TZIOJSL,X,X,X,X,X
TZIOSLJ,X,X,X,X,X
TZIOSJL,X,X,X,X,X
TZLIJSO,O,O,X,X,X
TZLIJOS,X,X,X,X,X
TZLISJO,O,O,X,X,X
TZLISOJ,X,O,X,X,X
TZLIOJS,X,X,X,X,X
TZLIOSJ,X,X,X,X,X
TZLJISO,O,O,X,X,X
TZLJIOS,X,X,X,X,X
TZLJSIO,O,O,O,X,X
TZLJSOI,X,O,O,X,X
TZLJOIS,X,X,X,X,X
TZLJOSI,X,X,O,X,X
TZLSIJO,O,O,O,X,X
TZLSIOJ,X,O,X,X,X
TZLSJIO,O,O,O,X,X
TZLSJOI,X,O,O,X,X
TZLSOIJ,X,O,O,X,X
TZLSOJI,X,O,O,X,X
TZLOIJS,X,X,X,X,X
TZLOISJ,X,X,X,X,X
TZLOJIS,X,X,X,X,X
TZLOJSI,X,X,O,X,X
TZLOSIJ,X,X,O,X,X
TZLOSJI,X,X,O,X,X
TZJILSO,X,X,X,X,X
TZJILOS,X,X,X,X,X
TZJISLO,O,X,X,X,X
TZJISOL,X,O,X,X,X
TZJIOLS,X,X,X,X,X
TZJIOSL,X,X,X,X,X
TZJLISO,O,O,X,X,X
TZJLIOS,X,X,X,X,X
TZJLSIO,O,O,O,X,X
TZJLSOI,X,O,O,X,X
TZJLOIS,X,X,X,X,X
TZJLOSI,X,X,O,X,X
TZJSILO,O,X,O,X,X
TZJSIOL,X,O,X,X,X
TZJSLIO,O,O,O,X,X
TZJSLOI,X,O,O,X,X
TZJSOIL,X,O,O,X,X
TZJSOLI,X,O,O,X,X
TZJOILS,X,X,X,X,X
TZJOISL,X,X,X,X,X
TZJOLIS,X,X,X,X,X
TZJOLSI,X,X,O,X,X
TZJOSIL,X,X,O,X,X
TZJOSLI,X,X,O,X,X
TZSILJO,X,X,O,X,X
TZSILOJ,X,X,X,X,X
TZSIJLO,O,X,O,X,X
TZSIJOL,X,O,X,X,X
TZSIOLJ,X,X,X,X,X
TZSIOJL,X,O,X,X,X
TZSLIJO,O,O,O,X,X
TZSLIOJ,X,O,X,X,X
TZSLJIO,O,O,O,X,X
TZSLJOI,X,O,O,X,X
TZSLOIJ,X,O,O,X,X
TZSLOJI,X,O,O,X,X
TZSJILO,O,X,O,X,X
TZSJIOL,X,O,X,X,X
TZSJLIO,O,O,O,X,X
TZSJLOI,X,O,O,X,X
TZSJOIL,X,O,O,X,X
TZSJOLI,X,O,O,X,X
TZSOILJ,X,X,O,X,X
TZSOIJL,X,O,O,X,X
TZSOLIJ,X,O,O,X,X
TZSOLJI,X,O,O,X,X
TZSOJIL,X,O,O,X,X
TZSOJLI,X,O,O,X,X
TZOILJS,X,X,X,X,X
TZOILSJ,X,X,X,X,X
TZOIJLS,X,X,X,X,X
TZOIJSL,X,X,X,X,X
TZOISLJ,X,X,X,X,X
TZOISJL,X,X,X,X,X
TZOLIJS,X,X,X,X,X
TZOLISJ,X,X,X,X,X
TZOLJIS,X,X,X,X,X
TZOLJSI,X,X,O,X,X
TZOLSIJ,X,X,O,X,X
TZOLSJI,X,X,O,X,X
TZOJILS,X,X,X,X,X
TZOJISL,X,X,X,X,X
TZOJLIS,X,X,X,X,X
TZOJLSI,X,X,O,X,X
TZOJSIL,X,X,O,X,X
TZOJSLI,X,X,O,X,X
TZOSILJ,X,X,O,X,X
TZOSIJL,X,X,O,X,X
TZOSLIJ,X,X,O,X,X
TZOSLJI,X,X,O,X,X
TZOSJIL,X,X,O,X,X
TZOSJLI,X,X,O,X,X
TOILJSZ,X,X,X,X,X
TOILJZS,X,X,X,X,X
TOILSJZ,X,X,X,X,X
TOILSZJ,X,X,X,X,X
TOILZJS,X,X,X,X,X
TOILZSJ,X,X,X,X,X
TOIJLSZ,X,X,X,X,X
TOIJLZS,X,X,X,X,X
TOIJSLZ,X,X,X,X,X
TOIJSZL,X,X,X,X,X
TOIJZLS,X,X,X,X,X
TOIJZSL,O,X,X,X,X
TOISLJZ,X,X,X,X,X
TOISLZJ,X,X,X,X,X
TOISJLZ,X,X,X,X,X
TOISJZL,X,X,X,X,X
TOISZLJ,X,X,X,X,X
TOISZJL,X,X,X,X,X
TOIZLJS,X,X,X,X,X
TOIZLSJ,X,X,X,X,X
TOIZJLS,X,X,X,X,X
TOIZJSL,O,X,X,X,X
TOIZSLJ,X,X,X,X,X
TOIZSJL,O,X,X,X,X
TOLIJSZ,X,X,X,X,X
TOLIJZS,O,X,X,X,X
TOLISJZ,X,X,X,X,X
TOLISZJ,X,X,X,X,X
TOLIZJS,O,X,X,X,X
TOLIZSJ,O,X,X,X,X
TOLJISZ,X,X,X,X,X
TOLJIZS,O,X,X,X,X
TOLJSIZ,X,X,X,X,O
TOLJSZI,X,X,X,X,O
TOLJZIS,O,X,X,X,X
TOLJZSI,O,X,X,X,X
TOLSIJZ,X,X,X,X,O
TOLSIZJ,X,X,O,X,X
TOLSJIZ,X,X,X,X,O
TOLSJZI,X,X,X,X,O
TOLSZIJ,X,X,O,X,X
TOLSZJI,X,X,O,X,X
TOLZIJS,O,X,X,X,X
TOLZISJ,O,X,X,X,X
TOLZJIS,O,X,X,X,X
TOLZJSI,O,X,O,X,X
TOLZSIJ,O,X,O,X,X
TOLZSJI,O,X,O,X,X
TOJILSZ,X,X,X,X,X
TOJILZS,X,X,X,X,X
TOJISLZ,X,X,X,X,X
TOJISZL,X,X,X,X,X
TOJIZLS,X,X,X,X,X
TOJIZSL,O,X,X,X,X
TOJLISZ,X,X,X,X,X
TOJLIZS,O,X,X,X,X
TOJLSIZ,X,X,X,X,O
TOJLSZI,X,X,X,X,O
TOJLZIS,O,X,X,X,X
TOJLZSI,O,X,X,X,X
TOJSILZ,X,X,X,X,O
TOJSIZL,X,X,X,X,X
TOJSLIZ,X,X,X,X,O
TOJSLZI,X,X,X,X,O
TOJSZIL,X,X,X,X,X
TOJSZLI,X,X,X,X,X
TOJZILS,X,X,X,X,X
TOJZISL,O,X,X,X,X
TOJZLIS,O,X,X,X,X
TOJZLSI,O,X,X,X,X
TOJZSIL,O,X,X,X,X
TOJZSLI,O,X,X,X,X
TOSILJZ,X,X,X,X,O
TOSILZJ,X,X,O,X,X
TOSIJLZ,X,X,X,X,O
TOSIJZL,X,X,X,X,X
TOSIZLJ,X,X,O,X,X
TOSIZJL,X,X,O,X,X
TOSLIJZ,X,X,X,X,O
TOSLIZJ,X,X,O,X,X
TOSLJIZ,X,X,X,X,O
TOSLJZI,X,X,X,X,O
TOSLZIJ,X,X,O,X,X
TOSLZJI,X,X,O,X,X
TOSJILZ,X,X,X,X,O
TOSJIZL,X,X,X,X,X
TOSJLIZ,X,X,X,X,O
TOSJLZI,X,X,X,X,O
TOSJZIL,X,X,X,X,X
TOSJZLI,X,X,X,X,X
TOSZILJ,X,X,O,X,X
TOSZIJL,X,X,O,X,X
TOSZLIJ,X,X,O,X,X
TOSZLJI,X,X,O,X,X
TOSZJIL,X,X,O,X,X
TOSZJLI,X,X,O,X,X
TOZILJS,X,X,X,X,X
TOZILSJ,X,X,X,X,X
TOZIJLS,X,X,X,X,X
TOZIJSL,O,X,X,X,X
TOZISLJ,X,X,X,X,X
TOZISJL,O,X,X,X,X
TOZLIJS,O,X,X,X,X
TOZLISJ,O,X,X,X,X
TOZLJIS,O,X,X,X,X
TOZLJSI,O,X,O,X,X
TOZLSIJ,O,X,O,X,X
TOZLSJI,O,X,O,X,X
TOZJILS,X,X,X,X,X
TOZJISL,O,X,X,X,X
TOZJLIS,O,X,X,X,X
TOZJLSI,O,X,O,X,X
TOZJSIL,O,X,O,X,X
TOZJSLI,O,X,O,X,X
TOZSILJ,X,X,O,X,X
TOZSIJL,O,X,O,X,X
TOZSLIJ,O,X,O,X,X
TOZSLJI,O,X,O,X,X
