sequence,v115@9gA8IeA8IeB8CeB8CeC8CeC8KeCAJvhFmiB5oB/qBF?mB0nBTrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8Kez/IvhFGhB/nBaoB5?oBlqBUrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8Kez/IvhFfmBaoB5oBG?nB0qBlrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8KefFJvhFlgBcmBiiB5?oBznBWwB,v115@9gA8IeA8IeB8CeB8CeC8CeC8KefFJvhF0gBaoB5oBG?nBzqBlrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8KefFJvhF6lBThBmiB5?oB0nBVwB,v115@9gA8IeA8IeB8CeB8CeC8CeC8Kez/IvhFxiB1qB0nB6?tBXrBGrB
TZOSJLI,X,O,O,O,X,X,X
TOILJSZ,X,O,X,X,O,X,X
TOILJZS,X,X,O,X,X,X,X
TOILSJZ,X,O,X,O,O,X,X
TOILSZJ,X,O,X,O,X,X,X
TOILZJS,X,X,O,X,X,X,O
TOILZSJ,X,X,X,O,X,X,O
TOIJLSZ,X,O,X,X,O,X,X
TOIJLZS,X,X,O,X,X,X,X
TOIJSLZ,X,O,X,X,O,X,X
TOIJSZL,X,O,X,X,O,X,X
TOIJZLS,X,X,O,X,X,X,X
TOIJZSL,X,O,O,X,X,X,X
TOISLJZ,X,O,X,O,O,X,X
TOISLZJ,X,O,X,O,X,X,X
TOISJLZ,X,O,X,O,O,X,X
TOISJZL,X,O,X,O,O,X,X
TOISZLJ,X,O,X,O,X,X,X
TOISZJL,X,O,X,O,O,X,X
TOIZLJS,X,X,O,X,X,X,O
TOIZLSJ,X,X,X,O,X,X,O
TOIZJLS,X,X,O,X,X,X,X
TOIZJSL,X,O,O,X,X,X,X
TOIZSLJ,X,O,X,O,X,X,X
TOIZSJL,X,O,O,O,X,X,X
TOLIJSZ,X,O,X,X,O,X,X
TOLIJZS,X,X,O,X,X,X,X
TOLISJZ,X,O,X,O,O,X,X
TOLISZJ,X,O,X,O,X,X,X
TOLIZJS,X,X,O,X,X,X,O
TOLIZSJ,X,X,X,O,X,X,O
TOLJISZ,X,O,X,X,O,X,X
TOLJIZS,X,X,O,X,X,X,X
TOLJSIZ,X,O,X,X,O,X,X
TOLJSZI,X,O,X,X,O,X,X
TOLJZIS,X,X,O,X,X,X,O
TOLJZSI,X,X,O,X,X,X,O
TOLSIJZ,X,O,X,O,O,X,X
TOLSIZJ,X,O,X,O,X,X,X
TOLSJIZ,X,O,X,O,O,X,X
TOLSJZI,X,O,X,O,O,X,X
TOLSZIJ,X,O,X,O,X,X,O
TOLSZJI,X,O,X,O,X,X,O
TOLZIJS,X,X,O,X,X,X,O
TOLZISJ,X,X,X,O,X,X,O
TOLZJIS,X,X,O,X,X,X,O
TOLZJSI,X,X,O,X,X,X,O
TOLZSIJ,X,X,X,O,X,X,O
TOLZSJI,X,X,X,O,X,X,O
TOJILSZ,X,O,X,X,O,X,X
TOJILZS,X,X,O,X,X,X,X
TOJISLZ,X,O,X,X,O,X,X
TOJISZL,X,O,X,X,O,X,X
TOJIZLS,X,X,O,X,X,X,X
TOJIZSL,X,O,O,X,X,X,X
TOJLISZ,X,O,X,X,O,X,X
TOJLIZS,X,X,O,X,X,X,X
TOJLSIZ,X,O,X,X,O,X,X
TOJLSZI,X,O,X,X,O,X,X
TOJLZIS,X,X,O,X,X,X,O
TOJLZSI,X,X,O,X,X,X,O
TOJSILZ,X,O,X,X,O,X,X
TOJSIZL,X,O,X,X,O,X,X
TOJSLIZ,X,O,X,X,O,X,X
TOJSLZI,X,O,X,X,O,X,X
TOJSZIL,X,O,X,X,O,X,X
TOJSZLI,X,O,X,X,O,X,X
TOJZILS,X,X,O,X,X,X,X
TOJZISL,X,O,O,X,X,X,X
TOJZLIS,X,X,O,X,X,X,O
TOJZLSI,X,X,O,X,X,X,O
TOJZSIL,X,O,O,X,X,X,X
TOJZSLI,X,O,O,X,X,X,X
TOSILJZ,X,O,X,O,O,X,X
TOSILZJ,X,O,X,O,X,X,X
TOSIJLZ,X,O,X,O,O,X,X
TOSIJZL,X,O,X,O,O,X,X
TOSIZLJ,X,O,X,O,X,X,X
TOSIZJL,X,O,X,O,O,X,X
TOSLIJZ,X,O,X,O,O,X,X
TOSLIZJ,X,O,X,O,X,X,X
TOSLJIZ,X,O,X,O,O,X,X
TOSLJZI,X,O,X,O,O,X,X
TOSLZIJ,X,O,X,O,X,X,O
TOSLZJI,X,O,X,O,X,X,O
TOSJILZ,X,O,X,O,O,X,X
TOSJIZL,X,O,X,O,O,X,X
TOSJLIZ,X,O,X,O,O,X,X
TOSJLZI,X,O,X,O,O,X,X
TOSJZIL,X,O,X,O,O,X,X
TOSJZLI,X,O,X,O,O,X,X
TOSZILJ,X,O,X,O,X,X,X
TOSZIJL,X,O,X,O,O,X,X
TOSZLIJ,X,O,X,O,X,X,O
TOSZLJI,X,O,X,O,X,X,O
TOSZJIL,X,O,X,O,O,X,X
TOSZJLI,X,O,X,O,O,X,X
TOZILJS,X,X,O,X,X,X,O
TOZILSJ,X,X,X,O,X,X,O
TOZIJLS,X,X,O,X,X,X,X
TOZIJSL,X,O,O,X,X,X,X
TOZISLJ,X,O,X,O,X,X,X
TOZISJL,X,O,O,O,X,X,X
TOZLIJS,X,X,O,X,X,X,O
TOZLISJ,X,X,X,O,X,X,O
TOZLJIS,X,X,O,X,X,X,O
TOZLJSI,X,X,O,X,X,X,O
TOZLSIJ,X,X,X,O,X,X,O
TOZLSJI,X,X,X,O,X,X,O
TOZJILS,X,X,O,X,X,X,X
TOZJISL,X,O,O,X,X,X,X
TOZJLIS,X,X,O,X,X,X,O
TOZJLSI,X,X,O,X,X,X,O
TOZJSIL,X,O,O,X,X,X,X
TOZJSLI,X,O,O,X,X,X,X
TOZSILJ,X,O,X,O,X,X,X
TOZSIJL,X,O,O,O,X,X,X
TOZSLIJ,X,O,X,O,X,X,O
TOZSLJI,X,O,X,O,X,X,O
TOZSJIL,X,O,O,O,X,X,X
TOZSJLI,X,O,O,O,X,X,X
ITLJSZO,X,O,X,X,X,X,X
ITLJSOZ,X,O,X,X,O,X,X
ITLJZSO,X,X,O,X,X,X,X
ITLJZOS,X,X,O,X,X,X,X
ITLJOSZ,X,O,X,X,O,X,X
ITLJOZS,X,X,O,X,X,X,X
ITLSJZO,O,O,X,O,X,X,X
ITLSJOZ,X,O,X,X,O,X,X
ITLSZJO,O,O,X,O,X,X,X
ITLSZOJ,O,O,X,O,X,X,X
ITLSOJZ,X,O,X,X,O,X,X
ITLSOZJ,O,O,X,X,X,X,X
ITLZJSO,O,X,O,X,X,X,O
ITLZJOS,X,X,O,X,X,X,O
ITLZSJO,O,X,X,O,X,X,O
ITLZSOJ,O,X,X,O,X,X,O
ITLZOJS,X,X,O,X,X,X,O
ITLZOSJ,X,X,X,X,X,X,O
ITLOJSZ,X,O,X,X,O,X,X
ITLOJZS,X,X,O,X,X,X,X
ITLOSJZ,X,O,X,X,O,X,X
ITLOSZJ,X,O,X,X,X,X,X
ITLOZJS,X,X,O,X,X,X,O
ITLOZSJ,X,X,X,X,X,X,O
ITJLSZO,X,O,X,X,X,X,X
ITJLSOZ,X,O,X,X,O,X,X
ITJLZSO,X,X,O,X,X,X,X
ITJLZOS,X,X,O,X,X,X,X
ITJLOSZ,X,O,X,X,O,X,X
ITJLOZS,X,X,O,X,X,X,X
ITJSLZO,X,O,X,X,X,X,X
ITJSLOZ,X,O,X,X,O,X,X
ITJSZLO,X,O,X,X,X,X,X
ITJSZOL,X,O,X,X,X,X,X
ITJSOLZ,X,O,X,X,O,X,X
ITJSOZL,X,O,X,X,O,X,X
ITJZLSO,X,X,O,X,X,X,X
ITJZLOS,X,X,O,X,X,X,X
ITJZSLO,X,O,O,X,X,X,X
ITJZSOL,X,O,O,X,X,X,X
ITJZOLS,X,X,O,X,X,X,X
ITJZOSL,X,O,O,X,X,X,X
ITJOLSZ,X,O,X,X,O,X,X
ITJOLZS,X,X,O,X,X,X,X
ITJOSLZ,X,O,X,X,O,X,X
ITJOSZL,X,O,X,X,O,X,X
ITJOZLS,X,X,O,X,X,X,X
ITJOZSL,X,O,O,X,X,X,X
ITSLJZO,O,O,X,O,X,O,X
ITSLJOZ,X,O,X,X,O,O,X
ITSLZJO,O,O,X,O,X,O,X
ITSLZOJ,O,O,X,O,X,O,X
ITSLOJZ,X,O,X,X,O,O,X
ITSLOZJ,O,O,X,X,X,O,X
ITSJLZO,O,O,X,O,X,O,X
ITSJLOZ,X,O,X,X,O,O,X
ITSJZLO,O,O,X,O,X,O,X
ITSJZOL,O,O,X,O,X,O,X
ITSJOLZ,X,O,X,O,O,O,X
ITSJOZL,X,O,X,O,O,O,X
ITSZLJO,O,O,X,O,X,O,X
ITSZLOJ,O,O,X,O,X,O,X
ITSZJLO,O,O,X,O,X,O,X
ITSZJOL,O,O,X,O,X,O,X
ITSZOLJ,O,O,X,O,X,O,X
ITSZOJL,O,O,X,O,X,O,X
ITSOLJZ,X,O,X,O,O,O,X
ITSOLZJ,O,O,X,O,X,O,X
ITSOJLZ,X,O,X,O,O,O,X
ITSOJZL,X,O,X,O,O,O,X
ITSOZLJ,O,O,X,O,X,O,X
ITSOZJL,O,O,X,O,O,O,X
ITZLJSO,O,X,O,X,X,X,O
ITZLJOS,X,X,O,X,X,X,O
ITZLSJO,O,X,X,O,X,X,O
ITZLSOJ,O,X,X,O,X,X,O
ITZLOJS,X,X,O,X,X,X,O
ITZLOSJ,X,X,X,X,X,X,O
ITZJLSO,O,X,O,X,X,X,X
ITZJLOS,X,X,O,X,X,X,X
ITZJSLO,O,O,O,X,X,O,X
ITZJSOL,O,O,O,X,X,O,X
ITZJOLS,X,X,O,X,X,X,X
ITZJOSL,X,O,O,X,X,X,X
ITZSLJO,O,O,X,O,X,O,X
ITZSLOJ,O,O,X,O,X,O,X
ITZSJLO,O,O,O,O,X,O,X
ITZSJOL,O,O,O,O,X,O,X
ITZSOLJ,O,O,X,O,X,O,X
ITZSOJL,O,O,O,O,X,O,X
ITZOLJS,X,X,O,X,X,X,O
ITZOLSJ,X,X,X,O,X,X,O
ITZOJLS,X,X,O,X,X,X,X
ITZOJSL,X,O,O,X,X,X,X
ITZOSLJ,X,O,X,O,X,X,X
ITZOSJL,X,O,O,O,X,X,X
ITOLJSZ,X,O,X,X,O,X,X
ITOLJZS,X,X,O,X,X,X,X
ITOLSJZ,X,O,X,O,O,X,X
ITOLSZJ,X,O,X,O,X,X,X
ITOLZJS,X,X,O,X,X,X,O
ITOLZSJ,X,X,X,O,X,X,O
ITOJLSZ,X,O,X,X,O,X,X
ITOJLZS,X,X,O,X,X,X,X
ITOJSLZ,X,O,X,X,O,X,X
ITOJSZL,X,O,X,X,O,X,X
ITOJZLS,X,X,O,X,X,X,X
ITOJZSL,X,O,O,X,X,X,X
ITOSLJZ,X,O,X,O,O,X,X
ITOSLZJ,X,O,X,O,X,X,X
ITOSJLZ,X,O,X,O,O,X,X
ITOSJZL,X,O,X,O,O,X,X
ITOSZLJ,X,O,X,O,X,X,X
ITOSZJL,X,O,X,O,O,X,X
ITOZLJS,X,X,O,X,X,X,O
ITOZLSJ,X,X,X,O,X,X,O
ITOZJLS,X,X,O,X,X,X,X
ITOZJSL,X,O,O,X,X,X,X
ITOZSLJ,X,O,X,O,X,X,X
ITOZSJL,X,O,O,O,X,X,X
ILTJSZO,X,O,X,X,X,X,X
ILTJSOZ,X,O,X,X,O,X,X
ILTJZSO,X,X,O,X,X,X,X
ILTJZOS,X,X,O,X,X,X,X
ILTJOSZ,X,O,X,X,O,X,X
ILTJOZS,X,X,O,X,X,X,X
ILTSJZO,O,O,X,O,X,X,X
ILTSJOZ,X,O,X,X,O,X,X
ILTSZJO,O,O,X,O,X,X,X
ILTSZOJ,O,O,X,O,X,X,X
ILTSOJZ,X,O,X,X,O,X,X
ILTSOZJ,O,O,X,X,X,X,X
ILTZJSO,O,X,O,X,X,X,O
ILTZJOS,X,X,O,X,X,X,O
ILTZSJO,O,X,X,O,X,X,O
ILTZSOJ,O,X,X,O,X,X,O
ILTZOJS,X,X,O,X,X,X,O
ILTZOSJ,X,X,X,X,X,X,O
ILTOJSZ,X,O,X,X,O,X,X
ILTOJZS,X,X,O,X,X,X,X
ILTOSJZ,X,O,X,X,O,X,X
ILTOSZJ,X,O,X,X,X,X,X
ILTOZJS,X,X,O,X,X,X,O
ILTOZSJ,X,X,X,X,X,X,O
ILJTSZO,X,O,X,X,X,X,X
ILJTSOZ,X,O,X,X,O,X,X
ILJTZSO,X,X,O,X,X,X,X
ILJTZOS,X,X,O,X,X,X,X
ILJTOSZ,X,O,X,X,O,X,X
ILJTOZS,X,X,O,X,X,X,X
ILJSTZO,O,O,X,O,X,X,X
ILJSTOZ,X,O,X,X,O,X,X
ILJSZTO,O,O,O,O,X,X,X
ILJSZOT,O,O,O,O,O,X,X
ILJSOTZ,X,O,X,X,O,X,X
ILJSOZT,X,O,O,O,O,X,X
ILJZTSO,O,X,O,X,X,X,X
ILJZTOS,X,X,O,X,X,X,X
ILJZSTO,O,X,O,O,X,X,X
ILJZSOT,O,X,O,X,O,X,X
ILJZOTS,X,X,O,X,X,X,X
ILJZOST,O,X,O,X,O,X,X
ILJOTSZ,X,X,X,X,O,X,X
ILJOTZS,X,X,O,X,X,X,X
ILJOSTZ,X,O,X,X,O,X,X
ILJOSZT,X,O,O,X,O,X,X
ILJOZTS,X,X,O,X,X,X,X
ILJOZST,X,X,O,X,O,X,X
ILSTJZO,O,O,X,O,X,O,X
ILSTJOZ,X,O,X,X,O,O,X
ILSTZJO,O,O,X,O,X,O,X
ILSTZOJ,O,O,X,O,X,O,X
ILSTOJZ,X,O,X,X,O,O,X
ILSTOZJ,O,O,X,X,X,O,X
ILSJTZO,O,O,X,O,X,X,X
ILSJTOZ,X,O,X,X,O,X,X
ILSJZTO,O,O,O,O,X,X,X
ILSJZOT,O,O,O,O,O,X,X
ILSJOTZ,X,O,X,O,O,X,X
ILSJOZT,X,O,O,O,O,X,X
ILSZTJO,O,O,X,O,X,O,X
ILSZTOJ,O,O,X,O,X,O,X
ILSZJTO,O,O,O,O,X,O,X
ILSZJOT,O,O,O,O,O,X,X
ILSZOTJ,O,O,X,O,X,X,X
ILSZOJT,O,O,O,O,O,X,X
ILSOTJZ,X,O,X,O,O,X,X
ILSOTZJ,O,O,X,O,X,X,X
ILSOJTZ,X,O,X,O,O,X,X
ILSOJZT,X,O,O,O,O,X,X
ILSOZTJ,O,O,X,O,X,X,X
ILSOZJT,O,O,O,O,O,X,X
ILZTJSO,O,X,O,X,X,X,O
ILZTJOS,X,X,O,X,X,X,O
ILZTSJO,O,X,X,O,X,X,O
ILZTSOJ,O,X,X,O,X,X,O
ILZTOJS,X,X,O,X,X,X,O
ILZTOSJ,X,X,X,X,X,X,O
ILZJTSO,O,X,O,X,X,X,O
ILZJTOS,X,X,O,X,X,X,O
ILZJSTO,O,X,O,O,X,O,X
ILZJSOT,O,X,O,X,O,X,X
ILZJOTS,X,X,O,X,X,X,O
ILZJOST,O,X,O,X,O,X,X
ILZSTJO,O,X,X,O,X,O,O
ILZSTOJ,O,X,X,O,X,O,O
ILZSJTO,O,X,O,O,X,O,X
ILZSJOT,O,X,O,O,O,X,X
ILZSOTJ,O,X,X,O,X,X,O
ILZSOJT,O,X,O,O,O,X,X
ILZOTJS,X,X,O,X,X,X,O
ILZOTSJ,X,X,X,O,X,X,O
ILZOJTS,X,X,O,X,X,X,O
ILZOJST,O,X,O,O,O,X,X
ILZOSTJ,O,X,X,O,X,X,O
ILZOSJT,O,X,O,O,O,X,X
ILOTJSZ,X,O,X,X,O,X,X
ILOTJZS,X,X,O,X,X,X,X
ILOTSJZ,X,O,X,O,O,X,X
ILOTSZJ,X,O,X,O,X,X,X
ILOTZJS,X,X,O,X,X,X,O
ILOTZSJ,X,X,X,O,X,X,O
ILOJTSZ,X,X,X,X,O,X,X
ILOJTZS,X,X,O,X,X,X,X
ILOJSTZ,X,O,X,O,O,X,X
ILOJSZT,X,O,O,O,O,X,X
ILOJZTS,X,X,O,X,X,X,X
ILOJZST,X,X,O,O,O,X,X
ILOSTJZ,X,O,X,O,O,X,X
ILOSTZJ,O,O,X,O,X,X,X
ILOSJTZ,X,O,X,O,O,X,X
ILOSJZT,X,O,O,O,O,X,X
ILOSZTJ,O,O,X,O,X,X,X
ILOSZJT,O,O,O,O,O,X,X
ILOZTJS,X,X,O,X,X,X,O
ILOZTSJ,X,X,X,O,X,X,O
ILOZJTS,X,X,O,X,X,X,O
ILOZJST,O,X,O,O,O,X,X
ILOZSTJ,O,X,X,O,X,X,O
ILOZSJT,O,X,O,O,O,X,X
IJTLSZO,X,O,X,X,X,X,X
IJTLSOZ,X,O,X,X,O,X,X
IJTLZSO,X,X,O,X,X,X,X
IJTLZOS,X,X,O,X,X,X,X
IJTLOSZ,X,O,X,X,O,X,X
IJTLOZS,X,X,O,X,X,X,X
IJTSLZO,X,O,X,X,X,X,X
IJTSLOZ,X,O,X,X,O,X,X
IJTSZLO,X,O,X,X,X,X,X
IJTSZOL,X,O,X,X,X,X,X
IJTSOLZ,X,O,X,X,O,X,X
IJTSOZL,X,O,X,X,O,X,X
IJTZLSO,X,X,O,X,X,X,X
IJTZLOS,X,X,O,X,X,X,X
IJTZSLO,X,O,O,X,X,X,X
IJTZSOL,X,O,O,X,X,X,X
IJTZOLS,X,X,O,X,X,X,X
IJTZOSL,X,O,O,X,X,X,X
IJTOLSZ,X,O,X,X,O,X,X
IJTOLZS,X,X,O,X,X,X,X
IJTOSLZ,X,O,X,X,O,X,X
IJTOSZL,X,O,X,X,O,X,X
IJTOZLS,X,X,O,X,X,X,X
IJTOZSL,X,O,O,X,X,X,X
IJLTSZO,X,O,X,X,X,X,X
IJLTSOZ,X,O,X,X,O,X,X
IJLTZSO,X,X,O,X,X,X,X
IJLTZOS,X,X,O,X,X,X,X
IJLTOSZ,X,O,X,X,O,X,X
IJLTOZS,X,X,O,X,X,X,X
IJLSTZO,O,O,X,O,X,X,X
IJLSTOZ,X,O,X,X,O,X,X
IJLSZTO,O,O,O,O,X,X,X
IJLSZOT,O,O,O,O,O,X,X
IJLSOTZ,X,O,X,X,O,X,X
IJLSOZT,X,O,O,O,O,X,X
IJLZTSO,O,X,O,X,X,X,X
IJLZTOS,X,X,O,X,X,X,X
IJLZSTO,O,X,O,O,X,X,X
IJLZSOT,O,X,O,X,O,X,X
IJLZOTS,X,X,O,X,X,X,X
IJLZOST,O,X,O,X,O,X,X
IJLOTSZ,X,X,X,X,O,X,X
IJLOTZS,X,X,O,X,X,X,X
IJLOSTZ,X,O,X,X,O,X,X
IJLOSZT,X,O,O,X,O,X,X
IJLOZTS,X,X,O,X,X,X,X
IJLOZST,X,X,O,X,O,X,X
IJSTLZO,O,O,X,O,X,O,X
IJSTLOZ,X,O,X,X,O,O,X
IJSTZLO,O,O,X,O,X,O,X
IJSTZOL,O,O,X,O,X,O,X
IJSTOLZ,X,O,X,O,O,O,X
IJSTOZL,X,O,X,O,O,O,X
IJSLTZO,O,O,X,O,X,X,X
IJSLTOZ,X,O,X,X,O,X,X
IJSLZTO,O,O,O,O,X,X,X
IJSLZOT,O,O,O,O,O,X,X
IJSLOTZ,X,O,X,O,O,X,X
IJSLOZT,X,O,O,O,O,X,X
IJSZTLO,O,O,O,O,X,O,X
IJSZTOL,O,O,O,O,X,O,X
IJSZLTO,O,O,O,O,X,O,X
IJSZLOT,O,O,O,O,O,X,X
IJSZOTL,O,X,O,O,O,O,X
IJSZOLT,O,O,O,O,O,X,X
IJSOTLZ,X,O,X,O,O,X,X
IJSOTZL,X,O,X,O,O,X,X
IJSOLTZ,X,O,X,O,O,X,X
IJSOLZT,X,O,O,O,O,X,X
IJSOZTL,X,X,O,O,O,X,X
IJSOZLT,X,O,O,O,O,X,X
IJZTLSO,O,X,O,X,X,X,X
IJZTLOS,X,X,O,X,X,X,X
IJZTSLO,O,O,O,X,X,O,X
IJZTSOL,O,O,O,X,X,O,X
IJZTOLS,X,X,O,X,X,X,X
IJZTOSL,X,O,O,X,X,X,X
IJZLTSO,O,X,O,X,X,X,X
IJZLTOS,X,X,O,X,X,X,X
IJZLSTO,O,X,O,O,X,O,X
IJZLSOT,O,X,O,X,O,X,X
IJZLOTS,X,X,O,X,X,X,X
IJZLOST,O,X,O,X,O,X,X
IJZSTLO,O,O,O,O,X,O,X
IJZSTOL,O,O,O,O,X,O,X
IJZSLTO,O,O,O,O,X,O,X
IJZSLOT,O,O,O,X,O,X,X
IJZSOTL,O,X,O,O,O,O,X
IJZSOLT,O,O,O,O,O,X,X
IJZOTLS,X,X,O,X,X,X,X
IJZOTSL,X,X,O,X,X,X,X
IJZOLTS,X,X,O,X,X,X,X
IJZOLST,O,X,O,O,O,X,X
IJZOSTL,O,X,O,O,O,O,X
IJZOSLT,O,O,O,O,O,X,X
IJOTLSZ,X,O,X,X,O,X,X
IJOTLZS,X,X,O,X,X,X,X
IJOTSLZ,X,O,X,X,O,X,X
IJOTSZL,X,O,X,X,O,X,X
IJOTZLS,X,X,O,X,X,X,X
IJOTZSL,X,O,O,X,X,X,X
IJOLTSZ,X,X,X,X,O,X,X
IJOLTZS,X,X,O,X,X,X,X
IJOLSTZ,X,O,X,O,O,X,X
IJOLSZT,X,O,O,O,O,X,X
IJOLZTS,X,X,O,X,X,X,X
IJOLZST,X,X,O,O,O,X,X
IJOSTLZ,X,O,X,O,O,X,X
IJOSTZL,X,O,X,O,O,X,X
IJOSLTZ,X,O,X,O,O,X,X
IJOSLZT,X,O,O,O,O,X,X
IJOSZTL,X,X,O,O,O,X,X
IJOSZLT,X,O,O,O,O,X,X
IJOZTLS,X,X,O,X,X,X,X
IJOZTSL,X,X,O,X,X,X,X
IJOZLTS,X,X,O,X,X,X,X
IJOZLST,X,X,O,O,O,X,X
IJOZSTL,X,X,O,O,O,X,X
IJOZSLT,X,O,O,O,O,X,X
ISTLJZO,O,O,X,O,X,O,X
ISTLJOZ,X,O,X,X,O,O,X
ISTLZJO,O,O,X,O,X,O,X
ISTLZOJ,O,O,X,O,X,O,X
ISTLOJZ,X,O,X,X,O,O,X
ISTLOZJ,O,O,X,X,X,O,X
ISTJLZO,O,O,X,O,X,O,X
ISTJLOZ,X,O,X,X,O,O,X
ISTJZLO,O,O,X,O,X,O,X
ISTJZOL,O,O,X,O,X,O,X
ISTJOLZ,X,O,X,O,O,O,X
ISTJOZL,X,O,X,O,O,O,X
ISTZLJO,O,O,X,O,X,O,X
ISTZLOJ,O,O,X,O,X,O,X
ISTZJLO,O,O,X,O,X,O,X
ISTZJOL,O,O,X,O,X,O,X
ISTZOLJ,O,O,X,O,X,O,X
ISTZOJL,O,O,X,O,X,O,X
ISTOLJZ,X,O,X,O,O,O,X
ISTOLZJ,O,O,X,O,X,O,X
ISTOJLZ,X,O,X,O,O,O,X
ISTOJZL,X,O,X,O,O,O,X
ISTOZLJ,O,O,X,O,X,O,X
ISTOZJL,O,O,X,O,O,O,X
ISLTJZO,O,O,X,O,X,O,X
ISLTJOZ,X,O,X,X,O,O,X
ISLTZJO,O,O,X,O,X,O,X
ISLTZOJ,O,O,X,O,X,O,X
ISLTOJZ,X,O,X,X,O,O,X
ISLTOZJ,O,O,X,X,X,O,X
ISLJTZO,O,O,X,O,X,X,X
ISLJTOZ,X,O,X,X,O,X,X
ISLJZTO,O,O,O,O,X,X,X
ISLJZOT,O,O,O,O,O,X,X
ISLJOTZ,X,O,X,O,O,X,X
ISLJOZT,X,O,O,O,O,X,X
ISLZTJO,O,O,X,O,X,O,X
ISLZTOJ,O,O,X,O,X,O,X
ISLZJTO,O,O,O,O,X,O,X
ISLZJOT,O,O,O,O,O,X,X
ISLZOTJ,O,O,X,O,X,X,X
ISLZOJT,O,O,O,O,O,X,X
ISLOTJZ,X,O,X,O,O,X,X
ISLOTZJ,O,O,X,O,X,X,X
ISLOJTZ,X,O,X,O,O,X,X
ISLOJZT,X,O,O,O,O,X,X
ISLOZTJ,O,O,X,O,X,X,X
ISLOZJT,O,O,O,O,O,X,X
ISJTLZO,O,O,X,O,X,O,X
ISJTLOZ,X,O,X,X,O,O,X
ISJTZLO,O,O,X,O,X,O,X
ISJTZOL,O,O,X,O,X,O,X
ISJTOLZ,X,O,X,O,O,O,X
ISJTOZL,X,O,X,O,O,O,X
ISJLTZO,O,O,X,O,X,X,X
ISJLTOZ,X,O,X,X,O,X,X
ISJLZTO,O,O,O,O,X,X,X
ISJLZOT,O,O,O,O,O,X,X
ISJLOTZ,X,O,X,O,O,X,X
ISJLOZT,X,O,O,O,O,X,X
ISJZTLO,O,O,O,O,X,O,X
ISJZTOL,O,O,O,O,X,O,X
ISJZLTO,O,O,O,O,X,O,X
ISJZLOT,O,O,O,O,O,X,X
ISJZOTL,O,X,O,O,O,O,X
ISJZOLT,O,O,O,O,O,X,X
ISJOTLZ,X,O,X,O,O,X,X
ISJOTZL,X,O,X,O,O,X,X
ISJOLTZ,X,O,X,O,O,X,X
ISJOLZT,X,O,O,O,O,X,X
ISJOZTL,X,X,O,O,O,X,X
ISJOZLT,X,O,O,O,O,X,X
ISZTLJO,O,O,X,O,X,O,X
ISZTLOJ,O,O,X,O,X,O,X
ISZTJLO,O,O,O,O,X,O,X
ISZTJOL,O,O,O,O,X,O,X
ISZTOLJ,O,O,X,O,X,O,X
ISZTOJL,O,O,O,O,X,O,X
ISZLTJO,O,O,X,O,X,O,X
ISZLTOJ,O,O,X,O,X,O,X
ISZLJTO,O,O,O,O,X,O,X
ISZLJOT,O,O,O,O,O,X,X
ISZLOTJ,O,O,X,O,X,X,X
ISZLOJT,O,O,O,O,O,X,X
ISZJTLO,O,O,O,O,X,O,X
ISZJTOL,O,O,O,O,X,O,X
ISZJLTO,O,O,O,O,X,O,X
ISZJLOT,O,O,O,O,O,X,X
ISZJOTL,O,X,O,O,O,O,X
ISZJOLT,O,O,O,O,O,X,X
ISZOTLJ,O,O,X,O,X,O,X
ISZOTJL,O,O,O,O,O,O,X
ISZOLTJ,O,O,X,O,X,X,X
ISZOLJT,O,O,O,O,O,X,X
ISZOJTL,O,X,O,O,O,O,X
ISZOJLT,O,O,O,O,O,X,X
ISOTLJZ,X,O,X,O,O,O,X
ISOTLZJ,O,O,X,O,X,O,X
ISOTJLZ,X,O,X,O,O,O,X
ISOTJZL,X,O,X,O,O,O,X
ISOTZLJ,O,O,X,O,X,O,X
ISOTZJL,O,O,X,O,O,O,X
ISOLTJZ,X,O,X,O,O,X,X
ISOLTZJ,O,O,X,O,X,X,X
ISOLJTZ,X,O,X,O,O,X,X
ISOLJZT,X,O,O,O,O,X,X
ISOLZTJ,O,O,X,O,X,X,X
ISOLZJT,O,O,O,O,O,X,X
ISOJTLZ,X,O,X,O,O,X,X
ISOJTZL,X,O,X,O,O,X,X
ISOJLTZ,X,O,X,O,O,X,X
ISOJLZT,X,O,O,O,O,X,X
ISOJZTL,X,X,O,O,O,X,X
ISOJZLT,X,O,O,O,O,X,X
ISOZTLJ,O,O,X,O,X,O,X
ISOZTJL,O,O,O,O,O,O,X
ISOZLTJ,O,O,X,O,X,X,X
ISOZLJT,O,O,O,O,O,X,X
ISOZJTL,O,X,O,O,O,O,X
ISOZJLT,O,O,O,O,O,X,X
IZTLJSO,O,X,O,X,X,X,O
IZTLJOS,X,X,O,X,X,X,O
IZTLSJO,O,X,X,O,X,X,O
IZTLSOJ,O,X,X,O,X,X,O
IZTLOJS,X,X,O,X,X,X,O
IZTLOSJ,X,X,X,X,X,X,O
IZTJLSO,O,X,O,X,X,X,X
IZTJLOS,X,X,O,X,X,X,X
IZTJSLO,O,O,O,X,X,O,X
IZTJSOL,O,O,O,X,X,O,X
