sequence,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhFRhBziBOqB8qBFs?B3rB,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhFclBmhBziBXmBFs?BxvB,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhFRhBziB0lBlmB2v?BXsB,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhF3gBRiB0mBlnBTq?B2wB,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhFFhBXiB8nBTlBmr?BxvB,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhFzgBFiB8nB2qBfs?BxvB,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhFclBmiBxmBTmB1v?BXsB
TOILSJZ,X,O,X,O,X,X,X
TOILSZJ,X,O,X,O,X,X,X
TOILZJS,O,O,X,X,X,X,X
TOILZSJ,O,O,X,O,X,X,X
TOIJLSZ,O,O,X,O,X,X,X
TOIJLZS,O,O,X,O,X,X,X
TOIJSLZ,O,O,X,O,X,X,X
TOIJSZL,X,O,X,O,X,X,X
TOIJZLS,O,O,X,O,X,X,X
TOIJZSL,O,O,X,O,X,X,X
TOISLJZ,X,O,X,O,X,X,X
TOISLZJ,X,O,X,O,X,X,X
TOISJLZ,X,O,X,O,X,X,X
TOISJZL,X,O,X,O,X,X,X
TOISZLJ,X,O,X,O,X,X,X
TOISZJL,X,O,X,X,X,X,X
TOIZLJS,O,O,X,X,X,X,X
TOIZLSJ,O,O,X,O,X,X,X
TOIZJLS,O,O,X,X,X,X,X
TOIZJSL,O,O,X,X,X,X,X
TOIZSLJ,O,O,X,O,X,X,X
TOIZSJL,X,O,X,X,X,X,X
TOLIJSZ,O,O,X,O,X,X,X
TOLIJZS,O,O,X,O,X,X,X
TOLISJZ,X,O,X,O,X,X,X
TOLISZJ,X,O,X,O,X,X,X
TOLIZJS,O,O,X,X,X,X,X
TOLIZSJ,O,O,X,O,X,X,X
TOLJISZ,O,O,X,O,X,X,X
TOLJIZS,O,O,X,O,X,X,X
TOLJSIZ,O,O,O,O,X,X,X
TOLJSZI,O,O,O,O,X,X,X
TOLJZIS,O,X,O,O,X,X,X
TOLJZSI,O,X,O,O,X,X,X
TOLSIJZ,X,O,O,O,X,X,X
TOLSIZJ,X,O,O,O,X,X,X
TOLSJIZ,O,O,O,O,X,X,X
TOLSJZI,O,O,O,O,X,X,X
TOLSZIJ,O,O,O,O,X,X,X
TOLSZJI,X,O,O,O,X,X,X
TOLZIJS,O,X,X,X,X,X,X
TOLZISJ,O,X,X,O,X,X,X
TOLZJIS,O,X,X,O,X,X,X
TOLZJSI,O,X,X,O,X,X,X
TOLZSIJ,O,X,X,O,X,X,X
TOLZSJI,X,X,X,O,X,X,X
TOJILSZ,O,O,X,O,X,X,X
TOJILZS,O,O,X,O,X,X,X
TOJISLZ,O,O,X,O,X,X,X
TOJISZL,X,O,X,O,X,X,X
TOJIZLS,O,O,X,O,X,X,X
TOJIZSL,O,O,X,O,X,X,X
TOJLISZ,O,O,X,O,X,X,X
TOJLIZS,O,O,X,O,X,X,X
TOJLSIZ,O,O,O,O,X,X,X
TOJLSZI,O,O,O,O,X,X,X
TOJLZIS,O,X,O,O,X,X,X
TOJLZSI,O,X,O,O,X,X,X
TOJSILZ,O,O,O,O,X,X,X
TOJSIZL,X,O,O,O,X,X,O
TOJSLIZ,O,O,O,O,X,X,X
TOJSLZI,O,O,O,O,X,X,X
TOJSZIL,O,O,O,O,X,X,O
TOJSZLI,O,O,O,O,X,X,O
TOJZILS,O,O,O,O,X,X,X
TOJZISL,O,O,O,O,X,X,X
TOJZLIS,O,X,O,O,X,X,X
TOJZLSI,O,X,O,O,X,X,O
TOJZSIL,O,O,O,O,X,X,O
TOJZSLI,O,O,O,O,X,X,O
TOSILJZ,X,O,O,O,X,X,X
TOSILZJ,X,O,O,O,X,X,X
TOSIJLZ,X,O,O,O,X,X,X
TOSIJZL,X,O,O,O,X,X,O
TOSIZLJ,X,O,O,O,X,X,O
TOSIZJL,X,O,X,X,X,X,O
TOSLIJZ,X,O,O,O,X,X,X
TOSLIZJ,X,O,O,O,X,X,X
TOSLJIZ,O,O,O,O,X,X,X
TOSLJZI,O,O,O,O,X,X,X
TOSLZIJ,O,O,O,O,X,X,X
TOSLZJI,X,O,O,O,X,X,X
TOSJILZ,O,O,O,O,X,X,X
TOSJIZL,X,O,O,O,X,X,O
TOSJLIZ,O,O,O,O,X,X,X
TOSJLZI,O,O,O,O,X,X,X
TOSJZIL,O,O,O,O,X,X,O
TOSJZLI,O,O,O,O,X,X,O
TOSZILJ,O,O,O,O,X,X,O
TOSZIJL,X,O,X,X,X,X,O
TOSZLIJ,O,O,O,O,X,X,O
TOSZLJI,X,O,O,O,X,X,O
TOSZJIL,O,O,O,O,X,X,O
TOSZJLI,O,O,O,O,X,X,O
TOZILJS,O,O,X,X,X,X,X
TOZILSJ,O,O,X,O,X,X,X
TOZIJLS,O,O,X,X,X,X,X
TOZIJSL,O,O,X,X,X,X,X
TOZISLJ,O,O,X,O,X,X,X
TOZISJL,X,O,X,X,X,X,X
TOZLIJS,O,X,X,X,X,X,X
TOZLISJ,O,X,X,O,X,X,X
TOZLJIS,O,X,X,O,X,X,X
TOZLJSI,O,X,X,O,X,X,O
TOZLSIJ,O,X,X,O,X,X,O
TOZLSJI,X,X,X,O,X,X,O
TOZJILS,O,O,X,O,X,X,X
TOZJISL,O,O,X,O,X,X,X
TOZJLIS,O,X,X,O,X,X,X
TOZJLSI,O,X,X,O,X,X,O
TOZJSIL,O,O,X,O,X,X,O
TOZJSLI,O,O,X,O,X,X,O
TOZSILJ,O,O,X,O,X,X,O
TOZSIJL,X,O,X,X,X,X,O
TOZSLIJ,O,O,X,O,X,X,O
TOZSLJI,X,O,X,O,X,X,O
TOZSJIL,O,O,X,O,X,X,O
TOZSJLI,O,O,X,O,X,X,O
ITLJSZO,X,O,X,X,O,O,X
ITLJSOZ,O,O,X,X,X,O,X
ITLJZSO,O,O,X,O,O,O,X
ITLJZOS,O,O,X,O,O,O,X
ITLJOSZ,O,O,X,O,X,O,X
ITLJOZS,O,O,X,O,O,O,X
ITLSJZO,X,O,X,X,X,O,X
ITLSJOZ,X,O,X,X,X,O,X
ITLSZJO,X,O,X,X,X,O,X
ITLSZOJ,X,O,X,X,X,O,X
ITLSOJZ,X,O,X,O,X,X,X
ITLSOZJ,X,O,X,O,X,X,X
ITLZJSO,X,O,X,X,O,O,X
ITLZJOS,O,O,X,X,O,O,X
ITLZSJO,X,O,X,X,O,O,X
ITLZSOJ,O,O,X,X,O,O,X
ITLZOJS,O,O,X,X,O,X,X
ITLZOSJ,O,O,X,O,O,X,X
ITLOJSZ,O,O,X,O,O,X,X
ITLOJZS,O,O,X,O,O,X,X
ITLOSJZ,X,O,X,O,X,X,X
ITLOSZJ,X,O,X,O,O,X,X
ITLOZJS,O,O,X,X,O,X,X
ITLOZSJ,O,O,X,O,O,X,X
ITJLSZO,X,O,X,X,O,O,X
ITJLSOZ,O,O,X,X,X,O,X
ITJLZSO,O,O,X,O,O,O,X
ITJLZOS,O,O,X,O,O,O,X
ITJLOSZ,O,O,X,O,X,O,X
ITJLOZS,O,O,X,O,O,O,X
ITJSLZO,X,O,X,X,O,O,O
ITJSLOZ,O,O,X,X,X,O,X
ITJSZLO,X,O,X,X,O,O,O
ITJSZOL,X,O,X,X,O,O,O
ITJSOLZ,O,O,X,O,X,O,X
ITJSOZL,X,O,X,O,X,O,O
ITJZLSO,O,O,X,O,O,O,O
ITJZLOS,O,O,X,O,O,O,X
ITJZSLO,O,O,X,O,O,O,O
ITJZSOL,O,O,X,O,O,O,O
ITJZOLS,O,O,X,O,O,O,X
ITJZOSL,O,O,X,O,O,O,X
ITJOLSZ,O,O,X,O,O,O,X
ITJOLZS,O,O,X,O,O,O,X
ITJOSLZ,O,O,X,O,O,O,X
ITJOSZL,X,O,X,O,O,O,X
ITJOZLS,O,O,X,O,O,O,X
ITJOZSL,O,O,X,O,O,O,X
ITSLJZO,X,O,X,X,X,O,O
ITSLJOZ,X,O,X,X,X,O,X
ITSLZJO,X,O,X,X,X,O,O
ITSLZOJ,X,O,X,X,X,O,O
ITSLOJZ,X,O,X,O,X,X,X
ITSLOZJ,X,O,X,O,X,X,X
ITSJLZO,X,O,X,X,X,O,O
ITSJLOZ,X,O,X,X,X,O,X
ITSJZLO,X,O,X,X,X,O,O
ITSJZOL,X,O,X,X,X,O,O
ITSJOLZ,X,O,X,O,X,O,X
ITSJOZL,X,O,X,O,X,O,O
ITSZLJO,X,O,X,X,X,O,O
ITSZLOJ,X,O,X,X,X,O,O
ITSZJLO,X,O,X,X,X,O,O
ITSZJOL,X,O,X,X,X,O,O
ITSZOLJ,X,O,X,X,X,O,O
ITSZOJL,X,O,X,X,X,O,O
ITSOLJZ,X,O,X,O,X,X,X
ITSOLZJ,X,O,X,O,X,X,X
ITSOJLZ,X,O,X,O,X,X,X
ITSOJZL,X,O,X,X,X,X,O
ITSOZLJ,X,O,X,O,X,X,O
ITSOZJL,X,O,X,X,X,X,O
ITZLJSO,X,O,X,X,O,O,O
ITZLJOS,O,O,X,X,O,O,X
ITZLSJO,X,O,X,X,O,O,O
ITZLSOJ,O,O,X,X,O,O,O
ITZLOJS,O,O,X,X,O,X,X
ITZLOSJ,O,O,X,O,O,X,X
ITZJLSO,O,O,X,X,O,O,O
ITZJLOS,O,O,X,X,O,O,X
ITZJSLO,O,O,X,X,O,O,O
ITZJSOL,O,O,X,X,O,O,O
ITZJOLS,O,O,X,O,O,O,X
ITZJOSL,O,O,X,O,O,O,X
ITZSLJO,X,O,X,X,O,O,O
ITZSLOJ,O,O,X,X,O,O,O
ITZSJLO,X,O,X,X,O,O,O
ITZSJOL,X,O,X,X,O,O,O
ITZSOLJ,O,O,X,X,O,O,O
ITZSOJL,X,O,X,X,O,O,O
ITZOLJS,O,O,X,X,O,X,X
ITZOLSJ,O,O,X,O,O,X,X
ITZOJLS,O,O,X,X,O,X,X
ITZOJSL,O,O,X,X,O,X,X
ITZOSLJ,O,O,X,O,O,X,X
ITZOSJL,X,O,X,X,O,X,X
ITOLJSZ,O,O,X,O,O,X,X
ITOLJZS,O,O,X,O,O,X,X
ITOLSJZ,X,O,X,O,X,X,X
ITOLSZJ,X,O,X,O,O,X,X
ITOLZJS,O,O,X,X,O,X,X
ITOLZSJ,O,O,X,O,O,X,X
ITOJLSZ,O,O,X,O,O,X,X
ITOJLZS,O,O,X,O,O,X,X
ITOJSLZ,O,O,X,O,O,X,X
ITOJSZL,X,O,X,O,O,X,X
ITOJZLS,O,O,X,O,O,X,X
ITOJZSL,O,O,X,O,O,X,X
ITOSLJZ,X,O,X,O,X,X,X
ITOSLZJ,X,O,X,O,O,X,X
ITOSJLZ,X,O,X,O,X,X,X
ITOSJZL,X,O,X,O,X,X,X
ITOSZLJ,X,O,X,O,O,X,X
ITOSZJL,X,O,X,X,O,X,X
ITOZLJS,O,O,X,X,O,X,X
ITOZLSJ,O,O,X,O,O,X,X
ITOZJLS,O,O,X,X,O,X,X
ITOZJSL,O,O,X,X,O,X,X
ITOZSLJ,O,O,X,O,O,X,X
ITOZSJL,X,O,X,X,O,X,X
ILTJSZO,X,O,X,X,O,O,X
ILTJSOZ,O,O,X,X,X,O,X
ILTJZSO,O,O,X,O,O,O,X
ILTJZOS,O,O,X,O,O,O,X
ILTJOSZ,O,O,X,O,X,O,X
ILTJOZS,O,O,X,X,O,O,X
ILTSJZO,X,O,X,X,X,O,X
ILTSJOZ,X,O,X,X,X,O,X
ILTSZJO,X,O,X,X,X,O,X
ILTSZOJ,X,O,X,X,X,O,X
ILTSOJZ,X,O,X,O,X,X,X
ILTSOZJ,X,O,X,O,X,X,X
ILTZJSO,X,O,X,X,O,O,X
ILTZJOS,O,O,X,X,O,O,X
ILTZSJO,X,O,X,X,O,O,X
ILTZSOJ,O,O,X,X,O,O,X
ILTZOJS,O,O,X,X,O,X,X
ILTZOSJ,O,O,X,O,O,X,X
ILTOJSZ,O,O,X,O,O,X,X
ILTOJZS,O,O,X,O,O,X,X
ILTOSJZ,X,O,X,O,X,X,X
ILTOSZJ,X,O,X,O,O,X,X
ILTOZJS,O,O,X,X,O,X,X
ILTOZSJ,O,O,X,O,O,X,X
ILJTSZO,X,X,X,X,O,O,X
ILJTSOZ,O,X,X,X,X,O,X
ILJTZSO,O,O,X,O,O,O,X
ILJTZOS,O,O,X,O,O,O,X
ILJTOSZ,O,X,X,X,X,O,X
ILJTOZS,O,O,X,X,O,O,X
ILJSTZO,X,X,O,X,O,O,X
ILJSTOZ,O,X,O,X,X,O,X
ILJSZTO,O,X,O,X,O,O,X
ILJSZOT,O,X,O,X,O,O,X
ILJSOTZ,O,X,O,X,X,O,X
ILJSOZT,O,X,O,X,X,O,X
ILJZTSO,O,O,O,O,O,O,X
ILJZTOS,O,O,O,O,O,O,X
ILJZSTO,O,O,O,O,O,O,X
ILJZSOT,O,O,O,O,O,O,X
ILJZOTS,O,O,O,X,O,O,X
ILJZOST,O,O,O,O,O,O,X
ILJOTSZ,O,X,X,X,O,O,X
ILJOTZS,O,O,X,X,O,O,X
ILJOSTZ,O,X,O,X,O,O,X
ILJOSZT,O,X,O,X,O,O,X
ILJOZTS,O,O,O,X,O,O,X
ILJOZST,O,O,O,X,O,O,X
ILSTJZO,X,O,O,X,X,O,X
ILSTJOZ,X,O,O,X,X,O,X
ILSTZJO,X,O,X,X,X,O,X
ILSTZOJ,X,O,O,X,X,O,X
ILSTOJZ,X,O,O,X,X,X,X
ILSTOZJ,X,O,O,X,X,X,X
ILSJTZO,X,X,O,X,O,O,X
ILSJTOZ,X,X,O,X,X,O,X
ILSJZTO,X,O,O,X,O,O,X
ILSJZOT,X,O,O,X,O,O,X
ILSJOTZ,X,X,O,X,X,O,X
ILSJOZT,X,O,O,X,X,O,X
ILSZTJO,X,O,X,X,O,O,X
ILSZTOJ,X,O,X,X,O,O,X
ILSZJTO,X,O,X,X,O,O,X
ILSZJOT,X,O,X,X,O,O,X
ILSZOTJ,X,O,X,X,O,O,X
ILSZOJT,X,O,X,X,O,O,X
ILSOTJZ,X,X,O,X,X,X,X
ILSOTZJ,X,O,O,X,O,X,X
ILSOJTZ,X,X,O,X,O,O,X
ILSOJZT,X,O,O,X,O,O,X
ILSOZTJ,X,O,X,X,O,O,X
ILSOZJT,X,O,X,X,O,O,X
ILZTJSO,X,O,X,X,O,O,X
ILZTJOS,O,O,X,X,O,O,X
ILZTSJO,X,O,X,X,O,O,X
ILZTSOJ,O,O,X,X,O,O,X
ILZTOJS,O,O,X,X,O,X,X
ILZTOSJ,O,O,X,X,O,X,X
ILZJTSO,X,O,X,X,O,O,X
ILZJTOS,O,O,X,X,O,O,X
ILZJSTO,X,O,X,X,O,O,X
ILZJSOT,X,O,X,X,O,O,X
ILZJOTS,O,O,X,X,O,O,X
ILZJOST,O,O,X,X,O,O,X
ILZSTJO,X,O,X,X,O,O,X
ILZSTOJ,O,O,X,X,O,O,X
ILZSJTO,X,O,X,X,O,O,X
ILZSJOT,X,O,X,X,O,O,X
ILZSOTJ,O,O,X,X,O,O,X
ILZSOJT,O,O,X,X,O,O,X
ILZOTJS,O,O,X,X,O,X,X
ILZOTSJ,O,O,X,X,O,X,X
ILZOJTS,O,O,X,X,O,O,X
ILZOJST,O,O,X,X,O,O,X
ILZOSTJ,O,O,X,X,O,O,X
ILZOSJT,O,O,X,X,O,O,X
ILOTJSZ,O,O,X,O,O,X,X
ILOTJZS,O,O,X,O,O,X,X
ILOTSJZ,X,O,X,O,X,X,X
ILOTSZJ,X,O,X,O,O,X,X
ILOTZJS,O,O,X,X,O,X,X
ILOTZSJ,O,O,X,O,O,X,X
ILOJTSZ,O,X,X,O,O,O,X
ILOJTZS,O,O,X,O,O,O,X
ILOJSTZ,O,X,O,O,O,O,X
ILOJSZT,O,X,O,O,O,O,X
ILOJZTS,O,O,O,O,O,O,X
ILOJZST,O,O,O,O,O,O,X
ILOSTJZ,X,X,O,O,X,X,X
ILOSTZJ,X,O,O,O,O,X,X
ILOSJTZ,X,X,O,O,O,O,X
ILOSJZT,X,O,O,O,O,O,X
ILOSZTJ,X,O,X,X,O,O,X
ILOSZJT,X,O,X,X,O,O,X
ILOZTJS,O,O,X,X,O,X,X
ILOZTSJ,O,O,X,X,O,X,X
ILOZJTS,O,O,X,X,O,O,X
ILOZJST,O,O,X,X,O,O,X
ILOZSTJ,O,O,X,X,O,O,X
ILOZSJT,O,O,X,X,O,O,X
IJTLSZO,X,O,X,X,O,O,X
IJTLSOZ,O,O,X,X,X,O,X
IJTLZSO,O,O,X,O,O,O,X
IJTLZOS,O,O,X,O,O,O,X
IJTLOSZ,O,O,X,O,X,O,X
IJTLOZS,O,O,X,O,O,O,X
IJTSLZO,X,O,X,X,O,O,O
IJTSLOZ,O,O,X,X,X,O,X
IJTSZLO,X,O,X,X,O,O,O
IJTSZOL,X,O,X,X,O,O,O
IJTSOLZ,O,O,X,O,X,O,X
IJTSOZL,X,O,X,O,X,O,O
IJTZLSO,O,O,X,O,O,O,O
IJTZLOS,O,O,X,O,O,O,X
IJTZSLO,O,O,X,O,O,O,O
IJTZSOL,O,O,X,O,O,O,O
IJTZOLS,O,O,X,O,O,O,X
IJTZOSL,O,O,X,O,O,O,X
IJTOLSZ,O,O,X,O,O,O,X
IJTOLZS,O,O,X,O,O,O,X
IJTOSLZ,O,O,X,O,O,O,X
IJTOSZL,X,O,X,O,O,O,X
IJTOZLS,O,O,X,O,O,O,X
IJTOZSL,O,O,X,O,O,O,X
IJLTSZO,X,X,X,X,O,O,X
IJLTSOZ,O,X,X,X,X,O,X
IJLTZSO,O,O,X,O,O,O,X
IJLTZOS,O,O,X,O,O,O,X
IJLTOSZ,O,X,X,X,X,O,X
IJLTOZS,O,O,X,X,O,O,X
IJLSTZO,X,X,O,X,O,O,X
IJLSTOZ,O,X,O,X,X,O,X
IJLSZTO,O,X,O,X,O,O,X
IJLSZOT,O,X,O,X,O,O,X
IJLSOTZ,O,X,O,X,X,O,X
IJLSOZT,O,X,O,X,X,O,X
IJLZTSO,O,O,O,O,O,O,X
IJLZTOS,O,O,O,O,O,O,X
IJLZSTO,O,O,O,O,O,O,X
IJLZSOT,O,O,O,O,O,O,X
IJLZOTS,O,O,O,X,O,O,X
IJLZOST,O,O,O,O,O,O,X
IJLOTSZ,O,X,X,X,O,O,X
IJLOTZS,O,O,X,X,O,O,X
IJLOSTZ,O,X,O,X,O,O,X
IJLOSZT,O,X,O,X,O,O,X
IJLOZTS,O,O,O,X,O,O,X
IJLOZST,O,O,O,X,O,O,X
IJSTLZO,X,O,O,X,O,O,O
IJSTLOZ,O,O,O,X,X,O,X
IJSTZLO,X,O,O,X,O,O,O
IJSTZOL,X,O,O,X,O,O,O
IJSTOLZ,O,O,O,X,X,O,X
IJSTOZL,X,O,O,X,X,O,O
IJSLTZO,X,X,O,X,O,O,O
IJSLTOZ,O,X,O,X,X,O,X
IJSLZTO,O,O,O,X,O,O,X
IJSLZOT,O,O,O,X,O,O,X
IJSLOTZ,O,X,O,X,X,O,X
IJSLOZT,O,O,O,X,X,O,X
IJSZTLO,O,O,O,X,O,O,O
IJSZTOL,O,O,O,X,O,O,O
IJSZLTO,O,O,O,X,O,O,X
IJSZLOT,O,O,O,X,O,O,X
IJSZOTL,X,O,O,X,O,O,X
IJSZOLT,O,O,O,X,O,O,X
IJSOTLZ,X,X,O,X,O,O,X
IJSOTZL,X,O,O,X,O,O,O
IJSOLTZ,O,X,O,X,O,O,X
IJSOLZT,O,O,O,X,O,O,X
IJSOZTL,X,O,O,X,O,O,X
IJSOZLT,X,O,O,X,O,O,X
IJZTLSO,O,O,O,O,O,O,X
IJZTLOS,O,O,O,O,O,O,X
IJZTSLO,O,O,O,O,O,O,X
IJZTSOL,O,O,O,O,O,O,X
IJZTOLS,O,O,O,O,O,O,X
IJZTOSL,O,O,O,O,O,O,X
IJZLTSO,O,O,O,O,O,O,X
IJZLTOS,O,O,O,O,O,O,X
IJZLSTO,O,O,O,O,O,O,X
IJZLSOT,O,O,O,O,O,O,X
IJZLOTS,O,O,O,O,O,O,X
IJZLOST,O,O,O,O,O,O,X
IJZSTLO,O,O,O,O,O,O,X
IJZSTOL,O,O,O,O,O,O,X
IJZSLTO,O,O,O,O,O,O,X
IJZSLOT,O,O,O,O,O,O,X
IJZSOTL,X,O,O,O,O,O,X
IJZSOLT,O,O,O,O,O,O,X
IJZOTLS,O,O,O,O,O,O,X
IJZOTSL,O,O,O,O,O,O,X
IJZOLTS,O,O,O,O,O,O,X
IJZOLST,O,O,O,O,O,O,X
IJZOSTL,X,O,O,O,O,O,X
IJZOSLT,O,O,O,O,O,O,X
IJOTLSZ,O,O,X,O,O,O,X
IJOTLZS,O,O,X,O,O,O,X
IJOTSLZ,O,O,X,O,O,O,X
IJOTSZL,X,O,X,O,O,O,X
IJOTZLS,O,O,X,O,O,O,X
IJOTZSL,O,O,X,O,O,O,X
IJOLTSZ,O,X,X,O,O,O,X
IJOLTZS,O,O,X,O,O,O,X
IJOLSTZ,O,X,O,O,O,O,X
IJOLSZT,O,X,O,O,O,O,X
IJOLZTS,O,O,O,O,O,O,X
IJOLZST,O,O,O,O,O,O,X
IJOSTLZ,X,X,O,O,O,O,X
IJOSTZL,X,O,O,O,O,O,X
IJOSLTZ,O,X,O,O,O,O,X
IJOSLZT,O,O,O,O,O,O,X
IJOSZTL,X,O,O,O,O,O,X
IJOSZLT,X,O,O,O,O,O,X
IJOZTLS,O,O,O,O,O,O,X
IJOZTSL,O,O,O,O,O,O,X
IJOZLTS,O,O,O,O,O,O,X
IJOZLST,O,O,O,O,O,O,X
IJOZSTL,X,O,O,O,O,O,X
IJOZSLT,O,O,O,O,O,O,X
ISTLJZO,X,O,O,X,X,O,O
ISTLJOZ,X,O,O,X,X,O,X
ISTLZJO,X,O,X,X,X,O,O
ISTLZOJ,X,O,O,X,X,O,O
ISTLOJZ,X,O,O,X,X,X,X
ISTLOZJ,X,O,O,X,X,X,X
ISTJLZO,X,O,O,X,X,O,O
ISTJLOZ,X,O,O,X,X,O,X
ISTJZLO,X,O,O,X,X,O,O
ISTJZOL,X,O,O,X,X,O,O
ISTJOLZ,X,O,O,X,X,O,X
ISTJOZL,X,O,O,X,X,O,O
ISTZLJO,X,O,X,X,X,O,O
ISTZLOJ,X,O,O,X,X,O,O
ISTZJLO,X,O,X,X,X,O,O
ISTZJOL,X,O,X,X,X,O,O
ISTZOLJ,X,O,O,X,X,O,O
ISTZOJL,X,O,X,X,X,O,O
ISTOLJZ,X,O,O,X,X,X,X
ISTOLZJ,X,O,O,X,X,X,X
ISTOJLZ,X,O,O,X,X,X,X
ISTOJZL,X,O,O,X,X,X,O
ISTOZLJ,X,O,O,X,X,X,O
ISTOZJL,X,O,X,X,X,X,O
ISLTJZO,X,O,O,X,X,O,O
ISLTJOZ,X,O,O,X,X,O,X
ISLTZJO,X,O,X,X,X,O,O
ISLTZOJ,X,O,O,X,X,O,O
ISLTOJZ,X,O,O,X,X,X,X
ISLTOZJ,X,O,O,X,X,X,X
ISLJTZO,X,X,O,X,O,O,O
ISLJTOZ,X,X,O,X,X,O,X
ISLJZTO,X,O,O,X,O,O,X
ISLJZOT,X,O,O,X,O,O,X
ISLJOTZ,X,X,O,X,X,O,X
ISLJOZT,X,O,O,X,X,O,X
ISLZTJO,X,O,X,X,O,O,X
ISLZTOJ,X,O,X,X,O,O,X
ISLZJTO,X,O,X,X,O,O,X
ISLZJOT,X,O,X,X,O,O,X
ISLZOTJ,X,O,X,X,O,O,X
ISLZOJT,X,O,X,X,O,O,X
ISLOTJZ,X,X,O,X,X,X,X
ISLOTZJ,X,O,O,X,O,X,X
ISLOJTZ,X,X,O,X,O,O,X
ISLOJZT,X,O,O,X,O,O,X
ISLOZTJ,X,O,X,X,O,O,X
ISLOZJT,X,O,X,X,O,O,X
ISJTLZO,X,O,O,X,O,O,O
ISJTLOZ,X,O,O,X,X,O,X
ISJTZLO,X,O,O,X,O,O,O
ISJTZOL,X,O,O,X,O,O,O
ISJTOLZ,X,O,O,X,X,O,X
ISJTOZL,X,O,O,X,X,O,O
ISJLTZO,X,X,O,X,O,O,O
ISJLTOZ,X,X,O,X,X,O,X
ISJLZTO,X,O,O,X,O,O,X
ISJLZOT,X,O,O,X,O,O,X
ISJLOTZ,X,X,O,X,X,O,X
ISJLOZT,X,O,O,X,X,O,X
ISJZTLO,X,O,O,X,O,O,O
ISJZTOL,X,O,O,X,O,O,O
ISJZLTO,X,O,O,X,O,O,X
ISJZLOT,X,O,O,X,O,O,X
ISJZOTL,X,O,O,X,O,O,X
ISJZOLT,X,O,O,X,O,O,X
ISJOTLZ,X,X,O,X,O,O,X
ISJOTZL,X,O,O,X,O,O,O
ISJOLTZ,X,X,O,X,O,O,X
ISJOLZT,X,O,O,X,O,O,X
ISJOZTL,X,O,O,X,O,O,X
ISJOZLT,X,O,O,X,O,O,X
ISZTLJO,X,O,X,X,O,O,O
ISZTLOJ,X,O,X,X,O,O,O
ISZTJLO,X,O,X,X,O,O,O
ISZTJOL,X,O,X,X,O,O,O
ISZTOLJ,X,O,X,X,O,O,O
ISZTOJL,X,O,X,X,O,O,O
ISZLTJO,X,O,X,X,O,O,X
ISZLTOJ,X,O,X,X,O,O,X
ISZLJTO,X,O,X,X,O,O,X
ISZLJOT,X,O,X,X,O,O,X
ISZLOTJ,X,O,X,X,O,O,X
ISZLOJT,X,O,X,X,O,O,X
ISZJTLO,X,O,X,X,O,O,O
ISZJTOL,X,O,X,X,O,O,O
ISZJLTO,X,O,X,X,O,O,X
ISZJLOT,X,O,X,X,O,O,X
ISZJOTL,X,O,X,X,O,O,X
ISZJOLT,X,O,X,X,O,O,X
ISZOTLJ,X,O,X,X,O,O,X
ISZOTJL,X,O,X,X,O,O,X
ISZOLTJ,X,O,X,X,O,O,X
ISZOLJT,X,O,X,X,O,O,X
ISZOJTL,X,O,X,X,O,O,X
ISZOJLT,X,O,X,X,O,O,X
ISOTLJZ,X,O,O,X,X,X,X
ISOTLZJ,X,O,O,X,O,X,X
ISOTJLZ,X,O,O,X,X,X,X
ISOTJZL,X,O,O,X,X,X,O
ISOTZLJ,X,O,O,X,O,X,O
ISOTZJL,X,O,X,X,O,X,O
ISOLTJZ,X,X,O,X,X,X,X
ISOLTZJ,X,O,O,X,O,X,X
ISOLJTZ,X,X,O,X,O,O,X
ISOLJZT,X,O,O,X,O,O,X
ISOLZTJ,X,O,X,X,O,O,X
ISOLZJT,X,O,X,X,O,O,X
ISOJTLZ,X,X,O,X,O,O,X
ISOJTZL,X,O,O,X,O,O,O
ISOJLTZ,X,X,O,X,O,O,X
ISOJLZT,X,O,O,X,O,O,X
ISOJZTL,X,O,O,X,O,O,X
ISOJZLT,X,O,O,X,O,O,X
ISOZTLJ,X,O,X,X,O,O,X
ISOZTJL,X,O,X,X,O,O,X
ISOZLTJ,X,O,X,X,O,O,X
ISOZLJT,X,O,X,X,O,O,X
ISOZJTL,X,O,X,X,O,O,X
ISOZJLT,X,O,X,X,O,O,X
IZTLJSO,X,O,X,X,O,O,X
IZTLJOS,O,O,X,X,O,O,X
IZTLSJO,X,O,X,X,O,O,X
IZTLSOJ,O,O,X,X,O,O,X
IZTLOJS,O,O,X,X,O,X,X
IZTLOSJ,O,O,X,X,O,X,X
IZTJLSO,O,O,X,X,O,O,X
IZTJLOS,O,O,X,X,O,O,X
IZTJSLO,O,O,X,X,O,O,X
IZTJSOL,O,O,X,X,O,O,X
IZTJOLS,O,O,X,X,O,O,X
IZTJOSL,O,O,X,X,O,O,X
IZTSLJO,X,O,X,X,O,O,X
IZTSLOJ,O,O,X,X,O,O,X
