sequence,v115@HhA8IeD8FeA8BeF8Ke0/IvhFdmBumBaoB5oBTnBXqB,v115@HhA8IeD8FeA8BeF8Ke0/IvhFdmBqmBTiBeoB5oBXqB,v115@HhA8IeD8FeA8BeF8KeXAJvhFdmBzhBWoB6tBRsB0pB
TSOJZIL,O,X,X
TSOJZLI,O,X,X
TSOZILJ,O,X,X
TSOZIJL,O,X,X
TSOZLIJ,O,X,X
TSOZLJI,O,X,X
TSOZJIL,O,X,X
TSOZJLI,O,X,X
TZILJSO,X,O,X
TZILJOS,O,O,X
TZILSJO,X,O,X
TZILSOJ,O,X,X
TZILOJS,O,O,X
TZILOSJ,O,X,X
TZIJLSO,X,O,X
TZIJLOS,O,O,X
TZIJSLO,X,O,X
TZIJSOL,O,X,O
TZIJOLS,O,O,X
TZIJOSL,O,X,O
TZISLJO,X,O,X
TZISLOJ,O,X,X
TZISJLO,X,O,X
TZISJOL,O,X,O
TZISOLJ,O,X,X
TZISOJL,O,X,O
TZIOLJS,O,O,X
TZIOLSJ,O,X,X
TZIOJLS,O,O,X
TZIOJSL,O,X,O
TZIOSLJ,O,X,X
TZIOSJL,O,X,O
TZLIJSO,X,O,X
TZLIJOS,O,O,X
TZLISJO,X,O,X
TZLISOJ,O,X,X
TZLIOJS,O,O,X
TZLIOSJ,O,X,X
TZLJISO,X,O,X
TZLJIOS,O,O,X
TZLJSIO,X,O,X
TZLJSOI,X,O,X
TZLJOIS,O,O,X
TZLJOSI,O,O,X
TZLSIJO,X,O,X
TZLSIOJ,O,X,X
TZLSJIO,X,O,X
TZLSJOI,X,O,X
TZLSOIJ,O,X,X
TZLSOJI,O,O,X
TZLOIJS,O,O,X
TZLOISJ,O,X,X
TZLOJIS,O,O,X
TZLOJSI,O,O,X
TZLOSIJ,O,X,X
TZLOSJI,O,O,X
TZJILSO,X,O,X
TZJILOS,O,O,X
TZJISLO,X,O,X
TZJISOL,O,X,X
TZJIOLS,O,O,X
TZJIOSL,O,X,X
TZJLISO,X,O,X
TZJLIOS,O,O,X
TZJLSIO,X,O,X
