sequence,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8JeuEJvhF1lB0hB?xiBqsBToBXqB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je5EJvhFigB3hB?+oBcqBlnBzsB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8JeFAJvhF0hBxiB?qpB3lBGoBzsB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8JeCAJvhF0hBxiB?llBWtBzpBXtB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je0BJvhFxiBfqB?llBGoBzsBCqB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je5EJvhF0hBTjB?3lBFtBOqB6sB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je3AJvhF1mBxiB?qpBGoBUlBzsB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je5EJvhF0hB6nB?llBToBOqBXtB
TZJSLIO,O,O,X,X,X,X,X,X
TZJSLOI,O,O,X,X,O,X,X,X
TZJSOIL,O,O,X,X,O,O,X,X
TZJSOLI,O,O,X,X,O,X,X,X
TZJOILS,O,O,X,O,X,X,X,O
TZJOISL,X,O,X,O,X,O,X,X
TZJOLIS,O,O,X,O,X,X,X,O
TZJOLSI,O,O,X,O,X,X,X,X
TZJOSIL,X,O,X,O,X,O,X,X
TZJOSLI,X,O,X,O,X,X,X,X
TZSILJO,O,O,X,X,X,O,X,X
TZSILOJ,O,X,X,X,X,O,X,O
TZSIJLO,O,O,X,X,X,O,X,X
TZSIJOL,O,O,X,X,O,O,X,X
TZSIOLJ,X,X,X,X,X,O,X,O
TZSIOJL,O,X,X,X,O,O,X,X
TZSLIJO,O,O,X,X,X,O,X,X
TZSLIOJ,O,X,X,X,X,O,X,O
TZSLJIO,O,O,X,X,X,X,X,X
TZSLJOI,O,O,X,X,O,X,X,X
TZSLOIJ,O,X,X,X,X,O,X,O
TZSLOJI,O,X,X,X,O,X,X,X
TZSJILO,O,O,X,X,X,O,X,X
TZSJIOL,O,O,X,X,O,O,X,X
TZSJLIO,O,O,X,X,X,X,X,X
TZSJLOI,O,O,X,X,O,X,X,X
TZSJOIL,O,O,X,X,O,O,X,X
TZSJOLI,O,O,X,X,O,X,X,X
TZSOILJ,X,X,X,X,X,O,X,O
TZSOIJL,O,X,X,X,O,O,X,X
TZSOLIJ,O,X,X,X,X,O,X,O
TZSOLJI,O,X,X,X,O,X,X,X
TZSOJIL,O,X,X,X,O,O,X,X
TZSOJLI,O,X,X,X,O,X,X,X
TZOILJS,X,X,O,O,X,X,X,O
TZOILSJ,X,X,O,O,X,O,X,O
TZOIJLS,O,X,X,O,X,X,X,O
TZOIJSL,X,X,X,O,X,O,X,X
TZOISLJ,X,X,X,O,X,O,X,O
TZOISJL,O,X,X,X,X,O,X,X
TZOLIJS,O,X,O,O,X,X,X,O
TZOLISJ,O,X,O,O,X,O,X,O
TZOLJIS,O,X,O,O,X,X,O,O
TZOLJSI,O,X,O,O,X,X,O,X
TZOLSIJ,O,X,O,O,X,O,X,O
TZOLSJI,O,X,O,O,X,X,O,X
TZOJILS,O,X,O,O,X,X,O,O
TZOJISL,X,X,X,O,O,O,X,X
TZOJLIS,O,X,O,O,X,X,O,O
TZOJLSI,O,X,O,O,X,X,O,X
TZOJSIL,X,X,X,O,O,O,X,X
TZOJSLI,X,X,X,O,O,X,X,X
TZOSILJ,X,X,X,O,X,O,X,O
TZOSIJL,O,X,X,X,O,O,X,X
TZOSLIJ,O,X,X,O,X,O,X,O
TZOSLJI,O,X,X,O,O,X,X,X
TZOSJIL,O,X,X,O,O,O,X,X
TZOSJLI,O,X,X,O,O,X,X,X
TOILJSZ,O,X,X,O,X,X,O,X
TOILJZS,O,X,X,O,X,X,O,X
TOILSJZ,O,X,X,X,X,O,O,X
TOILSZJ,O,X,X,X,X,O,X,X
TOILZJS,O,X,X,O,X,X,X,O
TOILZSJ,O,X,X,O,X,O,X,O
TOIJLSZ,O,X,X,O,X,X,O,X
TOIJLZS,O,X,X,O,X,X,O,X
TOIJSLZ,X,X,X,O,X,O,O,X
TOIJSZL,X,X,X,O,X,O,X,X
TOIJZLS,X,X,X,O,X,X,O,O
TOIJZSL,X,X,X,O,X,O,X,X
TOISLJZ,O,X,X,X,X,O,X,X
TOISLZJ,O,X,X,X,X,O,X,X
TOISJLZ,O,X,X,X,X,O,X,X
TOISJZL,X,X,X,X,X,O,X,X
TOISZLJ,X,X,X,X,X,O,X,O
TOISZJL,X,X,X,X,X,O,X,X
TOIZLJS,X,X,X,O,X,X,X,O
TOIZLSJ,X,X,X,O,X,O,X,O
TOIZJLS,X,X,X,O,X,X,X,O
TOIZJSL,X,X,X,O,X,O,X,X
TOIZSLJ,X,X,X,O,X,O,X,O
TOIZSJL,X,X,X,X,X,O,X,X
TOLIJSZ,O,X,O,O,X,X,O,X
TOLIJZS,O,X,O,O,X,X,O,X
TOLISJZ,O,X,X,X,X,O,O,X
TOLISZJ,O,X,X,X,X,O,X,X
TOLIZJS,O,X,O,O,X,X,X,O
TOLIZSJ,O,X,O,O,X,O,X,O
TOLJISZ,O,X,O,O,X,X,O,X
TOLJIZS,O,X,O,O,X,X,O,X
TOLJSIZ,O,X,O,O,X,X,O,X
TOLJSZI,O,X,O,O,X,X,O,X
TOLJZIS,O,X,O,O,X,X,O,X
TOLJZSI,O,X,O,O,X,X,O,X
TOLSIJZ,O,X,O,X,X,O,O,X
TOLSIZJ,O,X,O,X,X,O,X,X
TOLSJIZ,O,X,O,O,X,X,O,X
TOLSJZI,O,X,O,O,X,X,O,X
TOLSZIJ,O,X,O,O,X,O,X,X
TOLSZJI,O,X,O,O,X,X,O,X
TOLZIJS,O,X,O,O,X,X,X,O
TOLZISJ,O,X,O,O,X,O,X,O
TOLZJIS,O,X,O,O,X,X,O,O
TOLZJSI,O,X,O,O,X,X,O,X
TOLZSIJ,O,X,O,O,X,O,X,O
TOLZSJI,O,X,O,O,X,X,O,X
TOJILSZ,O,X,O,O,X,X,O,X
TOJILZS,O,X,O,O,X,X,O,X
TOJISLZ,X,X,X,O,O,O,O,X
TOJISZL,X,X,X,O,O,O,X,X
TOJIZLS,X,X,O,O,X,X,O,O
TOJIZSL,X,X,X,O,O,O,X,X
TOJLISZ,O,X,O,O,X,X,O,X
TOJLIZS,O,X,O,O,X,X,O,X
TOJLSIZ,O,X,O,O,X,X,O,X
TOJLSZI,O,X,O,O,X,X,O,X
TOJLZIS,O,X,O,O,X,X,O,X
TOJLZSI,O,X,O,O,X,X,O,X
TOJSILZ,O,X,X,O,O,O,O,X
TOJSIZL,X,X,X,O,O,O,X,X
TOJSLIZ,O,X,X,O,O,X,O,X
TOJSLZI,O,X,X,O,O,X,O,X
TOJSZIL,X,X,X,O,O,O,X,X
TOJSZLI,O,X,X,O,O,X,X,X
TOJZILS,O,X,O,O,X,X,O,O
TOJZISL,X,X,X,O,O,O,X,X
TOJZLIS,O,X,O,O,X,X,O,O
TOJZLSI,O,X,O,O,X,X,O,X
TOJZSIL,X,X,X,O,O,O,X,X
TOJZSLI,X,X,X,O,O,X,X,X
TOSILJZ,O,X,X,X,X,O,X,X
TOSILZJ,O,X,X,X,X,O,X,X
TOSIJLZ,O,X,X,X,O,O,X,X
TOSIJZL,X,X,X,X,O,O,X,X
TOSIZLJ,X,X,X,X,X,O,X,O
TOSIZJL,X,X,X,X,O,O,X,X
TOSLIJZ,O,X,X,X,X,O,O,X
TOSLIZJ,O,X,X,X,X,O,X,X
TOSLJIZ,O,X,X,O,O,X,O,X
TOSLJZI,O,X,X,O,O,X,O,X
TOSLZIJ,O,X,X,O,X,O,X,X
TOSLZJI,O,X,X,O,O,X,O,X
TOSJILZ,O,X,X,O,O,O,O,X
TOSJIZL,X,X,X,O,O,O,X,X
TOSJLIZ,O,X,X,O,O,X,O,X
TOSJLZI,O,X,X,O,O,X,O,X
TOSJZIL,O,X,X,O,O,O,X,X
TOSJZLI,O,X,X,O,O,X,X,X
TOSZILJ,X,X,X,O,X,O,X,O
TOSZIJL,O,X,X,X,O,O,X,X
TOSZLIJ,O,X,X,O,X,O,X,O
TOSZLJI,O,X,X,O,O,X,X,X
TOSZJIL,O,X,X,O,O,O,X,X
TOSZJLI,O,X,X,O,O,X,X,X
TOZILJS,X,X,O,O,X,X,X,O
TOZILSJ,X,X,O,O,X,O,X,O
TOZIJLS,O,X,X,O,X,X,X,O
TOZIJSL,X,X,X,O,X,O,X,X
TOZISLJ,X,X,X,O,X,O,X,O
TOZISJL,O,X,X,X,X,O,X,X
TOZLIJS,O,X,O,O,X,X,X,O
TOZLISJ,O,X,O,O,X,O,X,O
TOZLJIS,O,X,O,O,X,X,O,O
TOZLJSI,O,X,O,O,X,X,O,X
TOZLSIJ,O,X,O,O,X,O,X,O
TOZLSJI,O,X,O,O,X,X,O,X
TOZJILS,O,X,O,O,X,X,O,O
TOZJISL,X,X,X,O,O,O,X,X
TOZJLIS,O,X,O,O,X,X,O,O
TOZJLSI,O,X,O,O,X,X,O,X
TOZJSIL,X,X,X,O,O,O,X,X
TOZJSLI,X,X,X,O,O,X,X,X
TOZSILJ,X,X,X,O,X,O,X,O
TOZSIJL,O,X,X,X,O,O,X,X
TOZSLIJ,O,X,X,O,X,O,X,O
TOZSLJI,O,X,X,O,O,X,X,X
TOZSJIL,O,X,X,O,O,O,X,X
TOZSJLI,O,X,X,O,O,X,X,X
ITLJSZO,O,X,X,X,X,X,O,X
ITLJSOZ,O,X,X,X,X,X,O,X
ITLJZSO,O,X,X,X,X,X,O,X
ITLJZOS,O,X,X,X,X,X,X,X
ITLJOSZ,O,X,X,X,X,X,O,X
ITLJOZS,O,X,X,X,X,X,X,X
ITLSJZO,O,X,X,X,X,O,O,X
ITLSJOZ,O,X,X,X,X,O,O,X
ITLSZJO,O,X,X,X,X,O,X,X
ITLSZOJ,O,X,X,X,X,O,X,X
ITLSOJZ,O,X,X,X,X,O,O,X
ITLSOZJ,O,X,X,X,X,O,X,X
ITLZJSO,O,X,X,X,X,X,X,X
ITLZJOS,O,X,X,X,X,X,X,O
ITLZSJO,O,X,X,X,X,O,X,X
ITLZSOJ,O,X,X,X,X,O,X,O
ITLZOJS,O,X,X,X,X,X,X,O
ITLZOSJ,O,X,X,X,X,O,X,O
ITLOJSZ,O,X,X,X,X,X,O,X
ITLOJZS,O,X,X,X,X,X,O,X
ITLOSJZ,O,X,X,X,X,O,O,X
ITLOSZJ,O,X,X,X,X,O,X,X
ITLOZJS,O,X,X,X,X,X,X,O
ITLOZSJ,O,X,X,X,X,O,X,O
ITJLSZO,O,O,X,X,X,X,O,X
ITJLSOZ,X,X,X,X,X,X,O,X
ITJLZSO,O,O,X,X,X,X,O,X
ITJLZOS,O,O,X,X,X,X,X,X
ITJLOSZ,O,X,X,X,X,X,O,X
ITJLOZS,O,X,X,X,X,X,X,X
ITJSLZO,X,O,X,X,X,O,O,X
ITJSLOZ,X,X,X,X,X,O,O,X
ITJSZLO,X,O,X,X,X,O,X,X
ITJSZOL,X,O,X,X,X,O,X,X
ITJSOLZ,X,X,X,X,X,O,X,X
ITJSOZL,X,O,X,X,X,O,X,X
ITJZLSO,O,O,X,X,X,X,O,X
ITJZLOS,O,O,X,X,X,X,X,O
ITJZSLO,O,O,X,X,X,O,X,X
ITJZSOL,X,O,X,X,X,O,X,X
ITJZOLS,O,O,X,X,X,X,X,O
ITJZOSL,X,O,X,X,X,O,X,X
ITJOLSZ,O,X,X,X,X,X,O,X
ITJOLZS,O,X,X,X,X,X,X,X
ITJOSLZ,X,X,X,X,X,O,X,X
ITJOSZL,X,O,X,X,X,O,X,X
ITJOZLS,X,O,X,X,X,X,X,O
ITJOZSL,X,O,X,X,X,O,X,X
ITSLJZO,O,X,X,X,X,O,X,X
ITSLJOZ,O,X,X,X,X,O,X,X
ITSLZJO,O,X,X,X,X,O,X,X
ITSLZOJ,O,X,X,X,X,O,X,X
ITSLOJZ,O,X,X,X,X,O,X,X
ITSLOZJ,O,X,X,X,X,O,X,X
ITSJLZO,O,O,X,X,X,O,X,X
ITSJLOZ,O,X,X,X,X,O,X,X
ITSJZLO,O,O,X,X,X,O,X,X
ITSJZOL,O,O,X,X,X,O,X,X
ITSJOLZ,O,X,X,X,X,O,X,X
ITSJOZL,X,O,X,X,X,O,X,X
ITSZLJO,O,O,X,X,X,O,X,X
ITSZLOJ,O,X,X,X,X,O,X,O
ITSZJLO,O,O,X,X,X,O,X,X
ITSZJOL,O,O,X,X,X,O,X,X
ITSZOLJ,X,X,X,X,X,O,X,O
ITSZOJL,O,X,X,X,X,O,X,X
ITSOLJZ,O,X,X,X,X,O,X,X
ITSOLZJ,O,X,X,X,X,O,X,X
ITSOJLZ,O,X,X,X,X,O,X,X
ITSOJZL,X,X,X,X,X,O,X,X
ITSOZLJ,X,X,X,X,X,O,X,O
ITSOZJL,X,X,X,X,X,O,X,X
ITZLJSO,O,O,X,X,X,X,X,X
ITZLJOS,O,O,X,X,X,X,X,O
ITZLSJO,O,O,X,X,X,O,X,X
ITZLSOJ,O,X,X,X,X,O,X,O
ITZLOJS,O,X,X,X,X,X,X,O
ITZLOSJ,O,X,X,X,X,O,X,O
ITZJLSO,O,O,X,X,X,X,X,X
ITZJLOS,O,O,X,X,X,X,X,O
ITZJSLO,O,O,X,X,X,O,X,X
ITZJSOL,O,O,X,X,X,O,X,X
ITZJOLS,O,O,X,X,X,X,X,O
ITZJOSL,X,O,X,X,X,O,X,X
ITZSLJO,O,O,X,X,X,O,X,X
ITZSLOJ,O,X,X,X,X,O,X,O
ITZSJLO,O,O,X,X,X,O,X,X
ITZSJOL,O,O,X,X,X,O,X,X
ITZSOLJ,X,X,X,X,X,O,X,O
ITZSOJL,O,X,X,X,X,O,X,X
ITZOLJS,X,X,X,X,X,X,X,O
ITZOLSJ,X,X,X,X,X,O,X,O
ITZOJLS,O,X,X,X,X,X,X,O
ITZOJSL,X,X,X,X,X,O,X,X
ITZOSLJ,X,X,X,X,X,O,X,O
ITZOSJL,O,X,X,X,X,O,X,X
ITOLJSZ,O,X,X,X,X,X,O,X
ITOLJZS,O,X,X,X,X,X,O,X
ITOLSJZ,O,X,X,X,X,O,O,X
ITOLSZJ,O,X,X,X,X,O,X,X
ITOLZJS,O,X,X,X,X,X,X,O
ITOLZSJ,O,X,X,X,X,O,X,O
ITOJLSZ,O,X,X,X,X,X,O,X
ITOJLZS,O,X,X,X,X,X,O,X
ITOJSLZ,X,X,X,X,X,O,O,X
ITOJSZL,X,X,X,X,X,O,X,X
ITOJZLS,X,X,X,X,X,X,O,O
ITOJZSL,X,X,X,X,X,O,X,X
ITOSLJZ,O,X,X,X,X,O,X,X
ITOSLZJ,O,X,X,X,X,O,X,X
ITOSJLZ,O,X,X,X,X,O,X,X
ITOSJZL,X,X,X,X,X,O,X,X
ITOSZLJ,X,X,X,X,X,O,X,O
ITOSZJL,X,X,X,X,X,O,X,X
ITOZLJS,X,X,X,X,X,X,X,O
ITOZLSJ,X,X,X,X,X,O,X,O
ITOZJLS,X,X,X,X,X,X,X,O
ITOZJSL,X,X,X,X,X,O,X,X
ITOZSLJ,X,X,X,X,X,O,X,O
ITOZSJL,X,X,X,X,X,O,X,X
ILTJSZO,O,X,O,X,X,X,O,X
ILTJSOZ,O,X,X,X,X,X,O,X
ILTJZSO,O,X,O,X,X,X,O,X
ILTJZOS,O,X,O,X,X,X,X,X
ILTJOSZ,O,X,X,X,X,X,O,X
ILTJOZS,O,X,O,X,X,X,X,X
ILTSJZO,O,X,X,X,X,O,O,X
ILTSJOZ,O,X,X,X,X,O,O,X
ILTSZJO,O,X,X,X,X,O,X,X
ILTSZOJ,O,X,X,X,X,O,X,X
ILTSOJZ,O,X,X,X,X,O,O,X
ILTSOZJ,O,X,X,X,X,O,X,X
ILTZJSO,O,X,O,X,X,X,X,X
ILTZJOS,O,X,O,X,X,X,X,O
ILTZSJO,O,X,O,X,X,O,X,X
ILTZSOJ,O,X,O,X,X,O,X,O
ILTZOJS,O,X,O,X,X,X,X,O
ILTZOSJ,O,X,O,X,X,O,X,O
ILTOJSZ,O,X,O,X,X,X,O,X
ILTOJZS,O,X,O,X,X,X,O,X
ILTOSJZ,O,X,X,X,X,O,O,X
ILTOSZJ,O,X,X,X,X,O,X,X
ILTOZJS,O,X,O,X,X,X,X,O
ILTOZSJ,O,X,O,X,X,O,X,O
ILJTSZO,O,O,O,X,X,X,O,X
ILJTSOZ,O,X,O,X,X,X,O,X
ILJTZSO,O,O,O,X,X,X,O,X
ILJTZOS,O,O,O,X,X,X,X,X
ILJTOSZ,X,X,X,X,X,X,O,X
ILJTOZS,O,X,O,X,X,X,X,X
ILJSTZO,O,O,O,X,X,X,O,X
ILJSTOZ,O,X,O,X,X,X,O,X
ILJSZTO,O,O,O,X,X,X,X,X
ILJSZOT,X,O,O,X,X,X,X,X
ILJSOTZ,O,X,O,X,X,X,X,X
ILJSOZT,X,X,O,X,X,X,X,X
ILJZTSO,O,O,O,X,X,X,O,X
ILJZTOS,O,O,O,X,X,X,X,X
ILJZSTO,O,O,O,X,X,X,X,X
ILJZSOT,X,O,O,X,X,X,X,X
ILJZOTS,X,O,O,X,X,X,X,X
ILJZOST,X,O,O,X,X,X,X,X
ILJOTSZ,X,X,X,X,X,X,O,X
ILJOTZS,X,X,O,X,X,X,X,X
ILJOSTZ,X,X,O,X,X,X,X,X
ILJOSZT,X,X,O,X,X,X,X,X
ILJOZTS,X,X,O,X,X,X,X,X
ILJOZST,X,X,O,X,X,X,X,X
ILSTJZO,O,X,O,X,X,O,X,X
ILSTJOZ,O,X,O,X,X,O,X,X
ILSTZJO,O,X,O,X,X,O,X,X
ILSTZOJ,O,X,O,X,X,O,X,X
ILSTOJZ,O,X,O,X,X,O,X,X
ILSTOZJ,O,X,O,X,X,O,X,X
ILSJTZO,O,O,O,X,X,X,X,X
ILSJTOZ,O,X,O,X,X,X,X,X
ILSJZTO,O,O,O,X,X,X,X,X
ILSJZOT,X,O,O,X,X,X,X,X
ILSJOTZ,O,X,O,X,X,X,X,X
ILSJOZT,O,X,O,X,X,X,X,X
ILSZTJO,O,O,O,X,X,O,X,X
ILSZTOJ,O,X,O,X,X,O,X,X
ILSZJTO,O,O,O,X,X,X,X,X
ILSZJOT,X,O,O,X,X,X,X,X
ILSZOTJ,O,X,O,X,X,X,X,X
ILSZOJT,O,O,O,X,X,X,X,X
ILSOTJZ,O,X,O,X,X,X,X,X
ILSOTZJ,O,X,O,X,X,X,X,X
ILSOJTZ,O,X,O,X,X,X,X,X
ILSOJZT,O,X,O,X,X,X,X,X
ILSOZTJ,O,X,O,X,X,X,X,X
ILSOZJT,O,X,O,X,X,X,X,X
ILZTJSO,O,O,O,X,X,X,X,X
ILZTJOS,O,O,O,X,X,X,X,O
ILZTSJO,O,O,O,X,X,O,X,X
ILZTSOJ,O,X,O,X,X,O,X,O
ILZTOJS,O,X,O,X,X,X,X,O
ILZTOSJ,O,X,O,X,X,O,X,O
ILZJTSO,O,O,O,X,X,X,X,X
ILZJTOS,O,O,O,X,X,X,X,O
ILZJSTO,O,O,O,X,X,X,X,X
ILZJSOT,X,O,O,X,X,X,X,X
ILZJOTS,X,O,O,X,X,X,X,O
ILZJOST,X,O,O,X,X,X,X,X
ILZSTJO,O,O,O,X,X,O,X,X
ILZSTOJ,O,X,O,X,X,O,X,O
ILZSJTO,O,O,O,X,X,X,X,X
ILZSJOT,X,O,O,X,X,X,X,X
ILZSOTJ,O,X,O,X,X,X,X,O
ILZSOJT,O,O,O,X,X,X,X,X
ILZOTJS,O,X,O,X,X,X,X,O
ILZOTSJ,O,X,O,X,X,X,X,O
ILZOJTS,O,O,O,X,X,X,X,O
ILZOJST,O,O,O,X,X,X,X,X
ILZOSTJ,O,X,O,X,X,X,X,O
ILZOSJT,O,O,O,X,X,X,X,X
ILOTJSZ,O,X,O,X,X,X,O,X
ILOTJZS,O,X,O,X,X,X,O,X
ILOTSJZ,O,X,X,X,X,X,O,X
ILOTSZJ,O,X,X,X,X,X,X,X
ILOTZJS,O,X,O,X,X,X,X,O
ILOTZSJ,O,X,O,X,X,X,X,O
ILOJTSZ,O,X,O,X,X,X,O,X
ILOJTZS,O,X,O,X,X,X,O,X
ILOJSTZ,O,X,O,X,X,X,O,X
ILOJSZT,O,X,O,X,X,X,X,X
ILOJZTS,O,X,O,X,X,X,O,X
ILOJZST,O,X,O,X,X,X,X,X
ILOSTJZ,O,X,O,X,X,X,X,X
ILOSTZJ,O,X,O,X,X,X,X,X
ILOSJTZ,O,X,O,X,X,X,X,X
ILOSJZT,O,X,O,X,X,X,X,X
ILOSZTJ,O,X,O,X,X,X,X,X
ILOSZJT,O,X,O,X,X,X,X,X
ILOZTJS,O,X,O,X,X,X,X,O
ILOZTSJ,O,X,O,X,X,X,X,O
ILOZJTS,O,X,O,X,X,X,X,O
ILOZJST,O,X,O,X,X,X,X,X
ILOZSTJ,O,X,O,X,X,X,X,O
ILOZSJT,O,X,O,X,X,X,X,X
IJTLSZO,X,O,O,X,X,X,O,X
IJTLSOZ,X,X,O,X,X,X,O,X
IJTLZSO,X,O,O,X,X,X,O,X
IJTLZOS,X,O,O,X,X,X,X,X
IJTLOSZ,X,X,X,X,X,X,O,X
IJTLOZS,X,X,O,X,X,X,X,X
IJTSLZO,X,O,X,X,X,O,O,X
IJTSLOZ,X,X,X,X,X,O,O,X
IJTSZLO,X,O,X,X,X,O,X,X
IJTSZOL,X,O,X,X,X,O,X,X
IJTSOLZ,X,X,X,X,X,O,X,X
IJTSOZL,X,O,X,X,X,O,X,X
IJTZLSO,X,O,O,X,X,X,O,X
IJTZLOS,X,O,O,X,X,X,X,O
IJTZSLO,X,O,X,X,X,O,X,X
IJTZSOL,X,O,X,X,X,O,X,X
IJTZOLS,X,O,X,O,X,X,X,O
IJTZOSL,X,O,X,O,X,O,X,X
IJTOLSZ,X,X,X,O,X,X,O,X
IJTOLZS,X,X,X,O,X,X,X,X
IJTOSLZ,X,X,X,O,X,O,X,X
IJTOSZL,X,O,X,O,X,O,X,X
IJTOZLS,X,O,X,O,X,X,X,O
IJTOZSL,X,O,X,O,X,O,X,X
IJLTSZO,X,O,O,X,X,X,O,X
IJLTSOZ,X,X,O,X,X,X,O,X
IJLTZSO,X,O,O,X,X,X,O,X
IJLTZOS,X,O,O,X,X,X,X,X
IJLTOSZ,X,X,X,X,X,X,O,X
IJLTOZS,X,X,O,X,X,X,X,X
IJLSTZO,X,O,O,X,X,X,O,X
IJLSTOZ,X,X,O,X,X,X,O,X
IJLSZTO,X,O,O,X,X,X,X,X
IJLSZOT,X,O,O,X,X,X,X,X
IJLSOTZ,X,X,O,X,X,X,X,X
IJLSOZT,X,X,O,X,X,X,X,X
IJLZTSO,X,O,O,X,X,X,O,X
IJLZTOS,X,O,O,X,X,X,X,X
IJLZSTO,X,O,O,X,X,X,X,X
IJLZSOT,X,O,O,X,X,X,X,X
IJLZOTS,X,O,O,O,X,X,X,X
IJLZOST,X,O,O,O,X,X,X,X
IJLOTSZ,X,X,X,O,X,X,O,X
IJLOTZS,X,X,O,O,X,X,X,X
IJLOSTZ,X,X,O,O,X,X,X,X
IJLOSZT,X,X,O,O,X,X,X,X
IJLOZTS,X,X,O,O,X,X,X,X
IJLOZST,X,X,O,O,X,X,X,X
IJSTLZO,X,O,X,X,X,O,O,X
IJSTLOZ,X,X,X,X,X,O,O,X
IJSTZLO,X,O,X,X,X,O,X,X
IJSTZOL,X,O,X,X,O,O,X,X
IJSTOLZ,X,X,X,X,X,O,X,X
IJSTOZL,X,O,X,X,X,O,X,X
IJSLTZO,X,O,O,X,X,X,O,X
IJSLTOZ,X,X,O,X,X,X,O,X
IJSLZTO,X,O,O,X,X,X,X,X
IJSLZOT,X,O,O,X,X,X,X,X
IJSLOTZ,X,X,O,X,X,X,X,X
IJSLOZT,X,X,O,X,X,X,X,X
IJSZTLO,X,O,X,X,X,O,X,X
IJSZTOL,X,O,X,X,O,O,X,X
IJSZLTO,X,O,O,X,X,X,X,X
IJSZLOT,X,O,O,X,X,X,X,X
IJSZOTL,X,O,X,O,X,X,X,X
IJSZOLT,X,O,X,O,X,X,X,X
IJSOTLZ,X,X,X,O,X,X,X,X
IJSOTZL,X,O,X,O,X,X,X,X
IJSOLTZ,X,X,X,O,X,X,X,X
IJSOLZT,X,X,X,O,X,X,X,X
IJSOZTL,X,O,X,O,X,X,X,X
IJSOZLT,X,O,X,O,X,X,X,X
IJZTLSO,X,O,O,X,X,X,O,X
IJZTLOS,X,O,O,X,X,X,X,O
IJZTSLO,X,O,X,X,X,O,X,X
IJZTSOL,X,O,X,X,X,O,X,X
IJZTOLS,X,O,X,O,X,X,X,O
IJZTOSL,X,O,X,O,X,O,X,X
IJZLTSO,X,O,O,X,X,X,O,X
IJZLTOS,X,O,O,X,X,X,X,O
IJZLSTO,X,O,O,X,X,X,X,X
IJZLSOT,X,O,O,X,X,X,X,X
IJZLOTS,X,O,O,O,X,X,X,O
IJZLOST,X,O,O,O,X,X,X,X
IJZSTLO,X,O,X,X,X,O,X,X
IJZSTOL,X,O,X,X,O,O,X,X
IJZSLTO,X,O,O,X,X,X,X,X
IJZSLOT,X,O,O,X,X,X,X,X
IJZSOTL,X,O,X,O,X,X,X,X
IJZSOLT,X,O,X,O,X,X,X,X
IJZOTLS,X,O,X,O,X,X,X,O
IJZOTSL,X,O,X,O,X,X,X,X
IJZOLTS,X,O,O,O,X,X,X,O
IJZOLST,X,O,O,O,X,X,X,X
IJZOSTL,X,O,X,O,X,X,X,X
IJZOSLT,X,O,X,O,X,X,X,X
IJOTLSZ,X,X,X,O,X,X,O,X
IJOTLZS,X,X,X,O,X,X,X,X
IJOTSLZ,X,X,X,O,X,X,X,X
IJOTSZL,X,O,X,O,X,X,X,X
IJOTZLS,X,O,X,O,X,X,X,O
IJOTZSL,X,O,X,O,X,X,X,X
IJOLTSZ,X,X,X,O,X,X,O,X
IJOLTZS,X,X,O,O,X,X,X,X
IJOLSTZ,X,X,O,O,X,X,X,X
IJOLSZT,X,X,O,O,X,X,X,X
IJOLZTS,X,X,O,O,X,X,X,X
IJOLZST,X,X,O,O,X,X,X,X
IJOSTLZ,X,X,X,O,X,X,X,X
IJOSTZL,X,O,X,O,X,X,X,X
IJOSLTZ,X,X,X,O,X,X,X,X
IJOSLZT,X,X,X,O,X,X,X,X
IJOSZTL,X,O,X,O,X,X,X,X
IJOSZLT,X,O,X,O,X,X,X,X
IJOZTLS,X,O,X,O,X,X,X,O
IJOZTSL,X,O,X,O,X,X,X,X
IJOZLTS,X,O,O,O,X,X,X,O
IJOZLST,X,O,O,O,X,X,X,X
IJOZSTL,X,O,X,O,X,X,X,X
IJOZSLT,X,O,X,O,X,X,X,X
ISTLJZO,O,X,X,X,X,O,X,X
ISTLJOZ,O,X,X,X,X,O,X,X
ISTLZJO,O,X,X,X,X,O,X,X
ISTLZOJ,O,X,X,X,X,O,X,X
ISTLOJZ,O,X,X,X,X,O,X,X
ISTLOZJ,O,X,X,X,X,O,X,X
ISTJLZO,O,O,X,X,X,O,X,X
ISTJLOZ,O,X,X,X,X,O,X,X
ISTJZLO,O,O,X,X,X,O,X,X
ISTJZOL,O,O,X,X,O,O,X,X
ISTJOLZ,O,X,X,X,X,O,X,X
ISTJOZL,X,O,X,X,X,O,X,X
ISTZLJO,O,O,X,X,X,O,X,X
ISTZLOJ,O,X,X,X,X,O,X,O
ISTZJLO,O,O,X,X,X,O,X,X
ISTZJOL,O,O,X,X,O,O,X,X
ISTZOLJ,X,X,X,X,X,O,X,O
ISTZOJL,O,X,X,X,O,O,X,X
ISTOLJZ,O,X,X,X,X,O,X,X
ISTOLZJ,O,X,X,X,X,O,X,X
