sequence,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je/FJvhFFhBxiBzmBu?sBctByvB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je2FJvhFxiBCnBToB3?qB0sBFrB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je/FJvhFRhBziB+oBl?mByvB0sB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeFCJvhFXjBxlBctBz?qBGsBiqB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je3BJvhFFjB6sBctBR?rBTqBmqB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeiAJvhFzhBFrBxsBu?sBctB3qB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeTAJvhFCnB3qBxsBO?rBctBlsB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je2FJvhFTjBCnB3qBx?sBFrB0sB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JefHJvhFxiBllBqsBT?oBUmB2vB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeTAJvhFxhBXjBimBc?tB1vBGsB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeiAJvhFRiB+oBUnBF?rB3qBzsB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JexAJvhF0iBmlBzmBS?tB1vBXtB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeGCJvhFTjBxlBVsB0?lBXtByvB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je0BJvhFxiBllBWtBi?rBXtBTqB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je2FJvhFfnBxiBqsBT?oBUmB1vB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JemBJvhFCjBllBcrBx?sBXtBTqB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeGCJvhFxlBVsBToB0?lByvBXtB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je3BJvhF+oBlnBRrB0?qBiqBzsB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je3BJvhFlnBctBRrBT?qBmqBCtB
IJSTLOZ,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IJSTZLO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IJSTZOL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IJSTOLZ,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IJSTOZL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
IJSLTZO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IJSLTOZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IJSLZTO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSLZOT,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IJSLOTZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IJSLOZT,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IJSZTLO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IJSZTOL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
IJSZLTO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSZLOT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJSZOTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSZOLT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJSOTLZ,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IJSOTZL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IJSOLTZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IJSOLZT,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IJSOZTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSOZLT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJZTLSO,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X
IJZTLOS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IJZTSLO,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X
IJZTSOL,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X,O,X,O,O
IJZTOLS,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
IJZTOSL,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,O,O
IJZLTSO,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IJZLTOS,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZLSTO,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZLSOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZLOTS,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZLOST,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJZSTLO,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X
IJZSTOL,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O
IJZSLTO,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IJZSLOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZSOTL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IJZSOLT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOTLS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOTSL,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IJZOLTS,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJZOLST,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJZOSTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOSLT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOTLSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOTLZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IJOTSLZ,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOTSZL,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X
IJOTZLS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IJOTZSL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X
IJOLTSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IJOLTZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IJOLSTZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOLSZT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOLZTS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOLZST,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOSTLZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOSTZL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IJOSLTZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IJOSLZT,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IJOSZTL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOSZLT,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOZTLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOZTSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJOZLTS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOZLST,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJOZSTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOZSLT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTLJZO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISTLJOZ,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
ISTLZJO,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISTLZOJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISTLOJZ,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
ISTLOZJ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ISTJLZO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ISTJLOZ,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ISTJZLO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ISTJZOL,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X
ISTJOLZ,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ISTJOZL,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X
ISTZLJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTZLOJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ISTZJLO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTZJOL,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
ISTZOLJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ISTZOJL,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
ISTOLJZ,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
ISTOLZJ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISTOJLZ,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ISTOJZL,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
ISTOZLJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTOZJL,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLTJZO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLTJOZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLTZJO,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLTZOJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLTOJZ,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ISLTOZJ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ISLJTZO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
ISLJTOZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLJZTO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLJZOT,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLJOTZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLJOZT,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLZTJO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLZTOJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ISLZJTO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLZJOT,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOJT,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X
ISLOTZJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ISLOJTZ,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ISLOJZT,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLOZTJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ISLOZJT,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISJTLZO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISJTLOZ,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJTZLO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISJTZOL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
ISJTOLZ,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJTOZL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
ISJLTZO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
ISJLTOZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISJLZTO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJLZOT,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISJLOTZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISJLOZT,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISJZTLO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
ISJZTOL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
ISJZLTO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZLOT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJZOTL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZOLT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJOTLZ,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJOTZL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
ISJOLTZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISJOLZT,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZLT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZTLJO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISZTLOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ISZTJLO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISZTJOL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ISZTOLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ISZTOJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ISZLTJO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZLTOJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ISZLJTO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZLJOT,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISZLOTJ,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZLOJT,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISZJTLO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
ISZJTOL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
ISZJLTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJLOT,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZJOTL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJOLT,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZOTJL,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ISZOLTJ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZOLJT,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISZOJTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOJLT,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
ISOTLZJ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ISOTJZL,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
ISOTZLJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTZJL,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOLTJZ,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ISOLTZJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOLJTZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISOLJZT,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZJT,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISOJTLZ,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISOJTZL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
ISOJLTZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISOJLZT,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZLT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOZTJL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
ISOZLTJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLJT,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISOZJTL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJLT,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTLJSO,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
IZTLJOS,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTLSJO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTLSOJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O
IZTLOJS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTJLSO,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
IZTJLOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJSLO,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
IZTJSOL,X,X,O,O,X,O,X,X,X,X,O,X,O,X,X,O,X,X,O
IZTJOLS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZTJOSL,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X,O
IZTSLJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTSLOJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
IZTSJLO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTSJOL,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O
IZTSOLJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
IZTSOJL,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O
IZTOLJS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTOJLS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTOJSL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,O
IZTOSLJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
IZTOSJL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
IZLTJSO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZLTJOS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTSJO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZLTSOJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O
IZLTOJS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOSJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZLJTSO,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IZLJTOS,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLJSTO,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLJSOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOTS,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLJOST,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLSTJO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLSTOJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
IZLSJTO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJOT,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOJT,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLOTJS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJTS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJST,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X
IZJTLOS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJTSLO,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X
IZJTSOL,O,X,O,O,X,X,X,X,X,O,O,X,O,X,X,O,X,O,O
IZJTOLS,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X
IZJTOSL,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,O,O
IZJLTSO,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IZJLTOS,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJLSTO,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJLSOT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJLOST,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X
IZJSTOL,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O
IZJSLTO,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJSLOT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSOLT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTSL,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IZJOLTS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJOLST,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTLJO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZSTLOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZSTJLO,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IZSTJOL,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O
IZSTOLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZSTOJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZSLTJO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
IZSLJTO,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSLJOT,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOJT,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
IZSJTOL,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O,O
IZSJLTO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSJLOT,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
